56.;Grzyb Andrzej;PSL;199;;
57.;Szarama Wojciech;PiS;198;;
58.;Kuźmiuk Zbigniew;PSL;195;mandat wygasł 16-06-2004;
59.;Curyło Marian;Samoobrona;193;;
60.;Kuchciński Marek;PiS;193;;
61.;Jurgiel Krzysztof;PiS;192;mandat wygasł 12-10-2003;
62.;Pilarczyk Józef Jerzy;SLD;187(187);;
63.;Olejniczak Wojciech;SLD;186(166);;
64.;Dolniak Grzegorz;PO;184;;
65.;Marianowska Barbara;PiS;184;;
66.;Bujak Bolesław;PSL;183;;
67.;Mojzesowicz Wojciech;PiS;183;;
68.;Szumska Gertruda;D_OJCZYSTY;183;;
69.;Kasprzyk Jacek;SDPL;182;;
70.;Jasiński Wojciech;PiS;181;;
71.;Senyszyn Joanna;SLD;181;;
72.;Piłka Marian;PiS;180;;
73.;Piecha Bolesław;PiS;178;;
74.;Janowski Zbigniew;SLD;176;;
75.;Maniura Edward;PO;174;;
76.;Nowak Zbigniew;niez.;171;;
77.;Rzymełka Jan;PO;170;;
78.;Kotlinowski Marek;LPR;168;;
79.;Podkański Zdzisław;PSL;168;mandat wygasł 16-06-2004;
80.;Kasprzak Mieczysław;PSL;167;;
81.;Murias Halina;LPR;166;;
82.;Grabarczyk Cezary;PO;163;;
83.;Sawicki Marek;PSL;160;;
84.;Sobecka Anna;LPR;159;;
85.;Łopuszański Jan;PP;158;;
86.;Olszewski Jan;ROP;158;;
87.;Świętochowski Leszek;PSL;156;;
88.;Papież Stanisław;LPR;154;;
89.;Piechota Jacek;SLD;154(154);;
90.;Szejnfeld Adam Stanisław;PO;153;;
91.;Ziobro Zbigniew;PiS;153;;
92.;Janicki Marian;UP;151;;
93.;Stępień Władysław;SLD;151;;
94.;Grad Aleksander;PO;150;;
95.;Kalisz Ryszard;SLD;150(6);;
96.;Szukała Tadeusz;Samoobrona;150;;
97.;Zych Józef;PSL;149;;
98.;Dutka Bronisław;PSL;146;;
99.;Piechociński Janusz;PSL;145;;
100.;Czerniawski Mieczysław;niez.;142;;
101.;Wojtyła Andrzej;KL;142;;
102.;Ciesielski Wiesław;SLD;141(108);;
103.;Hatka Witold;LPR;141;;
104.;Zdrojewski Bogdan;PO;141;;
105.;Bańkowska Anna;SDPL;139;;
106.;Giżyński Szymon;PiS;139;;
107.;Dobrosz Janusz;LPR;137;;
108.;Chlebowski Zbigniew;PO;136;;
109.;Krzywicki Piotr;PiS;134;;
110.;Ołdakowski Adam;Samoobrona;134;;
111.;Rochnowska Renata;Samoobrona;134;;
112.;Smolana Piotr;D_OJCZYSTY;134;;
113.;Kłopotek Eugeniusz;PSL;132;;
114.;Oksiuta Krzysztof;KL;132;;
115.;Maraszek Ryszard;SLD;131;;
116.;Müller Jerzy;niez.;131;;
117.;Jedoń Mieczysław;SLD;130;;
