lp;kto;klub;noInterPol;nadanobieg;uwagiInterPol
92.;Arent Iwona Ewa;PiS;120;1;;
93.;Pępek Małgorzata;PO;120;;;
94.;Adamczyk Andrzej;PiS;118;1;;
95.;Pluta Mirosław;PO;118;;;
96.;Rafalska Elżbieta;PiS;118;;;
97.;Seliga Dariusz;PiS;118;;;
98.;Bańkowska Anna;SLD;116;;;
99.;Lewandowski Andrzej;RP;116;;;
100.;Penkalski Wojciech;niez.;112;;;
101.;Ćwik Piotr Krzysztof;PiS;111;;ślubował 05-06-2014;
102.;Wydrzyński Maciej;RP;111;;;
103.;Kowalski Sławomir;PO;110;;;
104.;Biedroń Robert;TR;109;;mandat wygasł 08-12-2014;
105.;Trybuś-Cieślar Aleksandra;PO;106;;;
106.;Okrągły Janina;PO;104;;;
107.;Kotliński Roman;niez.;103;1;;
108.;Litwiński Arkadiusz;PO;103;;;
109.;Paluch Anna;PiS;103;;;
110.;Tomczyk Cezary;PO;103;1;;
111.;Łapiński Marek;PO;102;1;;
112.;Woźniak Grzegorz Adam;PiS;102;1;;
113.;Włodkowski Zbigniew;PSL;101;;mandat wygasł 02-12-2014;
114.;Szymański Tomasz;PO;100;1;;
115.;Gąsior-Marek Magdalena;PO;99;;;
116.;Małecka-Libera Beata;PO;99;;;
117.;Gibała Łukasz;niez.;98;;;
118.;Papke Paweł;PO;98;;;
119.;Szymiec-Raczyńska Halina;PSL;98;;;
120.;Fotyga Anna;PiS;97;;mandat wygasł 27-05-2014;
121.;Jaros Michał;PO;97;;;
122.;Rząsa Marek;PO;97;;;
123.;Woźniak Tadeusz;ZP;97;;;
124.;Górski Artur;PiS;96;1;;
125.;Arkit Tadeusz;PO;95;;;
126.;Pomaska Agnieszka;PO;94;1;;
127.;Rusiecki Jarosław;PiS;93;1;mandat wygasł 10-09-2014;
128.;Domaracki Marek;SLD;92;;;
129.;Sądel Jerzy;PiS;92;;ślubował 05-06-2014;
130.;Szmit Jerzy;PiS;92;5;;
131.;Zawadzki Ryszard;PO;92;;;
132.;Kabaciński Michał;RP;91;;;
133.;Pięta Stanisław;PiS;91;;;
134.;Ożóg Stanisław;PiS;90;1;mandat wygasł 27-05-2014;
135.;Fiedler Arkady;PO;89;;;
136.;Szlachta Andrzej;PiS;89;1;;
137.;Joński Dariusz;SLD;87;1;;
138.;Bauć Piotr Paweł;RP;86;;;
139.;Elsner Wincenty;SLD;86;1;;
140.;Kołakowski Lech;PiS;85;;;
141.;Polak Piotr;PiS;84;;;
142.;Jędrysek Mariusz Orion;PiS;83;;;
143.;Żalek Jacek;ZP;83;2;;
144.;Hoc Czesław;PiS;82;;;
145.;Kloc Izabela;PiS;82;;mandat wygasł 10-09-2014;
146.;Bodio Bartłomiej;PSL;81;;;
147.;Osuch Jacek;PiS;81;;;
148.;Drozd Ewa;PO;80;;;
149.;Fabisiak Joanna;PO;80;;;
150.;Grodzka Anna;niez.;80;;;
151.;Jach Michał;PiS;79;;;
152.;Kaczmarek Tomasz;niez.;79;;mandat wygasł 06-03-2015;
153.;Kaczor Roman;PO;79;;;
154.;Miller Rajmund;PO;79;;;
155.;Hrynkiewicz Józefa;PiS;78;;;
156.;Hok Marek;PO;77;;;
157.;Telus Robert;PiS;77;1;;
158.;Piotrowska Teresa;PO;76;;;
159.;Szczerski Krzysztof;PiS;75;;mandat wygasł 07-08-2015;
160.;Wojtkiewicz Michał;PiS;75;;;
161.;Jaki Patryk;ZP;74;;;
162.;Kownacki Bartosz;PiS;74;;;
163.;Zubowski Wojciech;PiS;74;1;;
164.;Bury Jan;PSL;73;;;
165.;Dziadzio Dariusz Cezar;PSL;73;;;
166.;Hanajczyk Agnieszka;PO;73;;;
167.;Ławrynowicz Zofia;PO;73;;;
168.;Mrzygłocka Izabela Katarzyna;PO;73;;;
169.;Pięta Jarosław;PO;72;;;
170.;Tomczak Jacek;PO;72;;;
171.;Dzięcioł Janusz;PO;70;;;
172.;Golba Mieczysław;ZP;69;;;
173.;Bublewicz Beata;PO;68;;;
174.;Kolenda-Łabuś Brygida;PO;68;;;
175.;Szczypińska Jolanta;PiS;68;;;
176.;Zbrzyzny Ryszard;SLD;68;;;
177.;Malik Ewa;PiS;67;;;
178.;Jagiełło Jarosław Tomasz;niez.;65;;ślubował 17-11-2011;
179.;Kwiatkowski Krzysztof;PO;65;;mandat wygasł 09-08-2013;
180.;Masłowska Gabriela;PiS;65;1;;
181.;Saługa Wojciech;PO;65;;mandat wygasł 01-12-2014;
182.;Czerniak Jacek;SLD;64;;;
183.;Górski Tomasz;niez.;64;;;
184.;Mroczek Maciej;RP;64;;;
185.;Szałamacha Paweł;PiS;64;;;
186.;Nowicka Wanda;niez.;63;;;
187.;Czernow Zofia;PO;62;;;
188.;Dziedziczak Jan;PiS;62;;;
189.;Kalisz Ryszard;niez.;62;;;
190.;Kania Andrzej;ZP;62;;;
191.;Pawłowicz Krystyna;PiS;62;;;
192.;Bukiewicz Bożenna;PO;61;;;
193.;Gut-Mostowy Andrzej;PO;61;;;
194.;Wardzała Robert;PO;61;1;;
