lp;kto;partia;noGlos;procGlos;uwagiGlos
204.;Matusik-Lipiec Katarzyna;PO;6050;96.06;;
205.;Arent Iwona Ewa;PiS;6049;96.05;;
206.;Wontor Bogusław;SLD;6048;96.03;;
207.;Kowalski Sławomir;PO;6047;96.01;;
208.;Szydłowska Bożena;PO;6046;96.00;;
209.;Pomaska Agnieszka;PO;6042;95.94;;
210.;Lenz Tomasz;PO;6040;95.90;;
211.;Czerniak Jacek;SLD;6039;95.89;;
212.;Siarka Edward;ZP;6035;95.82;;
213.;Hok Marek;PO;6030;95.74;;
214.;Grzeszczak Eugeniusz Tomasz;PSL;6027;95.70;;
215.;Polaczek Jerzy;PiS;6025;95.67;;
216.;Olejniczak Cezary;SLD;6022;95.62;;
217.;Adamczyk Andrzej;PiS;6020;95.59;;
218.;Huskowski Stanisław;PO;6018;95.55;;
219.;Vincent-Rostowski Jan;PO;6017;95.69;ślubował 17-11-2011;
220.;Cedzyński Jan;SLD;6017;95.54;;
221.;Fedorowicz Jerzy;PO;6016;95.52;;
222.;Rutkowska Dorota;PO;6015;95.51;;
223.;Sasin Jacek;PiS;6015;95.51;;
224.;Szmit Jerzy;PiS;6015;95.51;;
225.;Aleksandrzak Leszek;SLD;6011;95.44;;
226.;Kulesza Tomasz;PO;6006;96.50;ślubował 22-12-2011;
227.;Ast Marek;PiS;6006;95.36;;
228.;Pacholski Michał Tomasz;PSL;6006;95.36;;
229.;Abramowicz Adam;PiS;5998;95.24;;
230.;Kidawa-Błońska Małgorzata;PO;5997;95.22;;
231.;Tomczyk Cezary;PO;5997;95.22;;
232.;Jagiełło Jarosław Tomasz;niez.;5996;95.36;ślubował 17-11-2011;
233.;Penkalski Wojciech;niez.;5992;95.14;;
234.;Ziobro Jan;ZP;5985;95.03;;
235.;Lipiec Krzysztof;PiS;5984;95.01;;
236.;Macierewicz Antoni;PiS;5982;94.98;;
237.;Sobecka Anna Elżbieta;PiS;5982;94.98;;
238.;Halicki Andrzej;PO;5977;94.90;;
239.;Osuch Jacek;PiS;5976;94.89;;
240.;Niemczyk Małgorzata;PO;5975;94.87;;
241.;Kamiński Mariusz;PiS;5969;94.78;;
242.;Mroczek Maciej;RP;5968;94.76;;
243.;Terlecki Ryszard;PiS;5968;94.76;;
244.;Kasprzak Mieczysław;PSL;5966;94.73;;
