lp;kto;klub;lwystapien;uwagi
266.;Hoppe Teresa;PO;51;;
267.;Kaczyński Jarosław;PiS;51;;
268.;Mężydło Antoni;PO;51;;
269.;Żelichowski Stanisław;PSL;51;;
270.;Krząkała Marek;PO;50;;
271.;Golba Mieczysław;ZP;49;;
272.;Kulas Jan;PO;49;ślubował 04-02-2015;
273.;Nowicka Wanda;niez.;49;;
274.;Śniadek Janusz;PiS;49;;
275.;Ujazdowski Kazimierz Michał;PiS;49;mandat wygasł 27-05-2014;
276.;Czesak Edward;PiS;48;mandat wygasł 11-06-2015;
277.;Maciaszek Robert;PO;47;ślubował 28-11-2014;
278.;Miller Rajmund;PO;46;;
279.;Piechociński Janusz;PSL;46;;
280.;Tobiszowski Grzegorz;PiS;46;;
281.;Kłopotek Eugeniusz;PSL;45;;
282.;Zaremba Renata;PO;45;;
283.;Borowiak Łukasz;PO;44;mandat wygasł 01-12-2014;
284.;Fedorowicz Jerzy;PO;44;;
285.;Kania Andrzej;ZP;44;;
286.;Konwiński Zbigniew;PO;44;;
287.;Raś Ireneusz;PO;44;;
288.;Zbonikowski Łukasz;PiS;44;;
289.;Dzięcioł Janusz;PO;43;;
290.;Halicki Andrzej;PO;43;;
291.;Rutkowska Dorota;PO;43;;
292.;Tomczak Jacek;PO;43;;
293.;Galla Ryszard;niez.;42;;
294.;Jackiewicz Dawid;PiS;42;mandat wygasł 27-05-2014;
295.;Olechowska Alicja;PO;42;;
296.;Pietrzczyk Lucjan Marek;PO;42;;
297.;Rzymełka Jan;PO;42;ślubował 05-06-2014;
298.;Gierada Artur;PO;41;;
299.;Kulesza Tomasz;PO;41;ślubował 22-12-2011;
300.;Świło Teresa;PO;41;ślubowała 19-03-2014;
301.;Bury Jan;PSL;40;;
302.;Durka Zenon;PO;40;;
303.;Gałażewski Andrzej;PO;40;;
304.;Grupiński Rafał;PO;40;;
305.;Szczypińska Jolanta;PiS;40;;
306.;Błaszczak Mariusz;PiS;39;;
307.;Czartoryski Arkadiusz;PiS;39;;
