kto;klub;l.glos;p.glos;l.interp;l.interp.nb;l.wystap;uwagi
Lipiński Adam;PiS;5463;86.74;34;0;23;
Litwiński Arkadiusz;PO;6181;98.14;103;0;71;
Machałek Marzena;PiS;6142;97.52;150;1;116;
Maciaszek Robert;PO;2200;99.46;11;0;47;ślubował 28-11-2014
Maciejewski Krzysztof;PiS;1834;97.45;0;0;9;ślubował 19-12-2014
Macierewicz Antoni;PiS;5982;94.98;3;0;69;
Makowski Tomasz;PSL;5922;94.03;152;1;186;
Malik Ewa;PiS;5383;85.47;67;0;89;
Maliszewski Mirosław;PSL;5823;92.46;9;0;72;
Marcinkiewicz Małgorzata;RP;5035;79.95;10;0;5;
Marczułajtis-Walczak Jagna;PO;6232;98.95;27;0;52;
Mastalerek Marcin;PiS;5599;88.90;18;0;10;
Masłowska Gabriela;PiS;5773;91.66;65;1;221;
Materna Jerzy;PiS;6202;98.48;141;1;84;
Matusiak Grzegorz;PiS;6216;98.70;58;0;23;
Matusik-Lipiec Katarzyna;PO;6050;96.06;19;0;26;
Matuszczak Zbigniew;SLD;5683;90.23;201;0;138;
Matuszewski Marek;PiS;6105;96.94;139;0;269;
Mazurek Beata;PiS;5960;94.63;193;0;118;
Małecka-Libera Beata;PO;6096;96.79;99;0;21;
Małecki Maciej;PiS;6172;98.00;196;2;96;
Michałkiewicz Krzysztof;PiS;6119;97.16;23;0;32;
Miller Leszek;SLD;5498;87.30;34;0;53;
Miller Rajmund;PO;6106;96.95;79;0;46;
Miodowicz Konstanty;PO;1793;81.57;1;0;2;mandat wygasł 23-08-2013
Moskal Kazimierz;PiS;6111;97.03;1020;0;114;
Mroczek Czesław;PO;6100;96.86;3;0;0;
Mroczek Maciej;RP;5968;94.76;64;0;72;
Mrzygłocka Izabela Katarzyna;PO;6288;99.84;73;0;88;
Mucha Joanna;PO;6091;96.71;31;1;12;
Mularczyk Arkadiusz;ZP;5750;91.30;13;0;202;
Munyama Killion;PO;6184;98.19;18;1;83;
Mężydło Antoni;PO;6282;99.75;8;0;51;
Młyńczak Aldona;PO;2830;98.85;16;0;24;ślubowała 05-06-2014
Naguszewski Tadeusz;PO;1969;96.10;9;0;2;ślubował 16-12-2014
Naimski Piotr;PiS;6086;96.63;14;0;82;
Najder Jacek;BC;6130;97.33;33;0;91;
Napieralski Grzegorz;BC;4698;74.60;45;0;26;
Nawrocka Elżbieta;PSL;1545;97.23;15;0;8;ślubowała 18-02-2015
Nemś Anna;PO;6222;98.79;795;0;123;
Neumann Sławomir;PO;6213;98.65;1;0;16;
Niedbała Marek;SLD;2354;82.22;231;0;36;ślubował 05-06-2014
Niedziela Dorota;PO;6179;98.11;13;0;91;
Niemczyk Małgorzata;PO;5975;94.87;511;0;7;
Niesiołowski Stefan;PO;6229;98.90;2;0;32;
Nowak Maria;PiS;5580;88.60;129;0;240;
Nowak Sławomir;?NZ;3499;78.65;0;0;2;mandat wygasł 02-01-2015
Nowak Tomasz Piotr;PO;6282;99.75;185;0;105;
Nowicka Wanda;?NZ;5500;87.33;63;0;49;
Nykiel Mirosława;PO;6208;98.57;42;0;60;
Okrągły Janina;PO;6166;97.90;104;0;67;
Okła-Drewnowicz Marzena;PO;6232;98.95;41;0;30;
Olechowska Alicja;PO;6204;98.51;10;0;42;
Olejniczak Cezary;SLD;6022;95.62;129;0;423;
Olendzka Halina;PiS;1337;98.45;0;0;11;ślubowała 09-04-2015
