Lp.Nazwisko i imię posłaKlub/kołoLiczbainterpelacji, którym nadanobiegLiczbainterpelacji, którymnie nadanobiegu
96.;Raniewicz Grzegorz;PO;90;;;
97.;Zdanowska Hanna;PO;89;;mandat wygasł 07-12-2010;
98.;Pomaska Agnieszka;PO;88;;ślubowała 24-06-2009;
99.;Drozd Ewa;PO;87;;;
100.;Bańkowska Anna;SLD;86;;;
101.;Lipiec Krzysztof;PiS;84;;;
102.;Musiał Jan;PO;83;;;
103.;Wontor Bogusław;SLD;83;;;
104.;Szydłowska Bożena;PO;82;;;
105.;Witkowski Radosław;PO;82;;;
106.;Zawadzki Ryszard;PO;82;;;
107.;Hanajczyk Agnieszka;PO;81;;;
108.;Stuligrosz Michał;PO;81;;;
109.;Girzyński Zbigniew;PiS;79;;;
110.;Machałek Marzena;PiS;79;;;
111.;Rutnicki Jakub;PO;79;;;
112.;Gowin Jarosław;PO;78;;;
113.;Gut-Mostowy Andrzej;PO;78;;;
114.;Kempa Beata;PiS;78;;;
115.;Kuchciński Marek;PiS;78;;;
116.;Marianowska Barbara;PiS;78;;;
117.;Motowidło Tadeusz;SLD;76;;;
118.;Polak Piotr;PiS;76;;;
119.;Malik Ewa;PiS;75;;;
120.;Arent Iwona;PiS;74;;;
121.;Garbowski Tomasz;SLD;74;;;
122.;Wykręt Adam;PO;73;;;
123.;Ryszka Andrzej;PO;72;;;
124.;Arłukowicz Bartosz;PO;71;;;
125.;Wałęsa Jarosław;PO;71;;mandat wygasł 10-06-2009;
126.;Wojtkiewicz Michał;PiS;71;;;
127.;Adamczyk Andrzej;PiS;69;;;
128.;Woźniak Tadeusz;PiS;69;;;
129.;Gwiazdowski Kazimierz;PiS;68;;;
130.;Zieliński Jarosław;PiS;68;;;
131.;Ajchler Romuald;SLD;67;;;
132.;Dunin Artur;PO;67;;;
133.;Raczkowski Damian;PO;67;;;
134.;Tobiszowski Grzegorz;PiS;67;;;
135.;Drab Marzenna;PiS;66;;;
136.;Krasoń Janusz;SLD;66;;;
137.;Widacki Jan;SLD;66;;;
138.;Hoc Czesław;PiS;65;;;
139.;Szwed Stanisław;PiS;65;;;
140.;Babinetz Piotr;PiS;64;;;
141.;Pałys Andrzej;PSL;64;;;
142.;Szczypińska Jolanta;PiS;64;;;
143.;Witek Elżbieta;PiS;64;;;
144.;Witaszczyk Stanisław;PSL;63;;;
145.;Cieśliński Piotr;PO;62;;ślubował 26-06-2009;
146.;Czucha Zdzisław;PO;62;;mandat wygasł 07-12-2010;
147.;Dzięcioł Janusz;PO;62;;;
