idK;name;nrK;nrL;lista
8a8a8a840e3f65e6010e42151689214d;Sławiński Krzysztof;3;7;Samoobrona
8a8a8a840e3f65e6010e42189c8a21a7;Wieczorek Bogdan Jan;4;7;Samoobrona
8a8a8a840e3f65e6010e421b54af21df;Sadowski Tadeusz;5;7;Samoobrona
8a8a8a840e3f65e6010e421e9966222a;Gajewski Ryszard Bronisław;6;7;Samoobrona
8a8a8a840e3f65e6010e4232aa5a23fa;Gąsiewski Tadeusz;7;7;Samoobrona
8a8a8a840e3f65e6010e422c543a233f;Wiaktor Olgierd;8;7;Samoobrona
8a8a8a840e3f65e6010e422f867d239c;Staniszewski Lucjan;9;7;Samoobrona
8a8a8a840e3f65e6010e4234bf522416;Żukowski Janusz;10;7;Samoobrona
8a8a8a840e424d02010e43804d1c21f1;Łukawski Henryk Jan;1;11;11
8a8a8a840e424d02010e4388ecd022a5;Barszczewska Bożena;2;11;11
8a8a8a840e424d02010e438aaf4422c0;Stepnowska Zofia;3;11;11
8a8a8a840e424d02010e438c29dc22f2;Micał Małgorzata;4;11;11
8a8a8a840e424d02010e438e14402325;Stasiński Sławomir;5;11;11
8a8a8a830e424cf8010e4299d98804db;Lewoc Leszek;1;12;12
8a8a8a830e424cf8010e429d9ba4053d;Tomczyk Dariusz Jerzy;2;12;12
8a8a8a830e424cf8010e429f7d900563;Osiński Stanisław;3;12;12
8a8a8a830e424cf8010e42a1406e0598;Domagała Marek;4;12;12
8a8a8a830e424cf8010e42a34b5705cf;Milewski Bogdan;5;12;12
8a8a8a830e424cf8010e42a60c1f061c;Brodowski Anatol;6;12;12
8a8a8a830e424cf8010e42aa6792066e;Goliński Maciej;1;13;13
8a8a8a830e424cf8010e42ac8f950693;Andrelczyk Teresa;2;13;13
8a8a8a830e424cf8010e42adb65e06ac;Dworakowski Łukasz;3;13;13
8a8a8a830e424cf8010e42aeeb0d06c7;Chwesewicz Grzegorz;4;13;13
8a8a8a830e424cf8010e42b00c3906ce;Dzierżek Jerzy;5;13;13
8a8a8a820e3bbef2010e3d5096c412b3;Zalewski Zenon;1;14;14
8a8a8a820e3bbef2010e3d529c7812c6;Sienkiewicz Sylwester;2;14;14
8a8a8a820e3bbef2010e3d54e90012cf;Faszczewski Marcin;3;14;14
8a8a8a820e3bbef2010e3d56e90112e1;Wyszkowski Radosław;4;14;14
8a8a8a820e3bbef2010e3d5af1fc1302;Faszczewski Grzegorz;5;14;14
8a8a8a820e3bbef2010e3d5c6d211313;Zalewski Krzysztof;6;14;14
8a8a8a820e3bbef2010e3d5e21f7131c;Warpechowska Weronika;7;14;14
8a8a8a840e424d4d010e4274fb4403d2;Bobek Jan;1;1;PSL
8a8a8a840e424d4d010e42787f5f0445;Aleksiejczuk Bogdan;2;1;PSL
8a8a8a840e424d4d010e427a4e11047b;Gładki Zdzisław;3;1;PSL
8a8a8a840e424d4d010e427c37500499;Tkaczuk Wiesław Jan;4;1;PSL
8a8a8a840e424d4d010e427f5f3504e8;Zieliński Ryszard Tomasz;5;1;PSL
8a8a8a840e424d4d010e42814a66051d;Chabros-Dusza Regina;6;1;PSL
8a8a8a840e424d4d010e4284e8be0564;Dombrowski Jerzy;7;1;PSL
8a8a8a840e424d4d010e4286b5850597;Kobiela Renata Małgorzata;8;1;PSL
8a8a8a840e424d4d010e4288f60005c8;Kogut Roman;9;1;PSL
8a8a8a840e424d4d010e428b1c730603;Matysiewicz Bolesław;10;1;PSL
8a8a8a840e424d4d010e428cc83c0636;Michalak Stanisław;11;1;PSL
8a8a8a840e424d4d010e428f233a0678;Piwcewicz Bożena;12;1;PSL
8a8a8a840e424d4d010e4290efe706c1;Skarbek Wiesława;13;1;PSL
8a8a8a840e424d4d010e42929fd506fc;Kiersz Zygmunt Emilian;14;1;PSL
8a8a8a820e424d42010e4356dc811ebb;Silicka Róża;1;2;LPR
8a8a8a820e424d42010e43582d3f1ee5;Mongiałło Mieczysław Marcin;2;2;LPR
8a8a8a820e424d42010e4359571d1f00;Zajkowski Krzysztof Stefan;3;2;LPR
8a8a8a820e424d42010e435ac3311f17;Tarnacka Irena;4;2;LPR
8a8a8a820e424d42010e435bd09c1f39;Lipiejko Krystyna;5;2;LPR
8a8a8a820e424d42010e435d79c71f6a;Harłukowicz Grzegorz;6;2;LPR
8a8a8a820e424d42010e435e95c61f9d;Bączek Tadeusz;7;2;LPR
8a8a8a820e424d42010e43618e551fec;Kołakowska Bożena Hanna;8;2;LPR
8a8a8a820e424d42010e436420012031;Fortulański Mateusz;9;2;LPR
8a8a8a820e424d42010e43653f4e2051;Nagórka Marta;10;2;LPR
8a8a8a820e424d42010e436675cd206b;Żółtowski Zbigniew;11;2;LPR
8a8a8a820e3f660d010e41e45dfa1c2d;Nowakowski Jakub;1;3;PEiR
8a8a8a820e3f660d010e41e5fb791c68;Górski Zdzisław;2;3;PEiR
8a8a8a820e3f660d010e41ec912f1ce3;Celka Bolesław;3;3;PEiR
8a8a8a820e3f660d010e41ee82ec1d11;Szymczak Zbigniew;4;3;PEiR
8a8a8a820e3f660d010e41f006101d39;Śnitko Jerzy;5;3;PEiR
8a8a8a820e3f660d010e41f169c51d58;Bajeński Antoni;6;3;PEiR
8a8a8a820e3f660d010e41f3a72a1d89;Romak Justyna Katarzyna;7;3;PEiR
8a8a8a840e424d4d010e438a9e2121aa;Perliński Jacek Artur;1;4;PiS
8a8a8a840e424d4d010e438c771621d5;Wiszowaty Bogdan;2;4;PiS
8a8a8a840e424d4d010e438e61bf21f2;Łada Witold;3;4;PiS
8a8a8a840e424d4d010e4390a93e2227;Banasiewicz Elżbieta;4;4;PiS
8a8a8a840e424d4d010e439248e72242;Tyszko Zbigniew Stefan;5;4;PiS
8a8a8a840e424d4d010e43946e222268;Zabłocki Wojciech;6;4;PiS
8a8a8a840e424d4d010e4396ab4d2294;Gadomski Jerzy;7;4;PiS
8a8a8a840e424d4d010e4398447322ba;Olszewski Stanisław Andrzej;8;4;PiS
8a8a8a840e424d4d010e439a6c3b22f2;Otręba Janusz Jan;9;4;PiS
8a8a8a840e424d4d010e439c86032311;Zieliński Wiesław Roman;10;4;PiS
8a8a8a840e424d4d010e439feb1a236f;Barton Dariusz Stanisław;11;4;PiS
8a8a8a840e424d4d010e43a22a4c239f;Kaczyńska Agata;12;4;PiS
8a8a8a840e424d4d010e43a414a523bf;Darski Witold Marian;13;4;PiS
8a8a8a840e424d4d010e43a5d47623d6;Stołycia Andrzej;14;4;PiS
8a8a8a840e43e9f6010e4629925e0150;Jankowski Paweł Dariusz;1;5;PO
8a8a8a840e43e9f6010e462b4af90159;Harhaj Jan;2;5;PO
8a8a8a840e43e9f6010e462de5320166;Sycz Miron;3;5;PO
8a8a8a840e43e9f6010e462fa16a0177;Kosobudzki Ryszard;4;5;PO
8a8a8a840e43e9f6010e46368c9201ae;Pietrzak Zbigniew Janusz;5;5;PO
8a8a8a840e43e9f6010e46380d0801bb;Gabriel Hanna;6;5;PO
8a8a8a840e43e9f6010e463a0e6c01c9;Pisula Irena;7;5;PO
8a8a8a840e43e9f6010e463bcc2d01d9;Warsza Adam Piotr;8;5;PO
8a8a8a840e43e9f6010e463d445d01ef;Przybylak Piotr Wacław;9;5;PO
8a8a8a840e43e9f6010e463fd58a0210;Lotkowska Katarzyna Izabela;10;5;PO
8a8a8a840e43e9f6010e4641d9c10224;Romanowska Celina;11;5;PO
8a8a8a840e43e9f6010e464329010231;Pałka Dariusz Jacek;12;5;PO
8a8a8a840e3f661e010e4215ea1519ef;Horbaczewski Henryk;1;6;SLD
8a8a8a840e3f661e010e4218c8671a32;Ząbek Jerzy;2;6;SLD
8a8a8a840e3f661e010e421b70e71a86;Król Jadwiga;3;6;SLD
8a8a8a840e3f661e010e4220cbb71b09;Mysiakowski Maciej Daniel;4;6;SLD
8a8a8a840e3f661e010e422297291b22;Gierulski Janusz Andrzej;5;6;SLD
8a8a8a840e3f661e010e422506fd1b60;Janczuk Danuta Anna;6;6;SLD
8a8a8a840e3f661e010e4226a12f1b94;Joć Szymon;7;6;SLD
8a8a8a840e3f661e010e4229b4611bdd;Białczyk Alicja Anna;8;6;SLD
8a8a8a840e3f661e010e422c1a9a1c10;Walentynowicz Jan;9;6;SLD
8a8a8a840e3f661e010e422e69131c2d;Mierzejewska Hanna;10;6;SLD
8a8a8a840e424d4d010e433af82719a6;Bachar Jerzy Stanisław;1;7;Samoobrona
8a8a8a840e424d4d010e433e24d01a11;Cieślak Jan;2;7;Samoobrona
8a8a8a840e424d4d010e43417aa01a87;Bułhak Edward;3;7;Samoobrona
8a8a8a840e424d4d010e434397541ac5;Zielenkiewicz Wanda Barbara;4;7;Samoobrona
8a8a8a840e424d4d010e4345bbd91b08;Filipowicz Tomasz;5;7;Samoobrona
8a8a8a840e424d4d010e43485cd31b4d;Sobiesińska Marta;6;7;Samoobrona
8a8a8a840e424d4d010e434b291d1bad;Jankowska Agnieszka Anna;7;7;Samoobrona
8a8a8a840e424d4d010e435083231c26;Biłas Anna;8;7;Samoobrona
8a8a8a840e424d4d010e4352824a1c5e;Alm Barbara;9;7;Samoobrona
8a8a8a840e424d4d010e435595d51caa;Sałata Tomasz;10;7;Samoobrona
8a8a8a840e424d4d010e4358613d1cea;Stafiej Wiesław Aleksander;11;7;Samoobrona
8a8a8a840e424d4d010e435a88f31d10;Pietruczuk Józef;12;7;Samoobrona
8a8a8a840e424d4d010e435ceb3d1d4f;Sokołowski Andrzej;13;7;Samoobrona
8a8a8a840e424d4d010e435eef3d1d84;Aftewicz Stanisław Jan;14;7;Samoobrona
8a8a8a820e424d42010e427bfddf0383;Jezierski Sławomir Kazimierz;1;10;10
8a8a8a820e424d42010e427d2c67039d;Radej Iwona;2;10;10
8a8a8a820e424d42010e427e6df103ca;Grygo Krzysztof Kazimierz;3;10;10
8a8a8a820e424d42010e4280aaa5040a;Niedbalska Konarczak Krystyna Zofia;4;10;10
8a8a8a820e424d42010e4281c2ab042c;Derewecka Irena;5;10;10
8a8a8a820e424d42010e428baf000553;Puzio Jan;6;10;10
8a8a8a830e3bc154010e3d12e9190c4d;Płaczek Michał Tomasz;1;11;11
8a8a8a830e3bc154010e3d15ac330c67;Koprowska Bożena;2;11;11
8a8a8a830e3bc154010e3d18227b0c6e;Kubas Bożena Jolanta;3;11;11
8a8a8a830e3bc154010e3d1a062d0c80;Wojciechowska Joanna;4;11;11
8a8a8a830e3bc154010e3d1e46a90ca6;Odojewska Janina;5;11;11
8a8a8a830e3bc154010e3d20668d0cbc;Sadowski Grzegorz;6;11;11
8a8a8a830e3bc154010e3d2221c90cc5;Doroszkiewicz Anna Magdalena;7;11;11
8a8a8a820e3f660d010e4164d92110e5;Olechnowicz Barbara Hanna;1;14;14
8a8a8a820e3f660d010e416b5857117e;Chmielewski Marek;2;14;14
8a8a8a820e3f660d010e416fc88211eb;Radziszewski Stanisław;3;14;14
8a8a8a820e3f660d010e4171fe6a1215;Radecka-Szarkowska Elżbieta;4;14;14
8a8a8a820e3f660d010e41741cbb124b;Kalinowski Stanisław;5;14;14
8a8a8a840e3f6622010e41e889b92e75;Haupt Zbigniew;1;1;PSL
8a8a8a840e3f6622010e41ea9c002eb9;Szalczyk Zofia;2;1;PSL
8a8a8a840e3f6622010e41ef2ead2f8b;Maćkowiak Janusz;3;1;PSL
8a8a8a840e3f6622010e41f1e36e2fe7;Kłos Marian;4;1;PSL
8a8a8a840e3f6622010e41f417923031;Marszałek Franciszek;5;1;PSL
8a8a8a840e3f6622010e41f63c9b3084;Smektała Magdalena;6;1;PSL
8a8a8a840e3f6622010e41f7fafd30c9;Żok Ireneusz;7;1;PSL
8a8a8a840e3f6622010e41fa52c6311f;Olszak Mariusz;8;1;PSL
8a8a8a840e3f6622010e41fc3f02314a;Waszczuk Dionizy;9;1;PSL
8a8a8a840e3f6622010e41fe41b53194;Donaj Seweryn;10;1;PSL
8a8a8a840e3f6622010e4201a7ae3230;Taciak Włodzimierz;11;1;PSL
8a8a8a840e3f6622010e4203b8db327f;Wojciak Stanisław;12;1;PSL
8a8a8a830e33ee9b010e379a32490bca;Rostowski Marcin;1;2;LPR
8a8a8a830e33ee9b010e379c21c70be8;Pawlak Przemysław;2;2;LPR
8a8a8a830e33ee9b010e379eae0c0bfd;Pocętek Jacek;3;2;LPR
8a8a8a830e33ee9b010e37a109760c15;Rymarczyk Marta;4;2;LPR
8a8a8a830e33ee9b010e37a30a1f0c2e;Suchanecki Antoni;5;2;LPR
8a8a8a830e33ee9b010e37a45c3b0c40;Skrzypczak Maria;6;2;LPR
8a8a8a830e33ee9b010e37a6f5a10c64;Tadeusz Mateusz;7;2;LPR
8a8a8a830e33ee9b010e37a8ff420c82;Gaszek Grażyna;8;2;LPR
8a8a8a830e33ee9b010e37ab7e680c99;Klima Przemysław;9;2;LPR
8a8a8a830e33ee9b010e37ad95980cb7;Szelejewski Stanisław;10;2;LPR
8a8a8a830e33ee9b010e37af75bb0cda;Niedziela Krzysztof;11;2;LPR
8a8a8a830e33ee9b010e37b21da70ceb;Stoczczak Ewa;12;2;LPR
8a8a8a830e33ee9b010e37b4324f0d05;Jóźwiak Tomasz;13;2;LPR
8a8a8a830e33ee9b010e37b6c2c00d23;Białasik Adam;14;2;LPR
8a8a8a840e3f6622010e40bd3f9208da;Woźniak Piotr;1;3;PEiR
8a8a8a840e3f6622010e40beedd60907;Kochowicz Karolina;2;3;PEiR
8a8a8a840e3f6622010e40d20f780aec;Kmiecik Maria;3;3;PEiR
8a8a8a840e3f6622010e40c79b8609c6;Gbiorczyk Stefan;4;3;PEiR
8a8a8a840e3f6622010e40c9dbce0a00;Podemski Paweł;5;3;PEiR
8a8a8a840e3f6622010e40cba79a0a44;Janus Ryszard;6;3;PEiR
8a8a8a840e3f6622010e40cd49950a76;Witkiewicz Danuta;7;3;PEiR
8a8a8a840e3f6622010e40cfe0190ac7;Kalinowska Ewa;8;3;PEiR
8a8a8a840e3f6622010e40d5422a0b45;Łagoda Piotr;9;3;PEiR
8a8a8a840e3f6622010e40d6c41e0b5a;Biegajska Barbara;10;3;PEiR
8a8a8a840e3f6622010e40d7fd6c0b72;Siepański Jan;11;3;PEiR
8a8a8a840e3f6622010e40d993640bac;Kierych Elżbieta;12;3;PEiR
8a8a8a840e3f6622010e40dae8320bd5;Marcinkowska Alicja;13;3;PEiR
8a8a8a840e3f6622010e40dc20df0bef;Matysiak Barbara;14;3;PEiR
8a8a8a830e424d54010e4273b781042d;Smulski Przemysław;1;4;PiS
8a8a8a830e424d54010e42766afa049a;Barys Elżbieta;2;4;PiS
8a8a8a830e424d54010e4278aa6a04ea;Skrzypczak Roman;3;4;PiS
8a8a8a830e424d54010e427ba4ad055b;Kołeczko Krzysztof;4;4;PiS
8a8a8a830e424d54010e427fcdc905fc;Sowa Marek;5;4;PiS
8a8a8a830e424d54010e4290f5d108da;Szymański Piotr;6;4;PiS
8a8a8a830e424d54010e429470c30955;May Iwona;7;4;PiS
8a8a8a830e424d54010e429a578a0a05;Jakób Iwona;8;4;PiS
8a8a8a830e424d54010e429edf010a8c;Janikowski Czesław;9;4;PiS
8a8a8a830e424d54010e42a4104d0b3e;Najdek Paweł;10;4;PiS
8a8a8a830e3bc104010e3d2f09b121d2;Orzechowski Maciej;1;5;PO
8a8a8a830e3bc104010e3d3135f8223b;Poślednik Marian;2;5;PO
8a8a8a830e3bc104010e3d3490392298;Adamczak Małgorzata;3;5;PO
8a8a8a830e3bc104010e3d36599822d4;Gawliński Marek;4;5;PO
8a8a8a830e3bc104010e3d3952fb2337;Munyama Killion;5;5;PO
8a8a8a830e3bc104010e3d3b4c512369;Duda Adam;6;5;PO
8a8a8a830e3bc104010e3d3ca597238d;Trepko Jacek;7;5;PO
8a8a8a830e3bc104010e3d3ed74723bb;Krajewski Piotr;8;5;PO
8a8a8a830e3bc104010e3d3ffd1123db;Kucz Kazimierz;9;5;PO
8a8a8a830e3bc104010e3d41d33b2406;Górka Bartosz;10;5;PO
8a8a8a830e3bc104010e3d445825244f;Kaczmarek Iwona;11;5;PO
8a8a8a830e3bc104010e3d463d28248a;Florczak Robert;12;5;PO
8a8a8a830e3bc104010e3d482cc024b0;Ciesielski Krzysztof;13;5;PO
8a8a8a830e3bc104010e3d49785024c4;Karpiński Maciej;14;5;PO
8a8a8a820e3bc104010e3d78c4f3315b;Wiśniewski Maciej;1;6;SLD
8a8a8a820e3bc104010e3d8ce3dc32b6;Polowczyk Tadeusz;2;6;SLD
8a8a8a820e3bc104010e3d7f3ab331bb;Birk Hieronim;3;6;SLD
8a8a8a820e3bc104010e3d812ee731e1;Kaliszan Andrzej;4;6;SLD
8a8a8a820e3bc104010e3d844f593216;Jankowski Roman;5;6;SLD
8a8a8a820e3bc104010e3d86c28f324d;Heyduk Jerzy;6;6;SLD
8a8a8a820e3bc104010e3d8ad5393298;Błoszyk Jerzy;7;6;SLD
8a8a8a820e3bc104010e3d8f1b1d32e9;Belak Ryszard;8;6;SLD
8a8a8a820e3bc104010e3d90a992330d;Budzianowski Piotr;9;6;SLD
8a8a8a820e3bc104010e3d92c7b83335;Kościański Wiesław;10;6;SLD
8a8a8a820e3bc104010e3d95206a3350;Adamski Krzysztof;11;6;SLD
8a8a8a820e3bc104010e3d9872e6338d;Górniaczyk Małgorzata;12;6;SLD
8a8a8a840e3f6622010e411c7280131a;Książkiewicz Hubert;1;7;Samoobrona
8a8a8a840e3f6622010e411fa2f81378;Jędryczka Agnieszka;2;7;Samoobrona
8a8a8a840e3f6622010e4121e29c13d1;Heliński Andrzej;3;7;Samoobrona
8a8a8a840e3f6622010e4127ef83148e;Siwiaszczyk Marek;4;7;Samoobrona
8a8a8a840e3f6622010e412a484114f1;Jurdeczka Agnieszka;5;7;Samoobrona
8a8a8a840e3f6622010e412c66ce1547;Wolny Tadeusz;6;7;Samoobrona
8a8a8a840e3f6622010e412f89a915b5;Głuszak Grażyna;7;7;Samoobrona
8a8a8a840e3f6622010e4136d1c616f6;Trąbka Leon;8;7;Samoobrona
8a8a8a840e3f6622010e41396e041762;Kulczak Kazimierz;9;7;Samoobrona
8a8a8a840e3f6622010e413bb57517dd;Kot Stefan;10;7;Samoobrona
8a8a8a840e3f6622010e413fca341877;Junory Karol;11;7;Samoobrona
8a8a8a840e3f6622010e414748a119a2;Mała Elżbieta;12;7;Samoobrona
8a8a8a840e3f6622010e41495c8a19eb;Michalski Przemysław;13;7;Samoobrona
8a8a8a840e3f6622010e4204e21f32b8;Twardowski Bartosz;1;10;10
8a8a8a840e3f6622010e42073b30331b;Ziętek Ryszard;2;10;10
8a8a8a840e3f6622010e420ca31033ef;Gil Violetta;3;10;10
8a8a8a840e3f6622010e420f97cc3456;Górna Marzena;4;10;10
8a8a8a840e3f6622010e42125bfd34a8;Krystkowiak Katarzyna;5;10;10
8a8a8a840e3f6622010e421a8f9e3629;Derwich Hanna;6;10;10
8a8a8a840e3f6622010e421e3a1436d0;Defitowska Dominika;7;10;10
8a8a8a840e3f6622010e42200e00371f;Gralińska Agnieszka;8;10;10
8a8a8a840e3f6622010e4221f8f63768;Nawrocka Jadwiga;9;10;10
8a8a8a840e3f6622010e4224496a37d4;Pakulski Andrzej;10;10;10
8a8a8a840e424d4f010e4364ef2f3b71;Cichowlas Robert;1;11;11
8a8a8a840e424d4f010e43678b143c01;Szymkowiak-Wierzba Izabela;2;11;11
8a8a8a840e424d4f010e4369c2923c73;Wojciechowski Zbigniew;3;11;11
8a8a8a840e424d4f010e436c08713cc3;Panek Anatol;4;11;11
8a8a8a840e424d4f010e436e00a13d11;Gałkowski Krzysztof;5;11;11
8a8a8a840e424d4f010e43703ae63d37;Jarecki Jacek;6;11;11
8a8a8a840e424d4f010e43733b1c3d97;Biały Przemysław;7;11;11
8a8a8a820e3bc104010e3da0ac6133f9;Szulc Henryk;1;12;12
8a8a8a820e3bc104010e3da4fefb342c;Chwaliszewski Michał;2;12;12
8a8a8a820e3bc104010e3da73a4e3453;Poloch Kinga;3;12;12
8a8a8a820e3bc104010e3da8b39b3468;Andrzejewski Marek;4;12;12
8a8a8a820e3bc104010e3dab00c0347e;Kołodziej Henryk;5;12;12
8a8a8a820e3bc104010e3dae6e0d34b5;Jakielczyk Paulina;6;12;12
8a8a8a820e3bc104010e3db055e234ce;Dudkowiak Leszek;7;12;12
8a8a8a820e3bc104010e3db1f66334e3;Laszczyński Jan;8;12;12
8a8a8a820e3bc104010e3db3f2e234f8;Szulc Mariusz;9;12;12
8a8a8a820e3bc104010e3db6c3263523;Szkudlarek Wojciech;10;12;12
8a8a8a830e3f65e6010e411ed9b50807;Dzierzgowski Wojciech;1;1;PSL
8a8a8a830e3f65e6010e41213de6084b;Bagiński Mieczysław;2;1;PSL
8a8a8a830e3f65e6010e4124314c0896;Borawski Mirosław;3;1;PSL
8a8a8a830e3f65e6010e4127dc1708ee;Rainko Mirosław;4;1;PSL
8a8a8a830e3f65e6010e412ae038091f;Zawadzki Jan;5;1;PSL
8a8a8a830e3f65e6010e412df3730941;Purzeczko Łukasz;6;1;PSL
8a8a8a830e3f65e6010e4130d604095a;Popkowski Bogusław Jacek;7;1;PSL
8a8a8a830e3f65e6010e4132c2730978;Marczyk Małgorzata;8;1;PSL
8a8a8a830e3f65e6010e4134bf650992;Szczepanek Beata;9;1;PSL
8a8a8a830e3f65e6010e4137d7af09c6;Wiszowata Katarzyna;10;1;PSL
8a8a8a840e3bbf04010e3ce91bbd10e5;Laszczkowski Wiesław;1;2;LPR
8a8a8a840e3bbf04010e3ceb89b510f0;Kozicki Krzysztof Ryszard;2;2;LPR
8a8a8a840e3bbf04010e3ced987b1100;Zambrowski Włodzimierz Jerzy;3;2;LPR
8a8a8a840e3bbf04010e3cef8b261111;Gąsiewski Waldemar;4;2;LPR
8a8a8a840e3bbf04010e3cf1d6e31129;Domalewski Paweł;5;2;LPR
8a8a8a840e3bbf04010e3cf32c551136;Narewski Andrzej;6;2;LPR
8a8a8a840e3bbf04010e3cf48ec9113b;Śledziewski Sławomir;7;2;LPR
8a8a8a820e3bbef2010e3d12b4e51100;Lörinczy Gabor;1;3;PEiR
8a8a8a820e3bbef2010e3d14e2241113;Wincenciak Witold;2;3;PEiR
8a8a8a820e3bbef2010e3d17199f111c;Ptaszyński Kazimierz;3;3;PEiR
8a8a8a820e3bbef2010e3d1978be112d;Przesław Józef Krzysztof;4;3;PEiR
8a8a8a820e3bbef2010e3d1cd0821141;Grzeszczyk Tadeusz;5;3;PEiR
8a8a8a820e3bbef2010e3d1f01741157;Klisiatys Andrzej;6;3;PEiR
8a8a8a820e3bbef2010e3d220b59116a;Cichowicz Jerzy;7;3;PEiR
8a8a8a820e3bbef2010e3d2458d11180;Stefaniak Sławomir Władysław;8;3;PEiR
8a8a8a820e3bbef2010e3d262a1a118f;Skowroński Aleksander Andrzej;9;3;PEiR
8a8a8a820e424cef010e433a958c1c55;Gwiazdowski Kazimierz;1;4;PiS
8a8a8a820e424cef010e433c25941c7c;Olbryś Marek;2;4;PiS
8a8a8a820e424cef010e433e21411cc0;Gietek Tomasz;3;4;PiS
