"TERYT Gminy";"Gmina";"Powiat";"Województwo";"Nr okręgu";"Liczba komisji";"Liczba uwzględnionych komisji";"Frekwencja";"Procent głosów nieważnych";"W tym z powodu postawienia znaku „X” obok nazwiska dwóch lub większej liczby kandydatów z różnych list";"W tym z powodu niepostawienia znaku „X” obok nazwiska żadnego kandydata";"W tym z powodu postawienia znaku „X” wyłącznie obok nazwiska kandydata na liście, której rejestracja została unieważniona";"Procent głosów ważnych oddanych łącznie na wszystkie listy kandydatów";"KOALICYJNY KOMITET WYBORCZY KOALICJA OBYWATELSKA";"KOALICYJNY KOMITET WYBORCZY LEWICA";"KOALICYJNY KOMITET WYBORCZY TRZECIA DROGA POLSKA 2050 SZYMONA HOŁOWNI - POLSKIE STRONNICTWO LUDOWE";"KOMITET WYBORCZY KONFEDERACJA WOLNOŚĆ I NIEPODLEGŁOŚĆ";"KOMITET WYBORCZY NORMALNY KRAJ";"KOMITET WYBORCZY POLEXIT";"KOMITET WYBORCZY POLSKA LIBERALNA STRAJK PRZEDSIĘBIORCÓW";"KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ";"KOMITET WYBORCZY RUCH NAPRAWY POLSKI";"KOMITET WYBORCZY WYBORCÓW BEZPARTYJNI SAMORZĄDOWCY-NORMALNA POLSKA W NORMALNEJ EUROPIE";"KOMITET WYBORCZY WYBORCÓW GŁOS SILNEJ POLSKI"
20907;"gm. Prochowice";"legnicki";"dolnośląskie";12;9;9;"34,80";"0,51";"80,00";"20,00";"0,00";"99,49";"32,23";"4,71";"6,00";"13,24";;"0,36";;"42,27";;"1,19";
20908;"gm. Ruja";"legnicki";"dolnośląskie";12;3;3;"27,95";"0,37";"50,00";"50,00";"0,00";"99,63";"23,39";"5,16";"4,24";"13,44";;"0,18";;"52,12";;"1,47";
21001;"m. Lubań";"lubański";"dolnośląskie";12;16;16;"37,59";"0,61";"51,43";"48,57";"0,00";"99,39";"41,58";"9,71";"4,29";"8,97";;"0,17";;"32,32";;"2,96";
21002;"m. Świeradów-Zdrój";"lubański";"dolnośląskie";12;5;5;"43,78";"0,68";"70,00";"30,00";"0,00";"99,32";"45,42";"8,07";"5,27";"8,62";;"0,21";;"31,19";;"1,23";
21003;"gm. Leśna";"lubański";"dolnośląskie";12;10;10;"31,12";"1,05";"41,67";"58,33";"0,00";"98,95";"33,51";"8,19";"6,08";"13,30";;"0,44";;"36,90";;"1,59";
21004;"gm. Lubań";"lubański";"dolnośląskie";12;8;8;"31,02";"1,28";"60,00";"40,00";"0,00";"98,72";"30,75";"7,61";"8,06";"12,74";;"0,59";;"37,52";;"2,73";
21005;"gm. Olszyna";"lubański";"dolnośląskie";12;5;5;"30,60";"0,52";"50,00";"50,00";"0,00";"99,48";"34,30";"11,45";"5,07";"14,35";;"0,33";;"33,25";;"1,25";
21006;"gm. Platerówka";"lubański";"dolnośląskie";12;2;2;"36,20";"0,68";"66,67";"33,33";"0,00";"99,32";"24,15";"7,74";"3,64";"13,67";;"0,23";;"48,29";;"2,28";
21007;"gm. Siekierczyn";"lubański";"dolnośląskie";12;4;4;"31,65";"0,81";"50,00";"50,00";"0,00";"99,19";"31,18";"8,33";"7,02";"10,94";;"0,33";;"40,98";;"1,22";
21101;"m. Lubin";"lubiński";"dolnośląskie";12;51;51;"42,01";"0,67";"62,76";"37,24";"0,00";"99,33";"34,80";"7,99";"4,51";"11,11";;"0,25";;"39,23";;"2,11";
