"teryt";"lgw";"pis";"po";"d3";"pis.p";"po.p";"d3.p"
"020902";2394;1125;647;131;46.9924812030075;27.0258980785297;5.47201336675021
"020903";949;431;287;36;45.4162276080084;30.2423603793467;3.79346680716544
"020904";2510;807;1037;135;32.1513944223108;41.3147410358566;5.37848605577689
"020905";1522;680;449;67;44.6780551905388;29.5006570302234;4.40210249671485
"020906";2095;786;702;103;37.5178997613365;33.508353221957;4.91646778042959
"020907";1933;817;623;116;42.2659079151578;32.2296947749612;6.00103466114847
"020908";543;283;127;23;52.1178637200737;23.3885819521179;4.23572744014733
"021001";5717;1848;2377;245;32.3246457932482;41.57775056848;4.28546440440791
"021002";1462;456;664;77;31.1901504787962;45.4172366621067;5.26675786593707
"021003";2271;838;761;138;36.9000440334654;33.5094671950683;6.07661822985469
"021004";1538;577;473;124;37.5162548764629;30.7542262678804;8.06241872561769
"021005";1519;505;521;77;33.2455562870309;34.2988808426596;5.06912442396313
"021006";439;212;106;16;48.2915717539863;24.1457858769932;3.64464692482916
"021007";1225;502;382;86;40.9795918367347;31.1836734693878;7.02040816326531
"021101";21558;8458;7502;973;39.2336951479729;34.7991464885425;4.51340569626125
"021102";5633;2028;1844;313;36.0021303035683;32.7356648322386;5.55654180720753
"021103";2271;1100;531;123;48.4368119771026;23.3817701453104;5.41611624834874
"021104";2816;1542;636;113;54.7585227272727;22.5852272727273;4.01278409090909
"021201";2217;762;802;124;34.3707713125846;36.1750112764998;5.59314388813712
"021202";1426;542;492;82;38.0084151472651;34.5021037868163;5.75035063113604
"021203";4316;1484;1654;256;34.3836886005561;38.3225208526413;5.93141797961075
"021204";2006;739;743;121;36.839481555334;37.0388833499501;6.03190428713858
"021205";1104;418;377;80;37.8623188405797;34.1485507246377;7.2463768115942
"021301";1105;477;243;76;43.1674208144796;21.9909502262443;6.87782805429864
"021302";1908;879;480;109;46.0691823899371;25.1572327044025;5.71278825995807
"021303";6199;2425;1997;296;39.1192127762542;32.214873366672;4.7749637038232
"021401";11175;3471;4553;538;31.0604026845638;40.7427293064877;4.81431767337808
"021402";2581;1090;792;128;42.231693142193;30.685780705153;4.95931809376211
"021403";1933;728;646;116;37.661665804449;33.4195550957062;6.00103466114847
"021404";951;414;270;90;43.5331230283912;28.391167192429;9.46372239747634
"021405";1093;397;385;66;36.3220494053065;35.224153705398;6.0384263494968
"021406";4066;1440;1424;231;35.4156419085096;35.0221347761928;5.68125922282341
"021407";4602;1388;1808;316;30.1607996523251;39.2872664059105;6.86657974793568
"021408";3225;1282;1183;115;39.7519379844961;36.6821705426357;3.56589147286822
"021501";10529;3283;4485;470;31.1805489600152;42.5966378573464;4.46386171526261
"021502";1495;619;430;62;41.4046822742475;28.7625418060201;4.14715719063545
"021503";7237;2742;2650;259;37.8886278844825;36.6173828934641;3.57883100732348
"021504";4868;1824;1585;209;37.4691865242399;32.5595727198028;4.29334428923583
"021601";3518;1823;801;130;51.8192154633314;22.7686185332575;3.69528140989198
"021602";1119;561;253;48;50.1340482573727;22.609472743521;4.28954423592493
"021603";1349;665;280;68;49.2957746478873;20.7561156412157;5.0407709414381
"021604";7012;2951;2090;383;42.0849971477467;29.8060467769538;5.46206503137479
"021605";2005;998;433;110;49.7755610972569;21.5960099750623;5.48628428927681
"021606";1416;652;353;81;46.045197740113;24.9293785310734;5.72033898305085
"021701";1590;796;351;86;50.062893081761;22.0754716981132;5.40880503144654
"021702";1119;559;306;22;49.9553172475424;27.3458445040214;1.96604110813226
"021703";1282;609;300;36;47.5039001560062;23.4009360374415;2.80811232449298
"021704";6910;2394;2240;260;34.6454413892909;32.4167872648336;3.76266280752533
"021705";1904;990;419;66;51.9957983193277;22.0063025210084;3.46638655462185
"021801";2043;950;478;206;46.5002447381302;23.3969652471855;10.0832109642682
"021802";1507;641;487;55;42.5348374253484;32.3158593231586;3.64963503649635
"021803";6717;1798;2834;341;26.767902337353;42.1914545183862;5.07667113294626
"021804";5756;2011;2273;293;34.9374565670605;39.4892286309937;5.090340514246
"021805";1496;842;293;67;56.2834224598931;19.5855614973262;4.47860962566845
"021901";17372;5082;7591;661;29.2539719088188;43.6967533962699;3.80497352060787
"021902";6533;2027;3070;208;31.0270932190418;46.9921934792592;3.18383590999541
"021903";1457;654;475;54;44.8867536032944;32.6012354152368;3.70624571036376
"021904";2830;1218;907;150;43.0388692579505;32.0494699646643;5.30035335689046
"021905";2095;1001;570;91;47.7804295942721;27.2076372315036;4.3436754176611
"021906";6819;2896;2542;212;42.4695703182285;37.2781932834726;3.10896025810236
"021907";5103;1842;1886;288;36.0964138741917;36.9586517734666;5.64373897707231
"021908";3432;1290;1221;136;37.5874125874126;35.5769230769231;3.96270396270396
"022001";7519;2304;3208;271;30.6423726559383;42.665248038303;3.60420268652746
"022002";2598;1134;721;106;43.64896073903;27.752117013087;4.08006158583526
"022003";8243;2877;3245;294;34.9023413805653;39.3667354118646;3.56666262283149
"022004";4253;1419;1719;215;33.3646837526452;40.4185280978133;5.05525511403715
"022005";1636;599;588;62;36.6136919315403;35.9413202933985;3.78973105134474
"022006";3773;1429;1259;224;37.8743705274318;33.3686721441823;5.93692022263451
"022101";3239;1002;1527;133;30.9354739117011;47.1441803025625;4.10620561901822
"022102";1329;364;673;33;27.3890142964635;50.6395786305493;2.48306997742664
"022103";2204;536;1260;48;24.3194192377495;57.1687840290381;2.17785843920145
"022104";1352;555;484;54;41.0502958579882;35.7988165680473;3.99408284023669
"022105";2170;647;1100;71;29.815668202765;50.6912442396313;3.27188940092166
"022106";1678;530;812;51;31.5852205005959;48.3909415971395;3.03933253873659
"022107";1321;428;608;44;32.3996971990916;46.0257380772142;3.33080999242998
"022108";1477;464;672;65;31.4150304671632;45.4976303317536;4.4008124576845
"022201";4792;1572;1922;183;32.8046744574291;40.1085141903172;3.81886477462437
"022202";2122;1155;413;82;54.4297832233742;19.4627709707823;3.86427898209237
"022203";6699;2540;2398;268;37.9161068816241;35.7963875205254;4.00059710404538
"022301";8055;1814;3805;376;22.52017380509;47.2377405338299;4.66790813159528
"022302";14242;3668;6300;826;25.7548097177363;44.2353602022188;5.79974722651313
"022303";1026;409;293;44;39.8635477582846;28.5575048732943;4.28849902534113
"022304";9465;2573;4141;439;27.1843634442684;43.7506603275225;4.63814051769678
"022305";8249;1837;4090;467;22.2693659837556;49.5817674869681;5.66129227785186
"022306";1172;448;391;82;38.2252559726962;33.3617747440273;6.99658703071672
"022307";4036;1486;1443;161;36.8186323092171;35.7532210109019;3.98909811694747
"022308";9742;2261;4451;564;23.2087866967768;45.6887702730445;5.78936563334018
"022309";4257;1190;1810;247;27.9539581865163;42.518205308903;5.80220812778952
"022401";1474;579;430;204;39.280868385346;29.1723202170963;13.8398914518318
"022402";683;337;167;64;49.3411420204978;24.4509516837482;9.37042459736457
"022403";2069;821;563;255;39.6810053165781;27.2112131464476;12.3247945867569
"022404";1384;565;321;283;40.8236994219653;23.1936416184971;20.4479768786127
"022405";6105;2317;2098;699;37.952497952498;34.3652743652744;11.4496314496314
"022406";4130;1874;1213;363;45.3753026634383;29.3704600484261;8.78934624697337
"022407";1165;489;400;90;41.9742489270386;34.3347639484979;7.72532188841202
"022501";1094;426;401;46;38.9396709323583;36.654478976234;4.20475319926874
"022502";9126;2992;3775;392;32.7854481700636;41.3653298268683;4.29541968003506
"022503";5733;2289;1825;242;39.9267399267399;31.8332461189604;4.22117564974708
"022504";1869;665;663;83;35.5805243445693;35.4735152487961;4.44087747458534
"022505";1559;729;387;89;46.7607440667094;24.8236048749198;5.70878768441309
"022506";1843;773;607;107;41.9424850786761;32.9354313619099;5.80575149213239
"022507";2351;887;771;128;37.7286261165462;32.7945555082943;5.44449170565717
"022601";857;272;348;47;31.7386231038506;40.6067677946324;5.48424737456243
"022602";4341;1368;1811;147;31.5134761575674;41.7184980419258;3.38631651693158
"022603";1025;397;321;60;38.7317073170732;31.3170731707317;5.85365853658537
"022604";1742;679;580;98;38.9781859931114;33.2950631458094;5.62571756601607
"022605";1325;711;269;65;53.6603773584906;20.3018867924528;4.90566037735849
"022606";1851;749;591;96;40.4646137223123;31.9286871961102;5.18638573743922
"026101";23873;6283;11533;1055;26.318435052151;48.3098060570519;4.419218363842
"026201";27216;8923;11294;1126;32.7858612580835;41.4976484420929;4.13727219282775
"026401";247068;55938;112989;12279;22.6407304871533;45.731944242071;4.96988683277478
"026501";28605;7823;15276;691;27.3483656703374;53.4032511798637;2.41566159762279
"040101";3148;962;1462;199;30.559085133418;46.4421855146124;6.32147395171537
"040102";5348;1846;2685;192;34.5175766641735;50.205684367988;3.59012715033657
"040103";533;187;188;60;35.0844277673546;35.2720450281426;11.2570356472795
"040104";2698;1014;921;201;37.583395107487;34.1363973313566;7.44996293550778
"040105";1044;514;173;111;49.2337164750958;16.5708812260536;10.632183908046
"040106";663;327;135;63;49.3212669683258;20.3619909502262;9.50226244343891
"040107";798;315;278;50;39.4736842105263;34.8370927318296;6.265664160401
"040108";1111;561;239;106;50.4950495049505;21.5121512151215;9.54095409540954
"040109";737;298;183;84;40.4341926729986;24.8303934871099;11.3975576662144
"040201";7506;2221;3146;1093;29.5896616040501;41.9131361577405;14.5616839861444
"040202";1408;617;270;299;43.8210227272727;19.1761363636364;21.2357954545455
"040203";2016;646;644;404;32.0436507936508;31.9444444444444;20.0396825396825
"040204";970;514;181;129;52.9896907216495;18.659793814433;13.2989690721649
"040205";861;423;141;172;49.1289198606272;16.3763066202091;19.9767711962834
"040206";1111;579;158;220;52.1152115211521;14.2214221422142;19.8019801980198
"040207";1946;799;266;580;41.0585817060637;13.6690647482014;29.8047276464543
"040208";685;337;106;122;49.1970802919708;15.4744525547445;17.8102189781022
"040209";1093;481;133;312;44.0073193046661;12.1683440073193;28.5452881976212
"040210";1289;466;336;314;36.1520558572537;26.066718386346;24.3599689681924
"040301";8045;1772;4306;628;22.0261031696706;53.5239279055314;7.80609073958981
"040302";2261;672;937;242;29.7213622291022;41.4418398938523;10.703228659885
"040303";3542;1041;1574;276;29.390175042349;44.438170525127;7.79220779220779
"040304";6054;1907;2743;382;31.4998348199537;45.3088866864883;6.30987776676577
"040305";2861;725;1436;189;25.3407899335897;50.1922404753583;6.60608178958406
"040306";6436;1112;3831;515;17.27781230578;59.5245494095712;8.00186451211933
"040307";2963;849;1350;225;28.6533918326021;45.561930475869;7.59365507931151
"040308";4271;1096;2208;295;25.661437602435;51.6974947319129;6.90704752985249
"040401";4791;1378;2426;326;28.7622625756627;50.6366103109998;6.80442496347318
"040402";1188;427;419;112;35.9427609427609;35.2693602693603;9.42760942760943
"040403";1059;405;322;88;38.2436260623229;30.4060434372049;8.30972615675165
"040404";1120;478;266;159;42.6785714285714;23.75;14.1964285714286
"040405";789;329;212;82;41.6983523447402;26.8694550063371;10.3929024081115
"040406";1186;471;363;103;39.7133220910624;30.6070826306914;8.68465430016863
"040407";1589;667;582;109;41.9760855884204;36.626809314034;6.85966016362492
"040501";2769;1074;1036;267;38.7865655471289;37.4142289635247;9.64247020585049
"040502";943;482;206;75;51.1134676564157;21.8451749734889;7.95334040296925
"040503";2060;870;521;315;42.2330097087379;25.2912621359223;15.2912621359223
"040504";2570;961;784;307;37.3929961089494;30.5058365758755;11.9455252918288
"040505";877;470;116;106;53.5917901938426;13.2269099201824;12.0866590649943
"040506";781;372;153;84;47.6312419974392;19.5902688860435;10.7554417413572
"040601";3272;1021;1232;399;31.2041564792176;37.6528117359413;12.1943765281174
"040602";1306;583;327;188;44.6401225114855;25.0382848392037;14.3950995405819
"040603";1544;723;353;192;46.8264248704663;22.8626943005181;12.4352331606218
"040604";913;372;182;168;40.7447973713034;19.934282584885;18.4008762322015
"040605";860;374;211;96;43.4883720930233;24.5348837209302;11.1627906976744
"040606";762;406;95;144;53.2808398950131;12.4671916010499;18.8976377952756
"040701";20124;5248;11114;996;26.0783144504075;55.2275889485192;4.94931425163983
"040702";967;452;282;70;46.7425025853154;29.1623578076525;7.23888314374354
"040703";3265;1121;1338;177;34.333843797856;40.9800918836141;5.42113323124043
"040704";2991;1004;1218;217;33.5673687729856;40.7221664994985;7.255098629221
"040705";3056;1105;1247;242;36.1583769633508;40.8049738219895;7.91884816753927
"040706";4301;1649;1526;536;38.3399209486166;35.4801209021158;12.4622180888166
"040707";2147;774;908;152;36.0503027480205;42.2915696320447;7.07964601769912
"040708";973;435;270;85;44.7070914696814;27.7492291880781;8.73586844809866
"040709";1994;741;764;134;37.1614844533601;38.3149448345035;6.72016048144433
"040801";3246;1052;1284;464;32.4091189155884;39.5563770794824;14.294516327788
"040802";685;287;138;169;41.8978102189781;20.1459854014599;24.6715328467153
"040803";582;273;59;151;46.9072164948454;10.1374570446735;25.9450171821306
"040804";1545;783;240;242;50.6796116504854;15.5339805825243;15.663430420712
"040805";1412;634;265;312;44.9008498583569;18.7677053824363;22.0963172804533
"040806";2226;895;394;588;40.2066486972147;17.6999101527403;26.4150943396226
"040807";1712;652;579;209;38.0841121495327;33.8200934579439;12.2079439252336
"040808";1006;496;142;191;49.3041749502982;14.1153081510934;18.986083499006
"040809";1364;506;282;333;37.0967741935484;20.6744868035191;24.4134897360704
"040901";933;374;272;100;40.085744908896;29.1532690246517;10.7181136120043
"040902";1026;418;218;224;40.7407407407407;21.2475633528265;21.8323586744639
"040903";6057;1983;2348;485;32.7389796929173;38.7650652138022;8.00726432227175
"040904";2589;1026;942;229;39.6292004634994;36.3847045191193;8.84511394360757
"041001";2710;1040;938;200;38.3763837638376;34.6125461254613;7.38007380073801
"041002";1952;767;707;134;39.2930327868852;36.219262295082;6.86475409836066
"041003";8516;2665;4039;568;31.2940347581024;47.4283701268201;6.66979802724284
"041004";1531;638;539;104;41.6721097322012;35.2057478772044;6.79294578706728
"041005";6460;1926;3045;407;29.8142414860681;47.1362229102167;6.30030959752322
"041101";1480;535;626;102;36.1486486486487;42.2972972972973;6.89189189189189
"041102";733;420;150;47;57.2987721691678;20.4638472032742;6.41200545702592
"041103";1016;502;252;99;49.4094488188976;24.8031496062992;9.74409448818898
"041104";1640;772;346;213;47.0731707317073;21.0975609756098;12.9878048780488
"041105";1991;993;500;149;49.8744349573079;25.1130085384229;7.48367654445003
"041106";990;440;235;132;44.4444444444444;23.7373737373737;13.3333333333333
"041107";1157;551;310;122;47.6231633535004;26.7934312878133;10.5445116681072
"041201";4009;1438;1804;322;35.8692940883013;44.9987528061861;8.03192816163632
"041202";1142;521;308;112;45.6217162872154;26.9702276707531;9.80735551663748
"041203";919;462;168;154;50.272034820457;18.2807399347116;16.7573449401523
"041204";1377;581;330;236;42.1931735657226;23.9651416122004;17.1387073347858
"041205";1154;614;208;146;53.2062391681109;18.0242634315425;12.6516464471404
"041206";731;373;133;105;51.0259917920657;18.1942544459644;14.3638850889193
"041301";1509;494;599;97;32.7369118621604;39.6951623591783;6.42809807819748
"041302";3771;1239;1840;181;32.8560063643596;48.7934234950941;4.79978785468046
"041303";1005;447;316;59;44.4776119402985;31.4427860696517;5.87064676616915
"041304";2975;1130;1250;164;37.9831932773109;42.0168067226891;5.51260504201681
"041401";980;443;262;56;45.2040816326531;26.734693877551;5.71428571428571
"041402";1589;504;652;124;31.7180616740088;41.0320956576463;7.80365009439899
"041403";1057;490;324;70;46.3576158940397;30.6527909176916;6.62251655629139
"041404";1592;657;526;126;41.2688442211055;33.0402010050251;7.91457286432161
"041405";900;393;257;92;43.6666666666667;28.5555555555556;10.2222222222222
"041406";1925;656;837;146;34.0779220779221;43.4805194805195;7.58441558441558
"041407";1346;441;523;152;32.7637444279346;38.8558692421991;11.2927191679049
"041408";2398;835;810;246;34.8206839032527;33.7781484570475;10.2585487906589
"041409";8223;2419;4125;524;29.4174875349629;50.1641736592484;6.37237018119908
"041410";920;332;304;80;36.0869565217391;33.0434782608696;8.69565217391304
"041411";1141;463;323;120;40.578439964943;28.3085013146363;10.5170902716915
"041501";3134;1086;1325;168;34.6522016592214;42.2782386726228;5.36056158264199
"041502";2058;873;580;183;42.4198250728863;28.1827016520894;8.89212827988338
"041503";1729;681;632;111;39.3869288606131;36.5529207634471;6.4198958935801
"041504";5934;1747;2719;426;29.4405123019885;45.8206943040108;7.17896865520728
"041505";2086;616;848;194;29.5302013422819;40.6519654841802;9.30009587727709
"041506";3053;808;1436;244;26.4657713724206;47.0357025876187;7.99213887979037
"041507";5462;1624;2445;386;29.7326986451849;44.7638227755401;7.06700842182351
"041508";1709;421;929;94;24.6342890579286;54.3592744294909;5.50029256875366
"041509";4335;1120;2127;295;25.836216839677;49.0657439446367;6.80507497116494
"041601";1668;635;574;172;38.0695443645084;34.4124700239808;10.3117505995204
"041602";1160;471;356;96;40.6034482758621;30.6896551724138;8.27586206896552
"041603";1060;517;249;105;48.7735849056604;23.4905660377358;9.90566037735849
"041604";1410;610;436;151;43.2624113475177;30.9219858156028;10.709219858156
"041605";1664;761;456;188;45.7331730769231;27.4038461538462;11.2980769230769
"041606";5121;1928;2054;419;37.6488966998633;40.1093536418668;8.18199570396407
"041701";3198;788;1384;597;24.6404002501563;43.2770481550969;18.6679174484053
"041702";602;245;83;141;40.6976744186046;13.7873754152824;23.421926910299
"041703";881;357;176;146;40.522133938706;19.9772985244041;16.572077185017
"041704";1077;405;165;324;37.6044568245125;15.3203342618384;30.08356545961
"041705";1709;649;351;342;37.9754242246928;20.5383265067291;20.0117027501463
"041801";920;344;315;82;37.3913043478261;34.2391304347826;8.91304347826087
"041802";800;395;154;87;49.375;19.25;10.875
"041803";751;356;119;126;47.4034620505992;15.8455392809587;16.7776298268975
"041804";2936;975;1009;250;33.208446866485;34.366485013624;8.5149863760218
"041805";1512;676;417;172;44.7089947089947;27.5793650793651;11.3756613756614
"041806";1088;456;243;141;41.9117647058824;22.3345588235294;12.9595588235294
"041807";2368;685;985;297;28.9273648648649;41.5962837837838;12.5422297297297
"041808";1487;837;234;188;56.2878278412912;15.7363819771352;12.6429051782112
"041809";860;393;186;105;45.6976744186046;21.6279069767442;12.2093023255814
"041810";1099;553;243;109;50.3184713375796;22.1110100090992;9.91810737033667
"041811";1321;650;274;107;49.2051476154428;20.7418622255867;8.0999242997729
"041812";2137;968;548;234;45.2971455311184;25.6434253626579;10.9499298081423
"041813";1927;624;664;276;32.381940840685;34.4577062791905;14.3227815256876
"041901";3315;877;1677;239;26.4555052790347;50.5882352941176;7.20965309200603
"041902";1367;563;474;126;41.185076810534;34.6744696415508;9.21726408193124
"041903";2037;835;748;118;40.9916543937162;36.7206676485027;5.79283259695631
"041904";2410;843;1016;146;34.9792531120332;42.1576763485477;6.05809128630705
"041905";1753;689;701;120;39.3040501996577;39.9885909868796;6.84540787221905
"041906";6191;2310;2537;312;37.31222742691;40.9788402519787;5.03957357454369
"046101";106963;27576;56776;6587;25.7808774996962;53.0800370221478;6.15820423884895
"046201";22773;6059;11383;2023;26.6060685899969;49.9846309225838;8.88332674658587
"046301";64534;16402;35297;3211;25.4160597514488;54.695199429758;4.97567173892832
"046401";28262;7833;13160;966;27.7156606043451;46.5642912745029;3.41801712546883
"060101";4836;2546;1079;251;52.6468155500414;22.3118279569892;5.19023986765922
"060102";1672;793;508;77;47.4282296650718;30.3827751196172;4.60526315789474
"060103";4218;2066;1122;240;48.9805595068753;26.6002844950213;5.68990042674253
"060104";1226;701;146;82;57.1778140293638;11.9086460032626;6.6884176182708
"060105";1322;655;336;83;49.5461422087746;25.4160363086233;6.27836611195159
"060106";1018;522;212;86;51.2770137524558;20.8251473477407;8.44793713163065
"060107";1092;630;161;95;57.6923076923077;14.7435897435897;8.6996336996337
"060108";1119;667;173;64;59.6067917783735;15.4602323503128;5.71939231456658
"060109";1415;794;223;108;56.113074204947;15.7597173144876;7.63250883392226
"060110";2850;1774;242;183;62.2456140350877;8.49122807017544;6.42105263157895
"060111";1655;1014;291;85;61.2688821752266;17.583081570997;5.13595166163142
"060112";754;430;111;62;57.0291777188329;14.7214854111406;8.22281167108753
"060113";770;452;101;55;58.7012987012987;13.1168831168831;7.14285714285714
"060114";679;353;147;77;51.9882179675994;21.6494845360825;11.340206185567
"060115";671;325;75;117;48.4351713859911;11.177347242921;17.4366616989568
"060116";1727;969;314;106;56.1088592935727;18.1818181818182;6.13781123335263
"060117";756;453;103;52;59.9206349206349;13.6243386243386;6.87830687830688
"060118";1378;698;228;127;50.6531204644412;16.5457184325109;9.21625544267054
"060119";1005;571;194;88;56.8159203980099;19.3034825870647;8.75621890547264
"060201";8281;3408;2349;1131;41.1544499456587;28.3661393551503;13.6577708006279
"060202";904;570;79;72;63.0530973451327;8.73893805309734;7.9646017699115
"060203";3880;2098;338;643;54.0721649484536;8.71134020618557;16.5721649484536
"060204";1021;614;101;102;60.1371204701273;9.8922624877571;9.99020568070519
"060205";1702;943;204;184;55.4054054054054;11.9858989424207;10.8108108108108
"060206";1141;655;98;73;57.4057843996494;8.58895705521472;6.39789658194566
"060207";1800;888;445;115;49.3333333333333;24.7222222222222;6.38888888888889
"060208";1924;1029;345;127;53.4823284823285;17.9313929313929;6.6008316008316
"060209";1104;645;124;74;58.4239130434783;11.231884057971;6.70289855072464
"060210";1159;702;99;80;60.5694564279551;8.54184641932701;6.90250215703192
"060211";1562;1027;96;112;65.7490396927017;6.14596670934699;7.17029449423816
"060212";2001;1114;331;140;55.672163918041;16.5417291354323;6.99650174912544
"060213";1042;607;134;105;58.2533589251439;12.8598848368522;10.0767754318618
"060214";1941;1197;163;99;61.6692426584235;8.39773312725399;5.10046367851623
"060301";1021;478;333;21;46.8168462291871;32.615083251714;2.05680705190989
"060302";656;350;142;25;53.3536585365854;21.6463414634146;3.8109756097561
"060303";4017;1696;1070;287;42.2205626089121;26.6367936270849;7.14463529997511
"060304";1582;828;325;53;52.338811630847;20.543615676359;3.35018963337547
"060305";578;227;174;48;39.2733564013841;30.1038062283737;8.30449826989619
"060306";1056;475;200;55;44.9810606060606;18.9393939393939;5.20833333333333
"060307";775;379;178;52;48.9032258064516;22.9677419354839;6.70967741935484
"060308";878;496;144;48;56.4920273348519;16.4009111617312;5.46697038724374
"060309";997;473;248;75;47.4423269809428;24.8746238716148;7.52256770310933
"060310";1289;604;320;72;46.8580294802172;24.8254460822343;5.58572536850272
"060311";1472;766;360;55;52.0380434782609;24.4565217391304;3.73641304347826
"060312";1237;690;276;19;55.7801131770412;22.3120452708165;1.535974130962
"060313";913;499;168;30;54.6549835706462;18.4008762322015;3.28587075575027
"060314";786;387;164;20;49.236641221374;20.8651399491094;2.54452926208651
"060315";1362;652;359;39;47.870778267254;26.3582966226138;2.86343612334802
"060401";4748;1914;1650;448;40.3117101937658;34.7514743049705;9.43555181128896
"060402";1059;575;143;143;54.2965061378659;13.5033050047214;13.5033050047214
"060403";1017;512;211;78;50.3441494591937;20.7472959685349;7.66961651917404
"060404";2361;1250;373;222;52.9436679373147;15.7983905124947;9.40279542566709
"060405";1558;806;204;221;51.7329910141207;13.0937098844673;14.1848523748395
"060406";909;513;145;61;56.4356435643564;15.951595159516;6.71067106710671
"060407";1132;664;132;70;58.6572438162544;11.660777385159;6.18374558303887
"060408";2157;1207;333;132;55.9573481687529;15.4381084840056;6.11961057023644
"060501";1128;750;90;29;66.4893617021277;7.97872340425532;2.5709219858156
"060502";1102;805;37;26;73.049001814882;3.35753176043557;2.35934664246824
"060503";2104;1477;82;81;70.1996197718631;3.89733840304183;3.84980988593156
