year;pack;name;age;height;weight;caps;position
1999;england;Martin Johnson;29;198;114;49;Lock
1999;england;Jason Leonard;31;177;109;74;Prop
1999;england;Leon Lloyd;22;193;89;0.00;Wing
1999;england;Dan Luger;24;185;89;11;Wing
1999;england;Neil McCarthy;25;177;102;2;Hooker
1999;england;Matt Perry;22;185;86;21;Fullback
1999;england;Tim Rodber;30;198;105;42;Number-8
1999;england;Graham Rowntree;28;182;110;24;Prop
1999;england;Victor Ubogu;35;175;108;24;Prop
1999;england;Phill Vickery;23;190;125;8;Prop
1999;england;Jonny Wilkinson;20;177;80;11;Flyhalf
1999;england;Joe Worsley;22;195;108;0;Flanker
1999;england;Martyn Wood;22;175;83;0.00;Scrumhalf
1999;fiji;Manasa Bari;25;182;90;10;Wing
1999;fiji;Alifereti Doviverata;23;190;100;1;Flanker
1999;fiji;Emori Katalau;32;195;90;17;Lock
1999;fiji;Fero Lasagavibau;23;175;76;12;Wing
1999;fiji;Lawrence Little;32;185;91;19;Centre
1999;fiji;Nicky Little;23;182;93;1;Flyhalf
1999;fiji;Inoke Male;34;185;105;5;Number-8
1999;fiji;Tabai Matson;26;191;105;1;Centre
1999;fiji;Alivereti Mocelau Vuibau;28;190;109;16;Number-8
1999;fiji;Apisai Naevo;26;195;105;13;Flanker
1999;fiji;Epeli Naituivau;37;187;114;9;Prop
1999;fiji;Meli Nakauta;30;185;93;7;Centre
1999;fiji;Niko Qoro;30;185;114;8;Prop
1999;fiji;Simon Raiwalui;25;198;114;15;Lock
1999;fiji;Isaia Rasila;30;180;90;17;Hooker
1999;fiji;Jacob Rauluni;27;177;88;17;Scrumhalf
1999;fiji;Mosese Rauluni;24;177;87;5;Scrumhalf
1999;fiji;Dan Rouse;27;190;112;17;Prop
1999;fiji;Viliame Satala;27;187;90;6;Fullback
1999;fiji;Waisale Serevi;31;175;80;16;Fullback
1999;fiji;Koli Sewabu;24;195;103;5;Number-8
1999;fiji;Greg Smith;25;190;102;15;Hooker
1999;fiji;Waisake Sotutu;29;182;96;5;Centre
1999;fiji;Ilivasi Tamanivalu Tabua;35;195;105;12;Flanker
1999;fiji;Ifereimi Tawake;37;198;100;39;Lock
1999;fiji;Setereki Tawake;30;190;93;6;Flanker
1999;fiji;Imanueli Tikomaimakogai;25;190;93;6;Wing
1999;fiji;Alfred Uluinayau;27;177;95;14;Centre
1999;fiji;Joeli Veitayaki;32;185;130;20;Prop
1999;fiji;Marika Vunibaka;25;193;95;3;Wing
1999;france;David Auradou;26;200;101;6;Lock
1999;france;Abdelatif Benazzi;31;198;110;66;Flanker
1999;france;Philippe Bernat-Salle;29;180;76;28;Wing
1999;france;Olivier Brouzet;27;203;120;35;Lock
1999;france;Christian Califano;27;180;105;49;Prop
1999;france;Stephane Castaignede;30;172;73;3;Scrumhalf
1999;france;Thomas Castaignede;24;175;78;31;Centre
1999;france;Arnaud Costes;26;185;100;8;Flanker
1999;france;Marc Dal Maso;32;180;100;25;Hooker
1999;france;Pieter de Villiers;27;185;105;1;Prop
1999;france;Cedric Desbrosse;28;190;95;1;Centre
1999;france;Christophe Dominici;27;172;77;10;Wing
1999;france;Richard Dourthe;25;185;92;18;Centre
1999;france;Xavier Garbajosa;23;185;80;12;Wing
1999;france;Stephane Glas;26;177;78;29;Centre
1999;france;Raphael Ibanez;26;177;96;26;Hooker
1999;france;Christophe Juillet;30;190;110;7;Number-8
1999;france;Christophe Lamaison;28;180;85;25;Centre
1999;france;Marc Lievremont;31;182;90;209;Flanker
1999;france;Thomas Lievremont;26;187;105;16;Number-8
1999;france;Olivier Magne;26;187;85;25;Flanker
1999;france;Lionel Mallier;25;185;98;2;Number-8
1999;france;Jimmy Marlu;22;180;78;1;Wing
1999;france;Pierre Mignoni;22;170;75;8;Scrumhalf
1999;france;Ugo Mola;26;180;78;8;Fullback
1999;france;Emile Ntamack;29;187;92;37;Wing
1999;france;Fabien Pelous;26;198;108;45;Lock
1999;france;Olivier Sarramea;24;193;102;4;Wing
1999;france;Cedric Soulette;27;187;108;9;Prop
1999;france;Franck Tournaire;27;180;103;39;Prop
1999;ireland;Jonathan Bell;25;180;95;30;Centre
1999;ireland;Justin Bishop;25;182;83;14;Wing
1999;ireland;Trevor Brennan;26;195;103;8;Flanker
1999;ireland;Rob Casey;21;201;117;0;Lock
1999;ireland;Peter Clohessy;33;180;105;32;Prop
1999;ireland;David Corkery;27;193;103;27;Flanker
1999;ireland;Reg Corrigan;29;187;114;9;Prop
1999;ireland;Jeremy Davidson;25;198;109;24;Lock
1999;ireland;Kieron Dawson;24;185;98;3;Flanker
1999;ireland;Girvan Dempsey;24;187;89;7;Fullback
1999;ireland;Eric Elwood;30;182;85;33;Flyhalf
1999;ireland;Justin Fitzpatrick;26;185;114;11;Prop
1999;ireland;David Humphreys;28;177;78;19;Flyhalf
1999;ireland;Paddy Johns;31;198;106;55;Lock
1999;ireland;Kevin Maggs;25;180;89;21;Centre
1999;ireland;Mike Mallins;29;178;93;1;Centre
1999;ireland;Angus Mckeen;30;180;106;0;Prop
1999;ireland;Eric Miller;24;190;101;16;Number-8
1999;ireland;Matt Mostyn;25;187;92;3;Wing
1999;ireland;Ross Nesdale;31;177;103;12;Hooker
1999;ireland;Dion O'Cuinneagain;27;193;102;14;Number-8
1999;ireland;Brian O'Driscoll;20;177;83;4;Centre
1999;ireland;Malcolm O'Kelly;25;200;103;16;Lock
1999;ireland;Brian O'Meara;23;175;76;5;Scrumhalf
1999;ireland;Conor O'Shea;29;187;95;31;Fullback
1999;ireland;Tom Tierney;23;182;89;4;Scrumhalf
1999;ireland;James Topping;25;180;89;5;Wing
1999;ireland;Paul Wallace;28;185;102;31;Prop
1999;ireland;Andy Ward;29;190;100;16;Flanker
1999;ireland;Keith Wood;27;182;100;28;Hooker
1999;italy;Orazio Arancio;32;190;103;34;Flanker
1999;italy;Mauro Bergamasco;20;185;79;4;Flanker
1999;italy;Carlo Caione;26;187;95;16;Number-8
1999;italy;Sandro Ceppolino;25;184;89;3;Centre
1999;italy;Andrea Castellani;27;190;110;18;Prop
1999;italy;Carlo Checchinato;29;198;110;50;Number-8
1999;italy;Walter Cristofoletto;35;190;102;27;Lock
1999;italy;Giampiero De Carli;29;182;103;15;Prop
1999;italy;Diego Dominguez;33;172;76;54;Flyhalf
1999;italy;Mark Giacheri;30;203;113;33;Flanker
1999;italy;Massimo Giovanelli;32;185;103;58;Flanker
1999;italy;Luca Martin;26;185;83;18;Centre
1999;italy;Francesco Mazzariol;24;172;76;16;Wing
1999;italy;Giampiero Mazzi;25;172;75;5;Scrumhalf
1999;italy;Nicola Mazzucato;24;189;86;5;Number-8
1999;italy;Andrea Moretti;27;177;94;3;Hooker
1999;italy;Alesandro Moscardi;30;193;100;17;Hooker
1999;italy;Frederico Pucciariello;24;193;100;17;Prop
1999;italy;Matt Pini;30;182;94;6;Fullback
1999;italy;Franco Properzi-Curti;34;187;114;50;Prop
1999;italy;Fabio Roselli;28;175;75;18;Wing
1999;italy;Stefano Saviozzi;24;185;87;11;Hooker
1999;italy;Cristian Stoica;23;187;98;19;Centre
1999;italy;Laurent Travini;27;193;106;3;Lock
1999;italy;Alessandro Troncon;26;177;83;45;Scrumhalf
1999;italy;Paolo Vaccari;28;185;89;53;Wing
1999;italy;Nicholas Zisti;27;189;99;1;Centre
1999;japan;Graeme Bachop;32;175;90;4;Scrumhalf
1999;japan;Robert Gordon;34;193;105;11;Number-8
1999;japan;Shin Hasegawa;27;180;100;13;Prop
1999;japan;Takafumi Hirao;24;182;82;2;Fullback
1999;japan;Keiji Hirose;26;167;69;21;Flyhalf
1999;japan;Ryuji Ishi;29;182;89;1;Flanker
1999;japan;Takeomi Ito;28;185;90;25;Flanker
1999;japan;Kensuke Iwabuchi;24;177;78.5;12;Scrumhalf
1999;japan;Jamie Joseph;30;198;110;5;Flanker
1999;japan;Atsushi Koga;24;173;85;0.00;Centre
1999;japan;Hajime Kiso;21;195;96;0.00;Flanker
1999;japan;Masahiro Kunda;33;177;97;42;Hooker
1999;japan;Ryohei Miki;21;185;83;1;Wing
1999;japan;Terunori Masuho;27;177;87.5;37;Wing
1999;japan;Tsutomu Matsuda;29;180;77.5;33;Fullback
1999;japan;Andrew McCormick;32;185;92.5;21;Centre
1999;japan;Yukio Motoki;28;177;92;45;Centre
1999;japan;Wataru Murata;31;172;73;24;Scrumhalf
1999;japan;Toshikazu Nakamichi;28;175;105;8;Prop
1999;japan;Naoto Nakamura;30;177;100;13;Prop
1999;japan;Kohei Oguchi;31;180;107;4;Prop
1999;japan;Daisuke Ohata;24;175;80;14;Wing
1999;japan;Naoya Okubo;24;187;98;4;Lock
1999;japan;Masaaki Sakata;27;180;97;15;Hooker
1999;japan;Yoshihiko Sakuraba;33;190;103;41;Lock
1999;japan;Greg Smith;31;187;105;13;Flanker
1999;japan;Hiroyuki Tanuma;26;190;87;21;Lock
1999;japan;Patiliai Tuidraki;30;180;77;11;Wing
1999;japan;Yasunori Watanabe;25;190;98;12;Flanker
1999;japan;Akira Yoshida;28;180;81;6;Centre
1999;namibia;Andries Blaauw;29;174;115;12;Prop
1999;namibia;Sybrand De Beer;24;186;108;8;Flanker
1999;namibia;Dirk Farmer;25;187;89;14;Wing
1999;namibia;Frans Fisch;29;187;100;0.00;Hooker
1999;namibia;Sean Furter;22;190;95;3;Number-8
1999;namibia;Lukas Holzhausen;26;178;87;9;Centre
1999;namibia;Hugo Horn;22;181;105;8;Hooker
1999;namibia;Quinn Hough;27;186;100;14;Number-8
1999;namibia;Eben Izaacs;29;191;105;6;Lock
1999;namibia;Mario Jacobs;27;186;103;3;Prop
1999;namibia;Riaan Jantjies;34;158;64;14;Scrumhalf
1999;namibia;Herman Lintvelt;23;193;100;4;Flanker
1999;namibia;Cliff Loubser;26;180;87;2;Centre
