imnz;rokur;wiek;klub;miejsce;okreg;glosy;plec
Roman Jacek Kosecki;1966-02-15;49;PO;NA;19 Warszawa;3258;M
Władysław Kosiniak-Kamysz;1981-08-10;34;PSL;NA;15 Tarnów;12171;M
Wojciech Kossakowski;1977-04-23;38;PiS;NA;35 Olsztyn;8183;M
Tomasz Kostuś;1974-03-07;41;PO;NA;21 Opole;11016;M
Andrzej Kosztowniak;1976-03-31;39;PiS;NA;17 Radom;23521;M
Kazimierz Kotowski;1951-02-22;64;PSL;NA;33 Kielce;6851;M
Henryk Kowalczyk;1956-07-15;59;PiS;NA;18 Siedlce;22850;M
Bartosz Kownacki;1979-08-11;36;PiS;NA;4 Bydgoszcz;9044;M
Ewa Kozanecka;1974-05-29;41;PiS;NA;4 Bydgoszcz;6851;F
Jerzy Kozłowski;1962-02-12;53;KUKIZ;NA;36 Kalisz;10587;M
Maks Kraczkowski;1979-03-09;36;PiS;NA;38 Piła;20503;M
Jarosław Krajewski;1983-03-09;32;PiS;NA;19 Warszawa;4753;M
Wiesław Krajewski;1964-06-03;51;PiS;NA;15 Tarnów;13060;M
Leonard Krasulski;1950-11-08;65;PiS;NA;34 Elbląg;10194;M
Robert Kropiwnicki;1974-07-23;41;PO;NA;1 Legnica;8439;M
Piotr Król;1974-06-26;41;PiS;NA;4 Bydgoszcz;10773;M
Wojciech Król;1985-04-22;30;PO;NA;31 Katowice;7465;M
Elżbieta Kruk;1959-11-19;56;PiS;NA;6 Lublin;43432;F
Anna Krupka;1981-10-30;34;PiS;NA;33 Kielce;27568;F
Andrzej Kryj;1960-06-09;55;PiS;NA;33 Kielce;4779;M
Bernadeta Krynicka;1970-04-16;45;PiS;NA;24 Białystok;7624;F
Marek Krząkała;1967-10-22;48;PO;NA;30 Rybnik;15404;M
Henryka Krzywonos-Strycharska;1953-03-27;62;PO;NA;26 Gdynia;24333;F
Dariusz Kubiak;1971-04-15;44;PiS;NA;10 Piotrków Trybunalski;8004;M
Krzysztof Kubów;1984-07-22;31;PiS;NA;1 Legnica;14551;M
Tomasz Kucharski;1974-02-16;41;PO;NA;8 Zielona Góra;7105;M
Marek Kuchciński;1955-08-09;60;PiS;NA;22 Krosno;34558;M
Paweł Kukiz;1963-06-24;52;KUKIZ;NA;19 Warszawa;76675;M
Jakub Kulesza;1990-11-12;25;KUKIZ;NA;6 Lublin;15058;M
Józef Kurek;1953-04-25;62;PiS;NA;16 Płock;7848;M
Jacek Kurzępa;1961-10-05;54;PiS;NA;8 Zielona Góra;5486;M
Anna Kwiecień;1964-09-30;51;PiS;NA;17 Radom;7458;F
Marek Kwitek;1961-04-28;54;PiS;NA;33 Kielce;5636;M
Stanisław Lamczyk;1957-08-12;58;PO;NA;26 Gdynia;8981;M
Józef Lassota;1943-10-24;72;PO;NA;13 Kraków;8285;M
Tomasz Latos;1964-03-08;51;PiS;NA;4 Bydgoszcz;40288;M
Bogdan Latosiński;1964-11-28;51;PiS;NA;33 Kielce;5369;M
Gabriela Lenartowicz;1960-12-12;55;PO;NA;30 Rybnik;17823;F
Tomasz Lenz;1968-12-08;47;PO;NA;5 Toruń;21323;M
Izabela Leszczyna;1962-09-03;53;PO;NA;28 Częstochowa;19160;F
Józef Leśniak;1968-03-06;47;PiS;NA;14 Nowy Sącz;16167;M
Joanna Lichocka;1969-11-21;46;PiS;NA;36 Kalisz;24122;F
Ewa Lieder;1968-01-15;47;PETRU;NA;25 Gdańsk;23220;F
Krzysztof Lipiec;1959-10-11;56;PiS;NA;33 Kielce;16450;M
Adam Lipiński;1956-09-11;59;PiS;NA;1 Legnica;26199;M
Piotr Liroy-Marzec;1971-07-12;44;KUKIZ;NA;33 Kielce;22614;M
Paweł Lisiecki;1978-08-15;37;PiS;NA;19 Warszawa;6865;M
Radosław Lubczyk;1978-07-18;37;PETRU;NA;40 Koszalin;6236;M
Katarzyna Lubnauer;1969-07-24;46;PETRU;NA;9 Łódź;18549;F
Krzysztof Łapiński;1978-06-26;37;PiS;NA;38 Piła;8114;M
Tomasz Ławniczak;1961-08-03;54;PiS;NA;36 Kalisz;8669;M
Jan Łopata;1954-08-16;61;PSL;NA;6 Lublin;7750;M
Marzena Machałek;1960-08-29;55;PiS;NA;1 Legnica;14608;F
Andrzej Maciejewski;1969-10-24;46;KUKIZ;NA;35 Olsztyn;7899;M
Krzysztof Maciejewski;1953-04-17;62;PiS;NA;10 Piotrków Trybunalski;6818;M
Antoni Macierewicz;1948-08-03;67;PiS;NA;10 Piotrków Trybunalski;33960;M
Ewa Malik;1961-01-11;54;PiS;NA;32 Sosnowiec;28909;F
Mirosław Maliszewski;1968-02-28;47;PSL;NA;17 Radom;7959;M
Beata Małecka-Libera;1954-05-17;61;PO;NA;32 Sosnowiec;23429;F
Jerzy Małecki;1972-04-23;43;PiS;NA;35 Olsztyn;5513;M
Maciej Małecki;1974-10-09;41;PiS;NA;16 Płock;18671;M
Arkadiusz Marchewka;1986-01-18;29;PO;NA;41 Szczecin;7147;M
Gabriela Masłowska;1950-06-27;65;PiS;NA;6 Lublin;23287;F
Maciej Masłowski;1984-07-21;31;KUKIZ;NA;23 Rzeszów;15303;M
Jerzy Materna;1956-03-25;59;PiS;NA;8 Zielona Góra;15089;M
Beata Mateusiak-Pielucha;1963-04-23;52;PiS;NA;11 Sieradz;12059;F
Grzegorz Matusiak;1961-02-24;54;PiS;NA;30 Rybnik;17227;M
Andrzej Matusiewicz;1952-06-22;63;PiS;NA;22 Krosno;9970;M
Marek Matuszewski;1959-08-14;56;PiS;NA;11 Sieradz;13880;M
Kazimierz Matuszny;1960-03-04;55;PiS;NA;27 Bielsko-Biała;9345;M
Beata Mazurek;1967-10-19;48;PiS;NA;7 Chełm;30365;F
Jerzy Meysztowicz;1958-10-01;57;PETRU;NA;13 Kraków;26164;M
Antoni Mężydło;1954-08-23;61;PO;NA;5 Toruń;9285;M
Mieczysław Miazga;1956-12-22;59;PiS;NA;23 Rzeszów;11327;M
Iwona Michałek;1956-03-13;59;PiS;NA;5 Toruń;7485;F
Krzysztof Michałkiewicz;1953-09-26;62;PiS;NA;6 Lublin;15806;M
Krzysztof Mieszkowski;1956-05-19;59;PETRU;NA;3 Wrocław;24525;M
Anna Milczanowska;1958-07-18;57;PiS;NA;10 Piotrków Trybunalski;11562;F
Daniel Milewski;1989-11-22;26;PiS;NA;18 Siedlce;13302;M
Rajmund Miller;1954-07-16;61;PO;NA;21 Opole;8565;M
Piotr Misiło;1974-06-11;41;PETRU;NA;41 Szczecin;13871;M
Aldona Młyńczak;1958-05-25;57;PO;NA;3 Wrocław;5189;F
Kornel Morawiecki;1941-05-03;74;KUKIZ;NA;3 Wrocław;26101;M
Robert Mordak;1964-05-23;51;KUKIZ;NA;17 Radom;7781;M
Jan Mosiński;1956-12-19;59;PiS;NA;36 Kalisz;7247;M
Kazimierz Moskal;1962-02-02;53;PiS;NA;23 Rzeszów;24128;M
Andżelika Możdżanowska;1975-03-20;40;PSL;NA;36 Kalisz;18776;F
Czesław Mroczek;1964-07-20;51;PO;NA;18 Siedlce;11901;M
Aleksander Mrówczyński;1953-12-09;62;PiS;NA;26 Gdynia;5835;M
Izabela Katarzyna Mrzygłocka;1959-05-20;56;PO;NA;2 Wałbrzych;8659;F
Joanna Mucha;1976-04-12;39;PO;NA;6 Lublin;43459;F
Arkadiusz Mularczyk;1971-02-04;44;PiS;NA;14 Nowy Sącz;36903;M
Killion Munyama;1961-07-10;54;PO;NA;38 Piła;6259;M
Wojciech Murdzek;1957-12-13;58;PiS;NA;2 Wałbrzych;5758;M
Arkadiusz Myrcha;1984-02-01;31;PO;NA;5 Toruń;13400;M
Piotr Naimski;1951-02-02;64;PiS;NA;14 Nowy Sącz;20408;M
Anna Nemś;1964-03-19;51;PO;NA;32 Sosnowiec;15875;F
Sławomir Neumann;1968-04-30;47;PO;NA;25 Gdańsk;20514;M
Dorota Niedziela;1964-08-20;51;PO;NA;12 Chrzanów;7967;F
Małgorzata Niemczyk;1969-10-25;46;PO;NA;9 Łódź;17741;F
Stefan Niesiołowski;1944-02-04;71;PO;NA;8 Zielona Góra;29304;M
Sławomir Nitras;1973-04-26;42;PO;NA;41 Szczecin;20930;M
Tomasz Piotr Nowak;1956-12-22;59;PO;NA;37 Konin;11820;M
Mirosława Nykiel;1953-09-23;62;PO;NA;27 Bielsko-Biała;26927;F
Włodzimierz Nykiel;1951-12-23;64;PO;NA;9 Łódź;21708;M
Norbert Obrycki;1972-11-22;43;PO;NA;41 Szczecin;16617;M
Marzena Okła-Drewnowicz;1972-05-20;43;PO;NA;33 Kielce;13019;F
Paweł Olszewski;1979-12-11;36;PO;NA;4 Bydgoszcz;14438;M
Piotr Olszówka;1981-06-16;34;PiS;NA;7 Chełm;8174;M
Adam Ołdakowski;1955-12-25;60;PiS;NA;34 Elbląg;4983;M
Marek Opioła;1976-09-24;39;PiS;NA;16 Płock;14708;M
Katarzyna Osos;1980-11-17;35;PO;NA;8 Zielona Góra;5749;F
Krzysztof Ostrowski;1961-01-04;54;PiS;NA;37 Konin;9443;M
Jacek Osuch;1958-08-28;57;PiS;NA;13 Kraków;10219;M
Anna Paluch;1960-03-31;55;PiS;NA;14 Nowy Sącz;15049;F
Mirosław Pampuch;1967-03-19;48;PETRU;NA;35 Olsztyn;7787;M
Paweł Papke;1977-02-13;38;PO;NA;35 Olsztyn;17376;M
Błażej Parda;1986-12-26;29;KUKIZ;NA;38 Piła;10408;M
Urszula Pasławska;1977-01-28;38;PSL;NA;35 Olsztyn;6354;F
Krzysztof Paszyk;1979-04-10;36;PSL;NA;38 Piła;3345;M
Jerzy Paul;1972-11-08;43;PiS;NA;23 Rzeszów;12540;M
Krystyna Pawłowicz;1952-04-14;63;PiS;NA;18 Siedlce;18070;F
Zbigniew Pawłowicz;1943-09-22;72;PO;NA;4 Bydgoszcz;32552;M
Ryszard Petru;1972-07-06;43;PETRU;NA;19 Warszawa;129088;M
Małgorzata Pępek;1961-06-10;54;PO;NA;27 Bielsko-Biała;11733;F
Sławomir Jan Piechota;1960-01-01;55;PO;NA;3 Wrocław;5959;M
Danuta Pietraszewska;1947-05-08;68;PO;NA;31 Katowice;11222;F
Stanisław Pięta;1971-05-09;44;PiS;NA;27 Bielsko-Biała;18907;M
Dariusz Piontkowski;1964-12-17;51;PiS;NA;24 Białystok;28378;M
Stanisław Piotrowicz;1952-07-19;63;PiS;NA;22 Krosno;15747;M
Teresa Piotrowska;1955-02-05;60;PO;NA;4 Bydgoszcz;18678;F
Kazimierz Plocke;1958-05-03;57;PO;NA;26 Gdynia;11060;M
Jerzy Polaczek;1961-08-24;54;PiS;NA;31 Katowice;18429;M
Marek Polak;1963-11-19;52;PiS;NA;12 Chrzanów;3345;M
Piotr Polak;1961-01-20;54;PiS;NA;11 Sieradz;16637;M
Agnieszka Pomaska;1980-01-08;35;PO;NA;25 Gdańsk;22196;F
Jarosław Porwich;1966-08-17;49;KUKIZ;NA;8 Zielona Góra;10777;M
Marcin Porzucek;1984-07-20;31;PiS;NA;38 Piła;6690;M
