kadencja;posel;data.ur;wiek;klub;miejsce.ur;okreg;glosy;plec
2001;Alicja Olechowska;1956-02-10;45;Klub Parlamentarny Platforma Obywatelska;Grodzisk Mazowiecki;20 Warszawa;7429;F
2001;Zbigniew Musiał;1954-05-03;47;Koło Poselskie Stronnictwa Gospodarczego;Radomsko;10 Piotrków Trybunalski;10444;M
2001;Zbigniew Wassermann;1949-09-17;52;Klub Parlamentarny Prawo i Sprawiedliwość;Kraków;13 Kraków;9578;M
2001;Hanna Gucwińska;1932-04-25;69;Koło Parlamentarne Unii Pracy;Warszawa;3 Wrocław;28847;F
2001;Edmund Stachowicz;1948-02-28;53;Klub Parlamentarny Sojuszu Lewicy Demokratycznej;Tczew;25 Gdańsk;7600;M
2001;Leszek Sułek;1947-01-17;54;Klub Parlamentarny Samoobrona Rzeczypospolitej Polskiej;Grudziądz;5 Toruń;10634;M
2001;Joanna Grobel-Proszowska;1949-11-8;52;Klub Parlamentarny Sojuszu Lewicy Demokratycznej;Szczecin;23 Rzeszów;6009;F
2001;Kazimierz Plocke;1958-05-03;43;Klub Parlamentarny Platforma Obywatelska;Domatowo;26 Gdynia;4876;M
2001;Krystyna Herman;1951-12-16;50;Klub Parlamentarny Sojuszu Lewicy Demokratycznej;Nowa Ruda;2 Wałbrzych;7658;F
2001;Jolanta Szczypińska;1957-06-24;44;Klub Parlamentarny Prawo i Sprawiedliwość;Słupsk;26 Gdynia;3501;F
2001;Krystyna Skowrońska;1954-07-22;47;Klub Parlamentarny Platforma Obywatelska;Mielec;23 Rzeszów;3894;F
2001;Ewa Maria Janik;1948-12-19;53;Klub Parlamentarny Sojuszu Lewicy Demokratycznej;Częstochowa;28 Częstochowa;33011;F
2001;Krzysztof Jurgiel;1953-11-18;48;Klub Parlamentarny Prawo i Sprawiedliwość;Ogrodniki;24 Białystok;14355;M
2001;Stanisław Gudzowski;1954-01-03;47;Klub Parlamentarny Liga Polskich Rodzin;Żagań;8 Zielona Góra;6197;M
2001;Marcin Libicki;1939-02-02;62;Klub Parlamentarny Prawo i Sprawiedliwość;Poznań;39 Poznań;23300;M
2001;Jan Rzymełka;1952-06-7;49;Klub Parlamentarny Platforma Obywatelska;Katowice;31 Katowice;8242;M
2001;Michał Turkiewicz;1956-11-25;45;Klub Parlamentarny Sojuszu Lewicy Demokratycznej;Sulików;1 Legnica;6130;M
2001;Barbara Hyla-Makowska;1946-03-30;55;Klub Parlamentarny Sojuszu Lewicy Demokratycznej;Przasnysz;4 Bydgoszcz;6578;F
2001;Andrzej Jagiełło;1944-09-01;57;Koło Poselskie Stronnictwa Gospodarczego;Krynki;33 Kielce;7579;M
2001;Jan Byra;1958-05-27;43;Klub Parlamentarny Socjaldemokracji Polskiej;Józefów;7 Chełm;15119;M
2001;Paweł Poncyljusz;1969-05-18;32;Klub Parlamentarny Prawo i Sprawiedliwość;Warszawa;19 Warszawa;1138;M
2001;Stanisława Prządka;1943-05-06;58;Klub Parlamentarny Sojuszu Lewicy Demokratycznej;Karczmiska;18 Siedlce;4017;F
2001;Małgorzata Rohde;1962-10-07;39;Koło Poselskie Konserwatywno-Ludowe;Drawsko Pomorskie;40 Koszalin;7412;F
2001;Mieczysław Kasprzak;1953-03-30;48;Klub Parlamentarny Polskiego Stronnictwa Ludowego;Jarosław;22 Krosno;5331;M
2001;Danuta Grabowska;1942-07-16;59;Klub Parlamentarny Sojuszu Lewicy Demokratycznej;Radom;17 Radom;12673;F
2001;Janusz Lewandowski;1951-06-13;50;Klub Poselski Platformy Obywatelskiej;Lublin;25 Gdańsk;4907;M
2001;Andrzej Wojtyła;1955-05-01;46;Koło Poselskie Konserwatywno-Ludowe;Kalisz;36 Kalisz;11757;M
2001;Gabriela Masłowska;1950-06-27;51;Klub Parlamentarny Liga Polskich Rodzin;Batorz;6 Lublin;12243;F
2001;Maciej Płażyński;1958-02-10;43;Poseł niezrzeszony;Młynary;25 Gdańsk;66290;M
2001;Czesław Cieślak;1946-07-08;55;Klub Parlamentarny Polskiego Stronnictwa Ludowego;Nagórki;37 Konin;4949;M
2001;Waldemar Borczyk;1960-02-15;41;Poseł niezrzeszony;Kije;11 Sieradz;8924;M
2001;Jan Sztwiertnia;1942-08-21;59;Klub Parlamentarny Socjaldemokracji Polskiej;Cisownica;27 Bielsko-Biała;10162;M
2001;Michał Stuligrosz;1950-09-17;51;Klub Parlamentarny Platforma Obywatelska;Poznań;39 Poznań;7006;M
2001;Izabela Jaruga-Nowacka;1950-08-23;51;Poseł niezrzeszony;Gdańsk;26 Gdynia;23666;F
2001;Stanisław Żmijan;1956-12-13;45;Klub Parlamentarny Platforma Obywatelska;Tarnogród;7 Chełm;4382;M
2001;Agnieszka Pasternak;1972-01-26;29;Klub Parlamentarny Socjaldemokracji Polskiej;Dąbrowa Górnicza;32 Sosnowiec;20316;F
2001;Maria Potępa;1948-03-25;53;Klub Parlamentarny Socjaldemokracji Polskiej;Dąbrowa Górnicza;32 Sosnowiec;7790;F
2001;Adam Sosnowski;1947-06-07;54;Klub Parlamentarny Sojuszu Lewicy Demokratycznej;Cisownik;33 Kielce;6824;M
2001;Piotr Smolana;1958-03-20;43;Koło Poselskie "Dom Ojczysty";Bielsko-Biała;27 Bielsko-Biała;7021;M
2001;Marek Kuchciński;1955-08-09;46;Klub Parlamentarny Prawo i Sprawiedliwość;Przemyśl;22 Krosno;4741;M
2001;Stanisław Szyszkowski;1963-05-04;38;Koło Poselskie "Dom Ojczysty";Krajno;33 Kielce;5492;M
2001;Marek Suski;1958-06-11;43;Klub Parlamentarny Prawo i Sprawiedliwość;Grójec;17 Radom;3552;M
2001;Ewa Sowińska;1944-03-5;57;Klub Parlamentarny Liga Polskich Rodzin;Bydgoszcz;9 Łódź;4035;F
2001;Edward Maniura;1960-02-24;41;Klub Parlamentarny Platforma Obywatelska;Lubsza;28 Częstochowa;8744;M
2001;Stanisław Janas;1953-11-15;48;Klub Parlamentarny Socjaldemokracji Polskiej;Mielec;23 Rzeszów;10087;M
2001;Antoni Kobielusz;1947-06-22;54;Klub Parlamentarny Socjaldemokracji Polskiej;Wechowice;27 Bielsko-Biała;19462;M
2001;Marian Janicki;1954-05-24;47;Koło Parlamentarne Unii Pracy;Odolanów;36 Kalisz;8172;M
2001;Dorota Kwaśniewska;1970-02-08;31;Klub Parlamentarny Polskiego Stronnictwa Ludowego;Głowaczów;10 Piotrków Trybunalski;4432;F
2001;Ryszard Ulicki;1943-07-20;58;Klub Parlamentarny Sojuszu Lewicy Demokratycznej;Łódź;40 Koszalin;29117;M
2001;Ludwik Dorn;1954-06-05;47;Klub Parlamentarny Prawo i Sprawiedliwość;Warszawa;20 Warszawa;17482;M
2001;Andrzej Liss;1950-06-9;51;Klub Parlamentarny Prawo i Sprawiedliwość;Pelplin;25 Gdańsk;530;M
2001;Tadeusz Szukała;1948-08-09;53;Klub Parlamentarny Samoobrona Rzeczypospolitej Polskiej;Dębica;14 Nowy Sącz;4884;M
2001;Maciej Giertych;1936-03-24;65;Klub Parlamentarny Liga Polskich Rodzin;Warszawa;39 Poznań;10119;M
2001;Anna Górna-Kubacka;1945-03-14;56;Klub Parlamentarny Sojuszu Lewicy Demokratycznej;Tarnobrzeg;39 Poznań;1921;F
2001;Szymon Giżyński;1956-03-08;45;Klub Parlamentarny Prawo i Sprawiedliwość;Częstochowa;28 Częstochowa;6878;M
2001;Stanisław Jarmoliński;1944-07-11;57;Poseł niezrzeszony;Ropczyce;14 Nowy Sącz;3062;M
2001;Zdzisław Jankowski;1943-02-18;58;Klub Parlamentarny Samoobrona Rzeczypospolitej Polskiej;Rychwał;37 Konin;7446;M
2001;Andrzej Markowiak;1951-03-27;50;Klub Parlamentarny Platforma Obywatelska;Namysłów;30 Rybnik;5530;M
2001;Witold Tomczak;1957-04-05;44;Klub Parlamentarny Liga Polskich Rodzin;Kępno;36 Kalisz;15861;M
2001;Zbigniew Jacyna-Onyszkiewicz;1944-08-10;57;Klub Parlamentarny Liga Polskich Rodzin;Kraków;39 Poznań;5565;M
2001;Krzysztof Rutkowski;1960-04-06;41;Koło Poselskie Stronnictwa Gospodarczego;Teresin k/Sochaczewa;9 Łódź;13946;M
2001;Marian Kwiatkowski;1946-10-30;55;Koło Poselskie Ruch Patriotyczny;Wola Kątecka;7 Chełm;10691;M
2001;Piotr Gadzinowski;1957-05-16;44;Klub Parlamentarny Sojuszu Lewicy Demokratycznej;Częstochowa;19 Warszawa;10731;M
2001;Jacek Falfus;1951-02-01;50;Klub Parlamentarny Prawo i Sprawiedliwość;Siemianowice Śl.;27 Bielsko-Biała;8483;M
2001;Maria Dziuba;1945-01-2;56;Klub Parlamentarny Polskiego Stronnictwa Ludowego;Goszczyn;17 Radom;3301;F
2001;Kazimierz Marcinkiewicz;1959-12-20;42;Klub Parlamentarny Prawo i Sprawiedliwość;Gorzów Wlkp;8 Zielona Góra;8367;M
2001;Andrzej Aumiller;1947-06-25;54;Koło Parlamentarne Unii Pracy;Trzcianka;39 Poznań;6424;M
2001;Krzysztof Oksiuta;1961-01-29;40;Koło Poselskie Konserwatywno-Ludowe;Biała Podlaska;20 Warszawa;13148;M
2001;Jan Rokita;1959-06-18;42;Klub Parlamentarny Platforma Obywatelska;Kraków;13 Kraków;20251;M
2001;Izabella Sierakowska;1946-09-22;55;Klub Parlamentarny Socjaldemokracji Polskiej;Góra Śląska;6 Lublin;65878;F
2001;Łukasz Abgarowicz;1949-10-18;52;Klub Parlamentarny Platforma Obywatelska;Bydgoszcz;16 Płock;4088;M
2001;Józef Głowa;1953-02-20;48;Poseł niezrzeszony;Dukla;22 Krosno;3733;M
2001;Jerzy Pękała;1958-11-22;43;Koło Poselskie Stronnictwa Gospodarczego;Wieczfnia;16 Płock;8212;M
2001;Stanisław Kalemba;1947-10-25;54;Klub Parlamentarny Polskiego Stronnictwa Ludowego;Piekary;38 Piła;6635;M
2001;Krzysztof Janik;1950-06-11;51;Klub Parlamentarny Sojuszu Lewicy Demokratycznej;Kielce;15 Tarnów;32183;M
2001;Andrzej Zając;1949-04-09;52;Klub Parlamentarny Sojuszu Lewicy Demokratycznej;Trzebinia;30 Rybnik;11843;M
2001;Marek Wagner;1946-04-24;55;Klub Parlamentarny Sojuszu Lewicy Demokratycznej;Warszawa;36 Kalisz;39502;M
2001;Jan Antochowski;1953-03-19;48;Klub Parlamentarny Sojuszu Lewicy Demokratycznej;Białogard;34 Elbląg;8312;M
2001;Zofia Wilczyńska;1942-05-24;59;Klub Parlamentarny Sojuszu Lewicy Demokratycznej;Wodnik;40 Koszalin;9739;F
2001;Wojciech Domaradzki;1966-03-11;35;Klub Parlamentarny Sojuszu Lewicy Demokratycznej;Rzeszów;22 Krosno;7574;M
2001;Józef Zych;1938-03-23;63;Klub Parlamentarny Polskiego Stronnictwa Ludowego;Giedlarowa;8 Zielona Góra;7378;M
2001;Eugeniusz Kłopotek;1953-11-15;48;Klub Parlamentarny Polskiego Stronnictwa Ludowego;Chojnice;4 Bydgoszcz;9223;M
2001;Tadeusz Cymański;1955-06-06;46;Klub Parlamentarny Prawo i Sprawiedliwość;Nowy Staw;25 Gdańsk;1071;M
2001;Grzegorz Schetyna;1963-02-18;38;Klub Parlamentarny Platforma Obywatelska;Opole;3 Wrocław;4849;M
2001;Bartłomiej Szrajber;1954-05-27;47;Klub Parlamentarny Prawo i Sprawiedliwość;Warszawa;19 Warszawa;736;M
2001;Zygmunt Wrzodak;1959-03-21;42;Klub Parlamentarny Liga Polskich Rodzin;Budy Zaklasztorne;23 Rzeszów;32434;M
2001;Alicja Lis;1947-09-04;54;Klub Parlamentarny Samoobrona Rzeczypospolitej Polskiej;Boratyn;22 Krosno;9960;F
2001;Aleksander Grad;1962-05-01;39;Klub Parlamentarny Platforma Obywatelska;Łosiniec;15 Tarnów;9637;M
2001;Katarzyna Maria Piekarska;1967-09-23;34;Klub Parlamentarny Sojuszu Lewicy Demokratycznej;Warszawa;19 Warszawa;8266;F
2001;Henryk Długosz;1961-03-26;40;Poseł niezrzeszony;Drugnia;33 Kielce;31395;M
2001;Józef Gruszka;1947-03-16;54;Klub Parlamentarny Polskiego Stronnictwa Ludowego;Kwiatków;36 Kalisz;10619;M
2001;Danuta Hojarska;1960-01-02;41;Klub Parlamentarny Samoobrona Rzeczypospolitej Polskiej;Malbork;25 Gdańsk;8796;F
2001;Bolesław Piecha;1954-09-19;47;Klub Parlamentarny Prawo i Sprawiedliwość;Rybnik;30 Rybnik;4654;M
2001;Zbigniew Nowak;1963-12-10;38;Poseł niezrzeszony;Miechów;33 Kielce;6339;M
2001;Jacek Sauk;1944-07-21;57;Klub Parlamentarny Prawo i Sprawiedliwość;Wilno;41 Szczecin;8693;M
2001;Andrzej Różański;1958-11-02;43;Klub Parlamentarny Sojuszu Lewicy Demokratycznej;Mogilno;26 Gdynia;8192;M
2001;Czesław Pogoda;1952-08-24;49;Klub Parlamentarny Socjaldemokracji Polskiej;Lądek Zdrój;2 Wałbrzych;10820;M
2001;Franciszek Franczak;1951-01-09;50;Poseł niezrzeszony;Strzegom;2 Wałbrzych;7634;M
2001;Renata Beger;1958-07-18;43;Klub Parlamentarny Samoobrona Rzeczypospolitej Polskiej;Silno;38 Piła;10877;F
2001;Wiesław Okoński;1950-12-20;51;Klub Parlamentarny Sojuszu Lewicy Demokratycznej;Rożnowice;29 Gliwice;6735;M
2001;Zygmunt Ratman;1942-09-19;59;Klub Parlamentarny Sojuszu Lewicy Demokratycznej;Myszków;28 Częstochowa;11508;M
2001;Grzegorz Gruszka;1962-09-02;39;Poseł niezrzeszony;Koski;4 Bydgoszcz;23055;M
2001;Maria Wiśniowiecka;1945-08-2;56;Klub Parlamentarny Samoobrona Rzeczypospolitej Polskiej;Bytom;30 Rybnik;2087;F
2001;Anna Filek;1933-05-02;68;Klub Parlamentarny Sojuszu Lewicy Demokratycznej;Kraków;13 Kraków;7601;F
2001;Zdzisław Podkański;1949-10-18;52;Klub Parlamentarny Polskiego Stronnictwa Ludowego;Guzówka;6 Lublin;24510;M
2001;Henryk Ostrowski;1960-12-13;41;Klub Parlamentarny Samoobrona Rzeczypospolitej Polskiej;Szprotawa;8 Zielona Góra;9653;M
2001;Marian Stępień;1957-09-15;44;Klub Parlamentarny Sojuszu Lewicy Demokratycznej;Katowice;31 Katowice;7209;M
2001;Józef Tomala;1959-02-12;42;Poseł niezrzeszony;Ziębice;21 Opole;5042;M
2001;Tadeusz Gajda;1954-01-08;47;Klub Parlamentarny Polskiego Stronnictwa Ludowego;Guźnia;11 Sieradz;5391;M
2001;Franciszek Jerzy Stefaniuk;1944-06-04;57;Klub Parlamentarny Polskiego Stronnictwa Ludowego;Drelów;7 Chełm;15341;M
2001;Jerzy Kulej;1940-10-19;61;Klub Parlamentarny Socjaldemokracji Polskiej;Częstochowa;19 Warszawa;3488;M
2001;Krystyna Ozga;1944-06-20;57;Klub Parlamentarny Polskiego Stronnictwa Ludowego;Częstochowa;10 Piotrków Trybunalski;6674;F
2001;Marian Kawa;1955-10-29;46;Klub Parlamentarny Sojuszu Lewicy Demokratycznej;Nadolany;22 Krosno;8878;M
2001;Ryszard Kędra;1952-04-03;49;Poseł niezrzeszony;Turze Pole;22 Krosno;9628;M
2001;Adam Ołdakowski;1955-12-25;46;Klub Parlamentarny Samoobrona Rzeczypospolitej Polskiej;Giżycko;34 Elbląg;10124;M
2001;Bogdan Błaszczyk;1947-03-04;54;Klub Parlamentarny Sojuszu Lewicy Demokratycznej;Nosibądy;40 Koszalin;6288;M
2001;Stanisław Stec;1941-03-22;60;Klub Parlamentarny Sojuszu Lewicy Demokratycznej;Jazowsko;38 Piła;18457;M
2001;Stanisław Piosik;1946-02-25;55;Klub Parlamentarny Sojuszu Lewicy Demokratycznej;Wolsztyn;38 Piła;10666;M
2001;Alfred Owoc;1955-06-07;46;Koło Parlamentarne Unii Pracy;Zielona Góra;8 Zielona Góra;11364;M
