imnz;wiek;klub;kadencje
Jan Krzysztof Ardanowski;1961;PiS;1
Jan Szyszko;1944;PiS;3
Jan Tomaszewski;1948;PiS;1
Jan Vincent-Rostowski;1951;PO;1
Jan Warzecha;1959;PiS;2
Jan Ziobro;1989;PiS;1
Jan Łopata;1954;PSL;3
Janina Okrągły;1955;PO;2
Janusz Cichoń;1957;PO;2
Janusz Dzięcioł;1953;PO;2
Janusz Palikot;1964;RP;3
Janusz Piechociński;1960;PSL;5
Janusz Śniadek;1955;PiS;1
Jarosław Charłampowicz;1969;PO;1
Jarosław Gowin;1961;PO;2
Jarosław Górczyński;1971;PSL;1
Jarosław Kaczyński;1949;PiS;6
Jarosław Katulski;1961;PO;2
Jarosław Pięta;1964;PO;2
Jarosław Rusiecki;1961;PiS;3
Jarosław Sellin;1963;PiS;3
Jarosław Tomasz Jagiełło;1971;niez.;1
Jarosław Zieliński;1960;PiS;4
Jarosław Żaczek;1967;PiS;3
Jerzy Borkowski;1957;RP;1
Jerzy Borowczak;1957;PO;2
Jerzy Budnik;1951;PO;3
Jerzy Fedorowicz;1947;PO;1
Jerzy Kozdroń;1950;PO;3
Jerzy Materna;1956;PiS;3
Jerzy Polaczek;1961;PiS;4
Jerzy Rębek;1960;PiS;2
Jerzy Szmit;1960;PiS;1
Jerzy Wenderlich;1954;SLD;5
Jerzy Ziętek;1956;PO;2
Jerzy Żyżyński;1949;PiS;1
Joachim Brudziński;1968;PiS;3
Joanna Bobowska;1967;PO;1
Joanna Fabisiak;1950;PO;3
Joanna Kluzik-Rostkowska;1963;PO;2
Joanna Mucha;1976;PO;2
John Abraham Godson;1970;PO;2
Jolanta Szczypińska;1957;PiS;4
Julia Pitera;1953;PO;3
Józef Lassota;1943;PO;2
Józef Racki;1943;PSL;2
Józef Rojek;1950;PiS;3
Józef Zych;1938;PSL;7
Józefa Hrynkiewicz;1945;PiS;1
Katarzyna Hall;1957;PO;1
Katarzyna Matusik-Lipiec;1975;PO;2
Kazimierz Gołojuch;1964;PiS;3
Kazimierz Michał Ujazdowski;1964;PiS;4
Kazimierz Moskal;1962;PiS;3
Kazimierz Plocke;1958;PO;4
Kazimierz Ziobro;1949;PiS;1
Killion Munyama;1961;PO;1
Konstanty Miodowicz;1951;PO;4
Konstanty Oświęcimski;1964;PO;2
Kosma Złotowski;1964;PiS;1
Krystyna Kłosin;1954;PO;2
Krystyna Ozga;1944;PSL;4
Krystyna Pawłowicz;1952;PiS;1
Krystyna Poślednia;1957;PO;1
Krystyna Sibińska;1962;PO;1
Krystyna Skowrońska;1954;PO;4
Krystyna Szumilas;1956;PO;4
Krystyna Łybacka;1946;SLD;7
Krzysztof Borkowski;1964;PSL;2
Krzysztof Brejza;1983;PO;2
Krzysztof Gadowski;1962;PO;3
Krzysztof Jurgiel;1953;PiS;4
Krzysztof Kwiatkowski;1971;PO;1
Krzysztof Kłosowski;1975;RP;1
Krzysztof Lipiec;1959;PiS;3
Krzysztof Michałkiewicz;1953;PiS;3
Krzysztof Popiołek;1956;PiS;2
Krzysztof Szczerski;1973;PiS;1
Krzysztof Tchórzewski;1950;PiS;4
Lech Kołakowski;1963;PiS;3
Lech Sprawka;1955;PiS;2
Leonard Krasulski;1950;PiS;3
Leszek Aleksandrzak;1958;SLD;2
Leszek Blanik;1977;PO;1
Leszek Dobrzyński;1967;PiS;2
Leszek Jastrzębski;1976;PO;2
Leszek Korzeniowski;1955;PO;4
Leszek Miller;1946;SLD;5
Lidia Gądek;1967;PO;1
Lidia Staroń;1960;PO;3
Ligia Krajewska;1949;PO;1
Lucjan Marek Pietrzczyk;1960;PO;1
Ludwik Dorn;1954;PiS;4
Maciej Banaszak;1975;RP;1
Maciej Małecki;1974;PiS;1
Maciej Mroczek;1973;RP;1
Maciej Orzechowski;1971;PO;2
Maciej Wydrzyński;1974;RP;1
Maciej Zieliński;1971;PO;1
Maciej Łopiński;1947;PiS;1
Magdalena Gąsior-Marek;1983;PO;2
Magdalena Kochan;1950;PO;3
Maks Kraczkowski;1979;PiS;3
Marcin Kierwiński;1976;PO;1
Marcin Mastalerek;1984;PiS;1
Marcin Witko;1971;PiS;1
Marcin Święcicki;1947;PO;2
Marek Ast;1958;PiS;3
Marek Balt;1973;SLD;1
Marek Biernacki;1959;PO;3
Marek Domaracki;1964;RP;1
Marek Gos;1969;PSL;1
Marek Hok;1953;PO;1
Marek Krząkała;1967;PO;2
Marek Kuchciński;1955;PiS;4
Marek Matuszewski;1959;PiS;3
Marek Opioła;1976;PiS;3
Marek Plura;1970;PO;2
Marek Polak;1963;PiS;3
Marek Poznański;1984;RP;1
Marek Rząsa;1957;PO;2
Marek Sawicki;1958;PSL;5
Marek Stolarski;1963;RP;1
Marek Suski;1958;PiS;4
Marek Wojtkowski;1968;PO;2
Marek Wójcik;1980;PO;3
Marek Łapiński;1971;PO;1
Marek Łatas;1960;PiS;2
Maria Małgorzata Janyska;1962;PO;1
Maria Nowak;1950;PiS;3
Maria Zuba;1951;PiS;3
Marian Cycoń;1940;PO;2
Mariusz Antoni Kamiński;1978;PiS;1
Mariusz Błaszczak;1969;PiS;2
Mariusz Grad;1973;PO;2
Mariusz Kamiński;1965;PiS;3
Mariusz Orion Jędrysek;1962;PiS;1
Mariusz Witczak;1971;PO;1
Marzena Dorota Wróbel;1963;PiS;2
Marzena Machałek;1960;PiS;3
Marzena Okła-Drewnowicz;1972;PO;2
Małgorzata Adamczak;1971;PO;1
Małgorzata Gosiewska;1966;PiS;2
Małgorzata Kidawa-Błońska;1957;PO;3
Małgorzata Marcinkiewicz;1962;RP;1
Małgorzata Niemczyk;1969;PO;1
Małgorzata Pępek;1961;PO;1
Małgorzata Sadurska;1975;PiS;3
Małgorzata Sekuła-Szmajdzińska;1956;SLD;1
Michał Jach;1951;PiS;2
Michał Jaros;1981;PO;2
Michał Kabaciński;1988;RP;1
Michał Szczerba;1977;PO;2
Michał Tomasz Pacholski;1985;RP;1
Michał Wojtkiewicz;1946;PiS;3
Mieczysław Golba;1966;PiS;3
Mieczysław Kasprzak;1953;PSL;5
Mieczysław Marcin Łuczak;1955;PSL;3
Miron Sycz;1960;PO;2
Mirosław Koźlakiewicz;1957;PO;3
Mirosław Maliszewski;1968;PSL;3
Mirosław Pawlak;1942;PSL;6
Mirosław Pluta;1960;PO;2
Mirosława Nykiel;1953;PO;2
Monika Wielichowska;1973;PO;2
Norbert Wojnarowski;1976;PO;2
Patryk Jaki;1985;PiS;1
Paweł Arndt;1954;PO;3
Paweł Graś;1964;PO;4
Paweł Olszewski;1979;PO;3
Paweł Papke;1977;PO;1
Paweł Sajak;1977;RP;1
Paweł Suski;1964;PO;2
Paweł Szałamacha;1969;PiS;1
Piotr Babinetz;1969;PiS;2
Piotr Chmielowski;1965;RP;1
Piotr Cieśliński;1978;PO;2
Piotr Naimski;1951;PiS;1
Piotr Paweł Bauć;1960;RP;1
Piotr Polak;1961;PiS;2
Piotr Pyzik;1959;PiS;1
Piotr Szeliga;1977;PiS;1
Piotr Tomański;1969;PO;2
Piotr Van der Coghen;1953;PO;2
Piotr Walkowski;1963;PSL;2
Piotr Zgorzelski;1963;PSL;1
Przemysław Wipler;1978;PiS;1
Radosław Sikorski;1963;PO;2
Radosław Witkowski;1974;PO;2
Rafał Grupiński;1952;PO;3
Rajmund Miller;1954;PO;1
Renata Butryn;1959;PO;2
Renata Zaremba;1967;PO;2
Robert Biedroń;1976;RP;1
Robert Kołakowski;1963;PiS;3
Robert Kropiwnicki;1974;PO;2
Robert Telus;1969;PiS;2
Robert Tyszkiewicz;1963;PO;3
Robert Wardzała;1975;PO;1
Roman Jacek Kosecki;1966;PO;1
Roman Kaczor;1956;PO;2
Roman Kotliński;1967;RP;1
Romuald Ajchler;1949;SLD;5
Ryszard Galla;1956;niez.;3
Ryszard Kalisz;1957;SLD;4
Ryszard Terlecki;1949;PiS;2
Ryszard Zawadzki;1951;PO;2
Ryszard Zbrzyzny;1955;SLD;5
Stanisław Gawłowski;1968;PO;3
Stanisław Huskowski;1953;PO;2
Stanisław Kalemba;1947;PSL;7
Stanisław Lamczyk;1957;PO;3
Stanisław Ożóg;1953;PiS;3
Stanisław Piotrowicz;1952;PiS;1
Stanisław Pięta;1971;PiS;3
Stanisław Szwed;1955;PiS;3
Stanisław Wziątek;1959;SLD;3
Stanisław Żelichowski;1944;PSL;7
Stanisław Żmijan;1956;PO;4
Stanisława Prządka;1943;SLD;4
Stefan Niesiołowski;1944;PO;4
Stefan Strzałkowski;1957;PiS;2
Szymon Giżyński;1956;PiS;2
Sławomir Jan Piechota;1960;PO;2
Sławomir Kopyciński;1975;RP;2
Sławomir Kowalski;1961;PO;1
Sławomir Kłosowski;1964;PiS;3
Sławomir Neumann;1968;PO;2
Sławomir Nowak;1974;PO;4
Sławomir Zawiślak;1963;PiS;3
Tadeusz Arkit;1955;PO;2
Tadeusz Aziewicz;1960;PO;3
Tadeusz Dziuba;1948;PiS;1
Tadeusz Iwiński;1944;SLD;7
Tadeusz Jarmuziewicz;1957;PO;4
Tadeusz Tomaszewski;1959;SLD;5
Tadeusz Woźniak;1960;PiS;3
Teresa Hoppe;1947;PO;1
Teresa Piotrowska;1955;PO;4
Tomasz Garbowski;1979;SLD;3
Tomasz Górski;1973;PiS;3
Tomasz Głogowski;1974;PO;3
Tomasz Kaczmarek;1976;PiS;1
Tomasz Kamiński;1979;SLD;2
Tomasz Kulesza;1959;PO;3
Tomasz Latos;1964;PiS;3
Tomasz Lenz;1968;PO;3
Tomasz Makowski;1973;RP;1
Tomasz Piotr Nowak;1956;PO;3
Tomasz Smolarz;1966;PO;2
Tomasz Szymański;1978;PO;1
Tomasz Tomczykiewicz;1961;PO;4
Urszula Augustyn;1964;PO;3
Waldemar Andzel;1971;PiS;3
Waldemar Pawlak;1959;PSL;6
Waldemar Sługocki;1971;PO;1
Waldy Dzikowski;1959;PO;4
Wanda Nowicka;1956;RP;1
Wiesław Stanisław Janczyk;1964;PiS;1
Wiesław Suchowiejko;1957;PO;2
Wincenty Elsner;1955;RP;1
Witold Czarnecki;1953;PiS;3
Witold Klepacz;1953;SLD;3
Witold Pahl;1961;PO;2
Witold Waszczykowski;1957;PiS;1
Wojciech Jasiński;1948;PiS;4
Wojciech Penkalski;1974;RP;1
Wojciech Saługa;1969;PO;3
Wojciech Szarama;1955;PiS;3
Wojciech Ziemniak;1956;PO;3
Wojciech Zubowski;1979;PiS;1
Włodzimierz Bernacki;1960;PiS;1
Włodzimierz Karpiński;1961;PO;2
Zbigniew Babalski;1953;PiS;2
Zbigniew Chmielowiec;1954;PiS;3
Zbigniew Dolata;1965;PiS;3
Zbigniew Girzyński;1973;PiS;3
Zbigniew Konwiński;1974;PO;2
Zbigniew Kuźmiuk;1956;PiS;2
Zbigniew Matuszczak;1962;SLD;2
Zbigniew Pacelt;1951;PO;3
Zbigniew Rynasiewicz;1963;PO;3
Zbigniew Sosnowski;1963;PSL;3
Zbigniew Włodkowski;1961;PSL;2
Zbyszek Zaborowski;1958;SLD;4
Zenon Durka;1958;PO;2
Zofia Czernow;1950;PO;1
Zofia Popiołek;1952;RP;1
Zofia Ławrynowicz;1964;PO;1
Łukasz Borowiak;1975;PO;2
Łukasz Gibała;1977;PO;2
Łukasz Krupa;1981;RP;1
Łukasz Zbonikowski;1978;PiS;3
