Zbigniew Mroziński;1945-03-17;Piotrków Trybunalski;Klub Parlamentarny Akcji Wyborczej Solidarność;33 Piotrków Trybunalski;;M
Marian Blecharczyk;1959-07-15;Białystok;Klub Parlamentarny Akcji Wyborczej Solidarność;04 Białystok;;M
Zbigniew Leraczyk;1948-12-14;Poznań;Klub Parlamentarny Unii Wolności ;05 Bielsko-Biała;;M
Mirosław Swoszowski;1956-10-06;Tarnów;Klub Parlamentarny Akcji Wyborczej Solidarność;46 Tarnów;;M
Danuta Ciborowska;1947-09-18;Krasnystaw;Klub Parlamentarny Sojuszu Lewicy Demokratycznej;29 Olsztyn;;F
Lech Nikolski;1955-11-10;Opole Lubelskie;Klub Parlamentarny Sojuszu Lewicy Demokratycznej;03 Biała Podlaska;;M
Ryszard Brejza;1958-03-13;Inowrocław;Klub Parlamentarny Akcji Wyborczej Solidarność;06 Bydgoszcz;;M
Marek Wagner;1946-04-24;Warszawa;Klub Parlamentarny Sojuszu Lewicy Demokratycznej;14 Kalisz;;M
Jerzy Jacek Widzyk;1959-04-25;Żywiec;Klub Parlamentarny Akcji Wyborczej Solidarność;05 Bielsko-Biała;;M
Wiesław Andrzej Szczepański;1960-06-01;Chrośnica;Klub Parlamentarny Sojuszu Lewicy Demokratycznej;24 Leszno;;M
Jan Król;1950-06-24;Mielec;Klub Parlamentarny Unii Wolności ;42 Słupsk;;M
Stefan Niesiołowski;1944-02-04;Kałączew;Klub Parlamentarny Akcji Wyborczej Solidarność;27 Łódź;;M
Regina Pawłowska;1945-06-19;Sadek  k.Szydłowca;Klub Parlamentarny Sojuszu Lewicy Demokratycznej;37 Radom;;F
Tadeusz Jacek Zieliński;1966-06-01;Katowice;Klub Parlamentarny Unii Wolności ;16 Katowice;;M
Czesław Pogoda;1952-08-24;LądekZdrój;Klub Parlamentarny Sojuszu Lewicy Demokratycznej;48 Wałbrzych;;M
Paweł Graś;1964-02-23;Kęty;posłowie niezrzeszeni;21 Kraków;;M
Stanisław Masternak;1946-02-22;Sanborzec;Klub Parlamentarny Polskiego Stronnictwa Ludowego;45 Tarnobrzeg;;M
Jerzy Gwiżdż;1954-08-10;Nowy Sącz;Klub Parlamentarny Akcji Wyborczej Solidarność;01 Warszawa;;M
Zygmunt Żymełka;1933-11-16;Ruda Śląska;posłowie niezrzeszeni;16 Katowice;;M
Stefan Macner;1934-12-09;Bielsko;Klub Parlamentarny Sojuszu Lewicy Demokratycznej;05 Bielsko-Biała;;M
Józef Bergier;1952-02-17;Międzyrzec Podlaski;Klub Parlamentarny Akcji Wyborczej Solidarność;03 Biała Podlaska;;M
Wojciech Arkuszewski;1948-10-31;Wrocław;Klub Parlamentarny Stronnictwa Konserwatywno-Ludowego;08 Ciechanów;;M
Andrzej Smoliński;1951-12-30;Karolewo;Klub Parlamentarny Akcji Wyborczej Solidarność;29 Olsztyn;;M
Marian Cycoń;1940-07-17;Barcice Dolne;Klub Parlamentarny Unii Wolności ;28 Nowy Sącz;;M
Leszek Szewc;1957-11-02;Wałbrzych;Klub Parlamentarny Akcji Wyborczej Solidarność;48 Wałbrzych;;M
Maciej Płażyński;1958-02-10;Młynary;posłowie niezrzeszeni;11 Gdańsk;;M
Henryk Wujec;1941-01-01;Podlesie k. Biłgoraja;Klub Parlamentarny Unii Wolności ;07 Chełm;;M
Wojciech Nowaczyk;1941-02-26;Radomsko;Klub Parlamentarny Sojuszu Lewicy Demokratycznej;32 Piła;;M
Maciej Poręba;1951-01-03;Warszawa;Klub Parlamentarny Sojuszu Lewicy Demokratycznej;01 Warszawa;;M
Maciej Jankowski;1945-11-17;Krążkowo;Klub Parlamentarny Akcji Wyborczej Solidarność;52 Zielona Góra;;M
Zbigniew Szymański;1938-09-01;Lublin;Klub Parlamentarny Akcji Wyborczej Solidarność;44 Szczecin;;M
Józef Kaleta;1925-02-28;Kasima Wielka;Klub Parlamentarny Sojuszu Lewicy Demokratycznej;50 Wrocław;;M
Witold Deręgowski;1934-10-07;Bydgoszcz;Klub Parlamentarny Sojuszu Lewicy Demokratycznej;06 Bydgoszcz;;M
Jan Rzymełka;1952-06-07;Katowice;posłowie niezrzeszeni;16 Katowice;;M
Marek Nawara;1956-04-18;Kraków;Klub Parlamentarny Akcji Wyborczej Solidarność;21 Kraków;;M
Andrzej Szarawarski;1948-02-25;Czeladź;Klub Parlamentarny Sojuszu Lewicy Demokratycznej;15 Sosnowiec;;M
Seweryn Kaczmarek;1947-12-16;Oleśnica;Klub Parlamentarny Sojuszu Lewicy Demokratycznej;14 Kalisz;;M
Wojciech Włodarczyk;1949-07-05;Warszawa;Koło Parlamentarne Ruchu Odbudowy Polski;25 Lublin;;M
