team;pid;number;pos;plabel;age;height;weight;bplace;bdate;last;first;caps;isoc;ccoords
RUS;59262;SR;SR;Lock;24;200;107;Krasnoyarsk, Russian Federation;1994-09-22;Fedotko;Bogdan;20;RU;61.52401,105.318756
RUS;56489;BR;BR;Back Row;25;188;108;Dagestan, Russian Federation;1994-03-29;Gadzhiev;Tagir;27;RU;61.52401,105.318756
RUS;39262;10;FH;Fly Half;28;174;77;Krasnoyarsk, Russian Federation;1991-07-26;Gaisin;Ramil;44;RU;61.52401,105.318756
RUS;30046;CE;CE;Centre;33;183;82;Baku, Azerbaijan;1985-11-08;Galinovskiy;Igor;49;AZ;40.143105,47.576927
RUS;25937;SR;SR;Lock;36;192;112;Krasnoyarsk, Russian Federation;1983-08-07;Garbuzov;Andrei;94;RU;61.52401,105.318756
RUS;32300;CE;CE;Centre;31;185;92;Krasnoyarsk, Russian Federation;1988-04-16;Gerasimov;Dmitrii;64;RU;61.52401,105.318756
RUS;56605;CE;CE;Centre;25;185;105;Moscow, Russian Federation;1994-05-30;Golosnitskii;Kirill;9;RU;61.52401,105.318756
RUS;56486;PR;PR;Prop;32;187;118;Tulskaya Oblast, Russian Federation;1987-07-17;Gotovtsev;Kirill;3;RU;61.52401,105.318756
RUS;28576;BR;BR;Back Row;33;186;108;Leningrad, Russian Federation;1986-03-31;Gresev;Viktor;98;RU;61.52401,105.318756
RUS;49067;10;FH;Fly Half;32;174;82;Penza, Russian Federation;1986-11-16;Ianiushkin;Sergei;15;RU;61.52401,105.318756
RUS;46023;BR;BR;Back Row;26;192;98;Penza, Russian Federation;1993-09-06;Khodin;Roman;4;RU;61.52401,105.318756
RUS;30058;10;FH;Fly Half;34;182;95;Moscow, Russian Federation;1985-06-06;Kushnarev;Iurii;109;RU;61.52401,105.318756
RUS;30550;2;HK;Hooker;35;187;102;Penza, Russian Federation;1984-04-15;Matveev;Evgenii;58;RU;61.52401,105.318756
RUS;59263;PR;PR;Prop;24;190;115;Kirghizstan, Russian Federation;1994-09-21;Morozov;Valeriy;17;RU;61.52401,105.318756
RUS;29095;SR;SR;Lock;32;198;116;Moscow, Russian Federation;1987-07-02;Ostrikov;Andrey;33;RU;61.52401,105.318756
RUS;28585;CE;CE;Centre;32;184;94;Krasnodar, Russian Federation;1986-09-30;Ostroushko;Vladimir;45;RU;61.52401,105.318756
RUS;30554;9;SH;Scrum Half;34;175;75;Moscow, Russian Federation;1984-11-18;Perov;Dmitrii;10;RU;61.52401,105.318756
RUS;56209;PR;PR;Prop;25;188;115;Kaliningrad, Russian Federation;1994-01-27;Podrezov;Vladimir;24;RU;61.52401,105.318756
RUS;47377;PR;PR;Prop;33;183;104;Penza, Russian Federation;1986-08-09;Polivalov;Andrei;25;RU;61.52401,105.318756
RUS;39248;2;HK;Hooker;28;178;95;Dneprodzerjinsk, Ukraine;1991-09-02;Selskii;Stanislav;35;UA;48.379433,31.16558
RUS;39257;WI;WI;Wing;28;192;100;Novokuznetsk, Russian Federation;1991-03-11;Simplikevich;Denis;28;RU;61.52401,105.318756
RUS;46038;WI;WI;Wing;25;179;82;Kiev, Ukraine;1993-10-09;Sozonov;Vladislav;8;UA;48.379433,31.16558
RUS;56490;BR;BR;Back Row;25;182;98;Kemerovo, Russian Federation;1994-02-05;Sychev;Anton;14;RU;61.52401,105.318756
RUS;62749;BR;BR;Back Row;25;188;100;Moscow, Russian Federation;1994-05-13;Vavilin;Nikita;10;RU;61.52401,105.318756
RUS;43174;BR;BR;Back Row;27;185;98;Orlovskaya Oblast, Russian Federation;1992-02-16;Zhivatov;Vitaly;9;RU;61.52401,105.318756
WSA;43176;PR;PR;Prop;28;189;128;Camperdown, Australia;1991-08-28;Alaalatoa;Michael Savea;1;AU;-25.274398,133.775136
WSA;48838;10;FH;Fly Half;26;186;95;Motootua, Samoa;1993-03-25;Alatimu;AJ Mamoe;5;WS;-13.759029,-172.104629
WSA;39449;PR;PR;Prop;27;181;130;Henderson, New Zealand;1991-12-22;Alo-Emile;Paul;13;NZ;-40.900557,174.885971
WSA;67474;BR;BR;Back Row;28;189;113;Henderson, New Zealand;1990-10-11;Amosa;Afaesetiti;3;NZ;-40.900557,174.885971
WSA;28863;BR;BR;Back Row;31;195;117;Porirua, New Zealand;1988-01-22;Faasalele;Piula Baloiloi;18;NZ;-40.900557,174.885971
WSA;42615;2;HK;Hooker;32;182;112;Wellington, New Zealand;1987-04-30;Farao Matu'u;Motu Dean;21;NZ;-40.900557,174.885971
WSA;45244;CE;CE;Centre;31;186;106;Burwood, New Zealand;1988-02-02;Fonotia;Kieron Thomas;9;NZ;-40.900557,174.885971
WSA;54609;BR;BR;Back Row;30;182;104;Motootua, Samoa;1989-05-09;Ioane;Tala James;21;WS;-13.759029,-172.104629
WSA;29272;BR;BR;Back Row;31;186;100;Hamilton, New Zealand;1987-11-18;Lam;Jack Tafa;35;NZ;-40.900557,174.885971
WSA;49195;2;HK;Hooker;30;183;110;Hamilton, New Zealand;1989-02-18;Lam;Leon Seilala;13;NZ;-40.900557,174.885971
WSA;61138;PR;PR;Prop;25;178;118;Motootua, Samoa;1993-12-16;Lay;James Michael;10;WS;-13.759029,-172.104629
WSA;45254;PR;PR;Prop;26;184;115;Motootua, Samoa;1992-11-05;Lay;Jordan Andrew;16;WS;-13.759029,-172.104629
WSA;65058;SR;SR;Lock;26;198;100;Lower Hutt, New Zealand;1992-12-03;Le'aupepe;Kane Thomas Viliamu;6;NZ;-40.900557,174.885971
WSA;42614;CE;CE;Centre;33;181;98;Motootua, Samoa;1986-02-20;Lee-Lo;Reynold;25;WS;-13.759029,-172.104629
WSA;49016;CE;CE;Centre;30;182;100;Malie, Samoa;1988-09-21;Leiua;Alapati;27;WS;-13.759029,-172.104629
WSA;55087;9;SH;Scrum Half;23;180;79;Motootua, Samoa;1995-11-19;Matavao;Melani;9;WS;-13.759029,-172.104629
WSA;36205;PR;PR;Prop;32;192;120;Manono, Samoa;1987-03-11;Mulipola;Logovii;30;WS;-13.759029,-172.104629
WSA;52857;15;FB;Full Back;30;182;90;Auckland, New Zealand;1989-06-12;Nanai Tavae;Tavaefaga Timothy;12;NZ;-40.900557,174.885971
WSA;65059;PR;PR;Prop;28;186;120;Otahuhu, New Zealand;1991-06-19;Niuia;Raymond Fetenuu;4;NZ;-40.900557,174.885971
WSA;47384;SR;SR;Lock;31;198;120;Porirua, New Zealand;1987-11-06;Paulo;Teofilo Aloisio Mikaele;34;NZ;-40.900557,174.885971
WSA;31787;10;FH;Fly Half;37;185;93;Motootua, Samoa;1982-06-18;Pisi;Tusiata MacKenzie;38;WS;-13.759029,-172.104629
WSA;58343;9;SH;Scrum Half;29;182;83;Auckland, New Zealand;1990-07-30;Polataivao;Dwayne Ene;13;NZ;-40.900557,174.885971
WSA;45182;10;FH;Fly Half;25;187;103;Bedford Park, Australia;1993-12-09;Seuteni;Ulupano Junior;2;AU;-25.274398,133.775136
WSA;48599;CE;CE;Centre;26;183;100;Motootua, Samoa;1993-04-02;Taefu;Leo Henry;3;WS;-13.759029,-172.104629
WSA;57162;WI;WI;Wing;26;188;97;Motootua, Samoa;1993-09-11;Teofilo Fidow;Ed;8;WS;-13.759029,-172.104629
WSA;45903;BR;BR;Back Row;26;193;125;Westmead, Australia;1993-08-26;Toleafoa;Senio Benedict;2;AU;-25.274398,133.775136
WSA;42608;15;FB;Full Back;30;186;106;Motootua, Samoa;1989-08-23;Tuala;Ah See;20;WS;-13.759029,-172.104629
WSA;55782;WI;WI;Wing;29;188;106;Otahuhu, New Zealand;1989-09-19;Tuatagaloa;Belgium;3;NZ;-40.900557,174.885971
WSA;39689;BR;BR;Back Row;28;194;116;Hamilton, New Zealand;1990-10-16;Tyrell;Joshua Iuni;7;NZ;-40.900557,174.885971
WSA;48619;SR;SR;Lock;26;198;119;Henderson, New Zealand;1993-02-11;Vui;Christopher Fatu;14;NZ;-40.900557,174.885971
WSA;54578;9;SH;Scrum Half;26;173;74;Tokoroa, New Zealand;1993-04-16;Cowley;Pelefofoga Ziki;12;NZ;-40.900557,174.885971
SCO;25797;BR;BR;Back Row;32;190;106;Hong Kong, Hong Kong;1986-09-24;Barclay;John Adam;74;HK;22.396428,114.109497
SCO;59598;PR;PR;Prop;28;190;120;Christchurch, New Zealand;1990-12-07;Berghan;Simon Andrew;22;NZ;-40.900557,174.885971
SCO;34293;2;HK;Hooker;30;182;113;Lanark, Scotland;1989-06-20;Brown;Fraser James MacGregor;42;GB;55.378051,-3.435973
SCO;55636;SR;SR;Lock;22;198;115;Glasgow, Scotland;1996-12-03;Cummings;Scott James;4;GB;55.378051,-3.435973
SCO;45546;PR;PR;Prop;27;185;112;Humansdorp, South Africa;1992-03-16;Dell;Allan Michael Elgin;25;ZA;-30.559482,22.937506
SCO;50424;PR;PR;Prop;23;188;126;Perth, Scotland;1996-01-19;Fagerson;Alexander James Ragnar;22;GB;55.378051,-3.435973
SCO;36676;SR;SR;Lock;29;198;118;Stirling, Scotland;1990-08-09;Gilchrist;Grant Stuart;36;GB;55.378051,-3.435973
SCO;56855;WI;WI;Wing;22;177;84;Melrose, Scotland;1997-06-21;Graham;Darcy;7;GB;55.378051,-3.435973
SCO;48678;SR;SR;Lock;25;198;120;Glasgow, Scotland;1994-03-14;Gray;Jonathan;52;GB;55.378051,-3.435973
SCO;61993;CE;CE;Centre;28;188;104;Carlisle, England;1990-12-28;Harris;Christopher James;10;GB;55.378051,-3.435973
SCO;56856;10;FH;Fly Half;22;185;87;Edinburgh, Scotland;1996-10-05;Hastings;Adam Robert;14;GB;55.378051,-3.435973
SCO;43530;15;FB;Full Back;27;180;93;Melrose, Scotland;1992-06-24;Hogg;Stuart William;69;GB;55.378051,-3.435973
