team;pid;number;pos;plabel;age;height;weight;bplace;bdate;last;first;caps;isoc;ccoords
URY;62992;9;SH;Scrum Half;23;174;78;Montevideo, Uruguay;1996-09-02;Arata Perrone;Santiago;29;UY;-32.522779,-55.765835
URY;48433;PR;PR;Prop;25;190;114;Montevideo, Uruguay;1994-08-19;Arbelo Garcia;Diego;5;UY;-32.522779,-55.765835
URY;62623;BR;BR;Back Row;21;177;90;Montevideo, Uruguay;1998-09-09;Ardao;Manuel;3;UY;-32.522779,-55.765835
URY;39180;10;FH;Fly Half;28;178;80;Montevideo, Uruguay;1991-04-12;Berchesi Pisano;Felipe;29;UY;-32.522779,-55.765835
URY;58417;CE;CE;Centre;23;178;83;Montevideo, Uruguay;1996-09-06;Cat Piccardo;Juan Manuel;25;UY;-32.522779,-55.765835
URY;60291;BR;BR;Back Row;21;184;90;Montevideo, Uruguay;1998-02-28;Civetta Ponce De Leon;Santiago;3;UY;-32.522779,-55.765835
URY;62627;CE;CE;Centre;22;178;90;Paysandu, Uruguay;1997-09-11;Della Corte Bertoni;Agustin;5;UY;-32.522779,-55.765835
URY;55332;BR;BR;Back Row;23;189;100;Montevideo, Uruguay;1996-03-07;Diana Olaso;Manuel;13;UY;-32.522779,-55.765835
URY;50157;SR;SR;Lock;25;193;103;Montevideo, Uruguay;1994-08-18;Dotti Uria;Ignacio Francisco;34;UY;-32.522779,-55.765835
URY;39173;PR;PR;Prop;27;173;105;Florida, Uruguay;1991-10-09;Echeverria Rodriguez;Juan Antonio;41;UY;-32.522779,-55.765835
URY;55335;15;FB;Full Back;23;178;75;Montevideo, Uruguay;1996-06-23;Etcheverry Cavanna;Felipe;2;UY;-32.522779,-55.765835
URY;43064;WI;WI;Wing;28;174;78;Montevideo, Uruguay;1991-05-19;Favaro Garcia;Federico;25;UY;-32.522779,-55.765835
URY;48443;CE;CE;Centre;26;177;90;Montevideo, Uruguay;1993-07-03;Freitas Alleges;Solen Nicolas;25;UY;-32.522779,-55.765835
URY;32385;BR;BR;Back Row;30;175;90;Montevideo, Uruguay;1989-05-01;Gaminara;Juan Manuel;57;UY;-32.522779,-55.765835
URY;50170;PR;PR;Prop;24;184;107;Montevideo, Uruguay;1995-07-02;Gattas Clavell;Facundo Eduardo;23;UY;-32.522779,-55.765835
URY;57453;CE;CE;Centre;22;180;84;Montevideo, Uruguay;1996-10-22;Inciarte;Tomas;11;UY;-32.522779,-55.765835
URY;63905;PR;PR;Prop;21;182;102;Montevideo, Uruguay;1998-09-12;Jaunsolo Mezzetta;Joaquin;0;UY;-32.522779,-55.765835
URY;50154;2;HK;Hooker;25;184;105;Montevideo, Uruguay;1994-07-01;Kessler Lordon;German Eduardo;39;UY;-32.522779,-55.765835
URY;43067;SR;SR;Lock;27;188;100;Montevideo, Uruguay;1991-10-05;Lamanna Miranda;Franco;42;UY;-32.522779,-55.765835
URY;55337;SR;SR;Lock;22;200;110;Montevideo, Uruguay;1997-04-23;Leindekar Virginio;Manuel;10;UY;-32.522779,-55.765835
URY;30236;WI;WI;Wing;31;181;98;Montevideo, Uruguay;1988-07-06;Leivas Ballestrino;Luis Leandro;67;UY;-32.522779,-55.765835
URY;32389;SR;SR;Lock;30;188;105;Montevideo, Uruguay;1989-04-27;Magno;Diego Gianni;80;UY;-32.522779,-55.765835
URY;36604;15;FB;Full Back;29;181;80;Maldonado, Uruguay;1989-10-05;Mieres Valente;Gaston;62;UY;-32.522779,-55.765835
URY;32391;BR;BR;Back Row;31;186;108;Montevideo, Uruguay;1988-01-07;Nieto Serra;Alejandro Martin;59;UY;-32.522779,-55.765835
URY;39181;9;SH;Scrum Half;28;176;86;Montevideo, Uruguay;1991-03-08;Ormaechea;Agustin Leon;41;UY;-32.522779,-55.765835
URY;32393;BR;BR;Back Row;30;184;97;Montevideo, Uruguay;1989-01-28;Ormaechea;Juan Diego;27;UY;-32.522779,-55.765835
URY;57461;2;HK;Hooker;22;180;100;Montevideo, Uruguay;1997-02-06;Pujadas Leon;Guillermo;7;UY;-32.522779,-55.765835
URY;29021;PR;PR;Prop;32;185;115;Paysandu, Uruguay;1987-03-05;Rombys Aguzzi;Juan Pedro;29;UY;-32.522779,-55.765835
URY;43070;PR;PR;Prop;27;185;105;Montevideo, Uruguay;1992-07-26;Sanguinetti;Mateo;54;UY;-32.522779,-55.765835
URY;43074;15;FB;Full Back;26;175;75;Montevideo, Uruguay;1992-11-02;Silva Pisano;Rodrigo;49;UY;-32.522779,-55.765835
URY;39179;CE;CE;Centre;28;196;95;Montevideo, Uruguay;1991-05-08;Vilaseca Hontou;Andres;46;UY;-32.522779,-55.765835
USA;65053;2;HK;Hooker;19;180;120;-, American Samoa;1999-11-20;Ainuu;David Faimafiliotama'ita'i;8;AS;-14.2709723,-170.1322174
USA;59977;BR;BR;Back Row;22;190;107;Oklahoma, United States;1997-01-08;Al-Jiboori;Malon Maurice;5;US;37.09024,-95.712891
USA;51378;9;SH;Scrum Half;29;172;81;Minnesota, United States;1990-01-31;Augspurger;Nathaniel Lee;24;US;37.09024,-95.712891
USA;49923;WI;WI;Wing;31;191;94;California, United States;1987-10-15;Brache;Marcel Girard;19;US;37.09024,-95.712891
USA;57052;SR;SR;Lock;30;195;118;Massachusetts, United States;1989-08-31;Brakeley;Nathaniel Myers;21;US;37.09024,-95.712891
USA;58928;CE;CE;Centre;24;188;107;Indiana, United States;1994-09-21;Campbell;Bryce Andrew;28;US;37.09024,-95.712891
USA;47089;SR;SR;Lock;29;203;119;New York, United States;1989-11-05;Civetta;Nicholas Anthony;23;US;37.09024,-95.712891
USA;46505;9;SH;Scrum Half;30;174;83;Durban, South Africa;1989-06-20;Davies;Shaun Michael;25;ZA;-30.559482,22.937506
USA;35569;BR;BR;Back Row;29;198;113;Florida, United States;1990-03-07;Dolan;Cameron Alexander;47;US;37.09024,-95.712891
USA;62526;2;HK;Hooker;29;183;106;Dublin, Ireland;1990-07-24;Fawsitt;Dylan Paul;12;IE;53.41291,-8.24389
USA;28746;PR;PR;Prop;32;193;116;Davis, California, United States;1987-09-14;Fry;Eric Christopher;45;US;37.09024,-95.712891
USA;50016;BR;BR;Back Row;23;185;104;Kimberley, South Africa;1996-08-24;Germishuys;Hanco Jacobus Ernst Lodewikus;17;ZA;-30.559482,22.937506
USA;47937;2;HK;Hooker;30;185;107;Henley Beach, Australia;1989-05-21;Hilterbrand;James Andrew;19;AU;-25.274398,133.775136
USA;48697;15;FB;Full Back;25;188;89;Cambridge, England;1993-11-28;Hooley;William John Edward;12;GB;55.378051,-3.435973
USA;54679;CE;CE;Centre;29;188;105;Hawaii, United States;1990-01-13;Iosefo;Martin Mulipa;6;US;37.09024,-95.712891
USA;49572;PR;PR;Prop;32;180;118;California, United States;1986-09-28;Kilifi;Olive Onelani;27;US;37.09024,-95.712891
USA;58431;BR;BR;Back Row;28;185;107;Timaru, New Zealand;1991-07-31;Lamborn;Tony Andrew;19;NZ;-40.900557,174.885971
USA;49434;PR;PR;Prop;24;183;113;Washington, United States;1995-02-11;Lamositele;Titi Edward;28;US;37.09024,-95.712891
USA;55585;SR;SR;Lock;28;198;122;Wisconsin, United States;1991-03-26;Landry;Benjamin Joseph;22;US;37.09024,-95.712891
USA;62527;CE;CE;Centre;29;180;114;Takapuna, New Zealand;1990-06-18;Lasike;Paul Hiko;16;NZ;-40.900557,174.885971
USA;55462;10;FH;Fly Half;29;185;92;Dublin, Ireland;1990-02-26;MacGinty;Alan Leon;24;IE;53.41291,-8.24389
USA;43093;PR;PR;Prop;27;183;86;London, England;1992-02-23;Magie;William Mac Gregor;25;GB;55.378051,-3.435973
USA;43096;PR;PR;Prop;27;183;125;Galway, Ireland;1991-11-16;Mullen;Paul;14;IE;53.41291,-8.24389
USA;33170;CE;CE;Centre;30;191;104;Woodland, California, United States;1988-09-22;Palamo;Thretton Davis;18;US;37.09024,-95.712891
USA;39462;SR;SR;Lock;28;204;123;Sydney, Australia;1991-03-26;Peterson;Gregory Howard;26;AU;-25.274398,133.775136
USA;54297;BR;BR;Back Row;25;193;99;Nebraska, United States;1994-06-13;Pinkelman;Benjamin Joseph;2;US;37.09024,-95.712891
USA;47101;BR;BR;Back Row;29;188;106;Cork, Ireland;1990-03-10;Quill;John Francis;36;IE;53.41291,-8.24389
USA;44123;WI;WI;Wing;31;192;95;Sacramento, California, United States;1988-02-29;Scully;Blaine Hansen;50;US;37.09024,-95.712891
USA;56281;2;HK;Hooker;26;183;124;Nu'uuli, American Samoa;1992-10-04;Taufetee;Joseph Soosemea;23;AS;-14.2709723,-170.1322174
USA;48658;WI;WI;Wing;26;175;93;California, United States;1993-07-23;Teo;Michael Paseka;24;US;37.09024,-95.712891
USA;57408;9;SH;Scrum Half;20;183;88;George, South Africa;1998-10-09;de Hass;Ruben Pieter;13;ZA;-30.559482,22.937506
WAL;50463;WI;WI;Wing;24;186;95;Swansea, Wales;1995-04-21;Adams;Joshua Huw;14;GB;55.378051,-3.435973
WAL;48729;WI;WI;Wing;24;185;97;Stockport, England;1994-09-24;Amos;Hallam Benjamen;20;GB;55.378051,-3.435973
WAL;49835;SR;SR;Lock;28;198;124;Ascot, England;1991-06-21;Ball;Jake;36;GB;55.378051,-3.435973
WAL;55680;SR;SR;Lock;23;203;117;Swansea, Wales;1996-01-07;Beard;Adam James;16;GB;55.378051,-3.435973
WAL;33997;10;FH;Fly Half;29;188;93;Swansea, Wales;1989-10-16;Biggar;Daniel Rhys;73;GB;55.378051,-3.435973
WAL;59616;PR;PR;Prop;21;191;132;Cardiff, Wales;1998-02-08;Carre;Rhys Michael Timothy;1;GB;55.378051,-3.435973
WAL;56109;9;SH;Scrum Half;27;175;86;Carmarthen, Wales;1992-07-19;Davies;Aled Huw;19;GB;55.378051,-3.435973
WAL;38914;9;SH;Scrum Half;29;178;88;Carmarthen, Wales;1990-08-18;Davies;David Gareth;44;GB;55.378051,-3.435973
WAL;51122;BR;BR;Back Row;28;183;98;Carmarthen, Wales;1990-10-25;Davies;James Michael;5;GB;55.378051,-3.435973
WAL;29368;CE;CE;Centre;31;185;101;Solihull, England;1988-04-05;Davies;Jonathan James Vaughan;76;GB;55.378051,-3.435973
WAL;48715;2;HK;Hooker;25;185;106;Newport, Wales;1994-03-07;Dee;Elliot Mitchell;22;GB;55.378051,-3.435973
WAL;55677;2;HK;Hooker;24;188;110;Carmarthen, Wales;1995-01-07;Elias;Ryan James;8;GB;55.378051,-3.435973
WAL;56108;PR;PR;Prop;27;185;135;York, England;1992-04-27;Francis;Tomas William;43;GB;55.378051,-3.435973
WAL;32440;15;FB;Full Back;30;178;85;Swansea, Wales;1988-12-22;Halfpenny;Stephen Leigh;82;GB;55.378051,-3.435973
WAL;43410;SR;SR;Lock;27;196;117;Pontypridd, Wales;1992-02-10;Hill;Cory Lewis;24;GB;55.378051,-3.435973
WAL;26376;SR;SR;Lock;33;196;118;Swansea, Wales;1985-09-19;Jones;Alun Wyn;128;GB;55.378051,-3.435973
WAL;61092;PR;PR;Prop;27;183;118;Carmarthen, Wales;1992-02-26;Jones;Owain Tomos Wyn;15;GB;55.378051,-3.435973
WAL;55674;PR;PR;Prop;23;183;118;Church Village, Wales;1996-01-04;Lewis;Dillon Anthony;15;GB;55.378051,-3.435973
WAL;48700;BR;BR;Back Row;25;188;103;St Helens, England;1994-04-18;Moriarty;Connall Ross;34;GB;55.378051,-3.435973
WAL;42052;WI;WI;Wing;27;193;109;King's Lynn, England;1992-04-13;North;George Philip;86;GB;55.378051,-3.435973
WAL;29385;2;HK;Hooker;32;183;110;Carmarthen, Wales;1987-01-03;Owens;Kenneth James;67;GB;55.378051,-3.435973
WAL;62250;CE;CE;Centre;31;188;101;Hunterville, New Zealand;1987-10-05;Parkes;Hadleigh William;18;NZ;-40.900557,174.885971
WAL;48724;10;FH;Fly Half;26;191;92;Cardiff, Wales;1993-05-17;Patchell;Mathew Rhys;13;GB;55.378051,-3.435973
WAL;36763;BR;BR;Back Row;28;185;105;Bridgend, Wales;1990-12-30;Rajai-Navidi;Joshua;19;GB;55.378051,-3.435973
WAL;45082;BR;BR;Back Row;32;198;107;Aldershot, England;1987-08-07;Shingler;Aaron Craig;20;GB;55.378051,-3.435973
WAL;48713;PR;PR;Prop;25;183;116;Swansea, Wales;1994-04-07;Smith;Nicky Paul;31;GB;55.378051,-3.435973
WAL;34001;BR;BR;Back Row;30;188;102;Neath, Wales;1989-08-06;Tipuric;Justin Charles;66;GB;55.378051,-3.435973
WAL;63868;BR;BR;Back Row;21;188;106;Cardiff, Wales;1997-09-25;Wainwright;Aaron James;12;GB;55.378051,-3.435973
WAL;55690;CE;CE;Centre;22;188;100;Bridgend, Wales;1996-10-12;Watkin;Owen Paul;16;GB;55.378051,-3.435973
WAL;43423;15;FB;Full Back;28;185;87;Swansea, Wales;1991-04-09;Williams;Liam Brian;58;GB;55.378051,-3.435973
WAL;50478;9;SH;Scrum Half;24;178;77;Treorchy, Wales;1995-01-01;Williams;Tomos Geraint;9;GB;55.378051,-3.435973
