teryt;nazwa;ppp;totalp;ppp.p;OSM1;OSM2;SM1;SM2;L1;L2;typ;ppp.dens
1063;m.Skierniewice;8880;48308;18.38;0;0;1;1;1;1;m;4440
1201;bocheński;22115;106096;20.84;0;0;5;1;5;1;p;3685.83
1202;brzeski;18331;93164;19.68;0;0;2;0;2;0;p;9165.5
1203;chrzanowski;20472;125725;16.28;0;0;2;0;2;0;p;10236
1204;dąbrowski;10658;59311;17.97;0;0;0;0;0;0;p;66666
1205;gorlicki;21290;109076;19.52;0;0;3;1;3;1;p;5322.5
1206;krakowski;54405;274843;19.79;0;0;5;0;5;0;p;10881
1207;limanowski;30592;130964;23.36;0;0;4;0;4;0;p;7648
1208;miechowski;8447;49315;17.13;0;0;1;0;1;0;p;8447
1209;myślenicki;27155;126339;21.49;0;0;3;0;3;0;p;9051.67
1210;nowosądecki;49120;214999;22.85;0;0;5;0;5;0;p;9824
1211;nowotarski;38876;191266;20.33;0;0;6;1;6;1;p;5553.71
1212;olkuski;18631;112539;16.56;0;0;1;0;1;0;p;18631
1213;oświęcimski;27175;154292;17.61;0;0;1;0;1;0;p;27175
1214;proszowicki;7750;43658;17.75;0;0;3;0;3;0;p;2583.33
1215;suski;16827;84317;19.96;0;0;1;0;1;0;p;16827
1216;tarnowski;39378;201268;19.56;0;0;1;0;1;0;p;39378
1217;tatrzański;13109;68034;19.27;1;0;2;0;3;0;p;4369.67
1218;wadowicki;31639;159938;19.78;0;0;2;1;2;1;p;10546.3
1219;wielicki;26355;125197;21.05;0;0;3;1;3;1;p;6588.75
1261;m.Kraków;127105;767348;16.56;3;2;8;6;11;8;m;6689.74
1262;m.Nowy Sącz;15818;84041;18.82;1;1;1;1;2;2;m;3954.5
1263;m.Tarnów;17208;109650;15.69;1;1;1;1;2;2;m;4302
1401;białobrzeski;6841;33542;20.40;0;0;0;0;0;0;p;66666
1402;ciechanowski;16356;89976;18.18;0;0;1;0;1;0;p;16356
1403;garwoliński;23269;108981;21.35;0;0;1;1;1;1;p;11634.5
1404;gostyniński;7690;45461;16.92;0;0;1;0;1;0;p;7690
1405;grodziski;19374;92847;20.87;0;0;2;0;2;0;p;9687
1406;grójecki;18664;98701;18.91;0;0;1;0;1;0;p;18664
1407;kozienicki;10629;60699;17.51;0;0;1;0;1;0;p;10629
1408;legionowski;24286;115384;21.05;0;0;1;0;1;0;p;24286
1409;lipski;5695;34496;16.51;0;0;1;0;1;0;p;5695
1410;łosicki;5722;31335;18.26;0;0;1;0;1;0;p;5722
1411;makowski;8654;45580;18.99;0;0;0;0;0;0;p;66666
1412;miński;31598;152945;20.66;0;0;3;1;3;1;p;7899.5
1413;mławski;13720;73376;18.70;0;0;1;1;1;1;p;6860
1414;nowodworski;14986;79298;18.90;0;0;1;0;1;0;p;14986
1415;ostrołęcki;18215;88944;20.48;0;0;0;0;0;0;p;66666
1416;ostrowski;13350;73284;18.22;0;0;1;0;1;0;p;13350
1417;otwocki;24454;123770;19.76;0;0;4;0;4;0;p;6113.5
1418;piaseczyński;40606;182076;22.30;0;0;7;0;7;0;p;5800.86
1419;płocki;20802;111226;18.70;0;0;1;0;1;0;p;20802
1420;płoński;16339;87662;18.64;0;0;1;0;1;0;p;16339
1421;pruszkowski;32054;162922;19.67;0;0;3;1;3;1;p;8013.5
1422;przasnyski;10572;52884;19.99;0;0;1;0;1;0;p;10572
1423;przysuski;7472;42116;17.74;0;0;1;0;1;0;p;7472
1424;pułtuski;9969;51834;19.23;0;0;1;0;1;0;p;9969
1425;radomski;30795;151955;20.27;0;0;0;0;0;0;p;66666
1426;siedlecki;16249;81402;19.96;0;0;0;0;0;0;p;66666
1427;sierpecki;9775;52559;18.60;0;0;1;1;1;1;p;4887.5
