teryt;nazwa;ppp;OSM1;OSM2;SM1;SM2;L1;L2
2207000;kwidzyński;16973;0;0;1;0;1;0
2208000;lęborski;13021;0;0;1;0;1;0
2209000;malborski;11815;0;0;1;0;1;0
2210000;nowodworski;6637;0;0;0;0;0;0
2211000;pucki;18369;0;0;2;0;2;0
2212000;słupski;19225;0;0;0;0;0;0
2213000;starogardzki;26439;0;0;1;0;1;0
2214000;tczewski;23197;0;0;3;0;3;0
2215000;wejherowski;48308;0;0;3;0;3;0
2216000;sztumski;8187;0;0;0;0;0;0
2261000;m.Gdańsk;79252;1;1;6;2;7;3
2262000;m.Gdynia;39893;0;0;2;1;2;1
2263000;m.Słupsk;14579;0;0;1;1;1;1
2264000;m.Sopot;4552;0;0;1;0;1;0
2401000;będziński;23878;0;0;1;0;1;0
2402000;bielski;31667;0;0;0;0;0;0
2403000;cieszyński;33729;0;0;2;1;2;1
2404000;częstochowski;22730;0;0;0;0;0;0
2405000;gliwicki;20481;0;0;0;0;0;0
2406000;kłobucki;14604;0;0;0;0;0;0
2407000;lubliniecki;13646;0;0;2;0;2;0
2408000;mikołowski;18733;0;0;0;0;0;0
2409000;myszkowski;11997;0;0;2;0;2;0
2410000;pszczyński;22730;0;0;0;0;0;0
2411000;raciborski;17354;0;0;1;0;1;0
2412000;rybnicki;15070;0;0;1;1;1;1
2413000;tarnogórski;23498;0;0;1;0;1;0
2414000;bieruńsko-lędziński;11582;0;0;0;0;0;0
2415000;wodzisławski;28388;0;0;2;0;2;0
2416000;zawierciański;18904;0;0;0;0;0;0
2417000;żywiecki;28571;0;0;1;1;1;1
2461000;m.Bielsko-Biała;29439;1;1;1;1;2;2
2462000;m.Bytom;26750;1;1;0;0;1;1
2463000;m.Chorzów;18597;0;0;1;1;1;1
2464000;m.Częstochowa;34146;1;1;1;1;2;2
2465000;m.Dąbrowa Górnicza;18846;1;0;1;0;2;0
2466000;m.Gliwice;29297;0;0;1;2;1;2
2467000;m.Jastrzębie-Zdrój;15430;0;0;1;1;1;1
2468000;m.Jaworzno;14914;0;0;1;0;1;0
2469000;m.Katowice;43521;2;1;2;1;4;2
2470000;m.Mysłowice;13222;0;0;0;0;0;0
2471000;m.Piekary Śląskie;9094;0;0;1;0;1;0
2472000;m.Ruda Śląska;24516;0;0;2;2;2;2
2473000;m.Rybnik;25223;0;0;1;1;1;1
2474000;m.Siemianowice Śląskie;10945;0;0;0;0;0;0
2475000;m.Sosnowiec;29317;0;0;1;1;1;1
2476000;m.Świętochłowice;8467;0;0;0;0;0;0
2477000;m.Tychy;22126;1;0;1;0;2;0
2478000;m.Zabrze;27328;0;0;2;2;2;2
2479000;m.Żory;12004;0;0;1;1;1;1
2601000;buski;11817;0;0;1;0;1;0
2602000;jędrzejowski;15404;0;0;0;0;0;0
2603000;kazimierski;5097;0;0;0;0;0;0
2604000;kielecki;40047;0;0;0;0;0;0
2605000;konecki;13066;0;0;1;0;1;0
2606000;opatowski;8778;0;0;2;0;2;0
2607000;ostrowiecki;16810;0;0;2;2;2;2
2608000;pińczowski;6237;0;0;1;0;1;0
2609000;sandomierski;12787;0;0;0;0;0;0
2610000;skarżyski;11070;0;0;1;0;1;0
2611000;starachowicki;14526;0;0;1;0;1;0
2612000;staszowski;12639;0;0;1;0;1;0
2613000;włoszczowski;7994;0;0;0;0;0;0
2661000;m.Kielce;31025;1;1;3;2;4;3
2801000;bartoszycki;10195;0;0;0;0;0;0
2802000;braniewski;7211;0;0;0;0;0;0
