teryt;powiat;total2012;total2013;total2014;total2015;total2016;total2017;total2018;pp2012;pp2013;pp2014;pp2015;pp2016;pp2017;pp2018;pr2012;pr2013;pr2014;pr2015;pr2016;pr2017;pr2018;pm2012;pm2013;pm2014;pm2015;pm2016;pm2017;pm2018;pn2012;pn2013;pn2014;pn2015;pn2016;pn2017;pn2018;po2012;po2013;po2014;po2015;po2016;po2017;po2018;
0414000;świecki;99949;99839;99852;99764;99661;99505;;20186;19789;19489;19272;19191;19064;;64545;64239;63819;63243;62683;61974;;40345;40216;40106;39846;39510;39122;;24200;24023;23713;23397;23173;22852;;15218;15811;16544;17249;17787;18467;;
0415000;toruński;99891;100972;102167;103397;104477;105631;;22316;22159;22195;22381;22526;22696;;64613;65257;65735;66162;66456;66734;;42219;42728;43067;43276;43407;43432;;22394;22529;22668;22886;23049;23302;;12962;13556;14237;14854;15495;16201;;
0416000;tucholski;48327;48283;48381;48381;48416;48438;;10358;10196;10065;9895;9777;9724;;30773;30683;30620;30432;30179;29938;;19086;19013;19022;19023;18965;18869;;11687;11670;11598;11409;11214;11069;;7196;7404;7696;8054;8460;8776;;
0417000;wąbrzeski;35229;35034;34857;34844;34752;34612;;7114;6917;6761;6604;6547;6484;;22375;22251;22074;21991;21733;21462;;14003;13937;13811;13820;13653;13463;;8372;8314;8263;8171;8080;7999;;5740;5866;6022;6249;6472;6666;;
0418000;włocławski;87198;86920;86809;86758;86605;86604;;16849;16422;16110;15760;15455;15381;;55667;55548;55420;55299;55026;54634;;34522;34339;34204;34096;33772;33439;;21145;21209;21216;21203;21254;21195;;14682;14950;15279;15699;16124;16589;;
0419000;żniński;70957;70792;70696;70606;70528;70534;;13985;13773;13526;13349;13231;13216;;45537;45123;44765;44402;43942;43464;;28372;28245;28173;28025;27797;27516;;17165;16878;16592;16377;16145;15948;;11435;11896;12405;12855;13355;13854;;
0461000;m.Bydgoszcz;361254;359428;357652;355645;353938;352313;;56860;56451;56135;55757;55470;55702;;229244;225507;221523;217487;213625;209644;;141490;139916;138352;136352;134289;131977;;87754;85591;83171;81135;79336;77667;;75150;77470;79994;82401;84843;86967;;
0462000;m.Grudziądz;97971;97676;97176;96319;95964;95629;;17146;17164;16969;16672;16741;16778;;62430;61460;60472;59278;58199;57120;;37284;36869;36380;35822;35355;34828;;25146;24591;24092;23456;22844;22292;;18395;19052;19735;20369;21024;21731;;
0463000;m.Toruń;204299;203447;203158;202689;202521;202562;;33421;33402;33381;33384;33620;34017;;132841;130466;128584;126388;124391;122592;;83690;82638;82109;81069;80117;79090;;49151;47828;46475;45319;44274;43502;;38037;39579;41193;42917;44510;45953;;
0464000;m.Włocławek;115546;114885;113939;113041;112483;111752;;19024;18809;18493;18237;17996;17764;;74012;72564;71077;69646;68454;67079;;44559;43947;43120;42346;41577;40760;;29453;28617;27957;27300;26877;26319;;22510;23512;24369;25158;26033;26909;;
0601000;bialski;113672;113336;112901;112507;112398;111922;;23476;22926;22325;21881;21612;21347;;69790;69852;69787;69559;69313;68781;;44566;44633;44587;44387;44126;43659;;25224;25219;25200;25172;25187;25122;;20406;20558;20789;21067;21473;21794;;
0602000;biłgorajski;103569;103366;102941;102647;102272;101949;;20069;19654;19225;18818;18506;18291;;65000;64710;64304;63886;63434;62840;;41177;41108;40862;40737;40380;39986;;23823;23602;23442;23149;23054;22854;;18500;19002;19412;19943;20332;20818;;
0603000;chełmski;79786;79573;79619;79377;79088;78579;;15431;15086;14866;14642;14381;14201;;50488;50466;50465;50244;49880;49227;;31948;31980;32085;31966;31740;31305;;18540;18486;18380;18278;18140;17922;;13867;14021;14288;14491;14827;15151;;
0604000;hrubieszowski;67662;67157;66512;65939;65195;64428;;12132;11746;11383;11065;10702;10433;;42121;41809;41219;40726;40110;39352;;25840;25771;25490;25162;24737;24300;;16281;16038;15729;15564;15373;15052;;13409;13602;13910;14148;14383;14643;;
0605000;janowski;47500;47296;47106;46895;46596;46306;;9197;8858;8676;8478;8277;8112;;29237;29277;29136;28992;28772;28480;;18439;18510;18395;18302;18119;17821;;10798;10767;10741;10690;10653;10659;;9066;9161;9294;9425;9547;9714;;
0606000;krasnostawski;66896;66559;65991;65422;64921;64432;;11323;11058;10714;10471;10211;10099;;40922;40641;40301;39796;39247;38635;;24999;25005;24831;24635;24391;24021;;15923;15636;15470;15161;14856;14614;;14651;14860;14976;15155;15463;15698;;
0607000;kraśnicki;99137;98749;98182;97569;97069;96574;;18132;17636;17145;16777;16462;16195;;61550;61187;60806;60146;59520;58856;;38438;38375;38117;37742;37376;36980;;23112;22812;22689;22404;22144;21876;;19455;19926;20231;20646;21087;21523;;
0608000;lubartowski;90240;90065;89749;89502;89326;89040;;17876;17525;17192;16934;16744;16591;;56213;56132;55892;55513;55066;54498;;35887;35939;35724;35544;35226;34832;;20326;20193;20168;19969;19840;19666;;16151;16408;16665;17055;17516;17951;;
0609000;lubelski;148483;149481;150359;151178;152253;153380;;30676;30464;30204;30019;30074;30266;;93150;93804;94341;94681;94830;95063;;60199;60699;61008;61089;61063;60904;;32951;33105;33333;33592;33767;34159;;24657;25213;25814;26478;27349;28051;;
0610000;łęczyński;57736;57587;57544;57401;57420;57461;;11529;11320;11229;11094;11086;11170;;38462;38212;37920;37550;37159;36738;;24247;24162;24042;23811;23629;23428;;14215;14050;13878;13739;13530;13310;;7745;8055;8395;8757;9175;9553;;
0611000;łukowski;109555;109325;108911;108597;108299;107896;;23863;23443;23072;22805;22525;22392;;67382;67183;66792;66338;65915;65322;;44047;44050;43775;43501;43216;42646;;23335;23133;23017;22837;22699;22676;;18310;18699;19047;19454;19859;20182;;
0612000;opolski;62244;61803;61542;60964;60586;60266;;11628;11160;10951;10754;10540;10412;;38866;38668;38309;37757;37365;36854;;24226;24272;24179;23840;23621;23323;;14640;14396;14130;13917;13744;13531;;11750;11975;12282;12453;12681;13000;;
0613000;parczewski;36147;36044;35810;35628;35441;35140;;6712;6619;6517;6412;6320;6256;;22494;22348;22183;21997;21764;21339;;14070;13976;13851;13778;13664;13430;;8424;8372;8332;8219;8100;7909;;6941;7077;7110;7219;7357;7545;;
0614000;puławski;116526;116206;115777;115206;114722;114198;;20799;20607;20277;19848;19581;19335;;71465;70772;70092;69432;68685;67826;;43844;43407;42864;42433;41903;41193;;27621;27365;27228;26999;26782;26633;;24262;24827;25408;25926;26456;27037;;
0615000;radzyński;61195;60870;60606;60287;59986;59640;;12675;12282;12064;11821;11622;11474;;37809;37688;37438;37202;36906;36504;;23970;23972;23795;23652;23404;23148;;13839;13716;13643;13550;13502;13356;;10711;10900;11104;11264;11458;11662;;
0616000;rycki;58324;58080;57724;57388;57005;56765;;10892;10745;10567;10377;10237;10204;;36857;36449;35942;35540;34944;34413;;22936;22750;22475;22296;21963;21731;;13921;13699;13467;13244;12981;12682;;10575;10886;11215;11471;11824;12148;;
0617000;świdnicki;73047;72960;72750;72642;72495;72412;;12881;12797;12620;12509;12427;12472;;46014;45565;45046;44553;44003;43414;;28730;28500;28214;27955;27629;27236;;17284;17065;16832;16598;16374;16178;;14152;14598;15084;15580;16065;16526;;
0618000;tomaszowski;87479;86936;86385;85705;85105;84429;;16251;15720;15323;14788;14498;14126;;54873;54557;54052;53528;52931;52231;;34130;34025;33718;33479;32965;32438;;20743;20532;20334;20049;19966;19793;;16355;16659;17010;17389;17676;18072;;
0619000;włodawski;39754;39567;39457;39280;39084;38853;;7309;7173;7070;6981;6869;6834;;25383;25104;24867;24530;24211;23809;;15678;15580;15477;15324;15147;14842;;9705;9524;9390;9206;9064;8967;;7062;7290;7520;7769;8004;8210;;
0620000;zamojski;109522;109198;108777;108393;107928;107565;;20740;20161;19655;19079;18650;18327;;67474;67549;67356;67288;66931;66517;;42374;42429;42184;42076;41814;41479;;25100;25120;25172;25212;25117;25038;;21308;21488;21766;22026;22347;22721;;
0661000;m.Biała Podlaska;57990;57658;57471;57414;57303;57545;;10619;10512;10392;10265;10214;10354;;38773;38061;37515;37000;36382;35915;;24125;23709;23383;23218;22893;22736;;14648;14352;14132;13782;13489;13179;;8598;9085;9564;10149;10707;11276;;
0662000;m.Chełm;65897;65481;64855;64270;63734;63333;;10667;10472;10197;9986;9834;9806;;43398;42655;41751;40766;39784;38899;;26240;25928;25393;24841;24275;23745;;17158;16727;16358;15925;15509;15154;;11832;12354;12907;13518;14116;14628;;
0663000;m.Lublin;347678;343598;341722;340727;340466;339850;;56314;56058;55895;56090;56439;56905;;223582;217372;213308;209771;207019;203763;;143055;138449;136105;134079;132468;130463;;80527;78923;77203;75692;74551;73300;;67782;70168;72519;74866;77008;79182;;
0664000;m.Zamość;65612;65255;65055;64788;64648;64354;;11302;11235;11048;10826;10704;10596;;43260;42409;41795;41219;40567;39803;;26265;25786;25544;25286;24985;24566;;16995;16623;16251;15933;15582;15237;;11050;11611;12212;12743;13377;13955;;
0801000;gorzowski;70010;70376;70791;70929;71234;71438;;14412;14262;14190;14029;14000;13923;;45860;45877;45887;45775;45596;45414;;28765;28888;28935;28816;28692;28529;;17095;16989;16952;16959;16904;16885;;9738;10237;10714;11125;11638;12101;;
0802000;krośnieński;56751;56627;56235;55943;55759;55512;;10568;10347;10102;9932;9729;9646;;37329;36996;36413;35904;35460;34888;;22914;22941;22714;22479;22301;21991;;14415;14055;13699;13425;13159;12897;;8854;9284;9720;10107;10570;10978;;
0803000;międzyrzecki;58849;58697;58640;58496;58397;58249;;10814;10544;10449;10380;10372;10349;;38516;38258;37856;37401;36769;36232;;23717;23653;23534;23374;23063;22745;;14799;14605;14322;14027;13706;13487;;9519;9895;10335;10715;11256;11668;;
0804000;nowosolski;87984;87727;87524;87339;87127;86949;;16857;16567;16320;16082;15913;15859;;56122;55474;54801;54166;53462;52747;;34587;34508;34334;34165;33964;33565;;21535;20966;20467;20001;19498;19182;;15005;15686;16403;17091;17752;18343;;
0805000;słubicki;47329;47318;47278;47275;47093;47068;;9327;9226;9089;8944;8776;8744;;31101;30964;30796;30593;30280;29986;;19427;19378;19288;19209;19002;18804;;11674;11586;11508;11384;11278;11182;;6901;7128;7393;7738;8037;8338;;
0806000;strzelecko-drezdenecki;50664;50418;50212;50061;49842;49701;;9949;9736;9563;9415;9328;9265;;32531;32196;31801;31385;30948;30578;;20024;19885;19758;19633;19418;19253;;12507;12311;12043;11752;11530;11325;;8184;8486;8848;9261;9566;9858;;
0807000;sulęciński;35804;35768;35761;35596;35409;35351;;7020;6850;6817;6709;6603;6575;;23357;23232;23080;22777;22462;22173;;14581;14631;14562;14417;14284;14110;;8776;8601;8518;8360;8178;8063;;5427;5686;5864;6110;6344;6603;;
0808000;świebodziński;56666;56546;56415;56290;56204;56095;;10948;10791;10623;10488;10393;10385;;36637;36296;35973;35620;35268;34836;;22761;22665;22589;22450;22318;22034;;13876;13631;13384;13170;12950;12802;;9081;9459;9819;10182;10543;10874;;
0809000;zielonogórski;94561;94919;94934;75219;75314;75558;;18376;18154;17943;13825;13789;13938;;62511;62361;61917;48456;48031;47546;;39446;39514;39364;30888;30714;30431;;23065;22847;22553;17568;17317;17115;;13674;14404;15074;12938;13494;14074;;
0810000;żagański;82187;81803;81462;80997;80633;80114;;15206;14816;14599;14273;14129;13953;;53196;52740;52055;51384;50709;49876;;32462;32468;32271;31987;31677;31105;;20734;20272;19784;19397;19032;18771;;13785;14247;14808;15340;15795;16285;;
0811000;żarski;99446;99088;98625;98160;97783;97487;;18701;18282;17873;17508;17347;17202;;64642;64065;63313;62539;61711;60745;;39790;39805;39594;39362;38817;38294;;24852;24260;23719;23177;22894;22451;;16103;16741;17439;18113;18725;19540;;
0812000;wschowski;39434;39434;39365;39297;39256;39196;;8129;7970;7812;7763;7691;7663;;25235;25122;24954;24733;24515;24201;;15949;15958;15918;15824;15681;15425;;9286;9164;9036;8909;8834;8776;;6070;6342;6599;6801;7050;7332;;
0861000;m.Gorzów Wielkopolski;124609;124344;124145;123762;123995;124295;;21091;21226;21140;21163;21335;21545;;80741;79233;77919;76291;75191;74214;;49511;48877;48481;47783;47399;46996;;31230;30356;29438;28508;27792;27218;;22777;23885;25086;26308;27469;28536;;
0862000;m.Zielona Góra;119023;118405;118920;138711;139330;139819;;19230;19574;19961;24013;24235;24644;;76584;74636;73771;85614;84739;83735;;47872;46856;46664;54575;54319;53673;;28712;27780;27107;31039;30420;30062;;23209;24195;25188;29084;30356;31440;;
1001000;bełchatowski;113173;113105;113238;112916;113004;113028;;20962;20843;20793;20710;20765;20887;;76345;75585;74968;73890;72982;71906;;46365;46181;46057;45628;45335;44887;;29980;29404;28911;28262;27647;27019;;15866;16677;17477;18316;19257;20235;;
1002000;kutnowski;101177;100407;99967;99258;98583;98018;;16499;16085;15820;15590;15437;15396;;64501;63611;62800;61700;60602;59590;;38193;37716;37296;36719;36125;35545;;26308;25895;25504;24981;24477;24045;;20177;20711;21347;21968;22544;23032;;
1003000;łaski;50651;50687;50551;50282;50285;50224;;8920;8779;8735;8571;8553;8537;;32153;32107;31811;31437;31176;30899;;19900;19910;19684;19494;19385;19177;;12253;12197;12127;11943;11791;11722;;9578;9801;10005;10274;10556;10788;;
1004000;łęczycki;51980;51673;51323;51062;50769;50527;;9240;9018;8851;8681;8534;8475;;32149;31949;31655;31388;31063;30677;;19507;19448;19279;19166;18936;18743;;12642;12501;12376;12222;12127;11934;;10591;10706;10817;10993;11172;11375;;
1005000;łowicki;80679;80329;79951;79631;79340;78994;;14799;14608;14345;14131;14067;13992;;50319;49872;49437;48904;48320;47760;;30771;30580;30377;30172;29821;29539;;19548;19292;19060;18732;18499;18221;;15561;15849;16169;16596;16953;17242;;
1006000;łódzki wschodni;69300;69759;70132;70430;70796;71182;;13046;13024;12992;13074;13157;13271;;44220;44268;44287;44028;43849;43587;;27155;27271;27251;27070;26948;26677;;17065;16997;17036;16958;16901;16910;;12034;12467;12853;13328;13790;14324;;
1007000;opoczyński;78234;78057;77771;77457;77203;76984;;15884;15629;15321;15079;14888;14812;;48762;48561;48209;47890;47410;46908;;30532;30517;30303;30134;29793;29581;;18230;18044;17906;17756;17617;17327;;13588;13867;14241;14488;14905;15264;;
1008000;pabianicki;119757;119672;119582;119518;119299;119285;;19525;19417;19429;19403;19480;19601;;75323;74626;73874;73208;72187;71370;;46159;45932;45586;45239;44534;43973;;29164;28694;28288;27969;27653;27397;;24909;25629;26279;26907;27632;28314;;
1009000;pajęczański;52700;52533;52293;52023;52003;51851;;9938;9686;9390;9185;9079;8915;;32888;32793;32683;32395;32252;32039;;20503;20489;20429;20244;20109;19972;;12385;12304;12254;12151;12143;12067;;9874;10054;10220;10443;10672;10897;;
1010000;piotrkowski;91520;91618;91534;91283;91334;91301;;18585;18407;18173;17899;17764;17676;;56655;56588;56477;56211;55980;55594;;36108;36117;36002;35835;35678;35434;;20547;20471;20475;20376;20302;20160;;16280;16623;16884;17173;17590;18031;;
1011000;poddębicki;41881;41871;41788;41679;41484;41380;;7447;7281;7157;7087;7042;7032;;26130;26123;25979;25791;25511;25261;;16072;16127;16004;15849;15661;15472;;10058;9996;9975;9942;9850;9789;;8304;8467;8652;8801;8931;9087;;
1012000;radomszczański;116881;116316;115832;115125;114336;113923;;21203;20724;20250;19851;19506;19369;;72974;72287;71804;71062;70140;69371;;44987;44702;44340;43920;43288;42677;;27987;27585;27464;27142;26852;26694;;22704;23305;23778;24212;24690;25183;;
1013000;rawski;49612;49577;49419;49239;49081;48997;;9442;9344;9284;9145;9067;9096;;31345;31171;30847;30565;30177;29829;;19150;19076;18929;18877;18718;18554;;12195;12095;11918;11688;11459;11275;;8825;9062;9288;9529;9837;10072;;
1014000;sieradzki;120410;120057;119622;119268;119009;118692;;22708;22196;21725;21462;21178;21068;;75677;75428;75011;74332;73709;72989;;47205;47044;46738;46368;45940;45416;;28472;28384;28273;27964;27769;27573;;22025;22433;22886;23474;24122;24635;;
1015000;skierniewicki;38313;38292;38198;38177;38198;38224;;7604;7508;7428;7386;7387;7386;;23413;23418;23345;23294;23214;23101;;14695;14776;14706;14625;14631;14603;;8718;8642;8639;8669;8583;8498;;7296;7366;7425;7497;7597;7737;;
