teryt;nazwa;ppp;totalp;ppp.p;OSM1;OSM2;SM1;SM2;L1;L2;typ
3006000;jarociński;13983;71741;19.49;0;0;1;0;1;0;p
3007000;kaliski;16045;83124;19.30;0;0;0;0;0;0;p
3008000;kępiński;10996;56394;19.50;0;0;1;0;1;0;p
3009000;kolski;15922;87790;18.14;0;0;1;0;1;0;p
3010000;koniński;25283;129715;19.49;0;0;1;0;1;0;p
3011000;kościański;15114;79253;19.07;0;0;1;0;1;0;p
3012000;krotoszyński;15375;77720;19.78;0;0;1;0;1;0;p
3013000;leszczyński;12130;55883;21.71;0;0;0;0;0;0;p
3014000;międzychodzki;7119;36987;19.25;0;0;0;0;0;0;p
3015000;nowotomyski;15620;75164;20.78;0;0;2;0;2;0;p
3016000;obornicki;12367;59726;20.71;0;0;1;0;1;0;p
3017000;ostrowski;30159;161763;18.64;0;0;2;1;2;1;p
3018000;ostrzeszowski;10745;55479;19.37;0;0;1;0;1;0;p
3019000;pilski;25588;137104;18.66;0;0;1;1;1;1;p
3020000;pleszewski;12327;63218;19.50;0;0;1;0;1;0;p
3021000;poznański;86183;381630;22.58;0;0;4;0;4;0;p
3022000;rawicki;12175;60409;20.15;0;0;1;0;1;0;p
3023000;słupecki;11071;59576;18.58;0;0;2;2;2;2;p
3024000;szamotulski;18367;90920;20.20;0;0;1;1;1;1;p
3025000;średzki;11779;58155;20.25;0;0;1;0;1;0;p
3026000;śremski;12424;61229;20.29;0;0;1;0;1;0;p
3027000;turecki;16134;84267;19.15;0;0;1;1;1;1;p
3028000;wągrowiecki;14337;70212;20.42;0;0;1;0;1;0;p
3029000;wolsztyński;11987;57289;20.92;0;0;1;0;1;0;p
3030000;wrzesiński;15260;77361;19.73;0;0;4;1;4;1;p
3031000;złotowski;13518;69780;19.37;0;0;1;0;1;0;p
3061000;m.Kalisz;16931;101625;16.66;0;0;1;1;1;1;m
3062000;m.Konin;11538;74834;15.42;0;0;1;1;1;1;m
3063000;m.Leszno;11730;64197;18.27;0;0;1;1;1;1;m
3064000;m.Poznań;88983;538633;16.52;3;2;2;1;5;3;m
3201000;białogardzki;8599;48041;17.90;0;0;1;0;1;0;p
3202000;choszczeński;8703;48906;17.80;0;0;1;0;1;0;p
3203000;drawski;10443;57729;18.09;0;0;0;0;0;0;p
3204000;goleniowski;15558;82567;18.84;0;0;2;0;2;0;p
3205000;gryficki;10912;60885;17.92;0;0;1;0;1;0;p
3206000;gryfiński;14894;82951;17.96;0;0;1;0;1;0;p
3207000;kamieński;7661;47281;16.20;0;0;1;0;1;0;p
3208000;kołobrzeski;13342;79596;16.76;0;0;1;0;1;0;p
3209000;koszaliński;12078;66269;18.23;0;0;0;0;0;0;p
3210000;myśliborski;11858;66648;17.79;0;0;1;0;1;0;p
3211000;policki;15839;78333;20.22;0;0;1;0;1;0;p
3212000;pyrzycki;7072;39873;17.74;0;0;1;0;1;0;p
3213000;sławieński;10447;56764;18.40;0;0;1;0;1;0;p
3214000;stargardzki;21457;120091;17.87;1;0;1;1;2;1;p
3215000;szczecinecki;13759;78232;17.59;0;0;1;1;1;1;p
3216000;świdwiński;8303;47643;17.43;0;0;0;0;0;0;p
3217000;wałecki;9668;53738;17.99;0;0;0;0;0;0;p
3218000;łobeski;6745;37401;18.03;0;0;0;0;0;0;p
3261000;m.Koszalin;17185;107670;15.96;1;1;1;1;2;2;m
3262000;m.Szczecin;64448;403883;15.96;3;2;7;2;10;4;m
3263000;m.Świnoujście;5858;41032;14.28;0;0;1;0;1;0;m
