tytul;wydawca;date;naklad
Echo Dnia;Polska Press Sp. z o.o.;2015-04-01;22965
Express Bydgoski;"Express Media" Sp. z o.o.;2015-04-01;12365
Express Ilustrowany;Polska Press Sp. z o.o.;2015-04-01;30782
Fakt Gazeta Codzienna;"Ringier Axel Springer Polska" Sp. z o.o.;2015-04-01;328916
Gazeta Codzienna Nowiny;Polska Press Sp. z o.o.;2015-04-01;17244
Gazeta Krakowska;Polska Press Sp. z o.o.;2015-04-01;17532
Gazeta Lubuska;Polska Press Sp. z o.o.;2015-04-01;20448
Gazeta Olsztyńska / Dziennik Elbląski;Grupa WM Sp. z o.o. ;2015-04-01;21899
Gazeta Podatkowa;Wydawnictwo Podatkowe "Gofin" Sp. z o.o.;2015-04-01;26156
Gazeta Polska Codziennie;Forum SA;2015-04-01;18456
Gazeta Pomorska;Polska Press Sp. z o.o.;2015-04-01;43393
Gazeta Wrocławska;Polska Press Sp. z o.o.;2015-04-01;17557
Gazeta Współczesna;Polska Press Sp. z o.o.;2015-04-01;7414
Gazeta Wyborcza;Agora SA;2015-04-01;183783
Głos - Dziennik Pomorza;Polska Press Sp. z o.o.;2015-04-01;24259
Głos Wielkopolski;Polska Press Sp. z o.o.;2015-04-01;31395
Kurier Lubelski;Polska Press Sp. z o.o.;2015-04-01;4821
Kurier Poranny;Polska Press Sp. z o.o.;2015-04-01;6262
Kurier Szczeciński;"Kurier Szczeciński" Sp. z o.o.;2015-04-01;13993
Nowa Trybuna Opolska;"Pro Media" Sp. z o.o.;2015-04-01;17306
Nowości - Dziennik Toruński;"Express Media" Sp. z o.o.;2015-04-01;13550
Parkiet Gazeta Giełdy;Gremi Business Communication Sp. z o.o.;2015-04-01;5483
Polska Metropolia Warszawska;Polska Press Sp. z o.o.;2015-04-01;4023
Przegląd Sportowy;"Ringier Axel Springer Polska" Sp. z o.o.;2015-04-01;30007
Puls Biznesu;"Bonnier Business (Polska)" Sp. z o.o.;2015-04-01;14253
Rzeczpospolita;Gremi Business Communication Sp. z o.o.;2015-04-01;57057
Sport;"Ringier Axel Springer Polska" Sp. z o.o.;2015-04-01;5604
Super Express;ZPR Media SA;2015-04-01;152839
Super Nowości;Wydawnictwo Prasowe Super Nowości Sp. z.o.o.;2015-04-01;9065
Dziennik Bałtycki;Polska Press Sp. z o.o.;2015-05-01;24314
Dziennik Gazeta Prawna;Infor Biznes Sp. z o.o.;2015-05-01;55298
Dziennik Łódzki;Polska Press Sp. z o.o.;2015-05-01;22746
Dziennik Polski;Polska Press Sp. z o.o.;2015-05-01;19710
Dziennik Wschodni;Corner Media Sp. z o.o.;2015-05-01;6479
Dziennik Zachodni;Polska Press Sp. z o.o.;2015-05-01;39702
Echo Dnia;Polska Press Sp. z o.o.;2015-05-01;20825
Express Bydgoski;"Express Media" Sp. z o.o.;2015-05-01;11249
Express Ilustrowany;Polska Press Sp. z o.o.;2015-05-01;28161
Fakt Gazeta Codzienna;"Ringier Axel Springer Polska" Sp. z o.o.;2015-05-01;305990
Gazeta Codzienna Nowiny;Polska Press Sp. z o.o.;2015-05-01;16573
Gazeta Krakowska;Polska Press Sp. z o.o.;2015-05-01;17146
Gazeta Lubuska;Polska Press Sp. z o.o.;2015-05-01;20985
Gazeta Olsztyńska / Dziennik Elbląski;Grupa WM Sp. z o.o. ;2015-05-01;14056
Gazeta Podatkowa;Wydawnictwo Podatkowe "Gofin" Sp. z o.o.;2015-05-01;26339
Gazeta Polska Codziennie;Forum SA;2015-05-01;19953
Gazeta Pomorska;Polska Press Sp. z o.o.;2015-05-01;41293
Gazeta Wrocławska;Polska Press Sp. z o.o.;2015-05-01;16542
Gazeta Współczesna;Polska Press Sp. z o.o.;2015-05-01;6979
Gazeta Wyborcza;Agora SA;2015-05-01;174566
Głos - Dziennik Pomorza;Polska Press Sp. z o.o.;2015-05-01;22531
Głos Wielkopolski;Polska Press Sp. z o.o.;2015-05-01;29745
Kurier Lubelski;Polska Press Sp. z o.o.;2015-05-01;4209
Kurier Poranny;Polska Press Sp. z o.o.;2015-05-01;6135
Kurier Szczeciński;"Kurier Szczeciński" Sp. z o.o.;2015-05-01;12932
Nowa Trybuna Opolska;"Pro Media" Sp. z o.o.;2015-05-01;16450
Nowości - Dziennik Toruński;"Express Media" Sp. z o.o.;2015-05-01;12787
Parkiet Gazeta Giełdy;Gremi Business Communication Sp. z o.o.;2015-05-01;5343
Polska Metropolia Warszawska;Polska Press Sp. z o.o.;2015-05-01;3767
Przegląd Sportowy;"Ringier Axel Springer Polska" Sp. z o.o.;2015-05-01;29713
Puls Biznesu;"Bonnier Business (Polska)" Sp. z o.o.;2015-05-01;13965
Rzeczpospolita;Gremi Business Communication Sp. z o.o.;2015-05-01;57061
Sport;"Ringier Axel Springer Polska" Sp. z o.o.;2015-05-01;5609
Super Express;ZPR Media SA;2015-05-01;144712
Super Nowości;Wydawnictwo Prasowe Super Nowości Sp. z.o.o.;2015-05-01;8186
Dziennik Bałtycki;Polska Press Sp. z o.o.;2015-06-01;23643
Dziennik Gazeta Prawna;Infor Biznes Sp. z o.o.;2015-06-01;51289
Dziennik Łódzki;Polska Press Sp. z o.o.;2015-06-01;21481
Dziennik Polski;Polska Press Sp. z o.o.;2015-06-01;18861
Dziennik Wschodni;Corner Media Sp. z o.o.;2015-06-01;6174
Dziennik Zachodni;Polska Press Sp. z o.o.;2015-06-01;36980
Echo Dnia;Polska Press Sp. z o.o.;2015-06-01;20161
Express Bydgoski;"Express Media" Sp. z o.o.;2015-06-01;10879
Express Ilustrowany;Polska Press Sp. z o.o.;2015-06-01;28154
Fakt Gazeta Codzienna;"Ringier Axel Springer Polska" Sp. z o.o.;2015-06-01;293160
Gazeta Codzienna Nowiny;Polska Press Sp. z o.o.;2015-06-01;15908
Gazeta Krakowska;Polska Press Sp. z o.o.;2015-06-01;16416
Gazeta Lubuska;Polska Press Sp. z o.o.;2015-06-01;19873
Gazeta Olsztyńska / Dziennik Elbląski;Grupa WM Sp. z o.o. ;2015-06-01;13913
Gazeta Podatkowa;Wydawnictwo Podatkowe "Gofin" Sp. z o.o.;2015-06-01;26372
Gazeta Polska Codziennie;Forum SA;2015-06-01;19515
Gazeta Pomorska;Polska Press Sp. z o.o.;2015-06-01;40888
Gazeta Wrocławska;Polska Press Sp. z o.o.;2015-06-01;15982
Gazeta Współczesna;Polska Press Sp. z o.o.;2015-06-01;6714
Gazeta Wyborcza;Agora SA;2015-06-01;174492
Głos - Dziennik Pomorza;Polska Press Sp. z o.o.;2015-06-01;22328
Głos Wielkopolski;Polska Press Sp. z o.o.;2015-06-01;29159
Kurier Lubelski;Polska Press Sp. z o.o.;2015-06-01;4081
Kurier Poranny;Polska Press Sp. z o.o.;2015-06-01;5787
Kurier Szczeciński;"Kurier Szczeciński" Sp. z o.o.;2015-06-01;12714
Nowa Trybuna Opolska;"Pro Media" Sp. z o.o.;2015-06-01;15651
Nowości - Dziennik Toruński;"Express Media" Sp. z o.o.;2015-06-01;12944
Parkiet Gazeta Giełdy;Gremi Business Communication Sp. z o.o.;2015-06-01;5357
Polska Metropolia Warszawska;Polska Press Sp. z o.o.;2015-06-01;3787
Przegląd Sportowy;"Ringier Axel Springer Polska" Sp. z o.o.;2015-06-01;30952
Puls Biznesu;"Bonnier Business (Polska)" Sp. z o.o.;2015-06-01;14017
Rzeczpospolita;Gremi Business Communication Sp. z o.o.;2015-06-01;57171
Sport;"Ringier Axel Springer Polska" Sp. z o.o.;2015-06-01;5714
Super Express;ZPR Media SA;2015-06-01;140214
Super Nowości;Wydawnictwo Prasowe Super Nowości Sp. z.o.o.;2015-06-01;7620
Dziennik Bałtycki;Polska Press Sp. z o.o.;2015-07-01;25088
Dziennik Gazeta Prawna;Infor Biznes Sp. z o.o.;2015-07-01;48757
Dziennik Łódzki;Polska Press Sp. z o.o.;2015-07-01;21555
Dziennik Polski;Polska Press Sp. z o.o.;2015-07-01;18260
Dziennik Wschodni;Corner Media Sp. z o.o.;2015-07-01;5983
Dziennik Zachodni;Polska Press Sp. z o.o.;2015-07-01;38410
Echo Dnia;Polska Press Sp. z o.o.;2015-07-01;18563
Express Bydgoski;"Express Media" Sp. z o.o.;2015-07-01;10993
Express Ilustrowany;Polska Press Sp. z o.o.;2015-07-01;27844
Fakt Gazeta Codzienna;"Ringier Axel Springer Polska" Sp. z o.o.;2015-07-01;297255
Gazeta Codzienna Nowiny;Polska Press Sp. z o.o.;2015-07-01;14518
Gazeta Krakowska;Polska Press Sp. z o.o.;2015-07-01;16046
Gazeta Lubuska;Polska Press Sp. z o.o.;2015-07-01;18828
Gazeta Olsztyńska / Dziennik Elbląski;Grupa WM Sp. z o.o. ;2015-07-01;15196
Gazeta Podatkowa;Wydawnictwo Podatkowe "Gofin" Sp. z o.o.;2015-07-01;25686
Gazeta Polska Codziennie;Forum SA;2015-07-01;18129
Gazeta Pomorska;Polska Press Sp. z o.o.;2015-07-01;40014
Gazeta Wrocławska;Polska Press Sp. z o.o.;2015-07-01;15740
Gazeta Współczesna;Polska Press Sp. z o.o.;2015-07-01;6054
Gazeta Wyborcza;Agora SA;2015-07-01;173584
Głos - Dziennik Pomorza;Polska Press Sp. z o.o.;2015-07-01;21717
Głos Wielkopolski;Polska Press Sp. z o.o.;2015-07-01;28492
Kurier Lubelski;Polska Press Sp. z o.o.;2015-07-01;4161
Kurier Poranny;Polska Press Sp. z o.o.;2015-07-01;5214
Kurier Szczeciński;"Kurier Szczeciński" Sp. z o.o.;2015-07-01;12847
Nowa Trybuna Opolska;"Pro Media" Sp. z o.o.;2015-07-01;14294
Nowości - Dziennik Toruński;"Express Media" Sp. z o.o.;2015-07-01;12636
Parkiet Gazeta Giełdy;Gremi Business Communication Sp. z o.o.;2015-07-01;5232
Polska Metropolia Warszawska;Polska Press Sp. z o.o.;2015-07-01;3509
Przegląd Sportowy;"Ringier Axel Springer Polska" Sp. z o.o.;2015-07-01;34747
Puls Biznesu;"Bonnier Business (Polska)" Sp. z o.o.;2015-07-01;11806
Rzeczpospolita;Gremi Business Communication Sp. z o.o.;2015-07-01;55347
Sport;"Ringier Axel Springer Polska" Sp. z o.o.;2015-07-01;5418
Super Express;ZPR Media SA;2015-07-01;142225
Super Nowości;Wydawnictwo Prasowe Super Nowości Sp. z.o.o.;2015-07-01;7977
