tytul;wydawca;date;naklad
Kurier Szczeciński;"Kurier Szczeciński" Sp. z o.o.;2016-09-01;11010
Nowa Trybuna Opolska;"Pro Media" Sp. z o.o.;2016-09-01;13258
Nowości - Dziennik Toruński;Polska Press Sp. z o.o.;2016-09-01;11376
Parkiet Gazeta Giełdy;Gremi Media S.A.;2016-09-01;4702
Polska Metropolia Warszawska;Polska Press Sp. z o.o.;2016-09-01;2867
Przegląd Sportowy;"Ringier Axel Springer Polska" Sp. z o.o.;2016-09-01;27900
Puls Biznesu;"Bonnier Business (Polska)" Sp. z o.o.;2016-09-01;10539
Rzeczpospolita;Gremi Media S.A.;2016-09-01;52909
Sport;"Ringier Axel Springer Polska" Sp. z o.o.;2016-09-01;5176
Super Express;ZPR Media SA;2016-09-01;136839
Super Nowości;Wydawnictwo Prasowe Super Nowości Sp. z.o.o.;2016-09-01;7209
Dziennik Bałtycki;Polska Press Sp. z o.o.;2016-10-01;19436
Dziennik Gazeta Prawna;Infor Biznes Sp. z o.o.;2016-10-01;49809
Dziennik Łódzki;Polska Press Sp. z o.o.;2016-10-01;18291
Dziennik Polski;Polska Press Sp. z o.o.;2016-10-01;16347
Dziennik Wschodni;Corner Media Sp. z o.o.;2016-10-01;5454
Dziennik Zachodni;Polska Press Sp. z o.o.;2016-10-01;31016
Echo Dnia;Polska Press Sp. z o.o.;2016-10-01;17730
Express Bydgoski;Polska Press Sp. z o.o.;2016-10-01;9516
Express Ilustrowany;Polska Press Sp. z o.o.;2016-10-01;22769
Fakt Gazeta Codzienna;"Ringier Axel Springer Polska" Sp. z o.o.;2016-10-01;266940
Gazeta Codzienna Nowiny;Polska Press Sp. z o.o.;2016-10-01;13338
Gazeta Krakowska;Polska Press Sp. z o.o.;2016-10-01;14412
Gazeta Lubuska;Polska Press Sp. z o.o.;2016-10-01;18124
Gazeta Olsztyńska / Dziennik Elbląski;Grupa WM Sp. z o.o. ;2016-10-01;11438
Gazeta Podatkowa;Wydawnictwo Podatkowe "Gofin" Sp. z o.o.;2016-10-01;24774
Gazeta Polska Codziennie;Forum SA;2016-10-01;19898
Gazeta Pomorska;Polska Press Sp. z o.o.;2016-10-01;35196
Gazeta Wrocławska;Polska Press Sp. z o.o.;2016-10-01;13720
Gazeta Współczesna;Polska Press Sp. z o.o.;2016-10-01;5256
Gazeta Wyborcza;Agora SA;2016-10-01;153088
Głos - Dziennik Pomorza;Polska Press Sp. z o.o.;2016-10-01;18553
Głos Wielkopolski;Polska Press Sp. z o.o.;2016-10-01;25558
Kurier Lubelski;Polska Press Sp. z o.o.;2016-10-01;3479
Kurier Poranny;Polska Press Sp. z o.o.;2016-10-01;4606
Kurier Szczeciński;"Kurier Szczeciński" Sp. z o.o.;2016-10-01;10279
Nowa Trybuna Opolska;"Pro Media" Sp. z o.o.;2016-10-01;14024
Nowości - Dziennik Toruński;Polska Press Sp. z o.o.;2016-10-01;10807
Parkiet Gazeta Giełdy;Gremi Media S.A.;2016-10-01;4735
Polska Metropolia Warszawska;Polska Press Sp. z o.o.;2016-10-01;2790
Przegląd Sportowy;"Ringier Axel Springer Polska" Sp. z o.o.;2016-10-01;27213
Puls Biznesu;"Bonnier Business (Polska)" Sp. z o.o.;2016-10-01;12317
Rzeczpospolita;Gremi Media S.A.;2016-10-01;52245
Sport;"Ringier Axel Springer Polska" Sp. z o.o.;2016-10-01;5320
Super Express;ZPR Media SA;2016-10-01;136405
Super Nowości;Wydawnictwo Prasowe Super Nowości Sp. z.o.o.;2016-10-01;7026
Dziennik Bałtycki;Polska Press Sp. z o.o.;2016-11-01;19166
Dziennik Gazeta Prawna;Infor Biznes Sp. z o.o.;2016-11-01;51885
Dziennik Łódzki;Polska Press Sp. z o.o.;2016-11-01;18935
Dziennik Polski;Polska Press Sp. z o.o.;2016-11-01;16037
Dziennik Wschodni;Corner Media Sp. z o.o.;2016-11-01;5423
Dziennik Zachodni;Polska Press Sp. z o.o.;2016-11-01;32183
Echo Dnia;Polska Press Sp. z o.o.;2016-11-01;18428
Express Bydgoski;Polska Press Sp. z o.o.;2016-11-01;9544
Express Ilustrowany;Polska Press Sp. z o.o.;2016-11-01;23389
Fakt Gazeta Codzienna;"Ringier Axel Springer Polska" Sp. z o.o.;2016-11-01;268764
Gazeta Codzienna Nowiny;Polska Press Sp. z o.o.;2016-11-01;13271
Gazeta Krakowska;Polska Press Sp. z o.o.;2016-11-01;14420
Gazeta Lubuska;Polska Press Sp. z o.o.;2016-11-01;17370
Gazeta Olsztyńska / Dziennik Elbląski;Grupa WM Sp. z o.o. ;2016-11-01;11450
Gazeta Podatkowa;Wydawnictwo Podatkowe "Gofin" Sp. z o.o.;2016-11-01;25139
Gazeta Polska Codziennie;Forum SA;2016-11-01;19183
Gazeta Pomorska;Polska Press Sp. z o.o.;2016-11-01;35456
Gazeta Wrocławska;Polska Press Sp. z o.o.;2016-11-01;13718
Gazeta Współczesna;Polska Press Sp. z o.o.;2016-11-01;5405
Gazeta Wyborcza;Agora SA;2016-11-01;148322
Głos - Dziennik Pomorza;Polska Press Sp. z o.o.;2016-11-01;18277
Głos Wielkopolski;Polska Press Sp. z o.o.;2016-11-01;26119
Kurier Lubelski;Polska Press Sp. z o.o.;2016-11-01;3626
Kurier Poranny;Polska Press Sp. z o.o.;2016-11-01;4810
Kurier Szczeciński;"Kurier Szczeciński" Sp. z o.o.;2016-11-01;10269
Nowa Trybuna Opolska;"Pro Media" Sp. z o.o.;2016-11-01;13246
Nowości - Dziennik Toruński;Polska Press Sp. z o.o.;2016-11-01;10731
Parkiet Gazeta Giełdy;Gremi Media Sp. z o.o.;2016-11-01;4724
Polska Metropolia Warszawska;Polska Press Sp. z o.o.;2016-11-01;2884
Przegląd Sportowy;"Ringier Axel Springer Polska" Sp. z o.o.;2016-11-01;26192
Puls Biznesu;"Bonnier Business (Polska)" Sp. z o.o.;2016-11-01;12238
Rzeczpospolita;Gremi Media Sp. z o.o.;2016-11-01;52200
Sport;"Ringier Axel Springer Polska" Sp. z o.o.;2016-11-01;5068
Super Express;ZPR Media SA;2016-11-01;132886
Super Nowości;Wydawnictwo Prasowe Super Nowości Sp. z.o.o.;2016-11-01;7069
Dziennik Bałtycki;Polska Press Sp. z o.o.;2016-12-01;20602
Dziennik Gazeta Prawna;Infor Biznes Sp. z o.o.;2016-12-01;50173
Dziennik Łódzki;Polska Press Sp. z o.o.;2016-12-01;19422
Dziennik Polski;Polska Press Sp. z o.o.;2016-12-01;16225
Dziennik Wschodni;Corner Media Sp. z o.o.;2016-12-01;5626
Dziennik Zachodni;Polska Press Sp. z o.o.;2016-12-01;35725
Echo Dnia;Polska Press Sp. z o.o.;2016-12-01;19533
Express Bydgoski;Polska Press Sp. z o.o.;2016-12-01;9991
Express Ilustrowany;Polska Press Sp. z o.o.;2016-12-01;24698
Fakt Gazeta Codzienna;"Ringier Axel Springer Polska" Sp. z o.o.;2016-12-01;272663
Gazeta Codzienna Nowiny;Polska Press Sp. z o.o.;2016-12-01;12905
Gazeta Krakowska;Polska Press Sp. z o.o.;2016-12-01;14438
Gazeta Lubuska;Polska Press Sp. z o.o.;2016-12-01;17675
Gazeta Olsztyńska / Dziennik Elbląski;Grupa WM Sp. z o.o. ;2016-12-01;12048
Gazeta Podatkowa;Wydawnictwo Podatkowe "Gofin" Sp. z o.o.;2016-12-01;25559
Gazeta Polska Codziennie;Forum SA;2016-12-01;19715
Gazeta Pomorska;Polska Press Sp. z o.o.;2016-12-01;35968
Gazeta Wrocławska;Polska Press Sp. z o.o.;2016-12-01;14198
Gazeta Współczesna;Polska Press Sp. z o.o.;2016-12-01;5632
Gazeta Wyborcza;Agora SA;2016-12-01;148752
Głos - Dziennik Pomorza;Polska Press Sp. z o.o.;2016-12-01;18380
Głos Wielkopolski;Polska Press Sp. z o.o.;2016-12-01;26656
Kurier Lubelski;Polska Press Sp. z o.o.;2016-12-01;3876
Kurier Poranny;Polska Press Sp. z o.o.;2016-12-01;5165
Kurier Szczeciński;"Kurier Szczeciński" Sp. z o.o.;2016-12-01;11256
Nowa Trybuna Opolska;"Pro Media" Sp. z o.o.;2016-12-01;13497
Nowości - Dziennik Toruński;Polska Press Sp. z o.o.;2016-12-01;11072
Parkiet Gazeta Giełdy;Gremi Media S.A.;2016-12-01;4728
Polska Metropolia Warszawska;Polska Press Sp. z o.o.;2016-12-01;2966
Przegląd Sportowy;"Ringier Axel Springer Polska" Sp. z o.o.;2016-12-01;24667
Puls Biznesu;"Bonnier Business (Polska)" Sp. z o.o.;2016-12-01;12172
Rzeczpospolita;Gremi Media S.A.;2016-12-01;52217
Sport;"Ringier Axel Springer Polska" Sp. z o.o.;2016-12-01;4491
Super Express;ZPR Media SA;2016-12-01;135850
Super Nowości;Wydawnictwo Prasowe Super Nowości Sp. z.o.o.;2016-12-01;7830
Dziennik Bałtycki;Polska Press Sp. z o.o.;2017-01-01;18555
Dziennik Gazeta Prawna;Infor Biznes Sp. z o.o.;2017-01-01;57364
Dziennik Łódzki;Polska Press Sp. z o.o.;2017-01-01;17780
Dziennik Polski;Polska Press Sp. z o.o.;2017-01-01;15073
Dziennik Wschodni;Corner Media Sp. z o.o.;2017-01-01;4976
Dziennik Zachodni;Polska Press Sp. z o.o.;2017-01-01;30987
Echo Dnia;Polska Press Sp. z o.o.;2017-01-01;16614
Express Bydgoski;Polska Press Sp. z o.o.;2017-01-01;9202
Express Ilustrowany;Polska Press Sp. z o.o.;2017-01-01;22244
Fakt Gazeta Codzienna;"Ringier Axel Springer Polska" Sp. z o.o.;2017-01-01;279886
Gazeta Codzienna Nowiny;Polska Press Sp. z o.o.;2017-01-01;11764
Gazeta Krakowska;Polska Press Sp. z o.o.;2017-01-01;13889
Gazeta Lubuska;Polska Press Sp. z o.o.;2017-01-01;16473
Gazeta Olsztyńska / Dziennik Elbląski;Grupa WM Sp. z o.o. ;2017-01-01;10421
Gazeta Podatkowa;Wydawnictwo Podatkowe "Gofin" Sp. z o.o.;2017-01-01;24247
Gazeta Polska Codziennie;Forum SA;2017-01-01;19610
Gazeta Pomorska;Polska Press Sp. z o.o.;2017-01-01;35102
Gazeta Wrocławska;Polska Press Sp. z o.o.;2017-01-01;13041
Gazeta Współczesna;Polska Press Sp. z o.o.;2017-01-01;5095
Gazeta Wyborcza;Agora SA;2017-01-01;132030
Głos - Dziennik Pomorza;Polska Press Sp. z o.o.;2017-01-01;17487
Głos Wielkopolski;Polska Press Sp. z o.o.;2017-01-01;25096
Kurier Lubelski;Polska Press Sp. z o.o.;2017-01-01;3256
Kurier Poranny;Polska Press Sp. z o.o.;2017-01-01;4409
Kurier Szczeciński;"Kurier Szczeciński" Sp. z o.o.;2017-01-01;9663
Nowa Trybuna Opolska;"Pro Media" Sp. z o.o.;2017-01-01;12088
Nowości - Dziennik Toruński;Polska Press Sp. z o.o.;2017-01-01;10347
Parkiet Gazeta Giełdy;Gremi Media S.A.;2017-01-01;4908
Polska Metropolia Warszawska;Polska Press Sp. z o.o.;2017-01-01;2850
Przegląd Sportowy;"Ringier Axel Springer Polska" Sp. z o.o.;2017-01-01;24182
Puls Biznesu;"Bonnier Business (Polska)" Sp. z o.o.;2017-01-01;11425
Rzeczpospolita;Gremi Media S.A.;2017-01-01;52523
Sport;"Ringier Axel Springer Polska" Sp. z o.o.;2017-01-01;4483
Super Express;ZPR Media SA;2017-01-01;137828
Super Nowości;Wydawnictwo Prasowe Super Nowości Sp. z.o.o.;2017-01-01;7095
Dziennik Bałtycki;Polska Press Sp. z o.o.;2017-02-01;18549
Dziennik Gazeta Prawna;Infor Biznes Sp. z o.o.;2017-02-01;47879
Dziennik Łódzki;Polska Press Sp. z o.o.;2017-02-01;17939
Dziennik Polski;Polska Press Sp. z o.o.;2017-02-01;14987
Dziennik Wschodni;Corner Media Sp. z o.o.;2017-02-01;5065
Dziennik Zachodni;Polska Press Sp. z o.o.;2017-02-01;31151
Echo Dnia;Polska Press Sp. z o.o.;2017-02-01;16250
Express Bydgoski;Polska Press Sp. z o.o.;2017-02-01;9117
Express Ilustrowany;Polska Press Sp. z o.o.;2017-02-01;22192
Fakt Gazeta Codzienna;"Ringier Axel Springer Polska" Sp. z o.o.;2017-02-01;279933
Gazeta Codzienna Nowiny;Polska Press Sp. z o.o.;2017-02-01;11702
Gazeta Krakowska;Polska Press Sp. z o.o.;2017-02-01;14097
Gazeta Lubuska;Polska Press Sp. z o.o.;2017-02-01;16187
Gazeta Olsztyńska / Dziennik Elbląski;Grupa WM Sp. z o.o. ;2017-02-01;10643
Gazeta Podatkowa;Wydawnictwo Podatkowe "Gofin" Sp. z o.o.;2017-02-01;25008
Gazeta Polska Codziennie;Forum SA;2017-02-01;18780
Gazeta Pomorska;Polska Press Sp. z o.o.;2017-02-01;34383
Gazeta Wrocławska;Polska Press Sp. z o.o.;2017-02-01;12911
Gazeta Współczesna;Polska Press Sp. z o.o.;2017-02-01;5215
Gazeta Wyborcza;Agora SA;2017-02-01;134798
Głos - Dziennik Pomorza;Polska Press Sp. z o.o.;2017-02-01;17690
Głos Wielkopolski;Polska Press Sp. z o.o.;2017-02-01;24614
Kurier Lubelski;Polska Press Sp. z o.o.;2017-02-01;3576
Kurier Poranny;Polska Press Sp. z o.o.;2017-02-01;4527
Kurier Szczeciński;"Kurier Szczeciński" Sp. z o.o.;2017-02-01;9730
Nowa Trybuna Opolska;"Pro Media" Sp. z o.o.;2017-02-01;12473
Nowości - Dziennik Toruński;Polska Press Sp. z o.o.;2017-02-01;10258
Parkiet Gazeta Giełdy;Gremi Media S.A.;2017-02-01;4650
Polska Metropolia Warszawska;Polska Press Sp. z o.o.;2017-02-01;2720
Przegląd Sportowy;"Ringier Axel Springer Polska" Sp. z o.o.;2017-02-01;26120
Puls Biznesu;"Bonnier Business (Polska)" Sp. z o.o.;2017-02-01;11740
Rzeczpospolita;Gremi Media S.A.;2017-02-01;49326
Sport;"Ringier Axel Springer Polska" Sp. z o.o.;2017-02-01;4727
Super Express;ZPR Media SA;2017-02-01;132430
Super Nowości;Wydawnictwo Prasowe Super Nowości Sp. z.o.o.;2017-02-01;7015
Dziennik Bałtycki;Polska Press Sp. z o.o.;2017-03-01;18757
Dziennik Gazeta Prawna;Infor Biznes Sp. z o.o.;2017-03-01;47343
Dziennik Łódzki;Polska Press Sp. z o.o.;2017-03-01;19194
Dziennik Polski;Polska Press Sp. z o.o.;2017-03-01;15481
Dziennik Wschodni;Corner Media Sp. z o.o.;2017-03-01;5294
Dziennik Zachodni;Polska Press Sp. z o.o.;2017-03-01;31930
Echo Dnia;Polska Press Sp. z o.o.;2017-03-01;16263
Express Bydgoski;Polska Press Sp. z o.o.;2017-03-01;9177
Express Ilustrowany;Polska Press Sp. z o.o.;2017-03-01;23536
Fakt Gazeta Codzienna;"Ringier Axel Springer Polska" Sp. z o.o.;2017-03-01;277877
Gazeta Codzienna Nowiny;Polska Press Sp. z o.o.;2017-03-01;12011
Gazeta Krakowska;Polska Press Sp. z o.o.;2017-03-01;14415
Gazeta Lubuska;Polska Press Sp. z o.o.;2017-03-01;15901
Gazeta Olsztyńska / Dziennik Elbląski;Grupa WM Sp. z o.o. ;2017-03-01;10979
Gazeta Podatkowa;Wydawnictwo Podatkowe "Gofin" Sp. z o.o.;2017-03-01;24968
Gazeta Polska Codziennie;Forum SA;2017-03-01;18958
Gazeta Pomorska;Polska Press Sp. z o.o.;2017-03-01;34865
Gazeta Wrocławska;Polska Press Sp. z o.o.;2017-03-01;13256
Gazeta Współczesna;Polska Press Sp. z o.o.;2017-03-01;5318
Gazeta Wyborcza;Agora SA;2017-03-01;132145
Głos - Dziennik Pomorza;Polska Press Sp. z o.o.;2017-03-01;17573
Głos Wielkopolski;Polska Press Sp. z o.o.;2017-03-01;25563
Kurier Lubelski;Polska Press Sp. z o.o.;2017-03-01;3550
Kurier Poranny;Polska Press Sp. z o.o.;2017-03-01;4534
Kurier Szczeciński;"Kurier Szczeciński" Sp. z o.o.;2017-03-01;9958
Nowa Trybuna Opolska;"Pro Media" Sp. z o.o.;2017-03-01;12704
Nowości - Dziennik Toruński;Polska Press Sp. z o.o.;2017-03-01;10286
Parkiet Gazeta Giełdy;Gremi Media S.A.;2017-03-01;4303
Polska Metropolia Warszawska;Polska Press Sp. z o.o.;2017-03-01;2831
Przegląd Sportowy;"Ringier Axel Springer Polska" Sp. z o.o.;2017-03-01;25710
Puls Biznesu;"Bonnier Business (Polska)" Sp. z o.o.;2017-03-01;11964
Rzeczpospolita;Gremi Media S.A.;2017-03-01;48910
Sport;"Ringier Axel Springer Polska" Sp. z o.o.;2017-03-01;4903
Super Express;ZPR Media SA;2017-03-01;133814
Super Nowości;Wydawnictwo Prasowe Super Nowości Sp. z.o.o.;2017-03-01;7019
Dziennik Bałtycki;Polska Press Sp. z o.o.;2017-04-01;18608
Dziennik Gazeta Prawna;Infor Biznes Sp. z o.o.;2017-04-01;46486
Dziennik Łódzki;Polska Press Sp. z o.o.;2017-04-01;17916
Dziennik Polski;Polska Press Sp. z o.o.;2017-04-01;15181
Dziennik Wschodni;Corner Media Sp. z o.o.;2017-04-01;5282
Dziennik Zachodni;Polska Press Sp. z o.o.;2017-04-01;31283
Echo Dnia;Polska Press Sp. z o.o.;2017-04-01;17917
Express Bydgoski;Polska Press Sp. z o.o.;2017-04-01;9073
Express Ilustrowany;Polska Press Sp. z o.o.;2017-04-01;22411
Fakt Gazeta Codzienna;"Ringier Axel Springer Polska" Sp. z o.o.;2017-04-01;266407
Gazeta Codzienna Nowiny;Polska Press Sp. z o.o.;2017-04-01;12754
Gazeta Krakowska;Polska Press Sp. z o.o.;2017-04-01;13733
Gazeta Lubuska;Polska Press Sp. z o.o.;2017-04-01;17317
Gazeta Olsztyńska / Dziennik Elbląski;Grupa WM Sp. z o.o. ;2017-04-01;10367
Gazeta Podatkowa;Wydawnictwo Podatkowe "Gofin" Sp. z o.o.;2017-04-01;24002
Gazeta Polska Codziennie;Forum SA;2017-04-01;18710
Gazeta Pomorska;Polska Press Sp. z o.o.;2017-04-01;33854
Gazeta Wrocławska;Polska Press Sp. z o.o.;2017-04-01;13201
Gazeta Współczesna;Polska Press Sp. z o.o.;2017-04-01;5067
Gazeta Wyborcza;Agora SA;2017-04-01;133006
Głos - Dziennik Pomorza;Polska Press Sp. z o.o.;2017-04-01;17456
Głos Wielkopolski;Polska Press Sp. z o.o.;2017-04-01;24871
Kurier Lubelski;Polska Press Sp. z o.o.;2017-04-01;3559
Kurier Poranny;Polska Press Sp. z o.o.;2017-04-01;4685
Kurier Szczeciński;"Kurier Szczeciński" Sp. z o.o.;2017-04-01;10051
Nowa Trybuna Opolska;"Pro Media" Sp. z o.o.;2017-04-01;12478
Nowości - Dziennik Toruński;Polska Press Sp. z o.o.;2017-04-01;10197
Parkiet Gazeta Giełdy;Gremi Media S.A.;2017-04-01;4600
Polska Metropolia Warszawska;Polska Press Sp. z o.o.;2017-04-01;2996
Przegląd Sportowy;"Ringier Axel Springer Polska" Sp. z o.o.;2017-04-01;25782
Puls Biznesu;"Bonnier Business (Polska)" Sp. z o.o.;2017-04-01;12075
Rzeczpospolita;Gremi Media S.A.;2017-04-01;49576
Sport;"Ringier Axel Springer Polska" Sp. z o.o.;2017-04-01;4943
Super Express;ZPR Media SA;2017-04-01;133573
Super Nowości;Wydawnictwo Prasowe Super Nowości Sp. z.o.o.;2017-04-01;6982
Dziennik Bałtycki;Polska Press Sp. z o.o.;2017-05-01;17316
Dziennik Gazeta Prawna;Infor Biznes Sp. z o.o.;2017-05-01;45352
Dziennik Łódzki;Polska Press Sp. z o.o.;2017-05-01;17099
Dziennik Polski;Polska Press Sp. z o.o.;2017-05-01;14831
Dziennik Wschodni;Corner Media Sp. z o.o.;2017-05-01;4987
Dziennik Zachodni;Polska Press Sp. z o.o.;2017-05-01;31030
Echo Dnia;Polska Press Sp. z o.o.;2017-05-01;15870
Express Bydgoski;Polska Press Sp. z o.o.;2017-05-01;8640
Express Ilustrowany;Polska Press Sp. z o.o.;2017-05-01;20764
Fakt Gazeta Codzienna;"Ringier Axel Springer Polska" Sp. z o.o.;2017-05-01;259693
Gazeta Codzienna Nowiny;Polska Press Sp. z o.o.;2017-05-01;12175
Gazeta Krakowska;Polska Press Sp. z o.o.;2017-05-01;13720
Gazeta Lubuska;Polska Press Sp. z o.o.;2017-05-01;15635
Gazeta Olsztyńska / Dziennik Elbląski;Grupa WM Sp. z o.o. ;2017-05-01;9895
Gazeta Podatkowa;Wydawnictwo Podatkowe "Gofin" Sp. z o.o.;2017-05-01;24092
Gazeta Polska Codziennie;Forum SA;2017-05-01;18120
Gazeta Pomorska;Polska Press Sp. z o.o.;2017-05-01;32654
Gazeta Wrocławska;Polska Press Sp. z o.o.;2017-05-01;12381
Gazeta Współczesna;Polska Press Sp. z o.o.;2017-05-01;4848
Gazeta Wyborcza;Agora SA;2017-05-01;125037
Głos - Dziennik Pomorza;Polska Press Sp. z o.o.;2017-05-01;16483
Głos Wielkopolski;Polska Press Sp. z o.o.;2017-05-01;23889
Kurier Lubelski;Polska Press Sp. z o.o.;2017-05-01;3208
Kurier Poranny;Polska Press Sp. z o.o.;2017-05-01;4890
Kurier Szczeciński;"Kurier Szczeciński" Sp. z o.o.;2017-05-01;9346
Nowa Trybuna Opolska;"Pro Media" Sp. z o.o.;2017-05-01;12215
Nowości - Dziennik Toruński;Polska Press Sp. z o.o.;2017-05-01;9829
Parkiet Gazeta Giełdy;Gremi Media S.A.;2017-05-01;4610
Polska Metropolia Warszawska;Polska Press Sp. z o.o.;2017-05-01;2918
Przegląd Sportowy;"Ringier Axel Springer Polska" Sp. z o.o.;2017-05-01;25464
Puls Biznesu;"Bonnier Business (Polska)" Sp. z o.o.;2017-05-01;12117
Rzeczpospolita;Gremi Media S.A.;2017-05-01;49099
Sport;"Ringier Axel Springer Polska" Sp. z o.o.;2017-05-01;5263
Super Express;ZPR Media SA;2017-05-01;131354
Super Nowości;Wydawnictwo Prasowe Super Nowości Sp. z.o.o.;2017-05-01;6455
Dziennik Bałtycki;Polska Press Sp. z o.o.;2017-06-01;18477
Dziennik Gazeta Prawna;Infor Biznes Sp. z o.o.;2017-06-01;43882
Dziennik Łódzki;Polska Press Sp. z o.o.;2017-06-01;17753
Dziennik Polski;Polska Press Sp. z o.o.;2017-06-01;14789
Dziennik Wschodni;Corner Media Sp. z o.o.;2017-06-01;5335
Dziennik Zachodni;Polska Press Sp. z o.o.;2017-06-01;32151
Echo Dnia;Polska Press Sp. z o.o.;2017-06-01;15683
Express Bydgoski;Polska Press Sp. z o.o.;2017-06-01;9103
Express Ilustrowany;Polska Press Sp. z o.o.;2017-06-01;21678
Fakt Gazeta Codzienna;"Ringier Axel Springer Polska" Sp. z o.o.;2017-06-01;260021
Gazeta Codzienna Nowiny;Polska Press Sp. z o.o.;2017-06-01;12883
Gazeta Krakowska;Polska Press Sp. z o.o.;2017-06-01;13438
Gazeta Lubuska;Polska Press Sp. z o.o.;2017-06-01;15390
Gazeta Olsztyńska / Dziennik Elbląski;Grupa WM Sp. z o.o. ;2017-06-01;11064
Gazeta Podatkowa;Wydawnictwo Podatkowe "Gofin" Sp. z o.o.;2017-06-01;24111
Gazeta Polska Codziennie;Forum SA;2017-06-01;18136
Gazeta Pomorska;Polska Press Sp. z o.o.;2017-06-01;33121
Gazeta Wrocławska;Polska Press Sp. z o.o.;2017-06-01;12719
Gazeta Współczesna;Polska Press Sp. z o.o.;2017-06-01;5150
Gazeta Wyborcza;Agora SA;2017-06-01;127322
Głos - Dziennik Pomorza;Polska Press Sp. z o.o.;2017-06-01;16972
Głos Wielkopolski;Polska Press Sp. z o.o.;2017-06-01;24035
Kurier Lubelski;Polska Press Sp. z o.o.;2017-06-01;3342
Kurier Poranny;Polska Press Sp. z o.o.;2017-06-01;4482
Kurier Szczeciński;"Kurier Szczeciński" Sp. z o.o.;2017-06-01;10025
Nowa Trybuna Opolska;"Pro Media" Sp. z o.o.;2017-06-01;11834
Nowości - Dziennik Toruński;Polska Press Sp. z o.o.;2017-06-01;10092
Parkiet Gazeta Giełdy;Gremi Media S.A.;2017-06-01;4083
Polska Metropolia Warszawska;Polska Press Sp. z o.o.;2017-06-01;2747
Przegląd Sportowy;"Ringier Axel Springer Polska" Sp. z o.o.;2017-06-01;26101
Puls Biznesu;"Bonnier Business (Polska)" Sp. z o.o.;2017-06-01;12217
Rzeczpospolita;Gremi Media S.A.;2017-06-01;48899
Sport;"Ringier Axel Springer Polska" Sp. z o.o.;2017-06-01;4877
Super Express;ZPR Media SA;2017-06-01;128929
Super Nowości;Wydawnictwo Prasowe Super Nowości Sp. z.o.o.;2017-06-01;6696
Dziennik Bałtycki;Polska Press Sp. z o.o.;2017-07-01;16296
Dziennik Gazeta Prawna;Infor Biznes Sp. z o.o.;2017-07-01;42768
Dziennik Łódzki;Polska Press Sp. z o.o.;2017-07-01;15359
Dziennik Polski;Polska Press Sp. z o.o.;2017-07-01;13488
Dziennik Wschodni;Corner Media Sp. z o.o.;2017-07-01;4680
Dziennik Zachodni;Polska Press Sp. z o.o.;2017-07-01;27186
Echo Dnia;Polska Press Sp. z o.o.;2017-07-01;13289
Express Bydgoski;Polska Press Sp. z o.o.;2017-07-01;8054
Express Ilustrowany;Polska Press Sp. z o.o.;2017-07-01;18863
Fakt Gazeta Codzienna;"Ringier Axel Springer Polska" Sp. z o.o.;2017-07-01;252577
Gazeta Codzienna Nowiny;Polska Press Sp. z o.o.;2017-07-01;11323
Gazeta Krakowska;Polska Press Sp. z o.o.;2017-07-01;12412
Gazeta Lubuska;Polska Press Sp. z o.o.;2017-07-01;15631
Gazeta Olsztyńska / Dziennik Elbląski;Grupa WM Sp. z o.o. ;2017-07-01;9602
Gazeta Podatkowa;Wydawnictwo Podatkowe "Gofin" Sp. z o.o.;2017-07-01;23321
Gazeta Polska Codziennie;Forum SA;2017-07-01;18530
Gazeta Pomorska;Polska Press Sp. z o.o.;2017-07-01;31154
Gazeta Wrocławska;Polska Press Sp. z o.o.;2017-07-01;11350
Gazeta Współczesna;Polska Press Sp. z o.o.;2017-07-01;4605
Gazeta Wyborcza;Agora SA;2017-07-01;122787
Głos - Dziennik Pomorza;Polska Press Sp. z o.o.;2017-07-01;16103
Głos Wielkopolski;Polska Press Sp. z o.o.;2017-07-01;21788
Kurier Lubelski;Polska Press Sp. z o.o.;2017-07-01;2993
Kurier Poranny;Polska Press Sp. z o.o.;2017-07-01;4125
Kurier Szczeciński;"Kurier Szczeciński" Sp. z o.o.;2017-07-01;9152
Nowa Trybuna Opolska;"Pro Media" Sp. z o.o.;2017-07-01;10512
Nowości - Dziennik Toruński;Polska Press Sp. z o.o.;2017-07-01;9342
Parkiet Gazeta Giełdy;Gremi Media S.A.;2017-07-01;4478
Polska Metropolia Warszawska;Polska Press Sp. z o.o.;2017-07-01;2766
Przegląd Sportowy;"Ringier Axel Springer Polska" Sp. z o.o.;2017-07-01;29872
Puls Biznesu;"Bonnier Business (Polska)" Sp. z o.o.;2017-07-01;10224
Rzeczpospolita;Gremi Media S.A.;2017-07-01;48887
Sport;"Ringier Axel Springer Polska" Sp. z o.o.;2017-07-01;5138
Super Express;ZPR Media SA;2017-07-01;128213
Super Nowości;Wydawnictwo Prasowe Super Nowości Sp. z.o.o.;2017-07-01;5957
Dziennik Bałtycki;Polska Press Sp. z o.o.;2017-08-01;16890
Dziennik Gazeta Prawna;Infor Biznes Sp. z o.o.;2017-08-01;40376
Dziennik Łódzki;Polska Press Sp. z o.o.;2017-08-01;15396
Dziennik Polski;Polska Press Sp. z o.o.;2017-08-01;13482
Dziennik Wschodni;Corner Media Sp. z o.o.;2017-08-01;4645
Dziennik Zachodni;Polska Press Sp. z o.o.;2017-08-01;27080
