year;Action;Adult;Adventure;Biography;Comedy;Crime;Drama;Family;Fantasy;Film-Noir;Game-Show;History;Horror;Music;Musical;Mystery;Reality-TV;Romance;Sci-Fi;Sport;Talk-Show;Thriller;War;Western;\N;Total
1933;66;;64;8;399;114;706;6;14;1;;13;17;21;85;53;;215;9;11;;15;30;52;443;2342
1934;72;1;88;14;415;113;727;12;14;1;;22;16;28;119;67;;251;7;10;;15;14;49;462;2517
1935;143;;112;11;439;136;703;16;20;2;;21;19;40;124;66;;271;10;11;;21;14;105;447;2731
1936;116;;112;17;503;174;753;26;12;5;;36;18;43;131;67;;243;12;13;;24;21;93;457;2876
1937;142;;129;14;502;171;748;27;12;9;;35;7;61;130;56;;299;5;17;;25;38;94;393;2914
1938;125;;129;16;478;162;759;26;10;4;;34;3;59;117;68;;259;8;20;;16;49;76;398;2816
1939;138;1;135;25;429;178;711;32;16;8;;34;26;54;91;64;;191;7;10;;20;40;97;388;2695
1940;96;;120;30;417;108;639;27;27;8;;30;17;46;88;52;;189;8;14;;19;39;100;428;2502
1941;109;;121;14;460;98;515;27;18;13;;26;18;59;99;63;;186;7;10;;26;49;91;324;2333
1942;129;;131;22;405;111;531;23;9;22;;34;17;75;70;62;;173;4;9;;38;112;78;323;2378
1943;79;;92;15;355;69;470;20;14;9;;24;19;63;91;47;;142;4;4;;34;120;79;295;2045
1944;91;;97;16;290;77;425;23;23;25;;22;23;65;99;47;;148;7;3;;19;91;63;256;1910
1945;54;;59;15;262;84;408;17;23;38;;15;18;57;75;58;;124;6;1;;28;63;70;248;1723
1946;89;;75;16;272;128;544;22;23;57;;15;17;57;88;66;;143;2;1;;23;61;85;279;2063
1947;116;;102;18;282;146;613;41;25;65;;25;7;53;79;59;;150;3;11;;22;33;78;299;2227
1948;108;1;84;15;285;133;652;25;24;54;;22;16;41;69;57;;155;4;12;;31;44;99;372;2303
1949;104;;103;27;344;168;739;35;30;64;;29;15;36;95;34;;177;4;13;;34;50;97;383;2581
1950;112;;117;18;362;197;767;38;32;66;;30;6;29;94;40;;142;6;15;;33;50;122;369;2645
1951;90;;111;21;398;157;827;48;36;51;;33;14;36;118;28;;199;20;17;;40;64;104;299;2711
1952;106;;141;34;439;129;791;34;40;33;;35;9;40;109;37;;191;12;12;1;40;49;100;399;2781
1953;107;;141;34;434;144;830;56;37;31;;43;20;40;116;37;;204;23;13;;36;57;81;424;2908
1954;93;;143;26;394;155;908;64;51;28;;41;21;33;108;41;;234;24;8;;44;50;67;427;2960
1955;107;;129;35;427;169;874;59;51;51;;49;18;26;105;35;;246;19;11;;30;61;75;440;3017
1956;127;;120;29;445;160;958;57;45;48;;42;31;40;129;27;;250;31;12;;41;64;75;499;3230
1957;162;;126;33;469;217;1031;69;72;40;;35;63;24;124;45;;233;37;9;;65;66;82;428;3430
1958;143;;140;27;519;208;1033;81;47;26;;37;69;26;128;50;;303;48;6;;67;90;65;444;3557
1959;171;;150;28;497;206;1008;70;48;;;43;58;19;131;66;;273;35;5;;84;104;51;486;3533
1960;195;1;129;29;512;276;1076;86;52;;;40;63;19;121;50;;270;23;5;;69;92;61;477;3646
1961;212;;186;19;502;207;1067;87;57;;;48;49;18;110;51;;269;27;5;;93;101;62;506;3676
1962;236;;218;19;540;203;1117;83;53;;;41;56;27;120;68;;256;30;4;;74;92;62;433;3732
1963;233;1;161;16;554;201;1021;82;50;;;39;67;16;115;58;;237;27;10;;65;87;48;477;3565
1964;299;3;214;13;580;234;1054;71;69;;;48;62;18;144;72;;274;26;11;;90;97;82;522;3983
1965;324;7;228;22;534;205;1095;67;57;;;43;65;22;120;64;;312;42;10;;103;123;107;723;4273
1966;361;3;261;17;546;263;1146;85;66;;;43;59;14;133;59;;320;48;11;;89;95;136;649;4404
1967;307;1;272;15;538;306;1168;79;56;;;40;61;28;151;65;;307;45;7;;133;81;106;683;4449
1968;288;8;248;17;582;265;1308;74;68;;;37;86;9;112;64;;350;41;14;;114;110;119;908;4822
1969;421;18;249;23;591;305;1468;81;78;;;51;65;19;111;58;;353;42;8;;107;105;97;816;5066
1970;346;112;264;29;657;244;1412;93;88;;;44;103;27;117;54;;365;36;14;;111;107;94;907;5224
1971;325;233;237;27;624;261;1335;78;72;;;60;136;17;94;73;1;304;40;10;;143;73;117;964;5224
1972;371;166;230;28;634;298;1324;132;75;;1;54;151;17;97;80;;297;41;33;1;158;60;117;843;5208
1973;441;205;196;34;609;339;1312;110;78;;;64;152;25;65;52;;249;45;51;;170;69;76;827;5169
1974;413;191;198;26;638;297;1295;113;84;;;43;152;19;73;57;;294;38;36;;165;63;36;760;4991
1975;342;291;209;34;725;256;1223;150;61;;1;39;129;32;70;79;;252;40;47;;149;76;59;879;5143
1976;370;310;177;27;688;277;1233;138;67;;1;41;112;20;64;55;;260;36;90;;138;66;40;872;5082
1977;435;262;184;37;568;251;1242;131;74;;;40;102;23;55;59;;230;54;131;;140;59;22;912;5011
1978;413;298;168;22;565;214;1296;145;74;;;41;94;24;70;68;1;249;63;72;;134;54;23;981;5069
1979;501;260;192;39;644;211;1324;125;81;;;49;93;37;67;58;1;257;115;46;;109;69;28;1055;5361
1980;509;252;145;43;629;195;1320;109;82;;1;54;134;35;84;67;;246;123;33;1;153;70;14;910;5209
1981;476;353;187;37;646;186;1316;156;92;;;53;153;33;79;73;;258;120;34;;141;75;15;841;5324
1982;519;286;177;35;648;196;1332;224;108;;;36;151;29;71;65;1;254;112;43;;147;64;17;846;5361
1983;535;401;189;37;650;192;1377;192;105;;;47;124;67;81;68;1;277;131;57;1;152;88;10;924;5706
1984;508;579;181;31;699;220;1393;169;110;;2;44;121;75;63;72;;269;116;89;;162;70;14;983;5970
1985;527;811;201;43;812;242;1403;146;139;;2;34;143;73;67;79;3;309;124;68;;160;94;15;1018;6513
1986;600;731;222;39;916;274;1505;179;150;;;37;165;77;63;69;1;322;142;102;;195;79;18;912;6798
1987;680;646;239;36;1011;298;1583;148;167;;;48;213;80;63;84;2;311;151;92;;233;76;10;935;7106
1988;743;730;228;43;910;289;1515;132;177;;1;44;271;69;65;104;2;354;156;117;2;256;82;9;936;7235
1989;774;823;249;44;908;330;1476;128;165;;2;48;279;75;45;97;;316;160;106;1;286;84;9;932;7337
1990;839;968;245;40;799;338;1422;149;181;;2;44;252;77;52;87;3;282;158;106;1;300;77;14;1223;7659
1991;795;986;239;42;812;300;1436;145;218;;;49;193;112;47;98;;322;162;120;;278;57;19;1202;7632
1992;829;1404;244;31;842;303;1356;125;189;;2;40;195;117;42;92;2;371;157;126;;273;54;16;1322;8132
1993;769;1642;312;59;793;338;1388;174;218;;1;55;178;110;51;95;2;353;166;107;1;307;51;15;1365;8550
1994;803;1644;331;48;826;305;1384;182;211;;4;39;168;88;49;118;1;346;185;119;2;279;43;27;1297;8499
1995;819;1647;350;58;808;313;1395;186;196;;8;46;211;93;53;129;5;378;199;95;2;310;61;22;1365;8749
1996;758;1348;353;48;903;310;1393;202;190;;7;43;201;93;43;130;2;382;192;88;2;302;51;9;1366;8416
1997;758;1477;344;47;985;307;1543;189;178;;1;56;207;93;41;125;7;428;193;79;;316;43;5;1293;8715
1998;759;1663;396;30;1011;342;1602;209;196;;4;39;258;119;40;137;7;504;188;92;9;329;51;16;1346;9347
1999;836;1894;392;45;1080;338;1682;228;207;;2;59;290;122;46;122;6;508;166;102;3;393;51;15;1401;9988
2000;868;2269;458;58;1114;404;1783;242;236;;6;50;360;137;74;152;4;556;170;135;1;419;47;13;1252;10808
2001;956;2464;456;44;1227;415;1976;249;271;;6;39;346;177;76;179;8;623;179;152;;425;54;12;1312;11646
2002;1025;2731;511;56;1315;426;2236;239;312;;1;49;402;205;90;203;5;722;192;162;4;435;54;14;1244;12633
2003;1048;3545;513;45;1559;411;2434;258;279;;5;57;440;288;87;193;12;713;174;169;4;506;62;17;885;13704
2004;1004;4371;454;71;1529;412;2750;216;283;;9;49;529;377;103;248;21;735;190;208;9;508;79;16;739;14910
2005;1079;4777;504;81;1757;458;3189;263;318;;7;87;657;459;117;277;43;741;212;288;6;556;70;27;814;16787
2006;1019;4722;510;98;1946;530;3564;290;367;;17;114;782;454;133;286;29;810;206;323;25;604;70;20;862;17781
2007;1021;4716;464;122;2038;611;3703;295;403;;7;123;852;427;133;306;30;862;275;356;21;593;91;30;999;18478
2008;1117;4331;583;124;2288;611;4088;389;472;;10;130;918;402;149;340;37;954;294;368;8;689;92;28;960;19382
2009;1488;3581;848;205;3150;906;5167;664;763;;11;213;1188;498;190;591;29;1301;464;346;16;833;100;30;782;23364
2010;1795;3258;998;241;3821;1009;6078;881;1081;;15;304;1401;614;271;889;25;1821;724;282;17;902;91;41;717;27276
2011;1770;2964;993;255;3867;986;6282;976;1188;;8;303;1467;689;257;918;29;1922;753;239;20;974;109;40;774;27783
2012;1807;3054;1036;282;4022;962;6569;1080;1218;;7;365;1580;670;265;1013;32;1990;836;238;16;1056;97;39;684;28918
2013;1988;2991;1144;379;4320;1094;7247;1258;1327;;11;333;1603;733;279;1090;29;2289;959;242;20;1284;80;40;711;31451
2014;2059;2893;1125;328;4521;1153;7345;1275;1312;;10;396;1737;722;292;1104;29;2405;1004;219;27;1335;108;58;778;32235
2015;2066;2666;1136;309;4122;1246;7339;1022;1227;;6;333;1731;572;222;1111;43;2092;840;222;38;1339;109;46;948;30785
2016;2245;1809;1203;353;4099;1335;7513;958;1305;;13;303;1861;478;233;1153;30;1961;832;227;25;1422;111;43;1185;30697
2017;2048;1279;1099;327;3849;1144;7322;961;1110;;20;297;1886;499;240;1144;27;1646;805;245;60;1416;108;57;936;28525
2018;1755;888;1027;308;3764;1038;7203;778;1047;;24;312;1826;388;225;897;34;1564;748;230;64;1613;105;52;756;26646
\N;7491;387;3102;1562;9421;3143;20048;1316;2296;;4;944;6481;420;447;1659;27;2637;3489;477;9;8711;619;503;2253;77446
