teryt;exteryt;bb;center
021103;2;51.432553,16.177917 51.612394,16.482172;51.5224735,16.3300445
021907;2;50.711235,16.332294 50.905245,16.605681;50.80824,16.4689875
021102;2;51.270587,16.004143 51.471704,16.355179;51.3711455,16.179661
021908;3;50.892129,16.423223 51.003248,16.630250;50.9476885,16.5267365
021104;3;51.293699,16.308570 51.490291,16.476860;51.391995,16.392715
021202;3;50.937634,15.444598 51.073485,15.650067;51.0055595,15.5473325
022003;3;51.239580,16.982979 51.469890,17.221312;51.354735,17.1021455
021201;3;50.967841,15.375691 51.120657,15.504046;51.044249,15.4398685
022001;3;51.196890,16.777447 51.361399,17.002819;51.2791445,16.890133
021203;3;51.044693,15.443262 51.199301,15.761442;51.121997,15.602352
022002;3;51.322335,16.768008 51.458039,17.059924;51.390187,16.913966
021204;3;50.831886,15.277195 51.006058,15.526394;50.918972,15.4017945
021205;3;50.949319,15.579186 51.065156,15.765490;51.0072375,15.672338
020803;1;50.406922,16.195576 50.484674,16.342050;50.445798,16.268813
020801;1;50.319189,16.351068 50.421533,16.412628;50.370361,16.381848
020802;1;50.400977,16.603974 50.466425,16.694095;50.433701,16.6490345
020805;1;50.371892,16.467731 50.425907,16.531214;50.3988995,16.4994725
020804;1;50.523802,16.460259 50.623198,16.579227;50.5735,16.519743
020807;2;50.332201,16.521965 50.561829,16.815093;50.447015,16.668529
020806;3;50.194995,16.436487 50.379552,16.837567;50.2872735,16.637027
020809;2;50.367444,16.237095 50.462412,16.369132;50.414928,16.3031135
020808;3;50.289286,16.744505 50.409175,16.939320;50.3492305,16.8419125
020813;3;50.196963,16.802995 50.324377,17.028314;50.26067,16.9156545
020301;1;51.632066,15.934872 51.708290,16.152271;51.670178,16.0435715
020811;2;50.496941,16.377820 50.681102,16.636725;50.5890215,16.5072725
020305;2;51.595778,16.167577 51.695887,16.355453;51.6458325,16.261515
020810;3;50.096583,16.554391 50.245533,16.836086;50.171058,16.6952385
020303;2;51.537883,15.962617 51.653747,16.109895;51.595815,16.036256
020812;3;50.446646,16.294716 50.579570,16.567113;50.513108,16.4309145
020304;2;51.677254,15.912931 51.804754,16.177830;51.741004,16.0453805
020306;2;51.609656,15.834259 51.730350,16.037285;51.670003,15.935772
020402;2;51.498959,16.385179 51.627934,16.644868;51.5634465,16.5150235
020401;3;51.567122,16.408875 51.788011,16.685001;51.6775665,16.546938
020403;2;51.608363,16.267804 51.782312,16.478252;51.6953375,16.373028
020404;3;51.485407,16.586026 51.648567,16.828717;51.566987,16.7073715
020608;2;50.754736,15.620022 50.873247,15.797607;50.8139915,15.7088145
020604;1;50.775794,15.366177 50.853008,15.566669;50.814401,15.466423
020602;1;50.742721,15.791700 50.814725,15.893832;50.778723,15.842766
020601;1;50.735943,15.680274 50.791791,15.808323;50.763867,15.7442985
022503;3;50.862082,14.817458 51.033658,15.021714;50.94787,14.919586
020603;1;50.776117,15.534677 50.879360,15.640634;50.8277385,15.5876555
022501;1;51.011642,15.019880 51.037367,15.070664;51.0245045,15.045272
022502;1;51.119706,14.990525 51.183843,15.043719;51.1517745,15.017122
022505;2;50.990142,14.983514 51.133328,15.168249;51.061735,15.0758815
022504;3;51.187013,14.965036 51.363905,15.221041;51.275459,15.0930385
022506;3;51.220227,14.990542 51.464033,15.339877;51.34213,15.1652095
022507;2;51.009214,14.948113 51.216244,15.212501;51.112729,15.080307
022406;3;50.463291,16.910828 50.700906,17.164896;50.5820985,17.037862
022404;2;50.527475,16.579423 50.667663,16.773707;50.597569,16.676565
022403;2;50.473300,16.794232 50.569000,17.026370;50.52115,16.910301
022405;3;50.527086,16.735953 50.669553,16.932569;50.5983195,16.834261
020102;2;51.175601,15.435787 51.466225,15.667149;51.320913,15.551468
020101;1;51.226376,15.501076 51.297962,15.602184;51.262169,15.55163
020103;2;51.283835,15.616778 51.517392,15.858353;51.4006135,15.7375655
020106;2;51.159265,15.622624 51.314714,15.777385;51.2369895,15.7000045
020104;3;51.112362,15.205959 51.282261,15.496663;51.1973115,15.351311
020105;2;51.258337,15.249757 51.531046,15.595944;51.3946915,15.4228505
022005;2;51.266458,17.098293 51.398270,17.340647;51.332364,17.21947
021802;2;51.111045,16.441842 51.231270,16.559819;51.1711575,16.5008305
022004;2;51.162788,16.937513 51.287954,17.123357;51.225371,17.030435
021801;2;50.991035,16.503659 51.122353,16.785641;51.056694,16.64465
022006;3;51.401718,16.759328 51.581017,17.110274;51.4913675,16.934801
021803;2;51.092712,16.674937 51.261342,16.905080;51.177027,16.7900085
022106;3;50.627205,16.104430 50.728194,16.313916;50.6776995,16.209173
021804;3;51.080644,16.460672 51.251417,16.713922;51.1660305,16.587297
022102;1;50.702649,16.291725 50.745722,16.387390;50.7241855,16.3395575
021805;2;50.998143,16.331656 51.117939,16.555329;51.058041,16.4434925
022101;1;50.719996,16.154928 50.790068,16.256081;50.755032,16.2055045
021303;3;51.391781,16.989485 51.621610,17.572734;51.5066955,17.2811095
022104;2;50.702818,16.067573 50.827489,16.207135;50.7651535,16.137354
021301;2;51.564865,17.208318 51.647915,17.478384;51.60639,17.343351
022103;1;50.766987,16.189996 50.823479,16.280630;50.795233,16.235313
021601;3;51.326293,15.815995 51.517635,16.108570;51.421964,15.9622825
021302;2;51.367788,17.249431 51.521478,17.545881;51.444633,17.397656
022105;3;50.636541,16.270359 50.715852,16.457809;50.6761965,16.364084
021603;2;51.522037,16.081805 51.634333,16.327718;51.578185,16.2047615
021401;1;51.181512,17.330293 51.239506,17.441794;51.210509,17.3860435
022108;2;50.660253,16.327203 50.793250,16.492923;50.7267515,16.410063
021602;2;51.572744,15.815812 51.673356,15.972089;51.62305,15.8939505
021403;2;51.223487,17.238237 51.373284,17.446074;51.2983855,17.3421555
022107;2;50.771375,16.067670 50.887132,16.282821;50.8292535,16.1752455
021605;3;51.440545,15.702774 51.577686,15.933496;51.5091155,15.818135
021402;3;51.051527,17.392195 51.231561,17.611502;51.141544,17.5018485
021404;2;51.160815,17.588574 51.271322,17.795269;51.2160685,17.6919215
026501;1;50.716093,16.227529 50.854118,16.355270;50.7851055,16.2913995
021604;3;51.433494,15.950108 51.563008,16.211822;51.498251,16.080965
021405;3;51.340434,17.541994 51.423456,17.755912;51.381945,17.648953
022202;2;51.373002,16.438416 51.517775,16.798129;51.4453885,16.6182725
021606;2;51.503655,15.850615 51.618406,16.019019;51.5610305,15.934817
022201;3;51.239914,16.575740 51.354935,16.812323;51.2974245,16.6940315
021702;2;50.699562,16.857894 50.834423,17.012061;50.7669925,16.9349775
021701;2;50.794308,16.901518 50.920432,17.111669;50.85737,17.0065935
021704;3;50.685010,16.951097 50.854509,17.199227;50.7697595,17.075162
021703;2;50.613223,17.064894 50.752188,17.259077;50.6827055,17.1619855
021705;3;50.713072,17.123479 50.877023,17.354658;50.7950475,17.2390685
020814;3;50.317940,16.320121 50.480534,16.540689;50.399237,16.430405
021902;1;50.839123,16.272292 50.905809,16.404816;50.872466,16.338554
020904;2;51.176286,16.184253 51.296386,16.364312;51.236336,16.2742825
020902;2;51.204087,15.742374 51.383626,16.073457;51.2938565,15.9079155
020901;1;51.260537,15.910960 51.283891,15.960494;51.272214,15.935727
020903;2;51.099365,16.017364 51.208981,16.168221;51.154173,16.0927925
020906;2;51.200911,16.009197 51.302627,16.197249;51.251769,16.103223
020905;2;51.098913,16.152033 51.196284,16.328333;51.1475985,16.240183
020908;2;51.125068,16.307258 51.214954,16.467406;51.170011,16.387332
020907;3;51.207658,16.303543 51.332436,16.472971;51.270047,16.388257
021005;3;51.017904,15.300778 51.101213,15.417518;51.0595585,15.359148
021001;1;51.091800,15.245471 51.137582,15.316254;51.114691,15.2808625
021003;3;50.929474,15.171552 51.070529,15.392460;51.0000015,15.282006
021002;1;50.890612,15.266937 50.943292,15.379567;50.916952,15.323252
021004;2;51.065162,15.180998 51.199509,15.436373;51.1323355,15.3086855
020606;2;50.909469,15.633367 51.013184,15.836494;50.9613265,15.7349305
020605;2;50.834695,15.833763 50.950241,15.961978;50.892468,15.8978705
020607;2;50.792656,15.744178 50.902622,15.927704;50.847639,15.835941
020609;2;50.845130,15.439173 50.952907,15.665922;50.8990185,15.5525475
020501;1;51.035974,16.141115 51.099396,16.229067;51.067685,16.185091
020503;2;50.990843,15.932950 51.136668,16.197186;51.0637555,16.065068
020502;3;50.852741,15.929791 50.992373,16.204282;50.922557,16.0670365
020505;2;50.943981,16.021512 51.052305,16.240363;50.998143,16.1309375
022605;2;51.146495,15.740635 51.262257,15.958729;51.204376,15.849682
020504;2;51.002166,16.177775 51.114973,16.346593;51.0585695,16.262184
022603;2;51.036748,15.696558 51.173572,15.882484;51.10516,15.789521
020506;2;51.057922,16.255186 51.149512,16.480191;51.103717,16.3676885
022601;1;50.920320,15.874943 50.991546,15.981654;50.955933,15.9282985
020704;2;50.802023,15.941398 50.913460,16.122548;50.8577415,16.031973
022602;1;51.102694,15.886620 51.142074,15.950496;51.122384,15.918558
020702;2;50.669526,15.859248 50.838961,16.179514;50.7542435,16.019381
022604;3;50.933151,15.721096 51.097504,16.001415;51.0153275,15.8612555
020701;1;50.761304,15.984855 50.808074,16.082576;50.784689,16.0337155
022606;2;51.065846,15.836245 51.227210,16.063086;51.146528,15.9496655
020703;3;50.598623,15.829938 50.761097,16.109568;50.67986,15.969753
026201;1;51.160616,16.083463 51.248847,16.233160;51.2047315,16.1583115
026101;1;50.767774,15.577867 50.932555,15.877162;50.8501645,15.7275145
026401;1;51.042775,16.807413 51.209458,17.176219;51.1261165,16.991816
020203;3;50.648606,16.479584 50.758685,16.627985;50.7036455,16.5537845
020201;1;50.636389,16.536642 50.714554,16.669010;50.6754715,16.602826
020202;1;50.700225,16.604455 50.758132,16.690166;50.7291785,16.6473105
020205;2;50.624973,16.547988 50.826762,16.773273;50.7258675,16.6606305
020204;1;50.658319,16.715314 50.707434,16.794692;50.6828765,16.755003
020206;2;50.740918,16.662063 50.844971,16.904177;50.7929445,16.78312
020207;3;50.660110,16.725854 50.770744,16.895113;50.715427,16.8104835
040108;2;52.768403,18.776385 52.839717,18.938538;52.80406,18.8574615
040201;1;53.222122,19.356845 53.293801,19.456109;53.2579615,19.406477
040203;2;53.162540,19.275234 53.319079,19.531491;53.2408095,19.4033625
040202;2;53.197458,19.113839 53.334458,19.377643;53.265958,19.245741
040204;2;53.263118,19.471626 53.344606,19.729744;53.303862,19.600685
040209;2;53.080306,19.446170 53.180894,19.711956;53.1306,19.579063
040205;3;53.125617,19.539440 53.246601,19.761595;53.186109,19.6505175
040206;2;53.172771,19.464255 53.285326,19.693177;53.2290485,19.578716
040207;3;53.318872,19.084020 53.459365,19.320011;53.3891185,19.2020155
040208;2;53.106168,19.318541 53.208824,19.485794;53.157496,19.4021675
041808;3;52.331783,18.677067 52.465327,18.930049;52.398555,18.803558
041809;2;52.453765,19.051206 52.610817,19.280880;52.532291,19.166043
041812;3;52.440701,18.726897 52.595631,18.973233;52.518166,18.850065
041811;3;52.340789,19.067351 52.479831,19.297972;52.41031,19.1826615
041813;2;52.538416,18.928200 52.655926,19.426105;52.597171,19.1771525
041904;3;52.884293,17.779195 53.042988,18.015743;52.9636405,17.897469
041902;2;52.696247,17.678127 52.825002,17.918719;52.7606245,17.798423
041901;3;52.796721,17.823124 52.917909,18.070491;52.857315,17.9468075
041903;3;52.672530,17.404394 52.862071,17.621487;52.7673005,17.5129405
041906;3;52.785802,17.512544 52.924664,17.921261;52.855233,17.7169025
041905;2;52.601664,17.545707 52.807957,17.815452;52.7048105,17.6805795
041410;2;53.366889,18.034084 53.470018,18.177729;53.4184535,18.1059065
041409;3;53.297525,18.287006 53.495535,18.618388;53.39653,18.452697
041411;2;53.522986,18.396804 53.704033,18.717595;53.6135095,18.5571995
041504;2;52.947866,18.677291 53.133217,18.864797;53.0405415,18.771044
041502;2;53.120642,18.471997 53.262953,18.803537;53.1917975,18.637767
041501;1;53.169308,18.580159 53.215464,18.637467;53.192386,18.608813
041503;2;52.830455,18.831192 53.005852,19.094329;52.9181535,18.9627605
041508;2;52.858144,18.361337 53.039500,18.722577;52.948822,18.541957
041506;2;53.043037,18.474929 53.156142,18.795119;53.0995895,18.635024
041505;2;53.080325,18.409394 53.201688,18.561308;53.1410065,18.485351
041507;2;52.893577,18.710069 53.060769,18.961008;52.977173,18.8355385
041509;2;53.015514,18.144872 53.183250,18.524452;53.099382,18.334662
041602;2;53.415592,17.719600 53.574175,17.900311;53.4948835,17.8099555
041601;2;53.465518,17.875387 53.671252,18.226677;53.568385,18.051032
041604;2;53.381877,17.879624 53.541107,18.102820;53.461492,17.991222
041603;2;53.499255,17.602173 53.658107,17.812315;53.578681,17.707244
041605;2;53.619678,18.025184 53.781075,18.276394;53.7003765,18.150789
041105;3;52.461560,18.375881 52.599680,18.642308;52.53062,18.5090945
041107;2;52.421531,18.592740 52.580234,18.758314;52.5008825,18.675527
041005;3;52.910653,17.563325 53.113949,17.878377;53.012301,17.720851
041002;3;53.180533,17.412663 53.294901,17.706855;53.237717,17.559759
041001;3;52.894874,17.302322 53.110410,17.613000;53.002642,17.457661
041004;2;53.087205,17.320543 53.232214,17.534497;53.1597095,17.42752
041003;3;53.071888,17.506889 53.211986,17.790359;53.141937,17.648624
041206;2;53.074852,19.186134 53.217354,19.368385;53.146103,19.2772595
041202;2;52.992395,19.180026 53.116707,19.339266;53.054551,19.259646
041201;1;53.042806,19.385979 53.083331,19.455439;53.0630685,19.420709
041204;2;52.981822,19.309884 53.116360,19.567455;53.049091,19.4386695
041203;2;52.927793,19.257112 53.034101,19.575662;52.980947,19.416387
041205;2;52.955622,19.497741 53.118227,19.690281;53.0369245,19.594011
040506;2;52.960748,19.007689 53.059104,19.238995;53.009926,19.123342
040604;3;53.332036,18.810292 53.430745,19.062373;53.3813905,18.9363325
040602;2;53.388687,18.827457 53.515312,19.071551;53.4519995,18.949504
040603;3;53.456985,18.975036 53.598096,19.219655;53.5275405,19.0973455
040606;2;53.378247,19.015849 53.501589,19.236643;53.439918,19.126246
040605;2;53.497208,18.800591 53.604683,19.061220;53.5509455,18.9309055
040703;3;52.812989,18.287468 52.955807,18.564749;52.884398,18.4261085
040701;1;52.743734,18.207166 52.819656,18.293228;52.781695,18.250197
040702;2;52.709265,18.355942 52.842242,18.625150;52.7757535,18.490546
040705;3;52.672930,17.997630 52.777213,18.205516;52.7250715,18.101573
040704;2;52.707408,18.138724 52.883200,18.414808;52.795304,18.276766
040210;2;53.287127,19.247783 53.412641,19.526587;53.349884,19.387185
040304;3;53.202257,17.687345 53.443253,18.083789;53.322755,17.885567
040302;2;53.103558,18.135238 53.245824,18.353532;53.174691,18.244385
040301;2;53.030275,17.777825 53.142852,18.027874;53.0865635,17.9028495
040303;2;53.194369,18.046818 53.346155,18.279668;53.270262,18.163243
040306;2;53.162250,17.930773 53.270666,18.179851;53.216458,18.055312
040305;2;52.940198,17.959354 53.090695,18.257487;53.0154465,18.1084205
040307;2;53.139705,17.668997 53.295682,17.958395;53.2176935,17.813696
040308;3;52.970382,18.099222 53.098767,18.407412;53.0345745,18.253317
040501;1;53.094060,19.030500 53.130403,19.077774;53.1122315,19.054137
040107;2;52.818268,18.754104 52.883336,18.886011;52.850802,18.8200575
040503;2;53.031784,18.948783 53.237677,19.253913;53.1347305,19.101348
040103;1;52.819011,18.863682 52.860238,18.909186;52.8396245,18.886434
040502;2;52.973795,18.811225 53.115902,19.031062;53.0448485,18.9211435
040101;1;52.854916,18.677276 52.897988,18.723605;52.876452,18.7004405
040505;2;53.036655,19.090892 53.152777,19.256858;53.094716,19.173875
040504;3;53.080866,18.727404 53.210733,19.014037;53.1457995,18.8707205
041606;3;53.546413,17.733516 53.759628,18.055963;53.6530205,17.8947395
041701;1;53.260374,18.916357 53.296337,18.988430;53.2783555,18.9523935
041705;2;53.183307,18.761592 53.348188,19.064252;53.2657475,18.912922
041703;2;53.265985,18.970314 53.392698,19.158239;53.3293415,19.0642765
041702;2;53.172055,18.982728 53.287777,19.143398;53.229916,19.063063
041704;2;53.245345,18.694741 53.387504,18.894141;53.3164245,18.794441
046101;1;53.050110,17.874235 53.209344,18.202103;53.129727,18.038169
046201;1;53.420766,18.686274 53.524083,18.870909;53.4724245,18.7785915
041803;2;52.396751,18.802861 52.520099,18.961070;52.458425,18.8819655
046301;1;52.963074,18.460667 53.065898,18.742230;53.014486,18.6014485
041801;1;52.516878,19.128072 52.547914,19.162058;52.532396,19.145065
046401;1;52.594790,18.939054 52.735971,19.182608;52.6653805,19.060831
041802;2;52.438463,19.199404 52.574963,19.395674;52.506713,19.297539
040401;1;53.330062,18.377962 53.374740,18.472961;53.352401,18.4254615
041805;2;52.441144,18.945992 52.553785,19.112086;52.4974645,19.029039
040405;2;53.216390,18.471400 53.297052,18.676094;53.256721,18.573747
041804;3;52.549528,18.752039 52.706602,19.036108;52.628065,18.8940735
040403;2;53.193351,18.362927 53.334108,18.517497;53.2637295,18.440212
041806;3;52.330636,18.913917 52.457041,19.135566;52.3938385,19.0247415
040404;2;53.241165,18.556950 53.350935,18.740757;53.29605,18.6488535
040407;2;53.169775,18.267172 53.283091,18.468025;53.226433,18.3675985
040406;2;53.281347,18.450439 53.397862,18.728137;53.3396045,18.589288
041303;2;53.274505,17.548757 53.449770,17.770041;53.3621375,17.659399
041301;3;53.477106,17.401394 53.617751,17.656698;53.5474285,17.529046
041302;3;53.374367,17.298464 53.524313,17.727540;53.44934,17.513002
041304;3;53.267515,17.247290 53.434665,17.621731;53.35109,17.4345105
041402;2;53.426049,18.583610 53.564318,18.764516;53.4951835,18.674063
041401;2;53.363182,18.150628 53.481797,18.344852;53.4224895,18.24774
041403;2;53.438441,18.236226 53.584840,18.413799;53.5116405,18.3250125
041406;3;53.556861,18.560531 53.703985,18.788971;53.630423,18.674751
041405;2;53.441428,18.111080 53.588916,18.292136;53.515172,18.201608
041408;2;53.253078,18.038692 53.385031,18.327130;53.3190545,18.182911
041407;2;53.518347,18.153410 53.709490,18.443401;53.6139185,18.2984055
040804;3;52.627302,19.169550 52.727585,19.450897;52.6774435,19.3102235
040806;2;52.725111,18.943315 52.901861,19.326699;52.813486,19.135007
040809;2;52.687169,19.156029 52.814648,19.357529;52.7509085,19.256779
040808;2;52.680975,19.346337 52.816059,19.526144;52.748517,19.4362405
040901;2;52.699374,17.847899 52.842041,18.038703;52.7707075,17.943301
040902;2;52.481160,18.090222 52.593177,18.362272;52.5371685,18.226247
040903;3;52.541370,17.785473 52.720872,18.115099;52.631121,17.950286
040904;3;52.528655,18.058947 52.732581,18.290724;52.630618,18.1748355
041106;2;52.575152,18.456693 52.690336,18.672328;52.632744,18.5645105
041104;2;52.573278,18.634784 52.721540,18.828557;52.647409,18.7316705
040706;3;52.537251,18.235500 52.735632,18.503654;52.6364415,18.369577
041102;2;52.507695,18.542571 52.607955,18.698977;52.557825,18.620774
040709;2;52.831691,17.967744 52.973432,18.218892;52.9025615,18.093318
041101;1;52.602528,18.513748 52.635707,18.548244;52.6191175,18.530996
040707;3;52.754630,17.994964 52.869591,18.208229;52.8121105,18.1015965
041103;2;52.643457,18.489638 52.725867,18.677749;52.684662,18.5836935
040708;2;52.851353,18.206676 52.991785,18.407732;52.921569,18.307204
040807;3;52.784442,19.244953 52.952084,19.516091;52.868263,19.380522
040803;2;52.886950,19.149031 53.004070,19.305147;52.94551,19.227089
040801;1;52.827827,19.131327 52.857142,19.219735;52.8424845,19.175531
040802;2;52.707156,18.907263 52.835820,19.091735;52.771488,18.999499
040805;2;52.874375,19.009569 52.970852,19.215321;52.9226135,19.112445
040102;1;52.860864,18.754417 52.907828,18.835506;52.884346,18.7949615
040105;2;52.635554,18.715608 52.773294,18.868786;52.704424,18.792197
040104;2;52.797810,18.529904 52.933411,18.800573;52.8656105,18.6652385
040106;2;52.739531,18.613469 52.836468,18.804580;52.7879995,18.7090245
040109;2;52.708178,18.499955 52.789571,18.748887;52.7488745,18.624421
061107;2;51.818604,22.046921 51.964000,22.330709;51.891302,22.188815
061109;2;51.926024,22.433529 52.069931,22.635841;51.9979775,22.534685
061111;2;51.781664,21.844800 51.918993,22.118516;51.8503285,21.981658
061202;2;50.949343,21.797557 51.095447,22.034903;51.022395,21.91623
061201;2;51.043530,22.052660 51.157312,22.235632;51.100421,22.144146
061206;3;51.153562,22.011034 51.278209,22.174793;51.2158855,22.0929135
061204;2;51.080047,21.783226 51.224868,21.928387;51.1524575,21.8558065
061203;2;51.188405,21.899143 51.300821,22.097560;51.244613,21.9983515
061205;3;51.045998,21.868675 51.198206,22.109411;51.122102,21.989043
061207;2;51.185537,21.807935 51.308732,21.980355;51.2471345,21.894145
061304;3;51.516997,22.783998 51.684297,23.047195;51.600647,22.9155965
060813;2;51.395589,22.875145 51.562463,23.024355;51.479026,22.94975
061302;2;51.653499,22.941905 51.761659,23.171462;51.707579,23.0566835
060902;2;51.031591,22.167539 51.129755,22.342319;51.080673,22.254929
061301;2;51.520508,22.882893 51.663357,23.202181;51.5919325,23.042537
060901;3;51.097187,22.119611 51.221103,22.370671;51.159145,22.245141
061303;2;51.668008,22.782778 51.790701,23.039696;51.7293545,22.911237
060908;2;51.158843,22.339451 51.273668,22.515908;51.2162555,22.4276795
060904;2;51.314679,22.251216 51.429965,22.436758;51.372322,22.343987
060903;3;50.915355,22.445808 51.087086,22.630089;51.0012205,22.5379485
060906;2;51.019595,22.514668 51.144817,22.761221;51.082206,22.6379445
060907;2;51.245429,22.275193 51.344235,22.541655;51.294832,22.408424
060912;2;50.979211,22.376021 51.140092,22.564193;51.0596515,22.470107
060910;2;51.037355,22.306963 51.185196,22.479511;51.1112755,22.393237
060909;2;50.932467,22.600351 51.084737,22.813395;51.008602,22.706873
060911;2;51.282177,22.417824 51.408870,22.701350;51.3455235,22.559587
060913;2;51.195128,22.129290 51.268943,22.342571;51.2320355,22.2359305
060916;2;50.838381,22.442286 50.952270,22.651194;50.8953255,22.54674
060309;2;51.167748,23.510877 51.277275,23.726690;51.2225115,23.6187835
060610;2;50.966773,23.214332 51.050179,23.455003;51.008476,23.3346675
060305;2;50.971951,23.754785 51.100625,23.943972;51.036288,23.8493785
060701;1;50.910614,22.136841 50.976130,22.290146;50.943372,22.2134935
060303;2;51.038388,23.300770 51.263753,23.593423;51.1510705,23.4470965
060709;2;50.942290,22.243849 51.051467,22.387446;50.9968785,22.3156475
060302;2;50.919196,23.669221 51.020658,23.887617;50.969927,23.778419
060304;2;51.072167,23.578676 51.245092,23.871385;51.1586295,23.7250305
060703;2;50.915151,21.960743 51.001520,22.195855;50.9583355,22.078299
060104;2;51.812523,22.729843 52.020936,23.067050;51.9167295,22.8984465
060307;2;50.942925,23.385719 51.060213,23.615715;51.001569,23.500717
060702;3;50.774425,21.811966 50.981940,21.976262;50.8781825,21.894114
060103;2;51.937642,22.864638 52.123135,23.330675;52.0303885,23.0976565
060306;2;51.035109,23.521046 51.147363,23.715960;51.091236,23.618503
060704;2;50.771627,21.917931 50.958243,22.096299;50.864935,22.007115
060105;2;52.112826,23.106285 52.283237,23.399157;52.1980315,23.252721
060308;2;51.083373,23.042799 51.175009,23.300913;51.129191,23.171856
060707;2;50.797205,22.058567 50.918743,22.266320;50.857974,22.1624435
060108;2;52.075985,22.933059 52.178567,23.153189;52.127276,23.043124
060313;2;50.869817,23.426874 50.983324,23.701720;50.9265705,23.564297
060706;2;50.787565,22.249243 50.896513,22.420006;50.842039,22.3346245
060107;2;52.131366,23.030030 52.287830,23.181566;52.209598,23.105798
060311;3;51.149973,23.037501 51.262488,23.318564;51.2062305,23.1780325
060604;2;50.840478,23.018896 50.944490,23.288705;50.892484,23.1538005
060109;2;51.820170,22.967578 51.976538,23.364586;51.898354,23.166082
060310;2;51.184114,23.336673 51.374106,23.593453;51.27911,23.465063
060603;2;50.902120,22.879143 51.007997,23.079249;50.9550585,22.979196
060118;2;51.697310,23.023090 51.864146,23.298247;51.780728,23.1606685
060312;2;51.192004,23.206755 51.362317,23.403654;51.2771605,23.3052045
060114;2;51.743089,23.465239 51.829107,23.641383;51.786098,23.553311
060315;3;51.045141,23.146214 51.164157,23.399567;51.104649,23.2728905
060611;2;50.811862,22.757111 50.978554,22.931112;50.895208,22.8441115
060112;2;52.075422,23.176568 52.194791,23.458337;52.1351065,23.3174525
060314;2;50.975665,23.554443 51.096675,23.808999;51.03617,23.681721
060609;2;50.804022,22.874627 50.918559,23.033606;50.8612905,22.9541165
060111;2;51.897897,23.221807 52.021332,23.544499;51.9596145,23.383153
060401;1;50.764560,23.837960 50.849030,23.943290;50.806795,23.890625
060607;2;50.990194,22.948789 51.098911,23.228646;51.0445525,23.0887175
060113;2;51.799367,23.036094 51.898512,23.204111;51.8489395,23.1201025
060405;2;50.550079,23.745166 50.719412,24.090876;50.6347455,23.918021
060116;2;51.993185,23.424583 52.183576,23.679449;52.0883805,23.552016
060403;2;50.833596,23.876049 51.003347,24.145036;50.9184715,24.0105425
060115;2;51.656248,23.245178 51.822813,23.457249;51.7395305,23.3512135
060117;2;51.777726,23.312640 51.937026,23.557199;51.857376,23.4349195
060119;2;51.994611,23.284737 52.134211,23.514893;52.064411,23.399815
060202;2;50.425267,22.795780 50.509932,22.974656;50.4675995,22.885218
062011;2;50.778900,23.116229 50.879673,23.313149;50.8292865,23.214689
061705;2;51.087450,22.899395 51.197981,23.068911;51.1427155,22.984153
061704;2;50.964647,22.772531 51.088048,22.953423;51.0263475,22.862977
062013;3;50.648260,22.882449 50.768216,23.125940;50.708238,23.0041945
062015;3;50.519165,22.873240 50.669796,23.110462;50.5944805,22.991851
061813;2;50.390701,23.680252 50.492777,23.993637;50.441739,23.8369445
062004;3;50.474168,23.029994 50.584210,23.326798;50.529189,23.178396
