teryt;gmina;urzad;kto;typk;bb;center;tura;nrk;wiek;edu;glosy;glosyp;glosyn;wynik;areaH;areaKm;popThs;popKm;type
020306;gm. Żukowice;Wójt Gminy Żukowice;GRABOWSKA Barbara;Komitet wyborczy wyborców;51.609656,15.834259 51.730350,16.037285;51.670003,15.935772;R1;1;45;wyższe;312;20.49;-1;Nie;6826;68;3467;51;gw
020306;gm. Żukowice;Wójt Gminy Żukowice;WOŁOSZYN Krzysztof Piotr;Komitet wyborczy wyborców;51.609656,15.834259 51.730350,16.037285;51.670003,15.935772;R1;2;41;wyższe;1211;79.51;-1;Tak;6826;68;3467;51;gw
020401;gm. Góra;Burmistrz Góry;CHMIEL Adam Adolf;Komitet wyborczy wyborców;51.567122,16.408875 51.788011,16.685001;51.6775665,16.546938;R1;1;43;Średnie;1021;14.25;-1;Nie;26611;266;20177;76;gmw
020401;gm. Góra;Burmistrz Góry;FRĄCZKIEWICZ Teresa;PiS;51.567122,16.408875 51.788011,16.685001;51.6775665,16.546938;R1;2;60;Wyższe;1900;26.53;-1;Nie;26611;266;20177;76;gmw
020401;gm. Góra;Burmistrz Góry;KRZYSZKIEWICZ Irena Teresa;Komitet wyborczy wyborców;51.567122,16.408875 51.788011,16.685001;51.6775665,16.546938;R1;3;57;Wyższe;4242;59.22;-1;Tak;26611;266;20177;76;gmw
020402;gm. Jemielno;Wójt Gminy Jemielno;SIERPOWSKA Anita Agnieszka;Komitet wyborczy wyborców;51.498959,16.385179 51.627934,16.644868;51.5634465,16.5150235;R1;1;31;wyższe;709;57.32;-1;Tak;12402;124;3051;25;gw
020402;gm. Jemielno;Wójt Gminy Jemielno;UCINEK Jan;Komitet wyborczy wyborców;51.498959,16.385179 51.627934,16.644868;51.5634465,16.5150235;R1;2;62;wyższe;528;42.68;-1;Nie;12402;124;3051;25;gw
020403;gm. Niechlów;Wójt Gminy Niechlów;KOŹMIŃSKI Przemysław Mieczysław;Komitet wyborczy wyborców;51.608363,16.267804 51.782312,16.478252;51.6953375,16.373028;R1;1;41;średnie;361;16.97;-1;Nie;15103;151;4985;33;gw
020403;gm. Niechlów;Wójt Gminy Niechlów;PIETROWIAK Ewa Barbara;Komitet wyborczy wyborców;51.608363,16.267804 51.782312,16.478252;51.6953375,16.373028;R1;2;58;podstawowe;517;24.31;-1;Nie;15103;151;4985;33;gw
020403;gm. Niechlów;Wójt Gminy Niechlów;PONA Beata Barbara;Komitet wyborczy wyborców;51.608363,16.267804 51.782312,16.478252;51.6953375,16.373028;R1;3;52;Wyższe;1249;58.72;-1;Tak;15103;151;4985;33;gw
020404;gm. Wąsosz;Burmistrz Wąsosza;MAZUR Andrzej;Komitet wyborczy wyborców;51.485407,16.586026 51.648567,16.828717;51.566987,16.7073715;R1;1;43;zawodowe;457;13.63;-1;Nie;19711;197;7260;37;gmw
020404;gm. Wąsosz;Burmistrz Wąsosza;NIEDŹWIEDŹ Paweł;Komitet wyborczy wyborców;51.485407,16.586026 51.648567,16.828717;51.566987,16.7073715;R1;2;45;wyższe;1426;42.53;-1;Druga tura;19711;197;7260;37;gmw
020404;gm. Wąsosz;Burmistrz Wąsosza;STUCZYK Zbigniew Stanisław;Komitet wyborczy wyborców;51.485407,16.586026 51.648567,16.828717;51.566987,16.7073715;R1;3;58;wyższe;1470;43.84;-1;Druga tura;19711;197;7260;37;gmw
020501;m. Jawor;Burmistrz Miasta Jawora;BERA Emilian Stanisław;Komitet wyborczy wyborców;51.035974,16.141115 51.099396,16.229067;51.067685,16.185091;R1;1;33;wyższe;5535;55.63;-1;Tak;1880;19;23266;1238;gm
020501;m. Jawor;Burmistrz Miasta Jawora;KOWALCZYK Krzysztof Mariusz;Komitet wyborczy wyborców;51.035974,16.141115 51.099396,16.229067;51.067685,16.185091;R1;2;38;wyższe;2595;26.08;-1;Nie;1880;19;23266;1238;gm
020501;m. Jawor;Burmistrz Miasta Jawora;KUCHARZYK Aneta;PiS;51.035974,16.141115 51.099396,16.229067;51.067685,16.185091;R1;3;34;wyższe;1820;18.29;-1;Nie;1880;19;23266;1238;gm
020502;gm. Bolków;Burmistrz Bolkowa;BŁĄD-JEZIOREK Joanna Katarzyna;Komitet wyborczy wyborców;50.852741,15.929791 50.992373,16.204282;50.922557,16.0670365;R1;1;34;wyższe;83;1.82;-1;Nie;15260;153;10611;70;gmw
020502;gm. Bolków;Burmistrz Bolkowa;FRĄCKOWIAK Edyta Joanna;Komitet wyborczy wyborców;50.852741,15.929791 50.992373,16.204282;50.922557,16.0670365;R1;2;48;wyższe;207;4.54;-1;Nie;15260;153;10611;70;gmw
020502;gm. Bolków;Burmistrz Bolkowa;KUCAB Grzegorz Michał;Komitet wyborczy wyborców;50.852741,15.929791 50.992373,16.204282;50.922557,16.0670365;R1;3;39;wyższe;2565;56.31;-1;Tak;15260;153;10611;70;gmw
020502;gm. Bolków;Burmistrz Bolkowa;WROŃSKI Jarosław Stanisław;Komitet wyborczy wyborców;50.852741,15.929791 50.992373,16.204282;50.922557,16.0670365;R1;4;55;wyższe;1700;37.32;-1;Nie;15260;153;10611;70;gmw
020503;gm. Męcinka;Wójt Gminy Męcinka;BRZOZOWSKI Mirosław Kazimierz;Komitet wyborczy wyborców;50.990843,15.932950 51.136668,16.197186;51.0637555,16.065068;R1;1;51;średnie;1980;84.47%;364;Tak;14778;148;5001;34;gw
020504;gm. Mściwojów;Wójt Gminy Mściwojów;FORYŚ Mariusz Damian;Komitet wyborczy wyborców;51.002166,16.177775 51.114973,16.346593;51.0585695,16.262184;R1;1;41;wyższe;1285;65.26;-1;Tak;7194;72;4113;57;gw
020504;gm. Mściwojów;Wójt Gminy Mściwojów;OLCHÓWKA Piotr Jan;Komitet wyborczy wyborców;51.002166,16.177775 51.114973,16.346593;51.0585695,16.262184;R1;2;50;wyższe;684;34.74;-1;Nie;7194;72;4113;57;gw
020505;gm. Paszowice;Wójt Gminy Paszowice;OSZCZĘDA Sebastian Paweł;Komitet wyborczy wyborców;50.943981,16.021512 51.052305,16.240363;50.998143,16.1309375;R1;1;40;wyższe;1059;59.20;-1;Tak;10128;101;3976;39;gw
020505;gm. Paszowice;Wójt Gminy Paszowice;SOWA Elżbieta;PiS;50.943981,16.021512 51.052305,16.240363;50.998143,16.1309375;R1;2;56;wyższe;327;18.28;-1;Nie;10128;101;3976;39;gw
020505;gm. Paszowice;Wójt Gminy Paszowice;WDOWIAK Monika Teresa;Komitet wyborczy wyborców;50.943981,16.021512 51.052305,16.240363;50.998143,16.1309375;R1;3;46;wyższe;403;22.53;-1;Nie;10128;101;3976;39;gw
020506;gm. Wądroże Wielkie;Wójt Gminy Wądroże Wielkie;JEDLECKA Elżbieta Barbara;Komitet wyborczy wyborców;51.057922,16.255186 51.149512,16.480191;51.103717,16.3676885;R1;1;45;wyższe;1239;63.34;-1;Tak;8915;89;3980;45;gw
020506;gm. Wądroże Wielkie;Wójt Gminy Wądroże Wielkie;STEFANISZEK Norbert Nikodem;Komitet wyborczy wyborców;51.057922,16.255186 51.149512,16.480191;51.103717,16.3676885;R1;2;42;wyższe;96;4.91;-1;Nie;8915;89;3980;45;gw
020506;gm. Wądroże Wielkie;Wójt Gminy Wądroże Wielkie;SZOZDA Krzysztof Andrzej;Komitet wyborczy wyborców;51.057922,16.255186 51.149512,16.480191;51.103717,16.3676885;R1;3;53;wyższe;182;9.30;-1;Nie;8915;89;3980;45;gw
020506;gm. Wądroże Wielkie;Wójt Gminy Wądroże Wielkie;TRELA Aneta Maria;PiS;51.057922,16.255186 51.149512,16.480191;51.103717,16.3676885;R1;4;45;średnie;439;22.44;-1;Nie;8915;89;3980;45;gw
020601;m. Karpacz;Burmistrz Karpacza;DERECZENIK Violeta Maria;Komitet wyborczy wyborców;50.735943,15.680274 50.791791,15.808323;50.763867,15.7442985;R1;1;59;wyższe;477;22.08;-1;Nie;3799;39;4711;124;gm
020601;m. Karpacz;Burmistrz Karpacza;JĘCEK Radosław Adrian;Komitet wyborczy wyborców;50.735943,15.680274 50.791791,15.808323;50.763867,15.7442985;R1;2;43;wyższe;1115;51.62;-1;Tak;3799;39;4711;124;gm
020601;m. Karpacz;Burmistrz Karpacza;MALINOWSKI Bogdan;Komitet wyborczy wyborców;50.735943,15.680274 50.791791,15.808323;50.763867,15.7442985;R1;3;69;wyższe;568;26.30;-1;Nie;3799;39;4711;124;gm
020602;m. Kowary;Burmistrz Miasta Kowary;KOZŁOWSKI Jacek;Komitet wyborczy wyborców;50.742721,15.791700 50.814725,15.893832;50.778723,15.842766;R1;1;49;zawodowe;188;4.48;-1;Nie;3739;37;11090;297;gm
020602;m. Kowary;Burmistrz Miasta Kowary;ŁUBIŃSKI Krzysztof Jan;Komitet wyborczy wyborców;50.742721,15.791700 50.814725,15.893832;50.778723,15.842766;R1;2;57;wyższe;196;4.67;-1;Nie;3739;37;11090;297;gm
020602;m. Kowary;Burmistrz Miasta Kowary;OLSZEWSKI Andrzej Dominik;Komitet wyborczy wyborców;50.742721,15.791700 50.814725,15.893832;50.778723,15.842766;R1;3;33;wyższe;627;14.95;-1;Nie;3739;37;11090;297;gm
020602;m. Kowary;Burmistrz Miasta Kowary;PITUCH Paweł Karol;Komitet wyborczy wyborców;50.742721,15.791700 50.814725,15.893832;50.778723,15.842766;R1;4;33;wyższe;1247;29.73;-1;Druga tura;3739;37;11090;297;gm
020602;m. Kowary;Burmistrz Miasta Kowary;ZAKRZEWSKA Elżbieta;Komitet wyborczy wyborców;50.742721,15.791700 50.814725,15.893832;50.778723,15.842766;R1;5;55;wyższe;1937;46.17;-1;Druga tura;3739;37;11090;297;gm
020603;m. Piechowice;Burmistrz Miasta Piechowice;BURCHACKI Radosław Antoni;Komitet wyborczy wyborców;50.776117,15.534677 50.879360,15.640634;50.8277385,15.5876555;R1;1;42;wyższe;586;20.91;-1;Nie;4322;43;6314;146;gm
020603;m. Piechowice;Burmistrz Miasta Piechowice;KAMIŃSKI Jacek Ryszard;Komitet wyborczy wyborców;50.776117,15.534677 50.879360,15.640634;50.8277385,15.5876555;R1;2;55;wyższe;421;15.02;-1;Nie;4322;43;6314;146;gm
020603;m. Piechowice;Burmistrz Miasta Piechowice;KUBIELSKI Jacek;Komitet wyborczy wyborców;50.776117,15.534677 50.879360,15.640634;50.8277385,15.5876555;R1;3;55;wyższe;688;24.55;-1;Druga tura;4322;43;6314;146;gm
020603;m. Piechowice;Burmistrz Miasta Piechowice;MAZUR Rafał Piotr;Komitet wyborczy wyborców;50.776117,15.534677 50.879360,15.640634;50.8277385,15.5876555;R1;4;45;wyższe;292;10.42;-1;Nie;4322;43;6314;146;gm
020603;m. Piechowice;Burmistrz Miasta Piechowice;PIRÓG Dorota Ewa;Komitet wyborczy wyborców;50.776117,15.534677 50.879360,15.640634;50.8277385,15.5876555;R1;5;44;wyższe;628;22.40;-1;Druga tura;4322;43;6314;146;gm
020603;m. Piechowice;Burmistrz Miasta Piechowice;SMOLCZYŃSKI Leon Ignacy;Komitet wyborczy wyborców;50.776117,15.534677 50.879360,15.640634;50.8277385,15.5876555;R1;6;59;średnie;83;2.96;-1;Nie;4322;43;6314;146;gm
020603;m. Piechowice;Burmistrz Miasta Piechowice;WOJTAŚ Waldemar;PSL;50.776117,15.534677 50.879360,15.640634;50.8277385,15.5876555;R1;7;57;wyższe;105;3.75;-1;Nie;4322;43;6314;146;gm
