teryt;name;center;wdistKm
101611;Żelechlinek;51.7150015,20.0582375;41
101603;Budziszewice;51.6913435,19.9904805;37
101601;Tomaszów Mazowiecki;51.520598,20.0259495;48
101602;Będków;51.582735,19.774853;31
101607;Rokiciny;51.6508905,19.8017355;27
101605;Inowłódz;51.5260975,20.2128535;59
101604;Czerniewice;51.651741,20.17785;51
101606;Lubochnia;51.597525,20.048978;45
101211;Przedbórz;51.0822785,19.9534845;85
101608;Rzeczyca;51.6063975,20.311134;61
101214;Żytno;50.917066,19.702886;98
101610;Ujazd;51.6044545,19.9084015;36
101213;Wielgomłyny;51.0130565,19.7768335;88
101707;Pątnów;51.119858,18.6616435;92
101301;Rawa Mazowiecka;51.758282,20.2550385;54
101703;Konopnica;51.3562745,18.809539;66
101303;Cielądz;51.698255,20.3534325;62
101701;Biała;51.262126,18.435399;92
101302;Biała Rawska;51.816746,20.4679575;69
101702;Czarnożyły;51.289688,18.561823;83
101305;Regnów;51.733355,20.39204;64
101705;Osjaków;51.2631695,18.783179;75
101304;Rawa Mazowiecka;51.7757815,20.2302625;53
101704;Mokrsko;51.153532,18.485201;98
101306;Sadkowice;51.709187,20.5477895;75
101406;Goszczanów;51.7893475,18.507895;66
101402;Błaszki;51.641533,18.450254;72
101401;Sieradz;51.6017525,18.738381;54
101404;Brzeźnio;51.4972515,18.6208105;66
101403;Brąszewice;51.50357,18.4541885;76
100206;Kutno;52.2145165,19.329696;49
101011;Wolbórz;51.496147,19.84144;41
100205;Krzyżanów;52.169614,19.4413415;43
101007;Ręczno;51.1866405,19.8699275;72
100207;Łanięta;52.338687,19.2679395;63
101003;Gorzkowice;51.2060755,19.610857;65
101001;Aleksandrów;51.2691125,19.9798505;67
100210;Strzelce;52.3067635,19.4125365;58
101002;Czarnocin;51.5948275,19.6643205;25
100607;Koluszki;51.721741,19.8264845;26
100209;Oporów;52.2654005,19.527894;54
101005;Łęki Szlacheckie;51.201138,19.759909;68
100610;Rzgów;51.6579335,19.5095375;14
100211;Żychlin;52.2340695,19.649416;52
101004;Grabica;51.478433,19.540216;34
100611;Tuszyn;51.576555,19.5385165;24
100301;Buczek;51.5213295,19.1718055;36
101006;Moszczenica;51.5035745,19.6734925;34
100701;Białaczów;51.293722,20.299959;79
100304;Widawa;51.414354,18.9420505;55
101009;Sulejów;51.3519145,19.8115015;54
100705;Paradyż;51.3063425,20.092253;68
100302;Łask;51.617829,19.1406915;29
101008;Rozprza;51.3047725,19.682609;55
100703;Mniszków;51.3886305,19.9754575;56
100303;Sędziejowice;51.5113715,19.0376555;42
101010;Wola Krzysztoporska;51.348521,19.566739;49
100702;Drzewica;51.4532385,20.426027;76
100305;Wodzierady;51.7175765,19.132378;24
101103;Poddębice;51.8871105,18.9015745;41
100704;Opoczno;51.415594,20.308064;71
100402;Daszyna;52.153534,19.1417895;47
101105;Wartkowice;51.974616,18.996305;39
100707;Sławno;51.3993985,20.1413395;63
100401;Łęczyca;52.054391,19.1991105;35
100706;Poświętne;51.526123,20.3568355;68
100406;Piątek;52.0644035,19.462185;31
100708;Żarnów;51.246826,20.1280935;75
100404;Grabów;52.1445235,19.0117645;51
106101;Łódź (a);51.77348,19.4804095;1
101706;Ostrówek;51.3340995,18.635588;76
101708;Skomlin;51.169367,18.398974;101
101709;Wieluń;51.2224445,18.577102;88
101710;Wierzchlas;51.16633,18.7329025;85
101902;Szadek;51.7129235,18.9547305;36
101901;Zduńska Wola;51.5952275,18.9647825;40
101903;Zapolice;51.524939,18.9153505;48
101802;Czastary;51.251698,18.3070585;100
101801;Bolesławiec;51.211409,18.2277195;107
101806;Sokolniki;51.31791,18.340433;94
101804;Lututów;51.3480495,18.463042;85
101803;Galewice;51.384022,18.279448;93
101805;Łubnice;51.1742985,18.28234;106
101405;Burzenin;51.436873,18.7769365;61
101407;Klonowa;51.432677,18.434294;81
101408;Sieradz;51.5846685,18.758729;54
101409;Warta;51.7341025,18.667404;55
101410;Wróblew;51.6001005,18.589222;64
101411;Złoczew;51.4152785,18.6194035;71
101505;Lipce Reymontowskie;51.9089105,19.9371565;35
101501;Bolimów;52.0838155,20.181681;59
101503;Godzianów;51.896123,20.0443795;42
101502;Głuchów;51.800821,20.088172;43
101504;Kowiesy;51.8981045,20.418704;67
101509;Słupia;51.8601245,19.9607685;35
101507;Nowy Kawęczyn;51.8870665,20.248585;55
101506;Maków;51.951252,20.0129025;42
101508;Skierniewice;51.9340715,20.172772;51
101104;Uniejów;51.9971445,18.800376;52
101106;Zadzim;51.7865075,18.9083805;38
101101;Dalików;51.889101,19.105377;27
100403;Góra Świętej Małgorzaty;52.065223,19.316202;33
101102;Pęczniew;51.8168495,18.7527275;49
100405;Łęczyca;52.0675025,19.151808;38
101204;Gomunice;51.1523635,19.509182;70
100408;Witonia;52.140319,19.283225;42
100407;Świnice Warckie;52.0444815,18.9375415;46
101201;Radomsko;51.071194,19.442784;79
100509;Nieborów;52.0782175,20.0531435;52
101203;Gidle;50.9464775,19.4817655;93
100501;Łowicz;52.1011275,19.944704;48
101210;Masłowice;51.118029,19.768005;77
100505;Kiernozia;52.268884,19.850596;60
101206;Kobiele Wielkie;51.0281795,19.6080185;85
100503;Chąśno;52.185888,19.9113265;54
101205;Kamieńsk;51.226668,19.4706865;62
100502;Bielawy;52.0820775,19.641363;35
101208;Lgota Wielka;51.1424965,19.323059;72
100504;Domaniewice;52.0298885,19.804706;36
106201;Piotrków Trybunalski;51.4129525,19.716625;45
101207;Kodrąb;51.100592,19.6139995;77
106301;Skierniewice;51.958073,20.169118;52
101209;Ładzice;51.0764385,19.3131025;79
100506;Kocierzew Południowy;52.2050295,20.0150595;60
100508;Łyszkowice;51.980758,19.9463675;40
100101;Bełchatów;51.354576,19.362666;48
100510;Zduny;52.1663535,19.7884315;48
100103;Drużbice;51.466411,19.4017365;36
100804;Dobroń;51.618746,19.23735;24
100608;Nowosolna;51.809628,19.6140365;11
100102;Bełchatów;51.337152,19.3722255;50
100802;Pabianice;51.665741,19.354834;15
100603;Brójce;51.6669165,19.6423455;18
100104;Kleszczów;51.240666,19.296827;61
100801;Konstantynów Łódzki;51.75718,19.310184;11
100602;Andrespol;51.721483,19.6444125;14
100107;Szczerców;51.3204455,19.124593;57
100803;Dłutów;51.5677035,19.3756295;25
100106;Rusiec;51.3176145,18.9666145;62
100806;Lutomiersk;51.770299,19.154555;22
100108;Zelów;51.473624,19.1958975;39
100805;Ksawerów;51.6748965,19.404998;13
100208;Nowe Ostrowy;52.310475,19.212936;61
100202;Bedlno;52.175526,19.607593;45
100905;Rząśnia;51.2287685,19.067961;68
100201;Kutno;52.2222815,19.3711305;49
100907;Strzelce Wielkie;51.132447,19.1774705;75
100204;Krośniewice;52.2362895,19.176984;54
100908;Sulmierzyce;51.2074185,19.1889265;67
100203;Dąbrowice;52.308648,19.0876185;64
100902;Kiełczygłów;51.234491,18.951924;71
100901;Działoszyn;51.1144055,18.851063;86
100904;Pajęczno;51.1193135,19.0204675;80
100903;Nowa Brzeźnica;51.051472,19.136893;85
100906;Siemkowice;51.2106575,18.8718135;76
101807;Wieruszów;51.32343,18.163538;104
102007;Parzęczew;51.9449315,19.215864;25
102001;Głowno;51.962008,19.714174;26
102003;Zgierz;51.8555975,19.3940375;9
102002;Ozorków;51.958695,19.296729;23
102005;Głowno;51.9896175,19.682049;27
121809;Wadowice;49.860173,19.530056;37
121803;Kalwaria Zebrzydowska;49.8888285,19.6754695;27
121801;Andrychów;49.8228685,19.365986;49
121802;Brzeźnica;49.9566225,19.6343865;25
121807;Stryszów;49.831092,19.629155;33
121805;Mucharz;49.817413,19.5276315;40
121804;Lanckorona;49.852923,19.747678;26
121806;Spytkowice;49.9856805,19.5249755;31
121808;Tomice;49.925246,19.517021;34
121810;Wieprz;49.912845,19.3753275;44
126301;Tarnów;50.0259955,20.977995;73
121904;Niepołomice;50.0357535,20.242391;21
121302;Brzeszcze;49.9778435,19.146577;58
121902;Gdów;49.926127,20.212174;23
121304;Kęty;49.910487,19.2366085;53
121901;Biskupice;49.960471,20.1449675;17
121307;Polanka Wielka;49.981274,19.3059095;47
121306;Oświęcim;50.0145795,19.2436075;51
121303;Chełmek;50.090314,19.2518835;50
121506;Maków Podhalański;49.7011945,19.6848765;43
121507;Stryszawa;49.7282695,19.471622;50
121509;Zembrzyce;49.777946,19.5478735;42
121610;Tuchów;49.8874845,21.048385;81
121604;Pleśna;49.915281,20.90585;70
121602;Gromnik;49.8452385,20.946138;75
121012;Nawojowa;49.5282205,20.7506145;82
121601;Ciężkowice;49.7739005,20.936681;77
121011;Muszyna;49.3696565,20.9047795;102
121603;Lisia Góra;50.0970925,21.0691755;80
121014;Podegrodzie;49.5972345,20.564174;67
121605;Radłów;50.106106,20.8167135;62
121013;Piwniczna-Zdrój;49.4323885,20.739404;89
121608;Skrzyszów;49.9896425,21.104594;83
121015;Rytro;49.4756945,20.6519955;81
121606;Ryglice;49.8951935,21.181294;90
121016;Stary Sącz;49.527379,20.634746;76
121607;Rzepiennik Strzyżewski;49.794542,21.07848;86
121107;Lipnica Wielka;49.517332,19.589674;65
121101;Nowy Targ;49.489279,20.044284;63
121103;Czarny Dunajec;49.4293065,19.8467575;69
121102;Szczawnica;49.424698,20.5292165;81
121105;Jabłonka;49.5050785,19.6722075;64
121104;Czorsztyn;49.4437485,20.3301835;73
121106;Krościenko nad Dunajcem;49.4510885,20.398146;74
121113;Spytkowice;49.571443,19.8132165;54
121111;Raba Wyżna;49.5745295,19.863521;53
120801;Charsznica;50.4059515,19.91878;40
120804;Książ Wielki;50.4437855,20.131543;46
120803;Kozłów;50.4745395,20.003059;47
120806;Racławice;50.333295,20.21962;37
120805;Miechów;50.358842,20.071626;35
120807;Słaboszów;50.386566,20.232404;42
120904;Pcim;49.769355,19.925863;31
120902;Lubień;49.6755135,19.955322;42
120901;Dobczyce;49.8749515,20.1006435;22
120903;Myślenice;49.8561495,19.945392;22
120906;Siepraw;49.9017445,19.989339;17
120615;Wielka Wieś;50.1516635,19.809798;15
120614;Świątniki Górne;49.9396785,19.959922;12
120406;Radgoszcz;50.187826,21.117408;85
120616;Zabierzów;50.119856,19.7676975;15
120405;Olesno;50.207815,20.9178435;71
120707;Limanowa;49.7285935,20.4419765;50
120407;Szczucin;50.294733,21.1071325;87
120703;Dobra;49.6969625,20.2093165;43
120506;Łużna;49.697304,21.060756;89
120701;Limanowa;49.7149935,20.4102905;50
120501;Gorlice;49.666949,21.165987;97
120702;Mszana Dolna;49.6810885,20.079348;42
120502;Biecz;49.7233175,21.213073;98
120504;Gorlice;49.6572995,21.1506925;97
120704;Jodłownik;49.7842265,20.2305255;36
120503;Bobowa;49.707099,20.946232;81
120706;Laskowa;49.760691,20.499108;51
120505;Lipinki;49.6589095,21.296743;106
120711;Słopnice;49.675881,20.3327415;50
120510;Uście Gorlickie;49.4898515,21.172919;108
120709;Mszana Dolna;49.6525725,20.1167325;46
120508;Ropa;49.574124,21.0627555;96
120708;Łukowica;49.625511,20.4632305;60
120507;Moszczenica;49.7326605,21.070453;88
120710;Niedźwiedź;49.5975835,20.108377;52
120509;Sękowa;49.5371235,21.278905;111
120712;Tymbark;49.729579,20.3101025;44
120603;Iwanowice;50.228256,19.973914;20
120204;Dębno;49.944373,20.717694;56
120202;Brzesko;49.983487,20.6233615;49
120201;Borzęcin;50.065841,20.7116895;54
120203;Czchów;49.8432475,20.6559885;56
120206;Iwkowa;49.800086,20.576133;53
120205;Gnojnik;49.8914095,20.6259765;51
120207;Szczurowa;50.12107,20.632334;49
120104;Lipnica Murowana;49.8476525,20.519406;47
120101;Bochnia;49.974788,20.429205;35
120103;Drwinia;50.071908,20.4261515;34
120106;Nowy Wiśnicz;49.8967925,20.474616;41
120105;Łapanów;49.862199,20.3052745;33
121903;Kłaj;50.011991,20.298474;25
121905;Wieliczka;49.9758055,20.059843;11
126101;Kraków (a);50.046894,20.0048255;4
126201;Nowy Sącz;49.610243,20.70664;73
121109;Nowy Targ;49.4822355,20.054553;64
121108;Łapsze Niżne;49.3993655,20.224582;75
121110;Ochotnica Dolna;49.518676,20.307696;64
121614;Zakliczyn;49.8328205,20.7905645;65
121112;Rabka-Zdrój;49.6003715,19.9744585;50
121612;Wietrzychowice;50.1942285,20.745042;59
121114;Szaflary;49.417565,19.993215;70
121611;Wierzchosławice;50.0222305,20.835986;63
121613;Wojnicz;49.9478375,20.814448;63
121203;Bolesław;50.30113,19.4724925;44
121616;Szerzyny;49.815387,21.23872;96
121201;Bukowno;50.260984,19.4171545;45
121615;Żabno;50.1364935,20.8565015;65
121204;Klucze;50.365435,19.5705365;44
121703;Bukowina Tatrzańska;49.303561,20.0983155;84
121207;Wolbrom;50.3899255,19.7446295;41
121701;Zakopane;49.275758,19.9718125;86
121206;Trzyciąż;50.2975325,19.7963425;30
121702;Biały Dunajec;49.367287,20.0082855;76
121705;Poronin;49.295404,20.0045625;84
121301;Oświęcim;50.0337155,19.2561195;50
121704;Kościelisko;49.273372,19.846267;87
121308;Przeciszów;49.995716,19.3703285;42
121309;Zator;49.988432,19.450156;36
121405;Proszowice;50.205957,20.371612;35
121401;Koniusza;50.178101,20.214123;24
121403;Nowe Brzesko;50.148896,20.4031125;34
121402;Koszyce;50.1727705,20.578243;47
121404;Pałecznica;50.2768095,20.307587;36
121406;Radziemice;50.2621865,20.2038935;30
120905;Raciechowice;49.839731,20.1703725;28
121502;Sucha Beskidzka;49.7325445,19.577699;44
120908;Tokarnia;49.7389325,19.8663405;35
121501;Jordanów;49.648861,19.837024;45
120907;Sułkowice;49.8466525,19.8081165;25
121504;Bystra-Sidzina;49.620813,19.7156905;51
120909;Wiśniowa;49.7796835,20.092221;32
121503;Budzów;49.785152,19.710861;34
121001;Grybów;49.614922,20.95728;87
121508;Zawoja;49.6354435,19.571899;53
121008;Łabowa;49.492601,20.86444;90
121006;Korzenna;49.697771,20.837595;75
121004;Grybów;49.605599,20.933897;86
121003;Gródek nad Dunajcem;49.750495,20.7371805;65
121005;Kamionka Wielka;49.581055,20.8312805;82
121007;Krynica-Zdrój;49.4453535,20.989603;101
121010;Łososina Dolna;49.737838,20.623557;59
121009;Łącko;49.542916,20.4620125;67
120601;Czernichów;50.0201725,19.660461;21
120602;Igołomia-Wawrzeńczyce;50.1069245,20.2693475;24
120605;Kocmyrzów-Luborzyca;50.156438,20.1155355;17
120604;Jerzmanowice-Przeginia;50.2115555,19.7267725;24
120609;Mogilany;49.9402465,19.887027;13
120607;Liszki;50.0361065,19.7448965;15
120606;Krzeszowice;50.131875,19.618778;25
120608;Michałowice;50.152542,19.9918745;12
120617;Zielonki;50.1422855,19.944183;10
120610;Skała;50.226362,19.8586955;21
120611;Skawina;49.9410855,19.760421;18
120613;Sułoszowa;50.2585585,19.7536995;27
120108;Trzciana;49.8299265,20.3772765;39
120107;Rzezawa;50.0179215,20.545668;43
120109;Żegocina;49.814448,20.42917;43
120302;Babice;50.063753,19.44647;36
120301;Alwernia;50.065244,19.545383;29
120303;Chrzanów;50.1393335,19.384946;42
120304;Libiąż;50.087691,19.318335;45
120305;Trzebinia;50.1662595,19.488064;35
120404;Mędrzechów;50.2795575,20.9682365;77
120401;Bolesław;50.2716065,20.8799505;71
120402;Dąbrowa Tarnowska;50.1788475,21.021145;78
120403;Gręboszów;50.249377,20.7872495;64
140704;Grabów nad Pilicą;51.7281445,21.2318445;54
140705;Kozienice;51.604859,21.530839;74
143203;Kampinos;52.2748985,20.417852;43
143202;Izabelin;52.3151055,20.78223;21
143204;Leszno;52.279737,20.600952;31
143205;Łomianki;52.3463125,20.8638225;20
143207;Stare Babice;52.267476,20.7926135;18
143206;Ożarów Mazowiecki;52.2147975,20.7685955;18
143306;Miedzna;52.504389,22.076533;79
143302;Grębków;52.2785035,21.955344;63
143301;Węgrów;52.4008175,22.02964;71
143303;Korytnica;52.4199195,21.80773;58
143305;Łochów;52.555512,21.709851;61
143308;Stoczek;52.5428705,21.901354;70
143307;Sadowne;52.642943,21.856187;74
142510;Skaryszew;51.307784,21.2455425;100
142513;Zakrzew;51.4477115,21.0214095;84
142512;Wolanów;51.382563,20.9526335;91
142601;Domanice;52.0434685,22.147369;78
142607;Przesmyki;52.27139,22.61072;108
142603;Kotuń;52.161202,22.0317665;68
142602;Korczew;52.359232,22.625228;110
142604;Mokobody;52.2638465,22.1299745;75
142605;Mordy;52.1962575,22.5101385;101
142606;Paprotnia;52.2879265,22.4474095;97
142611;Wiśniew;52.0608235,22.2913065;87
142609;Skórzec;52.103235,22.0945255;73
142608;Siedlce;52.17198,22.2885555;86
142610;Suchożebry;52.2663015,22.2890305;86
142613;Zbuczyn;52.0942125,22.5040805;101
141905;Drobin;52.7169315,19.9466625;93
141908;Mała Wieś;52.450047,20.087274;70
141907;Łąck;52.4543135,19.6265535;100
141909;Nowy Duninów;52.550915,19.4934835;112
141914;Staroźreby;52.6426775,20.029198;84
141912;Słupno;52.5087585,19.8262065;89
141911;Słubice;52.39483,19.9171525;79
141913;Stara Biała;52.6180785,19.651628;105
141915;Wyszogród;52.4479095,20.1357895;67
142006;Joniec;52.5839365,20.5624805;53
142005;Dzierzążnia;52.6029665,20.2327975;70
142007;Naruszewo;52.520635,20.32484;60
142012;Załuski;52.5160685,20.520501;49
142010;Raciąż;52.7823135,20.11354;90
142009;Płońsk;52.6271065,20.405018;64
141310;Wiśniewo;53.047677,20.3104925;106
141302;Dzierzgowo;53.178265,20.6278195;112
141301;Mława;53.1342405,20.381246;113
141306;Stupsk;53.009651,20.4441725;98
141304;Radzanów;52.9340325,20.1371255;102
141303;Lipowiec Kościelny;53.0987175,20.2358325;114
141305;Strzegowo;52.926878,20.2978925;95
141308;Szydłowo;53.083594,20.493395;105
141307;Szreńsk;53.029525,20.1497475;110
141309;Wieczfnia Kościelna;53.1907895,20.4927865;116
141405;Pomiechówek;52.492439,20.764618;37
141403;Leoncin;52.357184,20.5148735;39
141401;Nowy Dwór Mazowiecki (a);52.4342515,20.69179;35
141402;Czosnów;52.371478,20.7124975;29
141404;Nasielsk;52.5730345,20.7674745;45
143604;Tczów;51.3323755,21.447663;101
143602;Policzna;51.439206,21.6688655;95
143601;Kazanów;51.267781,21.4443155;107
143603;Przyłęk;51.332875,21.7500145;108
143605;Zwoleń;51.344773,21.5760595;102
140805;Wieliszew;52.4502215,20.8818155;30
140803;Nieporęt;52.4077495,21.0399095;23
140801;Legionowo;52.404898,20.9393145;24
140802;Jabłonna;52.3936095,20.870698;24
140804;Serock;52.511235,21.0210015;35
140906;Solec nad Wisłą;51.115478,21.724532;130
140905;Sienno;51.1006325,21.505957;127
140901;Chotcza;51.241966,21.73085;117
140902;Ciepielów;51.23917,21.542735;112
143309;Wierzbno;52.311656,21.84891;57
140103;Radzanów;51.5618025,20.842607;72
140101;Białobrzegi;51.634285,20.9643505;63
140102;Promna;51.6953755,20.896117;57
140105;Stromiec;51.654541,21.132446;61
140104;Stara Błotnica;51.544866,21.007902;73
140106;Wyśmierzyce;51.597962,20.786859;69
140202;Ciechanów;52.8680045,20.546876;81
140201;Ciechanów;52.871081,20.614891;80
140208;Regimin;52.9472605,20.5836465;88
140204;Gołymin-Ośrodek;52.8175595,20.8183595;70
140203;Glinojeck;52.7990285,20.349488;81
140206;Ojrzeń;52.766289,20.532743;72
140205;Grudusk;53.0403255,20.616446;98
142612;Wodynie;52.0331825,21.977131;67
142701;Sierpc;52.853232,19.665196;118
142705;Sierpc;52.8323215,19.6477795;117
142703;Mochowo;52.7765465,19.5305805;120
142702;Gozdowo;52.7378255,19.7081375;108
142704;Rościszewo;52.9105525,19.767684;116
142707;Zawidz;52.8187085,19.879428;104
142706;Szczutowo;52.928866,19.5704085;128
142906;Repki;52.3766015,22.435347;97
142904;Jabłonna Lacka;52.501208,22.4430185;101
142902;Bielany;52.336598,22.2218305;82
142901;Sokołów Podlaski;52.414232,22.2340155;85
142903;Ceranów;52.644316,22.2290045;95
142905;Kosów Lacki;52.5955075,22.10806;85
142908;Sokołów Podlaski;52.4263255,22.2112825;84
142907;Sabnie;52.489982,22.2952895;92
142011;Sochocin;52.6747255,20.492588;64
142008;Nowe Miasto;52.652275,20.6460905;57
141406;Zakroczym;52.474313,20.5789295;43
142004;Czerwińsk nad Wisłą;52.434672,20.3599435;53
141504;Goworowo;52.8946475,21.5559245;85
142002;Raciąż;52.7827345,20.1204695;90
141502;Czarnia;53.3386345,21.157404;127
142001;Płońsk;52.626456,20.363008;66
141501;Baranowo;53.1916415,21.2646095;111
142003;Baboszewo;52.7112215,20.271941;77
141503;Czerwin;52.952406,21.7887635;98
142101;Piastów;52.1855705,20.8463065;13
141510;Rzekuń;53.0554115,21.63205;103
142102;Pruszków;52.172013,20.799013;16
141506;Lelis;53.173863,21.5418075;114
142105;Nadarzyn;52.0644165,20.7967375;22
141505;Kadzidło;53.249991,21.466401;120
141507;Łyse;53.3707215,21.583253;135
142104;Michałowice;52.150428,20.8398625;14
141508;Myszyniec;53.3598515,21.350655;131
142106;Raszyn;52.129531,20.913398;11
141509;Olszewo-Borki;53.064483,21.39477;99
142201;Przasnysz;53.0185045,20.8850185;92
141511;Troszyn;53.045385,21.783638;107
142204;Jednorożec;53.1603015,21.056506;107
141604;Brok;52.707555,21.8306535;78
142202;Chorzele;53.272637,20.9388005;119
141602;Andrzejewo;52.8314225,22.172433;104
141601;Ostrów Mazowiecka;52.807088,21.891092;89
141603;Boguty-Pianki;52.728661,22.3944885;109
140903;Lipsko;51.149191,21.6211825;124
140904;Rzeczniów;51.122945,21.39741;122
143410;Strachówka;52.401657,21.6161445;46
143404;Zielonka;52.291359,21.290852;20
143402;Marki;52.337004,21.119967;16
143401;Kobyłka;52.340022,21.198779;19
143403;Ząbki;52.292485,21.112519;12
143408;Poświętne;52.334726,21.418154;30
143406;Jadów;52.488464,21.622313;51
143405;Dąbrówka;52.4895085,21.271191;36
143407;Klembów;52.4123025,21.328504;31
143409;Radzymin;52.43396,21.176802;28
143411;Tłuszcz;52.4121495,21.4658635;38
143412;Wołomin;52.3493975,21.2677975;23
140207;Opinogóra Górna;52.924979,20.7417095;83
140209;Sońsk;52.7666655,20.719506;67
140306;Łaskarzew;51.796548,21.5808365;58
140302;Łaskarzew;51.7855135,21.6083235;61
140301;Garwolin;51.895984,21.6231955;53
140304;Garwolin;51.890929,21.554519;50
140303;Borowie;51.9528785,21.7773415;58
140305;Górzno;51.860484,21.7147425;60
140312;Trojanów;51.690822,21.7752785;76
140308;Miastków Kościelny;51.8938505,21.825847;64
140307;Maciejowice;51.702205,21.5419975;65
140309;Parysów;51.982036,21.6612385;49
140310;Pilawa;51.983361,21.540269;42
140311;Sobolew;51.747,21.6908335;68
140314;Żelechów;51.802805,21.860347;72
142909;Sterdyń;52.5892525,22.3267135;98
142801;Sochaczew;52.2362685,20.244553;54
142805;Nowa Sucha;52.1624595,20.198773;57
142803;Iłów;52.3403225,20.0342145;70
142802;Brochów;52.3331145,20.3204;51
142804;Młodzieszyn;52.320013,20.1827875;59
142806;Rybno;52.232834,20.096828;64
142808;Teresin;52.187816,20.39586;43
143004;Orońsko;51.321709,20.949433;98
143002;Jastrząb;51.234947,20.959103;107
143001;Chlewiska;51.2340775,20.7299885;109
143003;Mirów;51.1875965,21.008175;113
143005;Szydłowiec;51.24429,20.8304785;107
143201;Błonie;52.2057215,20.5766555;31
142203;Czernice Borowe;53.0382775,20.76082;95
142206;Krzynowłoga Mała;53.1605345,20.835846;108
142205;Krasne;52.921718,20.895696;81
142207;Przasnysz;53.025543,20.919615;92
142304;Odrzywół;51.549405,20.506052;81
142302;Gielniów;51.397207,20.503139;96
142301;Borkowice;51.304386,20.6954645;102
142303;Klwów;51.5165625,20.639682;81
141608;Stary Lubotyń;52.9178625,21.9300525;100
142305;Potworów;51.4897815,20.7336795;82
141606;Nur;52.6788415,22.341252;103
142308;Wieniawa;51.367814,20.7836375;94
141605;Małkinia Górna;52.700896,22.02347;87
142307;Rusinów;51.44344,20.5958145;89
141607;Ostrów Mazowiecka;52.8069925,21.86805;88
142401;Gzy;52.7474255,20.8938765;62
141610;Wąsewo;52.844201,21.6974055;85
142403;Pokrzywnica;52.6060935,21.0538415;45
141609;Szulborze Wielkie;52.7582395,22.2448765;103
142402;Obryte;52.7233,21.2315925;60
141611;Zaręby Kościelne;52.7459635,22.1321855;96
141706;Osieck;51.9553345,21.427895;38
141702;Otwock;52.1160685,21.2893485;20
141701;Józefów;52.128571,21.220059;15
141703;Celestynów;52.040891,21.3975845;31
141704;Karczew;52.0345535,21.2791085;25
141705;Kołbiel;52.059116,21.4899845;35
141708;Wiązowna;52.165478,21.361621;23
141707;Sobienie-Jeziory;51.9356325,21.331511;36
143501;Brańszczyk;52.663635,21.6290525;65
143503;Rząśnik;52.7093355,21.3839375;61
143502;Długosiodło;52.7654735,21.580196;73
143504;Somianka;52.5740545,21.253347;44
143505;Wyszków;52.5893925,21.468725;52
143506;Zabrodzie;52.5022565,21.4427005;44
143702;Kuczbork-Osada;53.102323,20.0313645;121
143701;Bieżuń;52.9587395,19.93776;112
143704;Lutocin;53.0018375,19.770088;123
143703;Lubowidz;53.124946,19.8042145;132
143705;Siemiątkowo;52.8849735,20.0375995;102
143706;Żuromin;53.048541,19.9059875;121
143803;Puszcza Mariańska;51.9838035,20.328416;54
141001;Huszlew;52.1246475,22.8332685;123
141004;Platerów;52.2920415,22.7881645;120
141002;Łosice;52.217725,22.738954;116
141003;Olszanka;52.145166,22.664206;111
141006;Stara Kornica;52.183934,22.9540405;131
141005;Sarnaki;52.294398,22.967011;132
141107;Różan;52.8880105,21.3775175;80
141101;Maków Mazowiecki;52.861706,21.093105;74
141105;Młynarze;52.972168,21.3924685;89
141103;Karniewo;52.8338335,20.9774805;71
141102;Czerwonka;52.8976015,21.194653;78
141104;Krasnosielc;53.0559665,21.177561;96
141106;Płoniawy-Bramura;52.9815945,21.079778;87
141109;Sypniewo;52.9956455,21.2932295;90
140403;Pacyna;52.304673,19.7093055;91
140401;Gostynin;52.42424,19.462604;110
140402;Gostynin;52.429665,19.4142365;113
140405;Szczawin Kościelny;52.351668,19.5940795;99
140404;Sanniki;52.331658,19.86519;81
140501;Milanówek;52.124853,20.6703385;26
140503;Baranów;52.143414,20.477234;38
140502;Podkowa Leśna;52.111247,20.7469465;22
140505;Jaktorów;52.07922,20.511337;38
140504;Grodzisk Mazowiecki;52.098763,20.6186615;30
140506;Żabia Wola;51.997984,20.6836645;33
140604;Goszczyn;51.741576,20.857935;52
140602;Błędów;51.797327,20.66446;51
140601;Belsk Duży;51.811429,20.8137795;46
140603;Chynów;51.886998,21.0802225;35
142407;Zatory;52.617616,21.2039655;48
142405;Świercze;52.6678925,20.8016925;54
142404;Pułtusk;52.7267505,21.0841065;59
142406;Winnica;52.635875,20.9240955;49
142501;Pionki;51.471773,21.447539;86
142502;Gózd;51.3665275,21.3403555;95
142509;Przytyk;51.460018,20.873203;83
142505;Jedlińsk;51.513096,21.1104945;77
142503;Iłża;51.1615645,21.258097;117
142504;Jastrzębia;51.508935,21.251889;78
141801;Góra Kalwaria;51.971361,21.177154;27
142506;Jedlnia-Letnisko;51.420149,21.3187345;89
141803;Lesznowola;52.071348,20.922585;16
142508;Pionki;51.47194,21.4100385;85
141802;Konstancin-Jeziorna;52.0888415,21.130226;14
142511;Wierzbica;51.2507535,21.100269;106
141805;Prażmów;51.9641215,21.0108315;26
141804;Piaseczno;52.049303,20.999221;17
141806;Tarczyn;51.9755595,20.8142895;29
141910;Radzanowo;52.586918,19.8521035;91
141902;Bodzanów;52.4888125,20.001862;77
141901;Bielsk;52.661641,19.8090255;98
141904;Bulkowo;52.556771,20.0760055;76
141903;Brudzeń Duży;52.6479125,19.5071495;115
141906;Gąbin;52.41507,19.7654455;89
