teryt;exteryt;bb;center;razem;rok
200604;2;53.239369,21.871687 53.372394,22.126193;53.3058815,21.99894;3;2018
061901;1;51.515487,23.489497 51.567085,23.577895;51.541286,23.533696;3;2018
100205;2;52.108712,19.351588 52.230516,19.531095;52.169614,19.4413415;1;2018
101609;2;51.419876,19.856217 51.591424,20.165263;51.50565,20.01074;3;2018
060604;2;50.840478,23.018896 50.944490,23.288705;50.892484,23.1538005;4;2018
101214;2;50.843277,19.557725 50.990855,19.848047;50.917066,19.702886;2;2018
041901;3;52.796721,17.823124 52.917909,18.070491;52.857315,17.9468075;2;2018
062007;2;50.751964,22.934358 50.869116,23.180063;50.81054,23.0572105;2;2018
081009;2;51.408415,15.232969 51.760931,15.519434;51.584673,15.3762015;4;2018
061802;2;50.344783,23.366159 50.405393,23.496527;50.375088,23.431343;2;2018
281004;2;53.625476,21.161178 53.814359,21.522328;53.7199175,21.341753;3;2018
261002;2;51.010864,20.600919 51.172750,20.825564;51.091807,20.7132415;2;2018
121103;2;49.326571,19.739154 49.532042,19.954361;49.4293065,19.8467575;4;2018
302108;3;52.311748,17.117626 52.449488,17.375180;52.380618,17.246403;1;2018
220605;2;54.019291,18.126537 54.132215,18.361261;54.075753,18.243899;2;2018
101105;2;51.923927,18.840894 52.025305,19.151716;51.974616,18.996305;3;2018
161106;3;50.356569,18.236291 50.483442,18.396310;50.4200055,18.3163005;3;2018
021402;3;51.051527,17.392195 51.231561,17.611502;51.141544,17.5018485;3;2018
241302;1;50.451229,18.839379 50.537793,19.053668;50.494511,18.9465235;5;2018
160905;2;50.700229,17.891905 50.867569,18.146728;50.783899,18.0193165;2;2018
221405;2;53.957757,18.653637 54.045602,18.872258;54.0016795,18.7629475;2;2018
302708;2;51.944176,18.390743 52.072704,18.618018;52.00844,18.5043805;2;2018
247701;1;50.077167,18.925622 50.175833,19.091515;50.1265,19.0085685;2;2018
142605;3;52.120080,22.372891 52.272435,22.647386;52.1962575,22.5101385;2;2018
061105;2;51.842410,22.114538 52.037457,22.579797;51.9399335,22.3471675;1;2018
121504;2;49.571751,19.619409 49.669875,19.811972;49.620813,19.7156905;1;2018
300701;2;51.775882,17.934043 52.001068,18.094297;51.888475,18.01417;1;2018
060910;2;51.037355,22.306963 51.185196,22.479511;51.1112755,22.393237;2;2018
160907;3;50.577670,17.466235 50.732149,17.720152;50.6549095,17.5931935;4;2018
060117;2;51.777726,23.312640 51.937026,23.557199;51.857376,23.4349195;2;2018
040202;2;53.197458,19.113839 53.334458,19.377643;53.265958,19.245741;3;2018
140105;2;51.575352,21.021930 51.733730,21.242962;51.654541,21.132446;3;2018
101901;1;51.560953,18.903643 51.629502,19.025922;51.5952275,18.9647825;7;2018
141606;2;52.609391,22.208579 52.748292,22.473925;52.6788415,22.341252;4;2018
143605;3;51.264311,21.445074 51.425235,21.707045;51.344773,21.5760595;4;2018
140804;3;52.456247,20.891892 52.566223,21.150111;52.511235,21.0210015;3;2018
281405;2;53.654888,20.110319 53.793661,20.413900;53.7242745,20.2621095;2;2018
280305;2;53.143915,19.905658 53.330373,20.123587;53.237144,20.0146225;2;2018
020813;3;50.196963,16.802995 50.324377,17.028314;50.26067,16.9156545;4;2018
280104;3;54.022853,20.780646 54.168752,21.110771;54.0958025,20.9457085;3;2018
181103;2;50.265230,21.208832 50.376128,21.373195;50.320679,21.2910135;3;2018
241006;2;49.975664,18.749183 50.068567,18.898621;50.0221155,18.823902;1;2018
220706;2;53.598919,18.739011 53.708057,18.948209;53.653488,18.84361;3;2018
020105;2;51.258337,15.249757 51.531046,15.595944;51.3946915,15.4228505;1;2018
301206;3;51.626367,17.222199 51.703554,17.478285;51.6649605,17.350242;2;2018
302111;3;52.512977,16.893745 52.680571,17.187340;52.596774,17.0405425;4;2018
080803;2;52.095019,15.291706 52.224295,15.582295;52.159657,15.4370005;2;2018
142303;2;51.449463,20.568773 51.583662,20.710591;51.5165625,20.639682;1;2018
300402;3;51.818975,16.860926 51.980203,17.072930;51.899589,16.966928;1;2018
320608;3;52.823475,14.504340 53.007051,14.761158;52.915263,14.632749;3;2018
062003;2;50.584124,23.392543 50.689448,23.604229;50.636786,23.498386;2;2018
041201;1;53.042806,19.385979 53.083331,19.455439;53.0630685,19.420709;1;2018
080907;2;51.833425,15.232134 51.986173,15.476628;51.909799,15.354381;2;2018
061207;2;51.185537,21.807935 51.308732,21.980355;51.2471345,21.894145;2;2018
060107;2;52.131366,23.030030 52.287830,23.181566;52.209598,23.105798;2;2018
240905;3;50.581031,19.248986 50.692402,19.488885;50.6367165,19.3689355;3;2018
281203;2;53.302471,19.658276 53.467023,19.904018;53.384747,19.781147;4;2018
020607;2;50.792656,15.744178 50.902622,15.927704;50.847639,15.835941;4;2018
101606;2;51.532370,19.942232 51.662680,20.155724;51.597525,20.048978;3;2018
120406;2;50.113111,21.052136 50.262541,21.182680;50.187826,21.117408;2;2018
141806;3;51.921362,20.685189 52.029757,20.943390;51.9755595,20.8142895;2;2018
140505;2;52.032617,20.439432 52.125823,20.583242;52.07922,20.511337;3;2018
281005;2;53.715552,21.051370 53.959536,21.242403;53.837544,21.1468865;2;2018
061201;2;51.043530,22.052660 51.157312,22.235632;51.100421,22.144146;4;2018
320702;3;53.767820,14.769857 53.912067,15.096698;53.8399435,14.9332775;4;2018
041403;2;53.438441,18.236226 53.584840,18.413799;53.5116405,18.3250125;6;2018
281104;3;53.287331,20.294799 53.530698,20.690461;53.4090145,20.49263;3;2018
300306;2;52.440212,17.320634 52.564989,17.533234;52.5026005,17.426934;1;2018
100607;3;51.660336,19.669950 51.783146,19.983019;51.721741,19.8264845;2;2018
240310;3;49.750969,18.718873 49.865111,18.855818;49.80804,18.7873455;3;2018
260304;2;50.201449,20.593739 50.321459,20.774728;50.261454,20.6842335;2;2018
321002;2;52.624689,14.436438 52.771609,14.675157;52.698149,14.5557975;2;2018
220704;3;53.634981,19.079450 53.841541,19.322978;53.738261,19.201214;4;2018
280407;3;53.941150,19.552067 54.147536,19.832619;54.044343,19.692343;3;2018
121110;2;49.464163,20.145313 49.573189,20.470079;49.518676,20.307696;3;2018
240106;2;50.350430,19.054353 50.422760,19.189477;50.386595,19.121915;2;2018
060610;2;50.966773,23.214332 51.050179,23.455003;51.008476,23.3346675;2;2018
220203;2;53.571152,17.413048 53.921677,17.775425;53.7464145,17.5942365;2;2018
041401;2;53.363182,18.150628 53.481797,18.344852;53.4224895,18.24774;2;2018
142204;2;53.059454,20.898734 53.261149,21.214278;53.1603015,21.056506;4;2018
302201;3;51.640987,16.638585 51.746425,16.887044;51.693706,16.7628145;3;2018
220402;2;54.192925,18.734110 54.317712,18.948108;54.2553185,18.841109;1;2018
121802;2;49.912820,19.535711 50.000425,19.733062;49.9566225,19.6343865;3;2018
100906;2;51.150970,18.787582 51.270345,18.956045;51.2106575,18.8718135;2;2018
326101;1;54.137392,16.110150 54.276991,16.323309;54.2071915,16.2167295;6;2018
022505;2;50.990142,14.983514 51.133328,15.168249;51.061735,15.0758815;2;2018
041107;2;52.421531,18.592740 52.580234,18.758314;52.5008825,18.675527;4;2018
041812;3;52.440701,18.726897 52.595631,18.973233;52.518166,18.850065;2;2018
241203;2;50.082708,18.451668 50.121632,18.493651;50.10217,18.4726595;1;2018
101403;2;51.449137,18.358481 51.558003,18.549896;51.50357,18.4541885;2;2018
121002;2;49.587517,20.554728 49.704369,20.828698;49.645943,20.691713;4;2018
061502;2;51.660061,22.396855 51.797151,22.600024;51.728606,22.4984395;3;2018
240312;2;49.817084,18.565670 49.910416,18.667602;49.86375,18.616636;3;2018
101608;2;51.552748,20.197378 51.660047,20.424890;51.6063975,20.311134;2;2018
142604;2;52.189456,22.042275 52.338237,22.217674;52.2638465,22.1299745;3;2018
060314;2;50.975665,23.554443 51.096675,23.808999;51.03617,23.681721;1;2018
080906;3;52.006263,15.403577 52.182680,15.747460;52.0944715,15.5755185;6;2018
160106;2;50.719180,17.349024 50.828728,17.543122;50.773954,17.446073;1;2018
041303;2;53.274505,17.548757 53.449770,17.770041;53.3621375,17.659399;4;2018
280204;2;54.256517,20.050342 54.418610,20.335359;54.3375635,20.1928505;2;2018
182004;3;50.387786,21.612429 50.538910,21.866163;50.463348,21.739296;1;2018
320805;2;53.873037,15.418028 54.033763,15.645121;53.9534,15.5315745;1;2018
121806;2;49.944265,19.464435 50.027096,19.585516;49.9856805,19.5249755;2;2018
020502;3;50.852741,15.929791 50.992373,16.204282;50.922557,16.0670365;4;2018
303101;1;53.340493,17.005995 53.377923,17.084266;53.359208,17.0451305;3;2018
321605;2;53.821960,15.528492 53.970411,15.815286;53.8961855,15.671889;1;2018
247601;1;50.270756,18.883560 50.324956,18.936971;50.297856,18.9102655;4;2018
020904;2;51.176286,16.184253 51.296386,16.364312;51.236336,16.2742825;4;2018
080801;2;52.213624,15.304745 52.375885,15.501787;52.2947545,15.403266;2;2018
140403;2;52.253680,19.613539 52.355666,19.805072;52.304673,19.7093055;2;2018
142906;2;52.313728,22.306054 52.439475,22.564640;52.3766015,22.435347;2;2018
280101;1;54.234776,20.768664 54.276841,20.852106;54.2558085,20.810385;4;2018
260101;3;50.364030,20.605328 50.566991,20.917500;50.4655105,20.761414;3;2018
061507;2;51.788107,22.352517 51.890208,22.578660;51.8391575,22.4655885;2;2018
100611;3;51.507711,19.442878 51.645399,19.634155;51.576555,19.5385165;1;2018
180606;2;50.244076,21.789185 50.414764,21.994680;50.32942,21.8919325;4;2018
281003;2;53.764102,21.178266 53.995792,21.490334;53.879947,21.3343;2;2018
060213;2;50.487761,22.786874 50.644472,23.001933;50.5661165,22.8944035;1;2018
321405;3;53.364685,15.425150 53.506521,15.721691;53.435603,15.5734205;3;2018
241105;3;50.154934,18.235204 50.258235,18.503242;50.2065845,18.369223;2;2018
201102;2;53.367004,23.146961 53.535540,23.426272;53.451272,23.2866165;4;2018
142702;2;52.676779,19.587678 52.798872,19.828597;52.7378255,19.7081375;2;2018
220506;2;54.174133,17.823214 54.298232,18.155899;54.2361825,17.9895565;1;2018
260417;2;50.782199,20.430119 50.858071,20.616654;50.820135,20.5233865;2;2018
241204;2;50.073748,18.283109 50.155957,18.467919;50.1148525,18.375514;3;2018
140205;2;52.975849,20.537060 53.104802,20.695832;53.0403255,20.616446;2;2018
303002;3;52.111752,17.425898 52.268280,17.617838;52.190016,17.521868;3;2018
022503;3;50.862082,14.817458 51.033658,15.021714;50.94787,14.919586;6;2018
100707;2;51.327887,20.055240 51.470910,20.227439;51.3993985,20.1413395;2;2018
101502;2;51.738631,19.987138 51.863011,20.189206;51.800821,20.088172;3;2018
240201;1;49.652801,18.954534 49.739977,19.061638;49.696389,19.008086;2;2018
100806;2;51.707804,18.998891 51.832794,19.310219;51.770299,19.154555;2;2018
281509;2;53.507924,19.738182 53.769870,20.149159;53.638897,19.9436705;3;2018
220804;2;54.468763,17.538287 54.678147,17.847191;54.573455,17.692739;4;2018
321003;3;52.630960,14.593043 52.892881,14.917822;52.7619205,14.7554325;6;2018
121607;2;49.746745,20.987177 49.842339,21.169783;49.794542,21.07848;2;2018
220908;2;54.010079,19.085540 54.115571,19.282213;54.062825,19.1838765;2;2018
020102;2;51.175601,15.435787 51.466225,15.667149;51.320913,15.551468;2;2018
020104;3;51.112362,15.205959 51.282261,15.496663;51.1973115,15.351311;2;2018
142909;2;52.522684,22.204199 52.655821,22.449228;52.5892525,22.3267135;3;2018
022601;1;50.920320,15.874943 50.991546,15.981654;50.955933,15.9282985;2;2018
301201;1;51.582325,17.455377 51.649957,17.589205;51.616141,17.522291;2;2018
142609;2;52.035929,21.978164 52.170541,22.210887;52.103235,22.0945255;2;2018
201101;3;53.528919,23.139424 53.721957,23.458105;53.625438,23.2987645;2;2018
300101;1;52.964959,16.885130 53.024986,16.946300;52.9949725,16.915715;2;2018
080503;3;52.370380,14.746988 52.529983,15.044048;52.4501815,14.895518;3;2018
301307;2;51.853577,16.276275 51.995192,16.497253;51.9243845,16.386764;4;2018
061410;2;51.252122,22.045241 51.349376,22.190247;51.300749,22.117744;1;2018
160903;2;50.737305,17.768842 50.839428,17.928725;50.7883665,17.8487835;3;2018
061305;2;51.605757,23.130666 51.716810,23.323153;51.6612835,23.2269095;3;2018
160803;3;50.788928,18.329811 50.964483,18.654950;50.8767055,18.4923805;1;2018
261306;3;50.721703,19.747071 50.929841,20.120507;50.825772,19.933789;2;2018
142011;2;52.610062,20.371128 52.739389,20.614048;52.6747255,20.492588;4;2018
302102;1;52.250215,16.812990 52.305012,16.890596;52.2776135,16.851793;2;2018
020403;2;51.608363,16.267804 51.782312,16.478252;51.6953375,16.373028;3;2018
020703;3;50.598623,15.829938 50.761097,16.109568;50.67986,15.969753;3;2018
140607;3;51.596926,20.619914 51.761295,20.814848;51.6791105,20.717381;3;2018
142509;2;51.394716,20.757257 51.525320,20.989149;51.460018,20.873203;4;2018
221309;3;53.992736,18.278068 54.143191,18.590810;54.0679635,18.434439;3;2018
302803;3;52.884833,17.174328 53.084018,17.444864;52.9844255,17.309596;2;2018
140701;2;51.444391,21.536967 51.529644,21.762433;51.4870175,21.6497;2;2018
260108;2;50.307226,20.604319 50.435571,20.762916;50.3713985,20.6836175;2;2018
142805;2;52.114652,20.078554 52.210267,20.318992;52.1624595,20.198773;3;2018
101203;2;50.878931,19.378758 51.014024,19.584773;50.9464775,19.4817655;3;2018
320801;1;54.150005,15.513214 54.200946,15.686112;54.1754755,15.599663;5;2018
281201;1;53.406307,19.549115 53.444255,19.618646;53.425281,19.5838805;3;2018
301203;3;51.776057,17.291192 51.901148,17.562388;51.8386025,17.42679;2;2018
260413;2;50.812607,20.971547 50.915469,21.174038;50.864038,21.0727925;2;2018
201207;2;54.003621,22.771259 54.184198,23.153647;54.0939095,22.962453;3;2018
121014;2;49.547285,20.471570 49.647184,20.656778;49.5972345,20.564174;2;2018
061601;1;51.529227,21.814096 51.605340,21.934581;51.5672835,21.8743385;4;2018
220608;2;53.901725,17.988174 54.057551,18.349536;53.979638,18.168855;2;2018
301503;2;52.322280,15.804083 52.483583,16.169486;52.4029315,15.9867845;2;2018
260303;3;50.185454,20.352978 50.316714,20.602420;50.251084,20.477699;4;2018
021702;2;50.699562,16.857894 50.834423,17.012061;50.7669925,16.9349775;2;2018
302701;1;51.993171,18.464648 52.039355,18.558396;52.016263,18.511522;4;2018
101204;2;51.104288,19.423834 51.200439,19.594530;51.1523635,19.509182;2;2018
300305;3;52.543888,17.312424 52.690470,17.532409;52.617179,17.4224165;1;2018
260909;3;50.767967,21.708982 50.880872,21.869030;50.8244195,21.789006;4;2018
280106;3;54.170786,20.855215 54.358334,21.220547;54.26456,21.037881;2;2018
320303;3;53.200979,15.584516 53.439180,16.076150;53.3200795,15.830333;5;2018
280503;2;53.747578,22.484474 53.952856,22.785437;53.850217,22.6349555;3;2018
040501;1;53.094060,19.030500 53.130403,19.077774;53.1122315,19.054137;5;2018
301708;2;51.399492,17.512299 51.556320,17.800594;51.477906,17.6564465;3;2018
180603;2;50.332733,21.635421 50.482245,21.904702;50.407489,21.7700615;1;2018
181603;3;49.946992,21.746702 50.042610,21.965621;49.994801,21.8561615;2;2018
247301;1;50.035408,18.441684 50.185671,18.656840;50.1105395,18.549262;6;2018
240604;2;50.936118,18.873634 51.035534,19.127733;50.985826,19.0006835;2;2018
181106;2;50.376635,21.400087 50.496438,21.596366;50.4365365,21.4982265;2;2018
061005;2;51.232287,22.922620 51.371071,23.084719;51.301679,23.0036695;2;2018
302106;2;52.275891,17.049337 52.377242,17.241292;52.3265665,17.1453145;2;2018
101104;3;51.917835,18.714962 52.076454,18.885790;51.9971445,18.800376;1;2018
040606;2;53.378247,19.015849 53.501589,19.236643;53.439918,19.126246;2;2018
241309;2;50.328019,18.613971 50.487565,18.812031;50.407792,18.713001;3;2018
100406;2;51.996583,19.362212 52.132224,19.562158;52.0644035,19.462185;2;2018
321501;1;53.660341,16.609374 53.745164,16.779856;53.7027525,16.694615;5;2018
060602;2;51.021075,22.877368 51.122814,23.036745;51.0719445,22.9570565;2;2018
300911;3;52.296984,18.827399 52.399895,19.047436;52.3484395,18.9374175;1;2018
026201;1;51.160616,16.083463 51.248847,16.233160;51.2047315,16.1583115;5;2018
143005;3;51.145335,20.722567 51.343245,20.938390;51.24429,20.8304785;4;2018
100104;2;51.181923,19.179872 51.299409,19.413782;51.240666,19.296827;5;2018
240507;3;50.385070,18.379609 50.499462,18.635324;50.442266,18.5074665;2;2018
301403;3;52.448320,15.776542 52.724716,16.031978;52.586518,15.90426;2;2018
141902;2;52.425481,19.860383 52.552144,20.143341;52.4888125,20.001862;2;2018
201404;2;52.841759,21.976105 52.986131,22.217544;52.913945,22.0968245;2;2018
241306;2;50.428565,18.982462 50.522545,19.134466;50.475555,19.058464;3;2018
041202;2;52.992395,19.180026 53.116707,19.339266;53.054551,19.259646;2;2018
121704;2;49.192617,19.758410 49.354127,19.934124;49.273372,19.846267;3;2018
142304;2;51.481899,20.415104 51.616911,20.597000;51.549405,20.506052;2;2018
241702;2;49.726045,19.127505 49.828882,19.261664;49.7774635,19.1945845;3;2018
240208;2;49.775650,19.175320 49.871614,19.316784;49.823632,19.246052;2;2018
143701;3;52.901466,19.817119 53.016013,20.058401;52.9587395,19.93776;3;2018
221207;2;54.368241,17.291261 54.553038,17.619265;54.4606395,17.455263;4;2018
300102;2;52.815955,16.770312 52.956906,17.100567;52.8864305,16.9354395;2;2018
281002;3;53.722339,21.404677 53.895222,21.743789;53.8087805,21.574233;2;2018
142601;2;52.001473,22.067907 52.085464,22.226831;52.0434685,22.147369;3;2018
141107;3;52.826739,21.286158 52.949282,21.468877;52.8880105,21.3775175;2;2018
020601;1;50.735943,15.680274 50.791791,15.808323;50.763867,15.7442985;3;2018
302302;2;52.179073,17.740740 52.248579,18.030244;52.213826,17.885492;2;2018
081107;2;51.363405,14.784004 51.574792,15.088864;51.4690985,14.936434;2;2018
061812;3;50.565774,23.575576 50.704265,23.774134;50.6350195,23.674855;4;2018
320407;3;53.597232,14.381416 53.796681,14.834775;53.6969565,14.6080955;2;2018
220602;2;53.953611,17.646301 54.070481,17.925125;54.012046,17.785713;2;2018
320502;3;53.812354,15.021293 54.008691,15.307066;53.9105225,15.1641795;4;2018
280702;1;53.476311,19.710648 53.524704,19.799173;53.5005075,19.7549105;3;2018
120305;3;50.103467,19.387432 50.229052,19.588696;50.1662595,19.488064;3;2018
281403;3;53.890639,20.276245 54.103764,20.581407;53.9972015,20.428826;6;2018
041205;2;52.955622,19.497741 53.118227,19.690281;53.0369245,19.594011;1;2018
160301;1;50.285924,18.100881 50.404973,18.390216;50.3454485,18.2455485;4;2018
181610;2;49.863461,21.901220 49.973666,22.038792;49.9185635,21.970006;2;2018
080402;3;51.668587,15.741561 51.766432,15.871824;51.7175095,15.8066925;1;2018
281603;3;53.458916,21.449513 53.810264,21.977125;53.63459,21.713319;3;2018
120603;2;50.173015,19.913954 50.283497,20.033874;50.228256,19.973914;4;2018
180703;3;49.507749,21.732410 49.624936,21.836258;49.5663425,21.784334;3;2018
160105;2;50.847643,17.427415 50.999789,17.693715;50.923716,17.560565;4;2018
041902;2;52.696247,17.678127 52.825002,17.918719;52.7606245,17.798423;4;2018
281602;3;53.712115,21.687493 53.902604,22.193523;53.8073595,21.940508;2;2018
141302;2;53.087001,20.526976 53.269529,20.728663;53.178265,20.6278195;2;2018
240303;1;49.585337,18.804589 49.686277,19.017074;49.635807,18.9108315;1;2018
143505;3;52.522546,21.327051 52.656239,21.610399;52.5893925,21.468725;5;2018
142512;2;51.331329,20.838213 51.433797,21.067054;51.382563,20.9526335;3;2018
060611;2;50.811862,22.757111 50.978554,22.931112;50.895208,22.8441115;2;2018
240101;1;50.301294,19.058420 50.370318,19.189572;50.335806,19.123996;3;2018
300710;2;51.613476,18.234951 51.754150,18.423483;51.683813,18.329217;3;2018
081005;3;51.471052,15.389567 51.646823,15.600178;51.5589375,15.4948725;2;2018
302002;2;51.921177,17.691452 52.045754,17.871912;51.9834655,17.781682;2;2018
306401;1;52.291925,16.731588 52.509328,17.071492;52.4006265,16.90154;7;2018
301603;2;52.709105,16.702623 52.888846,16.924976;52.7989755,16.8137995;2;2018
040308;3;52.970382,18.099222 53.098767,18.407412;53.0345745,18.253317;2;2018
041003;3;53.071888,17.506889 53.211986,17.790359;53.141937,17.648624;1;2018
120504;2;49.577159,21.046729 49.737440,21.254656;49.6572995,21.1506925;3;2018
080602;3;52.700437,15.577971 52.957083,15.979758;52.82876,15.7788645;4;2018
041206;2;53.074852,19.186134 53.217354,19.368385;53.146103,19.2772595;3;2018
300910;2;52.223221,18.479630 52.340485,18.654462;52.281853,18.567046;1;2018
026101;1;50.767774,15.577867 50.932555,15.877162;50.8501645,15.7275145;5;2018
240414;2;50.724740,19.422239 50.837860,19.598296;50.7813,19.5102675;2;2018
200302;1;52.732009,22.785076 52.803502,22.911112;52.7677555,22.848094;5;2018
221203;2;54.243792,17.082117 54.434602,17.462415;54.339197,17.272266;2;2018
321703;3;53.270057,15.973124 53.407455,16.350378;53.338756,16.161751;2;2018
182003;2;50.472885,21.711457 50.626050,21.990499;50.5494675,21.850978;3;2018
060912;2;50.979211,22.376021 51.140092,22.564193;51.0596515,22.470107;3;2018
061906;2;51.387891,23.354823 51.674861,23.686405;51.531376,23.520614;3;2018
300702;2;51.532877,18.158334 51.647832,18.378614;51.5903545,18.268474;3;2018
142504;2;51.437939,21.174554 51.579931,21.329224;51.508935,21.251889;5;2018
080302;3;52.342141,15.395796 52.536830,15.768649;52.4394855,15.5822225;5;2018
226101;1;54.274974,18.429617 54.447218,18.950242;54.361096,18.6899295;7;2018
181502;2;50.077771,21.510098 50.209091,21.701944;50.143431,21.606021;2;2018
240308;2;49.770104,18.582066 49.850897,18.708592;49.8105005,18.645329;2;2018
321606;2;53.670914,15.548389 53.859096,15.962323;53.765005,15.755356;2;2018
320607;2;53.237527,14.575121 53.366065,14.875208;53.301796,14.7251645;2;2018
141608;2;52.855221,21.831311 52.980504,22.028794;52.9178625,21.9300525;1;2018
101702;2;51.242736,18.479790 51.336640,18.643856;51.289688,18.561823;1;2018
142902;2;52.288217,22.076025 52.384979,22.367636;52.336598,22.2218305;2;2018
260702;2;50.976662,21.450605 51.065312,21.687214;51.020987,21.5689095;2;2018
300208;3;52.749686,16.075978 53.049158,16.410543;52.899422,16.2432605;2;2018
143802;3;51.844278,20.422986 52.022062,20.667096;51.93317,20.545041;2;2018
181505;2;49.887198,21.498961 50.000493,21.697253;49.9438455,21.598107;3;2018
240304;2;49.652388,18.808904 49.798246,18.997370;49.725317,18.903137;1;2018
101405;2;51.357354,18.675346 51.516392,18.878527;51.436873,18.7769365;1;2018
180803;2;50.256805,22.405448 50.400165,22.687965;50.328485,22.5467065;4;2018
041806;3;52.330636,18.913917 52.457041,19.135566;52.3938385,19.0247415;1;2018
100505;2;52.226505,19.736057 52.311263,19.965135;52.268884,19.850596;2;2018
180302;3;49.828609,21.326614 49.955068,21.523523;49.8918385,21.4250685;2;2018
142612;2;51.973184,21.867838 52.093181,22.086424;52.0331825,21.977131;2;2018
300301;1;52.483038,17.547818 52.566770,17.658837;52.524904,17.6033275;4;2018
201208;2;54.142030,22.961367 54.315950,23.159756;54.22899,23.0605615;3;2018
240301;1;49.718599,18.597076 49.792964,18.705735;49.7557815,18.6514055;5;2018
302204;2;51.545196,16.976641 51.653936,17.122585;51.599566,17.049613;4;2018
121201;1;50.224554,19.323460 50.297414,19.510849;50.260984,19.4171545;3;2018
281001;1;53.841987,21.263887 53.894876,21.333898;53.8684315,21.2988925;5;2018
301008;2;52.074408,17.968586 52.214883,18.192023;52.1446455,18.0803045;1;2018
320804;2;54.073456,15.347363 54.184726,15.680641;54.129091,15.514002;2;2018
143602;2;51.377570,21.550027 51.500842,21.787704;51.439206,21.6688655;1;2018
060804;2;51.573636,22.187511 51.675472,22.349398;51.624554,22.2684545;2;2018
121804;2;49.803599,19.683770 49.902247,19.811586;49.852923,19.747678;3;2018
161105;3;50.458276,18.094819 50.642448,18.485993;50.550362,18.290406;3;2018
180506;2;49.412250,21.358474 49.575931,21.614160;49.4940905,21.486317;2;2018
060202;2;50.425267,22.795780 50.509932,22.974656;50.4675995,22.885218;4;2018
302802;2;52.783817,17.346639 52.904149,17.527148;52.843983,17.4368935;2;2018
100603;2;51.621434,19.554865 51.712399,19.729826;51.6669165,19.6423455;2;2018
120905;2;49.800767,20.093197 49.878695,20.247548;49.839731,20.1703725;3;2018
060401;1;50.764560,23.837960 50.849030,23.943290;50.806795,23.890625;7;2018
040902;2;52.481160,18.090222 52.593177,18.362272;52.5371685,18.226247;4;2018
240209;3;49.863216,19.073166 49.958756,19.196778;49.910986,19.134972;1;2018
121809;3;49.795724,19.411902 49.924622,19.648210;49.860173,19.530056;6;2018
160804;3;51.006762,18.402622 51.141103,18.580782;51.0739325,18.491702;4;2018
120701;1;49.685595,20.368548 49.744392,20.452033;49.7149935,20.4102905;2;2018
121805;2;49.786186,19.461177 49.848640,19.594086;49.817413,19.5276315;4;2018
281101;2;53.214165,20.382791 53.348635,20.631884;53.2814,20.5073375;4;2018
221304;2;53.824602,18.449601 53.919757,18.625333;53.8721795,18.537467;1;2018
200901;1;54.095810,23.328519 54.125297,23.367035;54.1105535,23.347777;5;2018
220301;1;53.644029,17.321158 53.685563,17.414815;53.664796,17.3679865;3;2018
140302;1;51.759354,21.562900 51.811673,21.653747;51.7855135,21.6083235;3;2018
200201;3;53.071230,22.802836 53.217211,23.116345;53.1442205,22.9595905;3;2018
181405;3;49.887895,22.303614 50.009488,22.492844;49.9486915,22.398229;3;2018
022102;1;50.702649,16.291725 50.745722,16.387390;50.7241855,16.3395575;3;2018
301002;2;51.975740,17.934780 52.106235,18.128462;52.0409875,18.031621;3;2018
121001;1;49.594096,20.905474 49.635748,21.009086;49.614922,20.95728;1;2018
060112;2;52.075422,23.176568 52.194791,23.458337;52.1351065,23.3174525;1;2018
142804;2;52.253387,20.088144 52.386639,20.277431;52.320013,20.1827875;4;2018
040805;2;52.874375,19.009569 52.970852,19.215321;52.9226135,19.112445;2;2018
060607;2;50.990194,22.948789 51.098911,23.228646;51.0445525,23.0887175;2;2018
240505;2;50.299559,18.357780 50.446105,18.603468;50.372832,18.480624;2;2018
060606;2;50.876134,23.229503 50.974112,23.479518;50.925123,23.3545105;3;2018
121705;2;49.227122,19.899179 49.363686,20.109946;49.295404,20.0045625;2;2018
321306;2;54.231190,16.537563 54.446620,16.865117;54.338905,16.70134;2;2018
121008;2;49.435769,20.762664 49.549433,20.966216;49.492601,20.86444;3;2018
300105;3;52.995108,16.997165 53.089856,17.298860;53.042482,17.1480125;4;2018
141604;3;52.659335,21.693032 52.755775,21.968275;52.707555,21.8306535;2;2018
221210;2;54.484600,16.699087 54.679745,17.137952;54.5821725,16.9185195;2;2018
040407;2;53.169775,18.267172 53.283091,18.468025;53.226433,18.3675985;1;2018
200606;2;53.313057,21.592843 53.492757,21.834977;53.402907,21.71391;2;2018
302604;3;51.991339,16.868741 52.183803,17.143035;52.087571,17.005888;6;2018
101708;2;51.114233,18.347486 51.224501,18.450462;51.169367,18.398974;1;2018
221209;2;54.584271,17.059164 54.760091,17.531210;54.672181,17.295187;2;2018
260416;2;50.620417,20.843167 50.766456,21.166003;50.6934365,21.004585;2;2018
040603;3;53.456985,18.975036 53.598096,19.219655;53.5275405,19.0973455;2;2018
141306;2;52.949403,20.334749 53.069899,20.553596;53.009651,20.4441725;1;2018
060305;2;50.971951,23.754785 51.100625,23.943972;51.036288,23.8493785;4;2018
143506;2;52.462888,21.305862 52.541625,21.579539;52.5022565,21.4427005;5;2018
180605;2;50.230697,21.891812 50.333672,22.096591;50.2821845,21.9942015;2;2018
