M;R1;022503;GRZMIELEWICZ Andrzej;Komitet Wyborczy Prawo i Sprawiedliwość;7265;66.45;;Tak
M;R1;022504;MAGDA Jan;Komitet Wyborczy Wyborców Nasze Wspólne Dobro;1945;55.84;;Tak
M;R1;022505;STARZYŃSKI Robert Marek;Komitet Wyborczy Wyborców Roberta Starzyńskiego;1783;64.16;;Tak
M;R1;022601;MACIEJCZYK Sławomir Piotr;Komitet Wyborczy Wyborców INICJATYWA LOKALNA;991;62.44;;Tak
M;R1;022603;SYBIS Tomasz Jacek;Komitet Wyborczy Wyborców TOMASZ SYBIS GOSPODARNA GMINA;1145;54.97;;Tak
M;R1;022604;KOŁCZ Józef;Komitet Wyborczy Wyborców Józefa Kołcza KONTYNUACJA;1613;64.83;;Tak
M;R1;022606;LEŚNA Maria;Komitet Wyborczy Wyborców SAMORZĄDNA GMINA ZŁOTORYJA;1596;61.43;;Tak
M;R1;026501;SZEŁEMEJ Roman;Komitet Wyborczy Platforma Obywatelska RP;31878;84.00;;Tak
M;R1;040102;DZIERŻEWICZ Leszek Mirosław;Komitet Wyborczy Wyborców Dla Przyszłości Ciechocinka;2625;59.42;;Tak
S;R1;040104;OLSZEWSKI Andrzej Mieczysław;Komitet Wyborczy Wyborców Gmina Wspólny Dom;3006;100.00;;Tak
M;R1;040105;STĘPKOWSKI Ryszard Gerard;Komitet Wyborczy Polskie Stronnictwo Ludowe;1358;58.33;;Tak
M;R1;040106;BOROWSKI Ryszard Władysław;Komitet Wyborczy Prawo i Sprawiedliwość;972;61.32;;Tak
M;R1;040107;SŁOWIŃSKA Wiesława;Komitet Wyborczy Wyborców Rozwój i Tradycja;845;54.34;;Tak
M;R1;040108;KOSIK Piotr;Komitet Wyborczy Kujawska Inicjatywa Samorządowa;1827;78.31;;Tak
M;R1;040201;RADACZ Jarosław;Komitet Wyborczy Wyborców Przyszłość Brodnicy;5696;66.50;;Tak
M;R1;040202;KLONOWSKI Paweł;Komitet Wyborczy Wyborców Przyjazna Gmina Bobrowo;1715;68.03;;Tak
M;R1;040205;KINICKI Tomasz Izydor;Komitet Wyborczy Polskie Stronnictwo Ludowe;1249;61.83;;Tak
M;R1;040206;BIEGAŃSKI Wiesław Jerzy;Komitet Wyborczy Wyborców Rozwoju Gminy;969;53.15;;Tak
M;R1;040207;GóRSKI Przemysław Piotr;Komitet Wyborczy Polskie Stronnictwo Ludowe;2457;70.66;;Tak
M;R1;040209;ZALEWSKI Szymon Jan;Komitet Wyborczy Polskie Stronnictwo Ludowe;1287;61.49;;Tak
M;R1;040210;RAKOWSKI Wojciech Jerzy;Komitet Wyborczy Wyborców Wojciecha Rakowskiego;1188;52.61;;Tak
M;R1;040302;CIECHACKI Radosław;Komitet Wyborczy Wyborców Samorząd Gminy Dąbrowa Chełmińska;1756;67.20;;Tak
S;R1;040303;SZALA Krzysztof Franciszek;Komitet Wyborczy Wyborców "Gmina Wspólne Dobro";2192;100.00;;Tak
M;R1;040304;GLISZCZYŃSKI Stanisław;Komitet Wyborczy Wyborców Ziemia Koronowska;4033;50.41;;Tak
M;R1;040306;SYPNIEWSKI Wojciech;Komitet Wyborczy Wyborców Nasza Gmina Osielsko;3458;80.36;;Tak
M;R1;040307;WACH Jan Czesław;Komitet Wyborczy Wyborców Jana Wacha;2096;55.36;;Tak
M;R1;040308;SUBSTYK Teresa Maria;Komitet Wyborczy Wyborców Soleckie Forum Samorządowe;4015;78.51;;Tak
S;R1;040402;WYPIJ Krzysztof Józef;Komitet Wyborczy Wyborców Samorządowa Gmina Chełmno;1243;100.00;;Tak
M;R1;040403;MISIASZEK Mieczysław;Komitet Wyborczy Wyborców Gminy Kijewo Królewskie;1109;72.82;;Tak
M;R1;040404;KOCHOWICZ Jakub;Komitet Wyborczy Wyborców Wspólnie dla Gminy Lisewo;1285;56.41;;Tak
S;R1;040405;ZIELIŃSKI Andrzej;Komitet Wyborczy Wyborców Twoja Gmina;1300;100.00;;Tak
M;R1;040406;RABESZKO Jerzy Jan;Komitet Wyborczy Wyborców Samorządowe Stolno;1190;60.87;;Tak
M;R1;040407;DANIELEWICZ Jakub Szymon;Komitet Wyborczy Wyborców Razem dla Gminy Unisław;1862;65.33;;Tak
M;R1;040502;CIESZYŃSKI Jerzy;Komitet Wyborczy Wyborców "Razem dla Gminy Ciechocin";1217;68.14;;Tak
M;R1;040503;RYŁOWICZ Marek;Komitet Wyborczy Wyborców Gospodarna Gmina;3038;82.53;;Tak
M;R1;040504;GRABOWSKI Andrzej Antoni;Komitet Wyborczy Wyborców Nasza Gmina;2484;52.44;;Tak
M;R1;040505;WOLSKI Piotr Aleksander;Komitet Wyborczy Wyborców Czas Dobrych Gospodarzy;1602;75.89;;Tak
