urzad;teryt;razem;razemKobiety;wiek;PSL;PiS;PO;SLD;PP;NP;teryt.bis;xteryt;name;areaH;areaKm;popThs;popKm;rankA;rankP;type;bb;center;terytDup;uprawnieni;glosy;glosyNW;glosyLK;PSL;PiS;SLD;PO;ognw;PSLp;PiSp;SLDp;POp
Wójt Gminy Białobrzegi;181002;1;0;59.00;0;0;0;0;0;1;181002;2;Białobrzegi;5614;56;8671;154;1982;1016;gw;50.084631,22.230992 50.152385,22.452113;50.118508,22.3415525;181002;6674;2315;555;2182;485;1205;108;218;19.34000;20.95;52.05;4.67;9.42
Burmistrz Miasta i Gminy Myślibórz;321004;3;0;47.00;0;1;0;0;0;2;321004;3;Myślibórz;32886;329;20096;61;67;337;gmw;52.847984,14.671664 53.062577,15.070605;52.9552805,14.8711345;321004;16466;6174;1632;5967;1845;776;1284;1841;20.91000;29.88;12.57;20.80;29.82
Wójt Gminy Goraj;060206;2;0;52.00;0;1;0;0;0;1;060206;2;Goraj;6787;68;4137;61;1873;1944;gw;50.689808,22.613455 50.774920,22.787654;50.732364,22.7005545;060206;3579;1775;449;1709;676;630;105;186;20.19000;38.08;35.49;5.92;10.48
Wójt Gminy Dobre;041103;1;0;62.00;0;0;0;0;0;1;041103;2;Dobre;7082;71;5429;77;1839;1623;gw;52.643457,18.489638 52.725867,18.677749;52.684662,18.5836935;041103;4543;1797;750;1552;725;299;158;272;29.45000;40.35;16.64;8.79;15.14
Wójt Gminy Budry;281901;2;0;49.50;0;1;0;0;0;1;281901;2;Budry;17497;175;2875;16;486;2202;gw;54.202314,21.693949 54.333711,21.987784;54.2680125,21.8408665;281901;2491;796;206;780;475;73;95;124;20.56000;59.67;9.17;11.93;15.58
Wójt Gminy Stare Bogaczowice;022107;4;0;51.75;0;0;0;0;0;4;022107;2;Stare Bogaczowice;8729;88;4269;49;1576;1921;gw;50.771375,16.067670 50.887132,16.282821;50.8292535,16.1752455;022107;3437;1437;512;1341;198;236;114;736;26.27000;13.78;16.42;7.93;51.22
Burmistrz Miasta Środa Wielkopolska;302504;3;0;41.67;0;1;0;0;0;2;302504;3;Środa Wielkopolska;20716;207;32160;155;305;170;gmw;52.162120,17.111418 52.318416,17.473171;52.240268,17.2922945;302504;24820;9569;3114;8847;2061;1807;2327;1938;24.55000;21.54;18.88;24.32;20.25
Wójt Gminy Radziejowice;143804;2;1;55.00;0;0;0;0;0;2;143804;2;Radziejowice;7301;73;5710;78;1807;1545;gw;51.976805,20.408333 52.053970,20.624241;52.0153875,20.516287;143804;4288;1778;487;1685;781;462;90;236;21.50000;43.93;25.98;5.06;13.27
Burmistrz Janowca Wielkopolskiego;041903;4;0;49.00;0;1;0;0;0;3;041903;3;Janowiec Wielkopolski;13073;131;9113;70;902;958;gmw;52.672530,17.404394 52.862071,17.621487;52.7673005,17.5129405;041903;7429;3239;840;3123;2304;276;246;237;20.59000;71.13;8.52;7.59;7.32
Burmistrz Wołczyna;160404;2;0;48.00;0;0;0;0;0;2;160404;3;Wołczyn;24097;241;13748;57;200;578;gmw;50.937994,17.924207 51.144738,18.189825;51.041366,18.057016;160404;11248;3689;932;3515;1460;716;463;733;20.17000;39.58;19.41;12.55;19.87
Wójt Gminy Wieliczki;281306;2;1;55.00;0;0;0;0;0;2;281306;2;Wieliczki;14080;141;3401;24;779;2118;gw;53.888789,22.489724 54.052792,22.723744;53.9707905,22.606734;281306;2697;1159;361;1135;540;173;35;275;23.75000;46.59;14.93;3.02;23.73
Wójt Gminy Kołaki Kościelne;201402;4;0;50.75;0;0;0;0;0;4;201402;2;Kołaki Kościelne;7365;74;2349;32;1795;2258;gw;52.957110,22.286379 53.066651,22.442526;53.0118805,22.3644525;201402;1987;1177;185;1158;599;456;13;53;13.58000;50.89;38.74;1.10;4.50
Wójt Gminy Opatów;240605;3;0;53.00;1;0;1;0;0;1;240605;2;Opatów;7348;73;6809;93;1799;1321;gw;50.895895,18.741246 50.997222,18.918019;50.9465585,18.8296325;240605;5583;1829;700;1680;866;303;204;173;27.68000;47.35;16.57;11.15;9.46
Burmistrz Miasta Boguszowa-Gorc;022101;4;1;47.50;0;0;0;0;0;4;022101;1;Boguszów-Gorce;2702;27;15566;576;2183;490;gm;50.719996,16.154928 50.790068,16.256081;50.755032,16.2055045;022101;12991;4241;1202;3977;519;650;469;2192;22.08000;12.24;15.33;11.06;51.69
Wójt Gminy Ułęż;061606;6;3;44.50;0;1;0;1;0;4;061606;2;Ułęż;8347;84;3233;39;1647;2149;gw;51.565301,21.978774 51.662336,22.243063;51.6138185,22.1109185;061606;2805;1465;238;1337;902;235;57;85;13.98000;61.57;16.04;3.89;5.80
Wójt Gminy Obryte;142402;3;0;47.33;1;1;0;0;0;1;142402;2;Obryte;13976;140;4818;34;790;1778;gw;52.666831,21.109734 52.779769,21.353451;52.7233,21.2315925;142402;3992;1989;1021;1942;1122;578;50;93;33.92000;56.41;29.06;2.51;4.68
Wójt Gminy Koźminek;300705;5;1;48.00;1;1;0;0;0;3;300705;2;Koźminek;8865;89;7557;85;1554;1185;gw;51.735914,18.225397 51.848365,18.432236;51.7921395,18.3288165;300705;6056;2384;710;2286;1257;444;190;300;22.95000;52.73;18.62;7.97;12.58
Wójt Gminy Szczaniec;080804;3;1;57.00;1;1;0;0;0;1;080804;2;Szczaniec;11333;113;3872;34;1158;2016;gw;52.161022,15.605051 52.323437,15.782266;52.2422295,15.6936585;080804;3093;1268;492;1141;452;243;140;240;27.95000;35.65;19.16;11.04;18.93
Wójt Gminy Mochowo;142703;3;0;48.00;1;1;0;0;0;1;142703;2;Mochowo;14371;144;6091;42;748;1469;gw;52.685965,19.423008 52.867128,19.638153;52.7765465,19.5305805;142703;4942;2640;938;2580;2059;233;72;75;26.22000;77.99;8.83;2.73;2.84
Burmistrz Gminy Żychlin;100211;2;0;49.00;0;1;0;0;0;1;100211;3;Żychlin;7664;77;12084;158;1750;686;gmw;52.189453,19.534856 52.278686,19.763976;52.2340695,19.649416;100211;10459;3384;1232;3227;1324;673;603;475;26.69000;39.13;19.89;17.82;14.04
Wójt Gminy Osielsko;040306;2;0;49.00;0;0;0;0;0;2;040306;2;Osielsko;10172;102;13762;135;1361;576;gw;53.162250,17.930773 53.270666,18.179851;53.216458,18.055312;040306;9367;3781;649;3635;503;663;356;1680;14.65000;13.30;17.54;9.42;44.43
Burmistrz Kazimierza Dolnego;061404;5;0;50.20;0;1;0;0;0;4;061404;3;Kazimierz Dolny;7241;72;6769;93;1813;1329;gmw;51.269674,21.890575 51.382033,22.084939;51.3258535,21.987757;061404;5777;2517;712;2397;791;705;69;593;22.05000;31.43;28.01;2.74;23.56
Wójt Gminy Człuchów;220303;4;0;44.25;0;1;0;0;0;3;220303;2;Człuchów;36147;361;11038;31;44;772;gw;53.564683,17.123523 53.791893,17.521076;53.678288,17.3222995;220303;8221;2061;928;2006;682;424;171;525;31.05000;33.09;20.57;8.30;25.47
Wójt Gminy Łukowica;120708;3;1;51.67;0;0;0;0;0;3;120708;2;Łukowica;6965;70;9995;144;1852;863;gw;49.577682,20.375470 49.673340,20.550991;49.625511,20.4632305;120708;7306;3420;629;3367;2174;883;45;163;15.53000;63.57;25.82;1.32;4.77
Burmistrz Gminy Choszczno;320202;3;0;43.00;0;0;0;0;0;3;320202;3;Choszczno;24631;246;21824;89;189;305;gmw;53.091013,15.253990 53.254634,15.670427;53.1728235,15.4622085;320202;17993;6654;1576;5910;1246;954;724;2567;19.15000;18.73;14.34;10.88;38.58
Burmistrz Miasta Łęczyca;100401;4;1;53.25;0;1;0;0;0;3;100401;1;Łęczyca;895;9;14252;1592;2323;553;gm;52.037632,19.173715 52.071150,19.224506;52.054391,19.1991105;100401;12272;4782;1657;4493;1376;987;377;1437;25.73000;28.77;20.64;7.88;30.05
Wójt Gminy Sobienie-Jeziory;141707;2;1;52.50;0;0;0;0;0;2;141707;2;Sobienie-Jeziory;9768;98;6369;65;1429;1414;gw;51.869736,21.235858 52.001529,21.427164;51.9356325,21.331511;141707;5174;1868;366;1778;1028;482;70;104;16.38000;55.03;25.80;3.75;5.57
Wójt Gminy Poświętne;100706;2;0;44.50;0;1;0;0;0;1;100706;2;Poświętne;14081;141;3197;23;778;2158;gw;51.451016,20.245281 51.601230,20.468390;51.526123,20.3568355;100706;2793;1557;432;1489;665;513;180;59;21.72000;42.71;32.95;11.56;3.79
Wójt Gminy Walim;022108;2;0;49.50;0;0;0;0;0;2;022108;2;Walim;7914;79;5573;70;1717;1583;gw;50.660253,16.327203 50.793250,16.492923;50.7267515,16.410063;022108;4695;1809;529;1726;219;358;140;851;22.63000;12.11;19.79;7.74;47.04
Burmistrz Miasta i Gminy Mirsk;021204;2;0;41.00;0;0;0;0;0;2;021204;3;Mirsk;18650;186;8692;47;411;1013;gmw;50.831886,15.277195 51.006058,15.526394;50.918972,15.4017945;021204;7220;2924;580;2810;1576;318;261;399;16.55000;53.90;10.88;8.93;13.65
Burmistrz Krynicy-Zdroju;121007;3;0;48.33;0;0;0;0;0;3;121007;3;Krynica-Zdrój;14513;145;16780;116;730;443;gmw;49.358478,20.875102 49.532229,21.104104;49.4453535,20.989603;121007;13871;5538;1644;5297;1095;1497;237;2179;22.89000;19.77;27.03;4.28;39.35
Burmistrz Ponieca;300407;2;1;52.50;1;0;0;0;0;1;300407;3;Poniec;13193;132;7765;59;886;1147;gmw;51.693390,16.728865 51.869468,16.970263;51.781429,16.849564;300407;6352;1366;1422;1231;557;187;152;230;51.00000;40.78;13.69;11.13;16.84
Wójt Gminy Choczewo;221504;2;0;53.50;0;0;0;0;0;2;221504;2;Choczewo;18313;183;5539;30;433;1594;gw;54.664892,17.666642 54.824570,17.974955;54.744731,17.8207985;221504;4512;1944;1065;1874;540;274;67;788;35.39000;27.78;14.09;3.45;40.53
Burmistrz Gminy Nowe Warpno;321103;2;1;48.00;0;0;0;0;0;2;321103;3;Nowe Warpno;19788;198;1644;8;354;2287;gmw;53.627736,14.266823 53.785221,14.528637;53.7064785,14.39773;321103;1332;469;178;420;44;80;30;224;27.51000;9.38;17.06;6.40;47.76
Wójt Gminy Banie;320601;5;1;48.00;1;1;0;0;0;3;320601;2;Banie;20630;206;6436;31;309;1397;gw;52.989401,14.515386 53.192708,14.757231;53.0910545,14.6363085;320601;5133;1423;538;1317;403;298;182;364;27.43000;28.32;20.94;12.79;25.58
Wójt Gminy Klukowo;201304;1;0;37.00;0;0;0;0;0;1;201304;2;Klukowo;12385;124;4451;36;1000;1869;gw;52.689484,22.441076 52.824266,22.684589;52.756875,22.5628325;201304;3765;1891;371;1869;895;653;16;203;16.40000;47.33;34.53;0.85;10.74
Burmistrz Gminy Opatówek;300708;2;0;51.50;0;0;0;0;0;2;300708;3;Opatówek;10427;104;10856;104;1317;785;gmw;51.685374,18.127923 51.804254,18.322840;51.744814,18.2253815;300708;8652;3278;948;3133;1157;847;565;431;22.43000;35.30;25.84;17.24;13.15
Wójt Gminy Siemiątkowo;143705;2;0;45.00;1;1;0;0;0;0;143705;2;Siemiątkowo;11340;113;3513;31;1156;2098;gw;52.819882,19.927404 52.950065,20.147795;52.8849735,20.0375995;143705;2918;1401;704;1371;1059;163;68;26;33.44000;75.59;11.63;4.85;1.86
Wójt Gminy Bakałarzewo;201201;1;0;38.00;0;0;0;0;0;1;201201;2;Bakałarzewo;12256;123;3113;25;1016;2175;gw;54.029307,22.595123 54.149999,22.811409;54.089653,22.703266;201201;2574;1150;340;978;392;172;180;156;22.82000;34.09;14.96;15.65;13.57
Wójt Gminy Wąsewo;141610;2;1;41.50;1;0;0;0;0;1;141610;2;Wąsewo;11949;120;4371;37;1064;1890;gw;52.779361,21.590411 52.909041,21.804400;52.844201,21.6974055;141610;3651;1670;301;1619;1297;243;14;8;15.27000;77.66;14.55;0.84;0.48
Wójt Gminy Lipinki;120505;3;0;47.00;0;1;0;0;0;2;120505;2;Lipinki;6646;66;6802;102;1887;1323;gw;49.600601,21.230797 49.717218,21.362689;49.6589095,21.296743;120505;5543;2545;610;2497;229;1796;92;227;19.33000;9.00;70.57;3.61;8.92
Wójt Gminy Lubiszyn;080105;3;1;46.33;0;0;0;0;0;3;080105;2;Lubiszyn;20526;205;6907;34;314;1299;gw;52.727857,14.810218 52.889669,15.149209;52.808763,14.9797135;080105;5502;2012;708;1763;952;203;155;388;26.03000;47.32;10.09;7.70;19.28
Burmistrz Miasta Radzyń Podlaski;061501;4;1;51.50;0;1;0;0;0;3;061501;1;Radzyń Podlaski;1931;19;15808;819;2243;482;gm;51.746608,22.584412 51.807067,22.668327;51.7768375,22.6263695;061501;13137;6187;1086;6026;2882;1676;380;707;14.93000;46.58;27.09;6.14;11.43
Burmistrz Gminy Pniewy;302406;3;0;44.33;0;0;0;0;0;3;302406;3;Pniewy;15847;158;12562;79;612;657;gmw;52.449125,16.186035 52.648802,16.441011;52.5489635,16.313523;302406;9758;3763;1832;3402;923;641;202;1374;32.74000;24.53;17.03;5.37;36.51
Wójt Gminy Mały Płock;200604;3;0;47.67;0;1;0;0;0;2;200604;2;Mały Płock;13982;140;4854;35;789;1768;gw;53.239369,21.871687 53.372394,22.126193;53.3058815,21.99894;200604;4087;1553;428;1510;699;359;316;87;21.61000;45.01;23.12;20.35;5.60
Burmistrz Miasta Włodawy;061901;3;0;48.33;0;1;0;0;0;2;061901;1;Włodawa;1797;18;13350;743;2252;599;gm;51.515487,23.489497 51.567085,23.577895;51.541286,23.533696;061901;11564;4581;767;4369;715;1383;696;1285;14.34000;15.61;30.19;15.19;28.05
Wójt Gminy Krzyżanów;100205;1;0;44.00;0;0;0;0;0;1;100205;2;Krzyżanów;10306;103;4274;41;1339;1919;gw;52.108712,19.351588 52.230516,19.531095;52.169614,19.4413415;100205;3595;1466;535;1171;737;230;40;121;26.74000;50.27;15.69;2.73;8.25
Wójt Gminy Tomaszów Mazowiecki;101609;3;1;59.00;1;1;0;0;0;1;101609;2;Tomaszów Mazowiecki;14982;150;11068;74;680;768;gw;51.419876,19.856217 51.591424,20.165263;51.50565,20.01074;101609;8562;3606;574;3437;1488;1115;234;441;13.73000;41.26;30.92;6.49;12.23
Wójt Gminy Izbica;060604;4;1;58.50;0;1;0;0;0;3;060604;2;Izbica;13827;138;8271;60;802;1069;gw;50.840478,23.018896 50.944490,23.288705;50.892484,23.1538005;060604;7119;3097;1293;2992;1154;830;138;678;29.45000;37.26;26.80;4.46;21.89
Wójt Gminy Żytno;101214;2;0;48.50;0;1;0;0;0;1;101214;2;Żytno;19761;198;5199;26;357;1686;gw;50.843277,19.557725 50.990855,19.848047;50.917066,19.702886;101214;4521;1869;793;1807;1082;390;78;152;29.79000;57.89;20.87;4.17;8.13
Burmistrz Barcina;041901;2;0;45.50;0;0;0;0;0;2;041901;3;Barcin;12088;121;14858;123;1044;519;gmw;52.796721,17.823124 52.917909,18.070491;52.857315,17.9468075;041901;11721;3985;1415;3525;1214;441;1088;649;26.20000;30.46;11.07;27.30;16.29
Wójt Gminy Nielisz;062007;2;0;37.00;0;1;0;0;0;1;062007;2;Nielisz;11226;112;5540;49;1173;1593;gw;50.751964,22.934358 50.869116,23.180063;50.81054,23.0572105;062007;4837;2312;500;2288;1014;448;700;63;17.78000;43.86;19.38;30.28;2.72
Wójt Gminy Żagań;081009;4;1;49.25;0;0;0;0;0;4;081009;2;Żagań;28069;281;7243;26;127;1242;gw;51.408415,15.232969 51.760931,15.519434;51.584673,15.3762015;081009;5660;2126;515;1915;622;180;543;448;19.50000;29.26;8.47;25.54;21.07
Wójt Gminy Bełżec;061802;2;1;58.00;1;0;0;0;0;1;061802;2;Bełżec;3353;34;3365;100;2141;2128;gw;50.344783,23.366159 50.405393,23.496527;50.375088,23.431343;061802;2810;1129;468;1079;521;293;78;116;29.30000;46.15;25.95;6.91;10.27
Wójt Gminy Piecki;281004;3;2;47.67;0;1;0;0;0;2;281004;2;Piecki;31448;314;7700;24;84;1162;gw;53.625476,21.161178 53.814359,21.522328;53.7199175,21.341753;281004;6323;2541;809;2497;1299;580;89;394;24.15000;51.12;22.83;3.50;15.51
Wójt Gminy Bliżyn;261002;2;0;49.00;0;1;0;0;0;1;261002;2;Bliżyn;14120;141;8189;58;770;1084;gw;51.010864,20.600919 51.172750,20.825564;51.091807,20.7132415;261002;7076;2725;710;2676;1362;633;143;438;20.67000;49.98;23.23;5.25;16.07
Wójt Gminy Czarny Dunajec;121103;4;0;55.75;0;1;0;0;0;3;121103;2;Czarny Dunajec;21735;218;22423;103;264;291;gw;49.326571,19.739154 49.532042,19.954361;49.4293065,19.8467575;121103;17507;5243;1281;4974;1066;2967;116;515;19.64000;20.33;56.59;2.21;9.82
Burmistrz Gminy Kostrzyn;302108;1;0;38.00;0;0;0;0;0;1;302108;3;Kostrzyn;15481;155;18095;117;632;392;gmw;52.311748,17.117626 52.449488,17.375180;52.380618,17.246403;302108;13679;4902;2018;3937;899;930;353;1369;29.16000;18.34;18.97;7.20;27.93
Wójt Gminy Liniewo;220605;2;0;48.00;0;0;0;0;0;2;220605;2;Liniewo;11003;110;4618;42;1229;1829;gw;54.019291,18.126537 54.132215,18.361261;54.075753,18.243899;220605;3594;1669;470;1639;241;422;97;791;21.97000;14.44;25.28;5.81;47.39
Wójt Gminy Wartkowice;101105;3;0;50.67;1;1;0;0;0;1;101105;2;Wartkowice;14012;140;6260;45;785;1433;gw;51.923927,18.840894 52.025305,19.151716;51.974616,18.996305;101105;5146;2074;894;1880;726;495;175;373;30.12000;35.00;23.87;8.44;17.98
Burmistrz Ujazdu;161106;3;0;37.00;0;0;0;0;1;2;161106;3;Ujazd;8331;83;6400;77;1651;1404;gmw;50.356569,18.236291 50.483442,18.396310;50.4200055,18.3163005;161106;5140;1856;641;932;444;133;53;237;25.67000;23.92;7.17;2.86;12.77
Burmistrz Bierutowa;021402;3;1;48.00;0;0;0;0;0;3;021402;3;Bierutów;14700;147;10058;68;706;854;gmw;51.051527,17.392195 51.231561,17.611502;51.141544,17.5018485;021402;8170;2922;1263;2676;661;522;360;949;30.18000;22.62;17.86;12.32;32.48
Burmistrz Miasta Miasteczko Śląskie;241302;5;0;45.20;0;1;0;0;0;4;241302;1;Miasteczko Śląskie;6783;68;7419;109;1876;1212;gm;50.451229,18.839379 50.537793,19.053668;50.494511,18.9465235;241302;5857;2353;717;1822;745;473;67;419;23.36000;31.66;20.10;2.85;17.81
Wójt Gminy Łubniany;160905;2;0;48.50;0;0;0;0;0;2;160905;2;Łubniany;12605;126;9769;78;968;890;gw;50.700229,17.891905 50.867569,18.146728;50.783899,18.0193165;160905;7889;2405;647;1107;273;176;116;456;21.20000;11.35;7.32;4.82;18.96
Wójt Gminy Subkowy;221405;2;0;62.00;0;0;0;0;0;2;221405;2;Subkowy;7780;78;5493;71;1732;1606;gw;53.957757,18.653637 54.045602,18.872258;54.0016795,18.7629475;221405;4140;1270;590;1210;309;194;101;508;31.72000;24.33;15.28;7.95;40.00
Wójt Gminy Turek;302708;2;0;50.50;0;1;0;0;0;1;302708;2;Turek;10925;109;9712;89;1239;894;gw;51.944176,18.390743 52.072704,18.618018;52.00844,18.5043805;302708;6983;2777;1019;2658;1095;722;276;355;26.84000;39.43;26.00;9.94;12.78
Prezydent Miasta Tychy;247701;2;1;51.00;0;1;0;0;0;1;247701;1;Tychy;8181;82;128211;1567;1676;27;mm;50.077167,18.925622 50.175833,19.091515;50.1265,19.0085685;247701;102780;36652;3912;30306;2093;9681;2335;13739;9.64000;5.71;26.41;6.37;37.48
Burmistrz Miasta i Gminy Mordy;142605;2;0;54.50;1;1;0;0;0;0;142605;3;Mordy;17002;170;5881;35;519;1519;gmw;52.120080,22.372891 52.272435,22.647386;52.1962575,22.5101385;142605;4989;2194;429;2136;1169;640;58;149;16.36000;53.28;29.17;2.64;6.79
Wójt Gminy Łuków;061105;1;0;47.00;0;0;0;0;0;1;061105;2;Łuków;30755;307;18028;59;91;395;gw;51.842410,22.114538 52.037457,22.579797;51.9399335,22.3471675;061105;13509;6008;1285;5860;1589;2875;298;723;17.62000;26.45;47.85;4.96;12.03
Wójt Gminy Bystra-Sidzina;121504;1;0;47.00;0;0;0;0;0;1;121504;2;Bystra-Sidzina;8052;81;6847;85;1696;1311;gw;49.571751,19.619409 49.669875,19.811972;49.620813,19.7156905;121504;5152;1898;779;1831;571;791;34;343;29.10000;30.08;41.68;1.79;18.07
Wójt Gminy Blizanów;300701;1;0;52.00;0;0;0;0;0;1;300701;2;Blizanów;15752;158;9905;63;619;873;gw;51.775882,17.934043 52.001068,18.094297;51.888475,18.01417;300701;7858;2605;833;2455;1273;432;249;377;24.23000;48.87;16.58;9.56;14.47
Wójt Gminy Niedrzwica Duża;060910;2;0;53.50;0;0;0;0;0;2;060910;2;Niedrzwica Duża;10673;107;11829;111;1278;710;gw;51.037355,22.306963 51.185196,22.479511;51.1112755,22.393237;060910;9029;3916;975;3756;1572;1299;118;326;19.93000;40.14;33.17;3.01;8.32
Burmistrz Niemodlina;160907;4;1;49.00;1;1;0;1;0;1;160907;3;Niemodlin;18314;183;13305;73;432;602;gmw;50.577670,17.466235 50.732149,17.720152;50.6549095,17.5931935;160907;10736;3677;1079;3491;941;784;219;1226;22.69000;25.59;21.32;5.96;33.34
Wójt Gminy Tuczna;060117;2;1;56.50;1;1;0;0;0;0;060117;2;Tuczna;16957;170;3100;18;524;2176;gw;51.777726,23.312640 51.937026,23.557199;51.857376,23.4349195;060117;2725;861;156;848;436;176;153;23;15.34000;50.64;20.44;17.77;2.67
Wójt Gminy Bobrowo;040202;3;0;47.67;1;0;0;0;0;2;040202;2;Bobrowo;14591;145;6370;44;722;1413;gw;53.197458,19.113839 53.334458,19.377643;53.265958,19.245741;040202;5058;2135;431;2072;1201;652;42;149;16.80000;56.25;30.54;1.97;6.98
Wójt Gminy Stromiec;140105;3;1;56.33;1;1;0;0;0;1;140105;2;Stromiec;15674;156;5633;36;621;1566;gw;51.575352,21.021930 51.733730,21.242962;51.654541,21.132446;140105;4492;1746;713;1423;660;441;66;132;29.00000;37.80;25.26;3.78;7.56
Prezydent Miasta Zduńska Wola;101901;7;1;46.29;0;1;1;0;0;5;101901;1;Zduńska Wola;2457;25;42374;1725;2198;118;gm;51.560953,18.903643 51.629502,19.025922;51.5952275,18.9647825;101901;34895;12803;2527;12510;4072;3292;895;3530;16.48000;31.81;25.71;6.99;27.57
Wójt Gminy Nur;141606;4;0;46.00;0;1;0;0;0;3;141606;2;Nur;9600;96;2759;29;1453;2217;gw;52.609391,22.208579 52.748292,22.473925;52.6788415,22.341252;141606;2559;1141;493;1075;395;511;29;63;30.17000;34.62;44.79;2.54;5.52
Burmistrz Zwolenia;143605;4;2;45.75;0;1;0;0;0;3;143605;3;Zwoleń;16214;162;15271;94;580;501;gmw;51.264311,21.445074 51.425235,21.707045;51.344773,21.5760595;143605;12488;5796;942;5621;2946;1200;305;873;13.98000;50.83;20.70;5.26;15.06
Burmistrz Miasta i Gminy Serock;140804;3;1;43.33;0;0;0;0;0;3;140804;3;Serock;11029;110;14485;131;1222;539;gmw;52.456247,20.891892 52.566223,21.150111;52.511235,21.0210015;140804;11160;4743;1509;4286;1229;1151;338;1146;24.14000;25.91;24.27;7.13;24.16
Wójt Gminy Gietrzwałd;281405;2;0;59.50;0;0;0;0;0;2;281405;2;Gietrzwałd;17233;172;6638;39;496;1354;gw;53.654888,20.110319 53.793661,20.413900;53.7242745,20.2621095;281405;4903;1931;468;1864;782;269;195;476;19.51000;40.50;13.93;10.10;24.65
Wójt Gminy Płośnica;280305;2;0;57.50;0;1;0;0;0;1;280305;2;Płośnica;16323;163;5693;35;566;1551;gw;53.143915,19.905658 53.330373,20.123587;53.237144,20.0146225;280305;4695;1763;731;1724;1175;276;80;153;29.31000;66.65;15.66;4.54;8.68
Burmistrz Stronia Śląskiego;020813;4;2;49.00;0;1;0;0;0;3;020813;3;Stronie Śląskie;14608;146;7568;52;720;1184;gmw;50.196963,16.802995 50.324377,17.028314;50.26067,16.9156545;020813;6135;1951;782;1709;226;304;284;551;28.61000;11.58;15.58;14.56;28.24
Burmistrz Bisztynka;280104;3;1;44.33;0;1;0;0;0;2;280104;3;Bisztynek;20288;203;6441;32;328;1394;gmw;54.022853,20.780646 54.168752,21.110771;54.0958025,20.9457085;280104;5424;1903;869;1798;459;456;252;431;31.35000;24.12;23.96;13.24;22.65
Wójt Gminy Czermin;181103;3;0;47.67;0;1;0;0;0;2;181103;2;Czermin;8021;80;7032;88;1701;1272;gw;50.265230,21.208832 50.376128,21.373195;50.320679,21.2910135;181103;5524;2188;516;2120;857;943;98;125;19.08000;39.17;43.10;4.48;5.71
Wójt Gminy Suszec;241006;1;0;64.00;0;0;0;0;0;1;241006;2;Suszec;7508;75;12157;162;1775;678;gw;49.975664,18.749183 50.068567,18.898621;50.0221155,18.823902;241006;9089;3124;629;2513;862;982;84;431;16.76000;27.59;31.43;2.69;13.80
Wójt Gminy Sadlinki;220706;3;1;50.67;0;0;0;0;0;3;220706;2;Sadlinki;11225;112;5984;53;1174;1494;gw;53.598919,18.739011 53.708057,18.948209;53.653488,18.84361;220706;4540;1625;548;1569;357;407;183;529;25.22000;21.97;25.05;11.26;32.55
Wójt Gminy Osiecznica;020105;1;0;63.00;0;0;0;0;0;1;020105;2;Osiecznica;43704;438;7398;17;12;1216;gw;51.258337,15.249757 51.531046,15.595944;51.3946915,15.4228505;020105;5427;1757;740;1360;304;295;200;429;29.64000;17.30;16.79;11.38;24.42
Burmistrz Zdun;301206;2;1;49.00;0;0;0;0;0;2;301206;3;Zduny;8487;85;7505;88;1622;1198;gmw;51.626367,17.222199 51.703554,17.478285;51.6649605,17.350242;301206;5779;2131;731;1999;1277;302;128;211;25.54000;59.92;14.17;6.01;9.90
Burmistrz Miasta i Gminy Murowana Goślina;302111;4;0;42.50;0;1;0;0;0;3;302111;3;Murowana Goślina;17223;172;16820;98;497;440;gmw;52.512977,16.893745 52.680571,17.187340;52.596774,17.0405425;302111;13175;5382;2176;4490;744;947;396;1970;28.79000;13.82;17.60;7.36;36.60
Wójt Gminy Skąpe;080803;2;0;53.00;0;1;0;0;0;1;080803;2;Skąpe;18136;182;5115;28;440;1703;gw;52.095019,15.291706 52.224295,15.582295;52.159657,15.4370005;080803;4074;1663;430;1344;451;196;191;425;20.54000;27.12;11.79;11.49;25.56
Wójt Gminy Klwów;142303;1;0;45.00;1;0;0;0;0;0;142303;2;Klwów;8675;87;3397;39;1584;2119;gw;51.449463,20.568773 51.583662,20.710591;51.5165625,20.639682;142303;2860;1683;383;1632;933;428;26;131;18.54000;55.44;25.43;1.54;7.78
Burmistrz Gostynia;300402;1;0;36.00;0;0;0;0;0;1;300402;3;Gostyń;13728;137;28059;204;813;202;gmw;51.818975,16.860926 51.980203,17.072930;51.899589,16.966928;300402;22551;7664;3034;7083;1268;1366;1357;2516;28.36000;16.54;17.82;17.71;32.83
Burmistrz Gminy Trzcińsko-Zdrój;320608;3;1;50.33;0;0;0;0;0;3;320608;3;Trzcińsko-Zdrój;17045;170;5363;31;513;1637;gmw;52.823475,14.504340 53.007051,14.761158;52.915263,14.632749;320608;4497;1784;749;1525;654;312;154;325;29.57000;36.66;17.49;8.63;18.22
Wójt Gminy Komarów-Osada;062003;2;1;45.00;0;1;0;0;0;1;062003;2;Komarów-Osada;12380;124;5067;41;1001;1712;gw;50.584124,23.392543 50.689448,23.604229;50.636786,23.498386;062003;4461;2336;561;2296;1289;685;97;127;19.36000;55.18;29.32;4.15;5.44
Burmistrz Miasta Rypin;041201;1;0;42.00;0;1;0;0;0;0;041201;1;Rypin;1096;10;16482;1504;2311;446;gm;53.042806,19.385979 53.083331,19.455439;53.0630685,19.420709;041201;13264;5579;1414;5430;1483;1890;362;1565;20.22000;26.58;33.88;6.49;28.05
