urzad;teryt;razem;razemKobiety;wiek;PSL;PiS;PO;SLD;PP;NP;teryt.bis;xteryt;name;areaH;areaKm;popThs;popKm;rankA;rankP;type;bb;center;terytDup;uprawnieni;glosy;glosyNW;glosyLK;PSL;PiS;SLD;PO;ognw;PSLp;PiSp;SLDp;POp
Wójt Gminy Jemielno;020402;2;1;46.50;0;0;0;0;0;2;020402;2;Jemielno;12402;124;3051;25;995;2180;gw;51.498959,16.385179 51.627934,16.644868;51.5634465,16.5150235;020402;2520;1017;461;945;461;166;116;161;31.19000;45.33;16.32;11.41;15.83
Burmistrz Gminy Zagórów;302308;7;1;47.29;1;0;0;0;0;6;302308;3;Zagórów;15971;160;9056;57;600;967;gmw;52.073389,17.766597 52.196752,18.032889;52.1350705,17.899743;302308;7209;2494;1250;2330;954;504;407;330;33.39000;38.25;20.21;16.32;13.23
Burmistrz Głuszycy;022105;2;0;50.00;0;1;0;0;0;1;022105;3;Głuszyca;6212;62;8708;140;1935;1010;gmw;50.636541,16.270359 50.715852,16.457809;50.6761965,16.364084;022105;7367;3073;681;2869;306;319;276;1446;18.14000;9.96;10.38;8.98;47.05
Prezydent Miasta Gorzowa Wielkopolskiego;086101;5;1;44.80;0;1;1;0;0;3;086101;1;Gorzów Wielkopolski;8572;86;124295;1450;1607;29;mm;52.684163,15.123392 52.776949,15.310920;52.730556,15.217156;086101;98202;37701;5729;31766;4078;7718;5235;12771;13.19000;10.82;20.47;13.89;33.87
Wójt Gminy Jabłonna Lacka;142904;2;0;59.50;0;1;0;0;0;1;142904;2;Jabłonna Lacka;14927;149;4591;31;682;1835;gw;52.415578,22.331803 52.586838,22.554234;52.501208,22.4430185;142904;3996;2187;460;2071;1084;436;365;94;17.38000;49.57;19.94;16.69;4.30
Burmistrz Nowego Tomyśla;301504;5;0;50.80;1;0;0;0;0;4;301504;3;Nowy Tomyśl;18645;186;26624;143;413;218;gmw;52.225986,16.022324 52.397619,16.286652;52.3118025,16.154488;301504;20228;8447;2543;6908;1641;1045;936;2875;23.14000;19.43;12.37;11.08;34.04
Burmistrz Miasta i Gminy Ostrzeszów;301807;3;0;43.33;1;1;0;0;0;1;301807;3;Ostrzeszów;18739;187;23974;128;407;263;gmw;51.338653,17.742007 51.509667,18.023815;51.42416,17.882911;301807;18945;6606;1482;6261;3204;1254;619;963;18.32000;48.50;18.98;9.37;14.58
Wójt Gminy Waganiec;040108;3;0;36.33;1;1;0;0;0;1;040108;2;Waganiec;5452;55;4604;84;1991;1833;gw;52.768403,18.776385 52.839717,18.938538;52.80406,18.8574615;040108;3648;1583;804;1443;592;299;144;336;33.68000;37.40;18.89;9.10;21.23
Wójt Gminy Iłów;142803;4;0;50.50;1;0;0;0;0;3;142803;2;Iłów;12907;130;6157;48;926;1454;gw;52.261551,19.936113 52.419094,20.132316;52.3403225,20.0342145;142803;4987;2290;457;2108;1396;522;58;40;16.64000;60.96;22.79;2.53;1.75
Wójt Gminy Przeworno;021703;2;0;52.00;0;0;0;0;0;2;021703;2;Przeworno;11197;112;4845;43;1180;1773;gw;50.613223,17.064894 50.752188,17.259077;50.6827055,17.1619855;021703;4116;1619;588;1555;636;292;106;484;26.64000;39.28;18.04;6.55;29.89
Burmistrz Miasta i Gminy Jabłonowo Pomorskie;040207;2;0;53.00;1;0;0;0;0;1;040207;3;Jabłonowo Pomorskie;13486;135;9005;67;842;974;gmw;53.318872,19.084020 53.459365,19.320011;53.3891185,19.2020155;040207;7242;3002;561;2951;2450;295;45;120;15.75000;81.61;9.83;1.50;4.00
Wójt Gminy Jasienica Rosielna;180205;1;1;56.00;0;1;0;0;0;0;180205;2;Jasienica Rosielna;5706;57;7829;137;1973;1137;gw;49.704468,21.850859 49.781093,22.030452;49.7427805,21.9406555;180205;6044;3394;637;3376;1229;1833;58;110;15.80000;36.21;54.01;1.71;3.24
Prezydent Miasta Bolesławiec;020101;4;0;53.00;0;1;0;0;0;3;020101;1;Bolesławiec;2357;24;39084;1658;2204;132;gm;51.226376,15.501076 51.297962,15.602184;51.262169,15.55163;020101;31906;11155;2125;8379;942;1714;750;4314;16.00000;8.44;15.37;6.72;38.67
Wójt Gminy Deszczno;080103;1;0;39.00;0;0;0;0;0;1;080103;2;Deszczno;16831;168;9659;57;530;897;gw;52.584398,15.157721 52.734960,15.421386;52.659679,15.2895535;080103;7020;2567;810;2328;434;514;660;619;23.99000;16.91;20.02;25.71;24.11
Wójt Gminy Janowo;281102;4;1;50.75;0;1;0;0;0;3;281102;2;Janowo;19166;192;2705;14;384;2222;gw;53.251512,20.528638 53.434036,20.817039;53.342774,20.6728385;281102;2194;901;469;870;284;341;70;143;34.23000;31.52;37.85;7.77;15.87
Wójt Gminy Stoczek;143308;3;0;54.67;0;1;0;0;0;2;143308;2;Stoczek;14454;145;5008;35;739;1726;gw;52.475933,21.793873 52.609808,22.008835;52.5428705,21.901354;143308;4193;1647;470;1578;457;552;26;464;22.20000;27.75;33.52;1.58;28.17
Wójt Gminy Krośnice;021302;4;0;55.75;0;1;0;0;0;3;021302;2;Krośnice;17854;178;8177;46;462;1087;gw;51.367788,17.249431 51.521478,17.545881;51.444633,17.397656;021302;6448;2838;834;1996;627;429;81;733;22.71000;22.09;15.12;2.85;25.83
Wójt Gminy Buczek;100301;2;0;60.00;0;1;0;0;0;1;100301;2;Buczek;9221;92;5077;55;1512;1710;gw;51.475401,19.077659 51.567258,19.265952;51.5213295,19.1718055;100301;4084;1481;364;1417;536;440;83;284;19.73000;36.19;29.71;5.60;19.18
Wójt Gminy Roźwienica;180410;1;0;52.00;0;0;0;0;0;1;180410;2;Roźwienica;6875;69;6232;91;1865;1438;gw;49.838557,22.514953 49.982899,22.645995;49.910728,22.580474;180410;5027;2274;631;2235;926;869;154;117;21.72000;40.72;38.21;6.77;5.15
Burmistrz Tułowic;160912;1;0;51.00;0;0;0;0;0;1;160912;3;Tułowice;8125;81;5206;64;1687;1685;gmw;50.550231,17.585752 50.638413,17.798040;50.594322,17.691896;160912;4326;1569;628;1483;585;240;86;474;28.58000;37.28;15.30;5.48;30.21
Wójt Gminy Baligród;182101;3;1;51.33;0;1;0;0;0;2;182101;2;Baligród;15823;158;3142;20;615;2165;gw;49.231180,22.187379 49.414119,22.361835;49.3226495,22.274607;182101;2709;1360;408;1302;511;476;85;153;23.08000;37.57;35.00;6.25;11.25
Burmistrz Zakroczymia;141406;2;1;51.50;0;0;0;0;0;2;141406;3;Zakroczym;7170;72;6111;85;1825;1466;gmw;52.416093,20.481763 52.532533,20.676096;52.474313,20.5789295;141406;5167;2144;1098;1974;912;452;173;258;33.87000;42.54;21.08;8.07;12.03
Wójt Gminy Wyszki;200308;3;0;51.00;0;1;0;0;0;2;200308;2;Wyszki;20620;206;4434;22;310;1875;gw;52.749899,22.791908 52.926652,23.126295;52.8382755,22.9591015;200308;3864;1708;335;1683;560;924;56;86;16.40000;32.79;54.10;3.28;5.04
Wójt Gminy Oporów;100209;3;1;50.33;1;1;0;0;0;1;100209;2;Oporów;6785;68;2594;38;1874;2236;gw;52.225915,19.439755 52.304886,19.616033;52.2654005,19.527894;100209;2234;1066;415;971;699;151;31;62;28.02000;65.57;14.17;2.91;5.82
Wójt Gminy Jastrząb;143002;2;0;52.50;0;1;0;0;0;1;143002;2;Jastrząb;5453;55;5242;96;1990;1669;gw;51.187139,20.894500 51.282755,21.023706;51.234947,20.959103;143002;4260;2366;648;2180;864;737;72;302;21.50000;36.52;31.15;3.04;12.76
Wójt Gminy Dobre;141206;4;0;49.50;0;1;0;0;0;3;141206;2;Dobre;12490;125;6027;48;980;1484;gw;52.260362,21.569352 52.395006,21.803576;52.327684,21.686464;141206;4820;1868;677;1747;437;762;184;244;26.60000;23.39;40.79;9.85;13.06
Burmistrz  Radzymina;143409;4;1;50.50;0;1;0;0;0;3;143409;3;Radzymin;12946;130;26574;205;919;220;gmw;52.349165,21.064565 52.518755,21.289039;52.43396,21.176802;143409;18332;8341;1606;7555;1577;3652;352;1288;16.15000;18.91;43.78;4.22;15.44
Burmistrz Jastarni;221102;1;0;46.00;0;0;0;0;0;1;221102;3;Jastarnia;998;10;3760;377;2320;2046;gmw;54.674692,18.524985 54.754790,18.731911;54.714741,18.628448;221102;3133;1474;327;1446;130;450;26;748;18.16000;8.82;30.53;1.76;50.75
Wójt Gminy Łabunie;062005;5;1;45.00;0;1;0;0;0;4;062005;2;Łabunie;8731;87;6292;72;1575;1429;gw;50.607896,23.280145 50.710164,23.433672;50.65903,23.3569085;062005;5095;2196;507;2095;798;895;89;192;18.76000;36.34;40.76;4.05;8.74
