Teryt;Gmina;Urząd;Nazwisko Imiona;Typ;Komitet
241707;gm. Łękawica;Wójt Gminy Łękawica;SATŁAWA Anna Maria;Komitet wyborczy wyborców;KOMITET WYBORCZY WYBORCÓW ANNY SATŁAWY „DZIAŁAJMY WSPÓLNIE”
120207;gm. Szczurowa;Wójt Gminy Szczurowa;ZALEWSKI Marian Józef;Komitet wyborczy wyborców;KOMITET WYBORCZY WYBORCÓW - DLA DOBRA WSZYSTKICH SOŁECTW
100206;gm. Kutno;Wójt Gminy Kutno;BRYŁA Jerzy Tadeusz;Komitet wyborczy wyborców;KOMITET WYBORCZY WYBORCÓW STRAŻACY GMINY KUTNO
140902;gm. Ciepielów;Wójt Gminy Ciepielów;SZEWCZYK Artur Grzegorz;PiS;KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ
040902;gm. Jeziora Wielkie;Wójt Gminy Jeziora Wielkie;CIESIELCZYK Dariusz;PiS;KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ
180602;gm. Kolbuszowa;Burmistrz Kolbuszowej;ZUBA Jan;PiS;KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ
120706;gm. Laskowa;Wójt Gminy Laskowa;STACH Piotr;PiS;KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ
160901;gm. Chrząstowice;Wójt Gminy Chrząstowice;CIECIOR Florian Jan;Komitet wyborczy wyborców;KOMITET WYBORCZY WYBORCÓW MNIEJSZOŚĆ NIEMIECKA
321103;gm. Nowe Warpno;Burmistrz Gminy Nowe Warpno;BURBA Jarosław;Komitet wyborczy wyborców;KOMITET WYBORCZY WYBORCÓW WSPÓLNIE Z JAROSŁAWEM BURBĄ
040708;gm. Rojewo;Wójt Gminy Rojewo;ŻUROWSKI Rafał Sebastian;PSL;KOMITET WYBORCZY POLSKIE STRONNICTWO LUDOWE
181304;gm. Krasiczyn;Wójt Gminy Krasiczyn;KURASZ Jacek Grzegorz;Komitet wyborczy wyborców;KOMITET WYBORCZY WYBORCÓW NASZA GMINA KRASICZYN
280901;m. Lidzbark Warmiński;Burmistrz Miasta Lidzbark Warmiński;WIŚNIOWSKI Jacek;Komitet wyborczy wyborców;KOMITET WYBORCZY WYBORCÓW JACKA WIŚNIOWSKIEGO
321701;m. Wałcz;Burmistrz Miasta Wałcz;SUBOCZ Marek Andrzej;PiS;KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ
020804;m. Nowa Ruda;Burmistrz Miasta Nowa Ruda;ZAJĄC Marcin Zdzisław;PiS;KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ
102004;gm. Aleksandrów Łódzki;Burmistrz Aleksandrowa Łódzkiego;SZEWCZYK Piotr Marek;PiS;KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ
080805;gm. Świebodzin;Burmistrz Świebodzina;SIELICKI Tomasz;Komitet wyborczy wyborców;KOMITET WYBORCZY WYBORCÓW PRO ŚWIEBODZIN
060206;gm. Goraj;Wójt Gminy Goraj;ŁUKASIK Antoni;Komitet wyborczy wyborców;KOMITET WYBORCZY WYBORCÓW WÓJTA GMINY GORAJ
201403;gm. Rutki;Wójt Gminy Rutki;DĘBNICKI Paweł;Komitet wyborczy wyborców;KOMITET WYBORCZY WYBORCÓW SKUTECZNY SAMORZĄD GMINY RUTKI
201403;gm. Rutki;Wójt Gminy Rutki;SYCZ Katarzyna;Komitet wyborczy wyborców;KOMITET WYBORCZY WYBORCÓW ŻYJMY RAZEM W ZGODZIE
041405;gm. Lniano;Wójt Gminy Lniano;TOPOLIŃSKA Zofia Maria;Komitet wyborczy wyborców;KOMITET WYBORCZY WYBORCÓW SAMORZĄDNI LNIANO
302902;gm. Siedlec;Wójt Gminy Siedlec;WITA Andrzej;PSL;KOMITET WYBORCZY POLSKIE STRONNICTWO LUDOWE
100904;gm. Pajęczno;Burmistrz Gminy i Miasta Pajęczno;STAWIAK Beata Maria;Komitet wyborczy wyborców;KOMITET WYBORCZY WYBORCÓW „STAWIAMY NA MŁODYCH”
100201;m. Kutno;Prezydent Miasta Kutno;MAŁYSZEK Rafał;Komitet wyborczy wyborców;KOMITET WYBORCZY WYBORCÓW KUKIZ'15
120807;gm. Słaboszów;Wójt Gminy Słaboszów;VOZSNAK MARTA MAŁGORZATA;Komitet wyborczy wyborców;KOMITET WYBORCZY WYBORCÓW POROZUMIENIE - POWIAT MIECHOWSKI
022308;gm. Siechnice;Burmistrz Siechnic;UŠÁK Milan;Komitet wyborczy wyborców;KOMITET WYBORCZY WYBORCÓW MILANA UŠÁKA - BEZPARTYJNI
320101;m. Białogard;Burmistrz Miasta Białogard;GLINKA Daniel Adam;Komitet wyborczy organizacji i stowarzyszeń;KOMITET WYBORCZY AKTYWNY SAMORZĄD-BIAŁOGARD
240312;gm. Zebrzydowice;Wójt Gminy Zebrzydowice;LOSE Eugeniusz;Komitet wyborczy wyborców;KOMITET WYBORCZY WYBORCÓW EUGENIUSZ LOSE
121601;gm. Ciężkowice;Burmistrz Gminy Ciężkowice;KORALIK Michał;PiS;KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ
182103;gm. Lesko;Burmistrz Miasta i Gminy Lesko;MAZUR Paweł Franciszek;Komitet wyborczy wyborców;KOMITET WYBORCZY WYBORCÓW PAWŁA MAZURA
142308;gm. Wieniawa;Wójt Gminy Wieniawa;STUDZIŃSKI Witold Marian;PSL;KOMITET WYBORCZY POLSKIE STRONNICTWO LUDOWE
220908;gm. Stare Pole;Wójt Gminy Stare Pole;KULIŃSKI Adam;Komitet wyborczy wyborców;KOMITET WYBORCZY WYBORCÓW POROZUMIENIE SPOŁECZNO - SAMORZĄDOWE
021803;gm. Miękinia;Wójt Gminy Miękinia;GRZEGORCZYN Jan Marian;Komitet wyborczy wyborców;KOMITET WYBORCZY WYBORCÓW JANA GRZEGORCZYNA
260105;gm. Solec-Zdrój;Wójt Gminy Solec-Zdrój;FORTUNA Krzysztof Franciszek;Komitet wyborczy wyborców;KOMITET WYBORCZY WYBORCÓW KRZYSZTOFA FORTUNY
020905;gm. Legnickie Pole;Wójt Gminy Legnickie Pole;BABUŚKA Henryk;Komitet wyborczy wyborców;KOMITET WYBORCZY WYBORCÓW HENRYKA BABUŚKI
321506;gm. Szczecinek;Wójt Gminy Szczecinek;PIŃKOWSKI Tomasz Grzegorz;Komitet wyborczy wyborców;KOMITET WYBORCZY WYBORCÓW NASZA GMINA SZCZECINEK
321301;m. Darłowo;Burmistrz Miasta Darłowo;MASŁOWSKI Piotr Adam;Komitet wyborczy wyborców;KOMITET WYBORCZY WYBORCÓW MY DARŁOWIANIE
280707;gm. Zalewo;Burmistrz Zalewa;GŁOZAK Grzegorz;PiS;KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ
101106;gm. Zadzim;Wójt Gminy Zadzim;WOŹNIAK Krzysztof;PiS;KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ
220106;gm. Miastko;Burmistrz Miastka;KARAŚKIEWICZ Danuta Ewa;Komitet wyborczy wyborców;KOMITET WYBORCZY WYBORCÓW WSPÓLNOTA SAMORZĄDOWA
306101;m. Kalisz;Prezydent Miasta Kalisza;KOZŁOWSKI Jerzy;Komitet wyborczy wyborców;KOMITET WYBORCZY WYBORCÓW KUKIZ'15
060503;gm. Dzwola;Wójt Gminy Dzwola;PIECH Marek Antoni;PSL;KOMITET WYBORCZY POLSKIE STRONNICTWO LUDOWE
021501;m. Oława;Burmistrz Miasta Oława;ZIÓŁKOWSKA Magdalena Lucja;PO;KOALICYJNY KOMITET WYBORCZY PLATFORMA.NOWOCZESNA KOALICJA OBYWATELSKA
060312;gm. Wierzbica;Wójt Gminy Wierzbica;KACZMARSKI Marek;PiS;KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ
260208;gm. Sobków;Wójt Gminy Sobków;WAWER Piotr Rafał;Komitet wyborczy wyborców;KOMITET WYBORCZY WYBORCÓW GMINA Z PRZYSZŁOŚCIĄ
061408;gm. Nałęczów;Burmistrz Nałęczowa;JAROSIŃSKI Wiesław;Komitet wyborczy wyborców;KOMITET WYBORCZY WYBORCÓW TWÓJ I MÓJ NAŁĘCZÓW
080902;gm. Bojadła;Wójt Gminy Bojadła;LATAROWSKA Mirosława Jolanta;Komitet wyborczy wyborców;KOMITET WYBORCZY WYBORCÓW MIESZKAŃCY GMINY BOJADŁA
182103;gm. Lesko;Burmistrz Miasta i Gminy Lesko;BEBKIEWICZ Tomasz;Komitet wyborczy wyborców;KOMITET WYBORCZY WYBORCÓW LESKO NASZ WSPÓLNY PROJEKT
062002;gm. Grabowiec;Wójt Gminy Grabowiec;RACHAŃSKA Agnieszka;Komitet wyborczy wyborców;KOMITET WYBORCZY WYBORCÓW WSPÓLNE DOBRO
141303;gm. Lipowiec Kościelny;Wójt Gminy Lipowiec Kościelny;KARPIŃSKI Ryszard;PSL;KOMITET WYBORCZY POLSKIE STRONNICTWO LUDOWE
101704;gm. Mokrsko;Wójt Gminy Mokrsko;SZEWCZYK Adam;Komitet wyborczy wyborców;KOMITET WYBORCZY WYBORCÓW „LEPSZA GMINA MOKRSKO”
280204;gm. Lelkowo;Wójt Gminy Lelkowo;POPIEL Stanisław;Komitet wyborczy wyborców;KOMITET WYBORCZY WYBORCÓW NASZ SAMORZĄD
060606;gm. Kraśniczyn;Wójt Gminy Kraśniczyn;SAPIECHA Małgorzata Jolanta;Komitet wyborczy wyborców;KOMITET WYBORCZY WYBORCÓW JAWNOŚĆ I WSPÓŁPRACA
141505;gm. Kadzidło;Wójt Gminy Kadzidło;DYMERSKI Jan;Komitet wyborczy wyborców;KOMITET WYBORCZY WYBORCÓW „KURPIE”
140805;gm. Wieliszew;Wójt Gminy Wieliszew;KOWNACKI Paweł Andrzej;Komitet wyborczy wyborców;KOMITET WYBORCZY WYBORCÓW PAWŁA KOWNACKIEGO
160201;gm. Baborów;Burmistrz Gminy Baborów;KIELSKA Elżbieta;Komitet wyborczy wyborców;KOMITET WYBORCZY WYBORCÓW NASZA GMINA BABORÓW
180905;gm. Narol;Burmistrz Miasta i Gminy Narol;WOŚ Stanisław Andrzej;Komitet wyborczy wyborców;KOMITET WYBORCZY WYBORCÓW SAMORZĄD GMINY NAROL
180201;gm. Brzozów;Burmistrz Brzozowa;STAPIŃSKI Szymon Wojciech;Komitet wyborczy wyborców;KOMITET WYBORCZY WYBORCÓW „ZMIANA DLA ROZWOJU”
246701;m. Jastrzębie-Zdrój;Prezydent Miasta Jastrzębie-Zdrój;SZYMAŃSKA Janina Barbara;Komitet wyborczy organizacji i stowarzyszeń;KOMITET WYBORCZY STOWARZYSZENIE SAMORZĄDNE JASTRZĘBIE
060603;gm. Gorzków;Wójt Gminy Gorzków;WYPYCH Edward Marek;Komitet wyborczy wyborców;KOMITET WYBORCZY WYBORCÓW EDWARDA WYPYCHA
260706;gm. Waśniów;Wójt Gminy Waśniów;GAJEWSKI Krzysztof Marian;Komitet wyborczy wyborców;KOMITET WYBORCZY WYBORCÓW KRZYSZTOFA GAJEWSKIEGO
080401;m. Nowa Sól;Prezydent Miasta Nowa Sól;TYSZKIEWICZ Wadim;Komitet wyborczy wyborców;KOMITET WYBORCZY WYBORCÓW WADIM TYSZKIEWICZ
022507;gm. Zgorzelec;Wójt Gminy Zgorzelec;MACHAJ Piotr Zygmunt;Komitet wyborczy wyborców;KOMITET WYBORCZY WYBORCÓW SAMORZĄD PONAD PODZIAŁAMI
221102;gm. Jastarnia;Burmistrz Jastarni;NARKOWICZ Tyberiusz Zygmunt;Komitet wyborczy wyborców;KOMITET WYBORCZY WYBORCÓW JASTARNIA-KUŹNICA-JURATA
320908;gm. Świeszyno;Wójt Gminy Świeszyno;MARCINKOWSKI Jacek Piotr;Komitet wyborczy wyborców;KOMITET WYBORCZY WYBORCÓW JACKA MARCINKOWSKIEGO
101103;gm. Poddębice;Burmistrz Poddębic;SĘCZKOWSKI Piotr Paweł;PSL;KOMITET WYBORCZY POLSKIE STRONNICTWO LUDOWE
200106;gm. Płaska;Wójt Gminy Płaska;GOŁASZEWSKI Wiesław;Komitet wyborczy wyborców;KOMITET WYBORCZY WYBORCÓW POROZUMIENIE SAMORZĄDOWE - DOBRY WYBÓR
120501;m. Gorlice;Burmistrz Miasta Gorlice;KUKLA Rafał Tomasz;Komitet wyborczy organizacji i stowarzyszeń;KOMITET WYBORCZY „WSPÓLNE GORLICE”
142803;gm. Iłów;Wójt Gminy Iłów;CIOŁKOWSKI Tomasz Konrad;Komitet wyborczy wyborców;KOMITET WYBORCZY WYBORCÓW BEZPARTYJNI SAMORZĄDOWCY
261201;gm. Bogoria;Wójt Gminy Bogoria;BRUDEK Władysław Marcin;Komitet wyborczy wyborców;KOMITET WYBORCZY WYBORCÓW GMINA ROZWOJOWA
201205;gm. Raczki;Wójt Gminy Raczki;FIEDOROWICZ Roman;Komitet wyborczy wyborców;KOMITET WYBORCZY WYBORCÓW AKTYWNY SAMORZĄD RACZKI
247701;m. Tychy;Prezydent Miasta Tychy;SKAPCZYK Anita Maria;PiS;KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ
300805;gm. Perzów;Wójt Gminy Perzów;KULA Roman Jan;Komitet wyborczy wyborców;KOMITET WYBORCZY WYBORCÓW RAZEM I ODPOWIEDZIALNIE
101205;gm. Kamieńsk;Burmistrz Kamieńska;SKUPIŃSKI Zbigniew Jan;PiS;KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ
141602;gm. Andrzejewo;Wójt Gminy Andrzejewo;RUTKOWSKI Michał;Komitet wyborczy wyborców;KOMITET WYBORCZY WYBORCÓW MICHAŁA RUTKOWSKIEGO
040403;gm. Kijewo Królewskie;Wójt Gminy Kijewo Królewskie;MISIASZEK Mieczysław;Komitet wyborczy wyborców;KOMITET WYBORCZY WYBORCÓW GMINY KIJEWO KRÓLEWSKIE
180907;gm. Stary Dzików;Wójt Gminy Stary Dzików;JABŁOŃSKI Tomasz Krzysztof;PiS;KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ
141205;gm. Dębe Wielkie;Wójt Gminy Dębe Wielkie;KALINOWSKI Krzysztof;Komitet wyborczy wyborców;KOMITET WYBORCZY WYBORCÓW KALINOWSKI WÓJTEM
180508;gm. Osiek Jasielski;Wójt Gminy Osiek Jasielski;ZAWISZA Tadeusz Jan;Komitet wyborczy wyborców;KOMITET WYBORCZY WYBORCÓW POROZUMIENIE SAMORZĄDOWE PONAD PODZIAŁAMI
280205;gm. Pieniężno;Burmistrz Pieniężna;KĄDZIOŁKA Krzysztof Kamil;Komitet wyborczy wyborców;KOMITET WYBORCZY WYBORCÓW KRZYSZTOF KĄDZIOŁKA
321504;gm. Borne Sulinowo;Burmistrz Bornego Sulinowa;KOKOT Ewa Bożena;SLD;KOALICYJNY KOMITET WYBORCZY SLD LEWICA RAZEM
121201;m. Bukowno;Burmistrz Miasta Bukowno;GAJDZISZEWSKI Mirosław Adam;Komitet wyborczy wyborców;KOMITET WYBORCZY WYBORCÓW MIROSŁAWA GAJDZISZEWSKIEGO
081008;gm. Wymiarki;Wójt Gminy Wymiarki;LUBAS Zdzisław;PiS;KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ
062008;gm. Radecznica;Wójt Gminy Radecznica;ŁAPIŃSKA Jolanta Anna;Komitet wyborczy wyborców;KOMITET WYBORCZY WYBORCÓW STĄD POCHODZIMY
260406;gm. Górno;Wójt Gminy Górno;SKIBA Grzegorz Stanisław;Komitet wyborczy wyborców;KOMITET WYBORCZY WYBORCÓW RAZEM DLA GMINY GÓRNO
101411;gm. Złoczew;Burmistrz Miasta Złoczew;WIECZOREK Jerzy;PiS;KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ
280207;gm. Wilczęta;Wójt Gminy Wilczęta;KACZOREK-NISKA Lilla Marta;Komitet wyborczy wyborców;KOMITET WYBORCZY WYBORCÓW LILLI KACZOREK-NISKIEJ
140803;gm. Nieporęt;Wójt Gminy Nieporęt;DAŁEK Leszek;PiS;KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ
280610;gm. Wydminy;Wójt Gminy Wydminy;BINIK Anna Stefania;Komitet wyborczy wyborców;KOMITET WYBORCZY WYBORCÓW ANNY BINIK
260406;gm. Górno;Wójt Gminy Górno;DUDZIK Aneta Elżbieta;Komitet wyborczy wyborców;KOMITET WYBORCZY WYBORCÓW ANETA DUDZIK
186301;m. Rzeszów;Prezydent Miasta Rzeszowa;KASZUBA Krzysztof;Komitet wyborczy wyborców;KOMITET WYBORCZY WYBORCÓW WOLNOŚĆ W SAMORZĄDZIE
302901;gm. Przemęt;Wójt Gminy Przemęt;FRĄCKOWIAK Janusz;PSL;KOMITET WYBORCZY POLSKIE STRONNICTWO LUDOWE
206101;m. Białystok;Prezydent Miasta Białegostoku;ARŁUKOWICZ Tadeusz;Komitet wyborczy wyborców;KOMITET WYBORCZY WYBORCÓW TADEUSZA ARŁUKOWICZA BIAŁYSTOK NA TAK
101007;gm. Ręczno;Wójt Gminy Ręczno;ŁYSOŃ Piotr;Komitet wyborczy wyborców;KOMITET WYBORCZY WYBORCÓW PIOTRA ŁYSONIA
060205;gm. Frampol;Burmistrz Frampola;KUBINA Czesław;Komitet wyborczy wyborców;KOMITET WYBORCZY WYBORCÓW SPRAWIEDLIWA POLSKA
241104;gm. Krzyżanowice;Wójt Gminy Krzyżanowice;UTRACKI Grzegorz Wojciech;Komitet wyborczy wyborców;KOMITET WYBORCZY WYBORCÓW GRZEGORZA UTRACKIEGO
221605;gm. Sztum;Burmistrz Miasta i Gminy Sztum;SEROCKA Anna;Komitet wyborczy wyborców;KOMITET WYBORCZY WYBORCÓW OBYWATELSKIE POROZUMIENIE SAMORZĄDOWE
142508;gm. Pionki;Wójt Gminy Pionki;OLEJARZ Halina Lucyna;Komitet wyborczy wyborców;KOMITET WYBORCZY WYBORCÓW HALINY OLEJARZ
301705;gm. Przygodzice;Wójt Gminy Przygodzice;RASIAK Krzysztof Stanisław;Komitet wyborczy wyborców;KOMITET WYBORCZY WYBORCÓW KRZYSZTOFA RASIAKA
060604;gm. Izbica;Wójt Gminy Izbica;LEWCZUK Jerzy;Komitet wyborczy wyborców;KOMITET WYBORCZY WYBORCÓW JERZEGO LEWCZUKA
100610;gm. Rzgów;Burmistrz Rzgowa;ŁUCZYŃSKA Justyna Aleksandra;PiS;KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ
200707;gm. Śniadowo;Wójt Gminy Śniadowo;PSTRĄGOWSKI Rafał;Komitet wyborczy wyborców;KOMITET WYBORCZY WYBORCÓW RAFAŁ PSTRĄGOWSKI
141510;gm. Rzekuń;Wójt Gminy Rzekuń;PODOLAK Bartosz;Komitet wyborczy wyborców;KOMITET WYBORCZY WYBORCÓW RAZEM DLA RZEKUNIA
121905;gm. Wieliczka;Burmistrz Miasta i Gminy Wieliczka;KOZIOŁ Artur Stanisław;Komitet wyborczy wyborców;KOMITET WYBORCZY WYBORCÓW ARTURA KOZIOŁA
040203;gm. Brodnica;Wójt Gminy Brodnica;KRAMER Anna Salomea;Komitet wyborczy wyborców;KOMITET WYBORCZY WYBORCÓW SPOŁECZNA WSPÓLNOTA SAMORZĄDOWA
301303;gm. Osieczna;Burmistrz Miasta i Gminy Osieczna;GLAPIAK Stanisław;Komitet wyborczy wyborców;KOMITET WYBORCZY WYBORCÓW STANISŁAWA GLAPIAKA
060801;m. Lubartów;Burmistrz Miasta Lubartów;SZUMIEC Radosław Stanisław;Komitet wyborczy wyborców;KOMITET WYBORCZY WYBORCÓW WSPÓLNOTA LUBARTOWSKA
240502;m. Pyskowice;Burmistrz Miasta Pyskowice;WÓJCIK Adam Michał;Komitet wyborczy wyborców;KOMITET WYBORCZY WYBORCÓW ADAMA WÓJCIKA „SKUTECZNIE DLA PYSKOWIC”
161102;gm. Jemielnica;Wójt Gminy Jemielnica;WYCISŁO Marcin Piotr;Komitet wyborczy wyborców;KOMITET WYBORCZY WYBORCÓW MNIEJSZOŚĆ NIEMIECKA
101504;gm. Kowiesy;Wójt Gminy Kowiesy;PEPKA Jarosław;Komitet wyborczy wyborców;KOMITET WYBORCZY WYBORCÓW NASZA GMINA KOWIESY
041405;gm. Lniano;Wójt Gminy Lniano;WITKOWSKI Mariusz;PiS;KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ
261203;gm. Oleśnica;Wójt Gminy Oleśnica;PIĄTKOWSKI Grzegorz Stanisław;Komitet wyborczy wyborców;KOMITET WYBORCZY WYBORCÓW NASZA GMINA OLEŚNICA
121106;gm. Krościenko nad Dunajcem;Wójt Gminy Krościenko nad Dunajcem;KWIATEK Grzegorz Ryszard;Komitet wyborczy wyborców;KOMITET WYBORCZY WYBORCÓW MŁODZI DLA CAŁEJ GMINY KROŚCIENKO NAD DUNAJCEM
160703;gm. Korfantów;Burmistrz Korfantowa;WÓJCIK Janusz Kazimierz;Komitet wyborczy organizacji i stowarzyszeń;KOMITET WYBORCZY STOWARZYSZENIE FORUM SAMORZĄDOWE 2002
320101;m. Białogard;Burmistrz Miasta Białogard;HARŁACZ Jerzy;Komitet wyborczy wyborców;KOMITET WYBORCZY WYBORCÓW JERZEGO HARŁACZA
040204;gm. Brzozie;Wójt Gminy Brzozie;KĘDZIORSKA Danuta;Komitet wyborczy wyborców;KOMITET WYBORCZY WYBORCÓW DANUTY KĘDZIORSKIEJ
141610;gm. Wąsewo;Wójt Gminy Wąsewo;KOWALCZYK Rafał Józef;PSL;KOMITET WYBORCZY POLSKIE STRONNICTWO LUDOWE
060903;gm. Bychawa;Burmistrz Bychawy;KRZYŻAK Marta Iwona;PiS;KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ
261201;gm. Bogoria;Wójt Gminy Bogoria;SZYDŁO Robert Mirosław;Komitet wyborczy wyborców;KOMITET WYBORCZY WYBORCÓW ROBERTA SZYDŁO
120807;gm. Słaboszów;Wójt Gminy Słaboszów;SCHAB JANUSZ;PiS;KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ
041106;gm. Radziejów;Wójt Gminy Radziejów;SZUSZMAN Marek;PSL;KOMITET WYBORCZY POLSKIE STRONNICTWO LUDOWE
201009;gm. Siemiatycze;Wójt Gminy Siemiatycze;KRASOWSKI Edward;Komitet wyborczy wyborców;KOMITET WYBORCZY WYBORCÓW EDWARDA KRASOWSKIEGO
301014;gm. Wilczyn;Wójt Gminy Wilczyn;SKOWROŃSKI Grzegorz;Komitet wyborczy wyborców;KOMITET WYBORCZY WYBORCÓW RAZEM DLA GMINY GRZEGORZA SKOWROŃSKIEGO
061203;gm. Karczmiska;Wójt Gminy Karczmiska;SZKLARZ Ryszard Piotr;PiS;KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ
280610;gm. Wydminy;Wójt Gminy Wydminy;KRÓL Radosław;Komitet wyborczy wyborców;KOMITET WYBORCZY WYBORCÓW RADOSŁAWA KRÓLA
220103;gm. Czarna Dąbrówka;Wójt Gminy Czarna Dąbrówka;NARLOCH Dariusz Tomisław;Komitet wyborczy wyborców;KOMITET WYBORCZY WYBORCÓW RAZEM DLA NASZEJ GMINY
101301;m. Rawa Mazowiecka;Burmistrz Miasta Rawa Mazowiecka;SIENKIEWICZ Zbigniew Tadeusz;Komitet wyborczy wyborców;KOMITET WYBORCZY WYBORCÓW ZBIGNIEWA SIENKIEWICZA „WSPÓLNA SPRAWA”
181605;gm. Dynów;Wójt Gminy Dynów;SÓWKA Krystyna Teresa;Komitet wyborczy wyborców;KOMITET WYBORCZY WYBORCÓW ROZWÓJ POGÓRZA DYNOWSKIEGO
040301;gm. Białe Błota;Wójt Gminy Białe Błota;MAISON Magdalena Maria;Komitet wyborczy wyborców;KOMITET WYBORCZY WYBORCÓW WYBIERAM MAISON
020604;m. Szklarska Poręba;Burmistrz Szklarskiej Poręby;BIELAŃCZYK Katarzyna Edyta;Komitet wyborczy wyborców;KOMITET WYBORCZY WYBORCÓW KATARZYNY BIELAŃCZYK
060404;gm. Hrubieszów;Wójt Gminy Hrubieszów;USOWSKI Sławomir Andrzej;Komitet wyborczy wyborców;KOMITET WYBORCZY WYBORCÓW GMINY HRUBIESZÓW DLA LUDZI
022103;m. Szczawno-Zdrój;Burmistrz Szczawna-Zdroju;CZOCHER Arkadiusz Andrzej;Komitet wyborczy wyborców;KOMITET WYBORCZY WYBORCÓW ARKADIUSZA CZOCHERA-KOCHAM SZCZAWNO-ZDRÓJ
080601;gm. Dobiegniew;Burmistrz Dobiegniewa;ŁAŹNIEWSKA Sylwia Leokadia;Komitet wyborczy wyborców;KOMITET WYBORCZY WYBORCÓW SYLWII ŁAŹNIEWSKIEJ
041509;gm. Zławieś Wielka;Wójt Gminy Zławieś Wielka;SURDYKA Jan Antoni;Komitet wyborczy wyborców;KOMITET WYBORCZY WYBORCÓW NOWY CZAS
301701;m. Ostrów Wielkopolski;Prezydent Miasta Ostrowa Wielkopolskiego;MIKOŁAJCZYK Łukasz;PiS;KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ
300307;gm. Mieleszyn;Wójt Gminy Mieleszyn;HAŃCZAK Artur Jerzy;Komitet wyborczy wyborców;KOMITET WYBORCZY WYBORCÓW „ZGODA I POROZUMIENIE”
143501;gm. Brańszczyk;Wójt Gminy Brańszczyk;PRZYBYLSKI Wiesław;PiS;KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ
303003;gm. Nekla;Burmistrz Miasta i Gminy Nekla;GUMPERT Marek;Komitet wyborczy wyborców;KOMITET WYBORCZY WYBORCÓW INICJATYWA MIESZKAŃCÓW
060205;gm. Frampol;Burmistrz Frampola;SĘDZIN Marta;Komitet wyborczy wyborców;KOMITET WYBORCZY WYBORCÓW TEODORÓWKA
106101;m. Łódź;Prezydent Miasta Łodzi;ZDANOWSKA Hanna Elżbieta;Komitet wyborczy wyborców;KOMITET WYBORCZY WYBORCÓW HANNY ZDANOWSKIEJ
021704;gm. Strzelin;Burmistrz Miasta i Gminy Strzelin;PAWNUK Dorota Jadwiga;Komitet wyborczy wyborców;KOMITET WYBORCZY WYBORCÓW POROZUMIENIE SAMORZĄDOWE DLA REGIONU
060913;gm. Wojciechów;Wójt Gminy Wojciechów;KOWALCZYK Małgorzata;Komitet wyborczy wyborców;KOMITET WYBORCZY WYBORCÓW PROSTO DLA LUDZI
021804;gm. Środa Śląska;Burmistrz Środy Śląskiej;MACIEJEWSKI Dariusz;Komitet wyborczy wyborców;KOMITET WYBORCZY WYBORCÓW GMINA PRZYJAZNA MIESZKAŃCOM
300101;m. Chodzież;Burmistrz Miasta Chodzieży;MICHALSKI Andrzej Mirosław;Komitet wyborczy wyborców;KOMITET WYBORCZY WYBORCÓW ZIEMIA CHODZIESKA
142705;gm. Sierpc;Wójt Gminy Sierpc;KORPOLIŃSKI Krzysztof;Komitet wyborczy wyborców;KOMITET WYBORCZY WYBORCÓW POROZUMIENIE NIEZALEŻNYCH SAMORZĄDOWCÓW
143401;m. Kobyłka;Burmistrz Miasta Kobyłka;KOSTRZEWA Konrad Marcin;Komitet wyborczy wyborców;KOMITET WYBORCZY WYBORCÓW KONRADA KOSTRZEWY
160805;gm. Radłów;Wójt Gminy Radłów;KIERAT Włodzimierz Stanisław;Komitet wyborczy wyborców;KOMITET WYBORCZY WYBORCÓW MNIEJSZOŚĆ NIEMIECKA
303002;gm. Miłosław;Burmistrz Gminy Miłosław;SOBCZAK Jarosław;PSL;KOMITET WYBORCZY POLSKIE STRONNICTWO LUDOWE
