Teryt;Gmina;Powiat;Urząd;Imiona;Nazwisko;Komitet;Sygnatura;Typ;Wykształcenie;Wiek;Płeć;"Teryt m. z.";"Gmina zamieszkania";Miejscowość;Członek;Poparcie
061004;"gm. Milejów";łęczyński;"Wójt Gminy Milejów";Marek;STRYCHARCZUK;"KOMITET WYBORCZY WYBORCÓW ""WSPÓLNA GMINA""";DLB-6043-5/18;"Komitet wyborczy wyborców";średnie;47;M;061004;"gm. Milejów";Górne;;
060914;"gm. Wólka";lubelski;"Wójt Gminy Wólka";Wiesław;SZAJEWSKI;"KOMITET WYBORCZY WYBORCÓW SŁUŻBA LUDZIOM";DLB-6043-46/18;"Komitet wyborczy wyborców";Wyższe;57;M;060914;"gm. Wólka";"Świdnik Duży Drugi";;
303106;"gm. Tarnówka";złotowski;"Wójt Gminy Tarnówka";"Przemysław Maciej";WIŚNIEWSKI;"KOMITET WYBORCZY WYBORCÓW ""SAMORZĄD DLA MIESZKAŃCÓW""";DPL-6043-100/18;"Komitet wyborczy wyborców";wyższe;44;M;303106;"gm. Tarnówka";Osówka;;
281203;"gm. Grodziczno";nowomiejski;"Wójt Gminy Grodziczno";Edward;KLIMEK;"KOMITET WYBORCZY WYBORCÓW WÓJT DLA ROZWOJU GMINY";DEL-6043-163/18;"Komitet wyborczy wyborców";średnie;56;M;281203;"gm. Grodziczno";Linowiec;;
241701;"m. Żywiec";żywiecki;"Burmistrz Miasta Żywca";"Wojciech Tomasz";BIELEWICZ;"KOMITET WYBORCZY WYBORCÓW NIEZALEŻNI WOJCIECHA BIELEWICZA";DBB-6043-28/18;"Komitet wyborczy wyborców";średnie;42;M;241701;"m. Żywiec";Żywiec;"KORWiN: Koalicja Odnowy Rzeczypospolitej Wolność i Nadzieja";
200203;"gm. Dobrzyniewo Duże";białostocki;"Wójt Gminy Dobrzyniewo Duże";Ireneusz;LEWKOWSKI;"KOMITET WYBORCZY WYBORCÓW IRENEUSZA LEWKOWSKIEGO";DBŁ-6043-15/18;"Komitet wyborczy wyborców";średnie;43;M;200203;"gm. Dobrzyniewo Duże";"Dobrzyniewo Duże";"Prawo i Sprawiedliwość";PiS
141302;"gm. Dzierzgowo";mławski;"Wójt Gminy Dzierzgowo";Rafał;KUCIŃSKI;"KOMITET WYBORCZY WYBORCÓW RAFAŁA KUCIŃSKIEGO";DCI-6043-56/18;"Komitet wyborczy wyborców";wyższe;37;M;141302;"gm. Dzierzgowo";Szumsk;;
260206;"gm. Sędziszów";jędrzejowski;"Burmistrz Sędziszowa";"Wacław Stanisław";SZAREK;"KOMITET WYBORCZY WYBORCÓW LOKALNA WSPÓLNOTA SAMORZĄDOWA";DKC-6043-73/18;"Komitet wyborczy wyborców";wyższe;59;M;260206;"gm. Sędziszów";Szałas;"Polskie Stronnictwo Ludowe";
101410;"gm. Wróblew";sieradzki;"Wójt Gminy Wróblew";Tomasz;WOŹNIAK;"KOMITET WYBORCZY POLSKIE STRONNICTWO LUDOWE";ZPOW-6040-2/18;"Komitet wyborczy partii politycznej";wyższe;45;M;101410;"gm. Wróblew";Wągłczew;"Polskie Stronnictwo Ludowe";
141302;"gm. Dzierzgowo";mławski;"Wójt Gminy Dzierzgowo";Marzena;NAGUCKA;"KOMITET WYBORCZY POLSKIE STRONNICTWO LUDOWE";ZPOW-6040-2/18;"Komitet wyborczy partii politycznej";wyższe;32;K;141301;"m. Mława";Mława;;
302603;"gm. Książ Wielkopolski";śremski;"Burmistrz Książa Wlkp.";"Teofil Stanisław";MARCINIAK;"KOMITET WYBORCZY WYBORCÓW TEOFIL MARCINIAK";DKN-6043-26/18;"Komitet wyborczy wyborców";"wyższe administracyjne";62;M;302603;"gm. Książ Wielkopolski";"Książ Wielkopolski";;
140604;"gm. Goszczyn";grójecki;"Wójt Gminy Goszczyn";Waldemar;KOPCZYŃSKI;"KOMITET WYBORCZY WYBORCÓW NASZA WSPÓLNA GMINA GOSZCZYN";DRD-6043-108/18;"Komitet wyborczy wyborców";wyższe;46;M;140604;"gm. Goszczyn";Goszczyn;;
181007;"gm. Żołynia";łańcucki;"Wójt Gminy Żołynia";Stanisław;PANEK;"KOMITET WYBORCZY WYBORCÓW WSZYSTKO DLA GMINY ŻOŁYNIA";DRZ-6043-41/18;"Komitet wyborczy wyborców";Wyższe;58;M;181007;"gm. Żołynia";Żołynia;;
026501;"m. Wałbrzych";"m. Wałbrzych";"Prezydent Miasta Wałbrzycha";Ireneusz;ZYSKA;"KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ";ZPOW-6040-6/18;"Komitet wyborczy partii politycznej";wyższe;49;M;021902;"m. Świebodzice";Świebodzice;"Wolni i Solidarni";
140405;"gm. Szczawin Kośc.";gostyniński;"Wójt Gminy Szczawin Kościelny";"Jerzy Kazimierz";SOCHACKI;"KOMITET WYBORCZY POLSKIE STRONNICTWO LUDOWE";ZPOW-6040-2/18;"Komitet wyborczy partii politycznej";wyższe;71;M;140405;"gm. Szczawin Kośc.";"Szczawin Kościelny";;
301005;"gm. Kramsk";koniński;"Wójt Gminy Kramsk";"Sławomir Bogusław";DĄBROWSKI;"KOMITET WYBORCZY WYBORCÓW SAMORZĄDNA GMINA KRAMSK";DKN-6043-271/18;"Komitet wyborczy wyborców";Wyższe;50;M;301005;"gm. Kramsk";Kramsk;;
060307;"gm. Leśniowice";chełmski;"Wójt Gminy Leśniowice";Wiesław;RADZIĘCIAK;"KOMITET WYBORCZY POLSKIE STRONNICTWO LUDOWE";ZPOW-6040-2/18;"Komitet wyborczy partii politycznej";wyższe;59;M;060307;"gm. Leśniowice";Leśniowice;"Polskie Stronnictwo Ludowe";
181207;"gm. Ulanów";niżański;"Burmistrz Gminy i Miasta Ulanów";Stanisław;GARBACZ;"KOMITET WYBORCZY WYBORCÓW STANISŁAWA GARBACZA";DTG-6043-53/18;"Komitet wyborczy wyborców";"wyższe magisterskie";54;M;181207;"gm. Ulanów";"Kurzyna Wielka";;"Prawo i Sprawiedliwość"
062005;"gm. Łabunie";zamojski;"Wójt Gminy Łabunie";Artur;BOBCZUK;"KOMITET WYBORCZY WYBORCÓW GMINA+";DZM-6043-54/18;"Komitet wyborczy wyborców";wyższe;32;M;062005;"gm. Łabunie";Barchaczów;;
102007;"gm. Parzęczew";zgierski;"Wójt Gminy Parzęczew";"Ryszard Tomasz";NOWAKOWSKI;"KOMITET WYBORCZY WYBORCÓW GMINA PARZĘCZEW 2023";DŁD-6043-55/18;"Komitet wyborczy wyborców";wyższe;52;M;102007;"gm. Parzęczew";Parzęczew;;
081108;"gm. Trzebiel";żarski;"Wójt Gminy Trzebiel";Marek;IWLEW;"KOMITET WYBORCZY WYBORCÓW MAREK IWLEW";DZG-6043-64/18;"Komitet wyborczy wyborców";wyższe;46;M;081105;"gm. Lipinki Łużyckie";Suchleb;;
141502;"gm. Czarnia";ostrołęcki;"Wójt Gminy Czarnia";Dorota;KACZMARCZYK;"KOMITET WYBORCZY WYBORCÓW POROZUMIENIE DLA GMINY CZARNIA";DOS-6043-78/18;"Komitet wyborczy wyborców";wyższe;43;K;141502;"gm. Czarnia";Cyk;;
061405;"gm. Końskowola";puławski;"Wójt Gminy Końskowola";Stanisław;GOŁĘBIOWSKI;"KOMITET WYBORCZY WYBORCÓW STANISŁAWA GOŁĘBIOWSKIEGO";DLB-6043-86/18;"Komitet wyborczy wyborców";wyższe;65;M;061405;"gm. Końskowola";Końskowola;;
280303;"gm. Iłowo-Osada";działdowski;"Wójt Gminy Iłowo-Osada";Sebastian;CICHOCKI;"KOMITET WYBORCZY WYBORCÓW SAMORZĄDOWE ""UGRUPOWANIE LOKALNE""";DEL-6043-54/18;"Komitet wyborczy wyborców";Wyższe;34;M;280303;"gm. Iłowo-Osada";Białuty;;
221302;"m. Skórcz";starogardzki;"Burmistrz Miasta Skórcz";"Janusz Jerzy";KOSECKI;"KOMITET WYBORCZY WYBORCÓW JANUSZA KOSECKIEGO „SKÓRCZ NASZE MIASTO”";DGD-6043-67/18;"Komitet wyborczy wyborców";wyższe;45;M;221302;"m. Skórcz";Skórcz;;
181108;"gm. Radomyśl Wielki";mielecki;"Burmistrz Radomyśla Wielkiego";"Wojciech Marek";MACHNIK;"KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ";ZPOW-6040-6/18;"Komitet wyborczy partii politycznej";wyższe;35;M;181108;"gm. Radomyśl Wielki";"Radomyśl Wielki";"Prawo i Sprawiedliwość";
260418;"gm. Strawczyn";kielecki;"Wójt Gminy Strawczyn";Bożena;SZCZYPIÓR;"KOMITET WYBORCZY WYBORCÓW PROJEKT ŚWIĘTOKRZYSKIE BOGDANA WENTY";DKC-6043-12/18;"Komitet wyborczy wyborców";wyższe;57;K;260418;"gm. Strawczyn";Oblęgorek;;"Stowarzyszenie Projekt Świętokrzyskie"
026501;"m. Wałbrzych";"m. Wałbrzych";"Prezydent Miasta Wałbrzycha";"Bogusława Barbara";CZUPRYN;"KOMITET WYBORCZY WYBORCÓW BOGUSŁAWY CZUPRYN";DWB-6043-70/18;"Komitet wyborczy wyborców";wyższe;57;K;026501;"m. Wałbrzych";Wałbrzych;;
142010;"gm. Raciąż";płoński;"Wójt Gminy Raciąż";Małgorzata;ZIÓŁKOWSKA;"KOMITET WYBORCZY WYBORCÓW MAŁGORZATY ZIÓŁKOWSKIEJ";DCI-6043-126/18;"Komitet wyborczy wyborców";wyższe;49;K;142010;"gm. Raciąż";Jeżewo-Wesel;;
060408;"gm. Werbkowice";hrubieszowski;"Wójt Gminy Werbkowice";Agnieszka;SKUBIS-RAFALSKA;"KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ";ZPOW-6040-6/18;"Komitet wyborczy partii politycznej";wyższe;44;K;060408;"gm. Werbkowice";Werbkowice;;
260607;"gm. Tarłów";opatowski;"Wójt Gminy Tarłów";"Radosław Marek";MIKOŁAJEK;"KOMITET WYBORCZY WYBORCÓW LEPSZA PRZYSZŁOŚĆ";DKC-6043-276/18;"Komitet wyborczy wyborców";Wyższe;43;M;260607;"gm. Tarłów";Sulejów;;
221202;"gm. Damnica";słupski;"Wójt Gminy Damnica";Rafał;TETERKA;"KOMITET WYBORCZY WYBORCÓW RAZEM UKSZTAŁTUJEMY PRZYSZŁOŚĆ";DSŁ-6043-41/18;"Komitet wyborczy wyborców";"wyższe techniczne";43;M;221202;"gm. Damnica";Damnica;;
143302;"gm. Grębków";węgrowski;"Wójt Gminy Grębków";"Bogdan Jan";DOLIŃSKI;"KOMITET WYBORCZY WYBORCÓW RAZEM DLA GMINY MIASTA I POWIATU";DSD-6043-17/18;"Komitet wyborczy wyborców";wyższe;55;M;143302;"gm. Grębków";Grębków;SLD;
160305;"gm. Polska Cerekiew";kędzierzyńsko-kozielski;"Wójt Gminy Polska Cerekiew";Jerzy;KORECKI;"KOMITET WYBORCZY WYBORCÓW JERZEGO KORECKIEGO - ALTERNATYWA";DOP-6043-156/18;"Komitet wyborczy wyborców";średnie;62;M;160305;"gm. Polska Cerekiew";"Polska Cerekiew";;
020905;"gm. Legnickie Pole";legnicki;"Wójt Gminy Legnickie Pole";"Mariusz Paweł";JOŃCZYK;"KOMITET WYBORCZY WYBORCÓW MARIUSZA JOŃCZYK";DLG-6043-107/18;"Komitet wyborczy wyborców";wyższe;43;M;020905;"gm. Legnickie Pole";"Legnickie Pole";;
040103;"m. Nieszawa";aleksandrowski;"Burmistrz Miasta Nieszawa";"Marcin Marian";ZIEMECKI;"KOMITET WYBORCZY WYBORCÓW MARCINA ZIEMECKIEGO";DWŁ-6043-94/18;"Komitet wyborczy wyborców";średnie;27;M;040103;"m. Nieszawa";Nieszawa;;
160909;"gm. Popielów";opolski;"Wójt Gminy Popielów";Marieta;KUPKA;"KOMITET WYBORCZY WYBORCÓW - KONTYNUACJA ROZWOJU GMINY POPIELÓW";DOP-6043-16/18;"Komitet wyborczy wyborców";wyższe;61;K;160909;"gm. Popielów";"Stare Siołkowice";;TSKN
143002;"gm. Jastrząb";szydłowiecki;"Wójt Gminy Jastrząb";Zbigniew;SARNAT;"KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ";ZPOW-6040-6/18;"Komitet wyborczy partii politycznej";wyższe;53;M;143002;"gm. Jastrząb";"Gąsawy Rządowe";;
060408;"gm. Werbkowice";hrubieszowski;"Wójt Gminy Werbkowice";"Mirosław Andrzej";SZYMCZUK;"KOMITET WYBORCZY POLSKIE STRONNICTWO LUDOWE";ZPOW-6040-2/18;"Komitet wyborczy partii politycznej";wyższe;42;M;060408;"gm. Werbkowice";Terebiniec;;
180802;"gm. Grodzisko Dolne";leżajski;"Wójt Gminy Grodzisko Dolne";Kazimierz;KRYLA;"KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ";ZPOW-6040-6/18;"Komitet wyborczy partii politycznej";wyższe;55;M;180802;"gm. Grodzisko Dolne";"Grodzisko Górne";;
320601;"gm. Banie";gryfiński;"Wójt Gminy Banie";"Andrzej Józef";BINKOWSKI;"KOMITET WYBORCZY POLSKIE STRONNICTWO LUDOWE";ZPOW-6040-2/18;"Komitet wyborczy partii politycznej";wyższe;57;M;320601;"gm. Banie";Piaseczno;"Polskie Stronnictwo Ludowe";
321201;"gm. Bielice";pyrzycki;"Wójt Gminy Bielice";"Iwona Jolanta";KOCHEL;"KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ";ZPOW-6040-6/18;"Komitet wyborczy partii politycznej";wyższe;50;K;321201;"gm. Bielice";Chabowo;"KW Prawo i Sprawiedliwość";
141006;"gm. Stara Kornica";łosicki;"Wójt Gminy Stara Kornica";Ewa;SZYDŁOWSKA;"KOMITET WYBORCZY WYBORCÓW NASZA MŁODOŚĆ I PRZYSZŁOŚĆ";DSD-6043-26/18;"Komitet wyborczy wyborców";wyższe;40;K;141006;"gm. Stara Kornica";Kazimierzów;;
020609;"gm. Stara Kamienica";jeleniogórski;"Wójt Gminy Stara Kamienica";"Mariusz Krzysztof";MAREK;"KOMITET WYBORCZY WYBORCÓW NASZA GMINA STARA KAMIENICA";DJG-6043-158/18;"Komitet wyborczy wyborców";wyższe;41;M;020609;"gm. Stara Kamienica";Kopaniec;;
180707;"gm. Miejsce Piastowe";krośnieński;"Wójt Gminy Miejsce Piastowe";Dorota;CHILIK;"KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ";ZPOW-6040-6/18;"Komitet wyborczy partii politycznej";wyższe;47;K;180707;"gm. Miejsce Piastowe";Rogi;"Prawo i Sprawiedliwość";
246101;"m. Bielsko-Biała";"m. Bielsko-Biała";"Prezydent Miasta Bielska-Białej";Ryszard;WRONA;"KOALICYJNY KOMITET WYBORCZY SLD LEWICA RAZEM";ZPOW-6041-2/18;"Koalicyjny komitet wyborczy";wyższe;69;M;246101;"m. Bielsko-Biała";Bielsko-Biała;"Sojusz Lewicy Demokratycznej";
101609;"gm. Tomaszów Mazowiecki";tomaszowski;"Wójt Gminy Tomaszów Mazowiecki";"Franciszek Józef";SZMIGIEL;"KOMITET WYBORCZY WYBORCÓW - LEPSZA PRZYSZŁOŚĆ";DSK-6043-18/18;"Komitet wyborczy wyborców";Wyższe;67;M;101609;"gm. Tomaszów Mazowiecki";Smardzewice;;
141702;"m. Otwock";otwocki;"Prezydent Miasta Otwocka";"Ireneusz Józef";PAŚNICZEK;"KOMITET WYBORCZY WYBORCÓW IRENEUSZA PAŚNICZKA";DWW-6043-157/18;"Komitet wyborczy wyborców";Wyższe;40;M;141702;"m. Otwock";Otwock;;
201107;"gm. Sidra";sokólski;"Wójt Gminy Sidra";Jan;OGIŁ;"KOMITET WYBORCZY WYBORCÓW ODBUDOWA GMINY SIDRA";DSW-6043-98/18;"Komitet wyborczy wyborców";Wyższe;27;M;201107;"gm. Sidra";Makowlany;;
040601;"gm. Grudziądz";grudziądzki;"Wójt Gminy Grudziądz";"Andrzej Henryk";RODZIEWICZ;"KOMITET WYBORCZY WYBORCÓW ANDRZEJA RODZIEWICZA BLISKO LUDZI";DTR-6043-45/18;"Komitet wyborczy wyborców";wyższe;45;M;046201;"m. Grudziądz";Grudziądz;;
182105;"gm. Solina";leski;"Wójt Gminy Solina";"Adam Piotr";PIĄTKOWSKI;"KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ";ZPOW-6040-6/18;"Komitet wyborczy partii politycznej";wyższe;53;M;182105;"gm. Solina";Wołkowyja;PiS;
260704;"gm. Ćmielów";ostrowiecki;"Burmistrz Ćmielowa";Wojciech;STACHURSKI;"KOMITET WYBORCZY WYBORCÓW GRIGORA SZAGINIANA";DKC-6043-159/18;"Komitet wyborczy wyborców";"Wyższe Podyplomowe";51;M;260704;"gm. Ćmielów";Grójec;;
221503;"m. Wejherowo";wejherowski;"Prezydent Miasta Wejherowa";"Rafał Bogusław";SZLAS;"KOALICYJNY KOMITET WYBORCZY PLATFORMA.NOWOCZESNA KOALICJA OBYWATELSKA";ZPOW-6041-1/18;"Koalicyjny komitet wyborczy";średnie;44;M;221503;"m. Wejherowo";Wejherowo;;
140801;"m. Legionowo";legionowski;"Prezydent Miasta Legionowo";"Bogdan Kazimierz";KIEŁBASIŃSKI;"KOMITET WYBORCZY WYBORCÓW NASZE MIASTO NASZE SPRAWY";DWW-6043-194/18;"Komitet wyborczy wyborców";wyższe;50;M;140801;"m. Legionowo";Legionowo;;
101604;"gm. Czerniewice";tomaszowski;"Wójt Gminy Czerniewice";"Cezary Paweł";WOJCIECHOWSKI;"KOMITET WYBORCZY WYBORCÓW WOJCIECHOWSKI";DSK-6043-105/18;"Komitet wyborczy wyborców";średnie;45;M;101604;"gm. Czerniewice";"Nowa Strzemeszna";;
302807;"gm. Wągrowiec";wągrowiecki;"Wójt Gminy Wągrowiec";"Dariusz Zbigniew";EITNER;"KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ";ZPOW-6040-6/18;"Komitet wyborczy partii politycznej";wyższe;52;M;302801;"m. Wągrowiec";Wągrowiec;"Prawo i Sprawiedliwość";
101805;"gm. Łubnice";wieruszowski;"Wójt Gminy Łubnice";"Henryk Stanisław";CIOSEK;"KOMITET WYBORCZY WYBORCÓW GMINY ŁUBNICE";DSR-6043-51/18;"Komitet wyborczy wyborców";Wyższe;60;M;101805;"gm. Łubnice";Łubnice;;
022309;"gm. Żórawina";wrocławski;"Wójt Gminy Żórawina";Agnieszka;DRAPUS;"KOMITET WYBORCZY WYBORCÓW ŻÓRAWINA.INFO";DWR-6043-47/18;"Komitet wyborczy wyborców";wyższe;40;K;022309;"gm. Żórawina";Karwiany;;
021803;"gm. Miękinia";średzki;"Wójt Gminy Miękinia";"Danuta Anna";BOGUS-ŁYŚ;"KOMITET WYBORCZY POLSKIE STRONNICTWO LUDOWE";ZPOW-6040-2/18;"Komitet wyborczy partii politycznej";wyższe;51;K;021803;"gm. Miękinia";Brzezina;;
281503;"gm. Grunwald";ostródzki;"Wójt Gminy Grunwald";Arkadiusz;ROSA;"KOMITET WYBORCZY WYBORCÓW ARKADIUSZA ROSY";DEL-6043-141/18;"Komitet wyborczy wyborców";wyższe;47;M;281503;"gm. Grunwald";Dylewo;;
121702;"gm. Biały Dunajec";tatrzański;"Wójt Gminy Biały Dunajec";"Elżbieta Magdalena";PORĘBSKA-MĘDOŃ;"KOMITET WYBORCZY ""WSPÓLNA MAŁOPOLSKA""";DKR-6042-8/18;"Komitet wyborczy organizacji i stowarzyszeń";wyższe;44;K;121702;"gm. Biały Dunajec";"Biały Dunajec";;
142612;"gm. Wodynie";siedlecki;"Wójt Gminy Wodynie";Zbigniew;KLUCZEK;"KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ";ZPOW-6040-6/18;"Komitet wyborczy partii politycznej";średnie;48;M;142612;"gm. Wodynie";Seroczyn;"Prawo i Sprawiedliwość";
200303;"gm. Bielsk Podlaski";bielski;"Wójt Gminy Bielsk Podlaski";"Przemysław Damian";PAWEŁKIEWICZ;"KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ";ZPOW-6040-6/18;"Komitet wyborczy partii politycznej";wyższe;40;M;200303;"gm. Bielsk Podlaski";Sobótka;"Prawo i Sprawiedliwość";
143412;"gm. Wołomin";wołomiński;"Burmistrz Wołomina";Sylwester;JAGODZIŃSKI;"KOMITET WYBORCZY WYBORCÓW SYLWESTRA JAGODZIŃSKIEGO";DWW-6043-150/18;"Komitet wyborczy wyborców";Wyższe;35;M;143412;"gm. Wołomin";Wołomin;PSL;
260702;"gm. Bałtów";ostrowiecki;"Wójt Gminy Bałtów";"Hubert Krystian";ŻĄDŁO;"KOMITET WYBORCZY WYBORCÓW PRZYJAZNA GMINA BAŁTÓW";DKC-6043-287/18;"Komitet wyborczy wyborców";"Wyższe leśne, ochrona środowiska";35;M;260702;"gm. Bałtów";Michałów;"Prawo i Sprawiedliwość";"Prawo i Sprawiedliwość"
040707;"gm. Pakość";inowrocławski;"Burmistrz Pakości";Henryk;KUCHARCZYK;"KOMITET WYBORCZY WYBORCÓW INICJATYWA DLA PAKOŚCI";DBD-6043-149/18;"Komitet wyborczy wyborców";wyższe;67;M;040707;"gm. Pakość";Ludkowo;;
020306;"gm. Żukowice";głogowski;"Wójt Gminy Żukowice";Barbara;GRABOWSKA;"KOMITET WYBORCZY WYBORCÓW GŁOGOWSKIE POROZUMIENIE SAMORZĄDOWE";DWR-6043-32/18;"Komitet wyborczy wyborców";wyższe;45;K;020306;"gm. Żukowice";Domaniowice;;
142106;"gm. Raszyn";pruszkowski;"Wójt Gminy Raszyn";"Andrzej Wiesław";ZARĘBA;"KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ";ZPOW-6040-6/18;"Komitet wyborczy partii politycznej";wyższe;59;M;142106;"gm. Raszyn";Rybie;"Prawo i Sprawiedliwość";
181609;"gm. Krasne";rzeszowski;"Wójt Gminy Krasne";Jacek;MATERNIA;"KOMITET WYBORCZY WYBORCÓW GŁOS MIESZKAŃCÓW GMINY KRASNE";DRZ-6043-30/18;"Komitet wyborczy wyborców";wyższe;49;M;181609;"gm. Krasne";Krasne;;"Prawo i Sprawiedliwość"
201106;"gm. Nowy Dwór";sokólski;"Wójt Gminy Nowy Dwór";Wojciech;ŁABIENIEC;"KOMITET WYBORCZY WYBORCÓW RAZEM DLA NOWEGO DWORU";DSW-6043-70/18;"Komitet wyborczy wyborców";wyższe;39;M;201106;"gm. Nowy Dwór";"Nowy Dwór";;PiS
141404;"gm. Nasielsk";nowodworski;"Burmistrz Nasielska";Andrzej;PACOCHA;"KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ";ZPOW-6040-6/18;"Komitet wyborczy partii politycznej";wyższe;46;M;141404;"gm. Nasielsk";Nasielsk;"Prawo i Sprawiedliwość";
141306;"gm. Stupsk";mławski;"Wójt Gminy Stupsk";Jacek;ŚWIDERSKI;"KOMITET WYBORCZY WYBORCÓW MIESZKAŃCÓW GMINY STUPSK";DCI-6043-36/18;"Komitet wyborczy wyborców";wyższe;51;M;141306;"gm. Stupsk";Konopki;"Polskie Stronnictwo Ludowe";
300201;"m. Czarnków";czarnkowsko-trzcianecki;"Burmistrz Miasta Czarnków";Andrzej;TADLA;"KOMITET WYBORCZY WYBORCÓW JUTRO DLA CZARNKOWA";DPL-6043-23/18;"Komitet wyborczy wyborców";wyższe;63;M;300201;"m. Czarnków";Czarnków;;
142602;"gm. Korczew";siedlecki;"Wójt Gminy Korczew";Sławomir;WASILCZUK;"KOMITET WYBORCZY WYBORCÓW SŁAWOMIRA WASILCZUKA";DSD-6043-35/18;"Komitet wyborczy wyborców";wyższe;42;M;142602;"gm. Korczew";Mogielnica;;
280303;"gm. Iłowo-Osada";działdowski;"Wójt Gminy Iłowo-Osada";"Bożena Halina";STRZELEWSKA;"KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ";ZPOW-6040-6/18;"Komitet wyborczy partii politycznej";Wyższe;49;K;280303;"gm. Iłowo-Osada";Narzym;;"Komitet Wyborczy Prawo i Sprawiedliwość"
061110;"gm. Wojcieszków";łukowski;"Wójt Gminy Wojcieszków";Sławomir;BARSZCZ;"KOMITET WYBORCZY POLSKIE STRONNICTWO LUDOWE";ZPOW-6040-2/18;"Komitet wyborczy partii politycznej";średnie;42;M;061110;"gm. Wojcieszków";Siedliska;PSL;
080803;"gm. Skąpe";świebodziński;"Wójt Gminy Skąpe";MICHAŁ;STACHOWIAK;"KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ";ZPOW-6040-6/18;"Komitet wyborczy partii politycznej";WYŻSZE;54;M;080803;"gm. Skąpe";ZAWISZE;PiS;
281203;"gm. Grodziczno";nowomiejski;"Wójt Gminy Grodziczno";"Radosław Jan";BARTNICKI;"KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ";ZPOW-6040-6/18;"Komitet wyborczy partii politycznej";wyższe;29;M;281201;"m. Nowe Miasto Lubawskie";"Nowe Miasto Lubawskie";;PiS
160103;"gm. Grodków";brzeski;"Burmistrz Grodkowa";"Agata Danuta";WASILENKO-MIKUTA;"KOMITET WYBORCZY WYBORCÓW GRODKÓW SOLIDARNY";DOP-6043-147/18;"Komitet wyborczy wyborców";wyższe;50;K;160103;"gm. Grodków";Grodków;"Solidarna Polska";
160705;"gm. Nysa";nyski;"Burmistrz Nysy";"Paweł Jerzy";NAKONIECZNY;"KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ";ZPOW-6040-6/18;"Komitet wyborczy partii politycznej";Wyższe;41;M;160705;"gm. Nysa";Nysa;"Prawo i Sprawiedliwość";"NSZZ SOLIDARNOŚĆ"
220204;"gm. Czersk";chojnicki;"Burmistrz Czerska";"Daniel Andrzej";SZPRĘGA;"KOMITET WYBORCZY WYBORCÓW DANIELA SZPRĘGI";DSŁ-6043-189/18;"Komitet wyborczy wyborców";wyższe;43;M;220204;"gm. Czersk";Czersk;;"Prawo i Sprawiedliwość"
140704;"gm. Grabów nad Pilicą";kozienicki;"Wójt Gminy w Grabowie nad Pilicą";Robert;RUDECKI;"KOMITET WYBORCZY WYBORCÓW ZDECYDOWANI W DZIAŁANIU";DRD-6043-5/18;"Komitet wyborczy wyborców";"średnie, techniczne";37;M;140704;"gm. Grabów nad Pilicą";Dąbrówki;;
260703;"gm. Bodzechów";ostrowiecki;"Wójt Gminy Bodzechów";"Jerzy Jan";MURZYN;"KOMITET WYBORCZY WYBORCÓW NASZA GMINA BODZECHÓW";DKC-6043-14/18;"Komitet wyborczy wyborców";wyższe;58;M;260703;"gm. Bodzechów";Szewna;;
206201;"m. Łomża";"m. Łomża";"Prezydent Miasta Łomża";Mariusz;CHRZANOWSKI;"KOMITET WYBORCZY WYBORCÓW MARIUSZA CHRZANOWSKIEGO";DŁM-6043-63/18;"Komitet wyborczy wyborców";wyższe;34;M;206201;"m. Łomża";Łomża;;
100402;"gm. Daszyna";łęczycki;"Wójt Gminy Daszyna";"Zbigniew Stanisław";WOJTERA;"KOMITET WYBORCZY WYBORCÓW NASZA MAŁA OJCZYZNA";DŁD-6043-65/18;"Komitet wyborczy wyborców";wyższe;43;M;100402;"gm. Daszyna";Drzykozy;;
021903;"gm. Dobromierz";świdnicki;"Wójt Gminy Dobromierz";Marek;JAWORSKI;"KOMITET WYBORCZY WYBORCÓW MARKA JAWORSKIEGO";DWB-6043-124/18;"Komitet wyborczy wyborców";wyższe;63;M;021903;"gm. Dobromierz";Roztoka;;
