razem;teryt;rok
4;061202;2018
5;101604;2018
3;100407;2018
2;241508;2018
2;021104;2018
4;141307;2018
2;301909;2018
3;301907;2018
2;241606;2018
2;300805;2018
2;300802;2018
2;121606;2018
3;141502;2018
2;181003;2018
2;300203;2018
3;220504;2018
4;240204;2018
2;021502;2018
3;280804;2018
6;306201;2018
4;060601;2018
2;180804;2018
3;301908;2018
2;240412;2018
2;100507;2018
2;300704;2018
5;260604;2018
2;060812;2018
3;281705;2018
2;240506;2018
3;302103;2018
5;142508;2018
3;260607;2018
4;121013;2018
1;060106;2018
1;100403;2018
3;260701;2018
4;021604;2018
1;220503;2018
1;120804;2018
1;181306;2018
2;280704;2018
4;120407;2018
4;247101;2018
3;120105;2018
2;081202;2018
2;041204;2018
1;181307;2018
1;301013;2018
2;280105;2018
3;041301;2018
5;142513;2018
1;020812;2018
2;220304;2018
3;060313;2018
2;041703;2018
5;260802;2018
2;120403;2018
7;206201;2018
2;201308;2018
2;320201;2018
3;180304;2018
4;140702;2018
2;281408;2018
4;120101;2018
3;041203;2018
4;040702;2018
2;200709;2018
3;181204;2018
1;280206;2018
2;020205;2018
2;141609;2018
4;261004;2018
4;201202;2018
2;302114;2018
2;321403;2018
4;041304;2018
4;101401;2018
4;081102;2018
3;080701;2018
5;140501;2018
2;301301;2018
2;022002;2018
3;080406;2018
3;240302;2018
3;101506;2018
2;120801;2018
4;302109;2018
3;220601;2018
3;200209;2018
2;201110;2018
4;140705;2018
4;181606;2018
3;141903;2018
3;180404;2018
2;281103;2018
5;186401;2018
2;080102;2018
2;160601;2018
3;040301;2018
2;101004;2018
2;100408;2018
4;100201;2018
1;120711;2018
5;141504;2018
3;321409;2018
2;320503;2018
3;302004;2018
2;180306;2018
1;101605;2018
2;022403;2018
2;141004;2018
4;201405;2018
3;020807;2018
3;121005;2018
1;260201;2018
2;160911;2018
2;320609;2018
4;140506;2018
3;280303;2018
3;040708;2018
2;101710;2018
4;021907;2018
2;060109;2018
2;142907;2018
4;060404;2018
3;140402;2018
3;060710;2018
4;022304;2018
4;140803;2018
1;022306;2018
4;160602;2018
4;141309;2018
4;301901;2018
3;200502;2018
2;140106;2018
4;142903;2018
3;260419;2018
3;301704;2018
2;181801;2018
3;302105;2018
3;220502;2018
4;142101;2018
4;241504;2018
3;260404;2018
2;220408;2018
3;060102;2018
3;040401;2018
1;121507;2018
3;200501;2018
2;060908;2018
3;140902;2018
3;221105;2018
3;021906;2018
4;061506;2018
2;320806;2018
1;201310;2018
3;142206;2018
3;100807;2018
2;280610;2018
3;181407;2018
2;180602;2018
2;121308;2018
4;041508;2018
1;140601;2018
4;140802;2018
2;101501;2018
4;246601;2018
5;086201;2018
3;020501;2018
2;100905;2018
3;160203;2018
6;100404;2018
2;040506;2018
3;200213;2018
2;143501;2018
3;302101;2018
1;081109;2018
6;247001;2018
2;182002;2018
3;040703;2018
1;302403;2018
5;101212;2018
2;281411;2018
3;142511;2018
2;040104;2018
3;300207;2018
4;060701;2018
2;320103;2018
2;040405;2018
7;146301;2018
1;300206;2018
3;260202;2018
3;120610;2018
2;180709;2018
4;020810;2018
3;102104;2018
2;241001;2018
2;181702;2018
2;201107;2018
4;120702;2018
4;121004;2018
2;080407;2018
2;320405;2018
4;321603;2018
2;143004;2018
3;061505;2018
3;101903;2018
2;100901;2018
3;101010;2018
2;240804;2018
2;300104;2018
2;020203;2018
4;061803;2018
1;121614;2018
2;060905;2018
3;143305;2018
2;100802;2018
3;021004;2018
4;247401;2018
1;181614;2018
5;046101;2018
2;120712;2018
2;200102;2018
2;260407;2018
5;206101;2018
4;301011;2018
2;020504;2018
3;041808;2018
3;143411;2018
5;246701;2018
4;303001;2018
2;060115;2018
3;100202;2018
3;302807;2018
3;020811;2018
3;120606;2018
2;280902;2018
2;302112;2018
2;142202;2018
4;240802;2018
3;061106;2018
5;320402;2018
6;020701;2018
1;221313;2018
3;142105;2018
2;181104;2018
2;201008;2018
3;302901;2018
2;040602;2018
4;302407;2018
3;280604;2018
3;260906;2018
3;141304;2018
1;320205;2018
2;060111;2018
4;260203;2018
3;181110;2018
5;061301;2018
2;120106;2018
2;241106;2018
2;121501;2018
2;180908;2018
6;326201;2018
1;100602;2018
4;320403;2018
3;040807;2018
3;061813;2018
1;041502;2018
2;143502;2018
5;142505;2018
3;021202;2018
3;020202;2018
3;022301;2018
3;281502;2018
2;120803;2018
4;241601;2018
1;300909;2018
3;160201;2018
2;260907;2018
4;061101;2018
3;303105;2018
1;080903;2018
1;302307;2018
2;220110;2018
4;320704;2018
4;220805;2018
1;040505;2018
5;246501;2018
1;180502;2018
2;240503;2018
1;320802;2018
1;080303;2018
5;321803;2018
2;141109;2018
3;060208;2018
2;121703;2018
2;221601;2018
3;201305;2018
2;261202;2018
4;140201;2018
1;301007;2018
3;022203;2018
3;220302;2018
4;321206;2018
1;141803;2018
3;320606;2018
2;081110;2018
3;080705;2018
1;240703;2018
3;061808;2018
4;201209;2018
4;220106;2018
5;020201;2018
2;020306;2018
3;181613;2018
3;100103;2018
3;302117;2018
4;300709;2018
3;280706;2018
2;120604;2018
4;040504;2018
5;061604;2018
4;321801;2018
5;040804;2018
6;321502;2018
2;180407;2018
5;141404;2018
3;241715;2018
2;160303;2018
2;240701;2018
5;321503;2018
3;181707;2018
3;020303;2018
5;320301;2018
6;100508;2018
3;120108;2018
3;120903;2018
5;100704;2018
3;140704;2018
1;241708;2018
3;143202;2018
3;100204;2018
2;020908;2018
2;200704;2018
6;121610;2018
2;061503;2018
1;041802;2018
6;126101;2018
2;021408;2018
2;101008;2018
1;301903;2018
2;142205;2018
3;101205;2018
6;280103;2018
2;143803;2018
2;241004;2018
3;321505;2018
2;120617;2018
1;301803;2018
5;240609;2018
1;140304;2018
1;160304;2018
2;060916;2018
3;020804;2018
6;060205;2018
2;101002;2018
2;182104;2018
2;280404;2018
2;120506;2018
2;281903;2018
2;062014;2018
2;143303;2018
4;080702;2018
4;080404;2018
3;200212;2018
3;302104;2018
1;141208;2018
2;260301;2018
5;260410;2018
2;040705;2018
2;142406;2018
1;120405;2018
2;240801;2018
2;160402;2018
3;061003;2018
3;101803;2018
3;060304;2018
2;320406;2018
4;140313;2018
5;240502;2018
1;301806;2018
6;182103;2018
2;240305;2018
6;141701;2018
7;246301;2018
5;261001;2018
2;100305;2018
4;182102;2018
4;200905;2018
2;302709;2018
3;141911;2018
4;040903;2018
4;101707;2018
2;200403;2018
3;060504;2018
2;022407;2018
3;101505;2018
2;220401;2018
2;321301;2018
3;241005;2018
5;066201;2018
3;302705;2018
3;281503;2018
3;280401;2018
6;046301;2018
1;022305;2018
3;101003;2018
2;140204;2018
1;201301;2018
3;220802;2018
2;100703;2018
3;021102;2018
2;302203;2018
2;143407;2018
3;120402;2018
3;220108;2018
2;021405;2018
2;021908;2018
4;041302;2018
1;140308;2018
3;121015;2018
2;121902;2018
2;281604;2018
4;186201;2018
6;301005;2018
1;180601;2018
2;300403;2018
8;306101;2018
3;181901;2018
3;321702;2018
5;021601;2018
2;240707;2018
2;260409;2018
2;160707;2018
4;221503;2018
1;180103;2018
3;140906;2018
3;221506;2018
3;160806;2018
1;141207;2018
5;281304;2018
2;081108;2018
5;180901;2018
5;241403;2018
3;106301;2018
5;141006;2018
3;302107;2018
2;101805;2018
6;160908;2018
1;060315;2018
5;240107;2018
2;100801;2018
4;140401;2018
4;300907;2018
1;061302;2018
3;022604;2018
2;140504;2018
8;286201;2018
4;241704;2018
4;302116;2018
3;061406;2018
2;141104;2018
4;241003;2018
1;121309;2018
3;021001;2018
1;181408;2018
2;040404;2018
2;140603;2018
1;142602;2018
3;100304;2018
2;100509;2018
1;160901;2018
1;121608;2018
1;101610;2018
2;181705;2018
3;241710;2018
4;200206;2018
2;143406;2018
4;261203;2018
1;261104;2018
2;121404;2018
5;300204;2018
3;302405;2018
3;142507;2018
1;302601;2018
1;301506;2018
5;060503;2018
1;142006;2018
4;247901;2018
3;142701;2018
1;241102;2018
2;080504;2018
2;280301;2018
2;241505;2018
1;140104;2018
2;100210;2018
2;301906;2018
4;060708;2018
5;220901;2018
5;221402;2018
2;120204;2018
3;220204;2018
3;121903;2018
3;180305;2018
1;080502;2018
4;181903;2018
2;140310;2018
2;241711;2018
1;020902;2018
4;120202;2018
3;160702;2018
3;200602;2018
2;121304;2018
3;200806;2018
3;081006;2018
4;320604;2018
3;280402;2018
3;060212;2018
3;060402;2018
2;120509;2018
2;201105;2018
4;321404;2018
3;020204;2018
5;200207;2018
3;080601;2018
5;240401;2018
1;121012;2018
1;220202;2018
4;240601;2018
1;321303;2018
3;121405;2018
5;302903;2018
3;220604;2018
3;021401;2018
4;221406;2018
2;221603;2018
1;141703;2018
6;240411;2018
