teryt;gmina;urzad;kto;typk;bb;cc;tura;nrk;wiek;edu;glosy;glosyp;glosyn;wynik;areaH;areaKm;popThs;popKm;type;retention;typg14;tura14;teryt14;kto14;komitet14;glosy14;glosyp14;dochody2017;wdistkm
101503;gm. Godzianów;Wójt Gminy Godzianów;MOZGA Andrzej Adam;KWW;51.850022,19.982373 51.942224,20.106386;51.896123,20.0443795;R1;1;52;wyższe;1070;86.01;-1;Tak;4406;44;2631;60;gw;0;M;R1;101503;TULEJA Zdzisław Andrzej;KWW Nasz Powiat;755;56.98;4536.17;42
101502;gm. Głuchów;Wójt Gminy Głuchów;SŁODKI Jan Piotr;KWW;51.738631,19.987138 51.863011,20.189206;51.800821,20.088172;R2;2;36;wyższe;1748;59.70;-1;Tak;11073;111;5813;52;gw;0;M;R1;101502;KOWARA Andrzej;KW-PSL;1571;53.54;5337.78;43
101504;gm. Kowiesy;Wójt Gminy Kowiesy;PEPKA Jarosław;KWW;51.848276,20.318577 51.947933,20.518831;51.8981045,20.418704;R1;1;40;wyższe;1097;80.25;-1;Tak;8583;86;2908;34;gw;1;M;R1;101504;PEPKA Jarosław;KWW Nasza Gmina Kowiesy;777;52.71;4241.67;67
101509;gm. Słupia;Wójt Gminy Słupia;MATULSKI Mirosław;PSL;51.826764,19.875823 51.893485,20.045714;51.8601245,19.9607685;R1;1;42;wyższe;856;69.20;-1;Tak;4109;41;2651;65;gw;1;S;R1;101509;MATULSKI Mirosław;KW-PSL;892;100.00;4044.06;35
101507;gm. Nowy Kawęczyn;Wójt Gminy Nowy Kawęczyn;CIOK Włodzimierz;KWW;51.834394,20.151162 51.939739,20.346008;51.8870665,20.248585;R1;1;59;wyższe;1078;67.93;-1;Tak;10422;104;3382;32;gw;1;M;R1;101507;CIOK Włodzimierz;KWW Nowy Kawęczyn;1162;71.20;3891.57;55
101506;gm. Maków;Wójt Gminy Maków;STANKIEWICZ Jerzy;KWW;51.906557,19.905949 51.995947,20.119856;51.951252,20.0129025;R1;3;66;wyższe techniczne;1689;55.65;-1;Tak;8153;81;5981;73;gw;1;M;R1;101506;STANKIEWICZ Jerzy;KWW Jerzego Stankiewicza;1917;66.08;3936.32;42
101508;gm. Skierniewice;Wójt Gminy Skierniewice;PYTLEWSKI Czesław Antoni;PiS;51.839950,20.051516 52.028193,20.294028;51.9340715,20.172772;R2;2;64;wyższe;1506;55.21;-1;Tak;13130;131;7506;57;gw;0;D;R2;101508;MOSKWA Dominik Tomasz;KWW Dominika Moskwy;1211;56.09;3760.46;51
101104;gm. Uniejów;Burmistrz Miasta Uniejów;KACZMAREK Józef;KWW;51.917835,18.714962 52.076454,18.885790;51.9971445,18.800376;R1;1;58;Wyższe;2572;85.02%;453;Tak;12901;129;7062;55;gmw;1;S;R1;101104;KACZMAREK Józef;KWW Dla Rozwoju Gminy i Miasta Uniejów;2650;100.00;5531.78;52
101106;gm. Zadzim;Wójt Gminy Zadzim;WOŹNIAK Krzysztof;PiS;51.720262,18.760792 51.852753,19.055969;51.7865075,18.9083805;R1;2;33;wyższe;1792;72.90;-1;Tak;14513;144;5012;35;gw;1;M;R1;101106;WOŹNIAK Krzysztof;KW-PiS;1904;70.52;4365.49;38
101101;gm. Dalików;Wójt Gminy Dalików;ARKUSZ Radosław Michał;KWW;51.819137,19.019551 51.959065,19.191203;51.889101,19.105377;R1;1;36;wyższe;987;50.03;-1;Tak;11462;115;3901;34;gw;0;M;R1;101101;SZYMCZAK Paweł;KW-PSL;1284;62.09;5228.69;27
100403;gm. Góra Świętej Małgorzaty;Wójt Gminy Góra Świętej Małgorzaty;FRANKOWSKI Włodzimierz;KWW;52.017005,19.212277 52.113441,19.420127;52.065223,19.316202;R1;1;56;wyższe;1249;80.17%;309;Tak;9026;90;4406;49;gw;1;M;R1;100403;FRANKOWSKI Włodzimierz;KWW Włodzimierza Frankowskiego;1038;57.06;3898.79;33
101102;gm. Pęczniew;Wójt Gminy Pęczniew;JANIAK Marcin Bartłomiej;KWW;51.734737,18.651433 51.898962,18.854022;51.8168495,18.7527275;R1;2;45;wyższe;1257;69.56;-1;Tak;12779;128;3482;27;gw;1;M;R1;101102;JANIAK Marcin Bartłomiej;KW-PO;1305;68.54;4439.21;49
100405;gm. Łęczyca;Wójt Gminy Łęczyca;ROGOZIŃSKI Jacek Mariusz;PiS;52.000669,19.031213 52.134336,19.272403;52.0675025,19.151808;R1;1;49;wyższe;2203;64.87;-1;Tak;15057;151;8538;57;gw;1;D;R2;100405;ROGOZIŃSKI Jacek Mariusz;KW-PiS;1588;55.78;3744.43;38
101204;gm. Gomunice;Wójt Gminy Gomunice;OLEJNICZAK Paweł Tomasz;KWW;51.104288,19.423834 51.200439,19.594530;51.1523635,19.509182;R1;2;41;wyższe;2096;72.35;-1;Tak;6245;62;5902;95;gw;1;D;R2;101204;OLEJNICZAK Paweł Tomasz;KWW Pawła Olejniczaka;1877;64.61;3803.32;70
100408;gm. Witonia;Wójt Gminy Witonia;WŁODARCZYK Mirosław;KWW;52.089698,19.208410 52.190940,19.358040;52.140319,19.283225;R1;2;55;średnie;842;52.23;-1;Tak;6045;60;3299;55;gw;1;M;R1;100408;WŁODARCZYK Mirosław;KWW Ziemi Witońskiej;1025;60.83;4424.33;42
100407;gm. Świnice Warckie;Wójt Gminy Świnice Warckie;PRAŻNOWSKA Sylwia;PiS;52.001435,18.828302 52.087528,19.046781;52.0444815,18.9375415;R1;3;30;wyższe;1037;53.98;-1;Tak;9347;93;3950;42;gw;0;D;R2;100407;PRóCHNIEWICZ Krzysztof Andrzej;KW-PSL;824;57.30;3681.26;46
101201;m. Radomsko;PrezM Radomsko;FERENC Jarosław;Komitet wyborczy organizacji i stowarzyszeń;51.032226,19.364047 51.110162,19.521521;51.071194,19.442784;R2;1;49;wyższe;10496;65.60;-1;Tak;5143;51;46409;902;gm;0;D;R2;101201;MILCZANOWSKA Anna Maria;KW-PiS;8240;50.88;4143.55;79
100509;gm. Nieborów;Wójt Gminy Nieborów;PAPUGA Jarosław Stefan;KWW;52.003803,19.977580 52.152632,20.128707;52.0782175,20.0531435;R1;2;40;wyższe;2145;50.94;-1;Tak;10390;104;9390;90;gw;0;D;R2;100509;WERLE Andrzej;KWW Nieborów;2185;56.53;3571.32;52
101203;gm. Gidle;Wójt Gminy Gidle;BUGAJ Lech Damian;KWW;50.878931,19.378758 51.014024,19.584773;50.9464775,19.4817655;R1;2;51;wyższe;1575;52.80;-1;Tak;11598;116;6151;53;gw;0;D;R2;101203;PACHULSKI Janusz;KWW Razem Porozumienie Gminne;1264;55.98;3769.93;93
100501;m. Łowicz;Burmistrz Miasta Łowicza;KALIŃSKI Krzysztof Jan;KWW;52.064871,19.901059 52.137384,19.988349;52.1011275,19.944704;R2;1;61;wyższe;7279;67.80;-1;Tak;2342;23;28704;1226;gm;1;D;R2;100501;KALIŃSKI Krzysztof Jan;KWW Krzysztofa Jana Kalińskiego;4631;53.88;4021.85;48
101210;gm. Masłowice;Wójt Gminy Masłowice;GONTKOWSKI Bogusław Andrzej;PSL;51.046526,19.655933 51.189532,19.880077;51.118029,19.768005;R2;1;61;średnie;1137;50.80;-1;Tak;11597;116;4183;36;gw;1;M;R1;101210;GONTKOWSKI Bogusław Andrzej;KW-PSL;1205;50.19;4404.93;77
100505;gm. Kiernozia;Wójt Gminy Kiernozia;MIAZEK Beata;KWW;52.226505,19.736057 52.311263,19.965135;52.268884,19.850596;R1;1;43;wyższe;1174;80.36;-1;Tak;7623;76;3420;45;gw;1;M;R1;100505;MIAZEK Beata;KWW Gminy Kiernozia;1074;65.37;3970.29;60
101206;gm. Kobiele Wielkie;Wójt Gminy Kobiele Wielkie;WIĘCKOWSKI Henryk;KWW;50.974419,19.492389 51.081940,19.723648;51.0281795,19.6080185;R1;2;66;średnie;1409;71.92;-1;Tak;10172;102;4449;44;gw;1;M;R1;101206;WIĘCKOWSKI Henryk;KWW Na Rzecz Rozwoju i Promocji Gminy Kobiele Wielkie;1615;78.02;3922.00;85
100503;gm. Chąśno;Wójt Gminy Chąśno;RECZULSKI Dariusz;PSL;52.136455,19.835697 52.235321,19.986956;52.185888,19.9113265;R1;1;41;wyższe;1028;89.24%;124;Tak;7183;72;2924;41;gw;1;S;R1;100503;RECZULSKI Dariusz;KW-PSL;994;100.00;3955.82;54
101205;gm. Kamieńsk;Burmistrz Kamieńska;PAWŁOWSKI Bogdan;KWW;51.167264,19.384317 51.286072,19.557056;51.226668,19.4706865;R2;2;53;wyższe;1590;53.93;-1;Tak;9644;96;5977;62;gmw;1;D;R2;101205;PAWŁOWSKI Bogdan;KWW Bogdana Pawłowskiego;1905;71.62;5761.79;62
100502;gm. Bielawy;Wójt Gminy Bielawy;KUBIŃSKI Sylwester Dariusz;PSL;52.019216,19.512742 52.144939,19.769984;52.0820775,19.641363;R1;2;57;wyższe;1284;54.25;-1;Tak;16390;164;5454;33;gw;1;D;R2;100502;KUBIŃSKI Sylwester Dariusz;KW-PSL;1401;50.23;3844.09;35
101208;gm. Lgota Wielka;Wójt Gminy Lgota Wielka;KOTLEWSKI Jerzy Sławomir;KWW;51.094172,19.233461 51.190821,19.412657;51.1424965,19.323059;R1;1;57;wyższe;1025;53.55;-1;Tak;6307;63;4308;68;gw;1;M;R1;101208;KOTLEWSKI Jerzy Sławomir;KW-PSL;1231;64.18;4275.87;72
100504;gm. Domaniewice;Wójt Gminy Domaniewice;KWIATKOWSKI Paweł;PSL;51.974455,19.719545 52.085322,19.889867;52.0298885,19.804706;R1;1;53;wyższe;1298;63.01;-1;Tak;8617;86;4659;54;gw;1;M;R1;100504;KWIATKOWSKI Paweł;KW-PSL;1227;63.25;3948.41;36
106201;m. Piotrków Trybunalski;PrezM Piotrkowa Trybunalskiego;CHOJNIAK Krzysztof Andrzej;KWW;51.372969,19.622889 51.452936,19.810361;51.4129525,19.716625;R2;1;51;wyższe;18203;68.50;-1;Tak;6724;67;74312;1105;mm;1;M;R1;106201;CHOJNIAK Krzysztof Andrzej;KWW Krzysztofa Chojniaka Razem Dla Piotrkowa;14988;56.03;5650.55;45
101207;gm. Kodrąb;Wójt Gminy Kodrąb;KRAWCZYK Bożena Urszula;KWW;51.043364,19.514760 51.157820,19.713239;51.100592,19.6139995;R1;1;53;wyższe;1270;54.58;-1;Tak;10583;106;4575;43;gw;1;M;R1;101207;KRAWCZYK Bożena Urszula;KWW Bożeny Krawczyk;1740;75.13;3954.94;77
106301;m. Skierniewice;PrezM Skierniewice;JAŻDŻYK Krzysztof;Komitet wyborczy organizacji i stowarzyszeń;51.922474,20.104903 51.993672,20.233333;51.958073,20.169118;R1;1;43;wyższe;15981;81.01;-1;Tak;3460;35;48308;1396;mm;1;D;R2;106301;JAŻDŻYK Krzysztof;Komitet Wyborczy Stowarzyszenia Razem dla Skierniewic;9496;57.11;5103.24;52
101209;gm. Ładzice;Wójt Gminy Ładzice;CIUPIŃSKI Krzysztof Piotr;PSL;51.031093,19.204542 51.121784,19.421663;51.0764385,19.3131025;R2;1;40;wyższe;1276;56.36;-1;Tak;8277;83;4809;58;gw;0;D;R2;101209;PICHIT Wioletta Natasza;KWW Samorządność;1115;52.50;4037.18;79
100506;gm. Kocierzew Południowy;Wójt Gminy Kocierzew Południowy;WOJDA Agnieszka Danuta;KWW;52.141751,19.939216 52.268308,20.090903;52.2050295,20.0150595;R1;2;45;wyższe;1102;60.92;-1;Tak;9370;94;4285;46;gw;1;D;R2;100506;WOJDA Agnieszka Danuta;KWW Zgoda w Gminie Kocierzew Południowy;786;55.39;3683.91;60
100508;gm. Łyszkowice;Wójt Gminy Łyszkowice;RUTA Adam;KWW;51.909455,19.831073 52.052061,20.061662;51.980758,19.9463675;R2;2;56;wyższe;1617;59.40;-1;Tak;10730;107;6690;62;gw;1;D;R2;100508;RUTA Adam;KWW Razem Dla Gminy Łyszkowice;1315;52.12;4122.57;40
100101;m. Bełchatów;PrezM Bełchatowa;CZECHOWSKA Mariola Małgorzata;KWW;51.315817,19.306526 51.393335,19.418806;51.354576,19.362666;R2;1;47;wyższe;9855;51.80;-1;Tak;3464;35;57964;1673;gm;1;D;R2;100101;CZECHOWSKA Mariola Małgorzata;KW-PiS;12376;61.92;3966.01;48
100510;gm. Zduny;Wójt Gminy Zduny;SKOWROŃSKI Krzysztof;PiS;52.091233,19.688963 52.241474,19.887900;52.1663535,19.7884315;R1;2;42;wyższe;1407;54.12;-1;Tak;12857;129;5762;45;gw;0;M;R1;100510;KWIATKOWSKI Jarosław;KW-PSL;1598;71.09;3484.47;48
100103;gm. Drużbice;Wójt Gminy Drużbice;GŁOWACKI Tomasz;KWW;51.398647,19.312743 51.534175,19.490730;51.466411,19.4017365;R2;1;34;wyższe;1351;51.98;-1;Tak;11335;113;5154;45;gw;0;M;R1;100103;ZIELIŃSKA Bożena Henryka;KWW Bożeny Zielińskiej;1452;56.28;3874.79;36
100804;gm. Dobroń;Wójt Gminy Dobroń;JARZĘBAK Robert Wojciech;KWW;51.553419,19.147946 51.684073,19.326754;51.618746,19.23735;R1;1;50;wyższe;2931;81.62;-1;Tak;9546;95;7653;80;gw;1;M;R1;100804;JARZĘBAK Robert Wojciech;KWW Roberta Jarzębaka;2201;76.66;3988.73;24
100608;gm. Nowosolna;Wójt Gminy Nowosolna;SZCZEŚNIAK Piotr;KWW;51.754665,19.547179 51.864591,19.680894;51.809628,19.6140365;R1;3;42;wyższe;1854;70.09;-1;Tak;5398;54;4850;90;gw;1;D;R2;100608;SZCZEŚNIAK Piotr;KWW Piotra Szcześniaka-Czas Na Odnowę;1355;64.16;5769.45;11
100102;gm. Bełchatów;Wójt Gminy Bełchatów;KOC Konrad Patrycjusz;KWW;51.236456,19.245679 51.437848,19.498772;51.337152,19.3722255;R2;1;40;wyższe;2485;50.24;-1;Tak;18036;180;11283;63;gw;0;M;R1;100102;ŁADZIAK Kamil Jerzy;KW-PiS;3602;67.57;4409.42;50
100802;m. Pabianice;PrezM Pabianic;MACKIEWICZ Grzegorz Bernard;KWW;51.632281,19.274193 51.699201,19.435475;51.665741,19.354834;R1;1;43;wyższe administracyjne;19990;71.83;-1;Tak;3299;33;65823;1995;gm;1;D;R2;100802;MACKIEWICZ Grzegorz Bernard;KWW Blok Samorządowy Razem;11840;63.11;3457.99;15
100603;gm. Brójce;Wójt Gminy Brójce;AGACIAK Radosław Wiktor;KWW;51.621434,19.554865 51.712399,19.729826;51.6669165,19.6423455;R1;1;43;wyższe;2444;77.39;-1;Tak;6902;70;6517;94;gw;1;D;R2;100603;AGACIAK Radosław Wiktor;KWW Nowe Brójce;1400;50.38;3989.03;18
100104;gm. Kleszczów;Wójt Gminy Kleszczów;CHOJNOWSKI Sławomir;KWW;51.181923,19.179872 51.299409,19.413782;51.240666,19.296827;R2;1;52;wyższe;1948;60.99;-1;Tak;12476;125;5974;48;gw;1;M;R1;100104;CHOJNOWSKI Sławomir;KWW Razem dla Gminy Kleszczów;1661;52.90;47245.08;61
100801;m. Konstantynów Łódzki;Burmistrz Konstantynowa Łódzkiego;JAKUBOWSKI Robert Zbigniew;KWW;51.730287,19.245747 51.784073,19.374621;51.75718,19.310184;R1;1;40;wyższe magisterskie;5213;60.55;-1;Tak;2725;27;18013;661;gm;0;D;R2;100801;BRZYSZCZ Henryk Stefan;Komitet Wyborczy Konstantynowskie Porozumienie Samorządowe;3361;54.65;3920.87;11
100602;gm. Andrespol;Wójt Gminy Andrespol;KUBUS Dariusz;KWW;51.685882,19.597664 51.757084,19.691161;51.721483,19.6444125;R1;1;54;wyższe;5369;89.92%;602;Tak;2334;23;13661;585;gw;1;M;R1;100602;KUBUS Dariusz;KWW Dariusza Kubusa;4370;79.43;3575.64;14
100107;gm. Szczerców;Wójt Gminy Szczerców;KAMIENIAK Krzysztof Paweł;KWW;51.235675,19.042266 51.405216,19.206920;51.3204455,19.124593;R1;2;49;wyższe;2364;53.21;-1;Tak;12895;129;8164;63;gw;1;D;R2;100107;KAMIENIAK Krzysztof Paweł;KWW Gminy Szczerców;2204;51.70;7931.94;57
100803;gm. Dłutów;Wójt Gminy Dłutów;MAŚLANKA-OLCZYK Grażyna Teresa;KWW;51.522271,19.275098 51.613136,19.476161;51.5677035,19.3756295;R2;2;50;wyższe rolnicze;1002;52.19;-1;Tak;10123;101;4567;45;gw;1;M;R1;100803;MAŚLANKA-OLCZYK Grażyna Teresa;KWW Wspólnota;1396;78.38;4507.23;25
100106;gm. Rusiec;Wójt Gminy Rusiec;SZCZYTOWSKI Damian Piotr;KWW;51.268741,18.855770 51.366488,19.077459;51.3176145,18.9666145;R2;1;35;wyższe;1777;52.79;-1;Tak;9991;100;5139;51;gw;0;M;R1;100106;WOŹNIAK Dariusz Paweł;KWW Jedność Wiejska;1687;55.24;4799.65;62
100806;gm. Lutomiersk;Wójt Gminy Lutomiersk;BORKOWSKI Tadeusz Zygmunt;KWW;51.707804,18.998891 51.832794,19.310219;51.770299,19.154555;R1;2;61;wyższe;2521;63.42;-1;Tak;13392;134;8307;62;gw;1;M;R1;100806;BORKOWSKI Tadeusz Zygmunt;KWW T Borkowskiego;1890;58.32;3740.19;22
100108;gm. Zelów;Burmistrz Zelowa;JACHYMEK Tomasz Krzysztof;PiS;51.391640,19.056016 51.555608,19.335779;51.473624,19.1958975;R2;2;33;wyższe;3424;57.15;-1;Tak;16709;167;15022;90;gmw;0;D;R2;100108;ŚWIERCZYŃSKA Urszula;KWW Ziemia Zelowska;3417;54.95;3915.06;39
100805;gm. Ksawerów;Wójt Gminy Ksawerów;TOPOLSKI Adam Jan;KWW;51.652384,19.372075 51.697409,19.437921;51.6748965,19.404998;R1;2;61;wyższe;2707;70.83;-1;Tak;1364;14;7684;563;gw;1;M;R1;100805;TOPOLSKI Adam Jan;KWW Ksawerów Razem;2062;57.81;4925.81;13
100208;gm. Nowe Ostrowy;Wójt Gminy Nowe Ostrowy;KOSTRZEWA Zdzisław;KWW;52.260645,19.124393 52.360305,19.301479;52.310475,19.212936;R1;1;59;wyższe;1247;81.45%;284;Tak;7155;72;3496;49;gw;1;M;R1;100208;KOSTRZEWA Zdzisław;KWW Zdzisława Kostrzewy;1128;72.22;4667.52;61
100202;gm. Bedlno;Wójt Gminy Bedlno;IGNACZEWSKI Józef;KWW;52.115304,19.497907 52.235748,19.717279;52.175526,19.607593;R1;1;44;wyższe rolnicze;1554;60.05;-1;Tak;12602;125;5453;43;gw;0;M;R1;100202;KOŁACH Krzysztof;KW-PSL;1435;61.35;3542.35;45
100905;gm. Rząśnia;Wójt Gminy Rząśnia;STOLARCZYK Tomasz Jerzy;KWW;51.157531,18.990279 51.300006,19.145643;51.2287685,19.067961;R1;1;52;wyższe;2014;69.04;-1;Tak;8614;86;4892;57;gw;0;M;R1;100905;STOLARCZYK Tomasz  Jerzy;KWW Wspólna Przyszłość Gminy;1834;67.48;10898.42;68
100201;m. Kutno;PrezM Kutno;BURZYŃSKI Zbigniew Paweł;KWW;52.190966,19.289406 52.253597,19.452855;52.2222815,19.3711305;R1;1;66;wyższe;12108;65.58;-1;Tak;3359;34;44513;1325;gm;1;M;R1;100201;BURZYŃSKI Zbigniew Paweł;KWW Zbigniewa Burzyńskiego;9278;65.08;4070.73;49
100907;gm. Strzelce Wielkie;Wójt Gminy Strzelce Wielkie;JEDNAK Marek Józef;PiS;51.092257,19.074284 51.172637,19.280657;51.132447,19.1774705;R1;1;58;Wyższe;1188;50.19;-1;Tak;7800;78;4651;60;gw;1;D;R2;100907;JEDNAK Marek Józef;KW-PiS;1166;57.07;4058.10;75
100204;gm. Krośniewice;Burmistrz Krośniewic;ERDMAN Katarzyna;PiS;52.187845,19.070930 52.284734,19.283038;52.2362895,19.176984;R2;1;43;wyższe;1776;50.10;-1;Tak;9471;95;8520;90;gmw;0;M;R1;100204;HERMAN Julianna Barbara;KWW Julianny Barbary Herman;2062;54.62;4292.51;54
100908;gm. Sulmierzyce;Wójt Gminy Sulmierzyce;ORZESZEK Gabriel Krzysztof;KWW;51.154388,19.065338 51.260449,19.312515;51.2074185,19.1889265;R1;1;40;wyższe;2154;87.45;-1;Tak;8274;83;4450;54;gw;1;S;R1;100908;ORZESZEK Gabriel Krzysztof;KWW Gabriela Orzeszka;2142;100.00;6913.86;67
100203;gm. Dąbrowice;Wójt Gminy Dąbrowice;DĄBROWSKA Dorota Maria;KWW;52.269367,19.030149 52.347929,19.145088;52.308648,19.0876185;R1;1;41;wyższe;720;59.55;-1;Tak;4615;46;1905;41;gw;1;D;R2;100203;DĄBROWSKA Dorota Maria;KWW Dorota Dąbrowska;549;50.55;5997.49;64
100902;gm. Kiełczygłów;Wójt Gminy Kiełczygłów;MIELCZAREK Mariusz Grzegorz;KWW;51.179546,18.858209 51.289436,19.045639;51.234491,18.951924;R2;2;45;Wyższe;1356;56.34;-1;Tak;8720;87;4074;47;gw;0;M;R1;100902;JĘDRZEJSKI Kazimierz Józef;KWW Kazimierza Jędrzejskiego Razem dla Kiełczygłowa;1406;57.62;3821.61;71
100904;gm. Pajęczno;Burmistrz Gminy i Miasta Pajęczno;MIELCZAREK Piotr Michał;Komitet wyborczy organizacji i stowarzyszeń;51.051403,18.936202 51.187224,19.104733;51.1193135,19.0204675;R2;1;42;wyższe;3006;52.83;-1;Tak;11363;114;11696;103;gmw;0;M;R1;100904;TOKARSKI Dariusz;KWW Silna Gospodarna Gmina;2748;50.79;3466.99;80
100903;gm. Nowa Brzeźnica;Wójt Gminy Nowa Brzeźnica;JARZĄBEK Jacek Stefan;KWW;50.982418,19.016776 51.120526,19.257010;51.051472,19.136893;R1;1;49;wyższe;1204;57.44;-1;Tak;13521;135;4609;34;gw;1;M;R1;100903;JARZĄBEK Jacek Stefan;KWW Jacka Jarząbka Nowa Brzeźnica;1194;58.62;3827.84;85
100906;gm. Siemkowice;Wójt Gminy Siemkowice;KOTYNIA Zofia Elżbieta;PSL;51.150970,18.787582 51.270345,18.956045;51.2106575,18.8718135;R1;1;56;Średnie;1498;61.54;-1;Tak;9998;100;4814;48;gw;1;M;R1;100906;KOTYNIA Zofia Elżbieta;KW-PSL;1614;61.32;4495.81;76
101807;gm. Wieruszów;Burmistrz Wieruszowa;PRZYBYŁ Rafał Mariusz;KWW;51.255459,18.074521 51.391401,18.252555;51.32343,18.163538;R1;3;45;średnie;5270;78.21;-1;Tak;9720;97;14304;147;gmw;1;D;R2;101807;PRZYBYŁ Rafał Mariusz;KWW Niezależni Wieruszów;3490;63.08;4540.08;104
102007;gm. Parzęczew;Wójt Gminy Parzęczew;NOWAKOWSKI Ryszard Tomasz;KWW;51.877376,19.120454 52.012487,19.311274;51.9449315,19.215864;R1;1;52;wyższe;1858;79.23%;487;Tak;10389;104;5036;48;gw;1;M;R1;102007;NOWAKOWSKI Ryszard Tomasz;KWW Gmina Parzęczew 2018;1453;61.75;4547.43;25
102001;m. Głowno;Burmistrz Głowna;JANECZEK Grzegorz Witold;KWW;51.936634,19.666679 51.987382,19.761669;51.962008,19.714174;R1;2;54;wyższe;3336;53.33;-1;Tak;1984;20;14422;727;gm;1;D;R2;102001;JANECZEK Grzegorz Witold;KW-PO;2718;69.71;3386.12;26
102003;m. Zgierz;PrezM Zgierza;STANISZEWSKI Przemysław Konrad;Komitet wyborczy organizacji i stowarzyszeń;51.821485,19.331378 51.889710,19.456697;51.8555975,19.3940375;R2;2;36;wyższe;13871;69.75;-1;Tak;4233;42;56690;1339;gm;1;D;R2;102003;STANISZEWSKI Przemysław Konrad;KW-PiS;10498;61.67;3757.45;9
102002;m. Ozorków;Burmistrz Miasta Ozorkowa;SOCHA Jacek;PiS;51.932341,19.252448 51.985049,19.341010;51.958695,19.296729;R1;2;48;wyższe;5403;73.74;-1;Tak;1546;15;19685;1273;gm;1;M;R1;102002;SOCHA Jacek;KW-PiS;4390;62.75;3942.67;23
102005;gm. Głowno;Wójt Gminy Głowno;JÓŹWIAK Marek;PiS;51.942259,19.524070 52.036976,19.840028;51.9896175,19.682049;R1;1;62;wyższe;1258;57.79;-1;Tak;10477;105;4847;46;gw;0;M;R1;102005;JóŹWIAK Marek;KWW Wójta Gminy Marka Jóźwiaka;1271;66.51;3928.04;27
121809;gm. Wadowice;Burmistrz Wadowic;KALIŃSKI Bartosz Jan;PiS;49.795724,19.411902 49.924622,19.648210;49.860173,19.530056;R2;1;34;wyższe;8837;54.97;-1;Tak;11283;113;37933;336;gmw;0;D;R2;121809;KLINOWSKI Mateusz Michał;KWW Wolne Wadowice;8141;56.93;4360.19;37
121803;gm. Kalwaria Zebrzydowska;Burmistrz Miasta Kalwarii Zebrzydowskiej;ORMANTY Augustyn Leszek;PSL;49.843353,19.577747 49.934304,19.773192;49.8888285,19.6754695;R2;1;63;wyższe;3754;52.36;-1;Tak;7526;75;20052;266;gmw;1;D;R2;121803;ORMANTY Augustyn Leszek;KW-PSL;3439;53.76;3944.86;27
121801;gm. Andrychów;Burmistrz Andrychowa;ŻAK Tomasz;KWW;49.761679,19.285850 49.884058,19.446122;49.8228685,19.365986;R2;2;57;Wyższe;10276;63.01;-1;Tak;10039;100;43834;437;gmw;1;D;R2;121801;ŻAK Tomasz;KWW Nasza Gmina Andrychów;7911;57.63;3841.15;49
121802;gm. Brzeźnica;Wójt Gminy Brzeźnica;ANTOS Bogusław Stanisław;KWW;49.912820,19.535711 50.000425,19.733062;49.9566225,19.6343865;R1;1;46;Wyższe;3213;69.85;-1;Tak;6643;66;10285;155;gw;1;M;R1;121802;ANTOS Bogusław Stanisław;KWW Razem w Przyszłość;2789;68.68;4082.74;25
121807;gm. Stryszów;Wójt Gminy Stryszów;DUMAN Szymon;PiS;49.792719,19.551100 49.869465,19.707210;49.831092,19.629155;R2;1;35;wyższe;1789;55.98;-1;Tak;4590;46;6863;150;gw;0;D;R2;121807;WACŁAWSKI Jan Stanisław;KWW Mała Ojczyzna Gmina Stryszów;1565;50.47;3945.36;33
121805;gm. Mucharz;Wójt Gminy Mucharz;GALARA Renata Stefania;KWW;49.786186,19.461177 49.848640,19.594086;49.817413,19.5276315;R2;1;55;wyższe;999;51.02;-1;Tak;3731;37;4086;110;gw;0;M;R1;121805;WĄDOLNY Wacław;KWW Wspólna Gmina Mucharz;1137;61.83;4039.52;40
121804;gm. Lanckorona;Wójt Gminy Lanckorona;ŁOPATA Tadeusz Marian;PiS;49.803599,19.683770 49.902247,19.811586;49.852923,19.747678;R1;3;64;średnie;1456;56.54;-1;Tak;4043;40;6208;154;gw;1;D;R2;121804;ŁOPATA Tadeusz Marian;KW-PiS;1332;57.19;4290.76;26
121806;gm. Spytkowice;Wójt Gminy Spytkowice;KRYSTIAN Mariusz Tomasz;KWW;49.944265,19.464435 50.027096,19.585516;49.9856805,19.5249755;R1;2;42;Wyższe humanistyczne;3597;76.92;-1;Tak;5138;52;10304;201;gw;1;S;R1;121806;KRYSTIAN Mariusz Tomasz;KWW Gmina z Sercem. Dla Mieszkańców;3065;100.00;3574.66;31
121808;gm. Tomice;Wójt Gminy Tomice;GRABOWSKI Witold Włodzimierz;KWW;49.892169,19.445185 49.958323,19.588857;49.925246,19.517021;R1;1;42;wyższe;2542;78.63;-1;Tak;4153;42;8085;195;gw;0;M;R1;121808;KRĘCIOCH Adam Jerzy;KWW Wspólnota Sołecka;1501;51.25;3828.15;34
121810;gm. Wieprz;Wójt Gminy Wieprz;CHRAPEK Małgorzata Maria;KWW;49.861355,19.298353 49.964335,19.452302;49.912845,19.3753275;R1;1;60;wyższe;2647;51.87;-1;Tak;7442;75;12288;165;gw;1;M;R1;121810;CHRAPEK Małgorzata Maria;KWW Nadzieja;2653;58.63;4288.97;44
