tryb;runda;teryt;kto;komitet;glosy;prc;glosyN;wynik
M;R1;201105;MIKŁASZ Paweł;Komitet Wyborczy Wyborców Jedność Gminy;725;33.03;;DR
M;R1;201105;OBIAŁA Wojciech;Komitet Wyborczy Wyborców Czas na zmiany w Kuźnicy;546;24.87;;Nie
M;R1;201106;HUMIENNY ANDRZEJ;Komitet Wyborczy Polskie Stronnictwo Ludowe;1130;66.08;;Tak
M;R1;201106;HAŃCZARUK WIESŁAW;Komitet Wyborczy Wyborców Wiesław Hańczaruk;446;26.08;;DR
M;R1;201106;KALENIK KRZYSZTOF;Komitet Wyborczy Wyborców Rozwój Gminy 2014;134;7.84;;Nie
M;R1;201107;HRYNKIEWICZ Jan;Komitet Wyborczy Wyborców "Przyszłość";1088;61.09;;Tak
M;R1;201107;LEWICKI Michał;Komitet Wyborczy Wyborców Nasza Gmina - Szacunek i Odpowiedzialność;693;38.91;;DR
M;R1;201108;BUJWICKI Piotr Karol;Komitet Wyborczy Wyborców Dialog i Współpraca 2014;3725;35.59;;DR
M;R1;201108;KULIKOWSKA Ewa;Komitet Wyborczy Polskie Stronnictwo Ludowe;2603;24.87;;DR
M;R1;201108;RYBIŃSKI Robert;Komitet Wyborczy Wyborców Porozumienie Samorządowe 2014;1719;16.43;;Nie
M;R1;201108;SAWICKI Sławomir;Komitet Wyborczy Wyborców Zwykli Mieszkańcy;1576;15.06;;Nie
M;R1;201108;MISZKIŃ Daniel;Komitet Wyborczy Nowa Prawica — Janusza Korwin-Mikke;842;8.05;;Nie
M;R1;201109;MATYSKIEL Michał Grzegorz;Komitet Wyborczy Polskie Stronnictwo Ludowe;998;36.70;;DR
M;R1;201109;MARCISZEL Kazimierz;Komitet Wyborczy Wyborców Kazimierza Marciszela;851;31.30;;DR
M;R1;201109;KRUTUL Piotr;Komitet Wyborczy Wyborców Dobro Wspólne 2014;614;22.58;;Nie
M;R1;201109;PYCZ Irena;Komitet Wyborczy Wyborców Suchowola 2014;256;9.42;;Nie
M;R1;201110;TOKAREWICZ Tadeusz;Komitet Wyborczy Polskie Stronnictwo Ludowe;746;50.47;;Tak
M;R1;201110;CZABAN Mariusz;Komitet Wyborczy Wyborców Porozumienie Samorządowe 2014;732;49.53;;DR
M;R1;201201;NARUSZEWICZ Tomasz;Komitet Wyborczy Wyborców "Nasza Wspólna Ziemia";763;52.12;;Tak
M;R1;201201;RYNKOWSKI Roman Waldemar;Komitet Wyborczy Wyborców Samorządni Razem;348;23.77;;DR
M;R1;201201;DUDZIŃSKA Małgorzata;Komitet Wyborczy Wyborców Bakałarzewo Nasza Gmina;195;13.32;;Nie
M;R1;201201;WIERZBIŃSKI Józef;Komitet Wyborczy Wyborców Szansa dla Suwalszczyzny;82;5.60;;Nie
M;R1;201201;DERKOWSKA Dorota;Komitet Wyborczy Wyborców Niezależni;76;5.19;;Nie
S;R1;201202;KONCEWICZ Sylwester;Komitet Wyborczy Wyborców Przyszłość Gminy Filipów;1249;100.00;;Tak
M;R1;201203;URYNOWICZ Kazimierz;Komitet Wyborczy Wyborców "Wspólna Sprawa";673;42.35;;DR
M;R1;201203;BIELSKI Sławomir Adam;Komitet Wyborczy Wyborców Nasza Gmina Jeleniewo;464;29.20;;DR
M;R1;201203;JABŁOŃSKA Bożena;Komitet Wyborczy Wyborców Szansa dla Suwalszczyzny;327;20.58;;Nie
M;R1;201203;SERAFIN Zbigniew Jan;Koalicyjny Komitet Wyborczy SLD Lewica Razem;125;7.87;;Nie
M;R1;201204;RENKIEWICZ Sławomir;Komitet Wyborczy Wyborców "Dla Dobra Mieszkańców Gminy";797;52.57;;Tak
M;R1;201204;BUDNIK Krzysztof;Komitet Wyborczy Wyborców Gmina Przerośl Czas Na Zmiany;719;47.43;;DR
M;R1;201205;SZYMULEWSKI Andrzej;Komitet Wyborczy Prawo i Sprawiedliwość;1176;50.04;;Tak
M;R1;201205;FIEDOROWICZ Roman;Komitet Wyborczy Wyborców "Raczki 500 Plus";1174;49.96;;DR
S;R1;201206;RACIS Jan;Komitet Wyborczy Wyborców Na Rzecz Rozwoju Gminy;701;100.00;;Tak
M;R1;201207;CHOŁKO Tadeusz;Komitet Wyborczy Wyborców Samorządność Razem;1771;57.69;;Tak
M;R1;201207;SUCHOCKI Maciej;Komitet Wyborczy Wyborców Gmina Suwałki-Czas na Zmiany;1299;42.31;;DR
M;R1;201208;GRYGIEŃĆ Mariusz;Komitet Wyborczy Wyborców Razem dla Gminy;1300;74.46;;Tak
M;R1;201208;BALUTA Karol;Komitet Wyborczy Wyborców Nasza Gmina - Nasz Wspólny Cel;446;25.54;;DR
M;R1;201209;PIETRUKIEWICZ Stanisław Jacek;Komitet Wyborczy Wyborców Razem dla Wiżajn;901;67.29;;Tak
M;R1;201209;LASKOWSKI Józef;Komitet Wyborczy Wyborców Józefa Laskowskiego;438;32.71;;DR
M;R1;201301;SIEKIERKO Jarosław;Komitet Wyborczy Wyborców Jedność i Samorządność;2413;58.74;;Tak
M;R1;201301;GRABOWSKI Stanisław Sławomir;Komitet Wyborczy Stowarzyszenia Wspierania Demokracji Lokalnej ADSUM;1202;29.26;;DR
M;R1;201301;BIAŁY Leszek;Komitet Wyborczy Wyborców Leszka Białego;397;9.66;;Nie
M;R1;201301;WITAS Zbigniew;Komitet Wyborczy Wyborców Twoje Wysokie Mazowieckie;96;2.34;;Nie
M;R1;201302;RECZKO Mirosław;Komitet Wyborczy Wyborców Praworządna Przyszłość;1989;58.74;;Tak
M;R1;201302;KAMIŃSKI Marcin;Komitet Wyborczy Wyborców Przyszłość Gminy Ciechanowiec;1397;41.26;;DR
M;R1;201303;BOGUCKA Anna;Komitet Wyborczy Wyborców Dla Wspólnego Dobra Gminy Czyżew;2146;88.13;;Tak
M;R1;201303;GROSICKI Aleksander Kazimierz;Komitet Wyborczy Wyborców Zdrowy Rozsądek.Czyżew;289;11.87;;DR
M;R1;201304;USZYŃSKI Piotr;Komitet Wyborczy Wyborców "Razem dla Gminy Klukowo";1426;64.55;;Tak
M;R1;201304;KORDULSKI Piotr Wojciech;Komitet Wyborczy Wyborców Zmiany są Potrzebne;411;18.61;;DR
M;R1;201304;SYLWESTRZUK Grzegorz Jerzy;Komitet Wyborczy Wyborców Dla Dobra Wspólnego Gminy Klukowo;372;16.84;;Nie
M;R1;201305;MOJKOWSKI Wojciech;Komitet Wyborczy Prawo i Sprawiedliwość;798;53.67;;Tak
M;R1;201305;POGORZELSKI Ryszard;Komitet Wyborczy Wyborców Popierajmy Rozwój;500;33.62;;DR
M;R1;201305;BAGIŃSKI Zbigniew;Komitet Wyborczy Wyborców Nasza Gmina Kobylin Borzymy;189;12.71;;Nie
M;R1;201306;GROCHOWSKI Józef;Komitet Wyborczy Wyborców Jedność w Gminie;1006;63.31;;Tak
M;R1;201306;WNOROWSKI Dariusz;Komitet Wyborczy Wyborców Nasza Przyszłość i Rozwój;293;18.44;;DR
M;R1;201306;KULESZA Michał;Komitet Wyborczy Samoobrona;290;18.25;;Nie
M;R1;201307;KACZYŃSKI Marek;Komitet Wyborczy Wyborców Nasza Gmina Nowe Piekuty;1091;55.86;;Tak
M;R1;201307;KRUSZEWSKI Tadeusz;Komitet Wyborczy Wyborców Gmina Nowych Szans;862;44.14;;DR
M;R1;201308;ZAJKOWSKI Józef;Komitet Wyborczy Wyborców Rozwój Sokół;1643;69.77;;Tak
M;R1;201308;PERKOWSKI Jan;Komitet Wyborczy Samoobrona;712;30.23;;DR
M;R1;201309;WYSZYŃSKI Robert Lucjan;Komitet Wyborczy Wyborców Zaufaj Zmianom;2163;65.39;;Tak
M;R1;201309;GRODZKI Ryszard;Komitet Wyborczy Wyborców Porozumienie i Rozwój;1145;34.61;;DR
S;R1;201310;KRAJEWSKI Krzysztof;Komitet Wyborczy Wyborców Krzysztofa Krajewskiego;2048;100.00;;Tak
M;R1;201401;DĄBROWSKI Kazimierz Jan;Komitet Wyborczy Wyborców Razem;4057;50.87;;Tak
M;R1;201401;BARAN Sławomir;Komitet Wyborczy Polskie Stronnictwo Ludowe;2366;29.66;;DR
M;R1;201401;RYKACZEWSKI Stanisław;Komitet Wyborczy Prawo i Sprawiedliwość;976;12.24;;Nie
M;R1;201401;GLIŃSKI Mieczysław Leszek;Komitet Wyborczy Platforma Obywatelska RP;577;7.23;;Nie
M;R1;201402;WASIULEWSKI Krzysztof Wiesław;Komitet Wyborczy Polskie Stronnictwo Ludowe;493;36.44;;DR
M;R1;201402;JAWOROWSKI Sylwester;Komitet Wyborczy Polska Razem Jarosława Gowina;264;19.51;;DR
M;R1;201402;PIECHOCIŃSKI Mariusz;Komitet Wyborczy Wyborców Mariusza Piechocińskiego;233;17.22;;Nie
M;R1;201402;DŁUGOBORSKI Tadeusz Jan;Komitet Wyborczy Wyborców Bądźmy Solidarni;227;16.78;;Nie
M;R1;201402;GAŁCZYK Kazimierz Edward;Komitet Wyborczy Wyborców Kazimierza Edwarda Gałczyka;86;6.36;;Nie
M;R1;201402;DŁUGOBORSKI Andrzej;Komitet Wyborczy Wyborców Andrzeja Długoborskiego Gmina dla Ludzi;50;3.70;;Nie
M;R1;201403;ZELEROWICZ Tadeusz;Komitet Wyborczy Wyborców Samorząd 2014-2018;776;31.57;;DR
M;R1;201403;GRODZKA Teresa;Komitet Wyborczy Prawo i Sprawiedliwość;594;24.17;;DR
M;R1;201403;MODZELEWSKI Dariusz Sławomir;Komitet Wyborczy Wyborców Nasza Gmina Rutki;559;22.74;;Nie
M;R1;201403;CZAJKOWSKI Krzysztof;Komitet Wyborczy Polskie Stronnictwo Ludowe;529;21.52;;Nie
M;R1;201404;CUKIERMAN Jarosław;Komitet Wyborczy Wyborców Aktywni Razem;874;36.57;;DR
M;R1;201404;LUTOSTAŃSKI Zdzisław;Komitet Wyborczy Wyborców Praworządność;658;27.53;;DR
M;R1;201404;MIECZKOWSKI Paweł Tomasz;Komitet Wyborczy Wyborców Wspólna Przyszłość;572;23.93;;Nie
M;R1;201404;KRAJEWSKI Marek Tomasz;Komitet Wyborczy Prawo i Sprawiedliwość;191;7.99;;Nie
M;R1;201404;SUTKOWSKI Radosław;Komitet Wyborczy Wyborców Akcja Wyborcza Dla Gminy Szumowo;95;3.97;;Nie
M;R1;201405;KOS Jarosław;Komitet Wyborczy Wyborców Jarosława Kosa Przyjazna Gmina;1720;51.08;;Tak
M;R1;201405;DMOCHOWSKI Kazimierz;Komitet Wyborczy Polskie Stronnictwo Ludowe;1647;48.92;;DR
M;R1;206101;TRUSKOLASKI Tadeusz;Komitet Wyborczy Wyborców Tadeusza Truskolaskiego;45958;49.37;;DR
M;R1;206101;DOBRZYŃSKI Jan;Komitet Wyborczy Prawo i Sprawiedliwość;31802;34.16;;DR
M;R1;206101;ŻYLIŃSKI Robert Paweł;Komitet Wyborczy Wyborców Robert Żyliński Rozbudźmy Białystok;5529;5.94;;Nie
M;R1;206101;BIL-JARUZELSKI Krzysztof Janusz;Koalicyjny Komitet Wyborczy SLD Lewica Razem;4801;5.16;;Nie
M;R1;206101;SZEWELUK Tomasz;Komitet Wyborczy Nowa Prawica — Janusza Korwin-Mikke;3319;3.57;;Nie
M;R1;206101;ŻEBROWSKI Kamil;Komitet Wyborczy Wyborców Podlaski Ruch Samorządowy - Praca i Rozwój;1033;1.11;;Nie
M;R1;206101;MILEWSKI Artur Kazimierz;Komitet Wyborczy Wyborców Współpraca i Zaufanie;646;0.69;;Nie
M;R1;206201;CHRZANOWSKI Mariusz;Komitet Wyborczy Prawo i Sprawiedliwość;7529;38.72;;DR
M;R1;206201;CZERNIAWSKI Mieczysław Leon;Koalicyjny Komitet Wyborczy SLD Lewica Razem;3143;16.16;;DR
M;R1;206201;PIORUNEK Jacek;Komitet Wyborczy Platforma Obywatelska RP;3125;16.07;;Nie
M;R1;206201;DZIERZGOWSKI Wojciech;Komitet Wyborczy Polskie Stronnictwo Ludowe;2000;10.29;;Nie
M;R1;206201;ZGRZYWA Sławomir;Komitet Wyborczy Wyborców Łomża Nasze Miasto;1404;7.22;;Nie
M;R1;206201;GRABANI Piotr;Komitet Wyborczy Wyborców Łomżyńska Wspólnota Samorządowa;1281;6.59;;Nie
M;R1;206201;NIECIECKI Marian;Komitet Wyborczy Nowa Prawica — Janusza Korwin-Mikke;963;4.95;;Nie
M;R1;206301;RENKIEWICZ Czesław;Komitet Wyborczy Wyborców "Z Renkiewiczem dla Suwałk";10156;46.80;;DR
M;R1;206301;GORLO Grzegorz;Komitet Wyborczy Prawo i Sprawiedliwość;5874;27.07;;DR
M;R1;206301;KAMIŃSKA Bożena;Komitet Wyborczy Platforma Obywatelska RP;3878;17.87;;Nie
M;R1;206301;BILBIN Tomasz Jan;Komitet Wyborczy Wyborców Blok Samorządowy;943;4.35;;Nie
M;R1;206301;KORNELUK Karol;Koalicyjny Komitet Wyborczy SLD Lewica Razem;851;3.92;;Nie
M;R1;220101;CYBA Witold Adam;Komitet Wyborczy Wyborców SAMORZĄDNOŚĆ BORZYTUCHOM;1067;72.88;;Tak
M;R1;220101;SAŁAK Irena;Niezależny Komitet Wyborczy Wyborców 2014 Borzytuchom;397;27.12;;DR
M;R1;220102;SYLKA Ryszard Jan;Komitet Wyborczy Platforma Obywatelska RP;5294;63.64;;Tak
M;R1;220102;BARZOWSKI Jerzy;Komitet Wyborczy Prawo i Sprawiedliwość;1540;18.51;;DR
M;R1;220102;TRZEBIATOWSKA Wanda;Komitet Wyborczy Wyborców Nowe Porozumienie Obywatelskie Prawy Samorząd;1485;17.85;;Nie
M;R1;220103;KLASA Jan;Komitet Wyborczy Wyborców "GMINA Z KLASĄ";1455;56.18;;Tak
M;R1;220103;GRALAK Wojciech Roman;Komitet Wyborczy Wyborców TWÓJ WYBÓR TWOJA PRZYSZŁOŚĆ;1135;43.82;;DR
M;R1;220104;KOZŁOWSKI Wacław Aleksander;Komitet Wyborczy Wyborców KOŁCZYGŁOWY 2014;1072;55.40;;Tak
M;R1;220104;KUKLIŃSKI Arkadiusz Wojciech;Komitet Wyborczy Wyborców Dialog-Współpraca-Rozwój;808;41.76;;DR
M;R1;220104;HOROSZKO Alina;Komitet Wyborczy Wyborców FORUM SAMORZĄDOWE "WSPÓLNE DOBRO";55;2.84;;Nie
M;R1;220105;LEMAŃCZYK Andrzej;Komitet Wyborczy Wyborców Jedność i Rozwój;1452;55.93;;Tak
M;R1;220105;NARLOCH Rafał;Komitet Wyborczy Wyborców GOCHY NASZĄ TROSKĄ;1144;44.07;;DR
M;R1;220106;RAMION Roman;Komitet Wyborczy Wyborców ROMANA RAMIONA;2546;38.11;;DR
M;R1;220106;KARAŚKIEWICZ Danuta Ewa;Komitet Wyborczy Platforma Obywatelska RP;2050;30.69;;DR
M;R1;220106;BOROWSKI Tomasz;Komitet Wyborczy Wyborców Miasteckie Porozumienie Obywatelskie SAMORZĄDNOŚĆ;1355;20.28;;Nie
M;R1;220106;KRÓL Tadeusz;Komitet Wyborczy Prawo i Sprawiedliwość;729;10.91;;Nie
M;R1;220107;DOŁĘBSKI Andrzej;Komitet Wyborczy Wyborców NASZA GMINA PARCHOWO;1042;54.50;;Tak
M;R1;220107;CZAPIEWSKI Jacek;Komitet Wyborczy Wyborców JACKA CZAPIEWSKIEGO;697;36.45;;DR
M;R1;220107;SILDATK Marek Jan;Komitet Wyborczy Prawo i Sprawiedliwość;173;9.05;;Nie
S;R1;220108;RYŚ Bogdan Marek;Komitet Wyborczy Wyborców NASZA GMINA WSPÓLNE DOBRO;797;100.00;;Tak
M;R1;220109;CZECHOWSKI Tomasz Mariusz;Komitet Wyborczy Wyborców NASZA GMINA TRZEBIELINO;812;52.32;;Tak
M;R1;220109;ANDRYS-ŻóŁTOWŁOS Bernadeta Katarzyna;Komitet Wyborczy Wyborców RAZEM DLA GMINY;502;32.35;;DR
M;R1;220109;DUDA Wojciech Stanisław;Komitet Wyborczy Wyborców - FORUM SAMORZĄDOWE 2014 r.;238;15.34;;Nie
M;R1;220110;LEWI KIEDROWSKI Jerzy Leon;Komitet Wyborczy Wyborców Współpraca Samorządowa;1200;65.50;;Tak
M;R1;220110;WNUK LIPIŃSKI Franciszek Sylwester;Komitet Wyborczy Wyborców NASZ WSPÓLNY DOM;632;34.50;;DR
M;R1;220201;FINSTER Arseniusz Jerzy;Komitet Wyborczy Wyborców ARSENIUSZA FINSTERA;8705;69.63;;Tak
M;R1;220201;BRUNKA Mariusz Jan;Komitet Wyborczy Stowarzyszenia Projekt Chojnicka Samorządność;3796;30.37;;DR
M;R1;220202;OSSOWSKI Witold;Komitet Wyborczy Wyborców BRUSKIE FORUM SAMORZĄDOWE;3932;62.31;;Tak
M;R1;220202;SKóRCZEWSKI Robert;Komitet Wyborczy Wyborców "SAMORZĄDNI";2378;37.69;;DR
S;R1;220203;SZCZEPAŃSKI Zbigniew Tadeusz;Komitet Wyborczy Wyborców ROZWÓJ GMINY CHOJNICE;4494;100.00;;Tak
M;R1;220204;FIEREK Jolanta Maria;Komitet Wyborczy Wyborców JOLANTY FIEREK;4971;55.36;;Tak
M;R1;220204;JANKOWSKI Marek Szczepan;Komitet Wyborczy CZERSKIE FORUM SAMORZĄDOWE;1819;20.26;;DR
M;R1;220204;BIESEK-TALEWSKI Przemysław Bogusław;Komitet Wyborczy Wyborców "Razem dla Naszej Gminy";1766;19.67;;Nie
M;R1;220204;GRZONKA Marek;Komitet Wyborczy Wyborców POROZUMIENIE CZERSKIE;424;4.72;;Nie
M;R1;220205;WARSIŃSKI Jacek Stanisław;Komitet Wyborczy Wyborców Nasza Ziemia;801;74.79;;Tak
M;R1;220205;KOZŁOWSKA Maria Jolenta;Komitet Wyborczy Wyborców "ZGODA I WSPÓŁPRACA W GMINIE";270;25.21;;DR
M;R1;220301;SZYBAJŁO Ryszard;Komitet Wyborczy Człuchowskie Forum Samorządowe;3201;65.11;;Tak
M;R1;220301;STADNIK Krzysztof;Komitet Wyborczy Wyborców RATUJMY NASZE MIASTO CZŁUCHÓW;1715;34.89;;DR
M;R1;220302;ZABROCKI Piotr;Komitet Wyborczy Wyborców Razem dla Gminy Czarne;2355;61.86;;Tak
M;R1;220302;WITKOWSKI Ireneusz Leszek;Komitet Wyborczy Wyborców IRENEUSZA WITKOWSKIEGO;1080;28.37;;DR
M;R1;220302;STRZELCZAK Zbigniew Franciszek;Koalicyjny Komitet Wyborczy SLD Lewica Razem;372;9.77;;Nie
S;R1;220303;MARCINIAK Adam Jan;Komitet Wyborczy Wyborców Społeczne Przymierze Samorządowe;2089;100.00;;Tak
M;R1;220304;BURAK Mirosław;Komitet Wyborczy Wyborców "W JEDNOŚCI SIŁA";1687;45.03;;DR
M;R1;220304;KALLAS Wojciech Tomasz;Komitet Wyborczy Wyborców WOJCIECHA KALLAS;1676;44.74;;DR
M;R1;220304;MIKOŁAJCZYK Elżbieta Ewa;Komitet Wyborczy Wyborców "REALIZM I UCZCIWOŚĆ";383;10.22;;Nie
S;R1;220305;DMYTRYSZYN Eugeniusz;Komitet Wyborczy Wyborców GMINA KOCZAŁA NASZĄ MAŁĄ OJCZYZNĄ;923;100.00;;Tak
M;R1;220306;ŻMUDA TRZEBIATOWSKI Andrzej Tomasz;Komitet Wyborczy Wyborców - POROZUMIENIE DLA GMINY PRZECHLEWO;1512;56.50;;Tak
M;R1;220306;GAJO Jan;Komitet Wyborczy Wyborców GMINA PRZECHLEWO 2014;1164;43.50;;DR
M;R1;220307;GINDA Tomasz;Komitet Wyborczy Wyborców MYŚLIMY PODOBNIE;862;55.54;;Tak
M;R1;220307;DUDA Piotr;Komitet Wyborczy Wyborców "Działajmy Razem";690;44.46;;DR
M;R1;220401;WRÓBEL Janusz;Komitet Wyborczy Platforma Obywatelska RP;7070;79.25;;Tak
M;R1;220401;SZWEDA Ireneusz Paweł;Komitet Wyborczy Prawo i Sprawiedliwość;1227;13.75;;DR
M;R1;220401;BIELAWA Rafał Piotr;Komitet Wyborczy Wyborców Samorządność Miasta Pruszcz Gdański;624;6.99;;Nie
S;R1;220402;GOLIŃSKI Janusz Stefan;Komitet Wyborczy Wyborców "Lepsze Jutro";1559;100.00;;Tak
M;R1;220403;GROMBALA Leszek Józef;Komitet Wyborczy Wyborców Leszka Grombali;2997;50.21;;Tak
M;R1;220403;WITTSTOCK Jarosław Adam;Komitet Wyborczy Wyborców Jarosława Wittstocka;2972;49.79;;DR
M;R1;220404;KOŁODZIEJCZAK Magdalena Małgorzata;Komitet Wyborczy Wyborców Wspólna Gmina Pruszcz Gdański;5033;68.77;;Tak
M;R1;220404;HELMIN-BIERCEWICZ Karolina Maria;Komitet Wyborczy Wyborców Wspólnie dla Gminy;2286;31.23;;DR
M;R1;220405;ZIMAKOWSKI Marek;Komitet Wyborczy Wyborców Wspólna Gmina Przywidz;1598;72.24;;Tak
M;R1;220405;ETMAŃSKI Wojciech Mieczysław;Komitet Wyborczy Wyborców Aktywna Gmina Przywidz;614;27.76;;DR
M;R1;220406;BREJWO Hanna Katarzyna;Komitet Wyborczy Wyborców Hanny Brejwo;1810;57.98;;Tak
M;R1;220406;CZARNECKI Lech;Komitet Wyborczy Wyborców Samorządność Pszczółek;657;21.04;;DR
M;R1;220406;SĄDEJ Krzysztof Stanisław;Komitet Wyborczy "Impuls dla Pszczółek";655;20.98;;Nie
M;R1;220407;KAMIŃSKA Barbara Łucja;Komitet Wyborczy Wyborców Samorządna Gmina;715;48.18;;DR
M;R1;220407;DOMBROWSKA Jolanta Katarzyna;Komitet Wyborczy Wyborców Gmina Przyjazna Mieszkańcom;602;40.57;;DR
M;R1;220407;LECH Ireneusz;Komitet Wyborczy Prawo i Sprawiedliwość;89;6.00;;Nie
M;R1;220407;WYBRANOWSKI Krzysztof Józef;Komitet Wyborczy Wyborców "Nadzieja i Przyszłość";78;5.26;;Nie
M;R1;220408;KONKOL Błażej;Komitet Wyborczy Wyborców Samorządność Gminy Trąbki Wielkie;2015;52.43;;Tak
M;R1;220408;PARADECKI Mariusz Dominik;Komitet Wyborczy Wyborców Samorząd dla Mieszkańców;1239;32.24;;DR
M;R1;220408;KEMPA Tomasz Olgierd;Komitet Wyborczy Wyborców Twój Wybór-Twoja Przyszłość;589;15.33;;Nie
M;R1;220501;GRZEGORZEWSKI Jerzy Wojciech;Komitet Wyborczy Wyborców Przyjazna Gmina;1629;45.55;;DR
M;R1;220501;ROSZKOWSKI Zbigniew;Komitet Wyborczy Wyborców "Samorządne Kaszuby-Naszé Sprawë";1573;43.99;;DR
M;R1;220501;BUCZYŃSKI Wojciech Krzysztof;Komitet Wyborczy Wyborców "Nasza Gmina-Nasza Przyszłość";374;10.46;;Nie
M;R1;220502;LEHMAN Mirosława Teresa;Komitet Wyborczy Wyborców Mirka Lehman;3818;29.47;;DR
M;R1;220502;GOŁUŃSKI Mieczysław Grzegorz;Komitet Wyborczy Wyborców "Zrzeszeni dla Kaszub";3092;23.87;;DR
M;R1;220502;BELGRAU Tomasz;Komitet Wyborczy Wyborców Ruch Odnowy Gminy Kartuzy Tomasz Belgrau;1789;13.81;;Nie
M;R1;220502;PRYCZKOWSKI Andrzej;Komitet Wyborczy Wyborców Porozumienie Samorządowe dla Kaszub;1514;11.69;;Nie
M;R1;220502;LIPKOWSKI Zdzisław;Komitet Wyborczy Platforma Obywatelska RP;1126;8.69;;Nie
M;R1;220502;LEYK Andrzej;Komitet Wyborczy Prawo i Sprawiedliwość;584;4.51;;Nie
M;R1;220502;KONKOL Zygmunt;Komitet Wyborczy Wyborców "Checz";473;3.65;;Nie
M;R1;220502;ANTCZAK Henryka Mirosława;Komitet Wyborczy Wyborców Blisko Ludzi;448;3.46;;Nie
M;R1;220502;PONTUS Wojciech Julian;Komitet Wyborczy Wyborców Wojciech Julian Pontus;111;0.86;;Nie
S;R1;220503;WYRZYKOWSKI Andrzej;Komitet Wyborczy Wyborców "Samorządne Kaszuby-Naszé Sprawë";2538;100.00;;Tak
S;R1;220504;KOBIELA Tadeusz Roman;Komitet Wyborczy Wyborców Porozumienie Samorządowe Sierakowice;5563;100.00;;Tak
M;R1;220505;KRYSZEWSKI Marian;Komitet Wyborczy Wyborców Nasz Dom Gmina Somonino;2134;51.22;;Tak
M;R1;220505;FORMELA Iwona;Komitet Wyborczy Wyborców Porozumienie Samorządowe dla Kaszub;1102;26.45;;DR
M;R1;220505;GLIWA Jerzy Zygmunt;Komitet Wyborczy Wyborców "Samorządne Kaszuby-Naszé Sprawë";930;22.32;;Nie
S;R1;220506;BRZOSKOWSKI Tomasz Mariusz;Komitet Wyborczy Wyborców "Samorządne Kaszuby-Naszé Sprawë";2848;100.00;;Tak
M;R1;220507;GRUCZA Bernard Stanisław;Komitet Wyborczy Wyborców Przyszłość Gminy od Nas Zależy;1609;60.95;;Tak
M;R1;220507;KORDA Ireneusz Józef;Komitet Wyborczy Wyborców Wspólna Gmina Sulęczyno;661;25.04;;DR
M;R1;220507;WORONIN Wojciech Zbigniew;Komitet Wyborczy Wyborców Można Inaczej;370;14.02;;Nie
M;R1;220508;ŻURAWICZ Jerzy Stanisław;Komitet Wyborczy Wyborców Porozumienie Samorządowe dla Kaszub;3689;28.94;;DR
M;R1;220508;KANKOWSKI Wojciech Dariusz;Komitet Wyborczy Wyborców Kaszubskie Zrzeszenie Wyborcze;2766;21.70;;DR
M;R1;220508;MIĄSKOWSKI Jacek Bartłomiej;Komitet Wyborczy Wyborców "Dynamiczni i Niezależni";2502;19.63;;Nie
M;R1;220508;FIKUS Piotr Mirosław;Komitet Wyborczy Stowarzyszenie "Samorządność";1872;14.69;;Nie
M;R1;220508;ŻEROMSKI Mirosław Andrzej;Komitet Wyborczy Platforma Obywatelska RP;902;7.08;;Nie
M;R1;220508;DORYŃ Angelika Dominika;Komitet Wyborczy "Samorządna Gmina Żukowo";586;4.60;;Nie
M;R1;220508;DORNIAK Tomasz;Komitet Wyborczy Polskie Stronnictwo Ludowe;428;3.36;;Nie
M;R1;220601;MODRZEJEWSKI Marcin Mikołaj;Komitet Wyborczy Wyborców Inicjatywa dla Kościerzyny;3439;35.35;;DR
M;R1;220601;MAJEWSKI Michał Marcin;Komitet Wyborczy Wyborców Nowa Przyszłość;3330;34.23;;DR
M;R1;220601;CZUCHA Zdzisław Józef;Komitet Wyborczy Platforma Obywatelska RP;2556;26.27;;Nie
M;R1;220601;JARONIEC Krzysztof Andrzej;Komitet Wyborczy Wyborców Nasza Kościerzyna;403;4.14;;Nie
S;R1;220602;POBŁOCKI Leszek Jan;Komitet Wyborczy Wyborców Nasza Mała Ojczyzna;1461;100.00;;Tak
M;R1;220603;BRUNKE Roman;Komitet Wyborczy Wyborców Jedność i Przyszłość Gminy;1790;59.41;;Tak
M;R1;220603;ZIóŁKOWSKI Krzysztof;Komitet Wyborczy Prawo i Sprawiedliwość;1223;40.59;;DR
M;R1;220604;PIECHOWSKI Grzegorz Tadeusz;Komitet Wyborczy Wyborców Razem dla Gminy;4218;65.75;;Tak
M;R1;220604;ŚLIWICKI Jerzy;Komitet Wyborczy Wyborców Twoja Gmina Kościerzyna;1196;18.64;;DR
M;R1;220604;NADOLNY Tomasz Łukasz;Komitet Wyborczy Wyborców Tomasz Nadolny;1001;15.60;;Nie
M;R1;220605;WARCZAK Mirosław Adam;Komitet Wyborczy Wyborców Razem dla Gminy Mirosława Warczaka;1450;68.62;;Tak
M;R1;220605;FILIPSKA Ewa Maria;Komitet Wyborczy Wyborców-Budujmy Razem;663;31.38;;DR
S;R1;220606;EBERTOWSKI Mirosław Jan;Komitet Wyborczy Wyborców Razem dla Gminy Lipusz;1201;100.00;;Tak
S;R1;220607;POLLAK Andrzej;Komitet Wyborczy Wyborców "Samorządna Gmina Nowa Karczma";2260;100.00;;Tak
