tryb;runda;teryt;kto;komitet;glosy;prc;glosyN;wynik
M;R1;020402;OLSZEWSKI Rafał Albert;Komitet Wyborczy Wyborców Rafała Olszewskiego;167;11.47;;Nie
M;R1;020402;DOBRZAŃSKA-BUCZEK Barbara Maria;Komitet Wyborczy Wyborców BARBARY DOBRZAŃSKIEJ- BUCZEK;161;11.06;;Nie
M;R1;020402;KROCHTA Michał Tadeusz;Komitet Wyborczy Prawo i Sprawiedliwość;151;10.37;;Nie
M;R1;020402;MATUSZÓW Andrzej Franciszek;Komitet Wyborczy Wyborców WSPÓLNA PRZYSZŁOŚĆ 2014;94;6.46;;Nie
M;R1;020402;OSTROWICZ Monika Anna;Komitet Wyborczy Wyborców PRZYSZŁOŚĆ I LUDZIE GMINY JEMIELNO;69;4.74;;Nie
M;R1;020403;PONA Beata Barbara;Komitet Wyborczy Wyborców-REGIONALNE CENTRUM NIEZALEŻNE BEATY PONY;791;37.21;;DR
M;R1;020403;GŁUSZKO Jan;Komitet Wyborczy Wyborców Porozumienie Samorządowo-Ludowe w Górze;672;31.61;;DR
M;R1;020403;ZAGROBELNY Marek;Komitet Wyborczy Wyborców MARKA ZAGROBELNEGO;546;25.68;;Nie
M;R1;020403;KALECKI Bogdan Paweł;Komitet Wyborczy Wyborców Bogdana Kaleckiego Nowa Gmina;117;5.50;;Nie
M;R1;020404;STUCZYK Zbigniew Stanisław;Komitet Wyborczy Wyborców FORUM 2014 WĄSOSZ;1799;56.39;;Tak
M;R1;020404;NIEDŹWIEDŹ Paweł;Komitet Wyborczy Wyborców PAWŁA NIEDŹWIEDZIA;1391;43.61;;DR
M;R1;020501;BERA Emilian Stanisław;Komitet Wyborczy Wyborców EMILIANA BERY RAZEM;4073;45.95;;DR
M;R1;020501;URBAŃSKI Artur Mieczysław;Komitet Wyborczy Wyborców POROZUMIENIE PRAWICY;2303;25.98;;DR
M;R1;020501;BARANOWSKI Arkadiusz Tomasz;Komitet Wyborczy Wyborców WSPÓLNOTA PRAWO I SAMORZĄDNOŚĆ;1485;16.75;;Nie
M;R1;020501;KOCWIN Grzegorz Bogusław;Komitet Wyborczy Wyborców „DLA MIESZKAŃCÓW JAWORA”;525;5.92;;Nie
M;R1;020501;KOLUSZKO Mirosław Waldemar;Komitet Wyborczy Wyborców „WSPÓLNA PRZYSZŁOŚĆ”;478;5.39;;Nie
M;R1;020502;WROŃSKI Jarosław Stanisław;Komitet Wyborczy Wyborców INICJATYWA SPOŁECZNA OPOKA;2462;56.92;;Tak
