pbw_10053_wbp1_1;126101;229;Szkoła Podstawowa Nr 43, Kraków ul. Myślenicka 112, 30-698;1664;1584;889;695;0;0;694;0;0;694;684;10
pbw_10054_wbp1_1;126101;23;Specjalny Ośrodek Szkolno-Wychowawczy Nr 1, Kraków-Śródmieście, Stare Miasto ul. Szujskiego 2, 31-123;561;533;273;260;0;0;260;0;0;260;253;7
pbw_10055_wbp1_1;126101;230;Szkoła Podstawowa Nr 43, Kraków ul. Myślenicka 112, 30-398;1971;1866;981;885;0;0;884;0;0;884;874;10
pbw_10056_wbp1_1;126101;231;Filia Szkoła Podstawowej Nr 97, Kraków ul. Armii Kraków 76, 30-433;1747;1665;765;900;0;0;900;0;0;900;887;13
pbw_10057_wbp1_1;126101;232;Szkoła Podstawowa Nr 97, Kraków ul. Dr Judyma 10, 30-436;1586;1500;920;580;0;0;580;0;0;580;576;4
pbw_10058_wbp1_1;126101;233;Szkoła Podstawowa Nr 97, Kraków ul. Dr Judyma 10, 30-436;1299;1226;591;635;0;0;635;0;0;635;626;9
pbw_10059_wbp1_1;126101;234;Szkoła Podstawowa Nr 97, Kraków ul. Dr Judyma 10, 30-436;1085;1034;542;492;0;0;492;0;0;492;489;3
pbw_1005_wbp1_1;021904;4;Szkoła Podstawowa /sala sportowa/, Jaworzyna Śląska Mickiewicza 10, 58-140 Jaworzyna Śląska;1132;910;426;484;2;0;484;0;0;484;480;4
pbw_10060_wbp1_1;126101;235;Szkoła Podstawowa Nr 97, Kraków ul. Dr Judyma 10, 30-436;1210;1157;555;602;0;0;602;0;0;602;598;4
pbw_10061_wbp1_1;126101;236;Dom Kultury Podgórze Klub Kultury Kliny, Kraków ul. Biskupa Małysiaka 1, 30-389;1613;1524;785;739;0;0;739;0;0;739;728;11
pbw_10062_wbp1_1;126101;237;Szkoła Podstawowa Nr 134, Kraków ul. Kłuszyńska 46, 30-499;1232;1148;653;495;0;0;495;0;0;495;488;7
pbw_10063_wbp1_1;126101;238;Szkoła Podstawowa Nr 134, Kraków ul. Kłuszyńska 46, 30-499;1089;1041;689;352;0;0;352;0;0;352;350;2
pbw_10064_wbp1_1;126101;239;Szkoła Podstawowa Nr 27, Kraków ul. Podedworze 16, 30-686;1966;1859;1012;847;0;0;847;0;0;847;832;15
pbw_10065_wbp1_1;126101;24;II Liceum Ogólnokształcące, Kraków-Śródmieście, Stare Miasto ul. Sobieskiego 9, 31-136;1334;1264;673;591;0;0;591;0;0;591;581;10
pbw_10066_wbp1_1;126101;240;Szkoła Podstawowa Nr 27, Kraków ul. Podedworze 16, 30-686;975;905;488;417;0;0;417;0;0;417;411;6
pbw_10067_wbp1_1;126101;241;Szkoła Podstawowa Nr 27, Kraków ul. Podedworze 16, 30-686;1595;1508;793;715;0;0;715;0;0;715;708;7
pbw_10068_wbp1_1;126101;242;Zespół Szkół Odzieżowych Nr 1, Kraków ul. Cechowa 57, 30-614;1637;1554;816;738;0;0;733;0;0;733;726;7
pbw_10069_wbp1_1;126101;243;Zespół Szkół Odzieżowych Nr 1, Kraków ul. Cechowa 57, 30-614;1265;1193;598;595;0;0;591;0;0;591;583;8
pbw_1006_wbp1_1;021904;5;Świetlica wiejska, Pastuchów Wyzwolenia 22, 58-140 Jaworzyna Śląska;1413;1140;597;543;0;0;543;0;0;543;533;10
pbw_10070_wbp1_1;126101;244;Zespół Szkół Odzieżowych Nr 1, Kraków ul. Cechowa 57, 30-614;1334;1278;747;531;0;0;531;0;0;531;526;5
pbw_10071_wbp1_1;126101;245;Samorządowe Przedszkole Nr 33, Kraków ul. Rżącka 1, 30-687;1428;1367;713;654;0;0;654;0;0;654;649;5
pbw_10072_wbp1_1;126101;246;Zespół Szkół Elektrycznych Nr 1 INTERNAT, Kraków ul. Kamieńskiego 49, 30-644;903;858;460;398;0;0;398;0;0;398;391;7
pbw_10073_wbp1_1;126101;247;Gimnazjum Nr 27, Kraków ul. Malborska 98, 30-624;971;902;468;434;2;0;434;0;0;434;422;12
