teryt;exteryt;bb;center;===;tura;teryt;nrk;kto;wiek;miasto;glosy;glosyp;glosyn;wynik
020404;3;51.485407,16.586026 51.648567,16.828717;51.566987,16.7073715;===;R1;020404;2;NIEDŹWIEDŹ Paweł;45;wyższe;Wąsosz,;1426;42.53;-1;Druga tura
020404;3;51.485407,16.586026 51.648567,16.828717;51.566987,16.7073715;===;R1;020404;3;STUCZYK Zbigniew Stanisław;58;wyższe;Sądowel,;1470;43.84;-1;Druga tura
020501;1;51.035974,16.141115 51.099396,16.229067;51.067685,16.185091;===;R1;020501;1;BERA Emilian Stanisław;33;wyższe;Jawor,;5535;55.63;-1;Tak
020501;1;51.035974,16.141115 51.099396,16.229067;51.067685,16.185091;===;R1;020501;2;KOWALCZYK Krzysztof Mariusz;38;wyższe;Jawor,;2595;26.08;-1;Nie
020501;1;51.035974,16.141115 51.099396,16.229067;51.067685,16.185091;===;R1;020501;3;KUCHARZYK Aneta;34;wyższe;Jawor,;1820;18.29;-1;Nie
020502;3;50.852741,15.929791 50.992373,16.204282;50.922557,16.0670365;===;R1;020502;1;BŁĄD-JEZIOREK Joanna Katarzyna;34;wyższe;Bolków,;83;1.82;-1;Nie
020502;3;50.852741,15.929791 50.992373,16.204282;50.922557,16.0670365;===;R1;020502;2;FRĄCKOWIAK Edyta Joanna;48;wyższe;Bolków,;207;4.54;-1;Nie
020502;3;50.852741,15.929791 50.992373,16.204282;50.922557,16.0670365;===;R1;020502;3;KUCAB Grzegorz Michał;39;wyższe;Mysłów,;2565;56.31;-1;Tak
020502;3;50.852741,15.929791 50.992373,16.204282;50.922557,16.0670365;===;R1;020502;4;WROŃSKI Jarosław Stanisław;55;wyższe;Bolków,;1700;37.32;-1;Nie
020503;2;50.990843,15.932950 51.136668,16.197186;51.0637555,16.065068;===;R1;020503;1;BRZOZOWSKI Mirosław Kazimierz;51;średnie;Sichów,;1980;84.47%;364;Tak
020504;2;51.002166,16.177775 51.114973,16.346593;51.0585695,16.262184;===;R1;020504;1;FORYŚ Mariusz Damian;41;wyższe;Targoszyn,;1285;65.26;-1;Tak
020504;2;51.002166,16.177775 51.114973,16.346593;51.0585695,16.262184;===;R1;020504;2;OLCHÓWKA Piotr Jan;50;wyższe;Snowidza,;684;34.74;-1;Nie
020505;2;50.943981,16.021512 51.052305,16.240363;50.998143,16.1309375;===;R1;020505;1;OSZCZĘDA Sebastian Paweł;40;wyższe;Sokola,;1059;59.20;-1;Tak
