teryt;exteryt;bb;center;===;tura;teryt;nrk;kto;wiek;miasto;glosy;glosyp;glosyn;wynik
141510;2;52.965710,21.488903 53.145113,21.775197;53.0554115,21.63205;===;R1;141510;1;ANTOŚKIEWICZ Piotr Robert;49;wyższe;Dzbenin,;551;10.64;-1;Nie
141510;2;52.965710,21.488903 53.145113,21.775197;53.0554115,21.63205;===;R1;141510;2;GODZINA Stanisław;57;wyższe;Zabrodzie,;1411;27.26;-1;Nie
141510;2;52.965710,21.488903 53.145113,21.775197;53.0554115,21.63205;===;R1;141510;3;PODOLAK Bartosz;32;wyższe;Rzekuń,;3215;62.10;-1;Tak
141511;2;52.975551,21.626163 53.115219,21.941113;53.045385,21.783638;===;R1;141511;1;MIERZEJEWSKI Edwin;63;wyższe;Troszyn, Prawo i Sprawiedliwość;1484;81.14%;345;Tak
141601;1;52.778372,21.844754 52.835804,21.937430;52.807088,21.891092;===;R1;141601;1;BAUER Jerzy;51;wyższe;Ostrów Mazowiecka,;4075;41.62;-1;Druga tura
141601;1;52.778372,21.844754 52.835804,21.937430;52.807088,21.891092;===;R1;141601;2;KALUPA Agnieszka;52;Średnie;Ostrów Mazowiecka,;399;4.08;-1;Nie
141601;1;52.778372,21.844754 52.835804,21.937430;52.807088,21.891092;===;R1;141601;3;PRZEŹDZIECKI Sławomir;53;wyższe;Ostrów Mazowiecka,;851;8.69;-1;Nie
141601;1;52.778372,21.844754 52.835804,21.937430;52.807088,21.891092;===;R1;141601;4;SIKORA Karolina;39;wyższe;Ostrów Mazowiecka,;1270;12.97;-1;Nie
141601;1;52.778372,21.844754 52.835804,21.937430;52.807088,21.891092;===;R1;141601;5;SZYMALSKI Mieczysław;68;wyższe;Ostrów Mazowiecka,;3195;32.64;-1;Druga tura
141602;2;52.776715,22.035731 52.886130,22.309135;52.8314225,22.172433;===;R1;141602;1;PONICHTERA Beata Urszula;50;wyższe;Pieńki-Sobótki,;1238;53.99;-1;Tak
141602;2;52.776715,22.035731 52.886130,22.309135;52.8314225,22.172433;===;R1;141602;2;PSKIET Jan;56;wyższe;Rogóźnia,;32;1.40;-1;Nie
141602;2;52.776715,22.035731 52.886130,22.309135;52.8314225,22.172433;===;R1;141602;3;RUTKOWSKI Michał;39;wyższe;Kuleszki-Nienałty,;921;40.17;-1;Nie
141602;2;52.776715,22.035731 52.886130,22.309135;52.8314225,22.172433;===;R1;141602;4;ŻOCHOWSKI Waldemar;40;wyższe;Andrzejewo,;102;4.45;-1;Nie
141603;2;52.661864,22.328248 52.795458,22.460729;52.728661,22.3944885;===;R1;141603;1;BOGUCKI Józef;61;wyższe rolnicze, wyższe ekonomiczne;Boguty-Pianki,;577;44.18;-1;Nie
141603;2;52.661864,22.328248 52.795458,22.460729;52.728661,22.3944885;===;R1;141603;2;DREWNOWSKI Jędrzej Michał;27;średnie;Drewnowo-Ziemaki,;729;55.82;-1;Tak
141604;3;52.659335,21.693032 52.755775,21.968275;52.707555,21.8306535;===;R1;141604;1;KRZEŚNIAK Adam Stanisław;49;wyższe;BROK,;364;27.98;-1;Nie
141604;3;52.659335,21.693032 52.755775,21.968275;52.707555,21.8306535;===;R1;141604;2;MŁYŃSKI Marek;64;średnie;Brok,;937;72.02;-1;Tak
141605;2;52.621575,21.912012 52.780217,22.134928;52.700896,22.02347;===;R1;141605;1;KORDEK Bożena;54;wyższe magisterskie;Małkinia Górna,;3325;60.01;-1;Tak
141605;2;52.621575,21.912012 52.780217,22.134928;52.700896,22.02347;===;R1;141605;2;MASŁOWSKI Cezary;53;wyższe;Małkinia Górna,;715;12.90;-1;Nie
141605;2;52.621575,21.912012 52.780217,22.134928;52.700896,22.02347;===;R1;141605;3;MURAWSKI Arkadiusz Stanisław;51;wyższe;Małkinia Górna,;1501;27.09;-1;Nie
141606;2;52.609391,22.208579 52.748292,22.473925;52.6788415,22.341252;===;R1;141606;1;KRUSZEWSKI Rafał;32;wyższe;Strękowo,;638;41.43;-1;Druga tura
141606;2;52.609391,22.208579 52.748292,22.473925;52.6788415,22.341252;===;R1;141606;2;LIPSKI Witold;46;wyższe;Kramkowo Lipskie,;341;22.14;-1;Nie
141606;2;52.609391,22.208579 52.748292,22.473925;52.6788415,22.341252;===;R1;141606;3;NORBERCZUK Mariusz Antoni;47;średnie;Strękowo,;177;11.49;-1;Nie
141606;2;52.609391,22.208579 52.748292,22.473925;52.6788415,22.341252;===;R1;141606;4;POPKO Marek;59;wyższe;Nur,;384;24.94;-1;Druga tura
141607;2;52.698207,21.650875 52.915778,22.085225;52.8069925,21.86805;===;R1;141607;1;BRZOSTEK Waldemar;56;wyższe;Stara Grabownica, Prawo i Sprawiedliwość;3749;69.11;-1;Tak
141607;2;52.698207,21.650875 52.915778,22.085225;52.8069925,21.86805;===;R1;141607;2;STANIASZEK Zdzisław;48;wyższe;Komorowo,;1676;30.89;-1;Nie
141608;2;52.855221,21.831311 52.980504,22.028794;52.9178625,21.9300525;===;R1;141608;1;GUMKOWSKI Ireneusz;61;wyższe;Podbiele, Prawo i Sprawiedliwość;1409;87.68%;198;Tak
141609;2;52.712880,22.178736 52.803599,22.311017;52.7582395,22.2448765;===;R1;141609;1;KOSSAKOWSKI Bogdan Józef;58;wyższe;Szulborze Wielkie,;242;24.22;-1;Nie
141609;2;52.712880,22.178736 52.803599,22.311017;52.7582395,22.2448765;===;R1;141609;2;MICHALEC Krzysztof Marian;59;wyższe;Szulborze Wielkie,;757;75.78;-1;Tak
141610;2;52.779361,21.590411 52.909041,21.804400;52.844201,21.6974055;===;R1;141610;1;KOWALCZYK Rafał Józef;42;Wyższe Ekonomia, Zarządzanie i Marketing;Wąsewo,;1448;64.87;-1;Tak
141610;2;52.779361,21.590411 52.909041,21.804400;52.844201,21.6974055;===;R1;141610;2;ZALEWSKA Anna Aldona;41;Wyższe;Rząśnik Włościański,;784;35.13;-1;Nie
141611;2;52.692136,22.037286 52.799791,22.227085;52.7459635,22.1321855;===;R1;141611;1;ROSTKOWSKI Józef;62;wyższe;Zaręby Kościelne,;1007;49.85;-1;Nie
141611;2;52.692136,22.037286 52.799791,22.227085;52.7459635,22.1321855;===;R1;141611;2;WOŁOSIEWICZ Urszula;57;wyższe;Zaręby Kościelne, Prawo i Sprawiedliwość;1013;50.15;-1;Tak
141701;1;52.098233,21.164953 52.158909,21.275165;52.128571,21.220059;===;R1;141701;1;BANASZEK Marek Antoni;54;Wyższe;Józefów,;4623;46.80;-1;Druga tura
141701;1;52.098233,21.164953 52.158909,21.275165;52.128571,21.220059;===;R1;141701;2;IWANIK Joanna Ewa;44;Wyższe;Józefów,;1223;12.38;-1;Nie
141701;1;52.098233,21.164953 52.158909,21.275165;52.128571,21.220059;===;R1;141701;3;KOŁODZIEJ Paweł;52;Wyższe;Józefów,;1424;14.41;-1;Nie
141701;1;52.098233,21.164953 52.158909,21.275165;52.128571,21.220059;===;R1;141701;4;ROJEK Mateusz Krzysztof;30;Wyższe;Józefów,;1769;17.91;-1;Druga tura
141701;1;52.098233,21.164953 52.158909,21.275165;52.128571,21.220059;===;R1;141701;5;RUPNIEWSKI Paweł;47;Wyższe;Józefów,;721;7.30;-1;Nie
141701;1;52.098233,21.164953 52.158909,21.275165;52.128571,21.220059;===;R1;141701;6;SIKORA Anna Ewa;52;Wyższe ekonomiczne;Józefów,;119;1.20;-1;Nie
141702;1;52.083406,21.210347 52.148731,21.368350;52.1160685,21.2893485;===;R1;141702;1;BOGUSZ Przemysław;43;Wyższe humanistyczne;Otwock,;2681;13.13;-1;Nie
141702;1;52.083406,21.210347 52.148731,21.368350;52.1160685,21.2893485;===;R1;141702;2;BRODOWSKI Artur Grzegorz;51;Wyższe;Otwock,;1019;4.99;-1;Nie
141702;1;52.083406,21.210347 52.148731,21.368350;52.1160685,21.2893485;===;R1;141702;3;KOZŁOWSKI Bartłomiej;42;Wyższe ekonomiczne;Otwock,;2999;14.69;-1;Nie
141702;1;52.083406,21.210347 52.148731,21.368350;52.1160685,21.2893485;===;R1;141702;4;LEŚKIEWICZ Marek;51;Średnie;Otwock,;286;1.40;-1;Nie
141702;1;52.083406,21.210347 52.148731,21.368350;52.1160685,21.2893485;===;R1;141702;5;MARGIELSKI Jarosław Tomasz;31;Wyższe;Otwock,;8599;42.13;-1;Druga tura
141702;1;52.083406,21.210347 52.148731,21.368350;52.1160685,21.2893485;===;R1;141702;6;PAŚNICZEK Ireneusz Józef;40;Wyższe;Otwock,;3483;17.06;-1;Druga tura
141702;1;52.083406,21.210347 52.148731,21.368350;52.1160685,21.2893485;===;R1;141702;7;WOJTASIK Ireneusz;43;Średnie;Otwock,;1345;6.59;-1;Nie
141703;2;51.969969,21.311882 52.111813,21.483287;52.040891,21.3975845;===;R1;141703;1;KWIATKOWSKI Witold;47;Wyższe;Celestynów,;4491;84.91%;798;Tak
141704;3;51.976265,21.204999 52.092842,21.353218;52.0345535,21.2791085;===;R1;141704;1;LASKUS Tomasz Bogumił;28;wyższe;Karczew,;1703;22.74;-1;Nie
141704;3;51.976265,21.204999 52.092842,21.353218;52.0345535,21.2791085;===;R1;141704;2;ŁOKIETEK Władysław Dariusz;58;wyższe;Karczew,;2276;30.40;-1;Druga tura
141704;3;51.976265,21.204999 52.092842,21.353218;52.0345535,21.2791085;===;R1;141704;3;OKOŃSKI Mariusz Szymon;44;wyższe;Karczew,;1061;14.17;-1;Nie
141704;3;51.976265,21.204999 52.092842,21.353218;52.0345535,21.2791085;===;R1;141704;4;RUDZKI Michał Piotr;27;wyższe;Karczew,;2448;32.69;-1;Druga tura
141705;2;51.994990,21.399886 52.123242,21.580083;52.059116,21.4899845;===;R1;141705;1;BUDYTA Adam Ryszard;54;wyższe;Kołbiel,;2236;60.60;-1;Tak
141705;2;51.994990,21.399886 52.123242,21.580083;52.059116,21.4899845;===;R1;141705;2;MOCZULSKI Robert;42;wyższe;Kołbiel,;1022;27.70;-1;Nie
141705;2;51.994990,21.399886 52.123242,21.580083;52.059116,21.4899845;===;R1;141705;3;URBANIAK Arkadiusz Grzegorz;57;wyższe;Kołbiel,;432;11.71;-1;Nie
141706;2;51.901881,21.341365 52.008788,21.514425;51.9553345,21.427895;===;R1;141706;1;BĄBIKOWSKI Jacek Tomasz;52;wyższe;Osieck,;695;40.55;-1;Nie
141706;2;51.901881,21.341365 52.008788,21.514425;51.9553345,21.427895;===;R1;141706;2;ZOWCZAK Karolina;37;wyższe;Trzcianka,;1019;59.45;-1;Tak
141707;2;51.869736,21.235858 52.001529,21.427164;51.9356325,21.331511;===;R1;141707;1;MALARZ Magdalena;43;wyższe;Sobienie-Jeziory,;935;34.94;-1;Nie
141707;2;51.869736,21.235858 52.001529,21.427164;51.9356325,21.331511;===;R1;141707;2;WIRTEK Stanisław Zygmunt;62;średnie rolnicze;Śniadków Górny A,;1741;65.06;-1;Tak
141708;2;52.102730,21.240229 52.228226,21.483013;52.165478,21.361621;===;R1;141708;1;BUDNY Janusz Witold;57;Wyższe;Wiązowna,;5017;87.88%;692;Tak
141801;3;51.887954,21.073046 52.054768,21.281262;51.971361,21.177154;===;R1;141801;1;RECHNIA Danuta Lidia;57;Wyższe;Ostrówik,;1531;12.95;-1;Nie
141801;3;51.887954,21.073046 52.054768,21.281262;51.971361,21.177154;===;R1;141801;2;ROKITA Jan;30;Wyższe;Wólka Dworska,;1186;10.03;-1;Nie
141801;3;51.887954,21.073046 52.054768,21.281262;51.971361,21.177154;===;R1;141801;3;STRZYŻEWSKI Arkadiusz;39;Wyższe;Góra Kalwaria,;5509;46.58;-1;Druga tura
141801;3;51.887954,21.073046 52.054768,21.281262;51.971361,21.177154;===;R1;141801;4;ZIELIŃSKI Dariusz Antoni;59;Wyższe;Wojciechowice,;3600;30.44;-1;Druga tura
141802;3;52.032955,21.043714 52.144728,21.216738;52.0888415,21.130226;===;R1;141802;1;JAŃCZUK Kazimierz;72;wyższe;Konstancin-Jeziorna,;7191;62.72;-1;Tak
141802;3;52.032955,21.043714 52.144728,21.216738;52.0888415,21.130226;===;R1;141802;2;STOCZYŃSKI Sławomir Stanisław;59;wyższe;Konstancin-Jeziorna,;2204;19.22;-1;Nie
141802;3;52.032955,21.043714 52.144728,21.216738;52.0888415,21.130226;===;R1;141802;3;WOJDAK Jerzy Marek;62;średnie techniczne;Konstancin-Jeziorna,;2071;18.06;-1;Nie
141803;2;52.022060,20.809666 52.120636,21.035504;52.071348,20.922585;===;R1;141803;1;BATYCKA-WĄSIK Maria Jolanta;58;wyższe;Wola Gołkowska,;9016;78.42%;2481;Tak
141804;3;51.985703,20.867942 52.112903,21.130500;52.049303,20.999221;===;R1;141804;1;JAROSZEWSKA Monika Maria;41;wyższe;Józefosław,;5600;15.92;-1;Nie
141804;3;51.985703,20.867942 52.112903,21.130500;52.049303,20.999221;===;R1;141804;2;OŁDAKOWSKI Wojciech Jerzy;42;średnie;Głosków,;8138;23.14;-1;Druga tura
141804;3;51.985703,20.867942 52.112903,21.130500;52.049303,20.999221;===;R1;141804;3;PUTKIEWICZ Daniel Stanisław;42;wyższe;Piaseczno,;17161;48.80;-1;Druga tura
141804;3;51.985703,20.867942 52.112903,21.130500;52.049303,20.999221;===;R1;141804;4;ZALEWSKI Józef;62;wyższe;Piaseczno,;4266;12.13;-1;Nie
141805;2;51.907781,20.925763 52.020462,21.095900;51.9641215,21.0108315;===;R1;141805;1;DĄBEK Jan Adam;56;Wyższe;Józefosław,;1964;43.50;-1;Druga tura
141805;2;51.907781,20.925763 52.020462,21.095900;51.9641215,21.0108315;===;R1;141805;2;MICHALSKI Maciej Mikołaj;40;Wyższe;Bobrowiec,;1452;32.16;-1;Druga tura
141805;2;51.907781,20.925763 52.020462,21.095900;51.9641215,21.0108315;===;R1;141805;3;ŻYWEK Łukasz Grzegorz;35;Wyższe;Gabryelin,;1099;24.34;-1;Nie
141806;3;51.921362,20.685189 52.029757,20.943390;51.9755595,20.8142895;===;R1;141806;1;BOCHYŃSKA Justyna;40;wyższe;Tarczyn,;1795;36.47;-1;Nie
141806;3;51.921362,20.685189 52.029757,20.943390;51.9755595,20.8142895;===;R1;141806;2;GALICZ Barbara;63;wyższe;Tarczyn,;3127;63.53;-1;Tak
141901;2;52.587988,19.683620 52.735294,19.934431;52.661641,19.8090255;===;R1;141901;1;BORKOWSKI Krzysztof;44;Zawodowe;Smolino,;1186;28.71;-1;Nie
141901;2;52.587988,19.683620 52.735294,19.934431;52.661641,19.8090255;===;R1;141901;2;ROZKOSZ Józef Jerzy;60;Średnie;Bielsk,;2945;71.29;-1;Tak
141902;2;52.425481,19.860383 52.552144,20.143341;52.4888125,20.001862;===;R1;141902;1;DOROBEK Jarosław;51;Wyższe;Nowe Miszewo,;1527;40.47;-1;Nie
141902;2;52.425481,19.860383 52.552144,20.143341;52.4888125,20.001862;===;R1;141902;2;STANISZEWSKI Jerzy Maciej;64;Wyższe techniczne;Karwowo Duchowne,;2246;59.53;-1;Tak
141903;2;52.570107,19.368276 52.725718,19.646023;52.6479125,19.5071495;===;R1;141903;1;DWOJNYCH Andrzej Paweł;42;Wyższe;Bądkowo Jeziorne,;1849;51.81;-1;Tak
141903;2;52.570107,19.368276 52.725718,19.646023;52.6479125,19.5071495;===;R1;141903;2;KISIELEWSKI Henryk;63;Wyższe;Główina,;566;15.86;-1;Nie
141903;2;52.570107,19.368276 52.725718,19.646023;52.6479125,19.5071495;===;R1;141903;3;NOWAK Rafał;41;Wyższe;Sikórz,;1154;32.33;-1;Nie
141904;2;52.505666,19.951414 52.607876,20.200597;52.556771,20.0760055;===;R1;141904;1;GRACZYK Gabriel;42;Wyższe;Włóki,;2009;81.80%;447;Tak
141905;3;52.651881,19.819190 52.781982,20.074135;52.7169315,19.9466625;===;R1;141905;1;MUCZYŃSKI Wojciech;35;wyższe;Mogielnica,;689;18.71;-1;Nie
141905;3;52.651881,19.819190 52.781982,20.074135;52.7169315,19.9466625;===;R1;141905;2;SAMORAJ Andrzej Wojciech;41;wyższe;Dobrosielice Pierwsze,;2546;69.15;-1;Tak
141905;3;52.651881,19.819190 52.781982,20.074135;52.7169315,19.9466625;===;R1;141905;3;WIŚNIEWSKI Sławomir Jerzy;60;wyższe rolnicze;Drobin,;447;12.14;-1;Nie
141906;3;52.336971,19.662587 52.493169,19.868304;52.41507,19.7654455;===;R1;141906;1;JADCZAK Krzysztof Mieczysław;55;wyższe;Dobrzyków,;3057;63.11;-1;Tak
141906;3;52.336971,19.662587 52.493169,19.868304;52.41507,19.7654455;===;R1;141906;2;WĄSIK Piotr;31;wyższe;Górki,;1787;36.89;-1;Nie
141907;2;52.401583,19.531956 52.507044,19.721151;52.4543135,19.6265535;===;R1;141907;1;BIAŁECKI Zbigniew;60;średnie;Łąck,;1488;58.35;-1;Tak
141907;2;52.401583,19.531956 52.507044,19.721151;52.4543135,19.6265535;===;R1;141907;2;DOMAŃSKA Sylwia;40;wyższe;Koszelówka,;613;24.04;-1;Nie
141907;2;52.401583,19.531956 52.507044,19.721151;52.4543135,19.6265535;===;R1;141907;3;SOSIŃSKA Sylwia;35;wyższe;Płock,;449;17.61;-1;Nie
141908;2;52.383102,19.969746 52.516992,20.204802;52.450047,20.087274;===;R1;141908;1;KOPER Karolina Agnieszka;36;wyższe;Nowe Święcice,;1099;41.41;-1;Druga tura
141908;2;52.383102,19.969746 52.516992,20.204802;52.450047,20.087274;===;R1;141908;2;WOJNAROWSKI Zygmunt Grzegorz;62;wyższe;Mała Wieś,;1284;48.38;-1;Druga tura
141908;2;52.383102,19.969746 52.516992,20.204802;52.450047,20.087274;===;R1;141908;3;WOŹNIAK Maciej Tomasz;35;wyższe;Nowe Święcice, Prawo i Sprawiedliwość;271;10.21;-1;Nie
141909;2;52.490384,19.319568 52.611446,19.667399;52.550915,19.4934835;===;R1;141909;1;BALCERZAK - DZIERBICKA Anna Renata;41;wyższe;Wola Brwileńska,;659;36.71;-1;Nie
141909;2;52.490384,19.319568 52.611446,19.667399;52.550915,19.4934835;===;R1;141909;2;KRYSIAK Mirosław Jan;52;wyższe;Soczewka,;1136;63.29;-1;Tak
141910;2;52.539842,19.730786 52.633994,19.973421;52.586918,19.8521035;===;R1;141910;1;ZIEMKIEWICZ Sylwester Tadeusz;33;WYŻSZE;RADZANOWO-LASOCIN,;3413;92.22%;288;Tak
141911;2;52.327317,19.832050 52.462343,20.002255;52.39483,19.9171525;===;R1;141911;1;DYLICKI Krzysztof Stanisław;62;średnie techniczne;Studzieniec,;666;30.68;-1;Druga tura
141911;2;52.327317,19.832050 52.462343,20.002255;52.39483,19.9171525;===;R1;141911;2;KOZŁOWSKI Jacek;41;wyższe;Słubice,;918;42.28;-1;Druga tura
141911;2;52.327317,19.832050 52.462343,20.002255;52.39483,19.9171525;===;R1;141911;3;KRYSZTOFIAK Damian;35;wyższe magisterskie;Łaziska,;587;27.04;-1;Nie
141912;2;52.461287,19.728626 52.556230,19.923787;52.5087585,19.8262065;===;R1;141912;1;PIECHNA Jacek;41;Wyższe;Słupno,;614;15.60;-1;Nie
141912;2;52.461287,19.728626 52.556230,19.923787;52.5087585,19.8262065;===;R1;141912;2;WERNER Stanisław Dariusz;40;Wyższe;Słupno,;822;20.89;-1;Nie
141912;2;52.461287,19.728626 52.556230,19.923787;52.5087585,19.8262065;===;R1;141912;3;ZAWADKA Marcin;48;Wyższe;Słupno,;2499;63.51;-1;Tak
141913;2;52.553078,19.545356 52.683079,19.757900;52.6180785,19.651628;===;R1;141913;1;PAWŁOWSKI Adam;32;wyższe;Nowe Proboszczewice,;2497;48.22;-1;Nie
141913;2;52.553078,19.545356 52.683079,19.757900;52.6180785,19.651628;===;R1;141913;2;WAWRZYŃSKI Sławomir Stanisław;58;wyższe;Biała,;2681;51.78;-1;Tak
141914;2;52.588574,19.891573 52.696781,20.166823;52.6426775,20.029198;===;R1;141914;1;GROSZEWSKI Kamil;31;Wyższe administracyjne;Staroźreby,;1856;56.81;-1;Tak
141914;2;52.588574,19.891573 52.696781,20.166823;52.6426775,20.029198;===;R1;141914;2;STRADOMSKI Józef;65;średnie rolnicze;Staroźreby,;1411;43.19;-1;Nie
141915;3;52.379257,20.019758 52.516562,20.251821;52.4479095,20.1357895;===;R1;141915;1;BOSZKO Jan;56;wyższe;Wyszogród,;734;26.31;-1;Nie
141915;3;52.379257,20.019758 52.516562,20.251821;52.4479095,20.1357895;===;R1;141915;2;GORTAT Iwona;38;wyższe;Wyszogród, Prawo i Sprawiedliwość;1500;53.76;-1;Tak
141915;3;52.379257,20.019758 52.516562,20.251821;52.4479095,20.1357895;===;R1;141915;3;JANCZAK Jacek;54;wyższe;Wyszogród,;121;4.34;-1;Nie
141915;3;52.379257,20.019758 52.516562,20.251821;52.4479095,20.1357895;===;R1;141915;4;KŁOBUKOWSKI Paweł;54;wyższe;Wyszogród, Mazowiecka Wspólnota Samorządowa;181;6.49;-1;Nie
141915;3;52.379257,20.019758 52.516562,20.251821;52.4479095,20.1357895;===;R1;141915;5;ZYCH Janusz;54;wyższe;Drwały,;254;9.10;-1;Nie
142001;1;52.604756,20.332274 52.648156,20.393742;52.626456,20.363008;===;R1;142001;1;JANKOWSKI Artur;49;średnie;Płońsk,;600;6.49;-1;Nie
142001;1;52.604756,20.332274 52.648156,20.393742;52.626456,20.363008;===;R1;142001;2;KOŚMIDER Marcin Maciej;43;średnie;Płońsk,;1541;16.67;-1;Nie
142001;1;52.604756,20.332274 52.648156,20.393742;52.626456,20.363008;===;R1;142001;3;PIETRASIK Andrzej Józef;61;wyższe;Płońsk,;5749;62.18;-1;Tak
142001;1;52.604756,20.332274 52.648156,20.393742;52.626456,20.363008;===;R1;142001;4;TUCHOLSKI Krzysztof;41;wyższe;Płońsk,;1355;14.66;-1;Nie
142002;1;52.768822,20.091748 52.796647,20.149191;52.7827345,20.1204695;===;R1;142002;1;BRDAK Ireneusz Leszek;55;wyższe;Raciąż,;439;19.98;-1;Nie
142002;1;52.768822,20.091748 52.796647,20.149191;52.7827345,20.1204695;===;R1;142002;2;GODLEWSKI Mariusz Jerzy;46;wyższe;Raciąż,;1006;45.79;-1;Druga tura
142002;1;52.768822,20.091748 52.796647,20.149191;52.7827345,20.1204695;===;R1;142002;3;SADOWSKI Janusz Kazimierz;57;wyższe;Raciąż,;266;12.11;-1;Nie
142002;1;52.768822,20.091748 52.796647,20.149191;52.7827345,20.1204695;===;R1;142002;4;ZIÓŁKOWSKI Robert Mariusz;45;średnie;Kroczewo,;486;22.12;-1;Druga tura
142003;2;52.634780,20.148856 52.787663,20.395026;52.7112215,20.271941;===;R1;142003;1;PAWŁOWSKI Stefan;52;wyższe;Pawłowo,;273;7.79;-1;Nie
142003;2;52.634780,20.148856 52.787663,20.395026;52.7112215,20.271941;===;R1;142003;2;PIETRUSZEWSKI Bogdan Janusz;59;wyższe;Baboszewo,;1334;38.06;-1;Druga tura
142003;2;52.634780,20.148856 52.787663,20.395026;52.7112215,20.271941;===;R1;142003;3;PRZEDPEŁSKI Wiesław Andrzej;60;wyższe;Baboszewo,;689;19.66;-1;Nie
142003;2;52.634780,20.148856 52.787663,20.395026;52.7112215,20.271941;===;R1;142003;4;SOBECKI Tomasz;35;wyższe;Baboszewo,;1209;34.49;-1;Druga tura
142004;2;52.381137,20.222414 52.488207,20.497473;52.434672,20.3599435;===;R1;142004;1;CIEĆWIERZ Mariusz;44;wyższe;Wychódźc,;1024;34.44;-1;Nie
142004;2;52.381137,20.222414 52.488207,20.497473;52.434672,20.3599435;===;R1;142004;2;GORTAT Marcin;40;wyższe;Janikowo, Prawo i Sprawiedliwość;1949;65.56;-1;Tak
142005;2;52.533018,20.147552 52.672915,20.318043;52.6029665,20.2327975;===;R1;142005;1;CZYŻEWSKI Włodzimierz;59;wyższe;Nowe Sarnowo,;109;5.65;-1;Nie
142005;2;52.533018,20.147552 52.672915,20.318043;52.6029665,20.2327975;===;R1;142005;2;GĄSECKI Czesław Marian;61;wyższe;Płońsk,;116;6.01;-1;Nie
142005;2;52.533018,20.147552 52.672915,20.318043;52.6029665,20.2327975;===;R1;142005;3;GOSZCZYŃSKI Franciszek Marek;62;wyższe;Wierzbica Pańska, Prawo i Sprawiedliwość;547;28.34;-1;Druga tura
142005;2;52.533018,20.147552 52.672915,20.318043;52.6029665,20.2327975;===;R1;142005;4;PAJĄK Witold Stanisław;67;wyższe;Płońsk,;183;9.48;-1;Nie
142005;2;52.533018,20.147552 52.672915,20.318043;52.6029665,20.2327975;===;R1;142005;5;SOBIECKI Adam;45;wyższe;Chrościn,;669;34.66;-1;Druga tura
142005;2;52.533018,20.147552 52.672915,20.318043;52.6029665,20.2327975;===;R1;142005;6;ZIMNY Krzysztof Andrzej;38;wyższe;Nowe Sarnowo,;306;15.85;-1;Nie
142006;2;52.520091,20.495305 52.647782,20.629656;52.5839365,20.5624805;===;R1;142006;1;CZERNIAKOWSKI Marek Ryszard;43;wyższe;Królewo,;882;88.91%;110;Tak
142007;2;52.459031,20.188150 52.582239,20.461530;52.520635,20.32484;===;R1;142007;1;GRZESZEK Marcin;38;wyższe;Radzymin,;435;13.84;-1;Nie
142007;2;52.459031,20.188150 52.582239,20.461530;52.520635,20.32484;===;R1;142007;2;MARCINIAK Jarosław;34;wyższe;Żukowo,;856;27.24;-1;Nie
142007;2;52.459031,20.188150 52.582239,20.461530;52.520635,20.32484;===;R1;142007;3;PIERŚCIŃSKA Beata;44;wyższe;Naruszewo,;1852;58.92;-1;Tak
142008;2;52.579041,20.560720 52.725509,20.731461;52.652275,20.6460905;===;R1;142008;1;TURADEK Agnieszka Beata;42;wyższe;Gościmin Wielki,;726;31.93;-1;Nie
142008;2;52.579041,20.560720 52.725509,20.731461;52.652275,20.6460905;===;R1;142008;2;ZALEWSKI Sławomir Dariusz;48;wyższe;Nowe Miasto,;1548;68.07;-1;Tak
142009;2;52.555429,20.287022 52.698784,20.523014;52.6271065,20.405018;===;R1;142009;1;JAROSŁAWSKI Aleksander Wiesław;60;średnie;Siedlin,;1919;57.99;-1;Tak
142009;2;52.555429,20.287022 52.698784,20.523014;52.6271065,20.405018;===;R1;142009;2;SOKOŁOWSKI Jacek;45;wyższe;Kownaty,;1390;42.01;-1;Nie
142010;2;52.668145,19.962745 52.896482,20.264335;52.7823135,20.11354;===;R1;142010;1;GISZCZAK Ryszard;62;wyższe;Stare Gralewo,;1350;38.83;-1;Druga tura
142010;2;52.668145,19.962745 52.896482,20.264335;52.7823135,20.11354;===;R1;142010;2;PAWLAK Grzegorz;32;wyższe;Krajkowo,;218;6.27;-1;Nie
142010;2;52.668145,19.962745 52.896482,20.264335;52.7823135,20.11354;===;R1;142010;3;SADOWSKI Zbigniew;37;wyższe;Cieciersk,;1103;31.72;-1;Druga tura
142010;2;52.668145,19.962745 52.896482,20.264335;52.7823135,20.11354;===;R1;142010;4;ZIÓŁKOWSKA Małgorzata;49;wyższe;Jeżewo-Wesel,;806;23.18;-1;Nie
142011;2;52.610062,20.371128 52.739389,20.614048;52.6747255,20.492588;===;R1;142011;1;ROMATOWSKI Andrzej Jan;61;wyższe;Sochocin,;1020;34.36;-1;Druga tura
142011;2;52.610062,20.371128 52.739389,20.614048;52.6747255,20.492588;===;R1;142011;2;RYZIŃSKI Jerzy Józef;63;wyższe;Sochocin,;1059;35.67;-1;Druga tura
142011;2;52.610062,20.371128 52.739389,20.614048;52.6747255,20.492588;===;R1;142011;3;ZAWADZKI Jerzy;57;wyższe;Sochocin,;668;22.50;-1;Nie
142011;2;52.610062,20.371128 52.739389,20.614048;52.6747255,20.492588;===;R1;142011;4;ZDUNEK Iwona Ewa;49;wyższe;Brody,;222;7.48;-1;Nie
142012;2;52.444213,20.433773 52.587924,20.607229;52.5160685,20.520501;===;R1;142012;1;KOPROWSKI Kamil;32;wyższe;Załuski,;1130;42.42;-1;Druga tura
