pgnw_psl;pgnw_pis;pgn_po;pgnw;psl;pis;po;teryt;powiat;powiatsrodek;bbpowiat
0.5133233327;-0.292435511;-0.417045797;21.694906;26.877019;22.313034;33.906197;2211;pucki;54.7744489 18.2737787;54.8357297 18.828019 54.5575128 17.9111909
0.5097841431;-0.482356008;-0.530212077;27.272791;34.785056;16.290176;17.050554;3022;rawicki;51.6584444 16.9890188;51.7475181 17.25997 51.543985 16.638298
0.5092046190;-0.148600429;-0.417543753;20.473636;26.001439;27.129085;16.152633;2409;myszkowski;50.6199111 19.2916264;50.704876 19.6297141 50.506675 19.07329
0.5026069876;-0.540596352;-0.640352266;26.734103;30.977160;17.286464;25.278733;3026;śremski;52.0096542 17.113896;52.1978188 17.3268981 51.927706 16.790178
0.5017449840;-0.486902261;-0.624992239;12.810370;24.786276;32.749401;24.887667;1461;m.Ostrołęka;53.0876544 21.5592554;53.1113032 21.6424378 53.0434227 21.5357874
0.5011581064;-0.475380611;-0.540996735;25.204200;37.867179;14.570143;26.811977;2806;giżycki;53.9662624 21.8876805;54.1817319 22.2144588 53.8514208 21.4294751
0.4994261674;-0.570439160;-0.659706435;30.460714;37.204718;21.293804;14.504668;3023;słupecki;52.2368221 17.9179392;52.554942 18.1338349 52.0734862 17.683443
0.4987989934;-0.345029463;-0.379643707;23.546514;28.923398;20.690477;26.480290;3017;ostrowski(wielkopolskie);51.6452962 17.7880123;51.816375 18.1887828 51.3998784 17.5123148
0.4960504807;-0.581662993;-0.552228482;9.158295;23.009600;33.431697;20.089401;2661;m.Kielce;50.8660773 20.6285677;50.9147837 20.7208681 50.7932963 20.5104146
0.4954023516;-0.290955690;-0.591488391;22.949667;15.283429;17.822295;34.361944;0201;bolesławiecki;51.3623002 15.5803488;51.5314871 15.8582819 51.1123119 15.2061094
0.4953441023;-0.160454574;-0.417135232;15.337419;8.342355;40.373034;24.131611;2479;m.Żory;50.0447236 18.7006401;50.0813571 18.776218 49.996299 18.6020288
