13;25;PiS;OSUCH Jacek Piotr;2458;0.44;T
13;1;PO;GOWIN Jarosław;160465;28.58;T
13;2;PO;MATUSIK-LIPIEC Katarzyna;15130;2.70;T
13;3;PO;RAŚ Ireneusz;15808;2.82;T
13;4;PO;FEDOROWICZ Jerzy Feliks;15649;2.79;T
13;6;PO;KRUPA Jacek;7293;1.30;T
13;8;PO;RYSZKA Andrzej;7292;1.30;T
13;12;PO;GIBAŁA Łukasz;11413;2.03;T
13;1;SLD;WIDACKI Jan Stefan;24963;4.45;T
14;1;PiS;MULARCZYK Arkadiusz;47929;16.09;T
14;2;PiS;PALUCH Anna;14972;5.03;T
14;3;PiS;SIARKA Edward;15697;5.27;T
14;7;PiS;BARTUŚ Barbara Halina;10856;3.64;T
14;8;PiS;JANCZYK Wiesław Stanisław;10696;3.59;T
14;1;PO;CZERWIŃSKI Andrzej;24708;8.29;T
14;3;PO;GUT-MOSTOWY Andrzej;16009;5.37;T
14;5;PO;KOCHAN Witold;8515;2.86;T
14;1;PSL;DUTKA Bronisław;8764;2.94;T
15;1;PiS;MARIANOWSKA Barbara;21654;7.70;T
15;2;PiS;CZESAK Edward;17944;6.38;T
15;3;PiS;WOJTKIEWICZ Michał Jan;13396;4.76;T
15;4;PiS;PILCH Jacek;11736;4.17;T
15;5;PiS;ROJEK Józef;11901;4.23;T
15;1;PO;GRAD Aleksander;29842;10.61;T
15;2;PO;AUGUSTYN Urszula;10480;3.73;T
15;5;PO;MUSIAŁ Jan;7705;2.74;T
15;1;PSL;WODA Wiesław;13365;4.75;T
16;1;PiS;JASIŃSKI Wojciech Stefan;30702;10.00;T
16;2;PiS;OPIOŁA Marek;14709;4.79;T
16;3;PiS;KOŁAKOWSKI Robert Jerzy;9213;3.00;T
16;6;PiS;KACZANOWSKI Dariusz;6205;2.02;T
16;1;PO;PITERA Julia Teresa;42669;13.90;T
16;2;PO;KOŹLAKIEWICZ Mirosław;10770;3.51;T
16;3;PO;NOWAKOWSKI Andrzej Jacek;11608;3.78;T
16;1;PSL;PAWLAK Waldemar;24638;8.03;T
16;2;PSL;STRUZIK Adam Krzysztof;9397;3.06;T
16;1;SLD;SZYMANEK-DERESZ Jolanta Dorota;20536;6.69;T
17;1;PiS;SUSKI Marek;29497;10.36;T
17;2;PiS;WRÓBEL Marzena Dorota;13159;4.62;T
17;5;PiS;BĄK Dariusz;16012;5.62;T
17;7;PiS;SOŃTA Krzysztof Jan;10013;3.52;T
17;1;PO;KOPACZ Ewa Bożena;39155;13.75;T
17;2;PO;WITKOWSKI Radosław;8229;2.89;T
17;3;PO;CZECHYRA Czesław Jan;6871;2.41;T
17;2;PSL;MALISZEWSKI Mirosław Wojciech;11614;4.08;T
17;1;SLD;WIKIŃSKI Marek Michał;12297;4.32;T
18;1;PiS;JAKUBIAK Elżbieta Renata;33509;9.10;T
18;2;PiS;TCHÓRZEWSKI Krzysztof Józef;22413;6.09;T
18;3;PiS;CZARTORYSKI Arkadiusz;22030;5.98;T
18;4;PiS;KOWALCZYK Henryk;13600;3.69;T
18;5;PiS;KOWALSKI Bogusław;7259;1.97;T
18;7;PiS;WARGOCKA Teresa Anna;6787;1.84;T
18;1;PO;MROCZEK Czesław;33207;9.02;T
18;2;PO;KOZACZYŃSKI Jacek;8989;2.44;T
18;3;PO;KANIA Andrzej;10554;2.87;T
18;1;PSL;KALINOWSKI Jarosław;25406;6.90;T
18;2;PSL;SAWICKI Marek Wacław;10995;2.99;T
18;1;SLD;PRZĄDKA Stanisława Alicja;12099;3.29;T
19;1;PiS;KACZYŃSKI Jarosław Aleksander;273684;23.88;T
19;2;PiS;ROKITA-ARNOLD Nelli;6367;0.56;T
19;4;PiS;OŁDAKOWSKI Jan Łukasz;3106;0.27;T
19;5;PiS;KARSKI Karol;3524;0.31;T
19;6;PiS;PONCYLJUSZ Paweł Janusz;4647;0.41;T
19;8;PiS;GÓRSKI Artur;3070;0.27;T
19;1;PO;TUSK Donald Franciszek;534241;46.62;T
19;2;PO;KIDAWA-BŁOŃSKA Małgorzata Maria;13057;1.14;T
