10;02;LiD;RZEPECKI Marcin;3964;1.36;10.99;xxx;M
10;03;LiD;SKŁADOWSKI Robert Mirosław;2952;1.01;8.19;xxx;M
10;04;LiD;KRAWCZYK Marek;4212;1.44;11.68;xxx;M
10;05;LiD;KOŁODZIEJSKI Ryszard Adam;521;0.18;1.45;xxx;M
10;06;LiD;SZWEDOWSKI Wojciech;2557;0.88;7.09;xxx;M
10;07;LiD;MIKOŁAJCZYK Ewa Maria;1144;0.39;3.17;xxx;K
10;08;LiD;MĘKARSKA Barbara;1189;0.41;3.30;xxx;K
10;09;LiD;BIENIAS Agnieszka;975;0.33;2.70;xxx;K
10;10;LiD;SZARLEJA Ewa;494;0.17;1.37;xxx;K
10;11;LiD;CHYBCZYŃSKI Kamil;381;0.13;1.06;xxx;M
10;12;LiD;BŁASZCZYK Wojciech;776;0.27;2.15;xxx;M
10;13;LiD;OWCZAREK Zbigniew Andrzej;631;0.22;1.75;xxx;M
10;14;LiD;ROCHMIŃSKI Paweł;155;0.05;0.43;xxx;M
10;15;LiD;NOWAKOWICZ Kinga Zyta;700;0.24;1.94;xxx;K
10;16;LiD;BRZESKI Krystian Karol;165;0.06;0.46;xxx;M
10;17;LiD;MIELCZAREK Marek Florian;460;0.16;1.28;xxx;M
10;18;LiD;DZIUDA Mariusz Henryk;1667;0.57;4.62;xxx;M
10;01;PO;RADZISZEWSKA Elżbieta;33480;11.47;41.06;xxx;K
10;02;PO;KULA Włodzimierz Stanisław;9858;3.38;12.09;xxx;M
10;03;PO;RUTKOWSKA Dorota;9137;3.13;11.21;xxx;K
10;04;PO;ZACHAREWICZ Jacek Paweł;9579;3.28;11.75;xxx;M
10;05;PO;JAKUBOWSKI Leszek Stefan;5335;1.83;6.54;xxx;M
10;06;PO;BÓL Stanisław Bogdan;1066;0.37;1.31;xxx;M
10;07;PO;PAZUREK Damian Piotr;1430;0.49;1.75;xxx;M
10;08;PO;ROSIAK Janusz Jerzy;1856;0.64;2.28;xxx;M
10;09;PO;ROŻNOWSKI Jacek Tomasz;990;0.34;1.21;xxx;M
10;10;PO;CHYBIŃSKI Włodzimierz Robert;493;0.17;0.60;xxx;M
10;11;PO;MARKUS-GĄSIOROWSKA Agnieszka;980;0.34;1.20;xxx;K
10;12;PO;BARTNIK Stanisław;1109;0.38;1.36;xxx;M
10;13;PO;KACPERCZYK Karolina Janina;1384;0.47;1.70;xxx;K
10;14;PO;KOBAK Michał;1201;0.41;1.47;xxx;M
10;15;PO;PŁUCIENNIK Jadwiga Krystyna;1181;0.40;1.45;xxx;K
10;16;PO;CHWILCZYŃSKI Mieczysław;292;0.10;0.36;xxx;M
10;17;PO;KRYCZKA Ryszard Tomasz;473;0.16;0.58;xxx;M
10;18;PO;MAGACZ Dariusz Marian;1688;0.58;2.07;xxx;M
10;01;PPP;BRZUZY Ryszard;736;0.25;22.67;xxx;M
10;02;PPP;KOPCIK Stanisław;185;0.06;5.70;xxx;M
10;03;PPP;MACONKO Czesław Kazimierz;82;0.03;2.53;xxx;M
10;04;PPP;MAĆKOWIAK Adam Waldemar;138;0.05;4.25;xxx;M
10;05;PPP;TRAJDOS Alicja Elżbieta;248;0.08;7.64;xxx;K
10;06;PPP;SZYMAŃSKA Anna;542;0.19;16.70;xxx;K
10;07;PPP;BARASIŃSKI Jan;119;0.04;3.67;xxx;M
10;08;PPP;BARANOWICZ Władysław;118;0.04;3.64;xxx;M
10;09;PPP;PĘCIAK Tomasz Piotr;104;0.04;3.20;xxx;M
10;10;PPP;PLEBAŃCZYK Piotr;92;0.03;2.83;xxx;M
10;11;PPP;PAULIŃSKI Piotr Edward;61;0.02;1.88;xxx;M
10;12;PPP;KAŹMIERCZAK Marek;141;0.05;4.34;xxx;M
10;13;PPP;GOSŁAWSKI Jan Bolesław;67;0.02;2.06;xxx;M
10;14;PPP;CZAJA Jan;113;0.04;3.48;xxx;M
10;15;PPP;KOWALSKI Marian;137;0.05;4.22;xxx;M
10;16;PPP;DZIEKAN Eugeniusz;45;0.02;1.39;xxx;M
10;17;PPP;PĘDZIWIATR Dariusz Eugeniusz;199;0.07;6.13;xxx;M
10;18;PPP;GIGLA Tadeusz;119;0.04;3.67;xxx;M
10;01;PSL;WITASZCZYK Stanisław;8570;2.94;21.48;xxx;M
10;02;PSL;OZGA Krystyna Ewa;8278;2.84;20.75;xxx;K
10;03;PSL;MATYSIAK Józef Adam;4401;1.51;11.03;xxx;M
10;04;PSL;BAGIEŃSKI Artur Jan;2696;0.92;6.76;xxx;M
10;05;PSL;MAZUR Marek;2098;0.72;5.26;xxx;M
10;06;PSL;CHRZĘST Szczepan;906;0.31;2.27;xxx;M
10;07;PSL;ROBAK Barbara Danuta;1462;0.50;3.67;xxx;K
10;08;PSL;JĘDRASZEK Teresa Małgorzata;1372;0.47;3.44;xxx;K
10;09;PSL;OŚCIK Elżbieta;1757;0.60;4.40;xxx;K
10;10;PSL;GRYCZKA Grzegorz;909;0.31;2.28;xxx;M
10;11;PSL;KACZMAREK Jerzy Wojciech;1709;0.59;4.28;xxx;M
10;12;PSL;BOGACKI Ireneusz;224;0.08;0.56;xxx;M
10;13;PSL;PALUCH Andrzej Józef;1015;0.35;2.54;xxx;M
10;14;PSL;KOWALCZYK Dariusz Anatol;1034;0.35;2.59;xxx;M
