Lp;Posel;Klub;KlacznieT;KtranspT;DistT
107;Jacek Żalek;PO;22.52094;17.32944;11.5322
108;Jadwiga Wiśniewska;PiS;36.96254;25.03384;14.6591
109;Jadwiga Zakrzewska;PO;92.35246;57.69121;22.5543
110;Jagna Marczułajtis-Walczak;PO;15.46472;9.98631;3.4555
111;Jakub Rutnicki;PO;5.05328;3.71419;2.3002
112;Jan Bury;PSL;21.02288;14.82565;4.9680
113;Jan Dziedziczak;PiS;206.47774;143.15972;75.1690
114;Jan Kaźmierczak;PO;91.21766;46.71620;21.0908
115;Jan Krzysztof Ardanowski;PiS;6.08978;1.82041;8.9842
116;Jan Łopata;PSL;26.52381;22.32084;11.0135
117;Jan Rzymełka;PO;7.61100;3.86632;1.7522
118;Janina Okrągły;PO;0.54550;0.11309;0.3473
119;Janusz Cichoń;PO;3.95593;1.50879;0.6880
120;Jarosław Górczyński;PSL;71.13241;48.02929;16.2621
121;Jarosław Katulski;PO;13.88551;8.17587;5.3229
122;Jarosław Rusiecki;PiS;6.04001;3.48775;0.6880
123;Jarosław Sellin;PiS;7.85230;5.02559;1.4992
124;Jarosław Tomasz Jagiełło;niez.;2.49332;1.38358;0.3711
125;Jerzy Borkowski;TR;7.08729;6.01942;1.1779
126;Jerzy Borowczak;PO;11.23119;6.72625;1.8663
127;Jerzy Fedorowicz;PO;8.16350;6.59404;1.8712
128;Jerzy Kozdroń;PO;3.42152;2.24733;0.3382
129;Jerzy Materna;PiS;8.56549;5.74583;3.1053
130;Jerzy Polaczek;PiS;4.59100;3.04480;0.9443
131;Jerzy Szmit;PiS;7.92093;6.59953;1.7405
132;Jerzy Wenderlich;SLD;198.42645;168.02101;72.8660
133;Joanna Bobowska;PO;10.51482;4.86130;4.2660
134;Joanna Fabisiak;PO;86.33582;66.99916;33.1800
135;Joanna Kluzik-Rostkowska;PO;57.53098;20.20535;14.2131
136;John Abraham Godson;PO;42.65243;36.37596;15.1526
137;Jolanta Szczypińska;PiS;4.96333;2.34754;0.6880
138;Józef Racki;PSL;3.08022;2.35699;0.3926
139;Józef Zych;PSL;10.37175;5.84123;2.6306
140;Kazimierz Gołojuch;PiS;7.23708;5.27284;2.9372
141;Kazimierz Moskal;PiS;3.33496;2.38349;1.1501
142;Killion Munyama;PO;48.61404;36.85328;20.5341
143;Konstanty Miodowicz;PO;20.03745;11.38865;3.5085
144;Krystyna Kłosin;PO;10.78235;5.30761;2.5287
145;Krystyna Ozga;PSL;4.81229;1.05617;1.4498
146;Krystyna Poślednia;PO;4.00259;1.50879;0.6880
147;Krystyna Skowrońska;PO;18.40811;13.70109;5.2775
148;Krzysztof Gadowski;PO;3.77975;2.82834;1.1610
149;Krzysztof Jurgiel;PiS;8.61831;5.78709;2.3220
150;Krzysztof Kłosowski;TR;20.91818;17.39027;10.2703
151;Krzysztof Kwiatkowski;PO;2.83743;2.46514;0.5446
152;Krzysztof Lipiec;PiS;10.37253;4.49684;1.3760
153;Krzysztof Popiołek;PiS;5.02330;2.44854;0.6880
154;Krzysztof Szczerski;PiS;70.40901;55.34263;22.4365
155;Krzysztof Tchórzewski;PiS;4.59100;3.04480;0.9443
156;Lech Kołakowski;PiS;6.73627;4.22683;2.5067
157;Leszek Dobrzyński;PiS;4.96333;2.34754;0.6880
158;Leszek Jastrzębski;PO;18.15124;15.43019;8.7486
159;Leszek Korzeniowski;PO;0.79545;0.38865;0.3473
160;Lidia Gądek;PO;4.59100;3.04480;0.9443
161;Ligia Krajewska;PO;10.58115;7.12099;8.9627
162;Łukasz Krupa;TR;69.66563;31.93698;14.9191
163;Łukasz Zbonikowski;PiS;135.62773;66.30328;30.4888
164;Maciej Banaszak;TR;22.63679;18.72127;11.4204
165;Maciej Mroczek;TR;58.74562;39.30144;15.5067
166;Maciej Orzechowski;PO;17.70196;9.63315;4.8416
167;Magdalena Kochan;PO;5.23114;3.88410;2.1339
168;Maks Kraczkowski;PiS;33.78781;27.78520;17.7165
169;Małgorzata Adamczak;PO;1.71861;1.33100;1.1501
170;Małgorzata Gosiewska;PiS;81.95197;41.06386;28.9376
171;Małgorzata Marcinkiewicz;BiG;4.44184;1.82605;0.6880
172;Małgorzata Marcinkiewicz;TR;19.08004;8.42809;6.9174
173;Małgorzata Sadurska;PiS;4.60169;3.52675;0.6729
174;Małgorzata Sekuła-Szmajdzińska;SLD;66.38132;49.97604;28.3345
175;Marcin Kierwiński;PO;14.75035;8.59755;2.7529
176;Marcin Święcicki;PO;41.64221;30.45341;13.0019
177;Marek Balt;SLD;9.20167;7.37821;3.4055
178;Marek Domaracki;SLD;4.42184;1.82605;0.6880
179;Marek Domaracki;TR;11.94997;3.69124;3.5828
180;Marek Gos;PSL;6.46803;4.69391;0.8347
181;Marek Krząkała;PO;39.89023;22.93067;7.9755
182;Marek Kuchciński;PiS;17.63034;16.46217;3.7645
183;Marek Łapiński;PO;7.01836;5.58033;3.3559
184;Marek Matuszewski;PiS;18.07126;10.43330;4.0212
185;Marek Opioła;PiS;150.93473;105.89487;59.9582
186;Marek Plura;PO;32.36078;20.25882;10.6279
187;Marek Poznański;TR;1.22370;1.04738;0.6880
188;Marek Rząsa;PO;13.83164;6.09174;2.0640
189;Marek Suski;PiS;5.62758;3.35669;1.4498
190;Marek Wojtkowski;PO;7.31033;2.98218;2.1330
191;Marek Wójcik;PO;18.87888;14.97968;7.1795
192;Maria Małgorzata Janyska;PO;4.00258;1.50879;0.6880
193;Maria Nowak;PiS;3.47577;2.77765;3.2497
194;Maria Zuba;PiS;16.39859;7.88657;2.0640
195;Mariusz Antoni Kamiński;PiS;162.03346;89.56577;37.7935
196;Mariusz Grad;PO;87.04389;47.62226;16.6836
197;Mariusz Orion Jędrysek;PiS;6.67718;5.41590;0.5247
198;Mariusz Orion Jędrysek;SP;3.96442;3.28556;0.5614
199;Marzena Dorota Wróbel;niez.;4.99606;2.38027;0.6880
200;Marzena Dorota Wróbel;SP;39.93162;29.81562;16.6479
201;Michał Jaros;PO;10.72693;5.15177;2.8210
202;Michał Szczerba;PO;133.16034;83.58807;43.7465
203;Mieczysław Marcin Łuczak;PSL;7.76641;3.28600;1.0871
204;Miron Sycz;PO;43.64302;26.32759;10.9565
205;Mirosław Koźlakiewicz;PO;3.08966;2.54318;0.3926
206;Mirosława Nykiel;PO;52.94293;29.69477;11.9986
207;Monika Wielichowska;PO;0.64124;0.55714;0.3300
208;Norbert Wojnarowski;PO;9.27435;8.54170;13.8826
209;Paweł Arndt;PO;47.38778;24.54677;14.0179
210;Paweł Sajak;TR;4.53879;1.92727;1.2064
211;Paweł Suski;PO;15.15348;7.51774;1.9976
212;Piotr Chmielowski;SLD;28.13746;17.08176;9.6729
213;Piotr Chmielowski;TR;7.86607;4.71476;1.2059
214;Piotr Cieśliński;PO;13.82556;8.57651;2.1872
215;Piotr Naimski;PiS;31.09100;24.21361;9.0011
216;Piotr Paweł Bauć;TR;10.00258;5.48848;2.8599
217;Piotr Pyzik;PiS;23.02239;12.29271;7.2110
218;Piotr Vander Coghen;PO;30.43336;13.23677;7.7750
219;Piotr Zgorzelski;PSL;5.02899;2.44854;0.6880
220;Radosław Witkowski;PO;3.78116;2.27357;1.5976
221;Rajmund Miller;PO;0.54826;0.11585;0.3473
222;Renata Butryn;PO;99.07686;68.46327;31.9025
223;Robert Biedroń;TR;129.87323;64.49599;26.5975
224;Robert Kołakowski;PiS;3.38341;1.91455;1.1390
225;Robert Kropiwnicki;PO;5.24279;1.77653;1.2686
226;Robert Telus;PiS;0.86500;0.86500;1.3153
227;Robert Tyszkiewicz;PO;30.99115;27.24907;13.3279
228;Roman Jacek Kosecki;PO;1.71861;1.33100;1.1501
229;Roman Kaczor;PO;10.89624;10.07264;13.8826
230;Ryszard Galla;niez.;8.41057;4.62466;1.8104
231;Ryszard Kalisz;niez.;6.37428;4.99853;2.4541
232;Ryszard Kalisz;SLD;117.54590;95.41762;48.8896
233;Ryszard Zawadzki;PO;4.99606;2.38027;0.6880
234;Sławomir Jan Piechota;PO;14.93032;9.35122;3.7718
235;Sławomir Kopyciński;TR;12.96626;12.14266;6.9413
236;Sławomir Zawiślak;PiS;1.22370;1.04738;0.6880
237;Stanisław Huskowski;PO;64.14793;37.31189;18.0021
238;Stanisław Kalemba;PSL;3.89864;2.89861;1.1610
239;Stanisław Pięta;PiS;2.59649;2.45509;0.5446
240;Stanisław Piotrowicz;PiS;6.36740;1.77653;1.2686
241;Stanisław Szwed;PiS;3.48611;3.19954;0.8112
242;Stanisław Wziątek;SLD;39.16081;30.64518;15.6445
243;Stanisław Żmijan;PO;4.76335;3.69097;1.3609
244;Stanisława Prządka;SLD;28.94051;19.01171;10.6642
245;Stefan Niesiołowski;PO;11.74923;7.50321;4.4584
246;Tadeusz Arkit;PO;11.73801;7.08415;2.9132
247;Tadeusz Aziewicz;PO;44.05545;35.44603;11.2740
248;Tadeusz Iwiński;SLD;398.29915;270.95095;132.2278
249;Tadeusz Tomaszewski;SLD;22.04636;11.68240;11.0393
250;Tadeusz Woźniak;SP;3.61753;3.06308;3.2231
251;Teresa Piotrowska;PO;9.85868;9.03508;6.9413
252;Tomasz Garbowski;SLD;71.73566;36.85726;19.8554
253;Tomasz Głogowski;PO;11.83216;11.59323;2.8420
254;Tomasz Kamiński;SLD;12.38294;7.21672;4.1154
255;Tomasz Latos;PiS;57.50396;45.96811;32.9205
256;Tomasz Lenz;PO;35.24749;21.28205;12.3924
257;Tomasz Makowski;TR;15.73053;7.32152;3.3656
258;Tomasz Piotr Nowak;PO;3.51151;2.58776;1.8283
259;Urszula Augustyn;PO;10.06205;8.31398;2.2350
