"Lp";"Data";"Gdzie";"PanstwoMiasto";"Posel";"Klub";"NrWnioski";"Ktransp";"Kdiet";"Khoteli";"Kdojazdow";"Ubezp";"WydatkFundusz";"RozniceKurs";"Zaliczki";"Klacznie";"PoCo";"Coords";"Dist";"Kmlline"
472;"17-20.09.2013";"USA: Waszyngton";"USA, Waszyngton";"Tadeusz Iwiński";"SLD";"240/13";14403,61;1002,58;1429,53;0;0;0;-30,41;0;16866,13;"Konferencja Parlamentarnego Forum na Rzecz Demokracji";"38.9071923 -77.0368707 0";7179.5;"<LineString><coordinates>-77.0368707,38.9071923 21.028075,52.225208</coordinates></LineString>"
473;"19-22.09.2013";"UKRAINA: Jałta";"UKRAINA, Jałta";"Marcin Święcicki";"PO";"224/13";2506,86;255,11;793,88;0;0;0;-42,65;0;3598,5;"X doroczna konferencja 'UKRAINA: i Świat - razem wobec wyzwań przyszłości'";"44.495205 34.166301 0";1293.1;"<LineString><coordinates>34.166301,44.495205 21.028075,52.225208</coordinates></LineString>"
474;"19-22.09.2013";"UKRAINA: Jałta";"UKRAINA, Jałta";"Ryszard Kalisz";"niez.";"243/13";1809,75;253,23;783,19;0;0;0;-7,17;0;2853,34;"X doroczna konferencja 'UKRAINA: i Świat - razem wobec wyzwań przyszłości'";"44.495205 34.166301 0";1293.1;"<LineString><coordinates>34.166301,44.495205 21.028075,52.225208</coordinates></LineString>"
475;"19-23.09.2013";"NIEMCY: Berlin";"NIEMCY, Berlin";"Marek Krząkała";"PO";"244/13";0;365,29;0;0;0;0;0;0;365,29;"Wizyta studyjna - 'Program dialogu dla polityków i parlamentarzystów z Europy Środkowej,Wschodniej i południowo-wschodniej i z Armenii'";"52.5200066 13.404954 0";518.4;"<LineString><coordinates>13.404954,52.5200066 21.028075,52.225208</coordinates></LineString>"
476;"19-23.09.2013";"ROSJA: Ułan-Ude";"ROSJA, Ułan-Ude";"Arkady Fiedler";"PO";"245/13";7918,87;1270,18;1777,45;0;0;0;-12,79;0;10979,29;"LPG Udział w obchodach 20. rocznicy działalności Autonomii Polaków 'Nadzieja'";"51.8238785 107.607338 0";5550.6;"<LineString><coordinates>107.607338,51.8238785 21.028075,52.225208</coordinates></LineString>"
476;"19-23.09.2013";"ROSJA: Ułan-Ude";"ROSJA, Ułan-Ude";"Wojciech Ziemniak";"PO";"245/13";7918,87;1270,18;1777,45;0;0;0;-13,24;0;10979,74;"LPG Udział w obchodach 20. rocznicy działalności Autonomii Polaków 'Nadzieja'";"51.8238785 107.607338 0";5550.6;"<LineString><coordinates>107.607338,51.8238785 21.028075,52.225208</coordinates></LineString>"
477;"19-23.09.2013";"ROSJA: Moskwa";"ROSJA, Moskwa";"Ireneusz Raś";"PO";"246/13";1331;387,62;0;0;0;0;0;0;1718,62;"KFS  Udział w Międzynarodowym Turnieju Parlamentarnym organizowanym w związku z obchodami 20. rocznicy ukonstytuowania Dumy Państwowej Federacji Rosyjskiej, spotkania parlamentarne.";"55.755826 37.6173 0";1150.1;"<LineString><coordinates>37.6173,55.755826 21.028075,52.225208</coordinates></LineString>"
477;"19-23.09.2013";"ROSJA: Moskwa";"ROSJA, Moskwa";"Andrzej Biernat";"PO";"246/13";1331;387,61;0;0;0;0;0;0;1718,61;"KFS  Udział w Międzynarodowym Turnieju Parlamentarnym organizowanym w związku z obchodami 20. rocznicy ukonstytuowania Dumy Państwowej Federacji Rosyjskiej, spotkania parlamentarne.";"55.755826 37.6173 0";1150.1;"<LineString><coordinates>37.6173,55.755826 21.028075,52.225208</coordinates></LineString>"
477;"19-23.09.2013";"ROSJA: Moskwa";"ROSJA, Moskwa";"Cezary Kucharski";"PO";"246/13";1529,59;268,36;0;0;0;0;0;0;1797,95;"KFS  Udział w Międzynarodowym Turnieju Parlamentarnym organizowanym w związku z obchodami 20. rocznicy ukonstytuowania Dumy Państwowej Federacji Rosyjskiej, spotkania parlamentarne.";"55.755826 37.6173 0";1150.1;"<LineString><coordinates>37.6173,55.755826 21.028075,52.225208</coordinates></LineString>"
477;"19-23.09.2013";"ROSJA: Moskwa";"ROSJA, Moskwa";"Andrzej Buła";"PO";"246/13";1331;387,61;0;0;0;0;0;0;1718,61;"KFS  Udział w Międzynarodowym Turnieju Parlamentarnym organizowanym w związku z obchodami 20. rocznicy ukonstytuowania Dumy Państwowej Federacji Rosyjskiej, spotkania parlamentarne.";"55.755826 37.6173 0";1150.1;"<LineString><coordinates>37.6173,55.755826 21.028075,52.225208</coordinates></LineString>"
477;"19-23.09.2013";"ROSJA: Moskwa";"ROSJA, Moskwa";"Tomasz Garbowski";"SLD";"246/13";1331;313,08;0;0;0;0;0;0;1644,08;"KFS  Udział w Międzynarodowym Turnieju Parlamentarnym organizowanym w związku z obchodami 20. rocznicy ukonstytuowania Dumy Państwowej Federacji Rosyjskiej, spotkania parlamentarne.";"55.755826 37.6173 0";1150.1;"<LineString><coordinates>37.6173,55.755826 21.028075,52.225208</coordinates></LineString>"
477;"19-23.09.2013";"ROSJA: Moskwa";"ROSJA, Moskwa";"Jakub Rutnicki";"PO";"246/13";1331;387,62;0;0;0;0;0;0;1718,62;"KFS  Udział w Międzynarodowym Turnieju Parlamentarnym organizowanym w związku z obchodami 20. rocznicy ukonstytuowania Dumy Państwowej Federacji Rosyjskiej, spotkania parlamentarne.";"55.755826 37.6173 0";1150.1;"<LineString><coordinates>37.6173,55.755826 21.028075,52.225208</coordinates></LineString>"
477;"19-23.09.2013";"ROSJA: Moskwa";"ROSJA, Moskwa";"Grzegorz Raniewicz";"PO";"246/13";1331;387,61;0;0;0;0;0;0;1718,61;"KFS  Udział w Międzynarodowym Turnieju Parlamentarnym organizowanym w związku z obchodami 20. rocznicy ukonstytuowania Dumy Państwowej Federacji Rosyjskiej, spotkania parlamentarne.";"55.755826 37.6173 0";1150.1;"<LineString><coordinates>37.6173,55.755826 21.028075,52.225208</coordinates></LineString>"
477;"19-23.09.2013";"ROSJA: Moskwa";"ROSJA, Moskwa";"Maciej Banaszak";"TR";"246/13";1331;387,61;0;0;0;0;0;0;1718,61;"KFS  Udział w Międzynarodowym Turnieju Parlamentarnym organizowanym w związku z obchodami 20. rocznicy ukonstytuowania Dumy Państwowej Federacji Rosyjskiej, spotkania parlamentarne.";"55.755826 37.6173 0";1150.1;"<LineString><coordinates>37.6173,55.755826 21.028075,52.225208</coordinates></LineString>"
477;"19-23.09.2013";"ROSJA: Moskwa";"ROSJA, Moskwa";"Małgorzata Adamczak";"PO";"246/13";1331;387,61;0;0;0;0;0;0;1718,61;"KFS  Udział w Międzynarodowym Turnieju Parlamentarnym organizowanym w związku z obchodami 20. rocznicy ukonstytuowania Dumy Państwowej Federacji Rosyjskiej, spotkania parlamentarne.";"55.755826 37.6173 0";1150.1;"<LineString><coordinates>37.6173,55.755826 21.028075,52.225208</coordinates></LineString>"
477;"19-23.09.2013";"ROSJA: Moskwa";"ROSJA, Moskwa";"Andrzej Dera";"SP";"246/13";1331;387,61;0;0;0;0;0;0;1718,61;"KFS  Udział w Międzynarodowym Turnieju Parlamentarnym organizowanym w związku z obchodami 20. rocznicy ukonstytuowania Dumy Państwowej Federacji Rosyjskiej, spotkania parlamentarne.";"55.755826 37.6173 0";1150.1;"<LineString><coordinates>37.6173,55.755826 21.028075,52.225208</coordinates></LineString>"
477;"19-23.09.2013";"ROSJA: Moskwa";"ROSJA, Moskwa";"Zbigniew Dolata";"PiS";"246/13";1331;387,61;0;0;0;0;0;0;1718,61;"KFS  Udział w Międzynarodowym Turnieju Parlamentarnym organizowanym w związku z obchodami 20. rocznicy ukonstytuowania Dumy Państwowej Federacji Rosyjskiej, spotkania parlamentarne.";"55.755826 37.6173 0";1150.1;"<LineString><coordinates>37.6173,55.755826 21.028075,52.225208</coordinates></LineString>"
477;"19-23.09.2013";"ROSJA: Moskwa";"ROSJA, Moskwa";"Dariusz Piontkowski";"PiS";"246/13";1331;387,61;0;0;0;0;0;0;1718,61;"KFS  Udział w Międzynarodowym Turnieju Parlamentarnym organizowanym w związku z obchodami 20. rocznicy ukonstytuowania Dumy Państwowej Federacji Rosyjskiej, spotkania parlamentarne.";"55.755826 37.6173 0";1150.1;"<LineString><coordinates>37.6173,55.755826 21.028075,52.225208</coordinates></LineString>"
477;"19-23.09.2013";"ROSJA: Moskwa";"ROSJA, Moskwa";"Roman Jacek Kosecki";"PO";"246/13";1331;387,61;0;0;0;0;0;0;1718,61;"KFS  Udział w Międzynarodowym Turnieju Parlamentarnym organizowanym w związku z obchodami 20. rocznicy ukonstytuowania Dumy Państwowej Federacji Rosyjskiej, spotkania parlamentarne.";"55.755826 37.6173 0";1150.1;"<LineString><coordinates>37.6173,55.755826 21.028075,52.225208</coordinates></LineString>"
477;"19-23.09.2013";"ROSJA: Moskwa";"ROSJA, Moskwa";"Grzegorz Janik";"PiS";"246/13";1331;387,61;0;0;0;0;0;0;1718,61;"KFS  Udział w Międzynarodowym Turnieju Parlamentarnym organizowanym w związku z obchodami 20. rocznicy ukonstytuowania Dumy Państwowej Federacji Rosyjskiej, spotkania parlamentarne.";"55.755826 37.6173 0";1150.1;"<LineString><coordinates>37.6173,55.755826 21.028075,52.225208</coordinates></LineString>"
478;"19-25.09.2013";"CHINY Pekin";"CHINY, Pekin";"Jerzy Wenderlich";"SLD";"241/13";8037,24;1264,09;0;0;0;0;-41,96;0;9343,29;"Udział w 5.Dniu Parlamentarnym przygotowanym  w ramach 64 Międzynarodowego Kongresu Astronautycznego (IAC)- wygłoszenie wystąpienia przez Wicemarszałka J. Wenderlicha, udział delegacji w spotkaniach towarzyszących.";"39.904211 116.407395 0";6941.3;"<LineString><coordinates>116.407395,39.904211 21.028075,52.225208</coordinates></LineString>"
478;"19-25.09.2013";"CHINY Pekin";"CHINY, Pekin";"Bogusław Wontor";"SLD";"241/13";8068,24;1475,92;3492,79;0;0;0;-6,73;0;13043,68;"Udział w 5.Dniu Parlamentarnym przygotowanym  w ramach 64 Międzynarodowego Kongresu Astronautycznego (IAC)- wygłoszenie wystąpienia przez Wicemarszałka J. Wenderlicha, udział delegacji w spotkaniach towarzyszących.";"39.904211 116.407395 0";6941.3;"<LineString><coordinates>116.407395,39.904211 21.028075,52.225208</coordinates></LineString>"
478;"19-25.09.2013";"CHINY Pekin";"CHINY, Pekin";"Jadwiga Wiśniewska";"PiS";"241/13";8068,24;1475,92;3492,79;0;0;0;-6,73;0;13043,68;"Udział w 5.Dniu Parlamentarnym przygotowanym  w ramach 64 Międzynarodowego Kongresu Astronautycznego (IAC)- wygłoszenie wystąpienia przez Wicemarszałka J. Wenderlicha, udział delegacji w spotkaniach towarzyszących.";"39.904211 116.407395 0";6941.3;"<LineString><coordinates>116.407395,39.904211 21.028075,52.225208</coordinates></LineString>"
478;"19-25.09.2013";"CHINY Pekin";"CHINY, Pekin";"Tomasz Lenz";"PO";"241/13";8068,24;1475,92;3492,79;0;0;0;-6,73;0;13043,68;"Udział w 5.Dniu Parlamentarnym przygotowanym  w ramach 64 Międzynarodowego Kongresu Astronautycznego (IAC)- wygłoszenie wystąpienia przez Wicemarszałka J. Wenderlicha, udział delegacji w spotkaniach towarzyszących.";"39.904211 116.407395 0";6941.3;"<LineString><coordinates>116.407395,39.904211 21.028075,52.225208</coordinates></LineString>"
479;"21-24.09.2013";"IZRAEL Jerozolima";"IZRAEL, Jerozolima";"Jan Dziedziczak";"PiS";"248/13";0;878,39;0;0;0;0;0;0;878,39;"Konferencja Israel Allies Foundation";"31.768319 35.21371 0";2548.8;"<LineString><coordinates>35.21371,31.768319 21.028075,52.225208</coordinates></LineString>"
480;"22-25.09.2013";"JORDANIA: Amman";"JORDANIA, Amman";"Witold Waszczykowski";"PiS";"249/13";5022,54;682,71;1798,64;0;0;256,66;-16,79;0;7777,34;"ZP NATO Komisja Obywatelskiego Wymiaru Bezpieczeństwa";"31.9565783 35.9456951 0";2556.8;"<LineString><coordinates>35.9456951,31.9565783 21.028075,52.225208</coordinates></LineString>"
481;"24-26.09.2013";"WĘGRY Budapeszt";"WĘGRY, Budapeszt";"Grzegorz Napieralski";"SLD";"252/13";2461,96;377,96;725,23;0;0;0;-2,56;0;3567,71;"IŚE  Obrady Zgromadzenia Parlamentarnego";"47.497912 19.040235 0";544.6;"<LineString><coordinates>19.040235,47.497912 21.028075,52.225208</coordinates></LineString>"
482;"24-30.09.2013";"CHINY Xi'an";"CHINY, Xi'an";"Bartłomiej Bodio";"ID";"250/13";6031,35;1724,78;3965,53;0;0;0;-7,33;0;11728,99;"INF  III Euro-Azjatyckie Forum 'Low Carbon Earth Summi-2013'";"34.341568 108.940175 0";6931.9;"<LineString><coordinates>108.940175,34.341568 21.028075,52.225208</coordinates></LineString>"
483;"28.09- 4.10.2013";"TAJWAN Taipei";"TAJWAN, Taipei";"Małgorzata Adamczak";"PO";"255/13";0;473,42;0;0;0;0;0;0;473,42;"Wyjazd na zaproszenie Biura Gospodarczego i Kulturalnego Tajpej w Warszawie";"25.0329694 121.5654177 0";8510.4;"<LineString><coordinates>121.5654177,25.0329694 21.028075,52.225208</coordinates></LineString>"
483;"28.09- 4.10.2013";"TAJWAN Taipei";"TAJWAN, Taipei";"Tomasz Piotr Nowak";"PO";"255/13";0;473,42;0;0;0;0;0;0;473,42;"Wyjazd na zaproszenie Biura Gospodarczego i Kulturalnego Tajpej w Warszawie";"25.0329694 121.5654177 0";8510.4;"<LineString><coordinates>121.5654177,25.0329694 21.028075,52.225208</coordinates></LineString>"
483;"28.09- 4.10.2013";"TAJWAN Taipei";"TAJWAN, Taipei";"Jerzy Polaczek";"PiS";"255/13";0;473,42;0;0;0;0;0;0;473,42;"Wyjazd na zaproszenie Biura Gospodarczego i Kulturalnego Tajpej w Warszawie";"25.0329694 121.5654177 0";8510.4;"<LineString><coordinates>121.5654177,25.0329694 21.028075,52.225208</coordinates></LineString>"
483;"28.09- 4.10.2013";"TAJWAN Taipei";"TAJWAN, Taipei";"Krystyna Sibińska";"PO";"255/13";0;473,42;0;0;0;0;0;0;473,42;"Wyjazd na zaproszenie Biura Gospodarczego i Kulturalnego Tajpej w Warszawie";"25.0329694 121.5654177 0";8510.4;"<LineString><coordinates>121.5654177,25.0329694 21.028075,52.225208</coordinates></LineString>"
483;"28.09- 4.10.2013";"TAJWAN Taipei";"TAJWAN, Taipei";"Marcin Święcicki";"PO";"255/13";0;473,43;0;0;0;0;0;0;473,43;"Wyjazd na zaproszenie Biura Gospodarczego i Kulturalnego Tajpej w Warszawie";"25.0329694 121.5654177 0";8510.4;"<LineString><coordinates>121.5654177,25.0329694 21.028075,52.225208</coordinates></LineString>"
484;"28.09- 7.10.2013";"USA: Chicago";"USA, Chicago";"Krystyna Pawłowicz";"PiS";"229/13";0;732,87;0;0;0;0;0;0;732,87;"Wykłady na temat polskiego parlamentaryzmu oraz konstytucji";"41.8781136 -87.6297982 0";7512.9;"<LineString><coordinates>-87.6297982,41.8781136 21.028075,52.225208</coordinates></LineString>"
485;"29.09- 1.10.2013";"FINLANDIA Helsinki";"FINLANDIA, Helsinki";"Zofia Czernow";"PO";"254/13";2262,69;299,01;0;0;0;0;0;0;2561,7;"Wyjazd delegacji Polsko-Fińskiej Grupy Parlamentarnej";"60.1733244 24.9410248 0";916.0;"<LineString><coordinates>24.9410248,60.1733244 21.028075,52.225208</coordinates></LineString>"
485;"29.09- 1.10.2013";"FINLANDIA Helsinki";"FINLANDIA, Helsinki";"Elżbieta Gelert";"PO";"254/13";2262,69;299,01;0;0;0;0;0;0;2561,7;"Wyjazd delegacji Polsko-Fińskiej Grupy Parlamentarnej";"60.1733244 24.9410248 0";916.0;"<LineString><coordinates>24.9410248,60.1733244 21.028075,52.225208</coordinates></LineString>"
485;"29.09- 1.10.2013";"FINLANDIA Helsinki";"FINLANDIA, Helsinki";"Agnieszka Kołacz-Leszczyńska";"PO";"254/13";2262,69;299,01;0;0;0;0;0;0;2561,7;"Wyjazd delegacji Polsko-Fińskiej Grupy Parlamentarnej";"60.1733244 24.9410248 0";916.0;"<LineString><coordinates>24.9410248,60.1733244 21.028075,52.225208</coordinates></LineString>"
485;"29.09- 1.10.2013";"FINLANDIA Helsinki";"FINLANDIA, Helsinki";"Grzegorz Sztolcman";"PO";"254/13";2262,69;299,01;0;0;0;0;0;0;2561,7;"Wyjazd delegacji Polsko-Fińskiej Grupy Parlamentarnej";"60.1733244 24.9410248 0";916.0;"<LineString><coordinates>24.9410248,60.1733244 21.028075,52.225208</coordinates></LineString>"
486;"29.09- 4.10.2013";"FRANCJA Strasburg";"FRANCJA, Strasburg";"Tadeusz Iwiński";"SLD";"253/13";3414,66;633,55;1056,21;0;0;0;0;0;5104,42;"ZPRE  4. część sesji 2013";"48.583148 7.747882 0";1022.8;"<LineString><coordinates>7.747882,48.583148 21.028075,52.225208</coordinates></LineString>"
486;"29.09- 4.10.2013";"FRANCJA Strasburg";"FRANCJA, Strasburg";"Robert Biedroń";"TR";"253/13";2962,49;2049,6;2338,14;0;0;0;-40,01;0;7390,24;"ZPRE  4. część sesji 2013";"48.583148 7.747882 0";1022.8;"<LineString><coordinates>7.747882,48.583148 21.028075,52.225208</coordinates></LineString>"
486;"29.09- 4.10.2013";"FRANCJA Strasburg";"FRANCJA, Strasburg";"Zbigniew Girzyński";"PiS";"253/13";2793,75;1614,85;766,6;0;0;0;-87,85;0;5263,05;"ZPRE  4. część sesji 2013";"48.583148 7.747882 0";1022.8;"<LineString><coordinates>7.747882,48.583148 21.028075,52.225208</coordinates></LineString>"
486;"29.09- 4.10.2013";"FRANCJA Strasburg";"FRANCJA, Strasburg";"Iwona Guzowska";"PO";"253/13";2953,47;1987,5;3726,54;0;0;0;-2,85;0;8670,36;"ZPRE  4. część sesji 2013";"48.583148 7.747882 0";1022.8;"<LineString><coordinates>7.747882,48.583148 21.028075,52.225208</coordinates></LineString>"
486;"29.09- 4.10.2013";"FRANCJA Strasburg";"FRANCJA, Strasburg";"Adam Hofman";"PiS";"253/13";3016,15;1242,19;2109,73;0;0;0;-19,44;0;6387,51;"ZPRE  4. część sesji 2013";"48.583148 7.747882 0";1022.8;"<LineString><coordinates>7.747882,48.583148 21.028075,52.225208</coordinates></LineString>"
486;"29.09- 4.10.2013";"FRANCJA Strasburg";"FRANCJA, Strasburg";"Mariusz Antoni Kamiński";"PiS";"253/13";3016,15;1490,62;2109,73;0;0;0;-18,95;0;6635,45;"ZPRE  4. część sesji 2013";"48.583148 7.747882 0";1022.8;"<LineString><coordinates>7.747882,48.583148 21.028075,52.225208</coordinates></LineString>"
486;"29.09- 4.10.2013";"FRANCJA Strasburg";"FRANCJA, Strasburg";"Jan Kaźmierczak";"PO";"253/13";2456;1770,21;3011,04;0;0;0;-22;0;7259,25;"ZPRE  4. część sesji 2013";"48.583148 7.747882 0";1022.8;"<LineString><coordinates>7.747882,48.583148 21.028075,52.225208</coordinates></LineString>"
486;"29.09- 4.10.2013";"FRANCJA Strasburg";"FRANCJA, Strasburg";"Arkadiusz Mularczyk";"SP";"253/13";2911,34;1708,12;2244,44;0;0;0;-42,44;0;6906,34;"ZPRE  4. część sesji 2013";"48.583148 7.747882 0";1022.8;"<LineString><coordinates>7.747882,48.583148 21.028075,52.225208</coordinates></LineString>"
486;"29.09- 4.10.2013";"FRANCJA Strasburg";"FRANCJA, Strasburg";"Adam Rogacki";"PiS";"253/13";3016,15;1490,62;2109,73;0;0;0;-68,8;0;6685,3;"ZPRE  4. część sesji 2013";"48.583148 7.747882 0";1022.8;"<LineString><coordinates>7.747882,48.583148 21.028075,52.225208</coordinates></LineString>"
486;"29.09- 4.10.2013";"FRANCJA Strasburg";"FRANCJA, Strasburg";"Łukasz Zbonikowski";"PiS";"253/13";2862,45;2235,92;2020,85;0;0;0;-48,51;0;7167,73;"ZPRE  4. część sesji 2013";"48.583148 7.747882 0";1022.8;"<LineString><coordinates>7.747882,48.583148 21.028075,52.225208</coordinates></LineString>"
487;"1-2.10.2013";"BELGIA Bruksela";"BELGIA, Bruksela";"Krzysztof Szczerski";"PiS";"257/13";3642,66;316,95;592,04;0;0;0;-2,72;0;4554,37;"UE  Doroczna debata polityków z krajów UE pt. 'The State of Europe'";"50.8503396 4.3517103 0";1161.0;"<LineString><coordinates>4.3517103,50.8503396 21.028075,52.225208</coordinates></LineString>"
488;"2-8.10.2013";"USA: Nowy Jork";"USA, Nowy Jork";"Adam Kwiatkowski";"PiS";"259/13";6752,11;1714,61;5361,62;0;0;0;-39,33;0;13867,67;"LPG 76. Parada Dni Pułaskiego oraz spotkania z organizacjami i środowiskami polonijnymi";"40.7127837 -74.0059413 0";6856.1;"<LineString><coordinates>-74.0059413,40.7127837 21.028075,52.225208</coordinates></LineString>"
489;"4-7.10.2013";"IZRAEL Tel Awiw";"IZRAEL, Tel Awiw";"Eugeniusz Tomasz Grzeszczak";"PSL";"258/13";3271,03;710,2;2230,06;0;0;0;0;0;6211,29;"udział w uroczystościach 25. lecia Izby Handlowej Izrael-Polska";"32.0852999 34.7817676 0";2500.6;"<LineString><coordinates>34.7817676,32.0852999 21.028075,52.225208</coordinates></LineString>"
489;"4-7.10.2013";"IZRAEL Tel Awiw";"IZRAEL, Tel Awiw";"Beata Małecka-Libera";"PO";"258/13";2990,75;523,31;1170,38;0;0;0;-9,65;0;4694,09;"udział w uroczystościach 25. lecia Izby Handlowej Izrael-Polska";"32.0852999 34.7817676 0";2500.6;"<LineString><coordinates>34.7817676,32.0852999 21.028075,52.225208</coordinates></LineString>"
490;"5-8.10.2013";"GRUZJA Tbilisi";"GRUZJA, Tbilisi";"Agnieszka Pomaska";"PO";"262/13";2796,47;186,12;0;0;0;0;0;0;2982,59;"SUE  Konferencja 'Gruzja przed szczytem w Wilnie'";"41.716667 44.783333 0";2133.0;"<LineString><coordinates>44.783333,41.716667 21.028075,52.225208</coordinates></LineString>"
491;"6-10.10.2013";"SZWAJCARIA Genewa";"SZWAJCARIA, Genewa";"Izabela Kloc";"PiS";"256/13";1773,35;1998,99;2419,85;0;0;0;0;0;6192,19;"UM 129 sesja Unii Międzyparlamentarnej oraz spotkanie Stowarzyszenia Sekretarzy Generalnych";"46.1983922 6.1422961 0";1268.6;"<LineString><coordinates>6.1422961,46.1983922 21.028075,52.225208</coordinates></LineString>"
491;"6-10.10.2013";"SZWAJCARIA Genewa";"SZWAJCARIA, Genewa";"Beata Mazurek";"PiS";"256/13";1773,35;1998,99;3928,78;0;0;0;0;0;7701,12;"UM 129 sesja Unii Międzyparlamentarnej oraz spotkanie Stowarzyszenia Sekretarzy Generalnych";"46.1983922 6.1422961 0";1268.6;"<LineString><coordinates>6.1422961,46.1983922 21.028075,52.225208</coordinates></LineString>"
491;"6-10.10.2013";"SZWAJCARIA Genewa";"SZWAJCARIA, Genewa";"Franciszek Jerzy Stefaniuk";"PSL";"256/13";1773,35;1998,99;2419,85;0;0;0;0;0;6192,19;"UM 129 sesja Unii Międzyparlamentarnej oraz spotkanie Stowarzyszenia Sekretarzy Generalnych";"46.1983922 6.1422961 0";1268.6;"<LineString><coordinates>6.1422961,46.1983922 21.028075,52.225208</coordinates></LineString>"
492;"6-10.10.2013";"AZERBEJDŻAN Baku";"AZERBEJDŻAN, Baku";"Tadeusz Iwiński";"SLD";"260/13";4290,94;1141,07;2712,47;0;0;0;-0,64;0;8145,12;"ZPRE  Obserwacja wyborów prezydenckich - jako przedstawiciel Grupy Socjalistycznej";"40.4092617 49.8670924 0";2550.2;"<LineString><coordinates>49.8670924,40.4092617 21.028075,52.225208</coordinates></LineString>"
493;"7-10.10.2013";"AZERBEJDŻAN Baku";"AZERBEJDŻAN, Baku";"Zbigniew Girzyński";"PiS";"267/13";0;265,62;0;0;0;0;0;0;265,62;"Obserwacja wyborów prezydenckich w ramach działań The European Academy of Election Observations (EAEO)";"40.4092617 49.8670924 0";2550.2;"<LineString><coordinates>49.8670924,40.4092617 21.028075,52.225208</coordinates></LineString>"
493;"7-10.10.2013";"AZERBEJDŻAN Baku";"AZERBEJDŻAN, Baku";"Mariusz Antoni Kamiński";"PiS";"267/13";0;265,62;0;0;0;0;0;0;265,62;"Obserwacja wyborów prezydenckich w ramach działań The European Academy of Election Observations (EAEO)";"40.4092617 49.8670924 0";2550.2;"<LineString><coordinates>49.8670924,40.4092617 21.028075,52.225208</coordinates></LineString>"
493;"7-10.10.2013";"AZERBEJDŻAN Baku";"AZERBEJDŻAN, Baku";"Maks Kraczkowski";"PiS";"267/13";0;265,62;0;0;0;0;0;0;265,62;"Obserwacja wyborów prezydenckich w ramach działań The European Academy of Election Observations (EAEO)";"40.4092617 49.8670924 0";2550.2;"<LineString><coordinates>49.8670924,40.4092617 21.028075,52.225208</coordinates></LineString>"
493;"7-10.10.2013";"AZERBEJDŻAN Baku";"AZERBEJDŻAN, Baku";"Tomasz Latos";"PiS";"267/13";0;265,63;0;0;0;0;0;0;265,63;"Obserwacja wyborów prezydenckich w ramach działań The European Academy of Election Observations (EAEO)";"40.4092617 49.8670924 0";2550.2;"<LineString><coordinates>49.8670924,40.4092617 21.028075,52.225208</coordinates></LineString>"
494;"10-15.10.2013";"CHORWACJA Dubrownik";"CHORWACJA, Dubrownik";"Marek Opioła";"PiS";"263/13";3638,94;446,35;1237,03;0;0;0;-22,38;0;5344,7;"ZP NATO  Doroczna sesja";"42.6506606 18.0944238 0";1087.1;"<LineString><coordinates>18.0944238,42.6506606 21.028075,52.225208</coordinates></LineString>"
494;"10-15.10.2013";"CHORWACJA Dubrownik";"CHORWACJA, Dubrownik";"Paweł Arndt";"PO";"263/13";3780;856,35;1855,54;0;0;0;-2,68;0;6494,57;"ZP NATO  Doroczna sesja";"42.6506606 18.0944238 0";1087.1;"<LineString><coordinates>18.0944238,42.6506606 21.028075,52.225208</coordinates></LineString>"
494;"10-15.10.2013";"CHORWACJA Dubrownik";"CHORWACJA, Dubrownik";"Cezary Tomczyk";"PO";"263/13";3780;856,35;1855,54;0;0;0;-2,68;0;6494,57;"ZP NATO  Doroczna sesja";"42.6506606 18.0944238 0";1087.1;"<LineString><coordinates>18.0944238,42.6506606 21.028075,52.225208</coordinates></LineString>"
494;"10-15.10.2013";"CHORWACJA Dubrownik";"CHORWACJA, Dubrownik";"Jan Dziedziczak";"PiS";"263/13";3299;1385,73;3092,57;0;0;0;-5,07;0;7782,37;"ZP NATO  Doroczna sesja";"42.6506606 18.0944238 0";1087.1;"<LineString><coordinates>18.0944238,42.6506606 21.028075,52.225208</coordinates></LineString>"
494;"10-15.10.2013";"CHORWACJA Dubrownik";"CHORWACJA, Dubrownik";"Anna Fotyga";"PiS";"263/13";3732,51;1012,03;1855,54;0;0;0;-2,97;0;6603,05;"ZP NATO  Doroczna sesja";"42.6506606 18.0944238 0";1087.1;"<LineString><coordinates>18.0944238,42.6506606 21.028075,52.225208</coordinates></LineString>"
494;"10-15.10.2013";"CHORWACJA Dubrownik";"CHORWACJA, Dubrownik";"Beata Kempa";"SP";"263/13";3838;1121,04;2474,06;0;0;0;-1,67;0;7434,77;"ZP NATO  Doroczna sesja";"42.6506606 18.0944238 0";1087.1;"<LineString><coordinates>18.0944238,42.6506606 21.028075,52.225208</coordinates></LineString>"
494;"10-15.10.2013";"CHORWACJA Dubrownik";"CHORWACJA, Dubrownik";"Mieczysław Marcin Łuczak";"PSL";"263/13";3286;1385,73;3092,57;0;0;0;-2,11;0;7766,41;"ZP NATO  Doroczna sesja";"42.6506606 18.0944238 0";1087.1;"<LineString><coordinates>18.0944238,42.6506606 21.028075,52.225208</coordinates></LineString>"
