"Lp";"Data";"Gdzie";"PanstwoMiasto";"Posel";"Klub";"NrWnioski";"Ktransp";"Kdiet";"Khoteli";"Kdojazdow";"Ubezp";"WydatkFundusz";"RozniceKurs";"Zaliczki";"Klacznie";"PoCo";"Coords";"Dist";"Kmlline"
19;"12-17.01.2012";"KAZACHSTAN Astana, Ałmaty";"KAZACHSTAN, Astana";"Tadeusz Iwiński";"SLD";"1/12";8605,34;1408,76;2544,59;0;0;0;-36,75;0;12595,44;"ZPRE  Obserwacja wyborów parlamentarnych";"51.166667 71.433333 0";3405.5;"<LineString><coordinates>71.433333,51.166667 21.028075,52.225208</coordinates></LineString>"
20;"14-15.01.2012";"UKRAINA: Żytomierz";"UKRAINA, Żytomierz";"Jan Dziedziczak";"PiS";"4/12";2603,38;258,16;137,67;0;0;0;-2,84;0;3002,05;"LPG Spotkanie Opłatkowe Polonii Żytomierskiej";"50.25465 28.658667 0";574.3;"<LineString><coordinates>28.658667,50.25465 21.028075,52.225208</coordinates></LineString>"
21;"17-20.01.2012";"UKRAINA: Kijów";"UKRAINA, Kijów";"Miron Sycz";"PO";"6/12";2397,69;853,8;886,52;0;0;0;-8,32;0;4146,33;"Międzynarodowy Program Staży Parlamentarnych";"50.4501 30.5234 0";688.0;"<LineString><coordinates>30.5234,50.4501 21.028075,52.225208</coordinates></LineString>"
22;"18-19.01.2012";"NIEMCY: Berlin";"NIEMCY, Berlin";"Anna Fotyga";"PiS";"5/12";1519,09;191,66;719,64;0;0;0;0;0;2430,39;"SUE  Spotkanie przedstawicieli Komisji do Spraw Unijnych w ramach Trójkąta Weimarskiego";"52.5200066 13.404954 0";518.4;"<LineString><coordinates>13.404954,52.5200066 21.028075,52.225208</coordinates></LineString>"
22;"18-19.01.2012";"NIEMCY: Berlin";"NIEMCY, Berlin";"Andrzej Gałażewski";"PO";"5/12";1519,09;191,66;719,64;0;0;0;0;0;2430,39;"SUE  Spotkanie przedstawicieli Komisji do Spraw Unijnych w ramach Trójkąta Weimarskiego";"52.5200066 13.404954 0";518.4;"<LineString><coordinates>13.404954,52.5200066 21.028075,52.225208</coordinates></LineString>"
22;"18-19.01.2012";"NIEMCY: Berlin";"NIEMCY, Berlin";"Grzegorz Napieralski";"SLD";"5/12";1519,09;191,66;719,64;0;0;0;0;0;2430,39;"SUE  Spotkanie przedstawicieli Komisji do Spraw Unijnych w ramach Trójkąta Weimarskiego";"52.5200066 13.404954 0";518.4;"<LineString><coordinates>13.404954,52.5200066 21.028075,52.225208</coordinates></LineString>"
22;"18-19.01.2012";"NIEMCY: Berlin";"NIEMCY, Berlin";"Alicja Olechowska";"PO";"5/12";1519,09;191,66;719,64;0;0;0;0;0;2430,39;"SUE  Spotkanie przedstawicieli Komisji do Spraw Unijnych w ramach Trójkąta Weimarskiego";"52.5200066 13.404954 0";518.4;"<LineString><coordinates>13.404954,52.5200066 21.028075,52.225208</coordinates></LineString>"
22;"18-19.01.2012";"NIEMCY: Berlin";"NIEMCY, Berlin";"Agnieszka Pomaska";"PO";"5/12";3143,9;191,66;719,64;0;0;0;0;0;4055,2;"SUE  Spotkanie przedstawicieli Komisji do Spraw Unijnych w ramach Trójkąta Weimarskiego";"52.5200066 13.404954 0";518.4;"<LineString><coordinates>13.404954,52.5200066 21.028075,52.225208</coordinates></LineString>"
23;"21-27.01.2012";"FRANCJA Strasburg";"FRANCJA, Strasburg";"Robert Biedroń";"TR";"10/12";3017,15;1936,96;2793,31;0;0;0;-21,99;0;7769,41;"ZPRE  1 część sesji 2012";"48.583148 7.747882 0";1022.8;"<LineString><coordinates>7.747882,48.583148 21.028075,52.225208</coordinates></LineString>"
23;"21-27.01.2012";"FRANCJA Strasburg";"FRANCJA, Strasburg";"Zbigniew Girzyński";"PiS";"10/12";3040;1521,87;1844,64;0;0;0;-10,67;0;6417,18;"ZPRE  1 część sesji 2012";"48.583148 7.747882 0";1022.8;"<LineString><coordinates>7.747882,48.583148 21.028075,52.225208</coordinates></LineString>"
