cat;sex;fid;cntry1;name1;winner;name2;cntry2;score1;score2;time;round;comment;ippon;idr
52;F;38;CHN;LIU=Liping;L;BABAMURATOVA=Gulbadam; TKM;1 0 0= █ █;0= █ █;05:54;Round 2;;1;r2
52;F;37;BEL;VAN SNICK=Charline;L;GUICA=Ecaterina; CAN;1 0 0=;0=;00:42;Round 2;;1;r2
52;F;36;POR;RAMOS=Joana;L;WARASIHA=Kachakorn; THA;1 1 0=;0= █;03:18;Round 2;;1;r2
52;F;35;ESP;PEREZ BOX=Ana;L;DELGADO=Angelica; USA;1 1 0=;0=;01:11;Round 2;;1;r2
52;F;34;GEO;LEVYTSKA-SHUKVANI=Tetiana;R;NGUYEN=Thuy; VIE;0= █;1 0= █;04:00;Round 2;;0;r2
52;F;33;FRA;BUCHARD=Amandine;L;TSIORINIRINA=Tessia; MAD;1 0 0=;0= █;01:47;Round 2;;1;r2
52;F;32;POL;PERENC=Agata;L;FOFANA=Salimata; CIV;1 0 0=;0=;00:49;Round 1;;1;r1
52;F;31;HAI;ANESTOR=Sabiana;R;EASTON=Tinka; AUS;0=;1 1 0=;00:40;Round 1;;1;r1
52;F;30;NOR;RUBINSTEIN=Madelene;R;OLVERA=Luz; MEX;0= █;1 0=;06:01;Round 1;;0;r1
52;F;28;HUN;PUPP=Reka;L;CHITU=Andreea; ROU;1 1 0= █ █;0=;04:00;Round 1;;1;r1
52;F;27;RUS;KUZNETSOVA=Alesya;R;PARK=Da Sol; KOR;0= █;1 0= █;09:22;Round 1;;0;r1
52;F;26;BEL;RYHEUL=Amber;L;KHIN KHIN=Su; MYA;1 0 0=;0= █;01:07;Round 1;;1;r1
52;F;24;MGL;BISHRELT=Khorloodoi;L;CESAR=Taciana; GBS;1 0 0=;1 0= █;03:17;Round 1;;1;r1
52;F;23;ISR;PRIMO=Gefen;R;GILES=Chelsie; GBR;0= █ █;1 1 0= █;03:12;Round 1;;1;r1
52;F;22;TUR;KORKMAZ=Irem;R;LOPEZ SHERIFF=Estrella; ESP;0= █ █;0= █;03:54;Round 1;;0;r1
52;F;20;UZB;KELDIYOROVA=Diyora;L;DIOGO=Joana; POR;1 1 0= █;0=;00:46;Round 1;;1;r1
52;F;19;AZE;MAMMADALIYEVA=Gultaj;L;FERREIRA=Jacira; MOZ;1 0=;0= █ █;02:39;Round 1;;0;r1
52;F;18;DJI;ABDOURAHMAN=Raguib;R;PIMENTA=Larissa; BRA;0=;1 0 0=;00:50;Round 1;;1;r1
52;F;16;MAR;IRAOUI=Soumiya;R;GIUFFRIDA=Odette; ITA;0= █ █;1 0 0=;03:02;Round 1;;1;r1
52;F;15;MGL;LKHAGVASUREN=Sosorbaram;L;STANGAR=Anja; SLO;1 0=;0=;04:00;Round 1;;0;r1
52;F;14;HKG;TSUI=Shuk Ki;R;FLORIAN=Alexandra-Larisa; AZE;0= █;1 0 0=;01:47;Round 1;;1;r1
52;F;12;TKM;BABAMURATOVA=Gulbadam;L;LEGENTIL=Christianne; MRI;1 1 0=;0= █ █;03:56;Round 1;;1;r1
52;F;11;CHA;BARKA SEGUE=Fatime;R;LIU=Liping; CHN;0= █ █;1 1 0=;03:19;Round 1;;1;r1
52;F;10;SUI;KOCHER=Fabienne;R;GUICA=Ecaterina; CAN;0=;1 0 0=;00:59;Round 1;;1;r1
52;F;8;THA;WARASIHA=Kachakorn;L;KAKKO=Katri; FIN;1 0 0=;0=;00:29;Round 1;;1;r1
52;F;7;CPV;SILVA=Djamila;R;RAMOS=Joana; POR;0=;1 1 0=;02:56;Round 1;;1;r1
52;F;6;USA;DELGADO=Angelica;L;VALENTIM=Eleudis; BRA;1 0= █;0= █ █;05:12;Round 1;;0;r1
52;F;5;ESP;PEREZ BOX=Ana;L;PABULAYAN=Khrizzie; PHI;1 1 0=;0=;02:55;Round 1;;1;r1
52;F;4;VIE;NGUYEN=Thuy;L;KAZYULINA=Anna; KAZ;0= █;0= █ █;05:26;Round 1;;0;r1
52;F;3;GEO;LEVYTSKA-SHUKVANI=Tetiana;L;KALETA=Aleksandra; POL;1 1 0= █;0= █;02:58;Round 1;;1;r1
