TABLE 23;;;;;;;;;;
HYDRAULIC CEMENT:  WORLD PRODUCTION, BY COUNTRY1, 2;;;;;;;;;;
;;;;;;;;;;
(Thousand metric tons);;;;;;;;;;
;;;;;;;;;;
Country;;1999;;2000;;2001;;2002;2003e;
Sri Lanka ;;976; ;1,008; ;1,108; ;1,018;1,000;
Sudan ;;231; ;146; ;190; ;220;320;
Surinamee;;60; ;60; ;65;4;65;65;
Sweden;;2,298; ;2,651; ;2,600; ;2,700;2,650;
Switzerland  ;;3,548; ;3,771; ;3,950; ;4,000;3,800;
Syria;;5,134;r;4,631;r;5,428;r;5,450;5,450;
Taiwan;;18,283; ;17,572; ;18,128; ;19,363;18,474;
Tajikistan;;30; ;50; ;70; ;100;120;
Tanzania ;;833; ;833; ;900; ;1,026;1,186;
Thailand ;;25,354; ;25,499; ;27,913; ;36,842;32,530;
Togoe  ;;600; ;700; ;800; ;800;800;
Trinidad and Tobago;;688; ;743; ;708; ;744;750;
Tunisia;;4,864;;5,657; ;5,721; ;6,022;6,038;
Turkmenistane;;450;;450; ;450; ;450;450;
Turkey;;34,258; ;35,825; ;30,125; ;32,577;33,000;
Uganda ;;347; ;369;r;434;r;502;505;
Ukraine ;;5,828;;5,311; ;5,800; ;7,142;9,000;
United Arab Emiratese;;7,069;4;6,100; ;6,100; ;6,500;6,600;
United Kingdom;;12,697;;12,452; ;11,854; ;12,000;12,000;
United States, including Puerto Rico7;;87,777;;89,510; ;90,450;8;91,266;94,329;
Uruguay;;789; ;700;e;1,015; ;1,000;1,050;
Uzbekistane ;;4,471;4;3,521;4;4,000; ;4,000;4,000;
Venezuelae;;8,500; ;8,600; ;8,700; ;7,000;7,000;
Vietnam ;;10,489; ;13,298; ;15,374; ;19,481;22,600;
Yemene;;1,454;4;1,400; ;1,400; ;1,400;1,400;
Zambiae  ;;300; ;380; ;215;r, 4;230;480;
Zimbabwee;;1,000; ;1,000; ;800; ;600;400;
Total  ;;1,600,000; ;1,660,000;r;1,730,000; ;1,840,000;1,950,000;
eEstimated.  pPreliminary.  rRevised.  W  Withheld to avoid disclosing company proprietary data; not included in "Total."  -- Zero.;;;;;;;;;;
1World totals and estimated data are rounded to no more than three significant digits; may not add to totals shown.  Even where presented unrounded, ;;;;;;;;;;
reported data are believed to be accurate to no more than three significant digits.;;;;;;;;;;
2Table includes data available through August 17, 2004.  Data may include clinker exports for some countries.;;;;;;;;;;
3Data for year ending June 30 of that stated.;;;;;;;;;;
4Reported figure.;;;;;;;;;;
5Less than 1/2 unit.;;;;;;;;;;
6Data are revised to remove sales of cementitious materials other than finished cement.  Material sales removed (mostly fly ash and ground granulated ;;;;;;;;;;
blast furnace slag) amounted, in metric tons, to:  1999--939,907; 2000--1,020,113; 2001--1,129,356; 2002--1,099,044; and 2003--1,280,000.;;;;;;;;;;
7Portland and masonry cements only.;;;;;;;;;;
8Data are rounded to four significant digits.;;;;;;;;;;
