nrk;teryt;nro;adres;lwug;lkw;lkwzu;lgnw;lgw;freq;pgnw;lwug15;lkw15;lkwzu15;lgnw15;lgw15;freq15;pgnw15;dup.addr
7071;89606;321404;2;Szkoła Podstawowa 73-115 Dobropole Pyrzyckie 7;963;91;91;8;83;9.45;8.79;953;258;258;20;238;27.07;7.75;Szkoła Podstawowa w Dobropolu Pyrzyckim|Dobropole Pyrzyckie| 7 |73-115 Dolice
7074;89609;321404;5;Szkoła Podstawowa 73-115 Rzeplino 62;1135;125;125;14;111;11.01;11.2;1128;290;290;22;268;25.71;7.59;Szkoła Podstawowa w Rzeplinie|Rzeplino| 62 |73-115 Dolice
7075;89610;321404;6;Szkoła Podstawowa w Dolicach - budynek po byłej Szkole Podstawowej w Żalęcinie 73-115 Żalęcino 11;686;81;81;6;75;11.81;7.41;681;187;187;15;172;27.46;8.02;Szkoła Podstawowa w Dolicach - budynek po byłej szkole Podstawowej Żalęcino|Żalęcino| 11 |73-115 Dolice
7082;89616;321408;1;Świetlica Wiejska w Dzwonowie 73-121 Dzwonowo 24;576;60;60;6;54;10.42;10;580;184;184;23;161;31.72;12.5;Świetlicka Wiejska w Dzwonowie|Dzwonowo| 24 |73-121 Marianowo
7087;89621;321409;2;Szkoła Podstawowa 73-112 Parlino 17;877;64;64;6;58;7.3;9.38;932;283;283;33;250;30.36;11.66;Szkoła Podstawowa|Parlino| 17 |73-112 Stara Dąbrowa
7090;89624;321410;2;Szkoła Podstawowa 73-131 Pęzino 66;1500;118;118;12;106;7.87;10.17;1510;359;359;27;332;23.77;7.52;Szkoła Podstawowa im. Mikołaja Kopernika|Pęzino| 66 |73-131 Pęzino
7091;89625;321410;3;Świetlica Wiejska 73-131 Krąpiel 12b;703;80;80;10;70;11.38;12.5;686;220;220;19;201;32.07;8.64;Świetlica Wiejska|Krąpiel| 12b |73-131 Pęzino
7097;89631;321410;9;Świetlica Wiejska 73-110 Barzkowice 33B lokal: 1;553;83;83;7;76;15.01;8.43;545;204;204;21;183;37.43;10.29;Świetlica Wiejska|Barzkowice| 33B |73-110 Stargard Szczeciński
7126;91796;321501;24;„PATRONKA” Sp. z o. o. 78-400 Szczecinek ul. Lelewela 15;50;16;16;1;15;32;6.25;38;21;21;3;18;55.26;14.29;Patronka Sp. z o. o.|Szczecinek|Lelewela 15 |78-400 Szczecinek
7129;89660;321502;3;Świetlica wiejska 78-460 Białowąs 8;817;87;87;6;81;10.65;6.9;805;209;209;17;192;25.96;8.13;Świetlica wiejska|Białowąs| 8 |78-460 Barwice
7136;89667;321503;5;SZKOŁA PODSTAWOWA im. Juliana Tuwima w Drzonowie Filia Szkoły Podstawowej Nr 1 im. H. Sienkiewicza w Białym Borze 78-421 Drzonowo 48A;1122;166;166;10;156;14.8;6.02;1112;388;388;29;359;34.89;7.47;Szkoła Podstawowa im. Juliana Tuwima w Drzonowie Filia Szkoły Podstawowej nr 1 im. H. Sienkiewicza w Białym Borze|Drzonowo| 48A |78-421 Drzonowo
7145;89675;321505;3;Szkoła Podstawowa 78-451 Iwin 12A;522;48;48;6;42;9.2;12.5;523;170;170;12;158;32.5;7.06;Szkoła Podstawowa|Iwin| 12A |78-451 Przeradz
7146;89676;321505;4;Szkoła Podstawowa 78-452 Krosino ul. Szkolna 3;803;90;90;7;83;11.21;7.78;811;260;260;19;241;32.06;7.31;Budynek po byłej Szkole Podstawowej|Krosino|ul. Szkolna 3 |78-452 Krosino
7150;89680;321506;4;Szkoła Podstawowa w Turowie, filia w Jeleninie 78-400 Jelenino 38;461;71;71;5;66;15.4;7.04;468;174;174;14;160;37.18;8.05;Świetlica w Jeleninie|Jelenino| 38A |78-400 Szczecinek
7152;89682;321506;6;Szkoła Podstawowa 78-400 Żółtnica ul. Szkolna 13;875;103;103;8;95;11.77;7.77;885;287;287;18;269;32.43;6.27;Szkoła Podstawowa w Żółtnicy|Żółtnica|ul. Szkolna 13 |78-400 Szczecinek
7178;89707;321605;1;Ośrodek Kultury 78-314 Sławoborze ul. Kolejowa 6;790;102;102;7;95;12.91;6.86;791;282;282;19;263;35.65;6.74;Ośrodek Kultury|Sławoborze|ul. Kolejowa 6 |78-314 Sławoborze
7180;89709;321605;3;Szkoła Podstawowa 78-314 Sławoborze ul. Lipowa 19;948;54;54;9;45;5.7;16.67;955;214;214;13;201;22.41;6.07;Szkoła Podstawowa|Sławoborze|ul. Lipowa 19 |78-314 Sławoborze
7181;89710;321605;4;Świetlica Wiejska 78-314 Mysłowice 51;732;86;86;7;79;11.75;8.14;717;197;197;19;178;27.48;9.64;Świetlica Wiejska|Mysłowice| 51 |78-314 Sławoborze
7187;89715;321606;5;Świetlica Wiejska w Smardzku 78-300 Smardzko 14;696;79;79;10;69;11.35;12.66;679;221;221;16;205;32.55;7.24;Świetlica Wiejska w Smardzku|Smardzko| 14 |78-300 Świdwin
7205;89731;321702;2;Publiczne Gimnazjum im. Jana Pawła II 78-630 Człopa Plac Zwycięstwa 6;1357;58;58;7;51;4.27;12.07;1356;328;328;25;303;24.19;7.62;Publiczne Gimnazjum im. Jana Pawła II|Człopa|Plac Zwycięstwa 6 |78-630 Człopa
7207;89733;321702;4;Świetlica Wiejska 78-630 Wołowe Lasy 22;455;80;80;5;75;17.58;6.25;458;167;167;15;152;36.46;8.98;Świetlica Wiejska|Wołowe Lasy| 22 |78-630 Człopa
7218;89744;321704;6;Gminny Ośrodek Kultury 78-640 Tuczno ul. Wolności 26a;811;140;140;12;128;17.26;8.57;809;318;318;25;293;39.31;7.86;Gminny Ośrodek Kultury w Tucznie|Tuczno|Wolności 26a |78-640 Tuczno
7230;89756;321801;3;Szkoła Podstawowa 72-210 Wojtaszyce 39;597;61;61;8;53;10.22;13.11;593;162;162;12;150;27.32;7.41;Szkoła Podstawowa|Wojtaszyce| 39 |72-210 Dobra
7243;89769;321803;2;Świetlica Wiejska 72-314 Rogowo 22;567;48;48;4;44;8.47;8.33;559;130;130;16;114;23.26;12.31;Świetlica Wiejska|Rogowo| 22 |72-314 Radowo Małe
7248;89774;321804;3;Szkoła Podstawowa 72-315 Łosośnica 23;444;32;32;3;29;7.21;9.38;446;126;126;8;118;28.25;6.35;Szkoła Podstawowa Resko, Filia|Łosośnica| 23 |72-315 Resko
7250;89776;321804;5;Szkoła Podstawowa 72-315 Starogard 12;1136;116;116;7;109;10.21;6.03;1126;296;296;19;277;26.29;6.42;Szkoła Podstawowa|Starogard| 12 |72-315 Resko
7254;89778;321805;2;Szkoła Podstawowa 73-155 Węgorzyno Grunwaldzka 2;1016;78;78;7;71;7.68;8.97;1010;269;269;29;240;26.63;10.78;Szkoła Podstawowa|Węgorzyno|Grunwaldzka 2 |73-155 Węgorzyno
7307;91805;326101;51;Specjalistyczny Zespół Gruźlicy i Chorób Płuc 75-252 Koszalin ul. Niepodległości 44/48;77;10;10;2;8;12.99;20;79;25;25;2;23;31.65;8;Specjalistyczny Zespół Gruźlicy i Chorób Płuc|Koszalin|ul. Niepodległości 44-48 |75-252 Koszalin
7340;47125;40305;7;ŚWIETLICA WIEJSKA 86-060 DĄBROWA WIELKA 17;507;58;58;8;50;11.44;13.79;186;44;44;3;41;23.66;6.82;ŚWIETLICA WIEJSKA|DĄBROWA WIELKA| 17 |86-060 Nowa Wieś Wielka
7356;47141;40307;6;SZKOŁA PODSTAWOWA W SAMSIECZNIE 86-014 SAMSIECZNO 34A;500;57;57;5;52;11.4;8.77;506;180;180;14;166;35.57;7.78;SZKOŁA PODSTAWOWA W SAMSIECZNIE|SAMSIECZNO| 34A |86-014 SICIENKO
7358;47143;40307;8;WIEJSKI DOM KULTURY W STRZELEWIE 86-014 STRZELEWO 30;452;119;119;15;104;26.33;12.61;450;145;145;9;136;32.22;6.21;WIEJSKI DOM KULTURY W STRZELEWIE|STRZELEWO| 30 |86-014 SICIENKO
7374;47158;40401;1;Gimnazjum Nr 1 86-200 Chełmno ul. Szkolna 6;1057;234;234;15;219;22.14;6.41;1047;432;432;29;403;41.26;6.71;Gimnazjum Nr 1|Chełmno|ul. Szkolna 6 |86-200 Chełmno
7389;90191;40401;16;Samodzielny Publiczny Zespół Opieki Zdrowotnej 86-200 Chełmno Plac dr Rydygiera 1;125;14;14;1;13;11.2;7.14;143;37;37;3;34;25.87;8.11;Samodzielny Publiczny Zespół Opieki Zdrowotnej|Chełmno|Plac dr Rydygiera 1 |86-200 Chełmno
7410;47191;40406;1;Świetlica wiejska 86-212 Cepno;449;67;67;6;61;14.92;8.96;444;130;130;10;120;29.28;7.69;Świetlica wiejska|Cepno| |86-212 Stolno
7432;47212;40503;1;Szkoła Podstawowa im. Komisji Edukacji Narodowej 87-400 Wrocki 14;1494;201;201;20;181;13.45;9.95;1495;538;538;38;500;35.99;7.06;Zespół Szkolno-Przedszkolny|Wrocki| |87-400 Golub-Dobrzyń
7450;47230;40506;2;Szkoła Podstawowa 87-645 Ruże 5;439;90;90;10;80;20.5;11.11;445;185;185;15;170;41.57;8.11;Szkoła Podstawowa|Ruże| 5 |87-645 Zbójno
7460;47240;40601;8;„Solanum” Rolno-Produkcyjna Sp. z o.o. 86-302 Wielkie Lniska 1A;482;58;58;8;50;12.03;13.79;467;166;166;13;153;35.55;7.83;Spółdzielnia Mieszkaniowa|Wielkie Lniska| |86-302 Wielkie Lniska
7461;47241;40601;9;Szkoła Podstawowa 86-302 Dusocin 9;353;46;46;4;42;13.03;8.7;342;130;130;12;118;38.01;9.23;Szkoła Podstawowa|Dusocin| 9 |86-302 Dusocin
7482;47261;40604;3;Budynek poszkolny 87-220 Zielnowo 32;670;31;31;2;29;4.63;6.45;668;177;177;15;162;26.5;8.47;Budynek poszkolny|Zielnowo| 32 |87-220 Radzyń Chełmiński
7490;47269;40606;1;Szkoła Podstawowa im. Józefa Wybickiego 86-341 Linowo;656;47;47;3;44;7.16;6.38;647;137;137;10;127;21.17;7.3;Szkoła Podstawowa im. Józefa Wybickiego|Linowo| |86-341 Świecie nad Osą
7494;47273;40606;5;Świetlica Wiejska 86-320 Mędrzyce;423;46;46;9;37;10.87;19.57;415;88;88;6;82;21.2;6.82;Świetlica Wiejska|Mędrzyce| |86-320 Łasin
7548;47320;40702;3;ŚWIETLICA WIEJSKA 88-133 CHLEWISKA 19;575;62;62;8;54;10.78;12.9;563;172;172;13;159;30.55;7.56;ŚWIETLICA WIEJSKA|CHLEWISKA| 19 |88-133 DĄBROWA BISKUPIA
7549;47321;40702;4;SZKOŁA PODSTAWOWA 88-133 OŚNISZCZEWKO 1;497;72;72;8;64;14.49;11.11;486;152;152;10;142;31.28;6.58;SZKOŁA PODSTAWOWA|OŚNISZCZEWKO| 1 |88-133 DĄBROWA BISKUPIA
7559;47331;40703;8;Szkoła Podstawowa 88-140 Wierzchosławice 19;969;153;153;11;142;15.79;7.19;941;351;351;23;328;37.3;6.55;Szkoła Podstawowa|Wierzchosławice| 19 |88-140 GNIEWKOWO
7575;47346;40704;9;Budynek komunalny pn. „Dom Kultury i Rekreacji w Łojewie” 88-100 Łojewo 34A;415;66;66;7;59;15.9;10.61;406;146;146;13;133;35.96;8.9;Budynek komunalny pn.Dom Kultury i Rekreacji w Łojewie|Łojewo| 34A |88-100 Inowrocław
7580;47351;40705;3;GIMNAZJUM 88-160 JANIKOWO UL. GŁÓWNA 6;1427;222;222;15;207;15.56;6.76;1415;539;539;33;506;38.09;6.12;GIMNAZJUM|JANIKOWO|UL. GŁÓWNA 6 |88-160 JANIKOWO
7622;47392;40708;2;SZKOŁA PODSTAWOWA IMIENIA BŁOGOSŁAWIONEGO KSIĘDZA MARIANA SKRZYPCZAKA 88-111 Rojewice 19;585;85;85;8;77;14.53;9.41;585;195;195;12;183;33.33;6.15;SZKOŁA PODSTAWOWA IMIENIA BŁOGOSŁAWIONEGO KSIĘDZA MARIANA SKRZYPCZAKA|Rojewice| 19 |88-111 ROJEWO
7625;47395;40708;5;ZESPÓŁ SZKÓŁ ROJEWO SZKOŁA PODSTAWOWA ROJEWO-FILIA ŚCIBORZE 88-111 Ściborze 7A;591;112;112;7;105;18.95;6.25;595;249;249;18;231;41.85;7.23;ZESPÓŁ SZKÓŁ ROJEWO SZKOŁA PODSTAWOWA ROJEWO-FILIA ŚCIBORZE|Ściborze| 7A |88-111 ROJEWO
7627;47397;40708;7;BUDYNEK SOCJALNY ROLNICZEJ SPÓŁDZIELNI PRODUKCYJNEJ „NOWOŚĆ” 88-111 JEZUICKA STRUGA 16;521;82;82;11;71;15.74;13.41;530;185;185;17;168;34.91;9.19;BUDYNEK SOCJALNY ROLNICZEJ SPÓŁDZIELNI PRODUKCYJNEJNOWOŚĆ|JEZUICKA STRUGA| 16 |88-111 ROJEWO
7629;47399;40709;2;ZESPÓŁ PLACÓWEK OŚWIATOWYCH 88-180 TUCZNO PAKOSKA 32;1392;226;226;19;207;16.24;8.41;1378;517;517;46;471;37.52;8.9;ZESPÓŁ PLACÓWEK OŚWIATOWYCH|TUCZNO|PAKOSKA 32 |88-180 ZŁOTNIKI KUJAWSKIE
7647;90205;40801;10;Szpital Lipno 87-600 Lipno Nieszawska 6;244;22;22;3;19;9.02;13.64;98;57;57;5;52;58.16;8.77;Szpital Lipno|Lipno|Nieszawska 6 |87-600 Lipno
7656;47425;40803;4;Zespół Szkół w Chrostkowie 87-602 Chrostkowo 80;508;52;52;4;48;10.24;7.69;510;167;167;13;154;32.75;7.78;Zespół Szkół w Chrostkowie|Chrostkowo| 80 |87-602 Chrostkowo
7660;47429;40804;4;Publiczne Gimnazjum w Chalinie 87-610 Chalin 36;457;73;73;6;67;15.97;8.22;458;170;170;16;154;37.12;9.41;Publiczne Gimnazjum w Chalinie|Chalin| 36 |87-610 Dobrzyń nad Wisłą
7662;47431;40804;6;Remiza OSP w Grochowalsku 87-610 Grochowalsk 35;773;89;89;6;83;11.51;6.74;776;275;275;20;255;35.44;7.27;Remiza OSP w Grochowalsku|Grochowalsk| 35 |87-610 Dobrzyń nad Wisłą
7666;47435;40804;10;Remiza OSP w Płomianach 87-610 Płomiany 20A;455;32;32;6;26;7.03;18.75;446;115;115;11;104;25.78;9.57;Remiza OSP w Płomianach|Płomiany| 20A |87-610 Dobrzyń nad Wisłą
7670;47439;40805;4;Szkoła Podstawowa w Zajeziorzu 87-620 Zajeziorze;778;153;153;14;139;19.67;9.15;785;251;251;22;229;31.97;8.76;Szkoła Podstawowa w Zajeziorzu|Zajeziorze| |87-620 Kikół
7676;47445;40806;4;Szkoła Podstawowa w Piątkach 87-600 Piątki 55;620;119;119;10;109;19.19;8.4;626;223;223;19;204;35.62;8.52;Remiza Ochotniczej Straży Pożarnej w Wierzbicku|Wierzbick| 54 |87-600 Lipno
7677;47446;40806;5;Zespół Szkół w Radomicach 87-600 Radomice 115;1282;230;230;14;216;17.94;6.09;1309;459;459;35;424;35.06;7.63;Zespół Szkół w Radomicach|Radomice| 115 |87-600 Lipno
7684;47453;40807;3;Szkoła Podstawowa w Skępem Filia w Łąkiem 87-630 Łąkie 41;791;79;79;6;73;9.99;7.59;784;173;173;11;162;22.07;6.36;Szkoła Podstawowa w Skępem Filia w Łąkiem|Łąkie| 41 |87-630 Skępe
7688;47457;40807;7;Remiza OSP w Wiosce 87-630 Wioska;823;138;138;12;126;16.77;8.7;829;302;302;21;281;36.43;6.95;Remiza OSP w Wiosce|Wioska| 7 |87-630 Skępe
7692;47461;40808;3;Świetlica Wiejska 87-605 Jasień 51;584;59;59;4;55;10.1;6.78;591;174;174;11;163;29.44;6.32;Świetlica Wiejska|Jasień| 51 |87-605 Tłuchowo
7695;47464;40809;1;Szkoła Podstawowa im.Jana Pawła II 87-603 Czarne 7;674;148;148;9;139;21.96;6.08;688;247;247;15;232;35.9;6.07;Centrum Kulturalno-Oświatowo-Rekreacyjne w Czarnem|Czarne| 82 |87-603 Wielgie
7703;47472;40809;9;Centrum Kulturalno-Oświatowo-Rekreacyjne w Płonczynie 87-600 Płonczyn 26;332;65;65;5;60;19.58;7.69;332;96;96;9;87;28.92;9.38;Centrum Kulturalno-Oświatowo-Rekreacyjne w Płonczynie|Płonczyn| 26 |87-600 Chalin
7704;47473;40809;10;Świetlica Wiejska w Suszewie 87-600 Suszewo 46;291;76;76;8;68;26.12;10.53;289;97;97;11;86;33.56;11.34;Świetlica Wiejska w Suszewie|Suszewo| 46 |87-600 Lipno
7707;47475;40901;2;ZESPÓŁ SZKÓŁ W DĄBROWIE 88-306 DĄBROWA SZKOLNA 15;537;84;84;6;78;15.64;7.14;522;198;198;12;186;37.93;6.06;ZESPÓŁ SZKÓŁ W DĄBROWIE|DĄBROWA|SZKOLNA 15 |88-306 DĄBROWA
7708;47476;40901;3;SZKOŁA PODSTAWOWA Z ODDZIAŁAMI INTEGRACYJNYMI W PARLINIE 88-306 Parlin 38;636;76;76;5;71;11.95;6.58;641;183;183;20;163;28.55;10.93;SZKOŁA PODSTAWOWA Z ODDZIAŁAMI INTEGRACYJNYMI W PARLINIE|Parlin| 38 |88-306 DĄBROWA
7716;47484;40902;5;Sala wiejska 88-324 Kościeszki 39;477;130;130;8;122;27.25;6.15;473;215;215;17;198;45.45;7.91;Sala wiejska|Kościeszki| 39 |88-324 Jeziora Wielkie
7757;47522;41001;6;GIMNAZJUM W CHWALISZEWIE 89-240 CHWALISZEWO 27;822;143;143;9;134;17.4;6.29;810;311;311;32;279;38.4;10.29;GIMNAZJUM W CHWALISZEWIE|CHWALISZEWO| 27 |89-240 KCYNIA
7759;47524;41001;8;ŚWIETLICA WIEJSKA W GÓRKACH ZAGAJNYCH 89-240 GÓRKI ZAGAJNE 33a;339;76;76;5;71;22.42;6.58;331;128;128;11;117;38.67;8.59;ŚWIETLICA WIEJSKA W GÓRKACH ZAGAJNYCH|GÓRKI ZAGAJNE| 33a |89-240 KCYNIA
7760;47525;41001;9;SZKOŁA PODSTAWOWA W SIPIORACH 89-240 SIPIORY 51;662;107;107;7;100;16.16;6.54;668;233;233;28;205;34.88;12.02;SZKOŁA PODSTAWOWA W SIPIORACH|SIPIORY| 51 |89-240 KCYNIA
7761;47526;41001;10;ZESPÓŁ SZKÓŁ OGÓLNOKSZTAŁCĄCYCH W KCYNI 89-240 KCYNIA UL.22 STYCZNIA 1;884;144;144;10;134;16.29;6.94;888;293;293;21;272;33;7.17;ZESPÓŁ SZKÓŁ OGÓLNOKSZTAŁCĄCYCH W KCYNI|KCYNIA|UL.22 STYCZNIA 1 |89-240 KCYNIA
7763;47528;41001;12;ŚWIETLICA WIEJSKA W GROCHOLINIE 89-240 GROCHOLIN 30b;546;127;127;10;117;23.26;7.87;541;195;195;13;182;36.04;6.67;ŚWIETLICA WIEJSKA W GROCHOLINIE|GROCHOLIN| 30b |89-240 KCYNIA
7799;90212;41003;24;ZAKŁAD OPIEKI ZDROWOTNEJ ZAKŁADU KARNEGO W POTULICACH 89-120 Potulice UL. ALEJA PARKOWA 1;72;39;39;11;28;54.17;28.21;30;28;28;13;15;93.33;46.43;ZAKŁAD OPIEKI ZDROWOTNEJ ZAKŁAD KARNY|Potulice|UL. ALEJA PARKOWA 1 |89-120 Potulice
7805;47566;41004;4;Świetlica Wiejska Bnin 89-110 Bnin 29a;359;83;83;5;78;23.12;6.02;360;145;145;18;127;40.28;12.41;Świetlica Wiejska Bnin|Bnin| 29a |89-110 Sadki
7806;47567;41004;5;Świetlica Wiejska Mrozowo 89-110 Mrozowo 24;522;69;69;7;62;13.22;10.14;510;116;116;10;106;22.75;8.62;Świetlica Wiejska Mrozowo|Mrozowo| 24 |89-110 Sadki
7808;47569;41004;7;Świetlica Wiejska Dębionek 89-110 Dębionek 33;491;71;71;7;64;14.46;9.86;494;167;167;11;156;33.81;6.59;Świetlica Wiejska Dębionek|Dębionek| 33 |89-110 Sadki
7811;47572;41004;10;Zespół Szkół Stowarzyszenia „Żakus” w Anielinach 89-110 Anieliny 30;577;88;88;8;80;15.25;9.09;584;199;199;13;186;34.08;6.53;Zespół Szkół Stowarzyszenia Żakus w Anielinach|Anieliny| 30 |89-110 Sadki
7830;47591;41005;19;Świetlica wiejska Ciężkowo 89-200 Ciężkowo 10;740;96;96;6;90;12.97;6.25;741;207;207;14;193;27.94;6.76;Świetlica wiejska|Ciężkowo| 10 |89-200 Szubin
7839;90216;41101;6;Samodzielny Publiczny Zakład Opieki Zdrowotnej w Radziejowie , I piętro, holl 88-200 Radziejów Szpitalna 3;176;38;38;6;32;21.59;15.79;175;63;63;10;53;36;15.87;Samodzielny Publiczny Zakład Opieki Zdrowotnej w Radziejowie|Radziejów|Szpitalna 3 |88-200 Radziejów
7843;47602;41102;4;Publiczne Gimnazjum w Witowie 88-231 Witowo 48;672;84;84;6;78;12.5;7.14;681;240;240;28;212;35.24;11.67;Publiczne Gimnazjum w Witowie|Witowo| 48 |88-231 Bytoń
7856;47615;41104;6;Świetlica wiejska w Borucinie 88-220 Borucin 1a;461;78;78;6;72;16.92;7.69;463;164;164;17;147;35.42;10.37;Świetlica wiejska w Borucinie|Borucin| 1a |88-220 Osięciny
7858;47617;41104;8;Remiza OSP w Pilichowie 88-220 Pilichowo 12a;374;60;60;9;51;16.04;15;373;106;106;10;96;28.42;9.43;Remiza OSP w Pilichowie|Pilichowo| 12a |88-220 Osięciny
7864;47623;41105;6;Szkoła Podstawowa 88-230 Bycz 3;527;54;54;4;50;10.25;7.41;514;161;161;15;146;31.32;9.32;Szkoła Podstawowa Bycz|Bycz| 3 |88-230 Piotrków Kujawski
7868;47627;41105;10;Remiza OSP 88-230 Jerzyce 7;560;70;70;6;64;12.5;8.57;545;161;161;10;151;29.54;6.21;Remiza OSP Jerzyce|Jerzyce| 7 |88-230 Piotrków Kujawski
7879;47637;41107;2;Szkoła Podstawowa w Paniewie 87-875 Paniewo;835;84;84;6;78;10.06;7.14;817;265;265;19;246;32.44;7.17;Szkoła Podstawowa w Paniewie|Paniewo| |87-875 Topólka
7909;47665;41203;4;Świetlica Wiejska w Pręczkach 87-515 Pręczki 8;393;53;53;5;48;13.49;9.43;396;138;138;10;128;34.85;7.25;Świetlica Wiejska w Pręczkach|Pręczki| 8 |87-515 Rogowo
7926;47682;41206;3;Szkoła Podstawowa Wąpielsk 87-337 Wąpielsk 114;606;73;73;6;67;12.05;8.22;605;199;199;15;184;32.89;7.54;Szkoła Podstawowa Wąpielsk|Wąpielsk| 114 |87-337 Wąpielsk
7932;47688;41301;3;ZESPÓŁ SZKOLNO - PRZEDSZKOLNY SZKOŁY PODSTAWOWEJ I PRZEDSZKOLA SAMORZĄDOWEGO IM.I ARMII WOJSKA POLSKIEGO 89-430 KAMIEŃ KRAJEŃSKI UL. SZKOLNA 3;784;66;66;5;61;8.42;7.58;794;253;253;24;229;31.86;9.49;ZESPÓŁ SZKOLNO - PRZEDSZKOLNY SZKOŁY PODSTAWOWEJ I PRZEDSZKOLA SAMORZĄDOWEGO IM.I ARMII WOJSKA POLSKIEGO|KAMIEŃ KRAJEŃSKI|UL. SZKOLNA 3 |89-430 KAMIEŃ KRAJEŃSKI
7952;47708;41303;1;Szkoła Podstawowa w Przepałkowie 89-412 Przepałkowo 7;741;67;67;7;60;9.04;10.45;740;215;215;13;202;29.05;6.05;SZKOŁA PODSTAWOWA PRZEPAŁKOWO|Przepałkowo| 7 |89-412 SOŚNO
7956;47712;41303;5;Świetlica Wiejska w Sitnie 89-413 Sitno 11;503;73;73;5;68;14.51;6.85;494;128;128;9;119;25.91;7.03;ŚWIETLICA WIEJSKA SITNO|Sitno| 11 |89-413 SOŚNO
7976;47730;41401;6;GIMNAZJUM w KORYTOWIE 86-122 KORYTOWO 1;605;100;100;7;93;16.53;7;605;220;220;15;205;36.36;6.82;GIMNAZJUM w KORYTOWIE|KORYTOWO| 1 |86-122 BUKOWIEC
7990;47744;41403;6;ŚWIETLICA WIEJSKA W JASTRZĘBIU 86-140 Jastrzębie 34a;567;87;87;11;76;15.34;12.64;568;220;220;18;202;38.73;8.18;ŚWIETLICA WIEJSKA W JASTRZĘBIU|Jastrzębie| 34a |86-140 DRZYCIM
8015;47769;41407;3;SZKOŁA PODSTAWOWA 86-150 WIERZCHY 21;870;210;210;18;192;24.14;8.57;861;406;406;30;376;47.15;7.39;SZKOŁA PODSTAWOWA|WIERZCHY| 21 |86-150 OSIE
8020;47774;41408;3;Świetlica wiejska 86-120 Parlin 53A;470;126;126;9;117;26.81;7.14;471;218;218;23;195;46.28;10.55;Świetlica wiejska|Parlin| 53A |86-120 Pruszcz
8048;90223;41409;22;Wojewódzki Szpital dla Nerwowo i Psychicznie Chorych w Świeciu 86-100 Świecie ul. Sądowa 18;272;68;68;17;51;25;25;330;107;107;23;84;32.42;21.5;Wojewódzki Szpital dla Nerwowo i Psychicznie Chorych w Świeciu|Świecie|Sądowa 18 |86-100 Świecie
8054;47803;41410;3;ŚWIETLICA WIEJSKA w JANIEJ GÓRZE 86-182 JANIA GÓRA 1;470;121;121;11;110;25.74;9.09;487;188;188;15;173;38.6;7.98;ŚWIETLICA WIEJSKA w JANIEJ GÓRZE|JANIA GÓRA| 1 |86-182 ŚWIEKATOWO
8055;47804;41410;4;ŚWIETLICA WIEJSKA W LUBANIA-LIPINY 86-182 LUBANIA-LIPINY 44A;444;77;77;9;68;17.34;11.69;452;129;129;14;115;28.54;10.85;ŚWIETLICA WIEJSKA W LUBANIA-LIPINY|LUBANIA-LIPINY| 44A |86-182 ŚWIEKATOWO
8060;47809;41411;3;Świetlica Wiejska w Płochocinie 86-160 PŁOCHOCIN lokal: -;467;60;60;7;53;12.85;11.67;473;136;136;11;125;28.75;8.09;Świetlica Wiejska w Płochocinie|Płochocin| |86-160 WARLUBIE
8063;47812;41411;6;Wiejski Dom Kultury w Lipinkach 86-160 LIPINKI 6;632;120;120;14;106;18.99;11.67;629;252;252;22;230;40.06;8.73;Wiejski Dom Kultury w Lipinkach|Lipinki| 6 |86-160 WARLUBIE
8071;90227;41501;8;Szpital Powiatowy Sp. z o.o. 87-140 Chełmża ul. Szewska 23;35;8;8;3;5;22.86;37.5;18;12;12;2;10;66.67;16.67;Szpital Powiatowy Sp. z o.o.|Chełmża|ul. Szewska 23 |87-140 Chełmża
8072;47820;41502;1;Gimnazjum 87-140 Głuchowo 3;808;121;121;10;111;14.98;8.26;824;310;310;19;291;37.62;6.13;Gimnazjum|Głuchowo| 3A |87-140 Chełmża
8073;47821;41502;2;Szkoła Podstawowa 87-140 Kończewice 12;1070;146;146;12;134;13.64;8.22;1057;357;357;23;334;33.77;6.44;Szkoła Podstawowa|Kończewice| 12A |87-140 Chełmża
8079;47827;41502;8;Świetlica wiejska 87-140 Skąpe;480;85;85;6;79;17.71;7.06;484;190;190;15;175;39.26;7.89;Świetlica wiejska|Skąpe| 18A |87-140 Chełmża
8081;90229;41502;10;Zakład Opiekuńczo-Leczniczy 87-140 Browina 62;52;6;6;2;4;11.54;33.33;69;8;8;1;7;11.59;12.5;Zakład Opiekuńczo-Leczniczy|Browina| 62 |87-140 Chełmża
8146;47891;41603;4;ŚWIETLICA WIEJSKA 89-506 WIESZCZYCE 20;400;58;58;8;50;14.5;13.79;404;113;113;11;102;27.97;9.73;ŚWIETLICA WIEJSKA|WIESZCZYCE| 20 |89-506 KĘSOWO
8148;47893;41603;6;ŚWIETLICA WIEJSKA 89-506 PIASTOSZYN UL. GŁÓWNA 10;463;82;82;13;69;17.71;15.85;469;179;179;14;165;38.17;7.82;ŚWIETLICA WIEJSKA|PIASTOSZYN|UL. GŁÓWNA 10 |89-506 KĘSOWO
8152;47897;41604;4;Zespół Szkół w Lubiewie Szkoła Filialna w Suchej 89-525 Sucha Główna 15;569;132;132;10;122;23.2;7.58;580;250;250;21;229;43.1;8.4;Świetlica Wiejska|Sucha|Główna 19 |89-525 Sucha
