nrk;teryt;nro;adres;lwug;lkw;lkwzu;lgnw;lgw;freq;pgnw;lwug15;lkw15;lkwzu15;lgnw15;lgw15;freq15;pgnw15;dup.addr
4478;87171;300601;6;Świetlica Wiejska 63-233 Wojciechowo 11a;536;89;89;7;82;16.6;7.87;537;238;238;15;223;44.32;6.3;Świetlica Wiejska|Wojciechowo| 11a |63-233 Jaraczewo
4482;87175;300602;4;Niepubliczna Szkoła Podstawowa 63-230 Prusy 52;1371;207;207;29;178;15.1;14.01;1383;561;561;39;522;40.56;6.95;Niepubliczna Szkoła Podstawowa|Prusy| 52 |63-230 Witaszyce
4503;87195;300603;3;Szkoła Podstawowa 63-220 Magnuszewice 17;1024;208;208;20;188;20.31;9.62;1013;415;415;25;390;40.97;6.02;Szkoła Podstawowa|Magnuszewice| 17 |63-220 Kotlin
4508;87200;300604;3;Szkoła Podstawowa 63-210 Dobieszczyzna 32a;1262;131;131;11;120;10.38;8.4;1266;529;529;37;492;41.79;6.99;Szkoła Podstawowa|Dobieszczyzna| 32a |63-210 Żerków
4532;87224;300703;4;Szkoła Podstawowa w Cekowie-Kolonii z Filią w Przespolewie Pańskim 62-834 Przespolew Pański 35;335;73;73;6;67;21.79;8.22;325;131;131;8;123;40.31;6.11;Szkoła Podstawowa w Cekowie-Kolonii z Filią w Przespolewie Pańskim|Przespolew Pański| 35 |62-834 Ceków
4542;91635;300704;10;Szpital Chorób Płuc i Gruźlicy 62-872 Wolica 113;72;31;31;6;25;43.06;19.35;68;29;29;2;27;42.65;6.9;Wojewódzki Specjalistyczny Zespół ZOZ Chorób Płuc i Gruźlicy|Wolica| 113 |62-872 Godziesze Małe
4550;87241;300706;2;Szkoła Podstawowa w Strzałkowie 62-850 Strzałków 65;1056;187;187;26;161;17.71;13.9;1068;430;430;26;404;40.26;6.05;Szkoła Podstawowa w Strzałkowie|Strzałków| 65 |62-850 Lisków
4554;87244;300707;1;Zespół Szkolno-Przedszkolny 62-831 Kościelec 9;1436;182;182;14;168;12.67;7.69;1434;524;524;36;488;36.54;6.87;Zespół Szkolno-Przedszkolny|Kościelec| 9 |62-831 Korzeniew
4556;87246;300707;3;Gimnazjum 62-831 Korzeniew 51;1283;193;193;18;175;15.04;9.33;1296;464;464;42;422;35.8;9.05;Gimnazjum|Korzeniew| 51 |62-831 Korzeniew
4583;87273;300801;6;Zespół Szkół w Łęce Mroczeńskiej, Szkoła Podstawowa w Łęce Mroczeńskiej 63-604 Łęka Mroczeńska 55a;690;134;134;10;124;19.42;7.46;693;340;340;21;319;49.06;6.18;Zespół Szkół w Łęce Mroczeńskiej, Szkoła Podstawowa w Łęce Mroczeńskiej|Łęka Mroczeńska| 55a |63-604 Baranów
4615;87303;300806;2;Szkoła Podstawowa 63-630 Wielki Buczek 6B;446;95;95;8;87;21.3;8.42;445;206;206;14;192;46.29;6.8;Szkoła Podstawowa|Wielki Buczek| 6B |63-630 Rychtal
4616;87304;300806;3;Dom Ludowy 63-630 Drożki 18A;435;75;75;5;70;17.24;6.67;434;167;167;14;153;38.48;8.38;Dom Ludowy|Drożki| 18A |63-630 Rychtal
4638;87323;300902;3;Zespół Szkół 62-620 Bogusławice 85;1366;166;166;11;155;12.15;6.63;1349;489;489;32;457;36.25;6.54;Zespół Szkół w Bogusławicach|Bogusławice| 85 |62-620 Babiak
4664;87349;300906;10;Świetlica Wiejska w Pomarzanach Fabrycznych 62-650 Pomarzany Fabryczne;494;55;55;5;50;11.13;9.09;486;180;180;12;168;37.04;6.67;Szkoła Podstawowa i Gimnazjum w Górkach|Górki| 18 |62-650 Kłodawa
4670;87355;300908;1;Szkoła Podstawowa 62-604 Trzęśniew 24;1221;109;109;11;98;8.93;10.09;1218;415;415;35;380;34.07;8.43;Szkoła Podstawowa|Trzęśniew| 24 |62-604 KOŚCIELEC
4682;87367;300911;3;Świetlica Ochotniczej Straży Pożarnej 62-635 Dziwie 57;972;96;96;6;90;9.88;6.25;971;281;281;26;255;28.94;9.25;Świetlica Ochotniczej Straży Pożarnej|Dziwie| 57 |62-635 Przedecz
4703;87388;301004;4;Szkoła Podstawowa im. Juliana Tuwima 62-540 Złotków 48;1036;128;128;11;117;12.36;8.59;1052;451;451;38;413;42.87;8.43;Szkoła Podstawowa im. Juliana Tuwima|Złotków| 48 |62-540 Kleczew
4704;87389;301004;5;Gimnazjum im. Przyrodników Polskich 62-541 Budzisław Kościelny ul. Szkolna 17;1124;166;166;11;155;14.77;6.63;1124;449;449;49;400;39.95;10.91;Gimnazjum im. Przyrodników Polskich|Budzisław Kościelny|ul. Szkolna 17 |62-541 Budzisław Kościelny
4705;87390;301004;6;Zespół Szkolno-Przedszkolny 62-541 Budzisław Kościelny ul. Szkolna 17;1063;167;167;12;155;15.71;7.19;1083;485;485;36;449;44.78;7.42;Zespół Szkolno-Przedszkolny|Budzisław Kościelny|ul. Szkolna 17 |62-541 Budzisław Kościelny
4725;87410;301007;6;Szkoła Podstawowa 62-574 Biała Panieńska 72;555;65;65;9;56;11.71;13.85;551;178;178;13;165;32.3;7.3;Szkoła Podstawowa|Biała Panieńska| 72 |62-574 Rychwał
4732;87417;301009;2;Gminny Ośrodek Kultury 62-560 Mielnica Duża 32a;314;17;17;3;14;5.41;17.65;318;102;102;10;92;32.08;9.8;Gminny Ośrodek Kultury|Mielnica Duża| 32a |62-560 Skulsk
4753;87438;301011;7;Szkoła Podstawowa Barczygłów 62-571 Barczygłów 43;512;76;76;10;66;14.84;13.16;511;213;213;23;190;41.68;10.8;Szkoła Podstawowa Barczygłów|Barczygłów| 43 |62-571 Stare Miasto
