Year;Sex;Category;Name;Birthdate;Age;BirthPlace;County;BirthPlaceNow;Coords
1929;M;physics;Prince Louis-Victor Pierre Raymond de Broglie;[1892];1929;Dieppe;France;Dieppe, France;49.922992,1.077483
1930;M;chemistry;Hans Fischer;[1881];1930;Hoechst;Germany;Hoechst, Germany;50.102482,8.5474571
1930;M;literature;Sinclair Lewis;[1885];1930;Sauk Centre MN;USA;Sauk Centre MN, USA;45.737465,-94.9525216
1930;M;medicine;Karl Landsteiner;[1868];1930;Vienna;Austrian Empire;Vienna, Austria;45.737465,-94.9525216
1930;M;peace;Lars Olof Jonathan (Nathan) Söderblom;[1866];1930;Trönö;Sweden;Trönö, Sweden;61.3965122,16.8336652
1930;M;physics;Sir Chandrasekhara Venkata Raman;[1888];1930;Trichinopoly;India;Trichinopoly, India;10.7904833,78.7046725
1931;M;chemistry;Carl Bosch;[1874];1931;Cologne;Germany;Cologne, Germany;50.937531,6.9602786
1931;M;chemistry;Friedrich Bergius;[1884];1931;Goldschmieden near Breslau;Germany;Złotniki, Poland;52.4932064,16.8448409
1931;M;literature;Erik Axel Karlfeldt;[1864];1931;Karlbo;Sweden;Karlbo, Sweden;60.1309558,16.2159444
1931;M;medicine;Otto Heinrich Warburg;[1883];1931;Freiburg im Breisgau;Germany;Freiburg im Breisgau, Germany;47.9990077,7.8421043
1931;F;peace;Jane Addams;[1860];1931;Cedarville IL;USA;Cedarville IL, USA;42.3758493,-89.6331727
1931;M;peace;Nicholas Murray Butler;[1862];1931;Elizabeth NJ;USA;Elizabeth NJ, USA;40.6639916,-74.2107006
1932;M;chemistry;Irving Langmuir;[1881];1932;Brooklyn NY;USA;Brooklyn NY, USA;40.6781784,-73.9441579
1932;M;literature;John Galsworthy;[1867];1932;Kingston Hill;United Kingdom;Kingston Hill, United Kingdom;51.43361,-0.257451
1932;M;medicine;Edgar Douglas Adrian;[1889];1932;London;United Kingdom;London, United Kingdom;51.5073509,-0.1277583
1932;M;medicine;Sir Charles Scott Sherrington;[1857];1932;London;United Kingdom;London, United Kingdom;51.5073509,-0.1277583
1932;M;physics;Werner Karl Heisenberg;[1901];1932;Würzburg;Germany;Würzburg, Germany;49.7913044,9.9533548
1933;M;literature;Ivan Alekseyevich Bunin;[1870];1933;Voronezh;Russia;Voronezh, Russia;51.6754966,39.2088823
1933;M;medicine;Thomas Hunt Morgan;[1866];1933;Lexington KY;USA;Lexington KY, USA;38.0405837,-84.5037164
1933;M;peace;Sir Norman Angell (Ralph Lane);[1873];1933;Holbeach;United Kingdom;Holbeach, United Kingdom;52.803991,0.013434
1933;M;physics;Erwin Schrödinger;[1887];1933;Vienna;Austria;Vienna, Austria;52.803991,0.013434
1933;M;physics;Paul Adrien Maurice Dirac;[1902];1933;Bristol;United Kingdom;Bristol, United Kingdom;52.803991,0.013434
1934;M;chemistry;Harold Clayton Urey;[1893];1934;Walkerton IN;USA;Walkerton IN, USA;41.4667113,-86.4830681
1934;M;literature;Luigi Pirandello;[1867];1934;Agrigento Sicily;Italy;Agrigento Sicily, Italy;37.3094075,13.5859823
1934;M;medicine;George Hoyt Whipple;[1878];1934;Ashland NH;USA;Ashland NH, USA;43.695318,-71.6306318
1934;M;medicine;George Richards Minot;[1885];1934;Boston MA;USA;Boston MA, USA;42.3600825,-71.0588801
1934;M;medicine;William Parry Murphy;[1892];1934;Stoughton WI;USA;Stoughton WI, USA;42.9169462,-89.2178937
1934;M;peace;Arthur Henderson;[1863];1934;Glasgow;Scotland;Glasgow, Scotland;42.9169462,-89.2178937
1935;M;chemistry;Frédéric Joliot;[1900];1935;Paris;France;Paris, France;42.9169462,-89.2178937
1935;F;chemistry;Iréne Joliot-Curie;[1897];1935;Paris;France;Paris, France;42.9169462,-89.2178937
1935;M;medicine;Hans Spemann;[1869];1935;Stuttgart;Württemberg;Stuttgart, Germany;48.7758459,9.1829321
1935;M;peace;Carl von Ossietzky;[1889];1935;Hamburg;Germany;Hamburg, Germany;48.7758459,9.1829321
1935;M;physics;James Chadwick;[1891];1935;Manchester;United Kingdom;Manchester, United Kingdom;48.7758459,9.1829321
1936;M;chemistry;Petrus (Peter) Josephus Wilhelmus Debye;[1884];1936;Maastricht;the Netherlands;Maastricht, the Netherlands;50.8513682,5.6909725
1936;M;literature;Eugene Gladstone O'Neill;[1888];1936;New York NY;USA;New York NY, USA;50.8513682,5.6909725
1936;M;medicine;Otto Loewi;[1873];1936;Frankfurt-on-the-Main;Germany;Frankfurt-on-the-Main, Germany;50.1109221,8.6821267
1936;M;medicine;Sir Henry Hallett Dale;[1875];1936;London;United Kingdom;London, United Kingdom;50.1109221,8.6821267
1936;M;peace;Carlos Saavedra Lamas;[1878];1936;Buenos Aires;Argentina;Buenos Aires, Argentina;-34.6036844,-58.3815591
1936;M;physics;Carl David Anderson;[1905];1936;New York NY;USA;New York NY, USA;-34.6036844,-58.3815591
1936;M;physics;Victor Franz Hess;[1883];1936;Frauenfeld;Switzerland;Frauenfeld, Switzerland;47.5535997,8.8987541
1937;M;chemistry;Paul Karrer;[1889];1937;Moscow;Russia;Moscow, Russia;55.755826,37.6172999
1937;M;chemistry;Walter Norman Haworth;[1883];1937;Chorley;United Kingdom;Chorley, United Kingdom;53.653511,-2.632596
1937;M;literature;Roger Martin du Gard;[1881];1937;Neuilly-sur-Seine;France;Neuilly-sur-Seine, France;48.884831,2.26851
1937;M;medicine;Albert von Szent-Györgyi Nagyrápolt;[1893];1937;Budapest;Austria-Hungary;Budapest, Hungary;47.497912,19.040235
1937;M;peace;Cecil of Chelwood, Viscount (Lord Edgar Algernon Robert Gascoyne Cecil);[1864];1937;London;United Kingdom;London, United Kingdom;47.497912,19.040235
1937;M;physics;Clinton Joseph Davisson;[1881];1937;Bloomington IL;USA;Bloomington IL, USA;40.4842027,-88.9936873
1937;M;physics;George Paget Thomson;[1892];1937;Cambridge;United Kingdom;Cambridge, United Kingdom;52.205337,0.121817
1938;M;chemistry;Richard Kuhn;[1900];1938;Vienna;Austria-Hungary;Vienna, Austria-Hungary;48.210496,16.3631031
1938;F;literature;Pearl Buck;[1892];1938;Hillsboro WV;USA;Hillsboro WV, USA;38.1353972,-80.2131261
1938;M;medicine;Corneille Jean François Heymans;[1892];1938;Ghent;Belgium;Ghent, Belgium;38.1353972,-80.2131261
1938;NA;peace;Office international Nansen pour les Réfugiés (Nansen International Office for Refugees);[1921];1938;;Switzerland.; Switzerland;46.818188,8.227512
1938;M;physics;Enrico Fermi;[1901];1938;Rome;Italy;Rome, Italy;41.9027835,12.4963655
1939;M;chemistry;Adolf Friedrich Johann Butenandt;[1903];1939;Bremerhaven-Lehe;Germany;Bremerhaven-Lehe, Germany;53.5745837,8.5985456
1939;M;chemistry;Leopold Ruzicka;[1887];1939;Vukovar;Austria-Hungary;Vukovar, Croatia;45.3452377,19.0010204
1939;M;literature;Frans Eemil Sillanpää;[1888];1939;Hämeenkyrö;Russian Empire;Hämeenkyrö, Finland;61.6383264,23.196349
1939;M;medicine;Gerhard Domagk;[1895];1939;Lagow;Germany;Lagow, Germany;51.1580895,15.043917
1939;M;physics;Ernest Orlando Lawrence;[1901];1939;Canton SD;USA;Canton SD, USA;43.3008146,-96.5928198
1943;M;chemistry;George de Hevesy;[1885];1943;Budapest;Austria-Hungary;Budapest, Hungary;43.3008146,-96.5928198
1943;M;medicine;Edward Adelbert Doisy;[1893];1943;Hume IL;USA;Hume IL, USA;39.7967015,-87.8686414
1943;M;medicine;Henrik Carl Peter Dam;[1895];1943;Copenhagen;Denmark;Copenhagen, Denmark;39.7967015,-87.8686414
1943;M;physics;Otto Stern;[1888];1943;Sorau;Germany;Żory, Poland;50.0447236,18.7006401
1944;M;chemistry;Otto Hahn;[1879];1944;Frankfurt-on-the-Main;Germany;Frankfurt-on-the-Main, Germany;50.0447236,18.7006401
