literature;53;1955;Halldór Laxness;M
medicine;47;1978;Hamilton O. Smith;M
physics;62;1970;Hannes Alfvén;M
physics;61;1967;Hans Bethe;M
chemistry;49;1930;Hans Fischer;M
physics;67;1989;Hans G. Dehmelt;M
medicine;53;1953;Hans Krebs;M
medicine;66;1935;Hans Spemann;M
chemistry;56;1929;Hans von Euler-Chelpin;M
medicine;72;2008;Harald zur Hausen;M
chemistry;41;1934;Harold C. Urey;M
medicine;50;1989;Harold E. Varmus;M
literature;75;2005;Harold Pinter;M
economics;63;1990;Harry M. Markowitz;M
literature;70;1974;Harry Martinson;M
chemistry;40;1988;Hartmut Michel;M
physics;60;1913;Heike Kamerlingh Onnes;M
literature;55;1972;Heinrich Böll;M
physics;53;1986;Heinrich Rohrer;M
chemistry;50;1927;Heinrich Wieland;M
physics;49;1902;Hendrik A. Lorentz;M
physics;51;1903;Henri Becquerel;M
literature;68;1927;Henri Bergson;M
peace;59;1913;Henri La Fontaine;M
chemistry;54;1906;Henri Moissan;M
medicine;48;1943;Henrik Dam;M
literature;60;1917;Henrik Pontoppidan;M
peace;73;1901;Henry Dunant;M
peace;50;1973;Henry Kissinger;M
chemistry;68;1983;Henry Taube;M
physics;64;1990;Henry W. Kendall;M
literature;59;1905;Henryk Sienkiewicz;M
chemistry;68;1985;Herbert A. Hauptman;M
economics;62;1978;Herbert A. Simon;M
chemistry;67;1979;Herbert C. Brown;M
physics;72;2000;Herbert Kroemer;M
medicine;56;1944;Herbert S. Gasser;M
literature;69;1946;Hermann Hesse;M
medicine;56;1946;Hermann J. Muller;M
chemistry;72;1953;Hermann Staudinger;M
literature;56;2009;Herta Müller;F
chemistry;64;2000;Hideki Shirakawa;M
physics;42;1949;Hideki Yukawa;M
peace;61;1921;Hjalmar Branting;M
physics;49;1998;Horst L. Störmer;M
medicine;41;1975;Howard M. Temin;M
medicine;52;1955;Hugo Theorell;M
physics;63;1958;Igor Y. Tamm;M
physics;50;1958;Il´ja M. Frank;M
medicine;63;1908;Ilya Mechnikov;M
chemistry;60;1977;Ilya Prigogine;M
literature;73;2002;Imre Kertész;M
chemistry;38;1935;Irène Joliot-Curie;F
chemistry;51;1932;Irving Langmuir;M
chemistry;78;2004;Irwin Rose;M
literature;74;1978;Isaac Bashevis Singer;M
physics;46;1944;Isidor Isaac Rabi;M
literature;63;1933;Ivan Bunin;M
medicine;55;1904;Ivan Pavlov;M
physics;44;1973;Ivar Giaever;M
literature;69;1961;Ivo Andric;M
physics;37;1987;J. Georg Bednorz;M
physics;56;1963;J. Hans D. Jensen;M
literature;63;2003;J. M. Coetzee;M
medicine;53;1989;J. Michael Bishop;M
medicine;68;2005;J. Robin Warren;M
literature;56;1922;Jacinto Benavente;M
physics;77;2000;Jack S. Kilby;M
physics;67;1988;Jack Steinberger;M
medicine;57;2009;Jack W. Szostak;M
chemistry;49;1901;Jacobus H. van 't Hoff;M
medicine;55;1965;Jacques Monod;M
economics;60;1996;James A. Mirrlees;M
chemistry;59;1946;James B. Sumner;M
physics;44;1935;James Chadwick;M
physics;49;1980;James Cronin;M
economics;70;1977;James E. Meade;M
medicine;63;2013;James E. Rothman;M
physics;43;1925;James Franck;M
economics;56;2000;James J. Heckman;M
economics;67;1986;James M. Buchanan Jr.;M
physics;58;1975;James Rainwater;M
economics;63;1981;James Tobin;M
medicine;34;1962;James Watson;M
economics;66;1969;Jan Tinbergen;M
peace;71;1931;Jane Addams;F
chemistry;69;1959;Jaroslav Heyrovsky;M
literature;83;1984;Jaroslav Seifert;M
physics;56;1926;Jean Baptiste Perrin;M
medicine;64;1980;Jean Dausset;M
literature;68;2008;Jean-Marie Gustave Le Clézio;M
chemistry;48;1987;Jean-Marie Lehn;M
literature;59;1964;Jean-Paul Sartre;M
chemistry;79;1997;Jens C. Skou;M
physics;60;1990;Jerome I. Friedman;M
chemistry;67;1985;Jerome Karle;M
peace;78;2002;Jimmy Carter;M
physics;50;1906;J.J. Thomson;M
peace;47;1997;Jody Williams;F
chemistry;45;1988;Johann Deisenhofer;M
physics;73;1910;Johannes Diderik van der Waals;M
medicine;59;1926;Johannes Fibiger;M
physics;45;1919;Johannes Stark;M
literature;71;1944;Johannes V. Jensen;M
chemistry;85;2002;John B. Fenn;M
physics;48;1956;John Bardeen;M
physics;64;1972;John Bardeen;M
economics;74;1994;John C. Harsanyi;M
chemistry;45;1962;John C. Kendrew;M
physics;60;2006;John C. Mather;M
chemistry;57;1986;John C. Polanyi;M
physics;54;1951;John Cockcroft;M
