packid;id;name;date;town;cntry;weight;height;played;lbs;pens;conv
41;43822;Cornelius Van Zyl;1979;Nelspruit;South Africa;110;200;252;;0;0
42;10536;Aurélien Rougerie;1980;Beaumont;France;104;194;504;;0;0
42;10537;Damien Traille;1979;Pau;France;101;193;154;;0;0
42;10541;Imanol Harinordoquy;1980;Bayonne;France;108;192;378;;0;0
42;10921;Cédric Heymans;1978;Brive La Gaillarde;France;96;179;124;;0;0
42;10923;Jean-Baptiste Poux;1979;Béziers;France;105;180;340;;0;0
42;11593;Vincent Clerc;1981;Echirolles;France;90;178;525;;0;0
42;11595;Dimitri Yachvili;1980;Brive;France;85;182;458;;82;55
42;11643;David Skrela;1979;Toulouse;France;96;190;10;;0;0
42;17566;Nicolas Mas;1980;Perpignan;France;107;179;320;;0;0
42;21659;Pascal Pape;1980;Lyon;France;116;196;410;;0;0
42;23904;William Servat;1978;St Gaudens;France;103;184;342;;0;0
42;23914;Julien Bonnaire;1978;Bourgoin-Jallieu;France;101;193;480;;0;0
42;24224;Dimitri Szarzewski;1983;Narbonne;France;101;181;184;;0;0
42;2441;Lionel Nallet;1976;Bourg-en-Brese;France;115;198;480;;0;0
42;25906;David Marty;1982;Perpignan;France;93;182;124;;0;0
42;26789;Maxime Médard;1986;Toulouse;France;93;182;488;;0;0
42;29043;Alexis Palisson;1987;Montauban;France;84;177;316;;0;0
42;29044;Morgan Parra;1988;Metz;France;80;180;395;;80;100
42;29523;Guilhem Guirado;1986;Céret;France;99;181;27;;0;0
42;29530;Maxime Mermoz;1986;Epinal;France;91;181;478;;0;0
42;29533;Louis Picamoles;1986;Paris;France;118;192;127;;0;0
42;29538;Francois Trinh-Duc;1986;Montpellier;France;93;184;245;;0;100
42;30357;Fulgence Ouedraogo;1986;Ouagadougou;Burkina Faso;102;188;80;;0;0
42;30486;Romain Millo-Chluski;1983;Ris-Orangis;France;119;195;63;;0;0
42;30907;Thierry Dusautoir;1981;Abidjan;Côte D'Ivoire;95;188;480;;0;0
42;32255;Raphael Lakafia;1988;Chambray-les-Tours;France;114;190;129;;0;0
42;33022;Julien Pierre;1981;Rodez;France;112;197;161;;0;0
42;33665;Fabien Barcella;1983;Agen;France;110;180;258;;0;0
42;36867;Luc Ducalcon;1984;La Fere;France;115;183;194;;0;0
42;36876;Fabrice Estebanez;1981;Carcassonne;France;99;186;68;;0;0
42;39492;Jean Marc Doussain;1991;Toulouse;France;91;176;4;;0;0
45;11844;Alesana Tuilagi;1981;Moto'otua;Samoa;111;194;320;;0;0
45;11848;Maurie Faasavalu;1980;Moto'otua;Samoa;112;194;280;;0;0
45;12540;George Stowers;1979;Moto'otua;Samoa;117;192;320;;0;0
45;21130;Sailosi Tagicakibau;1982;Auckland;New Zealand;107;194;215;;0;0
45;21404;Filipo Lavea Levi;1979;Hamilton;New Zealand;119;198;17;;0;0
45;24050;David Lemi;1982;Apia;Samoa;75;175;80;;0;0
45;24217;Tasesa Lavea;1980;Taihape;New Zealand;89;176;120;;0;0
45;24218;Seilala Mapusua;1980;Moto'otua;Samoa;102;185;278;;0;0
45;2485;Mahonri Schwalger;1978;Moto'otua;Samoa;102;184;276;;0;0
45;26054;Ofisa Treviranus;1984;Moto'otua;Samoa;108;193;133;;0;0
45;26841;Daniel Leo;1982;Palmerston North;New Zealand;112;196;288;;0;0
45;26842;Census Johnston;1981;Auckland;New Zealand;135;190;159;;0;0
45;28271;Eliota Fuimaono Sapolu;1980;Moto'otua;Samoa;94;186;147;;0;0
45;28620;Manaia Salavea;1986;Moto'otua;Samoa;108;190;43;;0;0
45;29621;George Pisi;1986;Auckland;New Zealand;103;188;212;;0;0
45;30444;Ole Avei;1983;Wellington;New Zealand;120;194;2;;0;0
45;30538;Ti'i Paulo;1983;Christchurch;New Zealand;119;187;39;;0;0
45;31787;Tusi Pisi;1982;Auckland;New Zealand;93;197;170;;75;50
45;31789;Junior Poluleuligaga;1981;Auckland;New Zealand;92;183;30;;0;0
45;32936;Kane Thompson;1982;Paraparaumu;New Zealand;113;198;283;;0;0
45;33031;Joe Tekori;1983;Moto'otua;Samoa;119;198;48;;0;0
45;34017;Jeremy Sua;1988;Wellington;New Zealand;86;181;27;;0;0
45;36205;Logovi'i Mulipola;1987;Manono;Samoa;124;192;2;;0;0
45;37943;Sakaria Taulafo;1983;Moto'otua;Samoa;118;183;307;;0;0
45;40002;Anthony Perenise;1982;Wellington;New Zealand;118;182;167;;0;0
45;40005;Paul Williams;1983;Auckland;New Zealand;100;190;298;;50;83
45;42070;Kahn Fotuali'i;1982;Auckland;New Zealand;94;184;289;;0;0
45;42502;Johnny Leota;1984;Palmerston North;New Zealand;99;183;0;;0;0
45;42604;Taiasina Tuifua;1984;Moto'otua;Samoa;118;196;181;;0;0
45;42629;James Sooialo;1989;Wellington;New Zealand;95;185;24;;0;0
46;11562;Sisa Koyamaibole;1980;Suva;Fiji;120;192;110;;0;0
46;11585;Seremaia Bai;1979;Suva;Fiji;100;187;241;;80;83
46;21037;Deacon Manu;1979;New Plymouth;New Zealand;120;184;217;;0;0
46;25561;Sunia Koto;1980;Suva;Fiji;110;178;213;;0;0
46;26836;Akapusi Qera;1984;Suva;Fiji;102;193;146;;0;0
46;29398;Iliesa Lomani Rakuka Keresoni;1987;Nausori;Fiji;96;180;80;;0;0
46;30383;Waisea Sedre Luveniyali;1985;Suva;Fiji;89;174;161;;0;100
46;30386;Gaby Lovobalavu;1985;Savusavu;Fiji;97;176;294;;0;0
46;30389;Naipolioni Nalaga;1986;Sigatoka;Fiji;100;191;240;;0;0
46;30727;Rupeni Nasiga;1985;Sigatoka;Fiji;104;194;76;;0;0
46;30748;Netani Edward Talei;1983;Suva;Fiji;110;190;221;;0;0
46;30749;Sakiusa Matadigo;1982;Suva;Fiji;106;188;103;;0;0
46;32240;Kini Murimurivalu;1989;Suva;Fiji;94;184;240;;0;0
46;32552;Wame Lewaravu;1982;Lautoka;Fiji;114;196;227;;0;0
46;32581;Vereniki Goneva;1984;Nadi;Fiji;99;189;251;;0;0
46;32942;Vitori Tomu Buatava;1985;Melbourne;Australia;91;180;146;;0;0
46;33080;Michael Tagicakibau;1985;Auckland;New Zealand;98;190;76;;0;0
46;34517;Nemia Kenatale;1986;Tavua;Fiji;85;179;174;;0;0
46;36023;Setefano Somoca;1981;Savusavu;Fiji;122;185;77;;0;0
46;36035;Ravai Susau Fatiaki;1987;Naitasiri;Fiji;102;184;86;;0;0
46;36099;Viliame Veikoso;1982;Suva;Fiji;102;178;90;;0;0
46;36161;Leone Nakarawa;1988;Tavua;Fiji;117;198;320;;0;0
46;36822;Waisea Nailago;1989;Suva;Fiji;117;186;91;;0;0
46;39968;Campese Ma'afu;1984;Sydney;Australia;114;182;250;;0;0
46;39969;Talemaitoga Dautu Tuapati;1984;Suva;Fiji;107;180;20;;0;0
46;39970;Dominiko Maiwiriwiri Waqaniburotu;1986;Suva;Fiji;111;189;160;;0;0
46;39971;Seko Kalou;1984;Sigatoka;Fiji;112;198;69;;0;0
46;42054;Mala Ravulo;1983;Korovou;Fiji;107;190;160;;0;0
46;42055;Albert James Vulivuli;1985;Savusavu;Fiji;105;188;84;;0;0
46;8043;Nicky Little;1976;Tokoroa;New Zealand;100;183;152;;0;0
47;10519;Tukulua Lokotui;1979;Auckland;New Zealand;118;196;238;;0;0
47;10521;Taufa'ao Filise;1977;Tofoa;Tonga;121;188;100;;0;0
47;15668;Ephraim Taukafa;1976;Auckland;New Zealand;108;180;103;;0;0
47;15811;Kisi Pulu;1978;Leimatu'a;Tonga;112;175;118;;0;0
47;21425;Finau Maka;1977;Longoteme;Tonga;110;188;161;;0;0
47;21458;Sukanaivalu Hufanga;1982;Tofoa;Tonga;89;182;204;;0;0
47;24214;Soane Tonga'uiha;1982;Houma;Tonga;130;191;144;;0;0
47;26088;Alipate Fatafehi;1984;Sigatoka;Fiji;114;191;218;;0;0
47;26650;Taniela Moa;1985;Tofoa;Tonga;102;182;314;;0;0
47;27420;Andrew Ma'ilei;1979;Auckland;New Zealand;95;178;112;;0;0
47;28802;Sione Kalamafoni;1988;Matahau;Tonga;117;192;266;;0;0
47;28812;Samisoni Fisilau;1987;Tofoa;Tonga;95;182;10;;0;0
47;30603;Sione Timani;1984;Tofoa;Tonga;121;196;92;;0;0
