pgnw;freq;lgw;lgnw;idk;teryt;addr;coords;idk2;PiSp;POp
10.29;36.36;183;21;103207;240103;Zakład Karny|Wojkowice|Jana III Sobieskiego 298 |42-580 Wojkowice;103207;50.3647682 19.0367909;9.84;49.73
20.48;56.91;167;43;103208;240103;Zakład Karny Oddział Aresztu Śledczego|Wojkowice|Jana III Sobieskiego 298 |42-580 Wojkowice;103208;50.3647682 19.0367909;13.17;50.90
13.17;43.83;145;22;103366;240301;Zakład Karny|Cieszyn|Bolesława Chrobrego 2 |43-400 Cieszyn;103366;49.7497638 18.6354709;7.59;64.14
13.68;58.21;101;16;103751;240701;Zakład Karny|Lubliniec|ul. Sobieskiego 6 |42-700 ;103751;50.6687353 18.6846192;7.92;61.39
16.28;44.89;180;35;103762;240703;Zakład Karny|Sieraków Śląski|ul. Cegielniana 13 |42-793 ;103762;50.8011647 18.5757706;5.00;58.33
21.74;38.89;126;35;103767;240704;Zakład Karny|Herby|ul. Krótka 28 |42-284 Herby;103767;50.7478709 18.8783173;15.87;44.44
3.84;46.73;351;14;104025;241101;Zakład Karny|Racibórz|Josepha von Eichendorffa 14 |47-400 ;104025;50.0915234 18.2199165;9.12;41.60
8.07;50.63;148;13;104170;241304;Areszt ŚledczyTarnowskie Góry|Tarnowskie Góry|Opolska 17a |42-600 Tarnowskie Góry;104170;50.4359468 18.8460247;2.03;63.51
5.83;60.91;113;7;104638;246101;Areszt Śledczy|Bielsko-Biała|Słowackiego 15a |43-300 Bielsko-Biała;104638;49.8223768 19.0583845;15.04;43.36
10.81;48.47;99;12;104721;246201;ARESZT ŚLEDCZY|Bytom|Wrocławska 4 |41-902 Bytom;104721;50.3483816 18.9157175;10.10;51.52
15.79;54.91;80;15;104920;246401;Areszt Śledczy w Częstochowie|Częstochowa|ul. Mirowska 22 |42-200 ;104920;50.8118195 19.1203094;5.00;48.75
14.65;61.49;169;29;105110;246601;Areszt Śledczy w Gliwicach|Gliwice|Wieczorka 10 |44-100 Gliwice;105110;50.2944923 18.6713802;11.83;48.52
15.64;31.68;205;38;105151;246701;Zakład Karny|Jastrzębie-Zdrój|Norwida 23 |44-268 Jastrzębie-Zdrój;105151;49.9454207 18.6101103;8.29;65.85
11.98;61.74;169;23;105370;246901;Areszt Śledczy|Katowice|ul. Mikołowska 10a |40-067 ;105370;50.25457 19.011177;4.73;58.58
8.29;65.58;166;15;105411;247001;Areszt Śledczy|Mysłowice|K. Szymanowskiego 6 |41-400 Mysłowice;105411;50.2080466 19.1660513;7.83;66.87
4.64;50.50;144;7;105747;247501;Areszt Śledczy w Sosnowcu|Sosnowiec|Radocha 25 |41-200 ;105747;50.2862638 19.1040791;9.72;49.31
7.66;38.81;205;17;105925;247801;Zakład Karny|Zabrze|ul. Ks. Pawła Janika 12 |41-806 Zabrze;105925;50.3055572 18.7323322;4.88;65.37
17.48;67.14;118;25;105926;247801;Areszt Śledczy|Zabrze|ul. Sądowa 1 |41-800 Zabrze;105926;50.3249278 18.7857186;8.47;49.15
12.06;42.34;226;31;106554;260804;Zakład Karny w Pińczowie|Pińczów|ul. 3 Maja 34 |28-400 Pińczów;106554;50.52034 20.5264571;20.80;31.86
18.41;39.10;297;67;106942;266101;Areszt Śledczy|Kielce|ul. Zagnańska 155 |25-563 Kielce;106942;50.9002265 20.6314764;9.76;49.49
8.33;37.50;44;4;106961;280101;Areszt Śledczy w Bartoszycach|Bartoszyce|ul. Warszawska 5 |11-200 Bartoszyce;106961;54.2533 20.80806;25.00;54.55
6.80;28.93;288;21;106984;280105;Zakład Karny|Kamińsk|ul. XXX-lecia PRL 1 |11-220 Górowo Iławeckie;106984;54.28534 20.49296;10.07;63.19
4.17;66.21;92;4;107001;280201;Zakład Karny w Braniewie|Braniewo|Plac Grunwaldu 2A |14-500 Braniewo;107001;54.3797128 19.8200536;17.39;39.13
22.73;59.46;34;10;107041;280301;Areszt Śledczy w Działdowie|Działdowo|Wł.Jagiełly 31A |13-200 Działdowo;107041;53.2356765 20.1799787;32.35;41.18
15.69;48.57;43;8;107194;280601;Areszt Śledczy|Giżycko|ul. Warszawska 28A |11-500 Giżycko;107194;54.036405 21.7667341;18.60;27.91
17.47;39.12;307;65;107254;280701;Zakład Karny|Iława|ul. 1 Maja 14 |14-200 Iława;107254;53.5959811 19.5684104;7.17;57.33
22.43;38.35;83;24;107346;280804;Zakład Karny w Dublinach|Dubliny| 16 |11-430 Korsze;107346;54.16967 21.13909;3.61;50.60
12.62;52.35;263;38;107559;281401;Lokal Świetlicy Zakładu Karnego|Barczewo|ul.Klasztorna 7 |11-010 Barczewo;107559;53.82999 20.69058;6.08;72.62
25.64;65.55;58;20;107622;281406;Oddział Zewnętrzny w Kikitach Zakładu Karnego w Barczewie|Kikity| 33S |11-311 Kolno;107622;53.9772546 20.9734534;31.03;31.03
31.11;80.36;31;14;107691;281501;Areszt Śledczy|Ostróda|Olsztyńska 3 |14-100 ;107691;53.6963007 19.9647952;16.13;25.81
26.39;62.07;53;19;107821;281701;Areszt Śledczy|Szczytno|ul. Henryka Sienkiewicza 10 |12-100 Szczytno;107821;53.56354 20.99519;13.21;43.40
18.35;59.62;129;29;107980;286101;Areszt Śledczy|Elbląg|ul. 12 Lutego 4A |82-300 Elbląg;107980;54.1560613 19.4044897;13.18;59.69
12.70;54.31;55;8;108080;286201;Areszt Śledczy|Olsztyn|al. Marszałka Józefa Piłsudskiego 3 |10-575 Olsztyn;108080;53.77742 20.485382;12.96;33.33
15.29;33.60;72;13;108081;286201;Oddział Zewnętrzny Aresztu Śledczego|Olsztyn|ul. Opolska 42 |10-626 Olsztyn;108081;53.766159 20.5095567;14.08;52.11
12.90;36.12;162;24;108229;300302;Sala widzeń Zakładu Karnego w Gębarzewie|Gębarzewo| |62-241 Żydowo;108229;52.453899 17.590584;11.11;49.38
15.17;50.00;123;22;108965;301701;Areszt Śledczy|Ostrów Wielkopolski|ul. kardynała M. Ledóchowskiego 1 |63-400 Ostrów Wielkopolski;108965;51.6549856 17.8068258;11.38;56.91
13.25;37.28;131;20;109284;302104;Zakład Karny w Koziegłowach|Koziegłowy|Piaskowa 7 |62-028 Koziegłowy;109284;52.4450178 16.9918457;6.11;70.23
6.78;90.77;55;4;109322;302107;Oddział Zewnętrzny Aresztu Śledczego|Rosnowo|Jarzębinowa 2 |62-052 Komorniki;109322;52.3439225 16.81171;9.09;56.36
25.93;100.00;40;14;109391;302112;Areszt Śledczy Środa Wlkp. Oddział Zewnętrzny Pobiedziska|Pobiedziska|Władysława Jagiełły 34 |62-010 Pobiedziska;109391;52.47747 17.2880008;15.00;22.50
10.28;51.20;192;22;109498;302205;Zakład Karny w Rawiczu|Rawicz|17 Stycznia 28 |63-900 Rawicz;109498;51.60945 16.85863;10.94;54.17
17.61;48.63;117;25;109499;302205;Zakład Karny w Rawiczu|Rawicz|17 Stycznia 28 |63-900 Rawicz;109499;51.60945 16.85863;17.95;47.01
17.11;43.18;63;13;109582;302407;Areszt Śledczy|Szamotuły|Aleja 1 Maja 5 |64-500 Szamotuły;109582;52.6116547 16.5779047;22.22;38.10
12.44;31.74;373;53;109595;302408;Świetlica Zakładu Karnego|Wronki|Partyzantów 1 |64-510 Wronki;109595;52.7103395 16.3803948;9.65;62.47
17.65;65.38;42;9;109630;302504;Areszt Śledczy|Środa Wielkopolska|Gancarska 1 |63-000 Środa Wielkopolska;109630;52.22908 17.27607;7.14;57.14
7.50;61.07;74;6;109674;302604;Areszt Śledczy w Śremie|Śrem|Ks. Piotra Wawrzyniaka 6 |63-100 Śrem;109674;52.0887 17.01506;9.46;54.05
0.00;100.00;16;0;109973;306101;Zakład Karny|Kalisz|ul. Łódzka 2 |62-800 Kalisz;109973;51.7672799 18.0853462;37.50;37.50
8.70;79.31;42;4;110055;306301;Areszt Śledczy|Leszno|pl. Tadeusz kościuszki 3 |64-100 Leszno;110055;51.8419861 16.5937545;33.33;35.71
12.46;51.65;260;37;110283;306401;Areszt Śledczy w Poznaniu|Poznań|ul. Młyńska 1 |61-729 Poznań;110283;52.4116363 16.9274034;10.77;46.15
13.04;62.84;100;15;110310;306401;Oddział Zewnętrzny Aresztu Śledczego w Poznaniu|Poznań|ul. Nowosolska 40 |60-171 Poznań;110310;52.3758277 16.8338556;11.00;60.00
10.68;50.99;184;22;110347;320104;Odział Zewnętrzny Dobrowo Aresztu Śledczego Koszalin|Dobrowo| 53 |78-220 Tychowo;110347;53.9282701 16.2579143;8.70;56.52
19.74;69.09;61;15;110370;320202;Areszt Śledczy|Choszczno|ul. Wolności 12 |73-200 Choszczno;110370;53.16928 15.41971;11.48;49.18
15.22;48.94;39;7;110371;320202;Areszt Śledczy - Oddział Zewnętrzny|Choszczno|ul. Matejki 3 |73-200 Choszczno;110371;53.16928 15.41971;20.51;28.21
18.67;58.90;183;42;110426;320305;Zakład Karny|Wierzchowo|Szkolna 8 |78-530 Wierzchowo;110426;53.4615978 16.1019175;12.57;51.37
14.61;38.61;304;52;110465;320402;Zakład Karny|Goleniów|ul.Grenadierów 66 |72-100 Goleniów;110465;53.56382 14.82843;8.55;63.49
12.75;42.44;267;39;110489;320404;Zakład Karny|Nowogard|ul.Zamkowa 7 |72-200 Nowogard;110489;53.6741795 15.1163739;7.49;59.18
12.36;38.20;78;11;110530;320504;Zakład Karny Oddział w Płotach|Płoty|ul. Koszalińska 2 |72-310 Płoty;110530;53.7998339 15.2571213;15.38;62.82
7.69;84.78;36;3;110624;320703;ARESZT ŚLEDCZY|KAMIEŃ POMORSKI|ul.TADEUSZA KOŚCIUSZKI 13 |72-400 KAMIEŃ POMORSKI;110624;53.9672519 14.7714251;16.67;38.89
15.49;43.83;60;11;110721;320903;Zakład Karny w Starem Bornem|Stare Borne| 14 |76-020 Bobolice;110721;53.95494 16.58767;11.67;71.67
20.75;42.86;126;33;110963;321401;Zakład Karny|Stargard Szczeciński|ul. Aleja Żołnierza 42 |73-110 Stargard Szczeciński;110963;53.3364746 15.0503771;19.84;48.41
5.26;60.13;90;5;111024;321501;Zakład Karny|Szczecinek|Boh. Warszawy 42a |78-400 Szczecinek;111024;53.7100713 16.6993602;14.44;32.22
15.38;49.27;143;26;111207;326101;Zakład Karny|Koszalin|ul. Strefowa 17 |75-950 Koszalin;111207;54.1917007 16.2465436;9.79;46.15
23.49;62.64;127;39;111208;326101;Areszt Śledczy|Koszalin|ul. Młyńska 71 |75-950 Koszalin;111208;54.1917007 16.2465436;10.24;57.48
14.34;62.95;227;38;111408;326201;Areszt Śledczy|Szczecin|ul. Kaszubska 28 |70-226 Szczecin;111408;53.4243965 14.5484638;8.37;54.19
14.29;48.84;18;3;111437;326301;Areszt Śledczy|Świnoujscie|ul. Marszałka J. Piłsudskiego 25a |72-600 Świnoujście;111437;53.9044761 14.2682323;11.11;33.33
19.69;66.15;102;25;83686;020202;Areszt Śledczy|Dzierżoniów|Ząbkowicka 53 |58-200 Dzierżoniów;83686;50.7308605 16.6567892;18.81;47.52
16.54;48.01;111;22;83759;020301;Zakład Karny|Głogów|ul. Lipowa 21 |67-200 Głogów;83759;51.6635852 16.0846672;14.41;58.56
12.12;43.78;232;32;83959;020802;Zakład Karny w Kłodzku|Kłodzko|Bohaterów Getta 16 |57-300 Kłodzko;83959;50.4345636 16.6613941;9.05;62.07
7.14;58.82;65;5;84138;021001;Areszt Śledczy|Lubań|ul. Podwale 1 |59-800 Lubań;84138;51.1179142 15.2893895;16.92;46.15
13.36;55.11;201;31;84169;021007;Zakład Karny w Zarębie|Zaręba|ul. Leśna 4 |59-800 Lubań;84169;51.1179142 15.2893895;3.98;37.81
16.87;58.04;69;14;84336;021401;Zakład Karny w Oleśnicy|Oleśnica|ul.Wały Jagiellońskie 1 |56-400 Oleśnica;84336;51.2134346 17.3898504;23.19;42.03
5.85;58.66;354;22;84502;021704;Zakład Karny w Strzelinie|Strzelin|ul. Ząbkowicka 68 |57-100 Strzelin;84502;50.7812167 17.0646124;13.84;37.01
10.08;53.09;116;13;84561;021901;Areszt Śledczy|Świdnica|ul. Trybunalska 16 |58-100 Świdnica;84561;50.8498434 16.475679;7.76;63.79
14.45;54.51;450;76;84785;022203;Zakład Karny w Wołowie|Wołów|ul. Więzienna 6 |56-100 Wołów;84785;51.3364277 16.6441164;5.56;70.67
9.40;52.28;135;14;85120;026101;Areszt Śledczy|Jelenia Góra|ul. Grottgera 2 |58-500 Jelenia Góra;85120;50.9044171 15.7193616;14.07;65.93
16.70;65.97;394;79;85454;026401;Areszt Śledczy|Wrocław|ul. Świebodzka 1 |50-046 Wrocław;85454;51.1048393 17.0256767;12.94;56.60
14.17;48.00;206;34;85456;026401;Zakład Karny Nr 2|Wrocław|ul. Fiołkowa 38 |53-239 Wrocław;85456;51.0930709 16.9744434;9.71;63.11
19.77;43.56;426;105;85459;026401;Zakład Karny Nr 1|Wrocław|ul.Kleczkowska 35 |50-227 Wrocław;85459;51.1269721 17.0342588;10.09;55.16
20.51;63.93;31;8;85548;026501;Areszt Śledczy|Wałbrzych|ul.Juliusza Słowackiego 10a |58-300 Wałbrzych;85548;50.7840092 16.2843553;25.81;45.16
8.18;35.37;202;18;85721;040304;Zakład Karny|Koronowo|ul. Bydgoska 27 |86-010 Koronowo;85721;53.3155945 17.924967;6.93;57.43
8.97;33.48;71;7;85751;040307;ZAKŁAD KARNY W KORONOWIE ODDZIAŁ ZEWNĘTRZNY W STRZELEWIE|STRZELEWO| 61 |86-014 SICIENKO;85751;53.2063746 17.7940342;9.86;56.34
15.62;49.23;27;5;85780;040401;Oddział Zewnętrzny Zakładu Karnego nr 2 w Grudziądzu|Chełmno|ul. 22 Stycznia 3a |86-200 Chełmno;85780;53.34842 18.42499;14.81;62.96
8.51;29.10;86;8;85933;040701;ZAKŁAD KARNY W INOWROCŁAWIU|INOWROCŁAW|PREZYDENTA GABRIELA NARUTOWICZA 46 |88-100 INOWROCŁAW;85933;52.7993317 18.2562032;9.30;60.47
20.29;41.95;326;83;86191;041003;ZAKŁAD KARNY|Potulice|UL. ALEJA PARKOWA 1 |89-120 Potulice;86191;53.124081 17.6908185;14.72;47.55
46.43;93.33;15;13;86192;041003;ZAKŁAD OPIEKI ZDROWOTNEJ ZAKŁAD KARNY|Potulice|UL. ALEJA PARKOWA 1 |89-120 Potulice;86192;53.124081 17.6908185;6.67;46.67
7.98;39.17;173;15;86969;046101;Areszt Śledczy w Bydgoszczy|Bydgoszcz|ul. Wały Jagiellońskie 4 |85-128 Bydgoszcz;86969;53.118252 18.0749923;8.67;54.91
9.13;45.22;189;19;86970;046101;Zakład Karny Bydgoszcz - Fordon w Bydgoszczy|Bydgoszcz|ul. Rynek 8 |85-790 Bydgoszcz;86970;53.1559753 18.1612491;12.17;52.91
26.82;28.95;161;59;87023;046201;Zakład Karny Nr 1|Grudziądz|ul. Wybickiego 10/22 |86-300 Grudziądz;87023;53.4837486 18.753565;14.29;37.27
13.04;33.33;100;15;87024;046201;Zakład Karny Nr 2|Grudziądz|ul. Sikorskiego 13/17 |86-300 Grudziądz;87024;53.4837486 18.753565;11.00;62.00
13.21;46.09;46;7;87136;046301;Areszt Śledczy|Toruń|ul. Piekary 53 |87-100 Toruń;87136;53.0137902 18.5984437;10.87;58.70
16.75;39.26;338;68;87216;046401;Zakład Karny|Włocławek|Bartnicka 10 |87-800 Włocławek;87216;52.6483303 19.0677357;10.95;47.34
24.32;31.09;28;9;87261;060106;Zakład Karny w Zabłociu|Zabłocie| 122 |21-509 Kodeń;87261;51.914075 23.6068176;7.14;25.00
20.00;44.47;132;33;87535;060401;Zakład Karny|Hrubieszów|ul. Nowa 64 |22-500 Hrubieszów;87535;50.80518 23.89091;22.73;33.33
13.41;34.31;71;11;87644;060601;Areszt Śledczy|Krasnystaw|Poniatowskiego 27 |22-300 Krasnystaw;87644;50.98411 23.17194;7.04;40.85
19.92;44.80;193;48;88217;061205;Zakład Karny w Opolu Lubelskim - sala lekcyjna w budynku Zespołu Szkół|Opole Lubelskie|Owocowa 7 |24-300 Opole Lubelskie;88217;51.14738 21.96914;11.92;42.49
7.32;38.05;152;12;88660;061901;Świetlica Zakład Karny|Włodawa|Żołnierzy WiN 19 |22-200 Włodawa;88660;51.55178 23.55434;7.24;64.47
26.56;61.84;94;34;88850;066101;Zakład Karny|Biała Podlaska|ul. Prosta 33 |21-500 Biała Podlaska;88850;52.0387126 23.1445026;11.70;45.74
24.66;34.90;168;55;88885;066201;Zakład karny|Chełm|Kolejowa 112 |22-100 chełm;88885;51.1431232 23.4711986;10.12;53.57
20.71;48.17;333;87;89094;066301;Areszt Śledczy w Lublinie|Lublin|ul. Południowa 5 |20-482 Lublin;89094;51.2052116 22.5695924;13.21;45.95
16.67;42.67;80;16;89125;066401;Zakład Karny w Zamościu|Zamość|Okrzei 14 |22-400 Zamość;89125;50.7230879 23.2519686;20.00;32.50
13.08;42.90;113;17;89126;066401;Oddział Zewnętrzny Zakładu Karnego w Zamościu|Zamość|Hrubieszowska 40 |22-400 Zamość;89126;50.7230879 23.2519686;23.89;17.70
6.12;54.44;46;3;89223;080205;Areszt Śledczy w Lubsku Oddział Zewnętrzny w Wałowicach|Wałowice| 74|66-620 Gubin;89223;51.9572202 14.7492104;17.39;43.48
17.55;55.13;155;33;89266;080302;Areszt Śledczy w Międzyrzeczu|Międzyrzecz|Młyńska 21 |66-300 Międzyrzecz;89266;52.4444808 15.5779005;15.48;43.87
15.07;73.74;62;11;89319;080401;Areszt Śledczy|Nowa Sól|Żeromskiego 2 |67-100 67-100;89319;51.7960777 15.7230552;9.68;53.23
17.65;34.58;84;18;89437;080703;Zakład Karny Gorzów Wielkopolski - Oddział Zewnętrzyny w Słońsku|Słońsk|Winna 2 |66-436 Słońsk;89437;52.5633603 14.8055782;5.95;67.86
15.57;41.70;244;45;89522;080905;Zakład Karny w Krzywańcu|Krzywaniec| |66-010 Nowogród Bobrzański;89522;51.7985281 15.235124;6.56;66.39
10.34;79.45;52;6;89653;081106;Areszt Śledczy w Lubsku|Lubsko|Nowa 2 |68-300 Lubsko;89653;51.784371 14.9719305;11.54;48.08
15.54;43.96;163;30;89770;086101;Zakład Karny|Gorzów Wielkopolski|Podmiejska 17 |66-400 Gorzów Wielkopolski;89770;52.7325285 15.2369305;11.66;47.85
10.20;41.18;88;10;89848;086201;Areszt Śledczy|Zielona Góra|ul. Łużycka 2 |65-601 Zielona Góra;89848;51.9347152 15.4892678;13.64;48.86
17.48;29.15;203;43;90076;100405;Zakład Karny w Garbalinie|Garbalin| 18 |99-100 Łęczyca;90076;52.05959 19.19969;7.88;44.33
14.93;36.83;188;33;90112;100501;Zakład Karny|Łowicz|ul. Wiejska 3 |99-400 Łowicz;90112;52.1067916 19.9453744;6.38;61.70
14.08;42.26;244;40;90708;101401;Zakład Karny Sieradz|Sieradz|Orzechowa 5 |98-200 Sieradz;90708;51.5956014 18.7302994;17.21;40.16
25.42;49.17;44;15;90709;101401;Zakład Karny Sieradz|Sieradz|Torowa 2 |98-200 Sieradz;90709;51.5956014 18.7302994;18.18;27.27
14.02;54.37;374;61;91614;106101;Areszt Śledczy w Łodzi|Łódź|ul. Smutna 21 |91-729 Łódź;91614;51.7889251 19.4929466;9.09;48.40
13.33;53.33;104;16;91623;106101;Zakład Karny Nr 2 w Łodzi|Łódź|ul. Kraszewskiego 1/5 |93-161 Łódź;91623;50.9422999 20.54626;17.31;53.85
10.88;29.58;131;16;91639;106101;Zakład Karny Nr 1 w Łodzi|Łódź|ul. Beskidzka 54 |91-611 Łódź;91639;51.7986679 19.4987401;9.16;51.15
13.65;44.72;234;37;91679;106201;Areszt Śledczy|Piotrków Trybunalski|Wronia 76/90 |97-300 Piotrków Trybunalski;91679;51.4051721 19.7030244;8.97;62.39
11.11;51.35;152;19;91764;120106;Zakład Karny w Nowym Wiśniczu|Nowy Wiśnicz| |32-720 Nowy Wiśnicz;91764;49.9158004 20.4612616;8.55;59.21
11.36;58.41;117;15;91945;120305;Zakład Karny w Trzebini|Trzebinia|Słowackiego 70 |32-540 Trzebinia;91945;50.15847 19.4694;11.11;36.75
12.22;60.40;158;22;93461;121809;Zakład Karny w Wadowicach|Wadowice|Trybunalska 8 |34-100 Wadowice;93461;49.8827856 19.4939579;11.39;66.46
13.71;56.51;277;44;94011;126101;Areszt Śledczy Kraków|Kraków|ul. Montelupich 7 |31-148 ;94011;50.0709419 19.9386272;13.72;52.71
7.96;63.48;104;9;94035;126101;ARESZT ŚLEDCZY W KRAKOWIE|KRAKÓW|CZARNIECKIEGO 3 |30-536 ;94035;50.0446815 19.9542512;18.27;34.62
6.61;51.71;113;8;94042;126101;ZAKŁAD KARNY KRAKÓW - NOWA HUTA|Kraków|ul. Spławy 2 |31-987 ;94042;50.0883712 20.1366891;14.29;31.25
13.95;56.77;148;24;94099;126201;Zakład Karny|Nowy Sącz|ul. Pijarska 1 |33-300 Nowy Sącz;94099;49.6174535 20.7153326;14.86;63.51
12.33;44.51;128;18;94171;126301;Zakład Karny Tarnów-Mościce|Tarnów|ul. Jędrzeja Śniadeckiego 9 |33-101 Tarnów;94171;51.320924 23.300199;10.16;43.75
16.61;46.85;236;47;94172;126301;Zakład Karny w Tarnowie|Tarnów|ul. Stanisława Konarskiego 2 |33-100 Tarnów;94172;50.0121011 20.9858407;20.34;37.71
7.22;41.81;90;7;94173;126301;Zakład Karny w Tarnowie - Oddział Penitencjarny Nr 3|Tarnów|ul. Wspólna 15 |33-100 Tarnów;94173;50.0121011 20.9858407;15.56;26.67
7.02;91.94;53;4;94446;140504;Oddz. Zewn. Aresztu Śledczego Warszawa Służewiec w Grodzisku Mazowieckim|1 Maja 27 |05-825 Grodzisk Mazowiecki;94446;52.1044383 20.6350923;15.09;37.74
12.38;55.85;92;13;94500;140605;Areszt Śledczy w Grójcu|Grójec|Armii Krajowej 21 |05-600 Grójec;94500;51.8655118 20.8666034;14.13;53.26
13.66;40.86;139;22;94546;140701;Zakład Karny w Żytkowicach|Żytkowice| |26-930 Garbatka-Letnisko;94546;51.4932609 21.6319608;5.04;68.35
16.41;30.42;163;32;95083;141510;Zakład Karny w Przytułach Starych|Przytuły Stare| 13A |07-411 Rzekuń;95083;53.0463851 21.6508279;4.91;62.58
14.81;49.09;46;8;95481;142001;Areszt Śledczy w Płońsku|Płońsk|ul. Warszawska 49 |09-100 Płońsk;95481;52.6230132 20.3753589;10.87;47.83
10.00;60.61;72;8;95855;142508;Oddział Zewnętrzny w Pionkach Zakładu Karnego w Żytkowicach|Pionki| |26-670 ;95855;51.4757752 21.4500545;12.50;44.44
14.02;49.01;233;38;96725;146201;Zakład Karny|Płock|ul. Sienkiewicza 22 -|09-402 Płock;96725;52.5791838 19.739075;13.73;54.08
11.25;39.27;276;35;96837;146301;Areszt Śledczy|Radom|Wolanowska 120 |26-600 Radom;96837;51.4027236 21.1471333;11.59;59.42
27.12;100.00;43;16;96839;146301;Oddział Zewnętrzny Aresztu Śledczego|Radom|Witosa 62 |26-600 Radom;96839;51.4027236 21.1471333;9.30;34.88
10.46;37.17;214;25;96882;146401;Zakład Karny|Siedlce|Piłsudskiego 47 |08-110 Siedlce;96882;52.1676031 22.2901645;12.15;58.41
21.51;45.70;146;40;96991;146503;Zakład Karny|Warszawa|Ciupagi 1B |03-016 Warszawa;96991;52.3345603 21.0077924;6.85;47.95
9.22;54.81;522;53;96992;146503;Areszt Śledczy|Warszawa|Ciupagi 1 |03-016 Warszawa;96992;52.3345603 21.0077924;8.62;55.56
5.01;54.64;341;18;97175;146505;Areszt Śledczy Warszawa Mokotów|Warszawa|ul. Rakowiecka 37 |02-517 Warszawa;97175;52.2058715 21.0004529;7.62;54.55
5.22;49.08;254;14;97311;146507;Areszt Śledczy Warszawa Grochów|Warszawa|ul. J. Chłopickiego 71A |04-275 Warszawa;97311;52.2578773 21.1241264;8.66;50.79
