nrk;pgnw;freq;lgw;lgnw
100899;2.64;45.09;886;24
100900;0.91;50.23;547;5
100901;2.18;45.45;943;21
100902;2.21;45.44;887;20
100903;2.19;44.49;892;20
100904;2.07;46.83;853;18
100905;3.15;50.69;461;15
100906;1.85;49.34;1060;20
100907;1.81;44.58;815;15
100908;1.70;50.99;984;17
100909;2.43;38.27;401;10
100910;2.86;36.84;34;1
100911;2.60;50.93;748;20
100912;2.90;53.94;805;24
100913;33.33;30.93;20;10
100914;3.16;34.01;276;9
100915;1.35;45.29;365;5
100916;3.95;33.00;219;9
100917;0.46;48.77;217;1
100918;2.21;34.92;265;6
100919;3.08;43.05;189;6
100920;4.00;25.41;192;8
100921;4.40;32.85;239;11
100922;6.15;25.59;122;8
