okreg;tkod;idkomisji
10;101201;90577
10;101201;90578
10;101201;90579
10;101201;90580
10;101201;90581
10;101201;90582
10;101201;90583
10;101201;90584
10;101201;90585
10;101201;90586
10;101201;90587
10;101201;90588
10;101202;90589
10;101202;90590
10;101202;90591
10;101203;90592
10;101203;90593
10;101203;90594
10;101203;90595
10;101203;90596
10;101203;90597
10;101204;90598
10;101204;90599
10;101204;90600
10;101204;90601
10;101204;90602
10;101205;90603
10;101205;90604
10;101205;90605
10;101205;90606
10;101205;90607
10;101206;90608
10;101206;90609
10;101206;90610
10;101206;90611
10;101207;90612
10;101207;90613
10;101207;90614
10;101207;90615
10;101207;90616
10;101207;90617
10;101208;90618
10;101208;90619
10;101208;90620
10;101208;90621
10;101209;90622
10;101209;90623
10;101209;90624
10;101209;90625
10;101209;90626
10;101210;90627
10;101210;90628
10;101210;90629
10;101210;90630
10;101211;90631
10;101211;90632
10;101211;90633
10;101211;90634
10;101211;90635
10;101211;90636
10;101211;90637
10;101212;90638
10;101212;90639
10;101212;90640
10;101212;90641
10;101212;90642
10;101212;90643
10;101213;90644
10;101213;90645
10;101213;90646
10;101213;90647
10;101213;90648
10;101213;90649
10;101214;90650
10;101214;90651
10;101214;90652
10;101214;90653
10;101301;90654
10;101301;90655
10;101301;90656
10;101301;90657
10;101301;90658
10;101301;90659
10;101301;90660
10;101301;90661
10;101301;90662
10;101302;90663
10;101302;90664
10;101302;90665
10;101302;90666
10;101302;90667
10;101302;90668
10;101302;90669
10;101303;90670
10;101303;90671
10;101303;90672
10;101304;90673
10;101304;90674
10;101304;90675
10;101304;90676
10;101304;90677
10;101305;90678
10;101306;90679
10;101306;90680
10;101306;90681
10;101306;90682
10;101501;90777
10;101501;90778
10;101501;90779
10;101501;90780
10;101501;90781
10;101502;90782
10;101502;90783
10;101502;90784
10;101502;90785
10;101503;90786
10;101503;90787
10;101504;90788
10;101504;90789
10;101504;90790
10;101504;90791
10;101504;90792
10;101505;90793
10;101505;90794
10;101505;90795
10;101506;90796
10;101506;90797
10;101506;90798
10;101506;90799
10;101506;90800
10;101506;90801
10;101507;90802
10;101507;90803
10;101507;90804
10;101507;90805
10;101508;90806
10;101508;90807
10;101508;90808
10;101508;90809
10;101508;90810
10;101508;90811
10;101508;90812
10;101508;90813
10;101509;90814
10;101509;90815
10;101601;90816
10;101601;90817
10;101601;90818
10;101601;90819
10;101601;90820
10;101601;90821
10;101601;90822
10;101601;90823
10;101601;90824
10;101601;90825
10;101601;90826
10;101601;90827
10;101601;90828
10;101601;90829
10;101601;90830
10;101601;90831
10;101601;90832
10;101601;90833
10;101601;90834
10;101601;90835
10;101601;90836
10;101601;90837
10;101601;90838
10;101601;90839
10;101601;90840
10;101601;90841
10;101601;90842
10;101601;90843
10;101602;90844
10;101602;90845
10;101602;90846
10;101603;90847
10;101603;90848
10;101603;90849
10;101604;90850
10;101604;90851
10;101604;90852
10;101604;90853
10;101605;90854
10;101605;90855
10;101605;90856
10;101605;90857
10;101606;90858
10;101606;90859
10;101606;90860
10;101606;90861
10;101606;90862
10;101606;90863
10;101606;90864
10;101607;90865
10;101607;90866
10;101607;90867
10;101607;90868
10;101607;90869
10;101608;90870
10;101608;90871
10;101608;90872
10;101608;90873
10;101609;90874
10;101609;90875
10;101609;90876
10;101609;90877
10;101609;90878
10;101609;90879
10;101609;90880
10;101609;90881
10;101609;90882
10;101610;90883
10;101610;90884
10;101610;90885
10;101610;90886
10;101610;90887
10;101610;90888
10;101610;90889
10;101610;90890
10;101611;90891
10;101611;90892
10;101611;90893
10;101611;90894
10;106201;91640
10;106201;91641
10;106201;91642
10;106201;91643
10;106201;91644
10;106201;91645
10;106201;91646
10;106201;91647
10;106201;91648
10;106201;91649
10;106201;91650
10;106201;91651
10;106201;91652
10;106201;91653
10;106201;91654
10;106201;91655
10;106201;91656
10;106201;91657
10;106201;91658
10;106201;91659
10;106201;91660
10;106201;91661
10;106201;91662
10;106201;91663
10;106201;91664
10;106201;91665
10;106201;91666
