teryt;typ;name
102008;R;Stryków
102009;R;Zgierz
102101;U;Brzeziny
102102;R;Brzeziny
102103;R;Dmosin
102104;R;Jeżów
102105;R;Rogów
106101;U;Łódź
106102;R;Łódź-Bałuty
106103;R;Łódź-Górna
106104;R;Łódź-Polesie
106105;R;Łódź-Śródmieście
106106;R;Łódź-Widzew
106201;U;Piotrków Trybunalski
106301;U;Skierniewice
120101;U;Bochnia
120102;R;Bochnia
120103;R;Drwinia
120104;R;Lipnica Murowana
120105;R;Łapanów
120106;R;Nowy Wiśnicz
120107;R;Rzezawa
120108;R;Trzciana
120109;R;Żegocina
120201;R;Borzęcin
120202;R;Brzesko
120203;R;Czchów
120204;R;Dębno
120205;R;Gnojnik
120206;R;Iwkowa
120207;R;Szczurowa
120301;R;Alwernia
120302;R;Babice
120303;R;Chrzanów
120304;R;Libiąż
120305;R;Trzebinia
120401;R;Bolesław
120402;R;Dąbrowa Tarnowska
120403;R;Gręboszów
120404;R;Mędrzechów
120405;R;Olesno
120406;R;Radgoszcz
120407;R;Szczucin
120501;U;Gorlice
120502;R;Biecz
120503;R;Bobowa
120504;R;Gorlice
120505;R;Lipinki
120506;R;Łużna
120507;R;Moszczenica
120508;R;Ropa
120509;R;Sękowa
120510;R;Uście Gorlickie
120601;R;Czernichów
120602;R;Igołomia-Wawrzeńczyce
120603;R;Iwanowice
120604;R;Jerzmanowice-Przeginia
120605;R;Kocmyrzów-Luborzyca
120606;R;Krzeszowice
120607;R;Liszki
120608;R;Michałowice
120609;R;Mogilany
120610;R;Skała
120611;R;Skawina
120612;R;Słomniki
120613;R;Sułoszowa
120614;R;Świątniki Górne
120615;R;Wielka Wieś
120616;R;Zabierzów
120617;R;Zielonki
120701;U;Limanowa
120702;U;Mszana Dolna
120703;R;Dobra
120704;R;Jodłownik
120705;R;Kamienica
120706;R;Laskowa
120707;R;Limanowa
120708;R;Łukowica
120709;R;Mszana Dolna
120710;R;Niedźwiedź
120711;R;Słopnice
120712;R;Tymbark
120801;R;Charsznica
120802;R;Gołcza
120803;R;Kozłów
120804;R;Książ Wielki
120805;R;Miechów
120806;R;Racławice
120807;R;Słaboszów
120901;R;Dobczyce
120902;R;Lubień
120903;R;Myślenice
120904;R;Pcim
120905;R;Raciechowice
120906;R;Siepraw
120907;R;Sułkowice
120908;R;Tokarnia
120909;R;Wiśniowa
121001;U;Grybów
121002;R;Chełmiec
121003;R;Gródek nad Dunajcem
121004;R;Grybów
121005;R;Kamionka Wielka
121006;R;Korzenna
121007;R;Krynica-Zdrój
121008;R;Łabowa
121009;R;Łącko
121010;R;Łososina Dolna
121011;R;Muszyna
121012;R;Nawojowa
121013;R;Piwniczna-Zdrój
121014;R;Podegrodzie
121015;R;Rytro
121016;R;Stary Sącz
121101;U;Nowy Targ
121102;R;Szczawnica
121103;R;Czarny Dunajec
121104;R;Czorsztyn
121105;R;Jabłonka
121106;R;Krościenko nad Dunajcem
121107;R;Lipnica Wielka
121108;R;Łapsze Niżne
121109;R;Nowy Targ
121110;R;Ochotnica Dolna
121111;R;Raba Wyżna
121112;R;Rabka-Zdrój
121113;R;Spytkowice
121114;R;Szaflary
121201;U;Bukowno
121203;R;Bolesław
121204;R;Klucze
121205;R;Olkusz
121206;R;Trzyciąż
121207;R;Wolbrom
121301;U;Oświęcim
121302;R;Brzeszcze
121303;R;Chełmek
121304;R;Kęty
121305;R;Osiek
121306;R;Oświęcim
121307;R;Polanka Wielka
121308;R;Przeciszów
121309;R;Zator
121401;R;Koniusza
121402;R;Koszyce
121403;R;Nowe Brzesko
121404;R;Pałecznica
121405;R;Proszowice
121406;R;Radziemice
121501;U;Jordanów
121502;U;Sucha Beskidzka
121503;R;Budzów
121504;R;Bystra-Sidzina
121505;R;Jordanów
121506;R;Maków Podhalański
121507;R;Stryszawa
121508;R;Zawoja
121509;R;Zembrzyce
121601;R;Ciężkowice
121602;R;Gromnik
121603;R;Lisia Góra
121604;R;Pleśna
121605;R;Radłów
121606;R;Ryglice
121607;R;Rzepiennik Strzyżewski
121608;R;Skrzyszów
121609;R;Tarnów
121610;R;Tuchów
121611;R;Wierzchosławice
121612;R;Wietrzychowice
121613;R;Wojnicz
121614;R;Zakliczyn
121615;R;Żabno
121616;R;Szerzyny
121701;U;Zakopane
121702;R;Biały Dunajec
121703;R;Bukowina Tatrzańska
121704;R;Kościelisko
121705;R;Poronin
