teryt;typ;name
302117;R;Tarnowo Podgórne
302201;R;Bojanowo
302202;R;Jutrosin
302203;R;Miejska Górka
302204;R;Pakosław
302205;R;Rawicz
302301;U;Słupca
302302;R;Lądek
302303;R;Orchowo
302304;R;Ostrowite
302305;R;Powidz
302306;R;Słupca
302307;R;Strzałkowo
302308;R;Zagórów
302401;U;Obrzycko
302402;R;Duszniki
302403;R;Kaźmierz
302404;R;Obrzycko
302405;R;Ostroróg
302406;R;Pniewy
302407;R;Szamotuły
302408;R;Wronki
302501;R;Dominowo
302502;R;Krzykosy
302503;R;Nowe Miasto nad Wartą
302504;R;Środa Wielkopolska
302505;R;Zaniemyśl
302601;R;Brodnica
302602;R;Dolsk
302603;R;Książ Wielkopolski
302604;R;Śrem
302701;U;Turek
302702;R;Brudzew
302703;R;Dobra
302704;R;Kawęczyn
302705;R;Malanów
302706;R;Przykona
302707;R;Tuliszków
302708;R;Turek
302709;R;Władysławów
302801;U;Wągrowiec
302802;R;Damasławek
302803;R;Gołańcz
302804;R;Mieścisko
302805;R;Skoki
302806;R;Wapno
302807;R;Wągrowiec
302901;R;Przemęt
302902;R;Siedlec
302903;R;Wolsztyn
303001;R;Kołaczkowo
303002;R;Miłosław
303003;R;Nekla
303004;R;Pyzdry
303005;R;Września
303101;U;Złotów
303102;R;Jastrowie
303103;R;Krajenka
303104;R;Lipka
303105;R;Okonek
303106;R;Tarnówka
303107;R;Zakrzewo
303108;R;Złotów
306101;U;Kalisz
306201;U;Konin
306301;U;Leszno
306401;U;Poznań
306402;R;Poznań-Grunwald
306403;R;Poznań-Jeżyce
306404;R;Poznań-Nowe Miasto
306405;R;Poznań-Stare Miasto
306406;R;Poznań-Wilda
320101;U;Białogard
320102;R;Białogard
320103;R;Karlino
320104;R;Tychowo
320201;R;Bierzwnik
320202;R;Choszczno
320203;R;Drawno
320204;R;Krzęcin
320205;R;Pełczyce
320206;R;Recz
320301;R;Czaplinek
320302;R;Drawsko Pomorskie
320303;R;Kalisz Pomorski
320304;R;Ostrowice
320305;R;Wierzchowo
320306;R;Złocieniec
320402;R;Goleniów
320403;R;Maszewo
320404;R;Nowogard
320405;R;Osina
320406;R;Przybiernów
320407;R;Stepnica
320501;R;Brojce
320502;R;Gryfice
320503;R;Karnice
320504;R;Płoty
320507;R;Rewal
320508;R;Trzebiatów
320601;R;Banie
320602;R;Cedynia
320603;R;Chojna
320604;R;Gryfino
320605;R;Mieszkowice
320606;R;Moryń
320607;R;Stare Czarnowo
320608;R;Trzcińsko-Zdrój
320609;R;Widuchowa
320701;R;Dziwnów
320702;R;Golczewo
320703;R;Kamień Pomorski
320704;R;Międzyzdroje
320705;R;Świerzno
320706;R;Wolin
320801;U;Kołobrzeg
320802;R;Dygowo
320803;R;Gościno
320804;R;Kołobrzeg
320805;R;Rymań
320806;R;Siemyśl
320807;R;Ustronie Morskie
320901;R;Będzino
320902;R;Biesiekierz
320903;R;Bobolice
320904;R;Manowo
320905;R;Mielno
320906;R;Polanów
320907;R;Sianów
320908;R;Świeszyno
321001;R;Barlinek
321002;R;Boleszkowice
321003;R;Dębno
321004;R;Myślibórz
321005;R;Nowogródek Pomorski
321101;R;Dobra (Szczecińska)
321102;R;Kołbaskowo
321103;R;Nowe Warpno
321104;R;Police
321201;R;Bielice
321202;R;Kozielice
321203;R;Lipiany
321204;R;Przelewice
321205;R;Pyrzyce
321206;R;Warnice
321301;U;Darłowo
321302;U;Sławno
321303;R;Darłowo
321304;R;Malechowo
321305;R;Postomino
321306;R;Sławno
321401;U;Stargard
321402;R;Chociwel
321403;R;Dobrzany
321404;R;Dolice
321405;R;Ińsko
321406;R;Kobylanka
321408;R;Marianowo
321409;R;Stara Dąbrowa
321410;R;Stargard
321411;R;Suchań
321501;U;Szczecinek
321502;R;Barwice
321503;R;Biały Bór
321504;R;Borne Sulinowo
321505;R;Grzmiąca
321506;R;Szczecinek
321601;U;Świdwin
321602;R;Brzeżno
321603;R;Połczyn-Zdrój
321604;R;Rąbino
321605;R;Sławoborze
321606;R;Świdwin
321701;U;Wałcz
321702;R;Człopa
321703;R;Mirosławiec
321704;R;Tuczno
321705;R;Wałcz
321801;R;Dobra
321802;R;Łobez
321803;R;Radowo Małe
321804;R;Resko
321805;R;Węgorzyno
326101;U;Koszalin
326201;U;Szczecin
326301;U;Świnoujście
