nrk;pgnw;freq;lgw;lgnw;pPiS;pPO
100231;3.15;61.52;1045;34;54.74;15.12
100232;1.84;55.69;639;12;59.78;12.99
100233;2.08;52.99;754;16;61.41;10.48
100234;2.70;58.41;794;22;66.12;8.06
100235;2.38;57.36;616;15;66.56;6.17
100236;2.11;47.93;464;10;70.04;7.11
100237;1.94;44.31;557;11;44.34;20.65
100238;2.16;44.98;543;12;45.49;21.92
100239;0.74;49.71;671;5;51.86;19.37
100240;0.84;48.49;588;5;43.88;24.49
100241;1.41;54.34;771;11;45.53;18.42
100242;2.40;48.60;815;20;54.11;13.87
100243;1.49;48.37;729;11;43.62;21.81
100244;2.55;43.59;650;17;44.62;21.08
100245;1.94;47.91;709;14;45.28;23.70
100246;1.70;43.73;521;9;42.42;24.38
100247;2.77;48.58;667;19;46.33;24.29
100248;2.88;43.33;606;18;43.89;23.76
100249;2.07;51.97;710;15;38.87;22.96
100250;2.10;55.37;793;17;44.14;22.19
100251;2.56;50.68;685;18;41.46;25.40
100252;2.01;44.17;586;12;43.34;20.14
100253;2.80;50.00;973;28;44.91;21.27
100254;2.31;48.84;762;18;49.48;19.95
100255;2.01;48.25;877;18;42.99;22.23
100256;2.10;44.32;653;14;47.93;20.83
100257;1.75;54.47;730;13;40.96;22.88
100258;10.71;45.90;75;9;52.00;20.00
100259;26.42;46.49;39;14;10.26;20.51
100260;5.33;42.25;462;26;52.60;8.01
100261;3.14;41.32;401;13;57.11;9.23
100262;2.69;47.49;470;13;55.74;9.79
100263;7.41;27.00;75;6;41.33;9.33
100264;3.18;43.16;821;27;56.64;9.74
100265;3.19;47.79;606;20;35.48;9.90
100266;1.91;46.27;462;9;63.20;6.06
100267;2.08;33.33;329;7;30.09;26.44
100268;5.07;23.59;131;7;41.22;29.01
100269;5.48;24.54;138;8;22.46;19.57
100270;1.10;28.48;180;2;35.56;12.22
100271;3.17;33.92;428;14;41.82;18.93
100272;18.75;41.56;52;12;5.77;71.15
100273;6.98;34.13;80;6;8.75;58.75
100274;1.60;45.70;246;4;52.44;11.38
100275;2.57;49.00;835;22;71.74;3.83
100276;4.28;47.80;291;13;65.64;10.31
100277;4.80;43.71;119;6;59.66;10.08
100278;2.50;44.37;273;7;58.97;9.89
100279;5.98;49.73;173;11;43.35;18.50
100280;2.38;43.65;369;9;59.35;10.84
100281;3.40;46.26;227;8;44.93;16.30
100282;2.87;50.56;305;9;74.43;6.23
100283;2.40;42.88;447;11;47.20;11.63
100284;4.23;60.04;521;23;78.50;4.03
100285;4.50;46.61;446;21;63.45;5.16
100286;4.15;37.34;277;12;57.04;4.33
100287;2.45;42.32;398;10;50.75;15.58
100288;2.06;48.02;95;2;55.79;7.37
100289;3.64;38.87;106;4;64.15;7.55
100290;1.13;41.15;262;3;63.74;11.45
100291;4.23;36.36;249;11;65.46;7.23
100292;1.64;45.32;300;5;60.33;10.33
100293;5.38;45.86;246;14;35.77;25.20
100294;6.18;38.95;577;38;53.03;16.46
100295;3.01;43.56;774;24;46.25;17.83
100296;2.82;44.66;999;29;50.35;15.02
100297;7.64;32.67;290;24;54.83;9.66
100298;1.75;44.14;729;13;67.35;7.54
100299;3.44;48.51;534;19;65.73;10.49
100300;5.63;42.94;436;26;70.87;8.94
100301;6.25;34.47;180;12;25.56;19.44
100302;4.05;46.84;426;18;51.17;13.62
100303;3.35;42.06;635;22;42.99;13.86
100304;5.21;43.25;437;24;47.83;10.30
100305;2.53;49.92;308;8;26.62;7.47
100306;3.92;48.81;612;25;57.03;6.70
100307;2.70;48.37;504;14;42.46;13.10
100308;2.65;41.14;294;8;45.58;6.12
100309;3.45;34.24;364;13;46.15;8.79
100310;0.85;54.44;815;7;48.34;14.72
100311;2.33;54.41;965;23;53.26;13.47
100312;1.95;49.70;903;18;54.26;13.95
100313;1.27;52.33;620;8;48.71;10.81
100314;0.81;49.88;610;5;50.49;17.38
100315;1.75;48.23;563;10;43.69;14.74
100316;2.37;48.03;536;13;48.51;13.06
100317;2.69;52.45;688;19;50.44;12.35
100318;1.02;52.96;779;8;49.68;10.65
100319;2.34;56.07;708;17;55.37;10.17
100320;1.38;49.15;573;8;51.83;15.71
100321;1.84;55.95;748;14;46.66;12.70
100322;2.98;50.63;781;24;54.67;14.47
100323;1.83;49.21;645;12;46.82;10.85
100324;1.63;55.63;724;12;44.75;17.40
100325;1.56;48.49;631;10;49.76;14.74
100326;2.15;48.17;592;13;48.82;16.39
100327;1.64;53.15;779;13;52.50;10.91
100328;1.28;51.99;618;8;49.03;16.50
100329;1.92;50.90;613;12;46.49;18.60
100330;1.79;52.58;880;16;49.20;16.36
100331;2.01;53.20;586;12;42.15;18.09
100332;1.73;50.04;569;10;41.83;17.40
100333;2.21;52.13;1016;23;46.36;17.03
100334;2.60;52.75;524;14;47.90;17.56
100335;1.83;51.33;644;12;47.05;16.15
100336;2.96;53.05;819;25;47.01;16.97
100337;1.70;43.90;753;13;47.01;15.67
100338;1.39;45.34;566;8;48.59;9.72
100339;0.83;57.37;961;8;43.08;16.44
100340;3.52;44.89;657;24;45.36;17.05
100341;2.93;44.93;894;27;44.52;15.10
100342;2.15;52.42;637;14;47.41;16.48
100343;1.66;45.23;415;7;52.05;13.01
100344;2.53;51.46;963;25;45.28;15.37
100345;2.86;53.03;136;4;65.44;13.97
100346;14.81;33.75;23;4;43.48;17.39
100347;0.00;26.00;26;0;73.08;3.85
100348;2.88;47.64;304;9;69.74;9.21
100349;1.20;51.34;246;3;78.05;5.69
100350;2.82;52.40;138;4;86.96;3.62
100351;4.20;40.89;114;5;83.33;4.39
100352;0.93;55.44;106;1;85.85;1.89
100353;2.33;43.26;210;5;77.14;4.29
100354;3.35;44.65;549;19;72.13;7.47
100355;4.33;52.76;265;12;74.72;3.40
100356;4.31;44.39;466;21;66.52;9.44
100357;1.48;55.62;200;3;58.50;14.00
100358;7.75;48.68;119;10;74.79;0.84
100359;2.24;49.60;915;21;50.27;11.04
100360;1.64;44.19;1022;17;57.44;11.35
100361;0.71;46.36;278;2;61.51;7.91
100362;4.20;50.30;479;21;74.74;3.76
100363;5.83;36.88;307;19;63.84;4.23
100364;5.36;41.33;106;6;68.87;7.55
100365;2.31;41.14;127;3;75.59;6.30
100366;2.72;47.64;501;14;67.27;7.19
100367;4.58;42.05;563;27;52.04;13.32
100368;5.17;43.02;459;25;64.05;11.55
100369;6.17;39.93;426;28;65.02;8.69
100370;3.30;44.89;527;18;63.00;8.54
100371;3.76;37.29;384;15;64.32;6.51
100372;3.04;45.04;638;20;52.04;17.08
100373;7.88;43.11;386;33;48.96;18.39
100374;6.25;29.91;60;4;48.33;20.00
100375;3.00;44.91;582;18;61.34;4.98
100376;6.48;36.12;101;7;78.22;1.98
100377;1.32;41.42;150;2;63.33;6.00
100378;3.31;41.18;467;16;43.25;16.92
100379;3.35;45.12;433;15;48.96;12.70
100380;0.00;30.53;58;0;34.48;18.97
100381;0.00;93.44;57;0;100.00;0.00
100382;5.33;47.10;462;26;54.98;10.17
100383;3.61;48.03;481;18;51.14;14.14
100384;5.23;44.36;507;28;50.69;12.23
100385;5.36;46.10;459;26;62.31;10.02
100386;5.67;40.40;266;16;48.50;16.54
100387;6.67;43.19;308;22;63.96;14.29
100388;7.00;43.86;279;21;53.05;10.75
100389;3.16;48.79;429;14;56.18;12.59
100390;4.04;44.16;214;9;60.75;6.07
100391;5.70;39.47;182;11;45.05;14.84
100392;3.65;64.04;211;8;55.92;9.48
100393;1.80;61.39;1469;27;61.20;10.01
100394;2.58;51.19;755;20;63.71;9.27
100395;0.72;55.74;554;4;55.60;9.93
100396;2.34;47.84;542;13;59.41;11.07
100397;1.29;54.69;460;6;74.35;4.35
100398;2.51;58.33;389;10;71.47;2.31
100399;3.32;49.21;727;25;72.49;3.71
100400;2.22;45.00;88;2;79.55;2.27
100401;1.43;52.42;481;7;56.55;11.43
100402;4.68;46.03;530;26;61.32;6.04
100403;1.98;43.60;297;6;62.63;4.04
100404;4.67;44.19;388;19;59.02;3.09
100405;6.31;58.12;104;7;67.31;1.92
100406;3.23;37.80;240;8;62.08;6.67
100407;1.99;41.25;344;7;51.74;13.66
100408;3.06;50.46;317;10;53.94;11.99
100409;2.56;49.16;228;6;61.40;8.77
100410;1.81;47.70;326;6;58.59;7.36
100411;6.45;47.94;522;36;56.13;6.90
100412;0.72;58.60;274;2;51.09;14.60
100413;4.62;53.23;165;8;62.42;4.24
100414;0.00;46.54;121;0;52.07;4.13
100415;2.97;57.09;555;17;66.67;4.50
100416;2.63;53.07;185;5;43.24;7.57
100417;3.00;51.64;550;17;55.27;3.45
100418;2.90;48.02;837;25;67.03;5.73
100419;1.98;53.66;496;10;74.60;2.82
100420;2.90;52.32;636;19;62.89;5.19
100421;1.88;60.28;469;9;64.18;4.48
100422;3.00;46.30;97;3;63.92;11.34
100423;2.40;47.41;732;18;44.40;19.40
100424;1.51;49.65;911;14;49.62;15.48
100425;1.29;56.41;764;10;48.95;10.73
100426;1.50;46.38;328;5;53.35;15.24
100427;2.02;46.84;727;15;48.28;10.59
100428;1.82;42.80;108;2;67.59;3.70
100429;1.39;30.13;71;1;53.52;19.72
100430;4.58;39.82;125;6;75.20;5.60
100431;5.56;53.73;68;4;50.00;5.88
100432;2.18;48.11;224;5;57.59;12.50
100433;1.29;46.05;305;4;73.77;4.59
100434;3.01;47.43;322;10;54.97;4.97
100435;3.47;45.16;780;28;67.82;4.74
100436;3.15;48.74;338;11;72.49;5.03
100437;3.57;46.28;54;2;77.78;9.26
100438;2.19;35.17;268;6;52.99;8.96
100439;1.63;41.56;361;6;53.46;9.14
100440;2.10;51.48;698;15;52.29;10.60
100441;1.16;41.34;342;4;71.05;6.14
100442;0.74;49.27;134;1;68.66;8.21
100443;3.70;31.03;26;1;88.46;0.00
100444;1.69;53.51;697;12;61.69;8.61
100445;2.87;49.04;372;11;62.10;5.11
100446;1.65;52.16;238;4;72.27;7.14
100447;3.93;52.66;171;7;60.23;6.43
100448;0.00;43.28;145;0;46.21;15.86
100449;1.98;39.22;248;5;65.32;6.85
100450;1.02;42.24;194;2;72.16;3.61
100451;1.03;41.45;96;1;67.71;6.25
100452;3.17;46.27;427;14;71.19;6.79
100453;1.27;56.27;155;2;63.23;7.74
100454;2.61;42.03;149;4;67.79;3.36
100455;0.00;27.72;56;0;60.71;12.50
100456;1.49;48.91;132;2;73.48;2.27
100457;2.34;51.61;626;15;44.73;33.87
100458;1.85;50.21;1061;20;50.90;26.77
100459;1.77;48.15;333;6;47.75;27.93
100460;2.24;49.95;481;11;66.11;17.26
