nrk;pgnw;freq;lgw;lgnw;pPiS;pPO
88723;2.43;54.58;401;10;64.84;6.98
88724;5.69;51.25;116;7;72.41;3.45
88725;1.33;45.45;148;2;82.43;3.38
88726;1.33;51.25;222;3;49.55;10.36
88727;7.27;34.81;153;12;67.32;1.31
88728;5.56;50.15;153;9;65.36;4.58
88729;7.64;48.01;145;12;65.52;4.14
88730;3.94;46.69;366;15;74.32;4.64
88731;25.00;74.42;24;8;29.17;20.83
88732;3.92;49.51;294;12;68.03;3.06
88733;1.85;54.60;688;13;60.61;5.38
88734;2.66;51.97;695;19;58.27;5.76
88735;2.88;51.18;337;10;57.86;5.64
88736;3.67;46.14;236;9;60.17;4.24
88737;1.48;56.72;133;2;67.67;5.26
88738;1.33;51.19;148;2;70.27;6.08
88739;5.00;29.67;190;10;56.32;4.21
88740;3.73;41.23;491;19;29.74;5.70
88741;7.77;37.87;190;16;61.58;4.74
88742;5.21;33.45;182;10;59.89;4.95
88743;2.53;35.22;231;6;49.35;7.79
88744;2.92;39.95;166;5;48.80;1.81
88745;4.71;38.64;162;8;27.78;1.85
88746;3.60;30.66;107;4;57.01;2.80
88747;4.57;41.67;418;20;46.41;5.74
88748;6.12;41.39;230;15;47.39;6.96
88749;5.05;41.15;395;21;59.75;4.81
88750;5.84;40.23;403;25;58.56;5.71
88751;2.36;35.08;124;3;60.48;4.03
88752;9.52;35.42;133;14;52.63;12.78
88753;8.57;24.31;64;6;40.62;6.25
88754;1.20;44.86;246;3;59.76;0.81
88755;2.62;42.30;297;8;49.49;6.06
88756;3.37;41.05;430;15;57.44;6.74
88757;1.75;41.71;225;4;60.44;4.44
88758;2.83;45.87;550;16;72.36;6.18
88759;0.82;51.40;363;3;70.80;3.58
88760;20.00;14.39;32;8;78.12;3.12
88761;3.17;48.01;642;21;58.26;6.85
88762;4.10;34.46;117;5;58.12;2.56
88763;1.84;38.44;320;6;53.75;6.25
88764;3.82;47.52;378;15;61.38;4.50
88765;3.05;48.08;572;18;56.82;8.92
88766;4.42;48.39;389;18;56.56;2.83
88767;2.95;46.18;955;29;57.28;8.06
88768;4.67;43.23;143;7;48.25;7.69
88769;2.42;40.52;121;3;63.64;9.09
88770;5.12;44.33;241;13;66.80;6.64
88771;3.50;38.29;276;10;56.52;8.70
88772;5.08;39.46;112;6;56.25;11.61
88773;3.46;50.22;223;8;71.75;3.59
88774;2.73;47.54;499;14;55.71;9.62
88775;3.27;47.72;385;13;54.55;8.31
88776;4.66;49.54;307;15;54.72;9.12
88777;4.41;39.13;325;15;54.15;8.62
88778;2.22;52.53;264;6;56.82;18.18
88779;3.03;38.18;224;7;61.16;6.70
88780;3.65;37.53;290;11;59.66;5.52
88781;2.53;36.67;193;5;58.03;6.22
88782;0.88;35.95;336;3;52.38;4.76
88783;2.61;37.85;373;10;53.89;8.58
88784;2.03;46.03;580;12;44.66;13.97
88785;3.38;39.13;372;13;54.30;11.56
88786;2.47;41.68;276;7;49.64;10.51
88787;2.51;39.43;349;9;58.74;9.17
88788;4.99;47.38;343;18;67.35;3.79
88789;2.47;37.23;631;16;55.78;6.97
88790;0.50;42.43;198;1;46.97;10.61
88791;2.50;41.93;195;5;53.33;7.69
88792;4.90;38.24;388;20;63.92;9.54
88793;2.75;43.22;496;14;59.07;6.25
88794;0.00;30.00;12;0;75.00;0.00
88795;14.29;29.79;12;2;91.67;0.00
88796;3.88;52.44;495;20;46.06;13.33
88797;2.03;46.39;434;9;52.76;10.37
88798;1.92;48.15;816;16;50.74;12.50
88799;1.90;44.35;258;5;55.81;7.36
88800;3.00;51.19;291;9;62.89;2.06
88801;5.80;42.59;276;17;60.87;8.70
88802;0.24;56.94;831;2;45.61;13.48
88803;2.56;37.58;342;9;49.12;9.36
88804;0.60;47.18;498;3;50.40;12.65
88805;3.30;44.77;352;12;53.41;11.36
88806;2.09;48.60;797;17;50.69;12.05
88807;2.70;45.77;684;19;55.26;9.80
88808;2.62;51.42;334;9;48.80;10.48
88809;0.00;46.79;219;0;62.56;6.85
88810;4.33;49.20;265;12;54.72;9.43
88811;2.56;47.89;343;9;58.89;9.04
88812;0.54;44.36;184;1;56.52;6.52
88813;6.82;28.48;82;6;54.88;6.10
88814;2.07;60.17;472;10;46.40;16.95
88815;2.34;50.17;292;7;46.92;11.30
88816;1.46;55.02;270;4;55.19;10.00
88817;2.65;45.72;734;20;44.14;18.66
88818;2.48;42.31;590;15;43.73;21.36
88819;2.23;33.20;395;9;47.34;10.13
88820;5.78;34.24;261;16;54.41;10.73
88821;2.35;39.60;249;6;62.25;8.84
88822;1.73;52.93;851;15;36.55;21.62
88823;1.40;45.88;703;10;39.26;20.06
88824;1.28;47.53;693;9;36.22;20.20
88825;1.62;54.38;727;12;33.98;20.63
88826;1.25;54.55;871;11;40.53;17.11
88827;2.28;54.90;986;23;38.64;16.73
88828;3.37;52.66;803;28;36.74;21.05
88829;1.78;47.56;441;8;43.76;16.10
88830;1.32;43.73;447;6;47.43;16.55
88831;2.35;50.18;541;13;29.94;23.29
88832;0.95;50.79;416;4;40.38;20.19
88833;1.42;48.40;972;14;42.70;14.81
88834;1.38;57.40;1361;19;43.06;13.52
88835;1.99;52.58;938;19;52.13;15.46
88836;1.29;54.39;844;11;48.82;12.68
88837;2.78;53.46;1187;34;40.44;17.78
88838;0.80;55.20;1117;9;42.26;20.05
88839;1.60;55.02;1046;17;39.01;18.07
88840;1.46;57.82;1082;16;39.09;19.69
88841;0.78;62.76;1396;11;39.26;18.12
88842;0.59;55.42;1185;7;37.47;16.03
88843;1.12;53.30;1151;13;40.23;16.42
88844;0.83;53.45;1075;9;41.49;15.91
88845;2.54;55.13;922;24;33.84;18.66
88846;0.76;53.62;912;7;35.09;14.80
88847;0.55;57.26;361;2;46.54;16.34
88848;2.61;39.54;598;16;40.64;12.04
88849;4.31;42.49;111;5;41.44;20.72
88850;26.56;61.84;94;34;11.70;45.74
88851;1.79;68.24;825;15;39.27;16.85
88852;2.38;52.03;1027;25;38.66;16.94
88853;1.97;51.90;1047;21;43.74;13.66
88854;2.03;47.68;724;15;43.23;20.03
88855;0.90;45.64;768;7;38.80;23.83
88856;0.61;53.09;324;2;39.20;20.37
88857;2.35;43.67;623;15;36.60;17.34
88858;2.36;49.71;993;24;42.30;18.73
88859;2.09;51.88;703;15;45.23;18.21
88860;1.54;48.39;769;12;44.21;22.63
88861;1.86;47.27;951;18;45.11;19.66
88862;1.19;52.16;750;9;41.60;19.87
88863;1.11;40.90;622;7;38.91;18.33
88864;1.92;44.59;663;13;33.33;18.70
88865;1.44;44.44;685;10;33.87;23.07
88866;2.36;44.73;704;17;42.90;19.74
88867;1.28;41.79;387;5;42.89;18.86
88868;1.89;44.53;467;9;44.33;20.34
88869;1.50;46.56;919;14;36.45;19.15
88870;1.75;49.46;224;4;34.38;24.11
88871;0.87;56.88;1020;9;42.25;19.90
88872;1.62;50.36;485;8;49.07;16.08
88873;0.60;52.75;830;5;42.53;17.71
88874;1.69;49.54;638;11;37.77;21.16
88875;1.21;51.36;897;11;40.58;21.85
88876;1.24;53.80;1034;13;38.01;24.37
88877;2.25;50.41;781;18;39.69;21.00
88878;1.05;54.01;1126;12;37.92;18.65
88879;1.36;50.79;797;11;37.14;23.09
88880;2.99;50.24;810;25;39.63;20.12
88881;0.88;51.54;896;8;41.74;20.31
88882;1.66;52.27;769;13;37.84;21.33
88883;1.47;53.20;869;13;33.83;19.10
88884;1.55;33.73;254;4;37.80;17.72
88885;24.66;34.90;168;55;10.12;53.57
88886;1.37;26.74;144;2;52.08;16.67
88887;1.05;60.88;756;8;43.39;20.37
88888;1.14;64.51;954;11;42.66;23.27
88889;0.93;60.97;1272;12;38.68;25.86
88890;0.54;62.73;1284;7;38.79;22.66
88891;0.42;58.21;953;4;29.38;25.81
88892;1.61;58.97;427;7;37.00;26.00
88893;0.37;69.60;543;2;31.49;26.34
88894;0.00;64.83;365;0;34.79;34.25
88895;0.37;61.46;1085;4;38.62;21.66
88896;1.91;42.80;615;12;39.35;23.41
88897;0.79;49.41;625;5;37.92;24.00
88898;1.79;33.78;274;5;47.08;22.26
88899;0.26;50.80;379;1;29.55;28.23
88900;2.66;58.11;586;16;38.05;27.30
88901;0.91;50.28;542;5;41.33;22.69
88902;0.44;67.11;449;2;45.43;23.83
88903;0.91;49.48;327;3;35.78;27.83
88904;1.74;53.12;735;13;40.41;25.31
88905;2.65;46.27;368;10;46.20;18.48
88906;0.92;57.95;751;7;37.95;27.96
88907;1.08;44.47;366;4;45.36;16.94
88908;0.31;44.52;320;1;52.50;16.56
88909;1.19;58.69;497;6;39.84;28.97
88910;2.09;57.41;421;9;35.15;28.74
88911;0.91;59.48;653;6;38.44;29.10
88912;2.02;35.32;291;6;36.77;24.74
88913;1.72;36.07;229;4;39.74;24.89
88914;0.00;56.16;260;0;58.85;15.00
88915;1.96;40.68;702;14;47.01;19.09
88916;2.08;41.38;329;7;46.20;14.29
88917;1.49;55.33;859;13;45.98;15.95
88918;1.18;52.55;1007;12;41.81;22.84
88919;1.30;59.06;1065;14;42.91;22.44
88920;1.25;52.06;1025;13;53.27;17.56
88921;0.17;48.83;605;1;38.18;26.12
88922;0.66;64.42;599;4;38.90;20.03
88923;0.86;73.62;462;4;32.68;29.87
88924;0.57;70.53;526;3;38.97;24.33
88925;0.56;60.19;890;5;47.75;23.93
88926;0.91;66.70;762;7;44.23;23.62
88927;0.71;68.12;836;6;36.12;26.67
88928;0.15;70.46;667;1;34.78;25.19
88929;0.64;62.58;1080;7;42.59;24.63
88930;0.65;67.38;1369;9;41.56;27.03
88931;0.60;62.31;1318;8;40.67;23.60
88932;0.88;60.45;1127;10;43.48;25.91
88933;1.44;61.35;618;9;43.69;26.21
88934;0.00;66.59;596;0;40.44;23.83
88935;0.97;69.84;711;7;41.49;29.54
88936;0.85;64.22;815;7;37.30;28.83
88937;0.58;66.99;684;4;35.96;30.85
88938;0.62;64.05;804;5;44.53;24.88
88939;1.05;63.01;1035;11;35.27;29.95
88940;0.67;58.63;884;6;43.44;22.74
88941;1.72;56.08;798;14;41.10;26.07
88942;2.96;59.96;590;18;44.75;24.75
88943;1.22;63.96;731;9;37.21;31.60
88944;0.76;63.55;782;6;44.25;26.34
88945;0.37;65.22;1334;5;38.68;27.51
88946;0.61;64.32;1134;7;41.80;23.63
88947;0.33;64.80;1222;4;45.17;26.92
88948;0.79;60.77;1136;9;38.38;28.26
88949;0.99;57.14;1098;11;34.06;26.05
88950;2.13;46.67;322;7;48.45;15.22
88951;2.78;37.00;245;7;50.20;18.37
88952;4.35;39.88;264;12;44.70;19.70
88953;2.72;35.81;286;8;41.96;17.13
88954;0.13;67.68;778;1;28.15;25.19
88955;0.70;64.68;1000;7;28.50;26.00
88956;0.99;72.36;700;7;43.29;25.29
88957;0.39;72.47;1293;5;36.27;28.31
88958;0.28;62.97;1080;3;40.74;23.33
88959;1.35;60.99;1319;18;37.91;23.20
88960;1.35;61.41;1099;15;33.58;26.30
88961;1.02;64.38;1365;14;40.73;23.74
88962;0.66;68.17;602;4;39.53;24.25
88963;0.96;61.65;1035;10;40.77;19.03
88964;1.15;61.47;1115;13;41.35;20.72
88965;0.59;58.43;1185;7;35.78;25.06
88966;0.81;60.85;609;5;41.54;20.69
88967;0.78;65.29;1021;8;36.92;25.95
88968;1.15;57.90;1119;13;46.29;22.16
88969;0.67;58.51;1178;8;38.46;30.73
88970;1.15;62.65;1119;13;38.61;26.99
88971;0.00;70.68;962;0;33.47;21.93
88972;0.70;62.28;705;5;37.30;22.55
88973;0.85;66.01;1167;10;34.36;23.91
88974;0.00;63.54;556;0;32.91;27.16
88975;1.17;62.68;1180;14;40.17;21.36
88976;1.04;67.57;666;7;34.23;22.22
88977;0.85;67.57;936;8;35.04;22.54
88978;0.78;57.63;1143;9;37.80;22.13
88979;1.00;59.34;789;8;36.12;21.80
88980;0.92;66.96;757;7;37.65;24.44
88981;0.48;63.10;1448;7;42.20;24.24
88982;0.34;65.69;1475;5;36.20;26.64
88983;0.40;63.90;1234;5;34.93;23.01
88984;1.09;63.56;1358;15;35.20;25.33
88985;0.26;66.67;1133;3;39.89;24.62
88986;0.51;64.83;1379;7;44.02;22.63
88987;0.53;69.04;1320;7;37.05;24.85
88988;0.73;59.95;1089;8;40.77;26.26
88989;0.51;69.51;1370;7;31.61;32.85
88990;1.15;57.74;944;11;38.45;23.52
88991;1.20;58.78;903;11;43.41;23.37
88992;0.55;60.49;909;5;42.13;23.43
88993;0.81;58.28;862;7;37.94;25.06
88994;0.45;60.57;1098;5;39.53;26.41
88995;0.76;63.13;1176;9;43.28;24.83
88996;0.97;62.23;1328;13;39.16;26.36
88997;0.63;62.64;1261;8;42.03;24.50
88998;1.43;62.33;1106;16;40.69;23.15
88999;1.12;60.47;974;11;43.02;23.10
89000;0.46;65.77;1285;6;38.29;23.89
89001;0.92;57.51;861;8;39.84;24.16
89002;1.97;61.13;894;18;45.75;22.60
89003;1.09;59.28;995;11;35.38;23.42
89004;1.26;61.07;937;12;45.57;22.20
89005;0.68;60.91;1026;7;40.55;24.56
89006;0.48;62.73;831;4;34.30;22.98
89007;0.67;65.60;896;6;32.48;28.57
89008;0.12;61.02;824;1;33.01;25.36
89009;1.65;46.81;238;4;55.04;10.08
89010;0.63;68.68;1257;8;30.39;26.17
89011;0.90;59.39;661;6;46.60;21.94
89012;1.30;58.83;832;11;41.23;20.07
89013;0.34;64.42;1162;4;43.46;23.41
89014;1.10;62.13;1165;13;42.49;20.69
89015;1.77;52.47;554;10;40.25;25.27
89016;0.58;59.51;862;5;45.24;27.84
89017;1.18;56.98;835;10;46.95;25.39
89018;1.75;64.63;840;15;43.93;26.79
89019;0.59;62.49;1358;8;44.48;21.28
89020;1.41;62.20;1116;16;44.89;22.76
89021;0.73;52.77;956;7;36.82;25.00
89022;0.83;55.58;834;7;42.09;24.22
89023;1.15;60.32;1028;12;43.29;26.65
89024;2.28;47.12;727;17;37.14;24.62
89025;0.71;58.02;837;6;45.52;24.61
89026;1.19;58.38;664;8;40.21;27.11
89027;1.31;59.27;527;7;38.52;25.05
89028;2.23;37.70;439;10;44.65;20.73
89029;1.48;50.42;532;8;49.81;23.31
89030;1.45;56.24;613;9;52.69;22.35
89031;2.02;45.45;533;11;40.90;24.58
89032;1.92;46.98;511;10;45.79;22.50
89033;3.00;46.72;421;13;48.46;22.57
89034;3.11;42.06;498;16;41.77;24.90
89035;1.17;43.32;423;5;42.79;23.64
89036;3.53;43.97;355;13;41.97;24.79
89037;2.41;50.35;283;7;47.00;20.14
89038;2.53;44.01;154;4;47.40;16.23
89039;2.00;48.22;491;10;47.66;13.85
89040;0.40;30.72;250;1;42.40;15.20
89041;1.30;55.58;1061;14;41.19;22.34
89042;2.44;60.36;560;14;44.46;18.39
89043;2.11;50.53;790;17;38.35;20.89
89044;0.86;51.40;345;3;44.06;24.64
89045;1.38;51.75;859;12;43.42;18.51
89046;1.40;58.38;1271;18;49.17;17.31
89047;1.58;54.84;999;16;49.85;19.32
89048;0.56;62.49;1251;7;49.48;18.31
89049;1.19;56.36;1081;13;51.16;20.26
89050;0.98;52.36;812;8;47.66;18.47
89051;0.25;60.84;403;1;33.25;27.79
89052;1.09;67.90;904;10;31.42;24.67
89053;1.25;54.50;711;9;43.60;21.10
89054;2.96;42.23;720;22;42.92;19.86
89055;0.41;52.83;484;2;47.73;20.66
89056;1.29;59.00;1304;17;46.47;19.63
89057;0.84;64.18;1418;12;40.41;22.50
89058;0.50;58.11;991;5;44.40;24.62
89059;0.79;54.47;749;6;42.46;28.30
89060;0.76;58.80;912;7;43.42;21.60
89061;2.12;63.18;645;14;43.41;21.86
89062;0.34;57.82;1187;4;42.71;21.23
89063;1.54;50.65;192;3;34.38;20.31
89064;0.24;62.92;843;2;41.99;21.23
89065;1.34;55.81;735;10;41.50;22.59
89066;1.73;40.58;624;11;39.10;22.12
89067;0.40;66.18;996;4;41.47;27.71
89068;1.22;55.18;810;10;48.40;22.59
89069;1.05;61.14;1032;11;42.25;22.29
89070;1.06;54.91;1023;11;43.11;22.78
89071;1.82;57.59;592;11;49.32;17.91
89072;1.42;52.26;695;10;49.78;14.82
89073;0.91;59.71;975;9;44.21;19.38
89074;0.00;23.64;13;0;53.85;0.00
89075;1.89;15.92;52;1;69.23;11.54
89076;5.00;46.51;19;1;63.16;10.53
89077;12.50;28.57;21;3;47.62;14.29
89078;2.00;37.59;49;1;67.35;16.33
89079;1.85;37.24;53;1;49.06;16.98
89080;0.00;30.49;25;0;28.00;4.00
89081;3.67;35.40;236;9;49.15;13.14
89082;6.10;33.74;77;5;64.94;16.88
89083;2.38;61.76;41;1;87.80;2.44
89084;5.00;45.80;57;3;64.91;10.53
89085;3.68;46.68;183;7;52.46;20.22
89086;5.00;55.05;57;3;49.12;17.54
89087;7.79;22.29;142;12;52.11;19.72
89088;4.26;70.15;45;2;73.33;13.33
89089;8.11;42.53;34;3;55.88;14.71
89090;4.00;66.37;72;3;77.78;8.33
89091;13.33;46.51;52;8;42.31;21.15
89092;9.30;44.33;39;4;48.72;23.08
89093;14.29;59.32;30;5;86.67;10.00
89094;20.71;48.17;333;87;13.21;45.95
89095;2.67;39.47;584;16;45.21;14.38
89096;1.52;50.42;714;11;44.26;16.39
89097;1.14;53.57;956;11;45.08;16.84
89098;0.43;50.52;916;4;44.10;20.52
89099;1.26;51.23;781;10;43.02;21.77
89100;1.10;50.70;895;10;42.35;22.12
89101;0.97;50.63;916;9;43.78;18.12
89102;1.46;49.28;744;11;43.82;14.38
89103;1.22;45.81;892;11;43.16;18.72
89104;1.83;54.42;749;14;43.39;18.96
89105;1.56;51.49;1073;17;45.11;12.21
89106;1.45;51.09;949;14;48.58;14.54
89107;1.46;50.76;1083;16;34.35;22.25
89108;1.69;51.05;928;16;40.84;20.04
89109;2.94;41.87;627;19;44.66;18.02
89110;1.59;50.35;496;8;46.17;22.58
89111;1.40;48.36;1060;15;46.04;16.32
89112;1.17;53.45;1095;13;45.02;22.19
89113;0.91;51.94;1085;10;42.86;17.70
89114;1.79;49.59;766;14;45.17;14.36
89115;2.12;50.70;462;10;41.34;21.86
89116;0.98;52.27;912;9;47.04;17.43
89117;0.66;47.17;605;4;45.79;17.02
89118;1.64;49.57;1078;18;43.04;15.40
89119;1.39;46.79;849;12;44.05;18.26
89120;2.18;45.86;987;22;38.40;18.64
89121;1.02;54.65;1065;11;42.16;18.97
89122;1.39;50.16;1064;15;40.41;16.64
89123;2.56;49.17;608;16;48.36;17.43
89124;1.50;53.55;394;6;43.15;17.26
89125;16.67;42.67;80;16;20.00;32.50
89126;13.08;42.90;113;17;23.89;17.70
89127;0.00;35.79;68;0;63.24;11.76
89128;7.63;37.22;109;9;54.13;12.84
89129;1.21;48.24;407;5;22.36;29.24
89130;3.15;43.20;400;13;31.50;34.50
89131;4.59;45.18;353;17;29.46;27.76
89132;4.09;42.82;352;15;20.45;35.51
89133;3.90;49.14;468;19;28.63;32.26
89134;2.16;42.90;408;9;32.60;33.33
89135;2.80;38.87;382;11;33.51;30.63
89136;5.88;41.18;336;21;25.30;31.85
89137;2.16;41.43;407;9;31.70;24.57
89138;2.18;48.05;493;11;32.25;26.98
89139;2.93;47.34;397;12;27.71;35.01
89140;0.79;49.16;376;3;28.46;34.57
89141;2.26;43.22;346;8;18.50;33.24
89142;2.42;46.56;363;9;32.23;28.37
89143;2.19;47.02;447;10;31.99;24.61
89144;0.00;54.84;17;0;23.53;35.29
89145;14.29;63.64;30;5;6.67;13.33
89146;1.60;45.53;863;14;30.01;25.49
89147;5.88;35.56;256;16;33.20;17.97
89148;1.77;35.31;222;4;37.84;24.77
89149;3.16;49.44;859;28;29.69;22.58
89150;2.68;40.38;145;4;22.07;29.66
89151;3.44;46.57;982;35;27.49;27.19
89152;2.40;49.61;691;17;35.46;23.59
89153;2.16;42.02;590;13;28.47;35.93
89154;3.25;32.57;387;13;40.57;15.76
89155;3.59;40.53;322;12;46.27;20.81
89156;2.29;56.72;726;17;25.62;25.07
89157;1.98;54.80;644;13;25.93;31.06
89158;1.95;66.00;554;11;21.12;33.94
89159;5.84;38.65;274;17;25.18;31.39
89160;3.82;35.12;126;5;19.05;34.13
89161;2.62;52.86;297;8;26.60;28.62
89162;1.93;57.32;457;9;22.98;33.26
89163;4.94;38.12;154;8;22.73;27.27
89164;4.44;38.45;237;11;30.38;31.22
89165;5.96;27.94;221;14;34.39;19.46
89166;5.43;39.64;331;19;25.08;28.40
89167;4.71;40.38;182;9;31.32;28.02
89168;5.08;32.35;187;10;20.86;31.55
89169;2.05;44.42;620;13;23.23;35.32
89170;5.48;28.24;138;8;33.33;31.16
89171;3.63;54.39;239;9;34.31;23.43
89172;3.28;45.78;530;18;28.30;30.94
89173;4.30;46.50;490;22;20.82;30.20
89174;6.94;39.77;295;22;33.22;21.02
89175;5.24;40.45;253;14;25.30;25.69
89176;5.94;34.83;190;12;29.47;16.84
89177;5.49;30.13;86;5;32.56;23.26
89178;4.46;37.20;493;23;29.41;26.98
89179;3.16;37.67;460;15;32.17;29.57
89180;4.05;36.83;735;31;34.56;27.07
89181;3.80;41.38;810;32;32.96;25.43
89182;2.94;35.60;198;6;43.94;22.22
89183;3.74;33.28;206;8;34.95;32.52
89184;2.40;29.25;203;5;23.15;15.27
89185;4.00;35.86;168;7;33.33;16.67
89186;4.56;41.95;251;12;36.25;23.11
89187;4.60;41.42;394;19;25.13;31.22
89188;3.20;38.05;242;8;24.79;19.42
89189;9.09;24.44;10;1;40.00;0.00
89190;2.83;38.54;686;20;18.08;28.43
89191;2.55;47.31;994;26;19.11;25.05
89192;2.10;37.42;326;7;21.78;22.70
89193;3.23;39.99;539;18;19.85;29.50
89194;2.74;42.82;960;27;21.98;23.65
89195;2.88;41.71;674;20;17.66;27.74
89196;2.91;32.59;300;9;21.33;32.33
89197;4.46;37.65;364;17;24.45;23.63
89198;2.25;46.01;434;10;16.13;29.72
89199;0.00;28.12;9;0;55.56;33.33
89200;4.32;38.12;399;18;29.82;28.07
89201;4.34;45.15;419;19;36.99;19.33
89202;3.45;32.16;168;6;36.90;23.81
89203;3.74;34.08;412;16;32.52;27.43
89204;5.22;29.37;218;12;39.45;25.23
89205;3.27;40.48;325;11;26.77;30.15
89206;6.43;48.44;160;11;22.50;25.62
89207;4.69;29.54;203;10;28.08;26.60
89208;6.76;34.23;345;25;33.33;22.90
89209;9.04;36.43;171;17;29.82;26.32
89210;4.69;31.84;122;6;26.23;19.67
89211;33.33;44.44;16;8;68.75;18.75
89212;6.02;33.84;125;8;15.20;31.20
89213;2.78;40.56;140;4;20.71;29.29
89214;6.02;32.28;125;8;28.80;20.00
89215;3.51;28.79;110;4;16.36;25.45
89216;6.67;28.30;280;20;15.71;23.21
89217;3.73;31.38;232;9;40.52;17.24
89218;3.15;32.48;123;4;38.21;15.45
89219;7.52;31.37;123;10;26.83;21.14
89220;9.65;25.11;103;11;28.16;27.18
89221;4.43;36.72;259;12;23.94;25.48
89222;4.24;30.18;113;5;33.63;18.58
89223;6.12;54.44;46;3;17.39;43.48
89224;6.56;35.64;342;24;31.29;28.65
89225;3.18;40.93;365;12;29.04;28.49
89226;2.17;51.31;903;20;21.26;29.24
89227;2.84;44.23;719;21;22.11;34.63
89228;5.36;42.34;353;20;34.84;30.59
89229;4.53;45.18;443;21;34.31;26.86
89230;0.61;53.16;485;3;29.28;26.80
89231;2.58;49.27;529;14;27.41;27.41
89232;7.88;42.69;339;29;33.92;19.47
89233;9.25;32.13;314;32;28.66;24.84
89234;5.56;30.79;221;13;28.51;23.53
89235;1.10;44.62;632;7;36.55;20.89
89236;8.07;32.28;319;28;43.89;15.99
89237;0.00;17.65;3;0;0.00;33.33
89238;5.35;31.52;389;22;33.16;25.45
89239;6.51;28.32;273;19;30.04;23.81
89240;4.28;45.66;403;18;25.31;37.97
89241;8.47;31.51;227;21;16.74;39.21
89242;3.68;37.78;131;5;32.82;20.61
89243;9.39;30.42;164;17;37.80;20.12
89244;2.52;38.22;155;4;41.29;18.06
89245;9.27;28.87;137;14;24.09;40.15
89246;4.40;40.40;326;15;27.91;30.06
89247;2.20;37.46;355;8;23.38;33.24
89248;2.55;54.15;611;16;30.11;29.62
89249;2.61;51.74;522;14;16.48;34.10
89250;2.44;48.13;840;21;25.24;29.17
89251;4.24;43.70;791;35;24.53;31.73
89252;2.37;43.86;453;11;27.15;26.93
89253;2.59;52.19;488;13;28.48;32.17
89254;2.99;55.53;487;15;24.85;34.09
89255;2.46;50.83;476;12;28.78;30.25
89256;2.84;39.72;308;9;34.74;18.18
89257;7.72;39.14;311;26;21.86;29.58
89258;2.55;53.68;612;16;26.80;27.61
89259;2.53;35.32;347;9;29.11;28.82
89260;2.70;39.26;288;8;30.56;23.26
89261;2.10;34.59;233;5;26.18;14.59
89262;2.17;49.85;497;11;27.36;30.18
89263;4.22;44.91;431;19;29.93;30.39
89264;1.63;47.54;361;6;22.71;27.70
89265;0.00;28.12;9;0;44.44;33.33
89266;17.55;55.13;155;33;15.48;43.87
89267;3.53;21.96;82;3;34.15;24.39
89268;10.81;28.61;99;12;24.24;27.27
89269;4.58;27.29;250;12;26.80;24.80
89270;4.90;44.76;893;46;26.32;24.97
89271;3.23;48.19;180;6;23.33;22.22
89272;5.61;39.63;101;6;10.89;50.50
89273;2.92;35.04;133;4;18.05;18.05
89274;15.79;39.58;16;3;31.25;31.25
89275;15.79;33.93;16;3;87.50;0.00
89276;5.25;45.17;704;39;30.68;26.99
89277;5.30;38.48;125;7;26.40;22.40
89278;7.41;30.34;125;10;32.80;28.80
89279;5.11;33.83;130;7;19.23;24.62
89280;2.48;43.53;118;3;27.97;27.12
89281;6.48;41.86;101;7;40.59;23.76
89282;0.00;90.00;45;0;100.00;0.00
89283;2.64;46.63;553;15;17.90;30.92
89284;3.05;44.26;572;18;22.55;29.20
89285;2.20;48.82;667;15;27.44;26.39
89286;3.75;43.87;565;22;26.90;26.73
89287;3.46;36.80;447;16;35.35;29.98
89288;2.90;42.63;503;15;34.39;29.03
89289;4.37;42.80;219;10;39.27;16.44
89290;12.44;31.49;190;27;30.53;33.68
89291;5.00;38.25;133;7;21.80;39.85
89292;3.39;30.57;57;2;50.88;7.02
89293;8.82;29.14;93;9;25.81;20.43
89294;0.00;17.39;8;0;25.00;12.50
89295;4.91;44.10;832;43;23.68;23.20
89296;2.20;39.21;444;10;25.23;22.97
89297;6.56;37.08;342;24;23.98;24.56
89298;6.95;35.28;348;26;31.32;25.57
89299;2.66;49.01;843;23;28.59;26.33
89300;2.07;56.39;709;15;32.02;22.14
89301;2.93;52.93;597;18;23.12;24.96
89302;1.13;54.34;960;11;31.25;27.71
89303;1.74;56.19;959;17;27.63;25.44
89304;2.26;51.73;1082;25;28.93;23.48
89305;4.24;47.39;452;20;33.41;28.54
89306;2.66;38.86;769;21;31.34;23.80
89307;2.41;55.83;892;22;26.79;29.37
89308;2.30;53.85;1060;25;27.17;27.08
89309;3.20;50.09;544;18;31.25;24.82
89310;2.94;53.65;627;19;36.20;21.21
89311;2.80;42.91;765;22;30.46;26.54
89312;2.95;48.85;494;15;30.36;22.67
89313;2.08;37.26;613;13;23.65;25.94
89314;4.18;35.77;665;29;33.08;22.26
89315;3.23;39.06;689;23;29.46;27.87
89316;1.93;47.73;813;16;29.27;28.04
89317;3.84;45.44;776;31;29.12;26.42
89318;2.13;49.74;92;2;35.87;30.43
89319;15.07;73.74;62;11;9.68;53.23
89320;3.68;46.05;942;36;26.43;34.93
89321;4.29;38.25;804;36;30.72;26.37
89322;8.31;39.11;563;51;34.81;24.16
89323;3.20;35.15;363;12;31.40;30.03
89324;3.14;43.80;339;11;26.84;26.84
89325;3.53;49.30;821;30;28.50;30.33
