KORWIN:
2 100106 KORWIN   650 28.175 (Rusiec)
0 149901 KORWIN 21757 12.542 (zagranica*)
0 229901 KORWIN    15 11.628 (statki gdańsk*)
2 022105 KORWIN   292 10.111 (Głuszyca)
2 021604 KORWIN   532  5.074 (Polkowice)
2 241306 KORWIN   121  5.067 (Ożarowice)
2 326101 KORWIN  2327  5.065 (Koszalin)
2 120102 KORWIN   386  5.062 (Bochnia)
2 120801 KORWIN   125  5.061 (Charsznica)
2 246201 KORWIN  2938  5.060 (Bytom)
1 141401 KORWIN   581  5.054 (Nowy Dwór Mazowiecki)
2 266101 KORWIN  4636  5.054 (Kielce)
2 040602 KORWIN    96  5.053 (Gruta)
2 022302 KORWIN   607  5.045 (Długołęka)
2 302109 KORWIN   518  5.044 (Kórnik)
2 302505 KORWIN   126  5.038 (Zaniemyśl)
1 221503 KORWIN   990  5.036 (Wejherowo)
1 100802 KORWIN  1464  5.036 (Pabianice)
1 140301 KORWIN   399  5.033 (Garwolin)
2 142609 KORWIN   137  5.026 (Skórzec)
2 141211 KORWIN   294  5.026 (Mińsk Mazowiecki)
2 240902 KORWIN   242  5.024 (Koziegłowy)
2 021407 KORWIN   300  5.023 (Syców)
2 022507 KORWIN   134  5.022 (Zgorzelec)
2 142104 KORWIN   470  5.021 (Michałowice)
2 040303 KORWIN   197  5.020 (Dobrcz)
2 140313 KORWIN   101  5.020 (Wilga)
2 100611 KORWIN   244  5.019 (Tuszyn)
2 041003 KORWIN   567  5.017 (Nakło nad Notecią)
2 280504 KORWIN    74  5.017 (Prostki)
2 021003 KORWIN   155  5.015 (Leśna)
2 100107 KORWIN   167  5.012 (Szczerców)
2 080105 KORWIN    96  5.010 (Lubiszyn)
2 303103 KORWIN   122  5.010 (Krajenka)
2 286101 KORWIN  2259  5.010 (Elbląg)
2 081201 KORWIN   192  5.009 (Sława)
2 301204 KORWIN   746  5.009 (Krotoszyn)
2 220704 KORWIN   182  5.008 (Prabuty)
2 321206 KORWIN    49  5.005 (Warnice)
2 201103 KORWIN    53  5.005 (Korycin)
2 142106 KORWIN   521  5.001 (Raszyn)
2 021406 KORWIN   198  4.997 (Oleśnica)
2 302114 KORWIN   264  4.995 (Stęszew)
2 281406 KORWIN    99  4.995 (Jeziorany)
2 020808 KORWIN   160  4.994 (Lądek-Zdrój)
1 146504 KORWIN  3554  4.993 (Bielany)
1 061701 KORWIN   897  4.993 (Świdnik)
2 246101 KORWIN  3975  4.988 (Bielsko-Biała)
2 141803 KORWIN   562  4.988 (Lesznowola)
2 160305 KORWIN    75  4.987 (Polska Cerekiew)
2 221208 KORWIN   262  4.987 (Słupsk)
1 060101 KORWIN   352  4.987 (Międzyrzec Podlaski)
2 060709 KORWIN   117  4.985 (Wilkołaz)
2 302203 KORWIN   142  4.984 (Miejska Górka)
2 120402 KORWIN   391  4.980 (Dąbrowa Tarnowska)
2 080503 KORWIN    90  4.978 (Ośno Lubuskie)
2 221002 KORWIN   281  4.977 (Nowy Dwór Gdański)
2 221507 KORWIN   259  4.976 (Luzino)
2 061906 KORWIN    99  4.975 (Włodawa)
2 240606 KORWIN    89  4.975 (Panki)
2 281708 KORWIN    74  4.973 (Wielbark)
2 120612 KORWIN   252  4.971 (Słomniki)
2 302205 KORWIN   529  4.970 (Rawicz)
1 146513 KORWIN  4235  4.967 (Ursynów)
2 060118 KORWIN    94  4.966 (Wisznice)
2 221406 KORWIN   220  4.964 (Tczew)
2 100805 KORWIN   170  4.962 (Ksawerów)
2 220408 KORWIN   148  4.961 (Trąbki Wielkie)
1 142001 KORWIN   421  4.961 (Płońsk)
2 081110 KORWIN   169  4.960 (Żary)
2 182002 KORWIN   231  4.960 (Gorzyce)
1 221101 KORWIN    66  4.959 (Hel)
1 220401 KORWIN   605  4.956 (Pruszcz Gdański)
2 200806 KORWIN   241  4.954 (Mońki)
2 120805 KORWIN   377  4.953 (Miechów)
1 241304 KORWIN  1290  4.950 (Tarnowskie Góry)
2 241001 KORWIN   167  4.947 (Goczałkowice-Zdrój)
2 321801 KORWIN    50  4.946 (Dobra)
2 302108 KORWIN   302  4.942 (Kostrzyn)
2 101501 KORWIN    68  4.942 (Bolimów)
2 321402 KORWIN    81  4.939 (Chociwel)
2 220403 KORWIN   322  4.936 (Kolbudy)
2 321406 KORWIN   108  4.934 (Kobylanka)
1 142002 KORWIN    77  4.930 (Raciąż)
2 221210 KORWIN   131  4.929 (Ustka)
2 321408 KORWIN    41  4.928 (Marianowo)
2 021005 KORWIN    99  4.928 (Olszyna)
2 240407 KORWIN   191  4.928 (Konopiska)
1 101401 KORWIN   923  4.927 (Sieradz)
2 080505 KORWIN   328  4.924 (Słubice)
2 120108 KORWIN   113  4.924 (Trzciana)
2 041506 KORWIN   164  4.922 (Łysomice)
2 020303 KORWIN    92  4.917 (Jerzmanowa)
2 100303 KORWIN   118  4.917 (Sędziejowice)
2 247201 KORWIN  2703  4.916 (Ruda Śląska)
2 301907 KORWIN   131  4.916 (Ujście)
2 060907 KORWIN   282  4.915 (Jastków)
1 306401 KORWIN 12491  4.914 (Poznań*)
2 247801 KORWIN  2934  4.914 (Zabrze)
2 247501 KORWIN  4286  4.914 (Sosnowiec)
2 226201 KORWIN  5787  4.914 (Gdynia)
2 041409 KORWIN   566  4.911 (Świecie)
2 301004 KORWIN   160  4.911 (Kleczew)
