okreg;nrlisty;numer;komitet;kto;glosy;procent
10;1;17;PiS;Dariusz KUBIAK;8004;2.8
10;7;1;KUKIZ;Rafał WÓJCIKOWSKI;9135;3.2
11;2;1;PO;Cezary TOMCZYK;26781;7.24
11;2;2;PO;Agnieszka HANAJCZYK;12128;3.28
11;2;24;PO;Artur DUNIN;8082;2.19
11;5;1;PSL;Paweł BEJDA;6283;1.7
11;7;1;KUKIZ;Tomasz RZYMKOWSKI;11977;3.24
11;1;1;PiS;Witold WASZCZYKOWSKI;32909;8.9
11;1;2;PiS;Grzegorz SCHREIBER;15948;4.31
11;1;3;PiS;Beata MATEUSIAK-PIELUCHA;12059;3.26
11;1;4;PiS;Tadeusz WOŹNIAK;11011;2.98
11;1;5;PiS;Marek MATUSZEWSKI;13880;3.75
11;1;6;PiS;Piotr POLAK;16637;4.5
11;1;8;PiS;Łukasz RZEPECKI;9229;2.5
12;7;1;KUKIZ;Józef BRYNKUS;8615;3.17
12;1;1;PiS;Beata SZYDŁO;96127;35.4
12;1;2;PiS;Marek POLAK;3345;1.23
12;1;3;PiS;Jarosław SZLACHETKA;9142;3.37
12;1;6;PiS;Ewa FILIPIAK;3915;1.44
12;1;10;PiS;Zbigniew BIERNAT;3644;1.34
12;2;1;PO;Marek SOWA;20867;7.68
12;2;2;PO;Dorota NIEDZIELA;7967;2.93
13;7;1;KUKIZ;Agnieszka ŚCIGAJ;17630;3.25
13;2;1;PO;Rafał TRZASKOWSKI;47080;8.67
13;2;2;PO;Ireneusz RAŚ;24543;4.52
13;2;4;PO;Lidia GĄDEK;9082;1.67
13;2;6;PO;Bogusław SONIK;11715;2.16
13;2;28;PO;Józef LASSOTA;8285;1.53
13;8;1;PETRU;Jerzy MEYSZTOWICZ;26164;4.82
13;1;1;PiS;Małgorzata WASSERMANN;81379;14.99
13;1;2;PiS;Andrzej ADAMCZYK;18514;3.41
13;1;3;PiS;Ryszard TERLECKI;7913;1.46
13;1;4;PiS;Barbara BUBULA;9813;1.81
13;1;5;PiS;Jacek OSUCH;10219;1.88
13;1;9;PiS;Elżbieta DUDA;6555;        1.21
13;1;28;PiS;Jarosław GOWIN;43539;8.02
14;7;1;KUKIZ;Elżbieta BOROWSKA;8115;2.61
14;1;1;PiS;Piotr NAIMSKI;20408;6.57
14;1;2;PiS;Józef LEŚNIAK;16167;5.21
14;1;3;PiS;Anna PALUCH;15049;4.85
14;1;4;PiS;Wiesław JANCZYK;16349;5.27
14;1;5;PiS;Barbara BARTUŚ;20725;6.68
14;1;7;PiS;Arkadiusz MULARCZYK;36903;11.89
14;1;8;PiS;Edward SIARKA;13953;4.49
14;1;10;PiS;Jan DUDA;9110;2.93
14;2;1;PO;Andrzej CZERWIŃSKI;17487;5.63
15;7;1;KUKIZ;Norbert KACZMARCZYK;8926;3.06
15;1;1;PiS;Włodzimierz BERNACKI;27673;9.49
15;1;2;PiS;Michał WOJTKIEWICZ;13230;4.54
15;1;3;PiS;Urszula RUSECKA;16971;5.82
15;1;5;PiS;Wiesław KRAJEWSKI;13060;4.48
15;1;7;PiS;Józefa SZCZUREK-ŻELAZKO;15635;5.36
15;1;10;PiS;Anna CZECH;11089;3.8
15;5;1;PSL;Władysław KOSINIAK-KAMYSZ;12171;4.17
15;2;1;PO;Urszula AUGUSTYN;13928;4.78
16;7;1;KUKIZ;Marek JAKUBIAK;11131;3.71
16;5;1;PSL;Piotr ZGORZELSKI;8070;2.69
16;1;1;PiS;Wojciech JASIŃSKI;31106;10.36
16;1;2;PiS;Marek OPIOŁA;14708;4.9
16;1;3;PiS;Maciej WĄSIK;9977;3.32
16;1;4;PiS;Maciej MAŁECKI;18671;6.22
16;1;5;PiS;Robert KOŁAKOWSKI;10960;3.65
16;1;6;PiS;Józef KUREK;7848;2.61
16;2;1;PO;Marcin KIERWIŃSKI;16271;5.42
16;2;2;PO;Elżbieta GAPIŃSKA;11733;3.91
17;1;1;PiS;Marek SUSKI;36542;13.27
17;1;2;PiS;Wojciech SKURKIEWICZ;7058;2.56
17;1;3;PiS;Andrzej KOSZTOWNIAK;23521;8.54
17;1;4;PiS;Dariusz BĄK;17961;6.52
17;1;5;PiS;Anna KWIECIEŃ;7458;2.71
17;7;1;KUKIZ;Robert MORDAK;7781;2.83
17;2;1;PO;Leszek RUSZCZYK;14537;5.28
17;2;3;PO;Anna BIAŁKOWSKA;7466;2.71
17;5;1;PSL;Mirosław MALISZEWSKI;7959;2.89
18;5;1;PSL;Marek SAWICKI;11892;3.17
18;1;1;PiS;Marek ZAGÓRSKI;19018;5.07
18;1;2;PiS;Krzysztof TCHÓRZEWSKI;26372;7.03
18;1;3;PiS;Arkadiusz CZARTORYSKI;24747;6.59
18;1;4;PiS;Henryk KOWALCZYK;22850;6.09
18;1;5;PiS;Krystyna PAWŁOWICZ;18070;4.82
18;1;6;PiS;Grzegorz WOŹNIAK;16516;4.4
18;1;7;PiS;Teresa WARGOCKA;8567;2.28
18;1;24;PiS;Daniel MILEWSKI;13302;3.54
18;7;1;KUKIZ;Anna SIARKOWSKA;12073;3.22
18;2;1;PO;Jolanta HIBNER;12899;3.44
18;2;2;PO;Czesław MROCZEK;11901;3.17
19;2;1;PO;Ewa KOPACZ;230894;21.08
19;2;2;PO;Andrzej HALICKI;13859;1.27
19;2;3;PO;Joanna KLUZIK-ROSTKOWSKA;12807;1.17
19;2;4;PO;Joanna FABISIAK;3512;0.32
19;2;7;PO;Marcin ŚWIĘCICKI;8329;0.76
19;2;9;PO;Michał SZCZERBA;4919;0.45
19;2;10;PO;Roman KOSECKI;3258;0.3
19;7;1;KUKIZ;Paweł KUKIZ;76675;7
19;7;4;KUKIZ;Jacek WILK;2420;0.22
19;8;1;PETRU;Ryszard PETRU;129088;11.79
19;8;2;PETRU;Kornelia WRÓBLEWSKA;3945;0.36
19;8;3;PETRU;Zbigniew GRYGLAS;1011;0.09
19;1;1;PiS;Jarosław KACZYŃSKI;202424;18.48
19;1;2;PiS;Mariusz KAMIŃSKI;29654;2.71
19;1;3;PiS;Małgorzata GOSIEWSKA;13976;1.28
19;1;4;PiS;Artur GÓRSKI;6262;0.57
19;1;6;PiS;Jarosław KRAJEWSKI;4753;0.43
19;1;7;PiS;Ewa TOMASZEWSKA;5114;0.47
19;1;10;PiS;Małgorzata WYPYCH;7496;0.68
19;1;11;PiS;Paweł LISIECKI;6865;0.63
20;2;1;PO;Małgorzata KIDAWA-BŁOŃSKA;80866;16.48
20;2;2;PO;Michał KAMIŃSKI;5877;1.2
20;2;7;PO;Kinga GAJEWSKA;4820;0.98
20;2;24;PO;Jan GRABIEC;10929;2.23
20;7;1;KUKIZ;Stanisław TYSZKA;14670;2.99
20;1;1;PiS;Mariusz BŁASZCZAK;73139;14.91
20;1;2;PiS;Andrzej SMIRNOW;5572;1.14
20;1;3;PiS;Jacek SASIN;43250;8.82
20;1;4;PiS;Anita CZERWIŃSKA;7068;1.44
20;1;5;PiS;Jan SZYSZKO;15015;3.06
20;1;10;PiS;Piotr UŚCIŃSKI;6679;1.36
20;8;1;PETRU;Kamila GASIUK-PIHOWICZ;19041;3.88
21;16;1;MNIEMIECKA;Ryszard GALLA;9623;2.84
21;8;1;PETRU;Witold ZEMBACZYŃSKI;12699;3.75
21;7;1;KUKIZ;Janusz SANOCKI;15705;4.64
21;7;6;KUKIZ;Paweł GRABOWSKI;4508;1.33
21;1;1;PiS;Jerzy ŻYŻYŃSKI;9289;2.75
21;1;2;PiS;Sławomir KŁOSOWSKI;17048;5.04
21;1;3;PiS;Patryk JAKI;29923;8.85
21;1;4;PiS;Antoni DUDA;8085;2.39
21;2;1;PO;Leszek KORZENIOWSKI;20084;5.94
