nrk;teryt;adres;lwug;lkw;lkwzu;lgnw;lgw;freq;pgnw
87353;060203;Zespół Szkoły Podstawowej i Gimnazjum w Dąbrowicy|Dąbrowica| 138a |23-400 Biłgoraj;996;431;431;4;427;43.27;0.93
87354;060203;Budynek szkoły w Ciosmach|Ciosmy| 77c |23-400 Biłgoraj;296;145;145;6;139;48.99;4.14
87355;060203;Szkoła Podstawowa w Smólsku Dużym|Smólsko Duże| 41 |23-400 Biłgoraj;648;357;357;10;347;55.09;2.80
87356;060203;Szkoła Podstawowa w Korczowie|Korczów| 1b |23-400 Biłgoraj;742;366;366;6;360;49.33;1.64
87357;060203;Zespół Szkoły Podstawowej i Gimnazjum w Dereźni|Dereźnia Solska| 1a |23-400 Biłgoraj;1226;635;635;12;623;51.79;1.89
87358;060203;Szkoła Podstawowa w Woli Dereźniańskiej|Wola Dereźniańska| 93 |23-400 Biłgoraj;619;274;274;8;266;44.26;2.92
87359;060203;Szkoła Podstawowa w Starym Bidaczowie|Stary Bidaczów| 42 |23-400 Biłgoraj;355;222;222;9;213;62.54;4.05
87360;060203;Remizo-świetlica OSP w Dylach|Dyle| 42 |23-400 Biłgoraj;418;161;161;6;155;38.52;3.73
87361;060203;Zespół Szkoły Podstawowej i Gimnazjum w Hedwiżynie|Hedwiżyn| 88b |23-400 Biłgoraj;825;379;379;12;367;45.94;3.17
87362;060203;Remizo-świetlica OSP w Soli|Sól| 87 |23-400 Biłgoraj;813;430;430;9;421;52.89;2.09
87363;060203;Zespół Szkół w Soli|Sól| 279 |23-400 Biłgoraj;861;455;455;9;446;52.85;1.98
87364;060203;Dom Pomocy Społecznej w Teodorówce|Teodorówka| 1 |23-400 Biłgoraj;125;56;56;6;50;44.80;10.71
87365;060204;Szkoła Podstawowa w Bukowinie|Bukowina| 60 |23-425 Biszcza;871;411;411;9;402;47.19;2.19
87366;060204;Gminny Ośrodek Kultury w Biszczy|Biszcza| 52 |23-425 Biszcza;896;432;432;8;424;48.21;1.85
87367;060204;Samorządowy Zespół Szkolny w Biszczy|Biszcza| 228 |23-425 Biszcza;815;342;342;14;328;41.96;4.09
87368;060204;Samorządowa Szkoła Podstawowa w Goździe Lipińskim|Gózd Lipiński| 81 |23-425 Biszcza;593;282;282;5;277;47.55;1.77
87369;060205;Hala Sportowa|Frampol|ul. Gorajska 16 |23-440 Frampol;1215;615;615;12;603;50.62;1.95
87370;060205;Remiza OSP|Komodzianka| 51b |23-440 Frampol;232;99;99;2;97;42.67;2.02
87371;060205;Szkoła Podstawowa|Korytków Mały| 49b |23-440 Frampol;633;284;284;7;277;44.87;2.46
87372;060205;Szkoła Podstawowa|Radzięcin| 82 |23-440 Frampol;576;249;249;6;243;43.23;2.41
87373;060205;Szkoła Podstawowa|Teodorówka| 64 |23-440 Frampol;809;330;330;6;324;40.79;1.82
87374;060205;Szkoła Podstawowa|Wola Radzięcka| 61 |23-440 Frampol;442;165;165;2;163;37.33;1.21
87375;060205;Remiza OSP|Kąty| 37 |23-440 Frampol;487;210;210;3;207;43.12;1.43
87376;060205;Remiza OSP|Chłopków| 63 |23-440 Frampol;272;138;138;1;137;50.74;0.72
87377;060205;Świetlica|Sokołówka| 54 |23-440 Frampol;498;185;185;3;182;37.15;1.62
87378;060206;Gminny Ośrodek Kultury|Goraj|ul. Frampolska 23 |23-450 Goraj;981;460;460;8;452;46.89;1.74
87379;060206;Urząd Gminy|Goraj|ul. Bednarska 1 |23-450 Goraj;961;507;507;15;492;52.76;2.96
87380;060206;Szkoła Podstawowa|Hosznia Ordynacka| 21 |23-450 Goraj;581;232;232;5;227;39.93;2.16
87381;060206;Remiza Ochotniczej Straży Pożarnej|Jędrzejówka| 60 |23-450 Goraj;542;190;190;10;180;35.06;5.26
87382;060206;Remiza Ochotniczej Straży Pożarnej|Wólka Abramowska| 80 |23-450 Goraj;419;181;181;8;173;43.20;4.42
87383;060207;Miejski Ośrodek Kultury w Józefowie|Józefów|ul. Krótka 9 |23-460 Józefów;1073;455;455;10;445;42.40;2.20
87384;060207;Środowiskowy Dom Samopomocy w Józefowie|Józefów|ul. Miszki Tatara 1 |23-460 Józefów;844;338;338;7;331;40.05;2.07
87385;060207;Szkoła Podstawowa w Józefowie|Józefów|ul. Górnicza 21 |23-460 Józefów;689;288;288;8;280;41.80;2.78
87386;060207;Szkoła Podstawowa w Majdanie Nepryskim|Majdan Nepryski| 18 |23-460 Józefów;845;341;342;11;330;40.36;3.23
87387;060207;Szkoła Podstawowa w Stanisławowie|Stanisławów| 64a |23-460 Józefów;505;178;178;14;164;35.25;7.87
87388;060207;Szkoła Podstawowa w Górecku Starym|Górecko Stare| 75 |23-460 Józefów;660;287;287;18;269;43.48;6.27
87389;060207;Remiza Ochotniczej Straży Pożarnej w Górnikach|Górniki| 85 |23-460 Józefów;347;124;125;6;118;35.73;4.84
87390;060207;Świetlica w Długim Kącie-Osada|Długi Kąt - Osada| 6 |23-460 Józefów;855;336;336;12;324;39.30;3.57
87391;060208;Szkoła Podstawowa|Korchów Pierwszy| 86b |23-415 Księżpol;1128;478;478;9;469;42.38;1.88
87392;060208;Szkoła Podstawowa|Księżpol|ul. Biłgorajska 11 |23-415 Księżpol;1808;822;822;25;797;45.46;3.04
87393;060208;Szkoła Podstawowa|Majdan Stary| 21 |23-414 Majdan Stary;1451;736;736;32;704;50.72;4.35
87394;060208;Szkoła Podstawowa|Rakówka| 12 |23-415 Księżpol;876;349;349;8;341;39.84;2.29
87395;060208;Szkoła Podstawowa|Stary Lipowiec| 47a |23-414 Majdan Stary;302;127;127;3;124;42.05;2.36
87396;060209;Szkoła Podstawowa w Chmielku|Chmielek| 81 |23-412 Łukowa;1209;527;527;18;509;43.59;3.42
87397;060209;Gimnazjum w Łukowej|Łukowa| 341 |23-412 Łukowa;1416;761;761;17;744;53.74;2.23
87398;060209;Gminny Ośrodek Kultury w Łukowej|Łukowa| 569A |23-412 Łukowa;891;421;421;9;412;47.25;2.14
87399;060210;Szkoła Podstawowa w Obszy|Obsza| 70A |23-413 Obsza;1144;464;464;17;447;40.56;3.66
87400;060210;Szkoła Podstawowa w Babicach|Babice| 108A |23-413 Obsza;745;361;361;15;346;48.46;4.16
87401;060210;Szkoła Podstawowa w Olchowcu|Olchowiec| 31 |23-413 Obsza;481;198;198;3;195;41.16;1.52
87402;060210;Szkoła Podstawowa w Zamchu|Zamch| 117 |23-413 Obsza;1098;539;539;19;520;49.09;3.53
87403;060211;Szkoła Podstawowa w Lipinach Dolnych|Lipiny Dolne| 152 |23-423 Potok Górny;1219;561;561;12;549;46.02;2.14
87404;060211;Szkoła Podstawowa w Lipinach Górnych-Borowina|Lipiny Górne| 1a |23-423 Potok Górny;694;320;320;9;311;46.11;2.81
87405;060211;Urząd Gminy w Potoku Górnym|Potok Górny| 116 |23-423 Potok Górny;1209;576;576;25;551;47.64;4.34
87406;060211;Szkoła Podstawowa w Szyszkowie|Szyszków| 27 |23-423 Potok Górny;1448;797;797;19;778;55.04;2.38
87407;060212;Świetlica Środowiskowa|Luchów Dolny| 28 |23-420 Tarnogród;474;223;223;13;210;47.05;5.83
87408;060212;Szkoła Podstawowa|Luchów Górny| 89A |23-420 Tarnogród;474;216;216;6;210;45.57;2.78
87409;060212;Szkoła Podstawowa|Różaniec, Różaniec Pierwszy| 44 |23-420 Tarnogród;633;288;288;8;280;45.50;2.78
87410;060212;Szkoła Podstawowa|Różaniec, Różaniec Drugi| 171 |23-420 Tarnogród;538;280;280;5;275;52.04;1.79
87411;060212;Przedszkole Miejskie|Tarnogród|ul. 1 Maja 7 |23-420 Tarnogród;827;441;441;11;430;53.33;2.49
87412;060212;Gimnazjum Publiczne|Tarnogród|ul. Kościelna 12 |23-420 Tarnogród;1051;500;500;7;493;47.57;1.40
87413;060212;Tarnogrodzki Ośrodek Kultury|Tarnogród|ul. Rynek 18 |23-420 Tarnogród;872;434;434;13;421;49.77;3.00
87414;060212;Szkoła Podstawowa|Wola Różaniecka| 158 |23-420 Tarnogród;591;318;318;13;305;53.81;4.09
87415;060212;Szpital w Tarnogrodzie|Tarnogród|Rynek 85 |23-420 Tarnogród;60;10;10;2;8;16.67;20.00
87416;060213;Szkoła Podstawowa w Lipowcu|Lipowiec| 100 |23-407 Tereszpol-Zaorenda;442;178;178;5;173;40.27;2.81
87417;060213;Zespół Szkół Samorządowych im. Jana Pawła II w Tereszpolu-Zaorendzie|Tereszpol-Zaorenda|ul. Szkolna 16 |23-407 Tereszpol-Zaorenda;1233;552;552;20;532;44.77;3.62
87418;060213;Świetlica wiejska w Tereszpolu-Zygmuntach|Tereszpol-Zygmunty| 96 |23-407 Tereszpol-Zaorenda;608;248;248;10;238;40.79;4.03
87419;060213;Zespół Szkół Samorządowych w Tereszpolu-Kukiełkach|Tereszpol-Kukiełki| 31 |23-407 Tereszpol-Zaorenda;913;379;379;22;357;41.51;5.80
87420;060214;Zespół Szkolno - Przedszkolny w Turobinie|Turobin|ul. Piłsudskiego 34 |23-465 Turobin;1098;609;609;9;600;55.46;1.48
87421;060214;Urząd Gminy|Turobin|ul. Rynek 4 |23-465 Turobin;811;401;401;9;392;49.45;2.24
87422;060214;Remiza OSP|Tarnawa Duża| 62A |23-465 Turobin;308;129;129;2;127;41.88;1.55
87423;060214;Remiza OSP|Guzówka-Kolonia| 81 |23-465 Turobin;385;195;195;10;185;50.65;5.13
87424;060214;Remiza OSP|Żabno| 44B |23-465 Turobin;497;218;218;8;210;43.86;3.67
87425;060214;Szkoła Podstawowa w Gródkach|Gródki Drugie| 100 |23-465 Turobin;441;227;227;9;218;51.47;3.96
87426;060214;Remiza OSP|Huta Turobińska| 35 |23-465 Turobin;494;228;228;5;223;46.15;2.19
87427;060214;Szkoła Podstawowa w Czernięcinie Głownym|Czernięcin Główny| 159 |23-465 Turobin;504;275;276;3;272;54.56;1.09
87428;060214;Remiza OSP|Gaj Czernięciński| 13 |23-465 Turobin;689;332;332;6;326;48.19;1.81
87429;060214;Remiza OSP|Nowa Wieś| 5 |23-465 Turobin;229;96;96;2;94;41.92;2.08
87430;060301;Budynek PKP|Rejowiec Fabryczny,|ul. Kolejowa 12 |22-170 Rejowiec Fabryczny;997;366;366;13;353;36.71;3.55
87431;060301;Zespół Szkół Samorządowych|Rejowiec Fabryczny|ul. Lubelska 18 |22-170 Rejowiec Fabryczny;1225;433;433;10;423;35.35;2.31
87432;060301;Centrum Aktywności Społeczno-Gospodarczej "Stara Kotłownia"|Rejowiec Fabryczny,|ul. Wschodnia 32 |22-170 Rejowiec Fabryczny;1486;655;655;17;638;44.08;2.60
87433;060302;Urząd Gminy|Białopole|ul. Chełmska 1 |22-135 Białopole;1381;499;499;24;475;36.13;4.81
87434;060302;Świetlica wiejska|Raciborowice| 31 |22-135 Białopole;534;186;186;7;179;34.83;3.76
87435;060302;Świetlica wiejska|Strzelce| 23B |22-135 Białopole;656;239;239;11;228;36.43;4.60
87436;060303;Świetlica w Srebrzyszczu|Srebrzyszcze|Sportowa 18 |22-100 Chełm;855;316;316;12;304;36.96;3.80
87437;060303;Zespół Szkół w Okszowie|Okszów|Chełmska 14 |22-105 Chełm;1383;656;656;16;640;47.43;2.44
87438;060303;Dom Pomocy Społecznej w Nowinach|Nowiny| 101 |22-105 Chełm;250;95;95;9;86;38.00;9.47
87439;060303;Świetlica w Wólce Czułczyckiej|Wólka Czułczycka| 46 |22-106 Chełm;216;71;71;0;71;32.87;0.00
87440;060303;Świetlica w Horodyszczu|Horodyszcze| 43b |22-151 Chełm;785;325;325;9;316;41.40;2.77
87441;060303;Zespół Szkół w Stawie|Staw| 72 |22-151 Chełm;844;292;292;8;284;34.60;2.74
87442;060303;Zespół Szkół w Stołpiu|Nowosiółki-Kolonia| 54 |22-151 Chełm;737;266;266;4;262;36.09;1.50
87443;060303;Multimedialne Centrum Informacyjno-Dydaktyczne Gminy Chełm w Janowie|Janów|Balladyny 5 |22-151 Chełm;442;231;231;1;230;52.26;0.43
87444;060303;Urząd Gminy Chełm|Pokrówka|Gminna 18 |22-100 Chełm;929;468;468;7;461;50.38;1.50
87445;060303;Świetlica Gospodarstwa Gruntów Marginalnych i Mieszkaniowych Zasobu Własności Rolnej Skarbu Państwa w Pokrówce|Pokrówka|Wiosenna 4 |22-100 Chełm;560;259;259;9;250;46.25;3.47
87446;060303;Ośrodek Kultury Gminy Chełm w Żółtańcach|Żółtańce| 44b |22-100 Chełm;230;107;107;4;103;46.52;3.74
87447;060303;Zespół Szkół w Żółtańcach|Żółtańce-Kolonia|Metalowa 89 |22-100 Chełm;474;266;266;5;261;56.12;1.88
87448;060303;Zespół Szkół w Strupinie Dużym|Strupin Duży| 122 |22-100 Chełm;844;367;367;10;357;43.48;2.72
87449;060303;Centrum Kulturalno-Sportowe Gminy Chełm w Rożdżałowie|Rożdżałów| 118a |22-100 Chełm;494;194;194;5;189;39.27;2.58
87450;060303;Świetlica w Depułtyczach Królewskich-Kolonii|Depułtycze Królewskie-Kolonia| 18 |22-100 Chełm;413;195;195;10;185;47.22;5.13
87451;060303;Remiza Ochotniczej Straży Pożarnej w Starych Depułtyczach|Stare Depułtycze| 10b |22-100 Chełm;359;141;141;1;140;39.28;0.71
87452;060303;Zespół Szkół w Uhrze|Uher| 32 |22-100 Chełm;704;312;312;13;299;44.32;4.17
87453;060303;Świetlica w Zawadówce|Zawadówka| 25c |22-100 Chełm;681;308;308;5;303;45.23;1.62
87454;060304;Wiejski Ośrodek Kultury w Brzeźnie|Brzeźno| 3 |22-174 Brzeźno;911;343;343;9;334;37.65;2.62
87455;060304;Wiejski Ośrodek Kultury w Wólce Okopskiej|Wólka Okopska| 67 |22-174 Brzeźno;639;289;289;15;274;45.23;5.19
87456;060304;Szkoła Podstawowa w Świerżach|Świerże|ul.Jana Pawła II 59 |22-175 Dorohusk;622;250;250;12;238;40.19;4.80
87457;060304;Środowiskowy Dom Samopomocy "Cytrynka" w Dorohusku|Dorohusk-Osada|ul.I Armii Wojska Polskiego 25 |22-175 Dorohusk;763;275;275;14;261;36.04;5.09
87458;060304;Zespół Szkół Ogólnokształcących w Dorohusku|Dorohusk-Osada|I Armii Wojska Polskiego 49 |22-175 Dorohusk;1182;557;557;16;541;47.12;2.87
87459;060304;Świetlica KGW w Turce|Turka| 2 |22-175 Dorohusk;636;228;228;12;216;35.85;5.26
87460;060304;Świetlica Wiejska w Michałówce|Michałówka| 78 |22-175 Dorohusk;649;241;241;17;224;37.13;7.05
87461;060305;Swietlica Wiejska Siedliszcze|Siedliszcze| 61 |22-145 Dubienka;526;171;171;8;163;32.51;4.68
87462;060305;Gminny Zespół Szkół|Dubienka|ul. 3 Maja 4 |22-145 Dubienka;1198;442;442;18;424;36.89;4.07
87463;060305;Remiza OSP|Skryhiczyn| 78 |22-145 Dubienka;373;132;132;7;125;35.39;5.30
87464;060306;Szkoła Podstawowa|Czerniejów| 8 |22-113 Kamień;371;115;115;5;110;31.00;4.35
87465;060306;Szkoła Podstawowa|Kamień - Kolonia| 55 |22-113 Kamień;1540;622;622;15;607;40.39;2.41
87466;060306;Świetlica Wiejska|Pławanice| 33C |22-113 Kamień;292;127;127;7;120;43.49;5.51
87467;060306;Świetlica Wiejska|Strachosław| 77A |22-113 Kamień;592;258;258;6;252;43.58;2.33
87468;060306;Świetlica Wiejska|Wolawce| 41 |22-113 Kamień;526;205;205;5;200;38.97;2.44
87469;060307;Świetlica Wiejska w Poniatówce|Wygnańce| 32 |22-122 Leśniowice;377;134;134;6;128;35.54;4.48
87470;060307;Szkoła Podstawowa w Leśniowicach|Leśniowice| 24B |22-122 Leśniowice;1036;315;315;7;308;30.41;2.22
87471;060307;Szkoła Podstawowa w Rakołupach|Rakołupy Duże| 5A |22-122 Leśniowice;656;250;250;9;241;38.11;3.60
87472;060307;Publiczne Gimnazjum w Sielcu|Sielec| 67A |22-122 Leśniowice;649;230;230;5;225;35.44;2.17
87473;060307;Budynek po byłej szkole w Kumowie Plebańskim|Kumów Plebański| 1 |22-122 Leśniowice;404;162;162;9;153;40.10;5.56
87474;060308;Świetlica Wiejska|Kanie| 119f |22-170 Rejowiec Fabryczny;968;363;363;11;352;37.50;3.03
87475;060308;Szkoła Podstawowa|Krasne| 31 |22-170 Rejowiec Fabryczny;557;161;161;8;153;28.90;4.97
87476;060308;Gminny Ośrodek Kultury|Pawłów|ul. Lubelska 23a |22-170 Rejowiec Fabryczny;810;257;257;4;253;31.73;1.56
87477;060308;Zespół Szkół w Lisznie|Liszno| 52 |22-170 Rejowiec Fabryczny;1239;517;517;23;494;41.73;4.45
87478;060309;Gminny Ośrodek Kultury|Ruda-Kolonia| 28a |22-110 Ruda-Huta;611;202;202;14;188;33.06;6.93
87479;060309;Zespół Szkół w Rudzie - Hucie|Ruda-Huta|ul. Stanisława Wójtowicza 9 |22-110 Ruda-Huta;1750;685;685;25;660;39.14;3.65
87480;060309;Świetlica|Leśniczówka| 20B |22-110 Ruda-Huta;609;224;224;11;213;36.78;4.91
87481;060309;Świetlica Wiejska|Żalin| 76A |22-110 Ruda-Huta;479;149;149;13;136;31.11;8.72
87482;060309;Centrum Kultury|Rudka| 58 |22-110 Ruda-Huta;267;67;67;2;65;25.09;2.99
87483;060310;Chutcze - świetlica|Chutcze| 36 |22-107 Sawin;277;107;107;3;104;38.63;2.80
87484;060310;Łowcza-Kolonia - świetlica|Łowcza-Kolonia| 39 |22-107 Sawin;701;252;252;6;246;35.95;2.38
87485;060310;Bukowa Wielka - Szkoła Podstawowa|Bukowa Wielka| 34 |22-107 Sawin;617;209;209;6;203;33.87;2.87
87486;060310;Łukowek - świetlica|Łukówek| 50 |22-107 Sawin;268;101;101;3;98;37.69;2.97
87487;060310;Czułczyce - Szkoła Podstawowa|Czułczyce| 71 |22-107 Sawin;1038;377;377;18;359;36.32;4.77
87488;060310;Sawin - lokal Urzędu Gminy Sawin|Sawin|Chutecka 12 |22-107 Sawin;1771;731;731;31;700;41.28;4.24
87489;060311;Szkoła Podstawowa|Chojno Nowe Pierwsze| 23 |22-130 Siedliszcze;862;185;185;12;173;21.46;6.49
87490;060311;Świetlica|Chojeniec| 26 |22-130 Siedliszcze;328;94;94;10;84;28.66;10.64
87491;060311;Świetlica|Anusin| 24 |22-130 Siedliszcze;466;158;158;11;147;33.91;6.96
87492;060311;Szkoła Podstawowa|Wola Korybutowa-Kolonia| 27A |22-130 Siedliszcze;393;153;153;8;145;38.93;5.23
87493;060311;Warsztat Terapii Zajęciowej|Majdan Zahorodyński| 1 1|22-130 Siedliszcze;438;134;134;8;126;30.59;5.97
87494;060311;Świetlica|Kulik| 66 |22-130 Siedliszcze;394;116;116;4;112;29.44;3.45
87495;060311;Świetlica|Mogilnica| 49 4|22-130 Siedliszcze;453;104;104;6;98;22.96;5.77
87496;060311;Szkoła Podstawowa|Bezek| 59 |22-130 Siedliszcze;541;173;173;4;169;31.98;2.31
87497;060311;Świetlica|Adolfin| 15 |22-130 Siedliszcze;259;86;86;1;85;33.20;1.16
87498;060311;Sala posiedzeń w Urzędzie Gminy|Siedliszcze|Szpitalna 15A |22-130 Siedliszcze;1433;569;569;13;556;39.71;2.28
87499;060312;Gminna Biblioteka Publiczna w Wierzbicy Filia w Ochoży|Ochoża| 50 |22-150 Wierzbica;235;83;83;2;81;35.32;2.41
87500;060312;Wiejskie Centrum Kulturalno-Rekreacyjne w Olchowcu|Olchowiec| 39a |22-150 Wierzbica;350;122;122;5;117;34.86;4.10
87501;060312;Świetlica Wiejska w Syczynie|Syczyn| 62 |22-150 Wierzbica;384;144;144;15;129;37.50;10.42
87502;060312;Urząd Gminy Wierzbica|Wierzbica-Osiedle|ul.Włodawska 1 |22-150 Wierzbica;2145;897;897;44;853;41.82;4.91
87503;060312;Wiejski Dom Kultury w Chylinie|Chylin| 31a |22-150 Wierzbica;287;120;120;4;116;41.81;3.33
87504;060312;Szkoła Filialna w Wólce Tarnowskiej|Wólka Tarnowska| 53b |22-150 Wierzbica;603;226;226;20;206;37.48;8.85
87505;060312;Szkoła Podstawowa w Święcicy|Święcica| 58 |22-150 Wierzbica;264;106;106;2;104;40.15;1.89
87506;060313;Turowiec 35 Remiza OSP|Turowiec| 35 |22-120 Wojsławice;652;223;223;12;211;34.20;5.38
87507;060313;Rozięcin 41 Remiza OSP|Rozięcin| 41 |22-120 Wojsławice;419;172;172;7;165;41.05;4.07
87508;060313;Wojsławice ul. Uchańska 9 Dom Kultury|Wojsławice|Uchańska 9 |22-120 Wojsławice;1386;599;599;19;580;43.22;3.17
87509;060313;Stary Majdan 40 Remiza OSP|Stary Majdan| 40 |22-120 Wojsławice;464;116;116;2;114;25.00;1.72
87510;060313;Majdan Ostrowski 100 Budynek komunalny|Majdan Ostrowski| 100 |22-120 Wojsławice;386;113;113;6;107;29.27;5.31
87511;060314;Świetlica wiejska|Roztoka| 14 |22-114 Żmudź;539;210;210;5;205;38.96;2.38
87512;060314;Szkoła Podstawowa|Żmudź-Kolonia| 10 |22-114 Żmudź;1313;480;480;16;464;36.56;3.33
87513;060314;Budynek po Szkole Podstawowej|Leszczany| 21 |22-114 Żmudź;827;256;256;5;251;30.96;1.95
87514;060315;Lokal po byłej Szkole Podstawowej|Niedziałowice Pierwsze| 29 8|22-360 Rejowiec;471;160;160;8;152;33.97;5.00
87515;060315;Budynek Gminnej Biblioteki Publicznej|Rejowiec|ul. Zwierzyńskiego 8C |22-360 Rejowiec;1516;636;636;19;617;41.95;2.99
87516;060315;Lokal po byłej Szkole Podstawowej|Marynin| 1 |22-360 Rejowiec;905;299;299;8;291;33.04;2.68
87517;060315;Świetlica wiejska|Leonów| 56 |22-360 Rejowiec;831;227;227;16;211;27.32;7.05
87518;060315;Szkoła Podstawowa|Zawadówka| 45 |22-360 Rejowiec;355;109;109;14;95;30.70;12.84
87519;060315;Dom przyjęć|Marysin| 3 |22-360 Rejowiec;450;129;129;2;127;28.67;1.55
87520;060315;Gminny Ośrodek Kultury|Rejowiec|ul. Fabryczna 13 |22-360 Rejowiec;810;276;276;10;266;34.07;3.62
87521;060401;Przedszkole nr 3|Hrubieszów|ul. Konopnickiej 4 |22-500 Hrubieszów;1051;505;505;10;495;48.05;1.98
87522;060401;Zespół Szkół Miejskich nr 2|Hrubieszów|ul. Żeromskiego 29 |22-500 Hrubieszów;2078;1029;1029;22;1007;49.52;2.14
87523;060401;Świetlica Osiedlowa Osiedla „Jagiellońskie”|Hrubieszów|ul. Unii Horodelskiej 19 |22-500 Hrubieszów;1036;474;474;12;462;45.75;2.53
87524;060401;Zespół Szkół Miejskich nr 3|Hrubieszów|ul. Zamojska 16 |22-500 Hrubieszów;1030;491;491;12;479;47.67;2.44
87525;060401;Powiatowy Zespół Placówek Szkolno - Wychowawczych|Hrubieszów|ul. Zamojska 16 A |22-500 Hrubieszów;998;453;453;9;444;45.39;1.99
87526;060401;Agencja Restrukturyzacji i Modernizacji Rolnictwa Biuro Powiatowe w Hrubieszowie|Hrubieszów|ul. Nowa 14 |22-500 Hrubieszów;1902;746;746;21;725;39.22;2.82
87527;060401;Dom Nauczyciela|Hrubieszów|ul. 3-go Maja. 37 |22-500 Hrubieszów;1019;419;419;7;412;41.12;1.67
87528;060401;Hrubieszowski Dom Kultury|Hrubieszów|ul. 3-go Maja 7 |22-500 Hrubieszów;1020;467;467;9;458;45.78;1.93
87529;060401;PGKiM Spółka z o.o.|Hrubieszów|ul. Krucza 20 |22-500 Hrubieszów;935;405;405;8;397;43.32;1.98
87530;060401;Hrubieszowska Spółdzielnia Mieszkaniowa|Hrubieszów|ul. Polna 19 |22-500 Hrubieszów;965;420;420;15;405;43.52;3.57
87531;060401;Przedszkole nr 5|Hrubieszów|ul. Listopadowa 6 |22-500 Hrubieszów;927;436;436;9;427;47.03;2.06
87532;060401;Przedszkole nr 1|Hrubieszów|ul. Listopadowa 13 |22-500 Hrubieszów;914;437;437;3;434;47.81;0.69
87533;060401;Zespół Szkół Miejskich nr 1|Hrubieszów|ul. Listopadowa 12 |22-500 Hrubieszów;1000;485;485;13;472;48.50;2.68
87534;060401;Samodzielny Publiczny Zespół Opieki Zdrowotnej|Hrubieszów|Józefa Piłsudskiego 11 |22-500 Hrubieszów;335;82;82;6;76;24.48;7.32
87535;060401;Zakład Karny|Hrubieszów|ul. Nowa 64 |22-500 Hrubieszów;371;165;165;33;132;44.47;20.00
87536;060402;Sala Konferencyjna Urzędu Gminy|Dołhobyczów|ul. Spółdzielcza 2a |22-540 Dołhobyczów;1272;542;542;21;521;42.61;3.87
87537;060402;Remiza Strażacka|Witków| 119 |22-540 Dołhobyczów;396;123;123;7;116;31.06;5.69
87538;060402;Świetlica wiejska|Gołębie| 38 /3|22-540 Dołhobyczów;292;104;104;5;99;35.62;4.81
87539;060402;Warsztaty Terapii Zajęciowej|Oszczów-Kolonia| 30 |22-540 Dołhobyczów;611;217;217;6;211;35.52;2.76
87540;060402;Zespół Szkół|Hulcze| 37 |22-540 Dołhobyczów;769;243;243;6;237;31.60;2.47
87541;060402;Remiza Strażacka|Chłopiatyn| 8 |22-540 Dolhobyczów;423;136;136;7;129;32.15;5.15
87542;060402;Dom Kultury|Przewodów| 24 |22-540 Dołhobyczów;815;191;191;10;181;23.44;5.24
87543;060402;Świetlica Wiejska|Horoszczyce| 117 |22-540 Dołhobyczów;239;78;78;6;72;32.64;7.69
87544;060403;Gminny Ośrodek Kultury w Horodle|Horodło|ul. Hrubieszowska 1 |22-523 Horodło;1415;480;480;19;461;33.92;3.96
87545;060403;Budynek Szkoły Podstawowej w Kopyłowie|Kopyłów| 14 |22-523 Horodło;350;86;86;6;80;24.57;6.98
87546;060403;Świetlica Wiejska w Bereżnicy|Bereżnica| 65 |22-523 Horodło;669;173;173;7;166;25.86;4.05
87547;060403;Świetlica Wiejska w Łuszkowie|Łuszków| 28 |22-523 Horodło;568;197;199;8;189;34.68;4.06
87548;060403;Świetlica Wiejska w Strzyżowie|Strzyżów|ul. Herbowa 13 |22-525 Strzyżów;1439;545;545;18;527;37.87;3.30
87549;060404;Świetlica|Czerniczyn| 125 |22-500 Hrubieszów;1173;447;447;11;436;38.11;2.46
87550;060404;Szkoła Podstawowa|Ślipcze| 55 |22-500 Hrubieszów;505;166;166;6;160;32.87;3.61
87551;060404;Szkoła Podstawowa|Kosmów| 72 |22-500 Hrubieszów;598;194;194;12;182;32.44;6.19
87552;060404;Szkoła Podstawowa|Mieniany| 50 |22-500 Hrubieszów;415;128;128;8;120;30.84;6.25
87553;060404;Gminne Gimnazjum|Kozodawy| 83 |22-500 Hrubieszów;504;190;190;2;188;37.70;1.05
87554;060404;Urząd Gminy Hrubieszów|Hrubieszów|ul. B.Prusa 8 |22-500 Hrubieszów;762;277;277;5;272;36.35;1.81
87555;060404;Szkoła Podstawowa|Husynne| 118 |22-500 Hrubieszów;663;240;240;10;230;36.20;4.17
87556;060404;Szkoła Podstawowa|Dziekanów| 55 |22-500 Hrubieszów;624;232;232;8;224;37.18;3.45
87557;060404;Szkoła Podstawowa|Szpikołosy| 34 |22-500 Hrubieszów;981;397;397;13;384;40.47;3.27
87558;060404;Świetlica|Moniatycze| 81 |22-500 Hrubieszów;1251;527;527;21;506;42.13;3.98
87559;060404;Szkoła Podstawowa|Stefankowice| 26 |22-500 Hrubieszów;623;212;212;6;206;34.03;2.83
87560;060404;Świetlica|Ubrodowice| 46 |22-500 Hrubieszów;332;138;138;9;129;41.57;6.52
87561;060405;Samorządowy Zespół Szkół w Mirczu|Mircze|ul. Kryłowska 27 |22-530 Mircze;1232;479;479;12;467;38.88;2.51
87562;060405;Świetlica Wiejska w Smoligowie|Smoligów| 75 |22-530 Mircze;372;134;134;2;132;36.02;1.49
