nrk;teryt;adres;lwug;lkw;lkwzu;lgnw;lgw;freq;pgnw
100197;181611;Zespół Szkół im. ks. M.Lachora|Górno|Centralna 14 |36-051 Górno;1247;778;778;14;764;62.39;1.80
100198;181611;Zespół Szkół im. Bł. Bronisława Markiewicza|Trzeboś, Trzeboś Górna|Kościelna 1 |36-050 Sokołów Małopolski;1669;896;896;30;866;53.68;3.35
100199;181611;Ochotnicza Straż Pożarna|Nienadówka| 712 |36-052 Nienadówka;2172;1132;1132;47;1085;52.12;4.15
100200;181611;Zespół Szkół im. Królowej Jadwigi|Trzebuska| 196 |36-050 Sokołów Małopolski;906;440;440;19;421;48.57;4.32
100201;181611;Dom Kultury|Wólka Niedźwiedzka| 264 |36-050 Sokołów Małopolski;1445;750;750;23;727;51.90;3.07
100202;181611;Szkoła Podstawowa|Wólka Sokołowska| 65 |36-050 Sokołów Małopolski;561;295;295;12;283;52.58;4.07
100203;181611;Szkoła Podstawowa im. Św. St. Kostki|Trzeboś-Podlas|Podlas 29 |36-050 Sokołów Małopolski;275;93;93;4;89;33.82;4.30
100204;181611;Zespół Szkół w Sokołowie Młp.|Sokołów Małopolski|Lubelska 37 |36-050 Sokołów Małopolski;508;287;287;1;286;56.50;0.35
100205;181611;Świetlica Wiejska|Trzebuska, Kąty| 625 |36-050 Sokołów Małopolski;436;252;252;17;235;57.80;6.75
100206;181612;Dom Strażaka w Świlczy|Świlcza| 151 |36-072 Świlcza;1842;1040;1040;20;1020;56.46;1.92
100207;181612;Dom Strażaka w Świlczy|Świlcza| 151 |36-072 Świlcza;900;532;532;4;528;59.11;0.75
100208;181612;Dom Strażaka w Mrowli|Mrowla| 83 A |36-054 Mrowla;1160;679;679;25;654;58.53;3.68
100209;181612;Zespół Szkół w Rudnej Wielkiej|Rudna Wielka| 60 |36-054 Mrowla;1196;747;747;13;734;62.46;1.74
100210;181612;Publiczna Szkoła Podstawowa Sióstr Nazaretanek w Bziance|Bzianka| 20 |35-213 Rzeszów;493;295;295;13;282;59.84;4.41
100211;181612;Środowiskowy Dom Samopomocy w Woliczce|Woliczka| 64 |36-071 Trzciana;418;251;251;7;244;60.05;2.79
100212;181612;Dom Ludowy w Błędowej Zgłobieńskiej|Błędowa Zgłobieńska| 110 A |36-071 Trzciana;445;217;217;7;210;48.76;3.23
100213;181612;Dom Ludowy w Dąbrowie|Dąbrowa| 36 A |36-071 Trzciana;844;433;433;11;422;51.30;2.54
100214;181612;Zespół Szkół w Trzcianie|Trzciana| 168 |36-071 Trzciana;2003;1095;1095;30;1065;54.67;2.74
100215;181612;Zespół Szkół w Bratkowicach|Bratkowice| 398 |36-055 Bratkowice;1704;953;953;19;934;55.93;1.99
100216;181612;Zespół Szkół w Bratkowicach|Bratkowice| 398 |36-055 Bratkowice;1678;906;906;27;879;53.99;2.98
100217;181613;Gimnazjum w Trzebownisku|Trzebownisko| 968 |36-001 Trzebownisko;921;554;554;16;538;60.15;2.89
100218;181613;Gimnazjum w Trzebownisku|Trzebownisko| 968 |36-001 Trzebownisko;1786;988;988;18;970;55.32;1.82
100219;181613;Zespół Szkół w Zaczerniu|Zaczernie| 249a |36-062 Zaczernie;1741;1134;1134;25;1109;65.13;2.20
100220;181613;Zespół Szkół w Zaczerniu|Zaczernie| 249a |36-062 Zaczernie;944;606;606;15;591;64.19;2.48
100221;181613;Zespół Szkół w Nowej Wsi|Nowa Wieś| 200 |36-001 Trzebownisko;1050;729;729;14;715;69.43;1.92
100222;181613;Dom Ludowy w Tajęcinie|Tajęcina| 39 |36-002 Jasionka;427;233;233;4;229;54.57;1.72
100223;181613;Zespół Szkół w Jasionce|Jasionka| 301 |36-002 Jasionka;1791;1004;1004;25;979;56.06;2.49
100224;181613;Zespół Szkół Nr 1 w Stobiernej|Stobierna| 357 |36-002 Jasionka;1674;900;900;29;871;53.76;3.22
