teryt;xteryt;gmina;typ;coord;onum;oname;komitet;nrk;nz;im;plec;partia;xcoord
226101;1;Gdańsk (ab);mm;54.361096,18.6899295;25;Gdańsk;SLD;8;GWOŹDŹ;Edward Rajmund;Mężczyzna;BEZP;54.363623 18.699178
226101;1;Gdańsk (ab);mm;54.361096,18.6899295;25;Gdańsk;SLD;9;HRYNIEWSKI;Wojciech;Mężczyzna;LRazem;54.371379 18.680882
220702;2;Gardeja;gw;53.6451185,19.038445;25;Gdańsk;SLD;10;NOWAK;Karolina;Kobieta;Wiosna;53.647164 19.040279
220401;1;Pruszcz Gdański;gm;54.257779,18.645299;25;Gdańsk;SLD;11;KRÓL;Judyta Anna;Kobieta;członek partii politycznej: Polska Partia Socjalistyczna;54.252573 18.641019
221507;2;Luzino;gw;54.561262,18.097215;25;Gdańsk;SLD;12;PACEK;Igor;Mężczyzna;Wiosna;54.563968 18.092643
220901;1;Malbork;gm;54.028507,19.044351;25;Gdańsk;SLD;13;HODERNY;Adam Ryszard;Mężczyzna;SLD;54.026232 19.041402
221605;3;Sztum;gmw;53.9253965,18.9987235;25;Gdańsk;SLD;14;GREKULAK;Ksenia;Kobieta;BEZP;53.925411 18.995256
226101;1;Gdańsk (ab);mm;54.361096,18.6899295;25;Gdańsk;SLD;15;KŁOS;Wojciech Jakub;Mężczyzna;LRazem;54.368271 18.688623
226201;1;Gdynia (ab);mm;54.503614,18.463552;25;Gdańsk;SLD;16;CYGAN;Mirosław Wojciech;Mężczyzna;SLD;54.500645 18.459792
226101;1;Gdańsk (ab);mm;54.361096,18.6899295;25;Gdańsk;SLD;17;STAŻEWSKA;Anna Ewa;Kobieta;LRazem;54.349638 18.700655
220401;1;Pruszcz Gdański;gm;54.257779,18.645299;25;Gdańsk;SLD;18;WADLEWSKA;Lucyna Beata;Kobieta;Wiosna;54.254943 18.638222
220404;2;Pruszcz Gdański;gw;54.269208,18.669243;25;Gdańsk;SLD;19;BYLICA;Bartosz;Mężczyzna;Wiosna;54.268988 18.672873
220401;1;Pruszcz Gdański;gm;54.257779,18.645299;25;Gdańsk;SLD;20;MARKIEWICZ;Dorota Maria;Kobieta;SLD;54.257280 18.643104
221303;1;Starogard Gdański;gm;53.9654205,18.526571;25;Gdańsk;SLD;21;WICHERT;Marcin Krystian;Mężczyzna;BEZP;53.959253 18.530050
226101;1;Gdańsk (ab);mm;54.361096,18.6899295;25;Gdańsk;SLD;22;ŻOCHOWSKA;Anna Kazimiera;Kobieta;Wiosna;54.339924 18.689157
226201;1;Gdynia (ab);mm;54.503614,18.463552;25;Gdańsk;SLD;23;SZKUDLAREK;Joanna Dorota;Kobieta;LRazem;54.494598 18.477065
226101;1;Gdańsk (ab);mm;54.361096,18.6899295;25;Gdańsk;SLD;24;KOPERSKI;Romuald Wincenty;Mężczyzna;SLD;54.375366 18.700897
220408;2;Trąbki Wielkie;gw;54.16247,18.4986765;25;Gdańsk;PSL;1;KOBYLARZ;Andrzej Sławomir;Mężczyzna;BEZP;54.155028 18.497921
221313;2;Zblewo;gw;53.9447395,18.338918;25;Gdańsk;PSL;2;TRAWICKI;Krzysztof Gabriel;Mężczyzna;PSL;53.942122 18.335629
221004;2;Stegna;gw;54.293158,19.0729755;25;Gdańsk;PSL;3;PAWŁOWSKA;Maria Urszula;Kobieta;PSL;54.294401 19.075965
221401;1;Tczew;gm;54.0907165,18.7816105;25;Gdańsk;PSL;4;KUCHAREK;Adam Antoni;Mężczyzna;BEZP;54.094979 18.777823
220408;2;Trąbki Wielkie;gw;54.16247,18.4986765;25;Gdańsk;PSL;5;KACZYŃSKI;Leszek Józef;Mężczyzna;BEZP;54.163384 18.498663
221313;2;Zblewo;gw;53.9447395,18.338918;25;Gdańsk;PSL;6;SARNOWSKI;Wojciech Ireneusz;Mężczyzna;BEZP;53.947720 18.339777
220106;3;Miastko;gmw;54.0355635,17.0032295;25;Gdańsk;PSL;7;BIERNACKI;Paweł Piotr;Mężczyzna;BEZP;54.031706 16.999921
221605;3;Sztum;gmw;53.9253965,18.9987235;25;Gdańsk;PSL;8;CYMERYS;Wojciech;Mężczyzna;PSL;53.925053 19.001039
220404;2;Pruszcz Gdański;gw;54.269208,18.669243;25;Gdańsk;PSL;9;TUSK;Lucyna Maria;Kobieta;BEZP;54.273146 18.673227
220904;2;Malbork;gw;54.049626,19.043073;25;Gdańsk;PSL;10;NOWAK;Bartosz Kazimierz;Mężczyzna;PSL;54.048595 19.040828
221303;1;Starogard Gdański;gm;53.9654205,18.526571;25;Gdańsk;PSL;11;DASZKIEWICZ;Maria Jolanta;Kobieta;PSL;53.965288 18.522559
226401;1;Sopot;mm;54.441869,18.547822;25;Gdańsk;PSL;12;KŁOS;Małgorzata Maria;Kobieta;PSL;54.440788 18.546798
221404;3;Pelplin;gmw;53.9249955,18.7374445;25;Gdańsk;PSL;13;WERONIECKI;Bartosz Szymon;Mężczyzna;PSL;53.922311 18.738225
226401;1;Sopot;mm;54.441869,18.547822;25;Gdańsk;PSL;14;GRAHN;Marianna;Kobieta;PSL;54.449752 18.545137
220401;1;Pruszcz Gdański;gm;54.257779,18.645299;25;Gdańsk;PSL;15;MICHALAK;Leszek;Mężczyzna;PSL;54.261711 18.650879
226101;1;Gdańsk (ab);mm;54.361096,18.6899295;25;Gdańsk;PSL;16;KAMIŃSKI;Paweł;Mężczyzna;PSL;54.369581 18.671052
226101;1;Gdańsk (ab);mm;54.361096,18.6899295;25;Gdańsk;PSL;17;DOMBROWSKA-GRUBBA;Beata Agnieszka;Kobieta;BEZP;54.349879 18.675249
226101;1;Gdańsk (ab);mm;54.361096,18.6899295;25;Gdańsk;PSL;18;HOŁUBOWSKI;Bartosz Rafał;Mężczyzna;BEZP;54.347066 18.677415
226101;1;Gdańsk (ab);mm;54.361096,18.6899295;25;Gdańsk;PSL;19;RYBAKOWSKA;Małgorzata;Kobieta;BEZP;54.381149 18.684677
226101;1;Gdańsk (ab);mm;54.361096,18.6899295;25;Gdańsk;PSL;20;MŁOT;Andrzej;Mężczyzna;PSL;54.352581 18.686247
221304;2;Bobowo;gw;53.8721795,18.537467;25;Gdańsk;PSL;21;PASZEK;Krystyna;Kobieta;BEZP;53.872187 18.537871
220402;2;Cedry Wielkie;gw;54.2553185,18.841109;25;Gdańsk;PSL;22;DĄBEK-STOBIERSKA;Janina Maria;Kobieta;BEZP;54.254873 18.843457
220402;2;Cedry Wielkie;gw;54.2553185,18.841109;25;Gdańsk;PSL;23;GRAJOSZEK;Zbigniew Mariusz;Mężczyzna;PSL;54.255765 18.843615
220508;3;Żukowo;gmw;54.3709575,18.379591;25;Gdańsk;PSL;24;DORNIAK;Tomasz;Mężczyzna;PSL;54.373204 18.374682
221312;2;Starogard Gdański;gw;53.993149,18.5345445;25;Gdańsk;KOBW;1;NEUMANN;Sławomir Arkadiusz;Mężczyzna;PORP;53.993351 18.536348
